quiet 	 spend week Commodore Hotel highly recommend hotel other . stay various hotel London believe hotel good value money . room small sparcely decorate clean cozy . lovely room top floor enjoy peace quiet . breakfast good service . location fantastic Lancaster Gate Bayswater tube station . Hyde Park stone throw be away . room inexpensive like husband , need room within sleep . perfect spot . 
 great location 	 spend last weekend London friend . Stayed Commodore 3 night small clean nice room . friendly staff , great location . arrive Gatwick problem get hotel . quiet area , nice pub ( Mitre ) fantastic lebanese restaurant ( Fontana ) near . would definately stay . 
 Sep 2 2009 	 top quality hotel reasonably price . 	 stay one night wedding anniversary , really want somewhere crash sight see London . location perfect short walk Lancaster Gate tube , nice area not feel worried come back late night . hotel clean , receptionist quickly deal check room ground floor . not sure expext not pay London price room superking size bed , wet room , T.V tea coffee make facility . room clean decor ok . read review book people moan space furniture compare size room . furniture big ( big bed mention , big wardrobe ) plenty room manoever not see issue ? continental breakfast include stay , restaurant busy not wait long plenty choice toast , cereal , fruit , yoghurt juice choose . food nice staff friendly helpful , also efficient clear away quickly make space customer wait . ahd thoroughly nice stay hotel would recommend highly , contemplate stay extra night last minute get back kid . would stay . 
 Jul 1 2009 	 end wedding complete perfect place 	 need place stay wedding night close Paddington station offer touch class luxury , get whole lot Commodore . arrive late get chance use whole facility eat dinner , room get amazing perfect location garden outside . staff allow we deliver bag day hold securely , keep copy day 's paper us offer fantastic breakfast next morning . I would recommend anyone look fairytale room wedding night stay , anyone simply look close Paddington , Lancaster Gate local amenity . 
 Jun 28 2009 	 great location - Central London 	 stay hotel father Sept. 2008 6 night . location excellent , right near Paddington Station , subway station , Hyde Park Oxford / Regent Streets within walking distance . like walk , walk hotel Trafalgar Square , Picadilly Circle , House Parliament , Natural History Museum , Buckingham Palace , St. Pauls Cathedral . mind , trip take hour half walk . , take subway - cab get bit pricey travel canadian dollar . lot great , cheap restaurant around Paddington Station . amazing location , can not beat . 
 Jun 21 2009 	 book place often great ! ( not book suite ) 	 GREAT value , quite smart little hotel . double room 4 poster bed spacious , clean , nicely decorate charming . bathroom classy well equip , hotel central business night . down - side ' suite ' extremely tired clean comparison . wish not upgrade . book double room instead , often . not eat breakfast ( find hot breakfast room relax - fussy ! ) , always find staff pretty nice . 
 Jun 14 2009 	 poor value money 	 spend 800 + euro two room ( 2 night ) , less impressed size room , double room small average garden shed , single room amazingly size double ! ! .would reccomend anyone stay hotel ? , . 
 May 17 2009 	 ok 	 well locate 5 min Lancaster Gate Tube . hotel clean friendly staff . comfortable lounge plenty free paper read . the continental breakfast relatively small choice however , quality good . only gripe - room little tired side noisy plumbing . try avoid ground low ground floor room . my partner stay month ago much well room . , price good choice - clean , safe , good staff save poor room I d say comfortable place . 
 May 11 2009 	 great location great staff exceed expectation 	 great little hotel , make perfect base shopping theatre . staff professional friendly make group five feel welcome . delighted get upgrade room enjoy generous continental breakfast . would definitely recommend . 
 May 5 2009 	 Maximum 2 star internet picture lie . 	 reserve 3 night hotel consider four star hotel normal range . arrive receive small room one meter big bad . one friend single room , receive 6 square meter room . discuss personnel , give we & quot ; executive room & quot ; . little big old furniture situate ground floor horror view ( pipe ) terrible smell . breakfast bad . fruit variety include 2 - 3 thing . basic food part ( egg ) pay extra . I objection way everyone manage business , really not like hotel , lie customer nice picture wrong information . think much fair publish real picture real condition hotel , maybe customer look many bad review . also also help we damage holiday . 
 Mar 31 2009 	 great hotel Great Location 	 stay Commodore Spring Break pleasantly surprised . the location great , hotel nice . room big european standard water pressure great . staff also really helfpul . if look nice hotel quiet area , do not pass up- disappoint do not listen bad review . 
 Mar 25 2009 	 bad price 	 return 4 night stay Commodore husband ( 3/11 - 3/15 ) . many negative review bit nervous . however , London , can not beat $ 125 pay night satisfied stay . I suprise checkin . not nice informative use hotel explain breakfast & amp ; whatnot . girl pretty rude . one help we luggage . usually not need help hotel seem two separate town house join . room 52 something like ... elevator 6th floor . turn leave go 2 stair , go 3 stair . go door . turn leave go wind staircase ( 15 stair ) . turn leave go door . room 52 . obviously could use help bag maze . the room good size decorate nicely victorian style . furnishing bit tired though . bed king ( actually 2 twin push together ) since be use sleep king , glad see . bathroom need thorough cleaning . shower mildew grimy look overall . room clean otherwise corner room ceiling water stain . appropriate amt towel provide replace day . coffee tea provide room good hair dryer provide ( trust one long thick hair use much bad dryer much expensive hotel ) .a pretty good free breakfast provided- cereal , toast , cheese ham , fruit , bread , butter / jam . order egg , bacon , etc surcharge . one morning , one come 15 minute , tell kitchen close . agree make breakfast though complain bit . the hotel locate right across Hyde park 2/3 block walk Lancaster Gate tube . restaurant area really nice indoor / outdoor pub many store run something . 
 Mar 23 2009 	 Overall- decent hotel away crowd 	 overall , hotel pretty nice , let first focus negative : dark - haired receptionist behind counter check courteous arrive around 2 pm weekday ( would hate think white , even next day not even crack smile speak , pretty jovial speak guest white ) .The room stay Albert Suite - toilet not flush right away , would wait around 2 minute able flush properly . not much walk space bedroom , bit hard iron , example ( iron board request way , take back make room first night ) .The positive : Albert Suite beautiful ! one quick flight , bathroom leave little foyer walk . right curved staircase ; lead bedroom right shower right front ( be toilet sink downstair shower sink upstairs ) . room : wall red color off - white color , 's mahagony canopy bed , everything victorian style , heavy drape , tv , phone , hairdryer , picture royalty everywhere , chandelier ... male receptionist friendly able leave luggage beneath main staircase hour check ( seem like quite people thing ) .Overall , would definitely recommend place . underground far away , be also little shopping street Queensway also far hotel . 
 Feb 23 2009 	 even close promise ! 	 promise modern boutique hotel ... arrive late one evening , place basement ( room L9 ) call & quot ; standard & quot ; double room , room soundproof ever , could hear neighbour talk - say . restaurant ventilation like train pass outside window . lot argue unfriendly receptionist , upgrade & quot ; excecutive & quot ; double room . difference standard excecutive beeing bathtub , excecutive little less noice kitchenventilation .... upon check , wait 20 minute behind couple experience - refuse pay full price room . not get reduction - manager available reduce price ... general note : - Hotel last renovate 2002 - look way- bathroom cramp - want look mirror - need close door.- general condition maintenance bad , fungus shower , scratch furniture , lock roomdoor not work could keep going.- poorly sign - difficult find room hotel . know happen fire hotel - people run aroud trying find exit ... - want cheap - find another hotel - cheaper- want style - willing pay - , lot 's good hotel London , one . 
 Dec 16 2008 	 poor customer care ! ! 	 book Commodore Hotel 2 night stay well advance arrival tell due hot water one floor hotel could accommodate we transfer we another hotel ( within group ) . obviously happy force £ 20 hand cover parking cost go Hotel Elizabeth bear mind Commodore say well hotel filthy hotel ever walk needless say stay spend long time Concierge Royal Lancaster Hotel opposite room happy ring round find we accommodation . upset even ring Commodore Hotel complain know would lose temper doubt would fobbed we usual cliche perhaps discount towards next stay ! ! never stay due poor customer service care policy ! also note Commodore even re we morning let we know happen . really put dampner weekend especially find alternative accommodation imagine one busy weekend London ( end stay 2 different hotel ) ! 
 Dec 4 2008 	 Good Tourists Hotel 	 enjoy stay Commodore Hotel London . 10 minute walk Paddington Station make access Heathrow Airport via Heathrow Express / Heathrow connect handy . Lancaster Gate tube 5 minute hotel Hyde Park / Kensington Gardens closeby make nice walk break busy street central London . hotel location good . hotel pretty standard tourist class hotel . staff friendly room ready upon arrival noon . surprise king size bed comfortable . definite selling point hotel common London hotel price range . competitive room rate make hotel good choice . continental breakfast include . unfortunately nothing really brag department . breakfast acceptabe well . eat english breakfast ? 5 5 minute walk Bayswater Ave towards Queensway tube much fulfilling . good stay overall . 
 Nov 14 2008 	 Fantastic hotel staff 	 lovely victorian hotel centrally locate amenity . staff particularly accomodate extremely pleasant . room delight -- large four poster bed necessity . restaurant serve huge breakfast dinner excellent . check history grandfather clock lobby . recommend ! 
 Nov 4 2008 	 Great Hotel 	 husband stay Commodore 10 day October 2008 . little surprised size room , tiny , well appoint . housekeeping keep room spotless . bathroom wonderful , marble lined wall - less shower water efficient toilet . continental breakfast adequate , coffee great , 10 day , change would nice . hotel 2 minute walk away Hyde Park , close Kensington Palace , marble Arch many attraction . as review , recomme Swan Pub 2 block away meal . Entertainment Fridays , Saturdays Sundays . all terrific place stay , would stay . 
 Oct 29 2008 	 tiny room clean 	 stay hotel four night October 2008 , hard time understand hotel earn 4 star -- even London standard . I go several room find one adequate . toilet break first room , little water pressure second room , third room acceptable ( think newly remodel ) . room could clean . duvet cover stain , well towel . that say , service pretty good . bellhop particularly helpful . I would not stay . location excellent , many hotel immediate area . 
 Oct 26 2008 	 good location decent stay hotel 	 stay two night May 2008 second trip London . decide hotel 's different location last stay London . like quiet location easy enough get tube need ... pub convenience store also nearby . the hotel ok . issue check check . hotel staff friendly . room small enough two we . twin bed , comfortable ... sheet ok cleanliness , nothing gross . bathroom clean serve purpose . room look nice first glance , inspect close look little tired ... actually apply rest hotel . the continental breakfast come room ... tea / coffee toast right . actually book double room ask check could get twin room two bed ... able accomodate wait minute make change . can not complain much hotel safe , accomodating , get good night 's sleep , good location . cosmetic work hotel room really need . 
 Oct 20 2008 	 Lovely Hotel stay 	 great hotel quiet convenient location close Lancaster Gate tube . well furnish clean room , great price , friendly helpful staff , beautiful public area complaint , except think continental breakfast offer much choice . 
 Sep 28 2008 	 great little hotel 	 teenager daughter return stay Commodore Hotel 7 night . hotel staff extremely helpful everything direction arrange car take we theatre . breakfast great staff effecient quick . afternoon tea lobby lovely gentleman serve we polite reasonably price London . commodore central everything , close subway , bus , park , busy street Bayswater , find quiet night . room small little shabby renovating room , always clean bed comfortable . I would highly recommend hotel anyone want experince London offer limited budget . as mention prevous reviewer Swan Pub great place take break supper drink . Fish Chips huge share resonable price . 
 Sep 22 2008 	 clean confi 	 small room comfortable bed . clean room bathroom . less 5 minute away Lancaster Gate tube stop ( Central / Red Line ) .there 's pub call Swan block away live music Sundays . also small grocery store next it . staff nice polite . I would stay hotel . 
 Sep 11 2008 	 exellent 	 stay wonderfull hotel weekend . very friendly staff , close city , breakfast buffet really amase ( quality quantity ) .I forgot shoe room , happily send post home address . one go back ! ! ! 
 Sep 4 2008 	 Staff friendly 	 stay hotel daughter last Saturday August 30th yesterday Sept 3rd . ithe staff reception lovely great help advice sort topic , book tour use tube get good value book tube . they always friendly , courteous helpful every way . the staff work breakfast room also helpful . find times efficient friendly time become rare combination ! ! location hotel excellent next time travel husband early next year go well already tell hotel Commodore . 
 Aug 13 2008 	 like hotel 	 return weekend hotel mother & amp ; 2 sister . first get room , even though request low floor bedroom , put 7th floor 70 year old mother would able lift go floor 6 & amp ; climb windy stair . put case & amp ; tell we nothing else available , 2 room give tiny twin room , shabby look room . go check & amp ; look another hotel mother 70th birthday london , staff come choice different room end take 2 ground floor room lot well share double bed . the staff friendly , breakfast badly organise , quite chaotic . location good & amp ; reception area lovely say would return hotel . 
 may 27 2008 	 Bad London 	 Overall , short stay hotel fine . not exceptional London Hotel reasonable . room almost mini suite pleasant surprise ; compact everything need ; tea / coffee facitlite , fridge , tv good signal plenty channel , nice toiletry , mini safe . cleanliness room brilliant location great close Lancaster Gate tube Kensington Gardens Hyde Park . although reception service arrival good , breakfast service leave much desire . breakfast include nightly rate real understanding staff entitle full breakfast continental , guest not know whether seat wait seated bit chaotic time slow even restuarant quiet . restaurant manager seem forever apologise look run foot . put dining hotel evening . however gripe would not stop go back short stay . other suggest , oyster card really good buy , get tube bus london zone . 
 may 24 2008 	 Good Nights Sleep Awaits 	 Commodore offer exceptional service reasonable rate , central location , tiny room . staff multilingual helpful information dine tourist attraction . brochure lobby area . include breakfast consist cheese , croissant , fruit , toast , cereal juice & amp ; coffee . room inadequate american taste functional , clean one comfortable bed ever sleep . mini bar reasonable sensible . use stair lot elevator size sardine . bathroom five five offer stand shower tub , sink toilet stack nearly top . besides room size view ( window look another window ) would call excellent hotel stay . return London , plan stay . 
 may 18 2008 	 fair stay commodore 	 check ground floor lobby hear word & quot ; room one floor , sir & quot ; little sink feeling expect ... & quot ; cheekily ask room view ? ok rate 110 pound continental breakfast include alternative offer hotel really want & quot ; honour web price .. always seem US get sticky end stick ? anyway , go low floor , fairly close lift , another no - no we generally , surprised room .. l5 .. fairly big , bathroom clean , bed large , tv picture bit fuzzy use news .. view .. albeit look 70 degree could look church across road ! ... anyway location want ten minute walk across hyde park royal albert hall , tour see concert evening .. 8 quid taxi ride see back hotel .. well traverse park dark ! ... shower hot towel see good day ... dog towel body fluffiness ... breakfast swish restaurant / breakfast room .. six step room leave low level gym ... ah yes gym ! ! 0640 rythmic knock wall next door make smile , boy guy stamina think , imagine honeymoon couple come naturally news come max level banging go ... ... 20 minute get , walk four step way , right , along corridor bang door gym , find run machine literally four foot head tv situate full blast another guest 3 mile breakfast ! ! commodore provide entertaining anecdote conversation , enjoy stay stay would ask another room , pay low internet price ( seem time ) bargae power limit . would stay ? maybe .. see hotel area would look around well deal.if one available . 
 May 17 2008 	 good value avoid tiny room ! 	 first show room 510 - cupboard two bed wedge , one across radiator , across door terrace ( shabby deck grubby furniture , overlook mew ) .However , settle room fourth floor find hotel clean , comfortable pleasant base bayswater area . despite large number football supporter ( mainly family group ) , breakfast buffet offer good choice staff professional . shall use ! 
 May 8 2008 	 Really Four Star Hotel 	 wife stay Commodore week holiday early May 2008 . book trip package Expedia . know british european hotel old small would expect North America , pay extra stay Commodore additional comfort place rate four star . feel rating overstate relieved check last morning . first , though , good point : commodore excellent location . right across Kensington Gardens / Hyde Park . weather nice , pleasant walk many sight ( Kensington Palace , Diana Memorial , Victoria & amp ; Albert Museum , Harrods ) . weather bad ( want see distant sight ) , Lancaster Gate tube station 5 minute walk away . ( quick tube tip - get Oyster card save time lining ticket save large amount normal cash fare . ) continental breakfast fine , however , breakfast room often crowd . also , stay day , may tire limited selection item . now , reason give Commodore two star : first , room exceptionally small . room 504 , tell check - in one nice room & quot ; terrace & quot ; . terrace turn small balcony couple dirty , old chair overlook alley . room space luggage . ( keep week doorway & quot ; terrace & quot ; . ) carpet quite worn closet space small two people . bathroom adequate although roughly finish . however , big complaint far noise hotel . pipe kind bang go behind bed night . noise room disturb drawer door bang floor creak time . wife remark & quot ; wall must paper thin & quot ; .would stay ? probably . even use british standard , felt mislead Commodore 's four star status would probably give somewhere else try return . imagine accommodation rate three star british standard . , advertise four star location ( charge four star rate ) feel mislead Commodore penalize give overall rating two star . 
 Apr 29 2008 	 Commendation Coommodore 	 live London many year sample hotel ; reside Greece stay north Hyde Park interesting experience . the hotel well position , short walk Lancaster Gate tube Queens Road , many shop , restaurant ( Whiteleys ) cinema . standard décor good . room , narrow stair , lift access , small perfectly acceptable . fact staff member bring bag help . indeed staff tend attentive engaging . breakfast meal hotel ( separate Mediterranean restaurant ) . service slightly anarchic serious time pressure problem . range food beverage good coffee taste like caffeine it . a plus point room good broadband connection ( fast ) . minus point pay - although £ 7 24 hour well rate many hotel offer . however , free already pay one Europes high rate room ! 
 Apr 23 2008 	 Nice Place Staff 	 complaint -- nice , clean room . comfy bed . pleasant employee . 
 Apr 16 2008 	 good bet 	 initially heat room work ( day snow London ) move another room without fuss . room spacious London standard completely modern , though small tv disappointing . hotel locate close Lancaster Gate tube Hyde Park , secluded not hear traffic noise . breakfast nice , nothing exciting . 
 Apr 16 2008 	 Lovely Place Stay 	 come back spend nine night Commodore Hotel two friend . see show , tour city check wonderful restaurant . we wonderful time three we love thecommodore . day touring would come back lobby always great fire go . warm inviting . great breakfast nice bar drink . even well people . everyone niceand friendly towards we . ask anything wasnot problem . would certainly go back . thank Commodore wonderful stay 
 Mar 31 2008 	 second visit 	 actually stay Commodore ( 10 year ago ) pleased , natural choice return . location could not perfect , two - minute walk away Hyde Park five minute nearest subway . also , hotel modernize since last stay safety deposit box room gym . one thing disappoint time around continental breakfast buffet . probably poor breakfast ' ve ever experience hotel ( well last stay , choice like egg different kind cheese ) . tea , juice different choice bread would ok weekend stay , tiresome six - night stay ... apart , recommend Commodore Hotel . nice staff . 
 Mar 24 2008 	 great hotel 	 book hotel part package good hotel ' ve stay London far . less 5 minute walk Lancaster Gate tube station , quiet neighbourhood internet cafe close excellent pub less 5 minute walk away ( Swan Bayswater Rd . ) , room bathroom clean quiet staff friendly . Breakfast include morning find dining area rather large small hotel . busy morning never wait table . staff attentive clear away dish replenish buffet . I arrive early Friday morning check take time wait 15 minute room ready . also able check night leave , pick hotel 4:25am not want go check procedure early morning . happy accommodate request . always staff present desk , day night . picture hotel online exactly see get ; surprise . would definitely stay would recommend anyone travel alone couple . think would bit cramp travel child . really could ask well place stay . 
 Feb 28 2008 	 good great money 	 european hotel , room small . know accept , stay Commodore hotel number reason , location , amenity , cost . arrive room , bed hair top . big issue , remove comforter . blanket closet dirty though since 7th floor , radiator heating air trap not work . spite technical issue , staff extremely friendly come fix heat bring we new blanket . include breakfast delicious . regard location , far enough night time hotspot could get good night sleep . time within 5 minute walk time two tube line . make convenient get anywhere city . compare expensive Ritz hotel , extremely disappointed , look Commodore , budget hotel , satisfied extremely enjoy stay . 
 Feb 17 2008 	 o.k . Commodore 	 get extremely good price , Commodore good deal . room small , would bothered would stay long - o.k . one night . bathroom clean small - not problem really , since alone . tiny quiet room . good like breakfast room , breakfast . location positive : within 2 minute Hyde park - within 5 min . cab Paddington station . : would come back , get good price . 
 Feb 6 2008 	 gem 	 book base review London difficult city find decent price hotel pokey frankly quite horrid . this hotel truly wonderful find . really good value - pay £ 100 one night include breakfast twin room Expedia . the entrance nice homely quality feel . the room 6th floor clean right size . newly decorate still modern neat . shower great water pressure toiletry Neutragena plenty they . the breakfast good , serve modern room , plenty choose , cereal , yoghurt , plenty fruit , toast , ham , cheese etc bonus hotel price include breakfast . in term location would say 5 minute walk Lancaster gate tube central line situate behind Thistle Hyde park round corner Corus hotel . I would definately stay ! ! 
 Jan 6 2008 	 Excellent stay ! ! ! 	 Commodore Hotel situate near Hyde Park . easy reach tube ( Central Line ) .staff extremely helpful . emailed day ask could check early . make sure able to . our room low level near restaurant / breakfast room not inconvenience it . the room spacious much like bed duvet instead blanket sheet . the badroom clean , maybe bit small . breakfast feast fresh fruit , cereal , croissant , ... return London stay ! 
 Dec 14 2007 	 good value Service 	 stay December 2007 -- Thought hotel fantastic value money -- room good size price pay , everything clean , breakfast wsa excellent staff really friendly -- would definitely stay 
 Dec 5 2007 	 happy price 	 get great discount rate Expedia 60 quid ( price quote Aus $ 138 + tax per night ) .Room low ground level . whilst space pretty tight , room nicely furnish & amp ; big king size bed , mini bar nice good sized bathroom . staff helpful breakfast adequate . complaint noise - could clearly hear gym equipment tv next door long 6 morning . however , early , & amp ; price pay , thrilled hotel would happily stay again . if pay full rate though , would want room upstairs somewhere away noise . 
 Nov 26 2007 	 Excellent hotel ! ! 	 know London terrible expensive . might expect much pay case experience hotel industrie 's good . after check see book we queen size bed . 2.06 meter scratch head go reception . give 2 alternative look . room king size bed choose one . go outside bite eat offer move luggage . professional aproch . location perfect . near Lancaster Gate central line . Hyde Park couple step away around corner great pub ! yes London still expensive mind pay little get excellent service . 
 Nov 8 2007 	 good location ... 	 good location Central Line , nice lobby , staff helpful nice check person reception ask twice take anything minibar , not like insist ... room low ground floor , next lift staff room , noisy 6 am 10.30 pm . Breakfast ok France Ibis hotel ( 2 star hotel - 50 euro / night , 300 euro Commodore ) 
 Nov 8 2007 	 little bit average unfortunately 	 visit London first time find great deal American Express . claim 4 - star hotel , however seem case . though decent location near Hyde Park 15minute walk tube ( train ) , worth effort stay . service ridiculous sense would shut heat every day , though 40 's , trouble water system , staff unhelpful . understand maybe try save electricity , however , least let we know shut heat every day ! room tiny experience expect 4 - star hotel . extrememly dissapointe stay hotel would recommend . 
 Oct 28 2007 	 good find 	 stay happy room staff , hotel , difference staff , reserve , still helpful , quite friendly . also breakfast include every day real money saver . suggestion hotel would vary breakfast fare little . good , week ready something different . hotel good location , close tube paddington station , across hyde park , great place rest bone long day sight see 
 Oct 15 2007 	 Good Hotel Stay 	 freade lot review trip , decide write review . Commodore Hotel nice 3 star hotel . 's small side , be common european hotel . lobby nice inviting . rather victornian style daughter like , room furnish way nothing else besides lobby . nice room , rather stark white black trim . bathroon bigger expect , although behind fire door suppose shut night , make awkward get night . bed okay really great . quiet nice . 's close Hyde Park many touristy area . tube entrance close Central Line . previous trip close CIrcle Line little convenenient , anywhere get tube great line easy follow get anywhere . front desk people helpful overly friendly . charge 4 GPD internet ( 1 hr . whether use hour ) . Breakfast come reservation . good variety ( nothing hot ) thing every morning many server bustle not seem relaxed . certainly save we money give good start day . eat hotel restaurant ( Mediterranean food ) right , not much menu want order . area basement ( window ) breakfast . room clean nicely done do every day . would stay -- like location . sleep anyway . buy 7 day pass tube economical easy use . 
 Sep 16 2007 	 Great Hotel - Crappy Desk Staff 	 stay Commodore 4 night early August , 2007.great room , nice bathroom tub , lovely outside patio , decent breakfast , CRAPPY desk staff - feel like East Germany 1980 be every time talk - cold arrogant - & quot ; problem & quot ; attitudethe hotel location great - near Hyde Park SWAN - nice pub , also close bus tube , walk distance Paddington station . but sure miss GREAT , soft ENGLISH HOSPITALITY ! ' m sure hire staff Hanoi HiltonThe hotel great bargain .... get room & quot ; OTEL.COM & quot ; , would highly recommend website . if not deal desk , nice London hotel ! 
 Sep 4 2007 	 first time stay UK ... commodore good choice ! 	 family 4 stay Commodore Hotel July 2 night . first trip abroad never book hotel online , reservation clerk really good . book 2 room townhouse part hotel - one 2 twin one queen ( seem like king ! ) . room roomy . teenaged girl room huge bathroom . room large bathroom quite small shower . lot antique room ... love ! clean room , get cigarette smoke waft room . England go non - smoking think staff might smoke near door window . might need work staff area smoke ... example : not smoke outside restaurant front door smoke really come ! breakfast really good . lot choice continental well english breakfast . service throughout hotel excellent . unfortunately elevator go floor go stair ... 3 week haul luggage , surprised . location great . even 10 minute walk Paddington Station 5 minute Lancaster Gate . super convenient location . find several great place eat , one stay away & quot ; Zorba 's Greek Restaurant & quot ; .We would stay Commodore Hotel without hesitation . 
 Aug 28 2007 	 Decent room - super location 	 great location - bus stop subway 3 block away . across Hyde Park . close Paddington . reservation Hotels.com get mess - ask 2 single ( mom son ) we double . front desk work hard correct ( full ) - take 3 shot get nice room . recommend ask see room fully check . room / bath small ( be London ) clean nicely furnish . 's old hotel character - e.g . room short stair get . continental breakfast decent . front desk helpful . workout room equipment good condition . 
 Aug 26 2007 	 Great Value Hotel 	 Great Value hotel , stone throw Hyde Park . 5 minute walk Lancaster Gate tube . massive choice restaurant pub within walk distance mean area quiet night time though ! island restaurant bar next Lancaster Gate tube recommend . hotel continental breakfast good , room quite small need ie bed , air con , tv shower . base price pay would recommend . 
