wonderful 	 sore throat hotel bring room carafe microwave make tea . wondeful . 
 Aug 20 2009 	 hide gem 	 husband recently stay one night Talbott . stay start great give free upgrade one bedroom suite . fabulous ! living room large couch , two comfy chair , flat screen tv full - size desk . bathroom also quite large 2 sink . treat share ! book on - line , receive complimentary continental breakfast . free breakfast limit : juice , cereal , yogurt , cold cut muffin . able upgrade well breakfast $ 5 . however , would know not eavesdrop diner . ( waiter helpful . ) $ 5 breakfast 2 egg , sausage bacon potato . quite bargain arrive pipe hot ! always plus book . Talbott great location . block Michigan Avenue , close Hancock Building Water Tower Place . despite construction do outside hotel , hear noise . ( Friday / Saturday . ) sure noise would bad week . another plus free Wi - Fi . still amazed many high - end hotel charge . would highly recommend Talbott Hotel ! 
 Aug 20 2009 	 Excellent service stay ! ! 	 family , include two teen girl , stay Talbott one week recently . one bedroom suite adjoining king bedroom ( two bedroom suite , actually ) find room impeccably clean comfortable . decor beautiful nice retreat hour shopping sightseeing . Talbott short walk Michigan Avenue locate State Rush never far restaurant , club , bar , , course , shopping ! husband walk along Rush enjoy nightlife & quot ; date & quot ; . staff Talbott friendly helpful . bellman concierge always smile & quot ; help ? & quot ; attitude . make annual trip windy city South Florida definitely consider stay Talbott ! ! 
 Aug 13 2009 	 Impeccable Service 	 first stay Talbot Hotel . stay several 4 5 star hotel city year . Talbot pleasant surprise ! impeccable room / suite -so clean , roomy , date relax ! help ever kind - we not confront employee not go way friendly , helpful comfort we . definetely return Talbot price 4 5 star hotel Chicago . 
 Aug 6 2009 	 update review 	 since write previous review Talbott hotel , decide update hotel deal issue sort out . after report complaint duty manager , restaurant staff completely change second day breakfast . ask everybody whether hold breakfast voucher . attitude also change positive way . become friendly helpfull . the bellman also change put complaint . smile try well make everybody satisfied . sale manager Patrick contact personally assure take action prevent type problem hapenne future . find professionalMy complaint feedback crucial necessary change staff service positive way . since see change recommend hotel people know take feedback seriously thing could change nice way straightaway . you worry trouble hotel , sure deal make u satisfy way 
 Aug 4 2009 	 comfortable stay downtown Chicago 	 wife stay Talbot Hotel downtown Chicago enjoy stay . room comfortable request top floor face away construction next door . construction issue we top floor could hear elevator running guess top floor . go back would request high floor 16th floor . staff absolutely amazing , friendly , helpful room large comfortable . free internet always plus . comfortable bed , pillow , nice tv , two sink bathroom , good shower safe room store valuable . leave IPOD clean people disturb . pool . trip note , great take place grab food right across street . easy access L train go Wrigley White Sox Cellular field . room $ 179 / night special summer rate . would definitely stay . 
 Aug 1 2009 	 Best Boutiques 	 wife return week 's stay Talbott Chicago . truly great vacation Talbott cut rest . my wife love room much , 2 day want stay room errand day . especially like heater marble bathroom floor . 
 Jul 28 2009 	 terrific location Talbott 	 stay 5 night Talbott easy walking distance Hancock Tower , Millenium park , Sears Tower etc . staff friendly , helpful . Menu vary limited . numerous restaurant nearby , avoid gibson expensive . large comfortable Room walk wardrobe , well equip bathroom toilet roll basin . cheap , central expensive Water Tower next door . 
 Jul 22 2009 	 elegant comfortable 	 enter scaffolding , immediately sense old world elegant feel hotel . book double queen room pleasantly surprise spacious room . ( think twice size room nearby W visit ) . bed comfortable room decoration luxurious . enjoy Aveda bathroom product . comfortable robe 2.booke online get we complimentary buffet breakfast 2 . buffet nice sit outside beautiful morning . nice construction next door finish . the concierge helpful dinner recommend local hotspot book we table night . restaurant pack long wait ( hour ) , not hungry wait bar . not expect much since make reservation . pleasantly surprise 10 minute pass seat . host say like concierge Talbott accommodate we since stay . free internet 24 hour come room . also take advantage pass local Equinox . hotel gym compare full service gym like Equinox . great workout ! 
 Jul 21 2009 	 good Chicago 	 Talbott must well , convenient comfortable hotel Chicago ! kingsize room , huge bed enough room bunch people ... hotel style & quot ; European & quot ; american way , mean dark colour tartan . not stylish , tre burgeois ! service mediate , front desk could take advantage smile , snob little ... hotel extremely well locate , Michigan Avenue stylish shop great reataurant . I would chose hotel ! 
 Jul 20 2009 	 GREAT stay 	 fabulous hotel , will never stay anyplace else Chicago ! travel frequently , Talbott pleasant surprise . location absolutley ideal , 2 block Michigan close everything ! warmly greet upon arrival room large well appoint , flat panel tv , nice bed towel nicely appoint , free WI - FI . staff could not helpful friendly , speak entire staff . great experience will stay anywhere else return Chicago ! 
 Jul 19 2009 	 comfortable warm stay 	 wife take trip Chicago celebrate 30th birthday hear great thing Talbott , able get decent rate single room suite . arrive hotel greet doorman big smile never go away entire stay . actually arrive around 9 am able get we suite without issue huge plus . also surprise we complimentary daily breakfast reserve room site . the hotel self bit old well maintain , still warm feeling really ' get new " modern " place . room outstanding huge living space , seem like even large bathroom , great bedroom . king bed one well ever sleep ; wife think . bathroom cover marble separate room toilet , large bathtub , large glass shower three sink . two together opposite side bathroom quite nice two people get ready time . the location optimal basically walk distance everything . block Magnificent Mile , block Hancock building , decent walk Navy Pier . street ' get bit crow construction next door ( never hear ) , long cross light , ' fine . I definitely recommend give Talbott try want nice warm , almost like home feeling , still right heart action . 
 Jul 17 2009 	 wonderful experience . 	 would long hear wonderful Talbott , really look forward visit . far surpass expectation . service first - class moment arrive check , hotel quite elegant comfortabe way , location could not well . would go back heartbeat ! 
 Jul 16 2009 	 Loved Talbot ! 	 special place ! ! location ideal , outstanding service Front Desk insure wonderful stay we . Sarah Naomi go way accommodate request away construction next door spacious room . room FABULOUS wait return new favorite place stay Chicago ! 
 Jul 7 2009 	 great location great hotel staff rate 	 husband travel in - law . late 80 's 51 . please 
 Jun 30 2009 	 visit warm elegant comfortable Gold Coast Hotel ! 	 come celebrate 40th wedding Anniversary treat like royalty . manager send chill bottle sparkle wine fruit tray within minute arrival . suite spacious , quiet , elegantly appoint . marble bathroom thickest , large towel ' ve ever see . closet every room . king size bed leave we relaxed refresh . staff eager make we comfortable check time leave helpful answer question neighborhood . walk hotel Navy Pier along lake dinner / firework cruise , next day brunch 95th . great place stay enjoy beauty city . 
 Jun 17 2009 	 luxurious convenient perfect city break 	 review accurate . arrieve little early take get room inconvenience , upgrade one bedroom suite . want live downtown Chicago , would love place hotel suite . perfect . huge beautiful bathroom separate bedroom . wish stay one night . location excellent . block Michigan avenue close lot shopping , dining nightlife also safe neighborhood . staff extremely pleasant doorman bellman front desk . really enjoy stay . also , comfortable bed . 
 Jun 16 2009 	 excellent small hotel . 	 wife spend four night Talbott early June . first stay hotel everything want getaway city . king room spacious , quiet , comfortable . bath towel especially nice . the hotel staff friendly helpful , yet relaxed . receive excellent service everyone help we . enjoy nice breakfast restaurant two morning . 
 Jun 16 2009 	 exceptional ! 	 Talbott provide exceptional experience stay Chicago last March . size room comfortable , take back large room give large inner city location . staff accommodate every request . interior pull like cozy bed breakfast country warm tone fireplace , forgot step away excitement city . look special experience , favor book room Talbott ! 
 Jun 16 2009 	 Best Hotel Chicago 	 beautiful large guestroom suite , excellent service , to - die - for linen ... overall one good hotel experience group season traveler . 
 Jun 15 2009 	 Great Luxury Boutique Hotel Close everything 	 stay Talbott 3 night business please . staff friendly immediately confirm lore midwest . upgrade suite big apartment certainly luxurious . free wi - fi come handy need work remotely . everything comfort bed staff location make great stay . oh , get workout huge Equinox right next door free . 
 Jun 3 2009 	 excellent 	 come Chicago year romantic get away . Talbott favorite hotel far . get amenity & quot ; big name & quot ; , price reasonable cozier atmosphere . location great , staff helpful friendly . personally love small hotel quaint high quality . highly recommend look . 
 May 28 2009 	 great hotel would recommend friend 	 husband & amp ; travel Ft Laud Chi - town year 2nd year stay Talbott look forward come back next year . great location close Michigan Ave & amp ; Rush St , daily pass Equinox gym Bloomingdales building . always excercise travel therefore gym important we . Hugos Frog Bar Rush St great place seafood , even run general mgr Chicago Bears . will not disappoint stay Talbott ! 
 May 14 2009 	 complaint 	 not think could even think something complain .. food excellent , room clean beautiful , location great . service exceptional , friendly , helpful beyond expectation help we direction around city , transportation , anything else need .. thing kind eyesore anything construction building next door hotel , though could not hear see room , construction city . would highly recommend hotel would definetly stay . 
 May 6 2009 	 Luxury Boutique 	 quaint romantic , yet masculine . ' ve notice Chicago hotel bar 's hard get drink much less seat guess 's small hotel problem Talbott - plus people take drink seat lobby 's invite - cozy comfortable - love ! would love stay must say surprised comment comfortable bed - firm . also note gym premise - walk shopping enough workout ! 
 May 5 2009 	 Fantastic Location 	 Hotel beautiful , incredible large bedroom staff amazing . locate stroll Michigan avenue , beach , shop bar door step . definitly return . 
 Apr 26 2009 	 check door lock ! ! ! ! 	 plenty great thing say Talbott : 's location brilliant shopping , restaurant , bar everything great city Chicago offer . hotel beautiful , lobby elegant room tastefully decorate . manage get great offer via internet choose corner executive room . however , get ' internet ' room construction right outside window ! first downside beautiful place cleaner leave room door unlocked finished cleaning . certainly surprise try put key door swing open . downside room service minimal . order dinner receive beautifully set tray flower , 2 glass water 2 bowl pasta absolutely nothing else . pasta put microwave serve bowl , bread , garnish absolutely nothing . fo price charge expect . breakfast , not include internet pricing , good . would recommend hotel nice shopping weekend . 
 Apr 11 2009 	 nice hotel nice location friendly staff . 	 wife return trip Chicago , agree reviewer hotel gem . great location ( 2 block magnificent mile , 1.5 mile walk original Marshall Field 's ) . staff friendly , accomodation old - Chicago flair . believe build next door construction , loud , could hear worker business hour ( maybe reason great price ? disturb stay ) . parking include ( not stay big city often , ' m sure normal ) . would also recommend try book though hotel - significantly cheap travel search , like Orbitz . 40 & quot ; + Aquas tv , available mini fridge request , nice elavator ( elavator town make life flash eye ... ) . 
 Mar 30 2009 	 like bed Breakfast intimate hotel 	 first Talbott 10 year ago pleasantly surprise small warm interior surrounding . walk private livingroom feel like opening book curl forot fire . quaint little bar / restaurant well . service outstanding however always polite . perhaps simply wish people WOW I . ! bathroom ( - say like every room ) could update line sumptious bedroom allure . I would recommend night stay Talbott . 
 Mar 17 2009 	 make one feel one Manor bear 	 upon enter lobby feel like step english man 's club . Cosy , charming , elegant , hotel make feel guest someone 's home . I stay King deluxe room spacious . bed feature pillow top mattress first time ever notice bedding hotel stay . the bathroom feature shower soak tub take ample use . mini bar upscale one see Voss water , exceptional wine , gourmet cookie along usual array soft drink , beer etc . it room service way . recommend Lasagna Emiliana chocolate gelatto dinner along bottle wine mini bar Banana - stuff Brioche French Toast Mascarpone , Hazelnuts syrup Breakfast . if not feel like stay , hotel well locate would think dine Le Colonial Pierrot Gourmet block away . I admit , stay last December issue hotel , follow professionally promptly , decide stay choose stay rather night Northwestern hospital . 
 Mar 8 2009 	 great hotel - wonderful staff 	 stay hotel several time business love stay . bed comfortable , robe room , room nice spacious , staff incredibly helpful . highly recommend hotel . 
 Feb 28 2009 	 great location restaurant staff ! 	 careful stay room end 07 08 , early construction start side building .... loud annoying . excellent place stay . nice small lobby fireplace sit drink . cab pull right front hotel . love . college visit get great rate . 
 Feb 25 2009 	 Awesome Hotel 	 stay Talbot two night . love everything hotel . staff wonderful , helpful extremely friendly . room elegant , spacious , clean quiet . location great walk everywhere . not eat restaurant many choice ( ask concierge ! ) . negative spend 48 dollar day parking ... guess come city . would definitely recommend hotel ! 
 Feb 23 2009 	 wonderful relax hotel - definitely back ! 	 spend long weekend Talbott . book via small luxury hotel website receive free room upgrade . room spacious Chicago hotel . doorman excellent good suggestion we . hotel nicely locate , couple block Hancock Center . wonderful stay , definitely go back ! 
 Feb 13 2009 	 Fantastic Boutique Hotel Friendly Helpful Staff 	 room spacious surprised base previous stay hotelss Chicago . rate less ' ve pay hotel city . I love High Definition Television room . technical support help get log high speed internet connection within couple minute . the staff helpful direction recommendation dining . help print boarding pass business center charge . the Bell Hop run cabbie several time help fare information . I strongly recommend hotel business colleague , friend family . 
 Feb 2 2009 	 Chicago 's Best Boutique Hotel 	 Lavish , overdone , hotel make average person feel like member royalty , night . lobby room , Talbott offer rich , elegant décor add charm old world luxuriousness grand old hotel . great dine even good shopping choice make one Chicago ' elegant boutique hotel . ' stay Palmer House Ritz Carlton . great Talbott top hand . 
 Dec 28 2008 	 Great Stay 	 stay Talbott week enjoy stay . room little noisy next lift , everything else make that . positive : bed comfortable , great real shower , free internet , gym usage , staff ( friendly ) location . negative : Lift noise , lifts slow restaurant ( many great restaurant around - not bother stay ) would stay ! 
 Nov 28 2008 	 Great Trip 	 great stay -- staff accomodate moment arrive . provide superior service . we live western burb stay evening Chicago head town vacation . easy access public transportaiton Thanksgiving Day . bed extremely comfortable , pillow linen great . will definite consider next year travel Chicago . 
 Nov 24 2008 	 Loved Talbott 	 location , room , staff outstanding . not eat , not waste money drink .... 's thing great . many great place right around Talbott , 's place stay ! 
 Nov 23 2008 	 Loved Talbott 	 3rd 4th stay Talbott . really love hotel . location 3 block Chicago / State red line stop . 2 block Michigan Ave Hancock tower . over last 2 year since start stay Talbott Chicago , feel value dollar not good . understandable . great hotel , par hotel charge similar rate . you use get pass Fitness Formula Club ( gold coast location ) short block away , give pass Equinox club actually close Michigan Ave . however , Fitness Formula Club way well . much big huge selection equipment . disappointing . free internet reliable . never problem . next time ' m Chicago , even though love Talbott , think might try something else since money buy hotel rate high trip advisor . 
 Nov 20 2008 	 great hotel 	 love stay Talbott . Chicago attend theater show Dirty Dancing . book room Orbitz receive nice discount . arrive hotel everyone doorman front desk maid highly professional courtesy . upgrade King bed suite . suite well decorate spacious . wife particularily enjoy heat could direct marble floor bathroom . love hotel definitely stay Talbott next trip Chicago . highly recommend . 
 Nov 13 2008 	 wonderful intimate hotel ! 	 wife recently enjoy couple day Chicago see play fully enjoy experience Talbott . initially , worried service due concierge 's inability return e - mail reference order flower wife , call hotel , concierge helpful arrangement order absolutely perfect . lobby small ( intimate prefer ) , like feel anonymous enter leave , hotel . Doormen , bellman , receptionist attend need wish well big smile . old hotel , sometimes wait elevator ( be slow small ) , overly . room spacious clean , bathroom suite huge absolutely gorgeous ( will remodel soon ) . wife visit Lush Body Shop supply take less three bath stay . bed absolutely comfortable . would agree other quite bit construction area ( like right next door ! ) , reality , hardly notice . hear hammer , turn Ipod ready radio 42 & quot ; widescreen tv . city , . location wonderful ! couple minute stroll Water Tower Place $ 8.00 cab ride Oriental Theater . whole , stay wonderful absolute bargain compare hotel area . will back . 
 Nov 1 2008 	 enjoyable stay 	 return 4 night city break Chicago . booking last minute cause we problem find vacant hotel . Talbott offer expensive rate suite ( last room available ) . track MUCH cheap rate activehotels.com regular room . on arrive Talbott , upgrade one - bedroom suite ! comment mention , LOT building work go immediately adjacent hotel . however , jetlag wise , 5 hour ahead Chicago time , hotel 0800 not return till late , hear noise . suite comfortable spacious , free wifi . bathroom 2 large sink - plenty room husband spread . bed EXTREMELY comfortable , fussy respect . location excellent - weather sunny , pretty much walk everywhere . concierge ( Stephanie Tim ) knowledgeable helpful , come good recommendation steakhouse would pack convention goer fellow tourist . staff friendly welcoming - enjoy stay , would readily return hotel . 
 Oct 10 2008 	 great choice 	 generally stay Omni Chicago book find hotel great deal orbitz ( $ 199 per night ) book . great . location Ideal . walk right onto rush street enjoy good food town . decor hotel nice bed comfy . find room clean staff helpfull . think first choice future . 
 Oct 8 2008 	 Love talbot 	 talbot great . everyone friendly helpful . room update . street Talbot great , side street tree line . starbuck right across street . bar / restaurant hotel really nice . small nice cozy place get cocktail . would highly recommend hotel . 
 Sep 24 2008 	 Lovely Boutique Excellent Location 	 great location 1 1/2 block North Michigan Avenue . quiet part street . lovely , quaint lobby professional attendant check we early spotless room . room double queen , hotel standard , huge ! hotel would somehow carve space 2 room . give child someplace play . downside room feel humid , despite every attempt make re - adjust HVAC . otherwise , wonderful would not hesitate stay . 
 Aug 31 2008 	 great visit city ! 	 husband stay three night visit Chicago tourist . beautiful hotel ! room lovely , staff super helpful location convenient . not house gym , day get day pass cushy gym street . restaurant hotel yummy breakfast . concierge help we make dinner reservation last minute first night there . we able walk Magnificent Mile hotel , well Gold Coast Old Towne neighborhood . ton great restaurant area ( include famous gibson Signature Room Hancock tower ) well lot shopping . there currently lot construction go near Talbott ( building condo right behind ) , regardless wonderful stay would definitely stay visit Chicago . 
 Aug 19 2008 	 nice 	 spend four night Talbott . hotel good , staff pleasant helpful , room spacious , clean comfortable bed fantastic . stay downtown Chicago rebuild , seem go right . noise construction vicinity intrusive off - put look like long way go . I back Talbott sure , soon . 's certainly reflection hotel staff , simply noise . 
