fabulous 	 stay one night & amp ; great ! complimentary valet parking & amp ; would even allow car park till late evening even check , . location great we couple block great American Music Hall plan see show night town 5:30 wine reception great start evening . staff friendly , helpful , energetic , & amp ; funny check check ! fiance read reviews hand & amp ; know reserve top floor say room room noise issue - none ! room & amp ; bathroom clean & amp ; crisp feeling . love eco - friendliness hotel offer ! ! will definitely stay . already recommend Hotel Carleton everyone speak trip ! 
 A+++++ WO not DISAPPOINTED 	 stay Carlton Hotel 22 November 3 night honest try change booking follow read negative review tripadvisor . could not get booking change hold breath hope well . glad go Carlton . hotel situate Sutter Street 15 minute walk Union Square , know everyone keep go front desk staff see believe helpful friendly , really genuine really go extra mile make sure great stay . room base back hotel massive bed , room bathroom tastefully decorate . hotel near Tenderloin area good area city , staff warn checkin go near , unfortunately wonder feel threaten vulnerable , although one approach even speak we , warn pay attention go . other review also state wall paper thin hotel , categorically state light sleeper hear single sound room entire stay . certainly could hear traffic fire siren hey expect stay middle major city . I really not know negative reviewer talk , glad take chance stay wonderful hotel . 
 Brilliant hotel load character staff match 	 stay 3 night 22 - 25 November 2009 . arrive hotel , greate Theo reception , load character , professional cheery funny . Check- easy instantly ask need direction anywhere tour organise . give we map , point get Fisherman 's wharf number 47 bus Van Ness Av , short 5 min walk stop . also explain within walk distance main shopping area . miss Macy 's Westfield Shopping Centre . only slight grumble room bit noisy could hear guy next dooe cough quite loudly Theo also explain hotel 5.30 Wine reception every night , meet fellow traveller . make every night , Theo provide music play keyboard hotel . meet load people neck wood , cruise previous staying hotel , brilliant time reception everybody make point back this . the breakfast hotel expensive , load cafe 's etc around hotel , hotel recommend Wing Lum chinese dinner , much look inside , food excellent ( 1 portion 2 load ) pass knowledge 2 group also eat . also little Henry lovely italian cafe / diner typical good italian food , run chinese family reasonably price . Alcatraz miss 
 Fabulous Hotel Great location 	 Fabulous Hotel , Great locationI absolutley adore place . feel family run cosy , ideal location town , shopping , cheesecake factory ! never eat restaurant hear good thing it . stay , good hotel ' ve ever stay . 
 Nov 1 2009 	 friendly staff nice comfortable hotel 	 first hotel road trip across US make perfect start . staff welcome funny , room fine food & amp ; service restaurant good , little expensive evening . we particularly enjoy regular evening wine & amp ; music . bit cynical thought first go sale & amp ; marketing ploy , genuine chance guest mingle & amp ; talk ( sit drink free glass ! ) go back SF would stay . 
 Nov 1 2009 	 Great price 	 fiance plan trip San Francisco August . research several hotel San Francisco , pick Hotel Carlton base price . one economical hotel , not come without inconvenience . get anywhere tourist may want go , will take cab form public transportation . buy 7 day bus pass , although could probably could gotten away buy 3 day driver never check date scratch . staff really friendly . arrive room , screen tv break within 20 minute , fix . front desk staff welcome always answer question . along distance major San Francisco attraction , downfall . build old , bathroom really show . shower pretty outdated little dirty look ( although ' m sure stained ) . also wall thin . put adjoining room thin door separate we loud neighbor . could hear every conversation tv show watch , light also shine room completely dark light . ' m light sleeper probably would not go back , heavy sleeper , place great ! 
 Oct 31 2009 	 bad hotel ever ! 	 stay 16 different hotel 10 year bad , nice reception friendly staff room date smelly , one thing spoil holiday wall paper thin could hear every word people next room say someone shut door eveyone else know . 
 Oct 25 2009 	 rubbish 	 wife stay 3 day arrive ask map reception give we map pencil aeras go tell we keep dead bolt ther door wife tterrifie would leave hotel night many freak read review understand people say good place must drug something think red light aera massage parlour alot dodgy people float time even go hotel door wear locked time fag 1 mornig 330 2 guy try breake atm machine hour watch police turn one car four car van think tell aera people say good must head would recomend hotel aera bad enemy feel totaly unsafe leave go airport 15 hour wear due fly would reacomend fisherman wharf nice place stay thanks terry iam also contact thomas cook regard hotel aera send we total disgrace 
 oct 23 2009 	 good hotel decent area 	 wife stay week early October . find hotel decent area , good transport link close city . 15 min walk take Union Sq China Town , bus frequent either Sutter 1 street ( one way system ) .Other post say go wall paper thim - would agree add sound proof outside well either - beware siren nearby fire station be room back hotel ! bath old ned replace , think good hotel rom have . the hotel staff numerous poster suggest helpful friendly . never take advantage free wine make good use bar next door happy hour . overall , good hotel , nicelely decorate would stay agin visit SF . 
 oct 22 2009 	 staff make hotel feel like home 	 hotel right action - 10 minute walk union square 15 - 20 minute Fisherman 's Wharf , willing short walk ( use excellent public tran come right hotel ) , place great ! ! ! everything clean , room decent size ( four woman feel cramp ) , bed really comfortable staff beyond compare . right away make feel welcome . really get feel love job enjoy meet guest . town Nike Women 's Marathon get back hotel race staff start clap cheer - sweet ! ! every night happy hour never seem end unless want ( not happy & quot ; hour & quot ; last 3 hour glass always seem full - thanks Edgar ! ! ) . ask little paper star around lobby next thing know get lesson supply could make home kid . kid love ! theo patient teacher ! ! staff friendliest ever encounter hotel , can not say enough ! breakfast restaurant good , 2 bar close , one lounge type active sport bar . everything else bit walk not bad , say , block Union Square . if go back area would definitely stay would recommend friend ! ! 
 oct 22 2009 	 shabby area seedy 	 read review regard hotel can not believe 's one stay in . although agree staff friendly , room badly need update . athough bathroom clean bath old badly stain , carpet . night arrive weather turn cold , heating room apart rusty old radiator . friend complain cold ask want portable heater room . arrive late first night , hungry staff recommend bar next door , order pizza , finish see mouse run , inform staff seem totally inconcerne . hotel also seedy area , out plentiful sleeping opposite hotel . Carole O'Hare Merseyside England 
 Oct 21 2009 	 Great Hotel Unique Friendly 	 stay three night start California drive holiday , really enjoy experience Hotel Carlton . I little concerned location arrive , feel safe throughout whole visit ... plenty good breakfast diner nearby , short walk Union Square . the staff friendly helpful , despite previous review state thin wall not problem noise room . 
 Oct 21 2009 	 solid 3 star hotel great staff expensive parking 	 San Francisco large conference @ Moscone Center , fleet week boot . hotel scene tight end . 's nice neighborhood - be go hike / taxi / drive attraction BART nowhere close . 's old hotel , nice lounge first floor , great desk staff generally pretty clean . good stay hotel , couple thing know : 's central heat , control heat room , full power system , cold 's . stay warm season see aircon . parking , valet hotel , $ 30 / night + tax arrive local lot full - really handful small parking lot around hotel likely stuck valet driving . nice hotel . wine taste evening , Zagat rate restaurant onsite - although try . would stay - maybe - have sure work Priceline pretty hard first , well deal . 
 Oct 21 2009 	 would definitely recommend ! ! 	 stay four night friend 28 Sept 1 oct visit San Francisco . location good want . staff friendly room clean . city , quite noisy would expect . downside accord friend fact bar . easily solve though nice bar next door friendly atmosphere . 
 Oct 21 2009 	 great hotel great location 	 go San Fran first marathon . hotel great great price location . quick 5 block walk Union Square . room frill nice clean . complaint nice level really due rude guest rather hotel fault . great restuarant near course wonderful shopping square . return San Fran would definately stay hotel . 
 Oct 20 2009 	 good service uncomfortable bed noisy 	 really want like hotel return . service good employee friendly . breakfast hotel restaurant one morning good well . however , bed uncomfortable due mattress stain comforter make feel dirty . also , wall thin . could hear noise hallway ... every word . unfortunately never get good night 's sleep , even ear plug . good price area ( like Lower Nob Hill North Tenderloin - Union Square ) . 
 Oct 19 2009 	 nice basic hotel good restaurant nearby 	 Carlton one luxury hotel Union Square , clean , great service excellent restaurant . bill Union Square area , good 7 block . really area call & quot ; tenderloin & quot ; area , 3 block nob hill area - want walk outside shopping , not hotel . probably convert walk apartment building , bathroom room small comfortable . 
 Oct 18 2009 	 honest review 	 stay follow hotel stay USA Sept 28 - oct 12 2009.the Crown Plaza Anaheim CaliforniaThe Courtyard Marriott , Waikiki , HawaiiThe Hotel Carlton , San Francisco . if question / query , please email dhemingsley @ protocol - skills.co.ukmy husband stay Hotel Carlton October 2009 fab , fab time ! hotel quaint quirky - love ! hotel middle Fishermans Wharf Union Square . reception tell we could walk 2 block catch local bus service . would take we directly Fishermans Wharf - perfect ! bus route number 47 cost $ 2.50 return . operate every 10 min 6 am 9pm . Union Square approx 15 min walk - 7 block . hill luckily . we book tour company call City Sightseeing base Anchorside shopping centre Fishermans Wharf . easy find - red , double decker bus . go Golden Gate Bridge , around street building San Fran also tour Alcatraz . book England £ 50 , ticket buy ! notice tour Alcatraz sell couple week advance look go 's something interested in . there not really alot say Hotel Carlton lovely ! staff lovely far concerned fab location ! San Francisco quite spread - dependant interest , depend whether hotel would suit need ! know lot people advise stay Fishermans Wharf , majority restaurant . do not bother we want look around everywhere - spend 2 full day be not issue . 
 Oct 14 2009 	 great staff great hotel 	 really enjoy stay hotel carlton , straight away meet friendly funny reception staff show we go , see . hotel situate 10 min walk away union square nice clean neighbourhood . breakfast nice hotel nice breakfast available block away towards union sq , pancake die ! ! hotel room spacey , clean quiet comfortable , highly reccommende 
 Oct 12 2009 	 charming character hotel 	 stay four day manage get room reduce car parking rate . lovely room traditional blind , old fashioned lamp etc . huge room , plenty big enough travel need . visit SF would stay . 10 minute walk centre . staff run breakfast morning extremely friendly , polite , quick helpful . 
 Oct 11 2009 	 nice hotel close access place go . 	 room interesting . bed comfortable . desk staff go way answer every question , always polite helpful . the SAHA restaurant build wonderful dinner breakfast little pricey . the hotel willing recommend place within walking distance . 
 Oct 8 2009 	 comfortable clean friendly 	 stay Carlton business trip recently . stay . room comfortable , clean charm . theo , long stand employee make sure get great room quiet side hotel view . minor glitch fix call desk . great unique restaurant site . also internet access room . elevator small slow great picture around world look ride . 
 oct 8 2009 	 Hidden gem 	 arrive last part trip cover much canada Hawai final day return uk . we arrive late night flight delay receive warm welcome . this small friendly hotel . the reception staff pleasant welcome obliging . the restaurant helpful nothing much trouble.the room although date clean comfortable . love free wine early evening chance meet hotel guest . 
 Oct 8 2009 	 Great Hotel- Fantastic Staff- Free wine- thin wall ! 	 Loved hotel ! ! staff GREAT ! friendly funny ... & quot ; smoke hotel- drinking hotel , please come free wine 5:30 ! & quot ; room awesome ... old , funky , nicely appoint clean ! plumbing fixture new , tub pretty old . top floor- great view ! read previous review wall thin , bring earplug . neighbor first night , second night could actually hear guy snore wall basically hear conversation go another time ! So- yes- thin wall , lucky end hall ( 1 neighbor walk ) fairly quiet hotel guest go . elevator could hear couple talk loudly every day ... would drive crazy . 
 Oct 8 2009 	 Loved hotel ! 	 book hotel see price review . review lie . everyone work friendly helpful . anything need help we book type activitie we . make stay much enjoyable . room perfect . clean , nice everything need . safe room large enough laptop . free internet nice well . wine reception great . not make every night would definitely recommend . location great . easy get place , easy use public transportation . really nice bar restaurant right around corner . feel totally safe entire time . noise - ask room adjoining hear sound . hear door close around case hotel . overall perfect hotel vacation . oh , AC thing problem . mini heat wave fan window enough . Love 's eco - friendly . 
 oct 4 2009 	 well place comfortable friendly 3 - star hotel 	 stay final 4 - night 3 - week tour west - USA follow recommendation Tripadvisor . book stay Expdedia get great rate part sale event . the hotel situate near downtown area San Fran ideally place catch public transport system . Carlton good 3 - star hotel friendly helpful staff . comment previous Tripadvisor entry regard hotel street noise low floor level . stay floor 6 hear first - hand guest 1st floor , find street noise unbearable . , thank point high floor well ! also make sure room not next lift shaft ! site restaurant , SAHA offer arabic - fusion food - highly recommend ! great atmosphere restaurant food brilliant . there bar restaurant around hotel ; supermarket right around corner & quot ; Walgreens & quot ; ( corner Larkin Bush ) , Union Square 15 - minute walk Sutter Street . get around must use public transport system - & quot ; Sutter Fine Foods & quot ; sell 3 - day pass $ 18 per person 's well worth it . free internet access another bonus hotel , two pc 's near reception printer ( first 20 minute internet free ) .No fridge room would nice , although safe . there air - con , window open fully . ceiling fan offer good air circulation temperature city stay pretty comfortable , imagine room quite uncomfortable height summer ! free wine evening 530pm hour lobby - nice touch offer hotel - good way mingle . in summary - real gem city , good quality 3 - star hotel would definitely recommend would go back visitte San Fran ! 
 Oct 3 2009 	 pleasantly surprise 	 happen upon hotel hotel usually stay booked . pleasantly surprised . use AAA get discount also upgrade King Deluxe free . turn great place stay . bottom Nob Hill , near bus line easy walk distance downtown Chinatown . room , lobby , restaurant beautifully decorate middle - eastern theme whole place spotless . restaurant excellent , staff friendly helpful . seem make point ensure satisfied . . sure ask room one upper floor . 8th ' hear street noise . way , check Crustaceans Restaurant . ' 3 block hotel fantastic . noodle crab world . kind pricey , worth . 
 oct 2 2009 	 true view San Francisco local life 	 stay Hotel Carlton Joie de Vivre group hotel four night mid November 2008 . staff hotel one friendly professional helpful ever meet . room lovely well equipped . free fast wifi internet access plus . room well decorate really remind time use resident interesting city . the hotel locate good area city centrally locate away place probably well away street hill . for true view San Francisco local life hotel one good ! highly recommend , back ! 
 oct 2 2009 	 dissapointe 	 choose Carlton fall within price range good review TA . arrive luxury Las Vegas ( price ) dissapointe . we get terrible start Lorries shuttle ( recommend hotel ) driver rudest guy ever meet life . never speak apart bark us & quot ; hotel & quot ; drop we snatch confirmation tip ( sure bothered tip ! ) never say thankyou goodbye .. strange man . guy take we back not much well although manage & quot ; hello & quot ; anyway digressed hotel suggest use , think would well warn ! ! staff hotel really nice helpful . guy reception give we map show we area avoid etc . our room top floor ( 9 ) expect something little special suppose deluxe room . nothing special .. basic apart decent tv . Bathroom general & quot ; worn & quot ; feel . try sleep ! ! feel though outside ! window offer sound proof could hear traffic bar next door . fire station near siren go time . neighbour arrive could every word say . wall must paper thin . luckily that s hear imagine could get embarasse ! ! expect hotel old fashioned look forward contrast modern room Vegas . lovely feature look little tired side honest . the location not great either . good 15 - 20 min walk back Union square never feel particulaly safe walk back Sutter Street . guess reflect price pay though fair enough ! overall would recommend stay nearer Union Square nearer Fishermans Wharf ( worth extra buck ) . can not fault staff though . really nice helpful . wine reception evening nice touch too . the Fly bar next door great food drink . couple really nice pizza good choice beer . 
 Sep 30 2009 	 comfortable cozy retreat close action Union Sqaure 	 stay Hotel Carlton ( part Joie de Vivre group hotel ) four night mid November 2008 first week holiday drive San Francisco San Diego L.A . initially , arrival San Francisco car take BART train airport centre . upon check give map city tell main sight attraction area avoid namely tenderloin district . however discover area already make way BART station hotel . rather take taxi direct airport , decide take BART ( save dollar ) try work stop would close hotel , decide get Civic Centre stop . prove bit mistake ( unforgettable experience nonetheless ! ) , drag case escalator train station try look taxi could find vacant one ( not many ) . decide walk direction hotel try pick taxi en - route . haul luggage past Civic Centre demonstration go road close , may explained lack taxi . walk direction hotel take we straight Tenderloin district . rough area luckily around 3 o'clock Saturday afternoon not encounter problem . hotel outside Tenderloin district ' amazing difference couple street make . odd way give we opportunity see part San Fran , tourist would never go one positive . room locate fifth floor . everything good working order keep extremely clean tidy . room spacious contain huge king size bed . also room iron board & amp ; iron , tv , Hairdryer , coffee maker Safety deposit box . also bin recycling , show environmental ethos . review state thin wall hotel , extent may true , come attention , occupant room next door decide argument much money spend one day . ( yes could actually hear every single word speak ! ) . however , affect overall stay . within hotel restaurant , use breakfast first day stay . breakfast - order menu - typically american include cereal , pastry , toast cook breakfast menu . far food concern - breakfast eat fine - nothing spectacular nice same . locate outside restaurant water vend machine ( free use ) , great top water bottle day explore city internet point , although internet free use . the location hotel close Union Square – 10 minute walk along Sutter Street cable car easily catch take hill Fisherman ' wharf . the hotel also host reception evening stay . ' make start 17:30 still day . appear chance guest staff get know one another share experience , along free glass wine . overall book stay hotel explore heart San Francisco Hotel Carlton disappoint provide excellent comfortable retreat . 
 Sep 29 2009 	 great SF hotel 	 Hotel Carlton exellent base explore SF . staff friendly . efficient knowledgable SF region willing provide advice organise transport long trip . hotel well place walking shop restaurant . room comfortable provide needed week . highly recommend excellent hotel anyone want comfortable well appoint hotel within easy walk many SF 's shopping opportunity ! . Cindy Hazel 
 Sep 26 2009 	 Clean - friendly - comfortable ! 	 good staff ! go way make stay comfortable . whatever need - help get , choose , get ! old hotel CLEAN . love free wine social every nite give we chance socialize other world love . since get hospital many medical issue happy 2 blk hospital . comfortable bed pillow . would definately stay return . 
 Sep 23 2009 	 Great Location Friendly Staff Good Value 	 hotel base 8 minute walk Union Square good bar restaurant around . arrive late vallet parking close . could park car directly outside main entrance take care next day . room clean , big comfortable bed . staff always smile pleasant . really like hotel want sheet towel change every day , place note bathroom bed . environment - orient . book three week advance receive special rate , also great . 
 Sep 23 2009 	 Shame thin wall 'cause everything else perfect ! 	 like look sound everything else Carlton Hotel , choose ignore warning thin wall , unfortunately true . not enough ruin great trip one favourite city , really would perfect hotel could make wall bit thick somehow ! ! great room top floor nice little view city , bed comfortable , love recycle environmentally friendly touch , 's great spot , staff amazing , elevator cool , decor furniture beautiful ! else could want hotel ! ? ! answer : hear discussion wear group girl room beside like room ! damn shame , otherwise really really great place stay . oh yemeni restaurant downstair excellent . little pricey , worth money . be SF , must check pirate disposal shop 826 Valencia bizarre wonderful - ness Paxton Gate , next - door . two shop side - by - side ... city ! ! ! ! 
 Sep 22 2009 	 Clean Friendly Comfortable Great Value Money ! 	 colleague spend 7 night Hotel Carlton Sutter pleasantly surprise . strike we immediately friendliness staff . warmly greet give map help we around . staff joke business trip much work hotel put free glass wine every day lobby half hour . think great idea , hotel try fleece , give stuff free ! meet couple friend evening drink . it great hear Wi - fi free , friend hotel charge $ 15 day . room comfy , without grand maids immaculate job tidying room ( ' m messy ! ) . also really friendly jump skin couple time , maid greet & quot ; good morning ! & quot ; end corridor ! not eat restaurant , can not comment food . lot siren noise Saturday night , every night fine . couple people comment wall bit thin could hear noise . not experience , know one couple find noisy next lift . people say location dodgy , not find problem . walk city centre everyday think good location , long good pair walk leg ( 20 min hotel financial district , albeit San Fran hill ! ) .On whole , completely positive experience value money . would go back day . 
 Sep 21 2009 	 Laugh - a - minute Club Carlton 	 enjoy fawn , give Hotel Carlton miss . no , starch short supply guest arive 1075 Sutter Street . informality rule , thing , well , back winner . it seem every staff member enrol pass college course Perfect Host . warm welcome get hotter experience Carlton , help make first San Francisco vacation one keep we cosy year come . front - desk staff lead way , greet like long - lose friend check - in , immediately become cognisant fact join & quot ; Club Carlton & quot ; go laugh - a - minute membership first last . our room exactly picture pour week anniversary trip . frill , true , pay no - frill price , happy get money 's worth . our first meal San Francisco Carlton 's Saha Restaurant , turn good 10 - night holiday city Las Vegas . delicious food , splendidly serve , middle Eastern influence get taste bud salivate . compliment chef ! many review hotel address thinness wall separate apartment , , yes , & quot ; elephant room & quot ; ignore . we go expect , get . spoil holiday ? jot . noise go issue , simple solution . ear plug . enough say . I ' m go skim complimentary wine offering , hotel & quot ; goody & quot ; well document elsewhere review adjoining . step - by - step guide Carlton offer tourist , recognition still hotel reach spot other can not reach . Joie de Vivre ? Absolutement ! 
 Sep 21 2009 	 Paper thin wall 	 central location , great breakfast downstairs , feel though share room stranger . lady stay room next door first night keep we night hacking . go downstair change room seemingly open one . next neighbor issue toilet seat proceed slam hour . luckily end room could not imagine noise people side we . 
 Sep 20 2009 	 Great Hotel free wine ! ! 	 one nice Hotels ' ve ever stay ! staff exceptionally friendly helpful , public area attractive . room well appoint spotlessly clean ( apart skirt board , partner notice - 's funny like ) . yes , could hear little ' street ' noise , really expect be middle San Francisco ? ? anyway , whenever hear siren start , simply drown rendition ' Indiana want ' , fit well . we especially enjoy complementary wine reception every evening , take full advantage ! obviously important us sample three wine ( red , white rose ) time . location not bad ; 10 - 15mins walk Union Square , California Street cable car couple block away . people stay week heartily recommend seven day travel pass cost $ 24 , get money back time . available convenience store across street Hotel . Breakfast take Saha Restaurant , cost extra . whilst cheap place breakfast , OMIGOD ! ! food amazing ! ( opinion , anyway ) . like tofu savoury food breakfast . be look bagel probably well go somewhere else . can not comment dinner like Saha , never make , ' m guess would pretty good . we absolutely love San Francisco , hotel perfect place stay perfect city . 
 Sep 20 2009 	 nice hotel helpful staff 	 stay 5 night not disappointed . nice hotel , helpful staff , french speak . nice big room , walk - in closet . issue : 's soundproof , hear neighbour even especially loud . wine taste every evening , fireplace hall hotel . 
 Sep 14 2009 	 welcome right start ! 	 stay hotel 3 night 8 day trip San Fran drive LA . moment step hotel welcome 2 member staff lovely manner helpful accommodating , suggest book activity require without fuss bother . room adequate clean in - room safe , hairdryer wi - fi ( free ! ) . ideally situate say plenty place eat around area . would definately use hotel visit SF . definately book Alcatraz go book day went use Tower Tours ( absolutely fantastic something would ever normally ) fantastic synopsis view SF fab driver know much . 
 Sep 10 2009 	 reasonably price quality hotel good location 	 family 4 UK ( 2 adult , 2 boy - 10 & amp ; 12 ) stay Carlton late August . good thing read hotel true ! book direct hotel great email correspondence Reservation Manager right room we . settle corner room 3rd floor 4 we . arrive , reception staff genuinely friendly helpful . room quite large enough tastefully decorate . noise problem outside though could hear person next door occasionally . eat hotel prefer eat local cafe 's . within easy walk distance Union Square encounter issue homeless people , though fair people situation beg . 
