fantastic 	 28th-30th Nov 2009 . never stay Premier Inn . always favour spend money pricey boutique hotel feature Mr. Mrs. Smith etc . however , moment check immediately notice modern clean hotel . spotless spacious - everything want hotel short break city . unfortunately Sunday night wake feel unwell continue ill throughout night next day food poisoning ( eat outside hotel ) . London pay little hotel apprehensive phone reception ask late check - out . surprise receptionist incredibly kind understanding , allow check two half hour late call doctor . also bring toast room would not take painkiller empty stomach ! overwhelmed sweet forget much help day . great hotel fault , even not ill . 
 Great Hotel Great Location Great Service 	 highly recommend hotel - inexpensive ( London ) , close Tower Bridge many form public transport , be great place stay . clean , nice room friendly helpful staff . not fancy hotel , receive kind service would expect expensive hotel - well do . stay six night , lots Pubs Restaurants walk , coffee bar lobby early morning wake up . want stay Tower Hill section London budget , look , hotel ! : - ) 
 Jul 15 2009 	 CLEAN MODERN - PREMIER INN 	 clean modern . lovely room typically comfy bed great night 's sleep . restaurant basement little boring window evening meal full - on breakfast good . recommended . 
 Jul 15 2009 	 could helpful . 	 parent look somewhere Central London stay one night prior family wedding afterwards week enjoy time London . choose hotel basis relatively cheap accessible . first contact staff arrange booking time parent leave , everyone come contact professional , helpful friendly . we ask ground floor room allocate room part stay . room bathroom spotless , comfortable bed , air conditioning , flat screen tv tea coffee make facility . breakfast good staff restaurant area friendly helpful . impressed standard service facility would happily use hotel again . one point note front door hotel Red Route , meaning , theory , car taxi stop directly outside , bowever back entrance Chamber Street immediately benind hotel car access possible . 
 Jul 5 2009 	 much improve - give go 	 think either 3rd 4th review hotel ownership change several time . last time visit premier sevice appalling time much improve - fact good London . room still fabulous large bed , really powerful shower sizeable London standard . check gentleman quick professional also broadcast room number reception . lone woman traveller pet peeve mine . thoughtfully handwritten breakfast times key card give precise direction get room . check next day equally professional . last time service bar indifferent say least time warm professional . I definitely give another go - look like return standard use Purple hotel 
 Jul 2 2009 	 spot ! 	 great hotel ! stay room 510 top floor , clean modern look nice flat screen tv freeview . love service book eat breakfast morning , really enjoyed set we day . location spot 5 min walk tube station tower london/ tower bridge . two witherspoon pub doorstep one sittuate great view tower bridge . also 24 hour bar hotel ideal want relax hard day sight seeing . never kid trip take next time location , price service find hard beat london ! 
 Jun 21 2009 	 Nice hotel convenient access tube bus tower london 	 choose hotel partially disabled walker disabled room . spend 4 night May 2008 . roomy good size bathroom . comfortable room . nice full buffet breakfast . Coffee be not good instant machine that s thing do not like hotel . friendly helpful staff . go pub across road bit dinner every night . close tube walking distance Tower london boat Thames . hop hop bus service bus stop Tower London ticket sell there . come Australia actually expensive we pay , would 5 star plus room view sydney harbour australia , disability close access tourist bus , worth every cent . highly recommend ! ! 
 Jun 15 2009 	 good value 	 stay 8 friend & amp ; pleasantly surprised hotel . stay Premier Inn Newcastle month back & amp ; fine know budget hotel . place far well , nice staff , room lovely & amp ; bar / cafe area front also great . location handy also , 5mins walk Tower Hill tube & amp ; 5mins taxi Liverpool St station important fly Stansted . 's little bit way be go Oxford St area fly Heathrow Gatwick & amp ; not sample breakfast food can not comment would certainly stay . 
 May 27 2009 	 Decent location price overall place stay 	 stay woman travel alone . staff nice try help ask , give wrong advice tube line run . also , give wrong advice catch Gatwick Express early morning . get Victoria Station , close end pay cab ride Gatwick expensive . bag arrive flight ask hotel amenity kit , advertise , say . location decent great . 5 minute walk Tower Hill tube station run 2 different line , sometimes close understanding . lot construction go around tube station walk station hotel somewhat confusing little scary someone travel alone . walk area large building seem deserted . area shut weekend nothing open except one pub look nice . even thing open , lot option eat general shopping . need place sell toiletry direct way Oxford Street . hotel not amenitite seem even 3 - star european hotel , clean feel safe overall . someone travel budget , price good con bad would not recomment . 
 May 4 2009 	 Excellent Value Money . clean comfortable . 	 return 2 night stay hotel 8 yr old son . normally stay Premier Inns find good value money first time one . not know whether newly furbish Premier Inn impress cleanliness size room . pay £ 85 night twin room breakfast £ 7.95 & quot ; eat & quot ; son eat free make good value . the bed Premier Inn comfy - like sleep cotton wool - find really hard drag * * e bed morning . bathroom extremely clean shower wonderful . bath , shower cubicle well home ! plenty space even little seat ledge ! hotel great weekend sightseeing London . 5 min walk Tower Hill underground 15 min tube ride central London . small gripe wait breakfast . wait 10 - 15mins morning find we table - mind Bank Holiday weekend maybe hotel full . staff helpful apologetic finally find table worth wait . buffet breakfast help much want . usual full english breakfast , must say fresh tasty , along normal continental choice . would definitely stay hotel next visit London . really can not see four star hotel London could offer Premier Inn . 
 Apr 27 2009 	 absolutely complaint hotel careful eat . 	 not stay Premier Inn , be good have pleasantly suprise . friendly staff , spotlessly clean room , brand new bathroom . location perfect City business sightseeing around Tower Bridge . husband say ' it , be good ! ' only thing would say wish have stay hotel eat . obviously be much vicinity 's open weekend end pretty atrocious meal either wetherspoon across way pub road , Minories . marathon weekend , may not indicative food usually . base great breakfast hotel , would much rather stayed eat ! 
 Apr 23 2009 	 really Good Hotel 	 go London 3 night staying accomodation . the hotel good location , 5 min walk Tower Hill tube station ( circle & amp ; district line ) , straight accross road Tower London & amp ; Tower Bridge round corner , St Katherines Dock - nice waterside development restaraunt & amp ; bar 10 min walk away ( reasonable price food - drink pricey though ) straight accross road weatherspoon pub , great value breakfast & amp ; reasonably price drink , another weatherspoon also side tube station ( couple local bar bear mind consider price pay drink London ) hotel really nice , good size room , comfortable . Nice Bathroom ( bath , shower superb one ! ! ) . reception & amp ; bar area nice , reception staff helpfull .only minor gripe member housekeeping staff - come make room 5.15pm Sun showering & amp ; change evening , get scowl tell be not convenient ! guess may short staff do not think 5.15pm particulary convenient time come . come back later go ( do not ask ) & amp ; take towel do not replace , also take dirty cup & amp ; glass do not replace - would rather come back ! ! fairness though day everything fine room make & amp ; do nicely & amp ; prperly . we contemplate splash fancy hotel away 1st aniversary , however really glad choose hotel reasonable price & amp ; save extra spending money - definitely make right decision . we would reccomend hotel & amp ; would deiniately stay . 
 Apr 14 2009 	 excellent hotel 	 stay 3 night . hotel immaculate . large family room 6 & quot ; double bed 2 single bed , one 5 & quot ; foldaway . Bathroom must refurbish recently spotless . room second floor look railway due secondary glazing could not hear train . breakfast good value money . handy DLR , Tower London , Tower Hill Aldgate tube station . would stay . 
 Apr 12 2009 	 great hotel 	 recently stay hotel 1 night . check flawless , quick straightforward . room immaculate bathroom . room also spacious . breakfast buffet style could help everything cereal , fruit , croissant , juice cook breakfast . find staff friendly helpful . could also leave luggage checkout pick later day . luggage put locked room give ticket collect . hotel approx 5 minute walk Tower Hill tube , Tower London , Tower Bridge Tower Pier catch river cruise along Thames . downside two choice 's draught lager , one not work . leave we Stella , not like ! bottle lager instead cost less amount . overall really good hotel , would definitely stay . 
 Mar 9 2009 	 excellent value ! 	 Prescot Street cold , wet night hardly welcome hotel warm comfortable friendly . we give 5th floor room side view theTower , & amp ; overlook DLR railway . barely noticed pass electric train enjoy excellent night 's sleep . spotlessly clean room , excellent shower build - in seat splendid breakfast complete helpful staff - thisis must return visit , especially £ 88 rack rate : great internet deal ! 
 Feb 23 2009 	 good value good location good choice 	 stay family Christmas New Year 's , book Internet . & quot ; family room & quot ; include queen - sized ( possibly big ) bed two twin . although neither huge fancy , space perfectly adequate four us room amenity need . despite face railroad track , find noise problem . bathroom new clean excellent shower ( tub , FYI ) . front desk staff helpful . breakfast buffet superb , lot healthy and/or traditional english choice , great deal two kid 16 eat free pay adult . little tricky find hotel first time problem . be within 5 - minute walk three tube station Tower . many good restaurant within 10 minute ' walk , include wonderful experience Brick Lane & quot ; Banglatown & quot ; . convenience store off - license also nearby . although little edge thing geographically , easy get anywhere via Underground , walk along Thames pleasant . downside internet access free . highly recommend . 
 Jan 23 2009 	 mixed experience 	 stay one occasion recently business . two different experience . one visit , room face small courtyard quiet . next time stay , room face railway line police station rear hotel , result broken night . that say , hotel situate brilliantly , be short walk Liverpool Street area city even short walk Tower London / Tower Bridge area , can not fault price , cleanliness , service food . recommend , therefore , take pair ear plug case get one room back . 
 Dec 10 2008 	 Good excellent 	 stay hotel standard double room begin December . in general good , real problem . the hotel room look clean freshly renovate . there still something let give excellent mark . payment : - arrive , try pay credit card usual , transaction fail . finally give pay cash . back home , find however money block account . need visit bank unblock . wow , fun ! : ) room : - room rather small . acceptable , still small.- window half normal size . lead pretty inner yard , greenery , small tractor : ) - mini bar - handy.- central heating – conditioner . use warm room air become dry . other : - IMHO , location boring compare West End . eastern part City ( close hotel ) look like one big construction site : ) pay 110 pound per night per room average , think ' bite much , especially off - season . so hotel seem bit overpriced , may least good rating : ) ) P.S . worry possible noise railroad , worry , ' hear . 
 Nov 30 2008 	 direction give lead wrong hotel ! 	 company book hotel attend WTM Excel location quite convenient , however , wet evening arrive , take two hour get hotel London City Airport public transport delay short , follow direction email confirmation send arrive tired wet hotel , find wrong place ! follow direction carefully end Tower Bridge Premier Inn . suggest get taxi right one , taxi , driver remark take people hotel , charge £ 11 pound pleasure , justify high charge five minute trip explain cross one postcode another ! really exercise time get Tower Hill Premier Inn show email confirmation man check . fairness agree direction wrong hotel refund £ 11 . lady checking tell restuarant close want order something have phone kitchen , think oblige ravenous mood venturing find somewhere eat . dish choose lovely , staff great , room nice big , fairly basic term facility comfortable absolutely adequate 1 nght stay . overall Premier Inns offer good product need sort little technical glitch . 
 Nov 18 2008 	 Delightful Location 	 hotel wonderful ! location superb ! close Tower London Tower Bridge nearby Underground stop . great indian restaurant couple door away call Cafe Spice Namaste , probably good Indian London . hotel also close St. Catherine 's Docks several nice restaurant bar . enjoy Ping Pong dim sum place Cafe Prohibition late night cocktail . room hotel large clean convenient . staff friendly helpful . I would definitely stay . 
 Oct 20 2008 	 confirm already say : great hotel 	 Hi . I book family ( 2 adult , 2 small kid ) room directly hotel website prefer option cancel reservation would need so . hotel recently renovate , room clean spacious . within 5 minute walk distance Tower Hill Tube , 2 minute walk bus stop ( 100 take liverpool st ) .We get everything expect , prepare follow : -Even hotel City , maybe bit far away . London , need use Tube / Bus anyway reach major attractions.- least room 216,218 220 locate 20 metre away railroad : window good noise reach room scenery pretty- minibar / refridgerator rooms- iron eitherpractical tip : -wetherspoon pub right across street serve also breakfast , might good option get bore 7.99 buffet -Aldgate tube also close - bus ( except 15 ) Mansell street go Liverpool street tube . -i find crocery store nearby , one walk past aldgate east tube . -The hotel spacious luggage room supervision hotel staff - easily extend stay london leave luggage before / after check in / out . 
 Sep 22 2008 	 Premier Inns way forward .. ! 	 clean , well locate , quiet , good food ( although service tad slow ) would still highly recommend - great usually always rely Premier Inn consistantly high standard great price . 
 Sep 6 2008 	 good hotel 	 Note hotel change ownership Purple Hotel & quot ; Premier Inn - London City ( Tower Hill ) & quot ; July 2008.i stay two night wife teenage son . wife double room , book separate ( single ) room son . I book & quot ; Roomex.com & quot ; quite time ago get reasonably good rate £ 300 we include breakfast . new rate Premier Inn £ 108 per room per night Fri - Sun £ 124 per room per night Mon - Thu . breakfast extra £ 7.50 & quot ; eat & quot ; . breakfast good seem reasonable value money . plenty choice much eat drink want . we find staff friendly helpful . dinner hotel restaurant one night also good reasonable value quality meal . two course meal three include bottle wine come £ 40.both room spacious ( London ) clean . secure luggage room could leave bag check out . the hotel five minute walk away Tower London / Tower Bridge . eat one night Zizzi restaurant St Katharine 's Dock right next Tower Bridge ( approx £ 10 one course meal include drink ) . lovely area river huge yacht plenty choice restaurant ( see picture ) .We get excellent night 's sleep not notice noise train construction site mention review . I would stay wife love size room lovely bathroom . 
 Sep 3 2008 	 great stay Premier Inn 	 book hotel Hotel Direct - pay £ 270 double room breakfast 4 night ( save £ 200 Premier Inn website price ) .The hotel five minute walk Tower Hill tube station . warm friendly welcome arrival question answer . room little dark central light rather spotlight lamp , though west side hotel could not expect morning sun . say room comfortable flat screen tv , tea coffee thing plenty storage ( although door wardrobe ) . small well lay bathroom good strong shower . room ( likewise rest hotel ) spotless . breakfast serve low ground floor . believe £ 7.50 per person . polite friendly staff meet door show table . huge range choose eat ! full range cook breakfast item ( include veggie sausage ) , crossiant , toast , muffin , range cereal museli , yoghurt , fruit salad , tea ( include fruit herbal tea ) coffee . also make porridge order provide soya milk . we able walk hotel Tower Bridge also Borough market one day Brick Lane / Spitalfields next . also short tube ride St Pauls central london . ok right centre London trouble get around plus pay Premier Inn nerarer centre . you get room service cafe lobby seem reasonable price , however Wetherspoons ( pub ) 100 m away . city though , residential area many shop near hotel . walk past tower hill station owards monument shop / bar / restaurant ( include nice pizza express ) . Tesco outside Monument station one day get ( one stop tower hill ) walk back . propbably take extra 5 - 10 min . we fire alarm go one night morning polite note door apologise disturbance . check offer opportunity leave luggage hotel day chance ask ! fantastic stay , though full price would expensive we weekend away . stay comfort inn around corner last year ( really like location ) would rate hotel high . get cheap rate definitely back ! 
 Aug 25 2008 	 Great Hotel 	 could not fault hotel honest.5 min walk Tower Hill tube handy , room clean spacious staff friendly & amp ; helpful . only downside breakfast area situate basement window . breakfast good good quality produce use . the scrambled egg bite strange fresh orange juice water much beyond belief . other great . top tip , go drink bar indian restaurant door midnight nothing really open nearby . avoid unless want pay arm leg beer.£5.75 660 ml bottle Cobra £ 5.25 regular white wine , steer clear ! ! 
 Aug 22 2008 	 one good Premier inn 	 due stay Premier Inn County Hall transfer - much well option . large clean modern room , aircon , comfy bed , powerful shower ( bath ) , good quality decor . staff fine . near enough Tower Hill station tube centre town , immediate area nothing special ( office block ) . agree previous review use pub breakfast rather pay Premier Inn price , however . overall good option - although £ 112 ! 
 Jul 30 2008 	 purple hotel ! 	 stay Purplehotel fantastic . large , spacious room facility needed- include air conditioning , bonus stay weather hot . ' m disappointed see take Premier Inns , fear price stay contiue rise . book Hotel Direct get double room £ 90 night , full english breakfast include . look Premier Inn rate , want £ 100 double room , without breakfast , £ 7.50 per person , per day . hand , take happen stay hotel staff Premier Inn seem friendly Purplehotel- maybe new uniform ? seriously though , be great base London attraction , near tube station 5/10 minute walk away . would go back , fear may become far expensive . 
 Jul 17 2008 	 great value money - lovely clean ! 	 great hotel ... pro : friendly staff , excellent location , clean , newly refurbish , comfortable clean bed , large airy room , huge shower , fairly quiet , good value money . con : real orange / apple juice breakfast , lift not stop 2nd floor , iron / trouser press room . 
 Jul 14 2008 	 good value money 	 stay 7 night June 28 . find hotel clean , spacious even another bed , quiet room back beside church . never try breakfast across street pub offering breakfast 2.5 pound . also way Tower Hill tube station pub offering meal 2 8 pound . would recommend bring alarm clock alarm clock connect tv tv clock also . way see clock turn tv . also , would like room fridge . find odd bill hit 500 pound ask we pay even though credity file . it take we 1.25 hour get hotel Healthrow car ( taxi ) . tube station circle district line bus stop 8 minute away . take approximately another 20 minute central London tube . take alot long bus see site . feel comfortable walk tube station hotel even midnight . hotel walk distance Tower London Tower bridge . look well price , clean , spacious hotel room helpful staff mind take subway ( tube ) hotel would recommend . want action choice hotel close central london . 
 Jul 5 2008 	 Excellent hotel ! ! 	 title say ; hotel excellent ! booked hotel site unseen base tripadvisor review girl ' holiday friend . stay London holiday 10 night long time get lucky hotel nice . room large compare european hotel . bathroom , although little small , adequate power shower excellent long day tour London . bed comfortable tea / coffee make facility room plus . Breakfast , include , pricey suggest eat Goodman 's Field ( Whetherspoons ) across street . reasonable price meal , friendly atmosphere , free WIFI ! ! not pay crazy amount hotel get WIFI access free whetherspoon along good meal drink . be warn hotel central London business district . whole lot right around hotel Tower Bridge Tower London short 5 - 10 minute walk away . also Tower Hill tube stop 5 - 10 minute walk convenient get around London ( warn Tower Gateway DLR stop mention review currently close 2009 , Tower Hill right across street get wherever need go ) .Most staff helpful greet smile . one incident staff member would take phone message someone try call . strange day note leave door someone call request call back . could misunderstand person call staff member safe side , expect phone call , sure let desk staff know tell take message . staff great helpful question get around London . one thing : review mention hotel noisy construction work go across street . friend front room third floor never experience noise , come either inside hotel . true sometimes hear siren due Police / Ambulance station street get use quickly . construction issue maybe high enough street . imagine different room might different story light sleeper request room higher possible . over great hotel would definitely stay ! ! extra Tip : look London Pass go holiday lot sight seeing . London Pass travel ( tube / bus / rail card add option ) excellent deal : save time money . 
 Jul 1 2008 	 clean tidy quiet . good value money . 	 pleasant stay . little central london like , transport link good . hotel staff little ' cold ' engaging . could not fault hotel accomodation all.we lovely big room , basic facility overlook railway line distrurbe train . catholic church next door handy sunday mass . breakfast fine - good choice hot cold . wifi expensive purchase though ! 
 Jun 30 2008 	 Excellent Value Money 	 locate financial district . colleague stay hotel whilst course London 26th June . hotel immaculate , room nice , toilet ( altough little small side ) adequate tastefully decorate . bed comfortable room facility excellent . also plenty choose breakfast , fruit , fry , croissant etc etc . would definately stay hotel ...... business pleasure ! thumb = ) 
 Jun 15 2008 	 New City London Home Base 	 Located City London 's financial district , hotel offer clean comfortable stay reasonable price . look grand accommodation , look elsewhere - however , hotel City London either . very friendly helpful staff . new furnishing , nice sized efficient room quiet . close Tower Hill tube station short walk Aldgate station . stay six night US business . good hotel stay City London purpose . look nice , clean centrally locate place stay reasonable amount , put hotel short list . breakfast provide room rate good . lobby small coffee bar ( open 24 hrs ) serve beer wine . Pre make sandwich available 24 hour bar . visit London 2 3 time year . new " Home Base " . rate hotel web site " web - only Special " book couple month advance + /- $ 75 pound / night breakfast include . 
 Jun 14 2008 	 great place stay 	 stay 6 june 3 night breakfast include price . could fault hotel excellent . room spacious spotless , staff polite helpful breakfast adequate . the location within easy access public transport include Docklands railway find problem travel central London . would definitely stay . 
 May 26 2008 	 beautiful roomy far 	 hotel near tower London . 5 minute walk Tower Hill underground station . & quot ; city & quot ; attractive offer much . nice pub corner lounge hotel reasonable comfortable . staff helpful room immaculate . walk across Tower Bridge Southbank easy enough . look great value not mind walk , great place . 
 may 23 2008 	 Great Hotel - would stay 	 stay 3 night April 08 think great hotel definitely stay . get pretty good deal ( $ 130 / night CDN ) room clean spacious . room basement first think odd little nervous , super large large window face courtyard ( great view ) still bright perfectly fine . friend mine stay floor slightly small room still great . very comfortable bed , super clean washroom shower - everything new . location great really easy get around central london ( tube stop 4 minute walk ) . look high end amenity not , tourist business traveller look perfectly clean comfortable place stay , really great hotel . go wetherspoon be across street cheap breakfast . 
 May 12 2008 	 price fantastic 	 return hotel spend 4 night see sight London . booked hotel read review tripadvisor . yes build site across road , yes rail track behind hotel look room 5th floor . neither bother we account noise insulation , fact 4 night excellent sleep room spacious clean , could even see tower London , five minute walk hotel . get full english breakfast price opinion one good , include high rated hotel 's .one negative comment review dining room breakfast time bit chaotic , find one occasion people must come breakfast time . short wait seat helpful staff . the location hotel good tour London plenty bus stop area , tower hill tube station ten minute walk away . I put hotel top list come London . 
 May 4 2008 	 affordable quality hotel 	 base positive review read decide give try hotel book twin room hotels.com . the price quote promise , know also price similar * * * * * hotel London . I stay 3 night nice twin room 5th floor , high railway track run behind hotel . not worry railway , window keep noise zero , hardly say train pass . the room really nice , spacious clear . bed one well ever sleep . also LCD tv room . bathroom super shower . in room price breakfast include , really nice breakfast right side street Wetherspons . overall , satisfied hotel , good write other forum . RECOMMENDED . 
 Apr 29 2008 	 good night sleep possible 	 wife return trip London mixed review Purple Hotel City London . first , good thing hotel go customer service . people front desk always friendly , bonus . however , friendly front desk enough get stay hotel . like tripadvisor traveler mention , hotel clean , central location , room spacious . – major – people fail mention GIGANTIC construction site directly across street ( 10 yard away hotel front door ) , jack hammer , dump truck , machinery rumble 5 am 4 pm week day 5 am – 12noon Saturdays . hotel also situate busy street , must police department firehouse nearby every 30 minute either ambulance / cop car/ fire truck would go race night . executive suite 205 ' get solid night sleep entire time . force stay establishment , avoid ROOM 205 . yeah ' nice , clean , spacious – never sleep . think transfer another room , know upon check - in hotel fully book front desk staff turn people away phone . besides noise factor , minor detail annoy we . wash cloth place . notify front desk room ' wash cloth . ' understand wash / face cloth ? ? ? ? hotel Paris Rome use wash cloth ' tell Brits ' ? think absurd . brit bathe ? bar soap ? , future reference bring WASH CLOTH . wife force use large hand towel wash cloth , annoying . as other mention , avoid hotel restaurant . ' expensive food taste microwavable . ' really matter . ' many place eat within short walk hotel , lot choose . WiFi amenity EXPENSIVE . believe charge something around 10 pound day . ' free . also , take note , hotel early check . state 2 pm , really mean . wife arrive 12 noon see 18 guest sleep loaf lobby room ' ready like . hotel state check - in 2 pm , find strange soooo many guest would wait room . 
 Apr 23 2008 	 big thumb purple 	 stay three night weekend . stay previously hotel different management different name good experience . however less impressed time . reception ' charming ' . ' you ' ve pay advance need credit card ... ' response prompt request room upper floor ( book week ahead ) ' not available ... ' realise room basement . wonder hotel think ok staff display lack basic/ common garden manner . room reasonable size tiny window look straight brick wall dark light time day . window cake dirt , case . room floor corridor lead breakfast room expect chance sleep late clientele progress noisily morning dining room . breakfast complete ' scrum ' . many people facilitie one two coffee machine order ( remain 3 morning ! ) queue impressive dodge people overcrowded furniture make bad . several staff member appear genuinely nice manner , however other boorish e.g . witness exchange young male bar tender group german middle aged woman . level disturbing , mixture mangle English deliver slavonic german accent ' attendant ' demand order payment disconcerting . usual nonsense great deal WiFi access , belie hyperinflated charge hotel make service . whole experience top weekend closure near tube station DLR ( hotel 's fault add overall tone emphasise relative isolation area ) .Wetherspoon 's pub across street cheap - ish meal try serve manager otherwise lack anything resemble customer service ( maybe London thing , except know not universal reflect establishment describe ) .advice ; stay reeeally good deal prepare . guess review cue spate review hide gem city place ( none hotel ) . advise . 
 Apr 22 2008 	 Purple City London Hotel 	 functional base site see London , stay many London average hotel , one ideal short break . myself , wife 5 & amp ; 8 yr old childern stay 13 - 15/04/08 family room , huge London standards,5 min walk Tower hill tube , DLR tower Bridge . staff efficient courtieus time . room spotless tea make facility flat screen TV.We could see tower London room . area quiet w / end city business district . weaterspoon pub across road good selection food even though London city marathon day , girl counter could lot civil ! build site front hotel , railyard rear could not hear thing ! get good deal certralr web site . this hotel 2 stop liverpool st stansted flight ryanair connect . special thank girl breakfast Mon morning serve we 9.30 closing time weekday breakfast . 
