excellent 	 attentive staff lovely hotel . upgrade suite luxurious . breakfast great good choice hot & amp ; cold . 
 Nov 2 2009 	 fantastic hotel ! 	 stay Raddison watch show take meal Covent garden . the hotel modern fantastic room , flat screen tv 's connectivity , bathroom fantastic walk shower modern tiling accesorie . the staff friendly , particularly concierge nothing much trouble . I would reccomend stay central location great theatreland , Covent Garden etc ... highly reccomende . 
 Nov 2 2009 	 5 star hotel 4 star price ! ! ! 	 fortunate enough stay excellent hotel around world include Wynn ( Las Vegas ) , Ritz Carlton South Beach ( Miami ) easily say Radisson Bloomsbury equal well hotel respect customer service . level service second none staff polite courteous accommodate need . pleasure meeting Kumar Guest Relations Manager hotel credit Radisson Edwardian family . hotel beautiful restaurant extremely comfortable excellent menu . London competitive come hotel restaurant highly recommend stay hotel dining restaurant . place ' stay next future visit . thank help Kumar great couple day make well hotel outstanding service . 
 Nov 2 2009 	 hotel surpass expectation make perfect stay 	 although stay one night , service , quality surrounding general feel whole hotel help make stay special 
 Nov 1 2009 	 well locate nice room boutique feel . 	 well locate , two block British Museum . walk distance Tottenham Court Tube station . close many west end theatre . clean , boutiquey feel . room seem big average London hotel . beware sensitive perfume use quite bit aromatherapy lobby . be careful WiFi - free , not plug hardline room - one cost money . 
 Nov 1 2009 	 total commitment customer care 	 fine hotel style luxurious elegant furnishing area . although first room show bit small quickly give another one plausible explanation problem . service excellent courteous . also convenient well - 10 minute Covent Garden / Embankment across road British Museum . 
 Oct 28 2009 	 Excellent Hotel 	 stay hotel son 's 13th birthday treat say impressed ! check smooth process reception staff paticularly helpful - even note son 's birthday . although know hotel central not realise central ..... 3 minute brisk walk Oxford Street , Covent Garden 10 minute walk Carnaby street . Tube close - choice Holborn Tottenham Court Road . deluxe room large spacious , tastefully decorate ' Radisson ' smell love . breakfast great selection staff paticularly helpful . overall great stay reasonable price - would definately recommend . 
 Oct 27 2009 	 Excellent Hotel Great Location 	 London sporting event seek good hotel excellent location . much searching settle Radisson Bloomsbury upon arrival clear make excellent choice . room tastefully decorate staff hotel helpful courteous . hotel locate close numerous , pub , restaurant entertainment . hotel locate area good access public transport within easy walk distance number shopping district . thorough enjoy stay hotel choice next trip London . 
 Oct 26 2009 	 Excellent Hotel 	 's difficult find good Hotel London excellent value money hotel . room nice , clean modern . hotel receptive suggestion improvement service . problem person check first visit alert hotel fix problem . stay twice return . location fabulous . concierge could well . 
 Oct 26 2009 	 Perfect luxury 	 Staff friendly efficient , great service happy face everywhere . first floor king deluxe room describe - luxurious clean . free newspaper morning slip door make sure pick choice Telegraph Times . magazine room . need card key use lift access floor use stair security tight . friend stay similar room third floor fourth - lovely . book ' twin ' give king size bed not mind huge . even sure twin bed check matter . overlook main road noisy - odd siren expect city ( ' m light sleeper ! ) . watch ' London channel ' tv be local - interesting . ideal location theatre , shop mooch around main tourist place . well everything ! can not fault anything . arrive early midday able check even though say 2 pm check . park NCP carpark Great Russell Street - £ 31 per day - car park really empty ! short walk hotel . day check , Staff happy store luggage ( unused locked conference room ) much later day ready leave London . Decor simple - purples dark marble floor wonderful piece art sculpture give elegant feel hotel . thick bouncy carpet along corridor mean hear anyone around . breakfast comment food stay afternoon tea / coffee leave London relaxed bar area treat well . would definitely consider book hotel next time visit London . 
 oct 22 2009 	 brill 	 visit hotel 17th till 19th october , nice hotel location perfect , theater district , close , attraction , find hotel staff helpful polite , would recommend hotel anybody , ps food good 
 oct 22 2009 	 beautifully appoint hotel handy location 	 stay hotel one night 20th oct 2009 , Room 4009 . book company B & amp ; b rate £ 112 inclusive . hotel appear recently refurbish although hotel possibly early 20th century decor modern minimalist style . it clean , smart everything new . bed new , bathroom new 's beautifully clean sweet - smelling . the breakfast lovely , even fresh strawberry raspberry breakfast buffet . stay hotel go see Thriller Live Lyric Theatre ( evening show ) . able walk 10 min ( need taxi ) also walk back alone show . plenty people around area feel safe . I would thoroughly recommend hotel - joy stay ! can not think anything fault . however not eat restaurant evening use bar can not comment aspect . 
 Oct 21 2009 	 Excellent hotel 	 stay October 2009 . meet outside hotel luggage take room . check smooth room clean modern bed comfortable . hotel staff helpful efficient . however , bar expensive , 4 drink cost £ 30.00 . hotel location perfect Oxford Street major attraction . would definitely recommend stay . 
 Oct 20 2009 	 bit gem Central London 	 get tired stay poor London accommodation use Crowne Plaza , eale base business trip London . yesterday ( Monday ) however stay London anticipate uninspire stay Radisson . walk nice reception time thinking & quot ; yes wait get lift corridor shabby – usual trick . & quot ; surprise corridor look smart make way lift room 6006 - still think room going let . delight walk well furnish room modern fixture fitting - moon . good bit peace quiet . discernible traffic noise – amaze good night sleep . morning breakfast disappoint . good selection food pleasant staff . thank Radisson restore faith Central London accommodation . catch upgrade . willing take chance see visit next week bag standard accommodation . finger cross . 
 Oct 20 2009 	 Perfect 	 must perfect hotel room price . interior design stun , people nice . room size , bed , bath price central London great find ..... 
 Oct 16 2009 	 sophisticated elegant hotel central location 	 stay Sept 09 visit London business trip . hotel fantastic - really upmarket look sophisticated . staff exceptionally friendly professional - nothing bother . get upgrade kingsize room - love furnishing bathroom/ shower . Breakfast offer huge selection , staff could helpful . decor hotel ( area ) modern warm elegance . hotel minute Tottenham Court Rd tube station mean travel London really easy . I wish could stay long - maybe next time ! would recommend hotel anyone appreciate receive friendly , professional service luxurious bathroom ! ! 
 Oct 15 2009 	 recommend business holiday 	 5 - 6 time hotel last year , hotel quality good still improve cleaning , main concern . the hotel moderm staff friendly , recomende business holiday . 
 Oct 14 2009 	 never . well choice abound part London . 	 hotel overprice , room small cold barely move around let alone open luggage . drain overflow take shower bathroom flood room . whole hotel scent something smell like overpower perfume front desk staff condescend . only good part free high speed internet business centre use . 
 Oct 14 2009 	 big disappointment 	 frequent , worldwide traveller , seldom disappointed . client service - person amenity - well par , employee let hotel door slam front sister struggle two big suitcase , lack signage help customer know find anything , cash - grabby attitude customer service ( late checkout ? will 20 pound hour please ! ) , slimy concierge insist use & quot ; & quot ; taxi get Paddington , ton available street . room terrible money pay ( c $ 400 ) : small cramp ( room lie suitcase even ) , overly hot , non - functioning fridge , tv few possible channel , - bad - teeny shower flood bathroom ( amazingly , seem design cascade onto main floor ! ) . not confuse Radisson Bloomsbury STREET Hotel Bloomsbury Hotel ( around corner ) : latter lovely thoroughly regret try something new time . Radisson learn invest swanky lobby make total lack concern client . 
 Oct 13 2009 	 delightfull 	 good stay ' ve London ' hotel . great hotel . great service . staff professionnal . decoration stylish , beautifu placel . hotel well situate . make stay . thank . recommand one . 
 Oct 12 2009 	 lovely hotel great location apart fault 	 come back stay weekend hotel suprise close Tottenham Court Road station . literally 3 min walk station great access area i.e . leiscester square . easily walkable oxford street 's great shop . do not bother walk Holborn . we arrive hotel around 9 pm prior arrival email hotel give request i.e . high floor . soon walked greet lovely receptionist complete check - in . hotel modern , funky , boutique i.e . black floor , velvet wall however quite large music around reception area we could hear say . the receptionist explain put keycard lift press floor button people still seem get confused come back reception say lift do not work ! enter floor hallway amazing , big sculpture plush carpet . even well get superior room ( 6020 ) although cosy , fill special touch i.e . round glass table , big flatscreen tv , velvet bed throw extra pillow . do good job . like good bathroom come ... rainforest shower head , gilchrest & amp ; soame bath product , hand wash & amp ; body lotion . good bathroom huge ! ! ! Breakfast include package really good . menu could anything cook , free , chargeable like smoke haddock kipper ( £ 2 ) . still good value . like fruit offer fresh strawberrys , raspberry well melon , orange , pineapple . cooked breakfast great 2 type bacon , sausage , egg lot . hardly ever wait get seat straight away day . however notice parter drink yakult week date ! inform Robin restaurant supervisor apologise offer we free drink bar , quite generous . leave day forgot put ' clean room ' button , though hotel would clean room anyway .. wrong , return 4 pm find room have not clean , go put light , come back find do . great service consider housekeeping go home 2pm . my major gripe safe do not work room entire trip . initially phone reception could barely hear due music mention come straight away say maintanence go home next day . come back room next evening find nothing do . frustrating take valuable us 100 % trust reception safe . overall hotel interior top notch , location .. one good around . obviously unlucky safe issue really good 5 * hotel snobby ! 
 Oct 11 2009 	 fantastic 	 really love staff friendly helpful , room spotless comfortable , fault place great weekend also read tripadvisor true place beauifull can not wait go back london stay thank mr mrs tucker portsmouth 
 Oct 8 2009 	 lovely place city not know . 	 courtyard entry top greeting feel welcome pamper . inside check fast . room large bathroom unlike hotel room stay Europe . convenient tube . great restaurant within walking distance . hope get back London soon . would stay ! 
 Oct 7 2009 	 elegant sophisticated bit fragrant ... 	 spend five really happy day classy well situate hotel . everything staff bed perfect - clean , comfortable relaxing ... except .... strong air freshener scent lobby reception area . one scent sensitive people mean , find floral perfumey odour main reception area really , really power . , absolutely complaint ! twin room look front hotel quiet - lovely street view leafy green tree . staff super helpful not problem ask mini bar empty could put food fridge ( even though probably bit hassle ) . would definitely stay ! 
 Oct 7 2009 	 beautiful hotel lovely ambience 	 hotel give welcome courteous service . room spacious one 6th floor . location exellent , Covent Garden Soho approximately 5 minute walk away . Tottenham Court Road tube station also nearby . this nice hotel look forward return . 
 Oct 6 2009 	 nice hotel- good service 	 Booked hotel August October weekend . seem nice since refit follow problems:1 . checkin take 30 minute could find booking . printout confirmation iphone still wait 30minute make sit & quot ; naughty step & quot ; eventually get room ( even though have not find detail ) rang follow day say & quot ; find detail & quot ; 2 . House keep knock door 8.30 saturday- say would go 10minute come back 15.30 room handt touch . put disturb sign could rest go again- soon fall asleep- housekeeping telephone ask got & quot ; disturb & quot ; door could service room ! 3 . key work time . ever wait age lift , walk corridor bags- key work- know annoying ..... 4 . breakfast ! restaurant big enough .. Sunday morning que 40 people wait seat- adivce would not bother- find somewhere else breakfast stop here.in summary hotel nice room good- although I ve much well expericnce premier inn LOT less money . shame . 
 Oct 5 2009 	 wonderful experience London 	 recently stay Raddisson Edwardian hotel Bloomsbury Street . find hortel modern , hip clean . staff friendly willing make stay enjoyable one . we feel comfortable need key operate elevator feel good security function . room quite large beautifully appoint . bath modern , beatiful ammenitie one would need include heated towel rack separate large shower . the bedroom soothely stylish decor color . delightful room . , bed comfortable room service prove quick efficient well . our two minor concern verse management upon leave two small annoyance . 1/ refuse pail large useful , however place plastic bag less one third size within . obviously first piece trash throw , , plastic bag fall floor pale render useless annoying must constanrtly bend open try tro fit tre gardage . quick fix anxiety guest- proper size plastic bag ( SOlVED ) minor problem teh lighting . ample ceiling light throughout room , dimmer , light high work great , dim low moo wonderful , however want sit chair b table read , , must keep light high , make impossible someone else teh room simply take nap . addition lamp table much money would solve teh problem easily . Lastly- placement hotel WONDERFUL . stroll Soho restaurant theartre . greatly situation , around corner British Museum . everyone stay enjoy trip . 
 oct 4 2009 	 Classy friendly stylish excellent location ! 	 boyfriend stay 40th birthday weekend number hotel London , hard make decision one choose . ' m pleased decide go Radisson Bloomsbury Street ; exceed expectation area - would absolutely gutte choose badly special occasion . every single member staff professional , friendly courteous Ona ( clean room ) really go extra mile learn birthday ; really help make special . 
 oct 4 2009 	 superb hotel wonderfully central location 	 stay hotel number year , still delight aspect , especially service friendliness staff . hundred metre British Museum many theatre , perfect location short break . 
 oct 2 2009 	 lovely clean friendly welcoming hotel 	 Ideal Oxford Street shopping short walk Tottenham Court Road tube ideal short tube ride main London Attractions . second stay hotel . last stay Christmas wonderful time beautifully decorate surrounding . lovely staff , excellent food , relax stay ! definitely stay next visit London . 
 oct 2 2009 	 elegant comfortable stay 	 room large , clean comfortable . room service excellant . bar evening delightful late night drink . 
 Sep 25 2009 	 Excellent Hotel fantastic staff ! 	 stay one night Radisson staff wonderful hotel lovely . room overlook onot back little nosy back onto residential apartment block - however , spoil break way ! would definately return . hotel staff could not enough us - attentative willing help ALWAYS . excellent place stay would highly recommend ! ( excellent location ! round corner Convent Garden be stage lover you re right road show ! fab ! ! ) 
 Sep 21 2009 	 would stay 	 good location central london , service good , cheep hotel London 4 * rating get pay . find fault one Breakfast time resturant get quite busy warn sign lift avoid times 
 Sep 18 2009 	 modern comfortable great staff 	 hotel many time several year ( call Radisson Marlborough ) . do major renovation hotel ( entrance , restaurant , room ) result superb . like currently , opinion , one good hotel London ( location wonderful ! ) . really modern style comfortable familiar atmosphere . staff great ( especially restaurant ) , occasion report problem , deal quickly . 
 Sep 17 2009 	 Modern hotel great location room small . 	 stay 3 night hotel please overall . able get room hour early ( request early check - in ) also upgrade & quot ; deluxe & quot ; room upon arrival . hotel room modern clean . room , despite & quot ; deluxe & quot ; , small , king - sized bed take room . small desk chair take room . however , room amenity nice , sufficient clothing storage , bed comfortable . issue store two big suitcase without take space . the bathroom quite roomy modern nice amenity . issue bathroom flooding floor every time take shower , due half - sized shower door . the location hotel excellent , Tottenham Court Tube station 5 min . walk away . British Mueum across street , also 10 minute walk Charlotte Street , many restaurant pub . the hotel management responsive issue , receive personal email online survey , address point make review . 
 Sep 15 2009 	 over - rate - good location room tiny breakfast bad . 	 travel London regularly stay many 4 * hotel City . favourite Marylebone Hotel ( Jurys Clifton Ford ) recent stay Radisson Bloomsbury st . change . the Radisson hotel positive point - particular location . close Tottenham Court Road Tube Station within walk distance Covent Garden , Soho , Oxford Street . 15 second walk British Museum . staff exceptionally friendly helpful would put top list . especially case reception concierge staff . well do . staff breakfast room complete opposite though . that s another story . first time ' ve even shout restaurant . ask butter - none come cold toast - walk back table hear girl shout Oi Mate hand small dish butter . much table service manner ! ! ! room : TINY tiny TINY - even compare similar London hotel . know good deal superbreak include breakfast , 15stg saving permit put 6 ft 2 person room roof almost hit head leg end tiny double bed . ok - change we explain situation . tell upgrade . load rubbish .... upgrade would angry pay . almost room walk around bed . obviously close bar / nightclub play techno music 1.30am . lie bed could see ripple bedside water glass thumping music . would say one noise afflict hotel stay . door bang night , front house powerhose 5.30am follow room bath 6 am . might well room we . noise insulation bad . room dark . bathroom large , heat towel rain lovely fluffy towel . however , flood slippy floor shower mean use one bath towel mop leakage inadequate shower screen . slip get bath manage right . mention check - out staff tell would look sorry . breakfast ok . typical english breakfast fruit , cereal youghurt available . q massive room full capacity . table top 3 staff visible . one rude butter girl . Orange juice like acid . know review sound bad guess be not bad experience ever - one night convert Euro cost 200 euro . worth . staff location top notch room breakfast general darkness place make bad experience . 
 Sep 15 2009 	 Great Bed central location 	 choose hotel wheelchair accessible hotel research London . travel father mother wheelchair accessibility major concern . room great room right across hall . the king size bed comfortable room large enough bed swallow room . decoration boutique large chain . ample storage clothe bathroom large left suitcase bathroom enough room two adult . could see ground british museum entrance hotel . front desk staff sensitive attentive request . & quot ; English & quot ; breakfast worth every pound family non - breakfast eater start everyday breakfast lobby . this area close enough we walk ( push ) Covent Gardens , SOHO even Tate Modern . location central train statino need side trip . usually stay boutique / small hotel feel lose hotel thank recent renovation staff attentiveness . 
 Sep 10 2009 	 another endorsement lovely hotel 	 stay 2 night leisure break find great & quot ; Friday night free & quot ; deal hotel web site . recently renovate room public area tasteful modern touch luxury throughout courteous staff thoroughly deserve positive review . buffet breakfast include rate pay continental breakfast satisfied range cereal / fruit / pastry / cold meat serve chic restaurant area . hotel great location West End shop theatre district also short walk bustle Covent Garden Leicester Square . definitely put Bloomsbury Street top list next trip London ! 
 Sep 8 2009 	 Excellent Hotel 	 stay hotel august find superb . entrance / reception area impressive . room large plush huge 40inch tv big comfy bed . the staff helpful friendly . the downside bar price . hotel stunning bar area huge plush sofas lot black marble would lovely place drink go bed price stupid . two brandy one coffee brandy , one pub measure brandy , £ 10 ! ! way overprice annoy we . hence lovely bar always empty ! 
 Sep 6 2009 	 FANTASTIC ! ! ! ! ! 	 mother - in - law stay one night birthday celebration see show theatre - really impressed decor enter hotel look luxurious lovely ornament clean spacious area . room ready drink bar area wait . staff friendly tableware gorgeous free snack . little expensive £ 3.50 cup tea ! room fantastic amenity could wish , iron board iron , flat screen tv , lovely walk shower clean spacious . departure , lift break one staff carry bag stair we ! able leave bag ' lobby ' ready we travel home.the staff helpful flagged taxi us.we really enjoy stay - would highly recommend hotel may return soon . thank . 
 Sep 6 2009 	 Excelent stay city hotel provide theatre break really relax make feel welcome 	 hotel provide wife , perfect theatre weekend , hotel close theatre . room modern amenity . staff friendly helpful . I hesitation recommend hotel definately return 
 Sep 4 2009 	 Fantastic hotel 	 staid Radisson 1 night go theatre . could fault hotel staff great well , friendly helpful . excellent location theatre close tube station . would recommend stay . A++++ 
 Sep 1 2009 	 beautifull hotel small room ! 	 stop one night service excellent , hotel beautifull plush always smell like flower ( think pump air freshener air con ) recently renovate tell everything brand new spotless , security good , want get bedroom via lift stair need room key activate . the area lovely close attraction theatre safe neighbourhood . the buffet breakfast real treat well stock , restaurant great staff friendly . the thing do not like whole hotel smallness room price London benifit air con maybe picky lol ! 
 Aug 31 2009 	 fabulous stay ! 	 enter hotel , checking - out , whole experience FABULOUS ! recently renovate , contemporary design minimalstic appearance , hotel spotlessly clean ! breakfast room air condition spacious . bedroom large , tastefully decorate , plasma tv , iron board iron . bathroom amazing ! ! hotel staff pleasant , courteous helpful . and .... location brilliant -close Covent Garden . 
 Aug 31 2009 	 great staff great location 	 stay recently aniversary . staff great near Bristish Musem Oxford street great place base city . the hotel recently refurbish make great difference 
 Aug 30 2009 	 perfect weekend 	 orginally book double delight grade free , room large clean modern usual thing tea coffee etc , bathroom large clean modern bathrobe . the buffet breakfast great eat wide choice food fresh fruit , pastry , ceral bacon , egg etc . all staff polite , helpful friendly . it make weekend see Jersey Boys perfect , would stay problem would recomend hotel one 
 Aug 27 2009 	 convenient comfortable way hotel will find Central London 	 stay Radisson Edwardian long weekend comfortable night sleep ever . fact , comfortable call hotel find bed ! courteous ever , get reply day : ) anyway , hotel fantastic location within walk distance virtually everything will want central , central London not mind walk get Waterloo Knightsbridge foot . super comfortable bed , courteous staff - maybe niggle rather average buffet breakfast . 
 Aug 25 2009 	 good hotel gallery museum theatre London 	 fantastic stay Radisson Edwardian Bloomsbury Street . staff extremely friendly helpful . complimentary anniversary sweet give we dinner nice touch much appreciated . room lovely . absolutely brilliant , course , location perfect theatre , gallery British Museum . 10 10 ! DEFINITELY back already recommend friend family planning go London . 
 Aug 25 2009 	 great hotel 	 hotel beutifull , always smell good , service excellent , come medical reason take care staff include house manager ... location hotel perfect , fragile state comfortness room exceed expectation ... surely recomend hotel next time come surgery ill staying . 
 Aug 24 2009 	 right London ! 	 arrive downpour treat like special guest . room show computer quite ready dear man front desk go check . return two minute , say indeed ready inconvenience ( five minute , kid ) , upgrade beautiful corner room-5 window around curve wall . amenity new , elegant , trendy , comfortable . heat towel bar dry soak clothe ! include breakfast great start active day . we one minute British Museum let we visit whenever urge see something miss last time . five minute walk theater district see Priscilla , Queen Desert -- amazingly good -- close tube station . figure bus stop around corner , everything town within easy reach . we stay -- doubt . 
 Aug 21 2009 	 good hotel theatre break 	 spend one night hotel transfer Kenilworth ( sister hotel ) room we . hotel reception staff hotel efficient , helpful pleasant . hotel booking make part theatre break package certainly convenient Dominion theatre also British Museum . breakfast good , varied choice available fruit cook buffet .. room quiet comfortable twin rather small dark although , spend much time room , issue . quiet air conditioning much appreciated . suggestion would make would clear rubbish , include black bag wooden palette could see small window look onto internal service area . fact head fire escape stair concern . 
 Aug 17 2009 	 ok- small bed ! 	 hotel great location walk distance Oxford st theatre . book double room get room shock size bed , small ! call reception say not room , way speak guy- can not remember name begin v think ! say could move we 2 another hotel- not want , say go come back see later , ... take we new room corner room 2 single beds- take room big decide would get well sleep beds- would prefer big bed tell full ! everything good . breakfast nice lot choice , staff friendly hotel modern . 2 thing would say , plug near mirror dryer straightner , hair dryer room 2 hold button whole time want use . would recommend hotel thing mind . 
 Aug 13 2009 	 would not hesitate come back 	 first time stay Radisson Edwardian Hotel would definitely return . stay number Hilton hotel view loyal one particular chain , notice inconsistency quality hotel appal maintenance housekeeping room ground couple stay recently Scotland , decide try somewhere different . online booking process straightforward provide good room rate . reception staff friendly efficient . hotel exterior communal area well maintain appear immaculately clean orderly . room immaculate housekeeping staff polite friendly spoke . room almost perfect state repair air conditioning quiet keep room comfortable stay warm weather . minor negative comment would shaving mirror bathroom loose large towel rail not work ( turn due warm weather perhaps ? ) . reception large plasma screen room quite poor however holiday not watch television problem although have stay alone business might issue . room luxurious quiet bed comfortable - almost comfortable . ice / water dispenser corridor nice touch . breakfast high quality varied range food ( buffet / continental / fruit / yoghurt etc . ) serve bar staff courteous efficient . hope high standard maintane hotel mature realise recently refurbish . definitely choose one hotel Hilton stay away hope standard hotel range consistent Bloomsbury Street . near tube station Tottenham Court Road ( 5 min walk ) restaurant takeaway around hotel . hotel short walk Oxford Street Russell Square . would recommend King Deluxe Room upgrade arrival . his / her sink glass partition wetroom huge deluge showerhead well regular showerhead . will definitely back get chance . 
 Aug 13 2009 	 great location customer service lacking . 	 Great ambience hotel ideal location Covent Garden , Oxford Street Theatreland . unfortunately element stay disappointing.1.A bedside light work despite 2 promise rectify nothing done.2.the promise voucher receive return home3 . receive morning paper ( Telegraph ) order night before . the reason give none available hotel day ! ! ! alternative offered.4.Despite lot staff duty breakfast attention detail miss eg butter /jams / marmalade ... replenishment milk / coffee unless one get table ask . order menu also difficult noone come take order ... leave table order.5.although expensive hotel ( choose special occasion ) ' ve far well quality / choice /service breakfast Holiday Inn ! ! ! 6.ice machine corridor work . however room nice comfortable evening meal service good . 
 Aug 12 2009 	 Excellent Hospitality ! 	 want say lovely weekend Bloomsbury Street hotel . 30th birthday friend travel Isle Man stop London . comfort hotel really help make memorable couple day . staff extremely hospitable room really comfortable . fried breakfast morning perfect start day much like fact could go second helping ! really good thing hotel though location . think go little away Covent Garden / Charing Cross Road area literally five minute walk heart Covent Garden Theatre Land . really pefectly situate benefit slightly hub bub . and finally , love ice dispenser corridor ! ! will definitely go back . 
 Aug 10 2009 	 not fool refurb room tiny dark . 	 stay thus hotel year ago refurb bad never come back . decide try recommendation friend . wish not bother . offer three room suppose double . small dark one window open onto roof section cover cigarette butts . almost half hour end room look onto building site . chest drawer put anything , wardrobe tiny safe deposit box high awkward get - pet hate- sit front mirror dry hair . mirror thin strip desk chair low let se . woman involve design room ? lobby public area flash , bit clean recently decorate , room still much . ' ve cancel room tomorrow night . staff well courteous despite unhappy . 
 Aug 6 2009 	 Good Price Fab Location Super Front House Team 	 Location great , front desk welcoming , excellent parking service , room small typical London - ever thing need tastefully decorate . breakfast buffet good selection shame breakfast staff seem bit disorganised . room service ' sort super hot room air ' appear work fob we , wish ' go front desk sort 2:00am . early evening meal restaurant okish wow , everything available menu . would stay hotel definitely due location helpful friendly front desk , parking service concierge . add bonus free wireless internet access 
 Aug 5 2009 	 elegant sophisticated yet affordable 	 dear traveler , newly renovate Radisson Edwardian Bloomsbury Hotel , formerly Marlborough , locate close Covent Garden , Oxford Street British Museum . Perfect Location ! moment step lobby , knew make right choice choose Bloomsbury Street Hotel . staff accommodate friendly . lobby spacious simply decorate yet sophisticated tasteful . book king deluxe room show several room choose . see room , impressed size room , also impress size bathroom . room flat screen tv , mini bar complimentary high - speed wireless internet access . hotel room immaculate well - look . would definitely , without reservation , recommend hotel friend colleague . hardly wait revisit London spring stay Bloomsbury Street Hotel . Curt Mortenson Los Angeles , CA . 
 Aug 5 2009 	 great hotel service location . 	 travel Sweden London vacation . stay four we two room . area include room modern recently refurbish . air - conditioning work fine . hotel staff professional helpful . free wireless internet definite plus . easy get hotel convenient location close British Museum Subway station . walk distance anywhere Soho . I definitely recommend . 
