thanksgiving 	 hotel perfect location : 2 minute walk Pier 39 . great price / quality ratio , nice design make feel really vacation - business . free internet room - lobby , food drink pricy - plenty place outside - 's problem . 
 almost ! 	 recent trip SF , stay Fisherman 's Wharf Sheraton could close attraction pay arm leg . room clean bright call towel , barely hang phone someone door towel . great , friendly service time check time check . be close really great restaurant ( old neighborhood italian place , Ceasars , within walk distance wonderful food ! ) still remove crowd . complaint pretty light sleeper , road noise bothersome . 's four story hotel 3rd floor , ( i- boyfriend could sleep tornado ) hear bus come go homeless people yell night long . get use 3rd night , still ... , great place great bargain ! 
 great location value money 	 book hotel priceline get great rate . stay hotel 4 night late November . arrive little early noon tell room ready 3PM . big deal leave luggage bit look around . great positive hotel , location , location , location . stone throw pier 39 cable car terminal . the hotel hundred room obviously comment relation room check - 2121 western side . noise outside apart air cond noise other talk . air cond particularly noisy fact go time - even thermostat kick still blow air hence noise . free room safe use . also gym fit nicely modern . think part building rennovate recently . staff helpful pleasant odd occasion speak . use lobby free wifi .. worry . ipass etc , able log wifi room discover later : - ) starbuck coffee complimentary . give hotel rate , would recommend great value money would hesitate stay . also buy citypass Pier 33 swap boat ride Alcatraz tour additional cost . great value $ 59 ! 
 family holiday 	 dissapointe food breakfast.we stay sheraton LA week restuarant open 11 pm . nothing tell we arrive would able eat there . be prepared . 
 Oct 11 2009 	 good location 	 nice hotel great location . close street car could walk around area easily . expensive parking hotel . 
 Oct 11 2009 	 great hotel great location comfortable ! 	 stay Sheridan Fisherman 's Wharf week past August . location PERFECT spending time wharf , . convienant get anywhere , especially since short walk trolley station ghiridelli square . hotel clean , nice amenity . favorite part hotel outdoor fire pit . would often go glass wine / cup coffee read book . nice relaxation long day sightseeing ! hotel nice cafe lobby , extremely expensive . breakfast go one morning $ 22 2 people . would often walk breakfast Boudini , sourdough factory block ... yum ! ! 
 oct 9 2009 	 Fantastic hotel 	 Fantastic hotel , friendly staff , great location say . would recomend hotel anyone . only downside would say bus depot rear hotel usually start work 5.30 possible try get room near front hotel ! 
 oct 9 2009 	 ok hotel disappointing breakfast 	 partner stay 3 night end long vacation . check - in prompt lady friendly , think room reasonably nice saw bathroom ridiculous . small mine home ! could barely get close door small plastic fake marble wall look like 70 throwback . big fan starwood hotel one disappoint , although staff nice bathroom terrible buffet breakfast ( pricey pathetic ) letdown . location great fisherman wharf aout $ 45 cab ride airport . although not use carpark stupidly expensive ! 
 oct 8 2009 	 helpful service make stay extra enjoyable 	 recently take 2 6 year old SF first time . hotel cheery , provide refrigerator free charge since keep medicine cold . really appreciate accomodate special need . little loud street - side 's expect city . kid appreciate real bathtub instead shower ! hotel provide Starbucks coffee in - room , love use recycle paper product . 
 Oct 8 2009 	 great location nice hotel 	 great location family . short walk Fishermans wharf Ghiradelli Square . room clean , bathroom sink area little small . staff helpful pleasant 
 Oct 8 2009 	 great Stay ! 	 hotel excellent location fisherman wharf ! walk everywhere . parking expensive hotel wharf walk public transportation desirable . Safeway tuck away behind hotel GREAT morning food snack ! Trader Joes nearby well . stay one night since use Priceline rent hotel room , get great price around 79 dollar recall correctly , room be not good location kind small ... although do not bother we bit want comfy convenient place sleep . room clean , odor complaint . I d totally stay . 
 oct 8 2009 	 wonderful San Francisco experience 	 nicely locate near Fisherman 's Wharf . clean , recently update . courteous staff . start day quiet calm experience wharf end day full life activity . stay . 
 oct 4 2009 	 nice hotel price ... 	 husband get hotel Priceline $ 85 per night , great deal middle summer . decor fresh modern , staff friendly ... even though book Priceline . read sometimes hotel friendly accomodate people book Priceline , case Sheraton Fisherman 's Wharf . room large nice flat screen tv . great firepit outside , nice touch . be big & quot ; & quot ; ... room maintenance garage . worker start move make noice around 6 . will chalk room assignment fact book Priceline . street noise constant ... room bus line ... mean location convenient public transportation , . hotel location great ... Walgreen 's Safeway across street . , good value rate pay . 
 oct 4 2009 	 problem walk - hotel situation ideal 	 walk difficulty lot homework do leave UK situation hotel etc . need not worry cos hotel great situate within 5 minute cable car , pier 39 hop on - hop bus , tram car stop right outside . San Francisco disable friendly , load seat wherever go . save time quee purchase pass ( Alcatraz / City Pass / Taxis ) line . hotel breakfast feel excellent value therefore not need anything lunch . fruit fantastic . pier 39 amazing . not impress fire pit hotel . 
 Oct 3 2009 	 great hotel room location . 	 Positives:1 ) walk distance Fishermen 's Wharf North Beach -- be probably walk distance place far get . go North Beach , would recommend Golden Boy Pizza ( hole wall GREAT pizza slice ) Mama 's ( love brunch ) . also , can not go wrong Boudin 's sourdough ( near water Fishermen 's Wharf ) . grab sourdough brie be set.2 ) room fantastic -- incredibly plush decadent . get great rate Hotwire.com . otherwise , room king - sized bed would likely pricey . complaint : bathroom rather small . 3 ) hotel staff helpful friendly . Negatives:1 ) parking expensive -- parking $ 43 / day close . park nearby public parking garage instead $ 24 $ 25 / day.2 ) WiFi free -- find nice hotel , expensive WiFi . hotel charge $ 10 / day WiFi . also case Renaissance Nashville ( nice hotel ) . contrast , mid- low - range motel ( e.g. , Holiday Inn Express , day Inn , Travelodge , Clarion Hotels ) free WiFi . 
 Sep 29 2009 	 Great Hotel perfectly situate 	 stay Sheraton Fisherman 's Wharf last leg 3 centre trip ( LA , Las Vegas San Francisco - Virgin ) . 10 hour drive Las Vegas , long tiring , enjoyable part adventure , hotel welcome sight easy find drive SF . read previous review remark high parking fee ( currently $ 43 day + Tax ( 14 % ! ! ) , politely decline valet 's offer park , state would make arrangement . seem unphased indicate regular pattern . unload car check park car multi - storey directly opposite $ 25 day flat £ 30 day weekend . downside drive /in facility , plan stay use park . say SF easy get around public transport ( MUNI ) plentiful easy use , not really need car . check - in quick easy room settle quickly . room spacious , bright airy quite modern decorative theme . Tea / Coffee ( Starbucks ) facility available , room safe , fridge ; be extra $ 10 + tax per day . think absolute cheek . tip : use ice bucket fill ice keep milk cool . yes bathroom small hey , be bathroom long plan stay ? walk corridor room remind walk giant tube strip toothpaste ! get know mean . main criticism would aircon LOUD . also throughout night delivery truck ever tooe frowe North Point shopping mall , well noise large bus depot rear hotel ; not view thankfully - good . take ear plug . North Point shopping mall directly opposite Safeway cater need open 0700 - 2230 hour ; also Walgreens . Trader Joe road one block . hotel 3 minute walk Fisherman 's Wharf touristy bit , right thick . recommend Boudins Clam Chowder sour dough bread bowl ( yummy ) . ihop sit alongside hotel Beach Street , offer good selection , plentiful help reasonable price . try Beach Street Grill ( mention review ) whilst quality top notch , quantity generous consider overpriced . one thing notice area night considerable amount ' down out ' ask money buy food ; although smell strongly alcohol . nice sight time nuisance . small child aware . tram turnstile 3 block along end Beach Street , must experience . plenty hop hop tour bus operate Fisherman 's Wharf , good way see city . Sausalito Muir Woods Marin County , Golden Gate Bridge well worth visit - stunning scenery , giant redwood retail opportunity . Alcatraz must book get SF extremely popular fill fast week advance . Coit Tower offer stunning city scape view well bay Alcatraz . tip : brit visitor , get 10 % discount card customer service Maceys Union Square save even shop ; be valid 30 day . enjoyable stay wonderful city good hotel , ideally situate usual comfort . nothing flashy going see SF , go much . 
 Sep 26 2009 	 Bad Money pay 	 first , let say got double room $ 71 per night Priceline . stop 1 night en route South Pacific hour hit highlight San Francisco . Sheraton centrally locate everything touristy want see short time available . consider price pay expect cool treatment bad room house . happily surprised meet friendly staff offer choice bedding arrangement . room clean comfortable bed linen . note previous poster bathroom date need upgrading , 1 night satisfied . street noise , commotion hallway night . the concierge bellman helpful assist we plan short tour , book airport shuttle later day . check breeze bag store ready depart airport . free wi - fi lobby downstair cafe welcome . all , please stay Sheraton Fisherman 's Wharf . 
 Sep 25 2009 	 nearly five ! ! ! ! ! 	 San Francisco first part recent trip States , stay hotel year ago , decide plump .. hotel recently makeover like look , although other say bit loud ! ! long flight UK , twenty five minute transfer first thing want quick hassle free check - in ... get worry , soon way room , change ground floor .. want say normally prefer room high possible , think well maybe ok , surprise never realise much time would waste lift course stay ... hotel , thirty second walk room , morning thirty second walk hotel .. think ... wait lift ! ! ! ! ! ? ? ? room nice , small side , say quite like ' bright ' colour ! ! one thing let , design bathroom ... bath / Shower toilet one part seperate door , wash basin etc external door .. , although will not bother people , not like ! ! could literally walk main door someone shave , get dress leave privacy ! ! ! ! ideal opinion ! ! room terrace overlook heated pool pleasant , water warm .... ... tour nearly day usually 8 - 8.30pm go relax swim , boy chilly get ! ! ! ! ! nice hotel , would got five apart two issue raise . have interested people view ! ! 
 Sep 24 2009 	 Comfortable Hotel ! 	 husband stay one night . room comfortable . bed amazing . great night rest . quiet . hotel staff attentive ! great location . one tip . want pay pricey parking hotel , park right across street Safeway shopping center . around $ 20.00 versus $ 50.00 hotel . difference fee pay time take car Safeway lot . planning use city transpotation visit way go . would stay sure ths great hotel . 
 Sep 24 2009 	 Excellent Hotel - Good Location 	 's excellent Hotel , like Fisherman 's Wharf . perfect location : easily walk main destination around : 5 min pier 39 , 15 min pier 33 ( Alcatraz cruise ) , 15 min Girardelli Hyde street ( Cable car ) . around plenty bus stop , tourist trip stop , etc . room newly remodel young Ikea style bright beach color . bathroom bite small ok . clean comfortable . free wifi internet lobby work quite good . pool area nice useful . lobby little embed Starbucks quick snack need . parking problem area . use expensive valet ( 43 $ + tax day ) . well use round - the - corner public one cost 25 ( tax ) day . nice fire pit relax area outside pool area , could never sit always full . 
 Sep 23 2009 	 good hotel travel dog 	 Sheraton offer good rate wharf travel dog . however , parking expensive . aware ... park Sheraton $ 42 per day . 3 day stay , pay extra $ 126 parking . 
 Sep 22 2009 	 Great Location Nice Rooms 	 great place stay San Francisco , lot stuff nearby Pier 39 , walk place . easy get cab hotel . room clean nice , although spacious . 
 Sep 15 2009 	 great Stay 	 hotel great location , easy find lot parking option ( valet public parking ) . nice touch fire pit outside bar area near pool . room comfortable . bathroom / shower area small big deal . Liked Starbuck 's coffee room free bottle water Starwood guest . eat hotel , many dining option near , Safeway , Ihop fast food chain walk distance , classic Fiiisherman 's Wharf choise . walk Pier 39 , Fisherman 's Wharf area Cannery , Hyde Park Pier , cable car turn around . as Starwood 's hotel , come back visit want Fisherman 's Wharf area . room overlook pool hear street noise . 
 Sep 14 2009 	 nightmare ! ! ! ! ! ! ! ! ! ! 	 could believe place . call let know would e arrive early ask ok said & quot ; Sure . & quot ; however due traffic arrive late get 30 min check time . tell we room ready could come back 2 3 hour ! ! ! ! ! ! serious ? come back take we room clean nice could smell cigarette smoke . move we another room first floor . bad . however midnight day AC unit explode dump water floor room smell burn electrical wiring . first ask could wait morning say & quot ; no . & quot ; serious ? go back forth front desk engineer move we another room . 3 room one night . think anything we make ? thing . usually like sheraton one bad customer service ever see travel business 10 year . never go back hotel advise anyone listen go either . 
 Sep 12 2009 	 clean hotel wonderful safe location ' 	 daughter stay hotel three day love . youthful , artsy , beach like decor . want sophistication , stay Palace . safe , near everything , car need . public transportation right outside . walk cable car turnaround . love firepit relax nightcap . staff friendly accommodate . quiet night , maybe third floor view entry driveway center building , could also look back see beautiful building hill . Beach St. Cafe great breakfast , lunch dinner . dollar rental car lobby convenient pick car continue vacation , like , Monterey Big Sur . . 
 Sep 11 2009 	 Stylish remodelle smallish room great location 	 end trip Hawaii 2 night stay disappointed . hotel completely renovate room small stylish . small restaurant breakfast , go IHOP street . location Fisherman 's Wharf great , find staff helpful . would recommend hotel . 
 Sep 9 2009 	 Good Value Great Location 	 stay 3 child ( age 15 , 14 10 ) 2 room August enjoy proximity wharf attraction . get great price hotwire room spacious clean . overnight parking outrageous would definitely recommend other would stay . 
 Sep 7 2009 	 good bad 	 first time stay fishermanwharf area . bid hotel priceline get awesome rate excite stay Sheraton fishermanwharf.we arrive airport express hotel 9 p.m. get check put room # 5520 . since , walk door could hear big aircondition ( roof ) noice loud though , not thinkg . morning husband angry not get good sleep tired worked week travel day . come SF enjoy mini vacation . , go ask mgr new room grant . have move stuff new room get back day 's . give we complimentary breakfast inconvenience good breakfast . good # 1 location since tourist will not mind walk block anywhere , have utilize local transportation since , buy city pass booklet . save us lot money rental car hire taxi pay muni time ride . # 2 room clean , nice bed , bath room adequate traveler expect . # 3 good management , problem bring attention resolve . , not go without get satifie with . the BAD 's # 1 lose Lancome ' Kabuki & quot ; brush . lady know . big , soft natural hair ( expensive ) loose powder . lose ! not loose item travel pack light . change room stay 3 night . Humm ! clean service ? # 2 hall way sign confusing ! # 3 staff helpful ! # 4 Pool heat ! shock many star hotel not jacuzzi ! .the day arrive weather drop 20 degree , look hot tub ease achy mucle walk day . nop ! price wise $ $ $ $ much 's amenity . over kill parking $ $ $ $ , oh ! forgot mention business center think compliment . nop ! get swipe credit card get email print . 
 Sep 3 2009 	 Excellent hotel perfect location 	 stay Sheraton Fisherman 's Wharf recent trip San Francisco . simple , no - frill hotel enjoy fantastic location city . Fisherman 's Wharf , Ghirardelli Square historic cable car within easy walk distance hotel . Muni F streetcar stop nearby . take go Castro , Embarcadero Union Square . convenient . the whole hotel look hip modern . room get not big clean , cozy comfortable . single - cup coffeemaker , convenient could not wake without coffee . bathroom spotless come Bliss toiletry . we cool experience front desk employee . come Palace Fine Arts , take bus 91 hop Columbus Bay Street . kinda get lose could not figure way go reach Sheraton . nice lady ask we going tell go Mason street , tell we get bus since head direction getting stop we . get bus , give we way walk get Mason street ask we be go exactly . tell go Sheraton , say work front desk come later . unfortunately not able ask name not see reception either . whoever , God bless God bless Sheraton hire nice helpful people . Sheraton great place stay San Francisco . go back ( ' m pretty sure ) will definitely stay . 
 Aug 30 2009 	 great location price 	 book 2 room priceline 4 night . location perfect . park nighttime street free 7.00pm . self / valet park around 43.00 plus tax per night . careful park street night time street clean certain night . great city visit . lot choice restaurant / shop etc . friendly staff clean room . try get room face inside noisy F line tram go past night . free WIFI lobby . 
 Aug 30 2009 	 great 2nd room ! horrible service rude evening Front Desk staff . 	 book Priceline.com . thought get good deal / good location . - 1st issue : check - in Prior arrival call 800 number check parking include guest assure , problem . get front desk , 1 front desk lady . wait 15 minute check - in tell park additional $ 45 plus tax , even $ 50 . explain situation , basically tell lie . finally , hear $ 20 overnight parking across street , get special authorization manager let we take car garage & quot ; , right away & quot ; .- 2nd issue : get & quot ; special price & quot ; room , overlook San Francisco Bus depot . go back ask & quot ; bus start 6 , ? be go to work we & quot ; ... expect answer alla & quot ; Vinny Gambini & quot ; .. lady admit run 24h . another front desk lady nicer first one give we room courtyard instead - room great . clean spacious , modern+ lot storage.3 ) bother : almost week stay ( August 24th ) today August 30th : upon check - in , tell room pre - pay priceline need see credit card ID - problem , . front desk person & quot ; authorized & quot ; word charge $ 100 debit Visa card- without ask even let know go . next day , road gas station card & quot ; declined & quot ; . husband suggest call Sheraton see charge anything card since time use pay hotel online . indeed , operator inform & quot ; authorized & quot ; $ 100 case would use minibar ... nothing charge since not use extra service . let know inconvenience since unexpected charge assure $ 100 would credit back card within 24 48 hour . false . almost week later money back card . call today say call back tomorrow office open . getting run around . tomorrow , go ahead let credit card company charge - back . inadmissible . another way make interest money rightfully . take $ 100 time 500 guest per day . let collect interest complain literally chase - down $ 100 want bother . think people review credit card statement every 30 day ... disappointing . needless say back Sheraton . crook . locate one prominent tourist attraction world . this give Sheraton bad name .corporate really look .. 
 Aug 27 2009 	 Nice Hotel .... would come back 	 nice hotel Fishermans Wharf , close amenity . arrive hotel 10.00 pm greet friendly receptionist , get room 3rd floor , room nice big bathroom tiny . hotel great location Fisherman 's Wharf , close lovely bar restaurant , food drink hotel quite expensive worth walk around , especially around Pier 39 , block hotel . would definately stay . 
 Aug 26 2009 	 ideal location short visit San Francisco 	 choose stay Sheraton Fisherman 's Wharf Hotel appear good location town follow previous review offer clean comfortable bed . good decision . the hotel room good size ( King Bed ) flat screen tv , tea / coffee maker , individual control air con / heating ( although old style ) chair , coffee table - third floor view entrance disturb traffic noise . bathroom rather small size ( almost stand toilet close door ) sink / vanity unit & quot ; hallway & quot ; share wardrobe . ( iron / ironing board , hairdryer safety deposit box well ) .disappointe find hotel charge internet access room whilst anyone walk street free access lobby . - staff friendly knowledgeable - answer question smile never get feel another one queue . the hotel locate minute walk Pier 39 , Cable Powell & amp ; Hyde Cable Car stop easy reach ferry Alcatraz . the hotel offer outdoor swimming pool couple sunbed around useful quick dip busy day . seat area main door firepit interesting feature . the hotel offer basic snack bar lobby area however expensive - ( almost 5 $ herbal tea ! ! ! ! ) cost effective breakfast local restaurant ) one major thing take account holiday San Francisco changeable weather .... Mark Twain quote say .. & quot ; cold winter ever spend summer San Francisco & quot ; ! whilst sun warm soon go shade ( bus ferry ) wind freeze cold make sure take warm fleece jacket / cardigan use need . 
 Aug 25 2009 	 GREAT RENOVATION COMFORTABLE LODGING 	 year since stay Sheraton Fisherman 's Wharf . previously dark place quite run . renovation great . entire hotel clean bright , decor do nautical blue / green / and white wash . really make feel shore / wharf town , cheesy . staff pleasant helpful , HONEST . go book Sheraton 's house shuttle transportation SFO end trip . cost $ 17 per person total 4 . concierge advise we would cost flat rate $ 45 arrange town Car instead , therefore would save money . find honesty unusual thankful . 2 less , shuttle great deal . room clean , small bathroom ( sink / vanity outside toilet / shower / tub area ) . would definitely stay since hotel much nicer several wharf hotel ' ve stay , around price point . 
 Aug 24 2009 	 Honeymoon California 	 travel july San Francisco husband . trust reviews hotel good experience . Fisherman 's Wharf great place stay San Francisco . lot restaurant shop plenty people day . easy access public transport ( also typical tram ! ! ) available ferry Sausalito Alcatraz bay tour . hotel nice comfy room . staff ok , think ' m happy one suitcase delay London arrive second day stay althought day ask , not receive attention hotel finally go reception desk late night answer , oh ! 's intention call room tell . maybe reason give tip doorman first day . special thank spanish concierge give we useful information concierge book we good transport airport . despite staff , would return hotel highly reccommend good price - value relationship special offer . 
 Aug 24 2009 	 well locate 	 busy hotel extremely high charge food beverage . we room third floor overlook bus car park . not matter room - face either two main road , car park another hotel . the actual room large well lay two ( small ) double bed . window blind operate switch front door - take maid find we . room clean well , towel replace . despite we ask , writing , maid still leave we 3 towel 4 we . however , pool area large supply clean towel , supplement ! ihop diner across road corner , excellent breakfast . ask kid menu child , portion generous . also 7 - 11 round road , stock water essential . the hotel well place everything - location wise could not complain . concierge service excellent knowledgeable . lead we superb meal cheap restaurant China Town . we expect really good bed trip advisor comment - rock solid , 4 night glad go home . air conditioning unit fall apart noisy , come cruise , sound like droan engine , manage . 
 Aug 22 2009 	 Great experience 	 first stop California trip . stay 4 night enjoy hotel location . think location good thing hotel . find people front desk pleasant accommodate . would definitely recommend hotel . 
 Aug 16 2009 	 wonderful location service 	 hotel seem get review range . agree small bathroom assessment , really not bad . double bed , opinion , awkward . plus side , decor funky , bed pillow comfortable service front desk especially concierge superb . 
 Aug 15 2009 	 fantastic location hotel pleasant would recommend 	 want right tourist place San Francisco , place . 3 minute walk FIsherman 's Wharf , ideal location . lovely well keep hotel , clean good sized room . room back onto side street sort depot behind , get disturb morning quite early . also , impressed security maid pleasantly challenge we try enter room , open cleaning . food expensive , give wide berth go IHOP around corner , great kid . very good business centre allow we print flight booking sheet free . lovely fire pit sit around outside front hotel . concierge brilliant helpful . on location , hotel great tourist . would need bus / tram get shopping area downtown , cable car around corner Mason St . kid great location tourist stuff . 
 Aug 14 2009 	 fantastic - certainly get pay 	 hotel quite expensive specifically want hotel pool . certainly get money worth . staff attentive knowledgeable . hotel spotless , cool airy . room large , couch pull bed daughter . big flast screen tv load channel . bathroom clean , slightly negative note , small , lot surface / shelf area three people 's toiletry . outdoor pool heat pool towel available . also shallow enough three year old play happily . great area sit outside hotel around pit fire type thing enjoy evening drink . concierge organise shuttle airport problem . overall fantastic hotel deserve 's first class reputation . would not able stay many expensive though , nice one treat family . 
 Aug 13 2009 	 mad starwood ! ! 	 come back sacremento want good location two night 's . get becouse motel style lobby go non guest parking get lobby make we pay non guest parking without give we chance move car . lobby loud , starwood peferd guest check guy say reservation july 27 aug 2 , would not give we room , give recipt give we room . throught firepit everybody alot drunk People take scream night .NOT GOOD HOTEL 
 Aug 13 2009 	 Perfect Place Stay 	 husband find perfect place stay . room ready check mid afternoon . give room forth floor , corner . never experience noise problem , although read many . maybe location make difference . yes , little bit walk elevator , never bother we . room nice size . plenty space suit case well drawer closet space . read lot review regard small bathroom . guess be vacation ...... bathroom last place be spend time . yes , bathroom vanity small shelf closet behind vanity , plenty room . Safeway Walgreens short walk parking garage . well Postal Annex . case be shopper like need ship thing home . the Beach Street Grill seriously good place breakfast . good price , good service block away . my husband would stay hotel heartbeat . guess look large bathroom ....... try Ritz . 
 Aug 7 2009 	 Great Location tourist want go place . 	 nice clean , functional place . nothing fancy king bed room plenty room two we . go anywhere want kind concection . every staff memeber meet pleasant . fire pit outside nice touch use people times day . 
 Aug 7 2009 	 good location short stay 	 Hotel one block Fisherman 's Wharf , although bit tacky , still must see tourist . also well locate cable car , Pier 39 , ferry Alcatraz etc . good fitness centre lovely pool albeit not use cold ! SF much colder expect . room two double could large time spend fine - quiet overnight great . not breakfast instead use local Starbucks . next visit might stay close Union Sq . happy choice first visit . 
 Aug 7 2009 	 outrageous charge additional service 	 absolutely will not go back hotel - additional charge scam ! charge US $ 49 per day customer parking , surround hotel offer half , even free ! also charge internet per IP address instead per room , without inform TERMS & amp ; condition ! husband access internet work , son think might well connect laptop iPhone wireless network subscribe internet . check bill , realize charge almost $ 58 internet per day - $ 14.95 per IP address ! ! add charge , location great , noisy . 's popular hotel tourist weekender , mean long line check valet service . People luggage trolley crowd entrance everyone wait around car arrive ( check Sunday ) . want contest internet charge front desk , long queue decide instead e - mail Sheraton 's corporate office think wait around inquire would make we even angrier . 
