luxury 	 stay couple month open . beautiful suite great layout . love everything incredible bathroom , comfortable bed remote control shade curtain . casino connect venetian lively fun . phantom incredible . 
 amazing stay one Las Vegas ' good suite hotel 	 Palazzo quiet serene oasis midst Vegas strip activity . twin tower Venetian , huge Palazzo suite amazing view Strip - directly across Treasure Island Fashion Show Mall . location great . never leave Venetian / Palazzo complex , , be close Wynn Encore Mirage . 
 Great Stay 	 second stay would stay anywhere else . service room always excede expectation . room huge always clean . service great always happy help . everyone work maid taxi line people always say good morning , afternoon , ect . would recomend hotel anyone . 
 Mature clientele 	 stay Palazzo right Thanksgiving . find hotel mature clientele , without much party scene , fine . think be hipster look big party scene , may right hotel . hotel nicely appoint clean . room nice , impressive , consider pay . certain area , & quot ; aroma therapy & quot ; pump , combine usual cigarette smoke , bit hard swallow . staff service average . one waitress make positive impression tip accordingly . desk personnel friendly , agenda sell pay upgrade . logistically , Palazzo good jumping place want within close walking distance either Wynn , Mirage , TI Harrahs . hotel large , combined sister property , Venetian , slight orientation challenge . two join property , be pretty much something everyone . overall , not big issue hotel , expect , give price pay room additional service . 
 vastly overrate 	 unfortunately big disappointment , except bright spot ( server Grand Lux , comfortable / spacious room ) . service nowhere near would expect five diamond hotel ( receive ) -- multiple call priority service get equipment room working order , surprise fee , unknowledgeable concierge multiple occasion , room service meal sit hall almost 24 hour . be prepared pay fitness center ( despite note website ) . tell additional charge use whirlpool ( ask multiple people ) , find one outside free charge -- not staff know property ? back Bellagio next time 
 Nov 19 2009 	 lovely hotel shame dusty room 	 hotel impressive . room leave alot desire .. disgust thick layer dust furniture dining area , thick could write name ! ! bedroom area bathroom clean .. three us share room attend conference want keep cost ask iw could duvet / quilt sofa bed , rather old scratchy blanket housekeeping staff rather sarcastic ! attempt charge we item fridge never consume ! quick take assire fridge touch .. suite much small reality tham appear virtual tour website .. conference special rate ad split cost three , pay full price would dosappointe indeed .. 
 Nov 19 2009 	 excellent trip ..... 	 stay Palazzo Resort Las Vegas November 14 - 18 , 2009 . travel wife another couple , never property . reserve Palazzo Luxury suite , King bed . check smooth , able check 10:30am , sometimes rare Vegas . room 17th floor ( room 17836 ) , face strip , friend room face desert , 37th floor ( room 37829 ) . must say strip view worth , even sacrifice stay high floor . room seem touch large also , wife full nightstand drawer , friend small shelf attach wall . room nothing short amazing . bed comfortable , bathroom large bedrooms house . marble everywhere , private toilet , stand alone glass shower , deep soak tub , double sink , vanity wife use make ! quite impressive . room also boast sink living room feature large pull sectional couch , work station computer , desk , etc , table 3 chair , breakfast , snack , etc . curtain blind room control via remote control , pretty cool . downside 2 option .... open closed . partial opening . oh well , get . 3 plasma tv 's room make ! : ) room safe large enough laptop computer outlet build computer charge safe . resort great layout . casino small , prefer . shortage restaurant around casino , build connect Venetian also . eat Grand Lux Cafe , Noodles Asia , Sushi Samba . one tip , go Grand Lux Cafe . terrible . 2 excellent can not wait go back ! eat SushiSamba happy hour , opportunity try different thing low price . the downfall hotel upon check - in tell & quot ; part package & quot ; , entitle free high - speed internet , free local phone call , access gym . pretty happy see folio $ 30.85 charge room internet 1 phone call . front desk ( check ) tell pay $ 15 per day & quot ; resort fee & quot ; , would include , since never use gym , would cheap pay internet . tell upon check . otherwise , would use internet ! also , charge $ 24 snack minifridge miss check . checkout , remove bill , say someone would check fridge leave . feel see another bill soon miss item consume . other two issue experience regard billing , resort top notch . people complain perfume smell Palazzo , smell Venetian . get use , although could without . would definitely stay price right . good location , impressive room , good food nearby , relatively cheap price . 
 Nov 19 2009 	 love hotel 	 room nice spacious , pool great , nice connect Venetian . would reccomend hotel , stay 3 other favorite . love room hotel mandalay bay , location well ! ! 
 Nov 19 2009 	 great room location like walk 	 accompany husband convention attach venitian resort kind force stay here . room spacious clean , make worth wait room not ready check . waiting room really disappointing long day travel tote heavy belonging . large bathroom , comfortable . love three flat - screen tv 's . refrigerator actually pre - stocked wet bar room stuff , luckily not take many perisable glad take lot can munchie time feel captive large environment . no coffee pot , force leave room morning long hall elevator get expensive coffee . huge inconvenience . actually trade show make extra walk trade show get free coffee . hotel restaurant opinion expensive get course be recommend dine strip check strip & quot ; downtown & quot ; dining . there fast food restaurant strip south hotel Denny 's close great breakfast . walk little south food court pop Mac 's , Subway , Del Taco , Chinees , etc . etc . opinion place young child elderly . way much walking . watch one family take hour get grandma huge pool . by way think three four pool . one not open although place sit pool . I think five hot tub sight room view . they make great drink pool , probably good strip . boy , drink strip ! , love room , view dislike inconvenience cause size property . 
 Nov 17 2009 	 Birthday / wedding weekend 	 Beautiful room ! spacious , classy , elegant , great pool , Jersey Boys ! ! ! ! ! 
 Nov 17 2009 	 nice hotel need work minor detail ..... 	 go Las Vegas every year first time stay Palazzo . stay venetian last year find much nice . Palazzo nice , marble tile , goose comforter , 3 hd tv 's , plush bathrobe , etc . complaint housekeeping staff . room dusty upon arrival never dust 3 night stay . bed okay , little firm taste . sheet change place card bed every day . get clean towel every day forgot leave we clean glass give we toiletry bathrroom . not major complaint though . awesome view even though not face strip . think concierge level upgrade bit pricey get . not issue last year stay venetian overall think nicer hotel . definitely stay venetian probably Palazzo . 
 Nov 16 2009 	 beautiful minor glitch 	 1st fime stay Palazzo , stay Venezia Tower Venetian 3 time . Palazzo beautiful hotel , well appoint room ( 3 flat screen tv 's include one bathroom ! ) fantastic access convention centre husband attend trade show . room beautiful , lovely view Wynn Golf Course ( not tempt offer strip view upgrade cost ) enjoy space include comfortable king bed , roomy sectional couch sit area ( except think velvet would smart choice fabric - yuck ) great bathroom . couple minor issue work . 5 star hotel yet experience 3 star level housekeeping . week , find follow : room make late day ( 4 pm ) ; housekeeping miss dirty wine glass leave dresser full view ; another day empty kleenex box also leave full view sink . bad one day leave room 10:30 find hallyway strew bag dirty linen , room service tray include one front room have not even room service . come back around 4 pm mess still . go concierge complain . respond mess clean , something never see hotel level . also find front desk staff particularly friendly . yes one formal someone check hotel , need arrogant . would stay ? absolutely , minor glitch hope management review comment perhaps improve service . 
 Nov 13 2009 	 Plush ! 	 stay Palazzo 3 night last week location one new hotel Strip . love place ! class elegance Venetian ( stay first trip Vegas back 2004 ) , great selection restaurant premesis . room GORGEOUS bed extremely comfortable . view thte 19th floor east side Vegas , mountain , still love . staff wonderful start finish . plan stay 6 month . 
 Nov 10 2009 	 nice 	 stay Palazzo , good . great service , really nice room . probably place stay Vegas ...... would go back ! 
 Nov 7 2009 	 depend need 	 Awesome hotel , however significant problem upon check . arrive 3 pm tell & quot ; reservation , room & quot ; . flash back Seinfeld episode . wait hour , finally get room , wrong luggage arrive . , problem . loved room , hotel , etc . expensive room refreshment , case . I back , many option Las Vegas . 
 Nov 4 2009 	 Awsome hotel rude staff ridiculous pool hour 	 great hotel ! one good Vegas would say even room actually suit even small ( affordable ) one stunning . great view strip ( pay extra course , nothin free Vegas ) amaze huge bed , extra living room sparkle bathroom , perfectly clean modern yet nicely design remotely italian look match theme hotel complex . one reason stay hotel amazing look pool area sure would great could actually use . pool hour actually super short pool close off - season soon sun go down- reason Vegas hotel can not open sun go . first day stay arrive pool morning find unskille youngish employee guard close door tell we & quot ; stuff blow pool & quot ; . aplogy whatsoever quite non - helpful behaviour . would probably customer service stunner either guard close door day 's certainly problem . hour later- weather look perfectly fine room light breeze going- call concierge desk ask pool opening tell highly unprofessional rude manner & quot ; pool close , be close not opne later , 's & quot ; - aplology whatsoever . later complain personally concierge desk also upon checkout day later- single employee bother even give we sensible explanation least apologize . afternoon first day , actually hot day aboslutely wind anymore whatsoever hotel still not bother open pool . actually suspicion : pool not open morning , way hotel sell ridiculously overprice private cabanas anymore obviously reason pool first place . shame otherwise stunning property- happy ! 
 Nov 4 2009 	 go need room service bell staff maid service package 	 take lot write one review . either positive negative , feel traveler warn look review Palazzo . perhaps fine want go Vegas , gamble little cocktail . attend convention try work hotel recently 6 day . suite upgrade spacious lovely . happy check excited find printer / fax / scanner . none work course first day parade 2 bellman engineer . lack fax send discover evil package center . place go send $ 11 two page fax , recover Fed Ex package start fee $ 4 . be right , pay get package give . strike illegal intend inform Fed Ex . definitely right . get business continental breakfast deliver 4 take hour half next day ask coffee . 2 hour ask coffee . finally put boyfriend phone think frighten badly server ran room drop pot leave fast get tip . want work , call front desk think would cost $ 30 - 40 . sure . go Canyon Ranch workout Center explain purchase daily resort fee would get wi fi workout include $ 15 day . news front desk seem . scheme thing sound like deal . go get wi fi charge remove bill . hard sound . especially phone . reason REALLY want come front desk personally everything . Maid service catch catch well . call housekeeping seem get do . find people hallway prove fruitful . favorite scenario come language around laundry service . phone one morning ask want day express . 9:10 answer day . explain would get clothe next day afternoon . reply not day . tell call . want clothe later day need get express pay $ 15 extra fee since call 9 . several day become incredibly exhausting grateful leave . sole bright spot service concierge staff appear know job extremely professional . write letter hotel complain ( do year ) bad service really . go need room service , bell staff , maid service package . 
 Nov 4 2009 	 Palazzo Review 	 husband business go leisure . , nice hotel . room beautiful great view strip . casino little low key other strip . would highly recommend hotel . nice ! 
 Nov 2 2009 	 Luxury Vegas ! 	 Palazzo stunning . small suite part honeymoon trip pay $ 129 per night . suite still huge comfy view Treasure Island pool area ( also nice ) . security excellent , load parking , check - in quick easy casino last smoky ' ve . also excellent location away least salubrious part Strip close action . everything describe show website sure people find moan . would stay instant ! 
 Nov 1 2009 	 exceed expectation ! ! ! 	 Palazzo offer 1st class service , accommodation amenity entire stay . ton research decide stay Palazzo long weekend . right choice . highlights:1 . huge spotless room ... separate tub , shower toilet . electric window shade curtain nice touch . 3 flat screen tv 's room ( bed , sit area , bathroom ) . comfortable sit area large L shape couch.2 . cleanliness resort room . wife particular cleanliness room happy . add bonus clean staff pleasant happy help request.3 . resort huge since connect Venetian . stay weekend would not ever leave . believe restaurant resort vegas ... many choice ! ! ! 4 . Palazzo casino ... casino Vegas high ceiling . good atmosphere gamble . not smell cigarette smoke.5 . win table must go Canyon Ranch spa .... could spend whole day relax there . the Palazzo everything want one location . shop Ceasars , room restaurant Bellagio , Wynn Encore . 
 Nov 1 2009 	 will back 	 stay hotel strip one good . Valet check - in quick friendly . room 42711 wynn golf course . room excellant big expect . room luxurios wynn even Bellagio , think linen , bed fine comfortable MGM , Mirage , Wynn even TI . overall think room great amazing . Great Dealers Casino Drink service good . true gambler probably place fun middle class 30somethings . we eat Grand lux ( great , highly recomend ) Dos Caminos ( also great ) negative horrific service salute lounge . look deal go Palazzo . 
 Oct 29 2009 	 bring walking shoe 	 Weather Las Vegas fabulous October . beautiful hotel , really huge taste . 5 minute walk room elevator ! long walk get anywhere inside outside . Venetian Canal area fabulous . resort spotless public area . room clean , bath huge . 3 tv be necessary . would trade 1 coffeemaker . excellent reasonably price breakfast Grand Lux Cafe . pool area pretty mob . service excellent ; trouble key card fix immediately . big buck food , room service excellent . 
 Oct 28 2009 	 Best Suites Strip 	 first stay Palazzo , find similar Venetian . lovely , grand luxurious room plenty style . absolutely loved separate living room area could stretch rejuvenate activity Vegas offer . wonderful treat motorize roman sheer shade curtain . enjoy wake every morning reach remote control opening curtain touch button ! small sundrie / gift shop near elevator extremely overpriced . , take short walk Walgreens locate property , Strip entrance . Coffee Beanery ( think 's ) instead Starbucks ... nice line always long . the complaint large suite , way close bedroom living space ... one person stay , can not really retreat bedroom , one want stay later watch tv , etc . if look suite two , would probably stay else ( like thehotel ) travel solo would definitely consider . 
 Oct 27 2009 	 exceed expectation . 	 hotel gorgeous , room spacious , well appoint beautifully decorate . pool beautiful think 's location strip excellent . shop Palazzo adjoin venetian , good perphap caliber Forum shop Caesar 's Palace . fitness center actually Canyon Ranch facility ( require small upcharge ) good hotel fitness center ' ve ever to . the restaurant also excellent . not go nightclub , Lavo , be definitely todo list next time . would definitely recommend . way hotel romantisc vibe definitely put we right mood . 
 Oct 27 2009 	 Disappointing 	 look forward stay Palazzo friend attend AARP convention . 3 us - think Palazzo suit , would fine . however , hide - a - bed thin uncomfortable end put sheet couch sleep cushion ! wallpaper bathroom peel ( strange new hotel ) - though nice toilet separate room sink , shower tub . clean service leave much desire - bathroom sink area never clean furniture room remain dusty 3 day . also , acoustic great - noisy neighbor report 3 time security - could hear music conversation clearly easily . location , service , shopping , restaurant , etc terrific room major disappointment - maybe venetian nicer . 
 Oct 27 2009 	 Wonderful Classy Hotel .... 	 amount pay stay hotel expect little . instance get Bella Suite include 2 queen bed , queen bed short , foot edge bed 5 ' 4 ! room roomy comfortable , maidservice come late clean room , around 1 2 excellent job . the room service pricey expect , order steak really tough edible , ... maybe 3 am ? ? ? either way ask refund . go Dal Toro Ristorante , , order lasagna , hard boil egg include sauce . the service horrible food . everything else stay great , Dos Caminos well mexican food ever , Texas know mexican food ! customer service , vallet , everyone friendly . think next time try Belagio , since everywhere want go area anyway . 
 Oct 26 2009 	 enjoyable stay 	 stay 3 night . suite spacious , clean quiet . House keep extremely helpful extremely large hotel , take time arrive . concierge fantastic recommend restaurant . as would expect gamble everywhere hotel busy . pool area busy particularly relax ok enough spend afternoon . good restaurant hotel mostly eat hotel . next time Vegas stay another hotel experience would recommend stay friend . 
 Oct 26 2009 	 Nightmare Palazzo 	 brief ... first 15 minute room , break dresser drawer fall foot , foot swollen bruise entire 4 - day stay . want give $ 100 dining credit turn $ 200 much complaining . would not refund room prepay Priceline . management not send anything room inconvenience damage limb due negligence , absolutely nothing say sorry . happen customer service . sure not exist Palazzo Hotel . never return recommend hotel anyone . would receive well treatment Super 8 ! 
 Oct 26 2009 	 Nice Rooms Good Location 	 stay Palazzo 3 night husband quick getaway . Palazzo great deal expedia , excite not pay much stay one old hotel like Imperial Circus Circus . hotel room ( standard , whatever be call ) , absolutely beautiful . much large expect sunken living room , king bed ( 2 queen , nice ) , large , well - appoint bathroom separate bathtub shower . tub filthy though , call front desk offer someone come clean right away , instead next morning , . hotel otherwise ( include rest room ) clean , not see room service tray hallway sit forever like reviewer . leave , always gone get back . staff friendly , although little interaction , except concierge desk book dinner reservation , charge friendly service . room , receive $ 50 play credit free drink , nice , unexpected bonus . location great . see Jersey Boys one night right hotel ( fabulous show , definitely recommend ) . overall good stay . would not ever stay though , not great , , rather many great place strip stay , like try something different every time . definitely recommend Palazzo . downside , huge massive resort ( part of / inside Venetian ) , indoor pool , outdoor pool shut part stay due wind . not expect control wheather course , put indoor pool well ? 
 Oct 25 2009 	 great stay Great Trip 	 wife spend 4 night Palazzo October please stay . yes , notice smell first time enter lobby , minute completely forget it / gotten use never really bother we . arrive couple hour early , able check - in early wait minute line . staff courteous every department encounter . come back one afternoon , room make , quickly correct phone call friendly folk housekeeping department . casino adequate us amenity , entertainment , etc . Palazzo venetian property , pool space great plenty room long be willing search . eat Dos Caminos ( Palazzo ) Bouchon ( venetian ) dinner outstanding every level . food drawback several breakfast option two property over - price product fantastic - well head fast - food Starbucks breakfast , although not try ' sit - down ' restaurant breakfast . overall , walk hotel strip , one end say ' our hotel well , ' definitely warrant we return Palazzo make back Vegas . 
 Oct 23 2009 	 Nice Place minor flaw 	 wife get back four night stay Palazzo happy . standard Luxury Suite 22nd floor overlook Wynn , opinion well pay extra $ 45 / night strip view . agree reviewer air vent room run constantly little loud , would still say room nice . lot people seem complain smell hotel / casino , however neither we think offensive , not break nose . realize people super sensitive nose people nose not smell anything , would say average sense smell . admit less smoking casino casino , still , state not allow smoke public place little annoying . go pool one morning , one section seem get sun time day building shadow . wife pedicure spa $ 80 ( sale $ 95 ) , little bit hotel , say well one hotel Vegas . eat Grand Luxe good , cut amazing , eat deli food court Venetian suprisingly good . wife wonderful stay would definietely consider stay , would recommend friend . I also highly recommend check Valley Fire State Park look break hussle bussle strip . also offer free wifi room normally charge . 
 oct 22 2009 	 smell Palazzo horrible ! stay away ! ! ! 	 fragrance casino venetician strong offensive people leave .... eye water we allergy like sympton .... seem like everyone strip know sure think people gamble ..... smell everywhere horrible . think try cover cigerette smoke , would rather smell smoke stinky foot scent . not stay unless Michael Jackson 's nose ... lol 
 Oct 22 2009 	 Nice Hotel Beware TAO Beach Pool 	 experience Palazzo Hotel generally great . standard suite view gorgeous plenty fine dining option Palazzo Venetian . Tao beach pool loctaed premise , however , independently own . Friday thru Sundays , TAO Beach manager instruct staff place & quot ; reserve sign & quot ; chair pool ( even standard chair charge Mon- Thur ) . flat tell attendent standard chair reserve & quot ; friend & quot ; manager tell option get reserve bed $ 400.00 food / beverage minimum day . specific list name people standard & quot ; reserved & quot ; chair . Ths simply BS tactic force guest pay premium bed / cabana 's standard chair available . hotel management sympathize , however claim control since TAO beach own . well certainly lease property guest 's experience impact rip practice . defineitely consider alternate resort next time due . 
 oct 22 2009 	 nice place stay play 	 recently spend 4 day Palazzo . stay Venetian enjoy much . Palazzo room identical layout , new nicer . standard room 32nd floor overlook golf course mountain view terrific . worth pay extra Strip view , opinion . bed extremely comfortable room lovely . marbled bathroom . 3 flat screen tv 's . drawback noisy air vent closet blow constantly loudly , annoying night . staff friendly courteous . car , self parking next rear casino elevator right next room elevator ... convenient . casino elegant spacious . smoking area great . table minimum high , video poker cheap fun . 20 restaurant Palazzo adjoin Venetian ... great meal Dos Caminos Grand Luxe . would definitely recommend ... fix noisy vent would help make room much well . 
 Oct 21 2009 	 Love Vegas ! 	 perfect hotel / casino experience ! must - stay ! great hotel terrific table casino area . also join TAO 's beach party Venetian ! 
 Oct 21 2009 	 nice - new ! 	 great hotel ! upscale hotel Strip getting weather worn ... 's refreshing stay gorgeous hotel new furniture , bedding , etc . great staff oversized room . Got upgrade extra large room high floor great view . love hotel . 
 Oct 21 2009 	 Great Hotel still quite pricey good walk strip 	 visit Palazzo 2 night Fortuna Suite ' view ' strip . say ' view ' , could see hideous pink building Treasure Island garishly golden Trump building . be really . hardly amazing view - really hotel 's fault though . the suite choose high grade standard suite take Venetian last year , largely due complaint see TA dilapidate room find guest lately . suite miss two crucial thing however - in - suite Dining menu Guest Services directory . pretty big oversight opinion . suite lovely . great tv lovely bed . however suite fresh air vent turn really quite loud . be 49th floor hotel , not expect open window , thing make want suffer consequence option . really annoying . ask housekeeping tell normal . would warn people check noise level accept suite keep awake night . in - suite Dining Palazzo expensive . last year order ISD menu Venetian . assume kitchen - ISD menu appear identical see online . quality food go opinion however . order dinner service breakfast service meal adequate plentiful , think not quite warrant high price . $ 60 breakfast 2 people entirely insane - Vegas . otherwise hotel nice . prefer Palazzo casino other strip . high ceiling lend great sense space crowd valley bet people . dine restaurant CUT one evening would recommend everyone - absolutely fabulous . other not move much toward pool deck look nice suite window anywhere else . link Venetian 's ' Shoppes ' nice walk , seem quality shop lack - especially see Wynn Cartier etc Bellagio Fendi etc . anyone could afford content anyway ! gripe cost internet - $ 9.99 pay $ 600 2 night ' stay mid - week , be bit rich . really free kind place . would not fast ' ve ever use either be ok . like printer / fax / scanner room though - true gem . beware enough power outlet available desk device sacrifice need . overall pleasant experience . spacious suite nice meal CUT certainly repair ill feeling toward ISD expensive ordeal round . good advice maybe stay venetian less price steer clear isd cost - even be desperate ! 's worth money sort food quality . shame really . 
 Oct 21 2009 	 palazz - oh ! 	 twenty - something daughter stay Palazzo three night Concierge Level suite . spacious accommodation big plus party three everyone encounter concierge level unfailingly helpful . room bit worn ( chip furniture , dripping faucet , dusty ) also glad learn recycling program energy saving feature room . one reason choose Palazzo extra fold - out bed turn extremely uncomfortable . well choice sleep wrap extra comforter two couch . another minus room service hour wait several item ( salad dressing ) forget entail another 15 minute wait . also need request turn service . automatic Wynn upscale hotel . the Concierge Level great deal . free Internet , yummy snack breakfast early evening include well wine mixed drink always feel well take care . non - smoker casino well - ventilate lucky first time 21 year - old - gambler come head game Palazzo 's slot . 
 Oct 20 2009 	 Exceptional Hotel 	 book 4 nite pleased beginning . short line check - in ( 5:00 pm ) , assign room 30 - 723 , low class suite building . & quot ; poor & quot ; view - look east Wynn Golf course toward mountain . absolutely stunning vista , day night . hotel great - wonderful restaurant especially since 's share property Venetian . eat Grand Lux cafe ( always share dinner , mammoth portion ) , Postrio Venetian , Wolfgang Puck restaurant - excellent , Zeffirino Venetian , also excellent . room great - twin double bed , large sit area , 3 flat screen tv , huge bathtub , high end amenity toiletry , etc . 
 Oct 20 2009 	 Excellence Las Vegas 	 happy choice Palazoo . stay 10 different hotel one good . room amazing huge , think big suite Venetian . everything new nice . bummer room pump fresh air . keep we night , figure cover magazine garbage well . there many restaurant , love LAVO dinner night club fun ! small , ( call intimate ) . free hotel guest wait line . Morrels ok , breakfast so - so . bad Solaro pool service awful , walk . recommend order go bar . overwhelmed warm weather restaurant open Venetian Palazoo . access pool apparently venetian poolside Cafe close . the pool nice get chair impossible unless go 10 am save chair sun 1pm . casino great , love video poker bar , free drink play , top shelf . piano bar great fun two night row . the fitness center long walk towards Venetian , part room stay , nice lot weight machine , locker room . locker cardio floor . would definately return stay Palazoo . 
 Oct 19 2009 	 Awesome place stay 	 hotel amazing . would go back heartbeat . service great ... everyone kind we . room great ... nice spacious multiple flat screen tv huge bathroom . housekeeper nice job . casino not smell like smoke , really nice . room service get fairly spendy taxis fee tack onto food price , food good . overall , amazing time Palazzo hope go back someday . 
 Oct 17 2009 	 Fantastic Hotel 	 husband usually stay Paris travel Vegas . time get great rate Palazzo decide try . wow , glad , new favorite hotel strip . bit worried reading review prior trip . decide let worry we . fantastic suite , clean , everything working order , nice view , great service . overall could not find anything complain decide love hotel . 
