Kimberly 	 two bedroom suite outside deck limit nice view 19th floor . full compact kitchen , two bath , really nice old hotel . lot action lobby street . 
 Aug 10 2009 	 Truly First Class 	 staff Kimberly really go way meet need ! doorman ( Silva , Kevin & amp ; Gregory ) front desk , treat we kindness ! hotel fantastic ! one bedroom suite expect . balcony 19th floor ( 19d ) give we great view 2nd Lexington Ave . kitchen plus , although stove shut 9 - 11 microwave job . bathroom not fan , quickly resolve crack door open shower time ... big deal : - ) location perfect ... Time Square , Grand Central Station , Rockafeller , U.N. within walking distance . Subway Central Park Chinatown access take # 6 train , around block . restaurant plentiful block away . be din next hotel , want quick bite without hurt wallet . , recommend Kimberly anyone look four star hotel , reasonable price ! definitely go back wife two teenager ! ! ! ! ! ! 
 Aug 8 2009 	 good hotel New York City 	 get back Kimberly Hotel New York City . not think twice , stay hotel . go New York City 17 year old daughter great time . everyone go way treat we well , clean hotel , everyone extremely friendly , close subway locate safe area . bed comfortable room clean . need say Charles , Dusty , Gregory , Harry everyone else hotel give information need regard restaurant , event , shopping , etc . go NYC daughter every year always try different hotel ... well , stay Kimberly . 
 Jul 21 2009 	 Kimberly well keep secret NYC - a diamond rough 	 host 50 people group NYC past weekend . kimberly staff include sale office , front desk , bellman , housekeeping , reservation , restaurant concierge everything possible make group feel like royalty . hotel excellent location close Grand Central , Rockefeller Center , 5th Ave many wonderful area NY . room spacious , comfortable , beautifully decorate , mention amazing bed fine italian linen . although hotel swimming pool , /fitness center onsite , partnership NY Health / Racquet Club provide guest extensive network sport facility Manhattan . highlight group sunset cruise Kimberly yacht . imagine stay NYC hotel look forward see everyone 's smile face next time return . 
 Jul 9 2009 	 great location 	 spend weekend 4th NYC . great location everything . stayed one bedroom suite . bed awesome balcony great . everyone nice helpful . doorman kimberly good NYC . look forward next visit stay . 
 Jun 29 2009 	 spacious room lousy service 	 book hotel want spacious room ( rarity NYC ) first leg honeymoon . book direct hotel request champagne flower arrival ( receive automate email request clearly show ) .We stay Empire Suite though large well appoint , little tired around edge . lounge large nice dining area , bed comfortable bathroom tiny proportion rest suite . the Champagne flower room arrival British Airways give we complimentary bottle flight New York not bother . however , inform reception ( ensure not charge ) virtually tell request . morning Ferros restaurant confusion regard $ 10 voucher different reception staff different policy regard issuing - would nice receive voucher upon check . request car take we back airport morning arrival - never arrive make matter bad , none staff duty time inform request . end take taxi . in conclusion , look spacious room hotel hard beat price , room particular elevator need serious refurbishment service pretty poor . 
 Jun 17 2009 	 another great weekend Kimberly Hotel 	 go NYC stay Kimberly Hotel weekend June 12 thru June 14th . celebrate birthday . third time disappoint . doormen wonderful . friendly helpful always really pleasant . say enough well entire staff . Peter hotel conceairge great get ticket sell show Broadway . room great bed comfortable do not want get . location great . walk theater restaurant . fun lovely weekend . planning go back fall theater course stay . 
 Jun 17 2009 	 great staff . 	 stay Kimberly 5 night early June . book Hotels.ca get exceptional rate . staff great . bellman wonderful . bed great not expect much pullout sofas -- incredibly uncomfortable . mother end sleep sofa proper turn alot comfortable . , work new elevator not start construction 9:00 a.m. courteous . not bother eat restaurant . drawback back room face another building quite dark . say , exceptionally quite well would take brightness . free internet business center helpful . , great experience would go back heartbeat ! 
 Jun 9 2009 	 nice large hotel Mid - town Manhattan 	 trying find hotel around mid town several list review TravelAdvisor . I pick hotel location proximity 5th Avenue moma.the room nice checkecd clean spacious . bed thick comfortable . bathroom rain shower head marble ceiling great ! ! ! ! room free upgrade construction hear 6p leave morning around 10 am . room refrigerator stove top sink come hand shopping Joe store . overall right next W Hotel brother staid much small room room . Benjamin next store noisy corner . 
 Jun 6 2009 	 great boutique hotel extend stay 	 week long business trip , work near UN , stay Kimberly . want hotel kitchenette , could occassionally prepare meal . wonderful hotel special rate $ 160 per not ! location perfect -- nearby grocery store , deli 's , restaurant retail store . suite include galley - style kitchen , full size fridge , microwave , coffemaker , dish / stemware . living room tv balcony . large , comfortable bedroom w/ queen size bed , lot closet space .. negative review front desk staff . indifferent give little eye contact . not let stop stay wonderful hotel . 
 Jun 4 2009 	 Forget name brand ... sure stay instead 	 ' m season traveler typically not venture away name brand hotel - however due high rate name brand start search alternative . the rate kimberly almost 1/2 neighbor brand hotel . could not justify pay rate name brand hotel room , book Kimberly . second thought read review .. figure heck ... bad thing happen change hotel 1 night ( stay city 3 night ) although lobby not fancy - not judge book cover . room awesome ! grant newly convert / upgrade / renovated room -- beautiful . studio suite near full kitchen , beautiful marble bathroom , new & quot ; look like antique furniture & quot ; , great bed . ' ve never much space New York City hotel room ... huge compare normal hotel room ( not even truely 1 bedroom suite -- studio suite ! ) . staff great - include waiter resturant , housekeeping , front desk bellman ! also complimentary access NYC Health Raquet Club two short block away -- - awesome benefit ! ! sure consider hotel next time book New York City -- will sure stay rather name brand ... time ' m near . 
 May 29 2009 	 nice 	 hotel staff wonderful , especially doorman Jose . friendly helpful person . room big clean . much would expect 4 star hotel . location centraland even venture ride subway block ! dinner drink one night restaurant - Ferros . food good service great , love waitress Mari . bartender Dee - ann friendly tell we nice place visit town . drawback try talk manager Annie book party town wedding disappoint lack knowledge , repeatedly try get touch . really sure people unless book someone else . 
 May 29 2009 	 Awesome Staff great location good night 's sleep ! 	 service awesome staff always smile , helpful , andknowledgeable . time pull time leave , staffmade feel right home . suite beautiful bed socomfy . nice view city living area , bedroom anddefinitely balcony . arch door inside suite nice changefrom standard door . marble spacious bathroom gorgeous . Therewas also bar , microwave , coffee machine refrigertor room . Wehad small table living area would perfect acandlelight dinner two . perfect romantic getaway . afew blocks Times Square Rockefeller Center . restuarantnext door great breakfast buffet . think great locationas traffic imagine , able toget walk enjoy site fun . really appreciate thestaff . valet amazing welcome we hotel theconcierge provide we helpful useful information need toget around city . one favorite hotel ... mostcomfortable bed . thing miss indoor pool / spa atthe hotel . good way describe : Awesome Staff , great location anda good night 's sleep ! 
 May 20 2009 	 Kimberly truly first class hotel 	 minute walk door , impressed . entire staff reconize helpfulness kindness . suite impressive , clean comfortable . hotel centrally locate , close Time Square , theatre district , Fifth Ave . everything already plan return trip NYC stay kimberly ! ! 
 Apr 29 2009 	 Perfect Family 4 	 must say nervous reading trip advisor review especially comment smell cigarette smoke non - smoking room . happy report family 12 14 year old think hotel wonderful . renovate suite look one . renovate suite lovely detail like marble bathroom , slide closet door vs. fold one not line quite right , upholstered headboard kitchen behind dark wood door . room french , antique replica style furniture - desk , table upholstered furniture . room comfortable , lovely feel sleek , urban design . importantly , room bathroom clean smell smoke . expect hotel discard bedspread replace comforter cover duvet kimberly do . ask quiet room get 20e quiet expect NYC . honking noise faint . elevator smooth never wait long . friendly front desk Peter concierge extremely helpful whether call lose street room . never eat hotel enjoy two breakfast spot immensely ... around corner fabulous breakfast bagel sandwich Ess - a - bagel across Central Park Sarabeth 's light , yummy lemon , ricotta pancake . originally book Affinia 50 right next door Benjamin Hotel Kimberly 's rate much low well parking rate . would highly recommend . 
 Apr 23 2009 	 Great Location spacious room 	 Hotel favourite hotel Jimmy Carter . service good location TOP . room big everything could ask . 
 Apr 23 2009 	 amazing experience 	 know give everything rate 5 may seem ' less helpful ' ' less poignant ' point sister & amp ; go New York intention feel absolutely free come back ' experienced ' New York 's fine . everything accomodation ( bed , plugin , washroom ) location impeccable . decent ( 2 queen ) room without balcony still feel like toast Town . Taxi 's flag we , receive amazing service Hotel Restaurant charge EXACTLY expect . go back New York year already reserve Kimberly ! ! ! 
 Apr 13 2009 	 nice ! 	 stay April 3 - 5th . spacious suite , clean tastefully decorate . located lovely neighborhood . plan return soon ! 
 Apr 12 2009 	 bed soft back - ouch ! 	 stay 10 night , work colleague love sink deep bed praise soft cloud -- thank goodness sofa , be sleep 10 night ! 1st night , go sleep softest bed ' ve ever meet awaken two hour later acute back pain . pull thick comforter onto floor next bed try sleep , hard hurt much sleep . finally remove cushion line back sofa free width sleep directly sofa one pillow head comforter , bliss . morning put cushion , pillow comforter back belong . 
 Mar 28 2009 	 beautiful hotel ! 	 stay NYC friend May 17 , norwegian national day . going stay another hotel , certain website mess reservation , put we . Whilte friend get stay pretty nice hotel , boyfriend get stay less normal price ! ! never stay place comfy matress , ' m guess memory foam . cover soft sheet . really empresse bathroom . gold fixture , huge shower head , jacuzzi . balcony room great view city . 
 Mar 6 2009 	 like Back future bad ! ! ! ! 	 arrive New York delay flight eager check , unpack get four night trip . take cab ( seem travel 88 mph ! ) Kimberly go . immediately strike decor reception area , like something 1955 ! put back mind check without hassle . bellboy take bag room , go time , almost leave firey trail behind go ! struggle keep , manage get slow down . we enter room bellboy stand , look past find another couple already unpack .......... looked look we look bellboy standing . go speak manager eventually return put couple suite apology , leave we pokey room clean since 1985 seem ! went enjoy New York , return late find another couple bed watch tv ! ask say check afternoon , bag move another room hall ! could not believe , go reception confirm give new key . new room large still concern someone re - packed case we , go wife 's small . having confirm everything , go speak manager , seem think large room adequate compensation hassle , whose attitude stank bad aftershave ! 20min argue realise get nowhere clown , return wife settle night . 4 am , loud noise next room , loud shout . annoy first , realise noise next occupant middle drunken break - up ! yell , trading insult loud thud back wall , God know ! eventually get back sleep wake around 9 am decide complain night reception . fair , receptionist seem concerned inform we room question vacant two day know manage get inside room first place ! transfer we manager hotel yet Mr Arrogant fob we excuse & quot ; sure not dream ? & quot ; could not believe immediately say check leave . hotel refuse refund last two night stay yet acknowledge email contact . want advice would well elsewhere ! ! 
 Feb 26 2009 	 Decent value - nonsmoke room smell like smoke ! 	 hotel great location , staff nice . bother smell smoke , not stay . week , & quot ; nonsmoking & quot ; room . something wrong ventilation , though , smell smoke constantly pump room . throat raw . glad husband not join - asthma would ' ve hospital . remedy smell spray awful citrus disinfectant . relieve week lung throat able find respite ! be smoker , place . nice room , nice bathroom , nice everything else ! 
 Feb 8 2009 	 Nice Surpise good hotel 	 spend 4 day midtown Manhattan 2 day low Manhattan vacation , find last minute need stay city one night . get good rate Kimberly book . hotel garnish 5 4 diamond rating aaa , ' expect much . upon arrival , upgrade plush suite greatly exceed expectation . fully stock kitchen , living room , mini dining room , addition two flat screen tv . however , bathroom bit underwhelme need renovation . ' comment ordinary accommodation , suite top notch would challenge 4 star hotel city . ' really comment service stay brief . also use facility eat hotel restaurant . kimberly rival top hotel NYC , overall stay nice free problem . 
 Jan 21 2009 	 Great Boutique New York close Rockefeller Center 	 spend week wonderful hotel business trip company 's New York office . hade 3 - room suite , gorgeous ! 
 Jan 11 2009 	 Bains New York 	 family suite Kimberley service excellent . from moment arrive , great help , friendly conversation staff , detailed information help we first visit New York . family make friend staff . Kevin , Peter , Ralph Silva terrific ! location central everything easy access public transportation . we would definitely go back warm friendly hotel . everyone demonstrate great New York hospitality . Sandi BainMaple Ridge , British Columbia 
 Jan 6 2009 	 average hotel 	 stay 5 night Christmas new year two room suite . find hotel clean staff friendly . however decor tired restaurant food horrible . specifically want apartment room kitchen able cook small meal , however arrival inform print cooker gas supply room terminate ! fustrating could spend amount money stay luxurious hotel without cooking facility ! however hotel excellent location enjoy stay . 
 Jan 5 2009 	 think could find nice . 	 stay 2 bedroom apartment 27th floor Hotel , provide great view city . apartment spacious decor tad date , disappointed find cooker kitchenette not work . arrival give $ 250 voucher eat hotel restaurant , seem great , find use $ 10 head food restaurant expensive serve lukewarm . bit gimmick merely way getting spend money hotel . location good door staff helpful friendly . Overall 's bad hotel , however price think could find nice . 
 Jan 3 2009 	 Average stay 	 pluse : great elevator , nice high floor suite , prompt housekeeping , good balcony , great iron ironing board , good tv . nice little kitchen great refrigerator dishwasher . excellent shower pressure . comfortable bed great pillow comforter . minus : less engage front desk staff , raw edge closet door detail , dirty hinge bathroom cabinet , funky little coffee maker funky little filter . traipse find fit . dvd cd player . we stay two week Christmas . usually stay Upper West East Side area escape crowd , availabililty year . say , pick Kimberly overall good midtown hotel . good , certainly far cry worst . note rate high value staying day location great . 
 Dec 30 2008 	 amazing time grown - up kid 	 want say wonderful time three grown - up child ( partner ) celebrate 60th Birthday New York . book hotel directly telephone March send email 6 day make sure everything ok . spoken hotel originally book double suite sitting room , view , balcony ( although think would superfluous seeing December , actually use number picture we Chrysler Building background ) - write review Trip Advisor end book hotel - look hundred . room 26th floor bed comfortable bed every enjoy hotel , say something ! ! room enormous bathroom quite small bed much important bathroom . decor little fade real coffee use make coffee morning - first time find hotel child buy flower sit room bedroom manage find vase . 3 day itinerary mostly keep . went see Radio City Christmas Extravaganzer - Rockettes wonderful follow night see Circque du Soleil , good see Circque du Soleil ' 0 ' Vegas last year incredible think anything could well - not . go Spotted Pig dinner one night - great - friend recommend River Cafe absolutely wonderful . start snow leave theatre cross Brooklyn Bridge snow fall ! Christmassy ! one thing probably would not recommend horse - draw buggy round tiny corner Central Park , although add whole celebratory feel . of course , reason really go skate Rockerfeller Centre although drizzle slightly fun - , not laugh much long time - anything well laugh child ? not think . stay Kimberly advice would ' phone directly . 
 Dec 1 2008 	 great experience home home 	 stay Kimberly Hotel 24 - 30th November 2008 , everything hope more . I mum book standard room , 2 double bed fabulous bathroom coffee make facility , bed comfortable , feather duvet lot pillow . it close shop 2 door , bakery 3 block subway 3 block away , 5th rock easy walk . Ferro 's next door also great , good wine salad evening , never see breakfast spread egg Benedict amazing ! ! would defiantly return Kimberly . one word caution , warm water run brown , run tap , old building , rust build . drink cold water fine different pipe . overall love Kimberly , good service , comfy bed great coffee . 
 Nov 21 2008 	 londoner 	 stay 12th November 5nights never sleep hotel well , bed wonderful , everything clean , stay standard room large . three year ago stay Barclay intercontinental round corner Kimberly , Barclay find friendly hotel like Kimberly room small ! would recommend Kimberly anyone return next year , can not wait . well do Kimberly thank fantastic stay . 
 Nov 14 2008 	 Fantastic Hotel Even Better Location 	 stay 2 night end October . book 1 bed apt Quikbook . rang hotel week arrival ask room high floor ( slightly less noise ) lady reservation say would put request onto booking . ask time flight land early say would also request early check - in us young child . on arrival hotel request honour .Our room 19e perfect . spotless spacious . bed comfortable linen first class . only last day discover remote control bed ! ! ! ! ! ! ! ! ! staff helpful especially Kevin Ralph .The location hotel wonderful , 3rd Lexington East 50th . starbuck beside hotel , Subway next starbuck . hardly need though walk distance everything . great Mexican restaurant & quot ; Dos Caminos & quot ; 3rd avenue / east 50th crossroad ( leave hotel front door - 2 min ) . make sure try guacamole - wow , good . Loved New York . back , stay kimberely , doubt . 
 Nov 5 2008 	 great hotel great location 	 come back stay 3 night Kimberley . hotel great spotlessly clean . location could not well . walk distance Rockefeller , Empire State Building , Macys , Times Square etc . give $ 10 voucher restaurant next door , not use be always somewhere else mealtime ( much see ) . standard room large bed hugh 3 big pillow good get back lot walk . flat screen tv wall , slipper , dress gown , coffee make facility fridge , everything need . staff friendly always willing help , especially door staff . 2 day hop hop tour $ 49 . could see upper low Manhattan , entry museum New York , visit Brooklyn 75 min river cruise Statue Liberty ( run season though , find walk way dock ) . also get 10 % Planet Holliwood Times Square , think good value money ! want see Statue Liberty go Statten Island Ferry , free go pass Statue . think go New York definitely go , can not wait go stay Kimberly ! 
 Nov 1 2008 	 Excellent Hotel 	 second time stay hotel . choose stay know 's safe central location , hotel good around . staff excellent : friendly , courteous , helpful etc , give special mention Kevin door staff , make we feel welcome . I would recommend hotel anyone spend time New York . 
 Oct 8 2008 	 money do not even think . 	 money company pay 600 dollar night hotel huge disappointment , desperately need refurbish . tick great hotel early 90 room let ask premium price . disappointed . say staff excellent . 
 Sep 30 2008 	 Fantastic 	 stay Kimberley 8 night September 2008 , Mum , Dad brother . adult , prefer stay apartment / suite hotel , often expensive multiple hotel room , without flexibility ' your space ' offer . overall , please everything hotel . 2 bed room spacious comfortable , benefit fridge , microwave great view ( 27th floor ! ) . add extra $ 10 voucher per person , per day , spend restaurant great . breakfast day ( bargain $ 6 ! ) . also take advantage Sunday Brunch cruise hotel yacht internet facility reception . top , door staff especially friendly helpful really make stay hassle - free . the location hotel also plus - one block 5 line walking distance Grand Central station mean get around easy . also walk distance Rockefeller , Park Ave , Times Square etc . also many place eat nearby good supermarket 2 block away milk etc . 
 Sep 23 2008 	 wonderful experience 	 exhaustive search seek hotel stay take punt boutique hotel hindsight good decision make . location perfect ... close subway ... close restaurant , bar , convenience store ... close proximity Times Sq , Rockefeller , 5th avenue shopping , etc , etc . staff friendly always willing assist . room accommodation first class . experience one single problem within room . th bed comfortable ... bathroom clean work ... tv great size ... air con flowing ... loved room . facility hotel also good . business centre internet facility well utilise accessible . restaurant food nice reasonably price . end would highly recommend Kimberly Hotel single , couple family . everything want need ... travel way Australia . 
 Sep 17 2008 	 Great Manhattan Location 	 hotel fab . fantastic location Midtown Manhattan . stay standard room ( ie suite ) bed sooo comfortable room plush . porter concierge lovely , helpful not ask expect tip , although tip right end holiday . receptionist polite bit sullen over - friendly downside . even get daily $ 10 voucher meal ajoine restaurant , Ferro 's eat lovely reasonable price lunch . all - in - all fantastic place stay would definately stay ! 
 Sep 16 2008 	 Fabulous Hotel Superb Location 	 fabulous stay Kimberly 8 night late August / early September . complaint we anything . room spacious , quiet ( request away - from - it - all room ) . bed comfortable linen high quality . big , well appoint bathroom . not require maid service everyday put little not disturb sign . however , day want maid service , room impeccable . staff courteous , efficient prompt . conciere also helpful help we get around NYC . sure take free sunset cruise yacht -- 's 3.5 hour go around East River Hudson ( great view skyline . $ 20 extra , enjoy appeitzer buffet cruise . not take advantage membership health club ( pool ) Kimberly associate , enjoy $ 10 dollar discount $ 16 full buffet Ferro 's next door . lastly , hotel centrally locate safe eastside area 50th close subway . will back . 
 Sep 9 2008 	 Midweek trip NYC Kids 	 wife book Kimberly exhaustive review upscale hotel NYC could accommodate family 5 ( , wife , twin 5 year old 4 year old ) . picky stay wherever go . kimberly perfect would highly recommend . suite good size ( Manhattan ) , clean , balcony well street noise . small kitchenette ideal us fridge , microwave , well equip plate , utensil , glass . location perfect , couple block St. patrick's / Rockefeller center two subway station close . find great bagel place several nice restaurant within two block radius . staff friendly accommodate . cut short trip one night due unforeseen circumstance hotel staff understanding . book Kimberly two night trip December look forward visit Kimberly . 
 Sep 5 2008 	 great find NYC 	 stay 5 night 2 year old . one bedroom apartment work really well . heap space great little kitchen . location brilliant , easy get everything . make use computer lobby - cramp free . eat breakfast hotel ok not appreciate charge 2 year old sit lap eat basically nothing . also , use hotel phone phone land line Connecticut charge exorbident . negative . positive location , room size , comfy bed , kitchenette . really terrific place place stay would consider not live far away ( Australia ) ! 
 Aug 25 2008 	 outstanding service accomodation 	 stay honeymoon . give champagne minibar stock free . room balcony two part . one part balcony enclose , one protect rain . concierge arrange sunset harbor cruise around Manhattan . cruise complimentary guest . hotel locate block subway , easy stroll Rockefeller Center . 
 Aug 19 2008 	 choose well 	 choose write guide book great family room , great location prohibitively pricey ... guide book absolutely right . we one - bedroom suite ( think room ' suite ' ) 2 double bed bed room , large sitting room , small adequate bathroom plenty extra ( extra sink , microwave , coffee perculator , 2 huge tv , big fridge , etc etc ) . Hotel 's bit refurb seem room little disruption . light lunch restaurant one day good . staff generally good genuinely friendly ( look tip ) .Location east 50th Lexington 3rd excellent . negative ? front desk bite sullen . hotel two small lift wait one take painfully long time , however process add third improve thing . generally really good go NYC kid , almost certainly would return . 
 Aug 15 2008 	 great hotel ! ! ! ! 	 would recommend hotel anyone ! family bring 21st birthday time life ! New York one exciting place ever hotel magnificent ! arrive upgrade we duplex suite free charge ! room beautiful bed comfortable completely forget bustle city be asleep time ! staff friendly especially help we park , especially manhattan ! check kimberly next time be manhattan i m sure will not disappoint ! sure ask Ralph door greeter ! 
 Jul 27 2008 	 's good enough U.S. President ..... 	 return NYC night Kimberly Hotel . ' ve stay lot hotel city , top value . prefer intimacy boutique hotel hotel also incredibly reasonable ( comparably price website ) . hotel website much high rate room . pro : great location shopping . take e train Penn Station arrive block hotel . also plenty cab area . our standard room large , quiet immaculate . bathroom average size , renovate marble floor etc . shelf space toiletry . air conditioning purr - clunk temperature adjust . comfortable bed crisp , white sheet . clean - great room . the staff well train helpful . mention concern regard noisy room night club mention Trip Advisor review , receptionist immediately take care room quiet location . concierge provide great map recommendation moderately price italian restaurant 53rd St. 2nd 3rd . Felt like East Village - 10 table - inexpensive . La Gioconda - fantastic food - esp . crepe chocolate sauce ! thank , Lindsay , recommendation . management take note - lindsay top pr person- charm efficient ! $ 10.00 coupon towards $ 20.00 buffet breakfast well worth . also late lunch excellent . con : hotel , none . area , however , crowded rush , summer tourist spend Euros . store everywhere . and complain framed letter President Jimmy Carter compliment hotel ? seem stay many time . 
 Jul 14 2008 	 Bargain hotel Mid Manhattan 	 Central safe . four night luxurious accommodation fraction cost well know hotel usually stay block away ! comfortable suite kitchen , need , + balcony view Manhattan . two minute walk St Patrick 's Cathedral . incredibly busy schedule demand central hotel kimberly provide need - sumptious bedroom separate drawing room cosy sofas , desk chair . printer / fax provide + stack paper laptop run immediately + Business Centre ground floor . high quality furnishing fabric . staff helpful polite . room service fast efficent . pour rain doorman find taxi almost immediately - nothing much trouble . restaurant relaxed food good . definitely use hotel , perhaps long stay teenage child sofabed draw room plenty room family . 
 Jun 30 2008 	 Loved Kimberly 	 service kimberly absolutely great ! doorman , concierge reception super friendly . suite large decent price ! restaurant bar also nice friendly . location also good , within serveral minute everywhere . definitely stay next visit New York . 
 Jun 25 2008 	 Best Hotel ever ! ! ! ! ! 	 love hotel ! ! people say room look old fashion .. be not really cozy nice . really like hotel . staff excellent quick . whenever order room service come right away . wouldl sure stay hotel . good age . think everyone enjoy stay hotel . room nice , bed comfortable . pool nice relaxing . want spend whole time hotel ! hotel also good dining . food good service quick . enjoy stay Kimberly New York Hotel . suggest hotel anybody come familys child . kid love hotel ! really good hotel ! ! 
 Jun 20 2008 	 cute place ... 	 first stay boutique hotel overall ' ve quite positive experience . positive side , staff excellent , suit spacious , location great . negative side , room really date ( ugly green carpet ) , old dirty AC unit , cheap look sofa , tiny bathroom . reception area small would benefit chair ( 4 ) air - conditioning . construction ( new elevator ? ) time visit not notice noice . get $ 10 coupon breakfast next door restaurant , use one enjoy quality quantity bufet style food . 
 May 8 2008 	 bad 	 bad .... room mix 4 - 5 star Courtyard Marriott style .... bed save grace soooooo comfy amazing .... ac not work well time room stuffy .... staff amazing .... beyond helpful nice ... would probably stay price great right heart east side near everything ... however would probably check hotel first nice room ... 
