still 	 second time one night stay : think excellent value London like location . walk king Cross Euston get number 73 bus . local Goodge Street tube handy northern Line take embankment heart city . Goodge Street also many eat place choose inevitable Tescos mini supermarket . free wifi appreciate , pay small fortune previous hotel one hour ! room small comfy get need , use space great , attention detail evident . yes , road noise , problem winter window close . think could summer though window remain open . also find staff welcome friendly think inclusive breakkfast brilliant value ( day another London hotel want £ 23 cooked breakfast ! ) link John Everett Millais intrigue business visual art . 
 excellent all - round would definitely stay ! 	 hotel perfect , great location - minute ' walk road near Tube station handy travel Euston Railway Station . staff friendly helpful room well - appoint comfortable nice rear outlook . Breakfast also include price great all - round value money . would definitely stay next London trip . 
 Sep 25 2009 	 great location friendly helpful staff 	 reserve single room , face garden seven night . lot room move around pleasantly surprised high ceiling abundant light three large window . small ensuite bathroom / shower / sink installation .... well design . quiet central location . three underground station within 5 - 10 minute walk lot handy bus head central London Gower Street . great breakfast , serve smile . may family - run enterprise .. take pride help guest . difficulty long - distance phone card one employee find solution . flat - screen tv work well . wireless ( wifi ) internet work room , hotel provide desk - top reception area use guest . 
 Sep 23 2009 	 lovely host great location comfortable 	 stay 5 night would definitely stay . location great , near train tube station block fromthe British Museum . service excellent . host friendlyand helpful advice feel value guest . yes , room wassmall ( London , ) , worth en suite room . the hotel clean . especially appreciate free use theinternet could keep touch family ( since ) . 
 Sep 23 2009 	 Magnificent 	 stay together friend 8 night Arosfa .. really good time .. staff really helpful nice ... room cozy clean .. wake good smell freshly preapre breakfast ... hotel locate walk distance Oxfrod Street , British Museum amenity .... highly recommend hotel book next trip London ! ! 
 Sep 18 2009 	 fabulous find 	 stay Arosfa 16th September conference follow day . previously stay large , anonymous usually overprice hotel fabulous find Arosfa . deliver everye promise . stay apartment top hotel share bathroom . room good sized bed really comfortable . staff really friendly helpful stay would definitely stay . bunch midwife quite hard please come good clean accommodation Arosfa would definitely pass matron 's inspection ! many thank Jacqueline team . 
 Sep 14 2009 	 Gem hotel 	 hotel excellent.it conveniently situate get around look stuff . comfortable room good facility en suite . everything clean.not run like London hotels.the staf lovely helpful . I definitely use place next time travel london.they even let use free pc ! 
 Sep 9 2009 	 Perfect 	 eight family stay 4 room graduation daughter UCL follow day . location perfect , Goodge Street tube station short walk away Tottenham Court Road regular bus service part London . staff could not welcome accommodate , nothing much trouble . return ! . 
 Sep 2 2009 	 ball ! ! 	 three sister stay 11 night three week period , family room lovely , comfy giggle size bathroom add experience ! ! staff feel like family time leave friendly helpful , location fab bus stop road , two daughter live London , can not wait come stay , thank Arosfa staff , four aussie xxxx 
 Sep 2 2009 	 fantastic friendly home home 	 stay lovely small hotel august could pick well hotel location . treat like family moment arrived richard jackie kyle . bag carry room ready jakie offer make we coffee room clean . breakfast good , good choice great english breakfast offer . service quick efficiant . room clean complaint small bathroom get use , location great easy get place least 3 underground station close . lovely lounge guest use bonuse free internet use . short amazing stay hotel great staff helpful friendly always ready chat already recommend hotel family friend big thank make stay perfect 
 Aug 31 2009 	 Great Location 	 amazing hotel centre london , great staff also friendly , room clean good relaxingI would recommend hotel one . also free internet coffe tea room suit well . 
 Aug 29 2009 	 could not better 	 & amp ; 2 daughter ( 15 & amp ; 17 ) stay 2 night ( 25/8 27/8 ) . cram 4 theatre trip ( Dirty Dancing , Oliver , Les MIserables , Hairspray ) 3 day , location excellent . travel Liverpool Euston , not set foot tube ( bonus ! ) breakfast great ( even 3 vegetarian ) staff friendly without intrusive . room clean large expect ( even bathroom ! ) . would definitely stay , would recommend anyone visit London . 
 Aug 27 2009 	 Good Value Small Clean 	 stay first three night two week England trip decent hotel . prepare small room / bathroom not surprise . although locate room street - side , noise terrible keep we awake . breakfast good , room clean , although door bathroom hit knee time loo , manageable . community - use computer free internet access helpful , location great need : namely , visit British Museum short walk away . tube close various restaurant grocery , college community . recommend Marlborough arm , around corner good food beer . elevator . overall , would stay , would recommend friend . nice location quiet stay . 
 Aug 26 2009 	 Pleasant experience Economical Friendly 	 staff anxious please , helpful . generous complimentary full breakfast compliment reasonable cost . room quaint furnishing adequate . expect bath small disappointed . location distant town center ( Big Ben , Palace , Theaters , etc ) metro ( underground ) 3 block away ; not let discourage , find navigate metro easy task . 
 Aug 26 2009 	 good familiar hotel 	 hotel enjoyable , free internet facility , nice breakfast friendly staff . location wonderful trip around London . remark make related size familiar room , little small family 3 adult 1 adolescent ... 
 Aug 18 2009 	 excellent value good service 	 stay twice Arosfa July . hotel continue provide excellent value visitor London . short walk hotel British Museum , British Library attraction . owner manager try hard please guest . 
 Aug 11 2009 	 need 	 enjoy fantastic 5 night excellent B & amp ; b hotel . single room , tiny , well lay everything need . exceptionally clean well run good breakfast every morning set full day London . location ideal easily walk hotel many main site use Tube . make really special helpfulness concern staff - really feel well take care time . one word caution , though . wall quite thin partition late one night could hear every word discussion next room 2 guest complain bitterly friend holiday also stay hotel . 
 Aug 10 2009 	 London = Arosfa 	 stay Arosfa Hotel 2 August till 9 August 2009 , really enjoy stay nice hotel . ' four friend love London forth time capital ' choose Arosfa . good choice ! Arosfa hotel London . room small , not matter , people come London live city stay room . say small room be comfortable clean well . the hotel 's staff gentle kind . recommend Arosfa Hotel Arosfa feel like home . -Arosfa , miss us yet- 
 Aug 3 2009 	 excellent choice 	 stay family room ( 4 we , 2 adult & amp ; 2 early teen ) excellent . location short walk tube station many restaurant choice . staff helpful request . room , stair , small - adequate we . not need large suite . 1 double & amp ; 2 twin bed fill room . fine we . tiny fine toilet / sing / shower ( bath - , often folk take bath ? ) . standard breakfast . excellent we . 
 Jul 28 2009 	 truly well expect happy choose Arosfa stay London . 	 moment greet door arrival , hospitality endless . always cheerful staff always hand help . family room large expect plenty room 4 ( couple 22 & amp ; 19 year old ) . extras like coffee , tea , kettle , hair dryer , fan , television , toiletry one would get hotel Canada U.S .. entirely expect book hotel London , totally expect small . layout hotel spacious beautiful . nice , comfort colour decor , room guest room downstairs . breakfast room ample room guest breakfast morning adequate ( full english cereal , yogurt , bun ) plenty toast , tea , coffee juice . staff friendly courteous . would definitely recommend beautiful hotel friend choose visit London . hotel close enough Euston King 's Cross minute away Oxford Street . walk everywhere problem get around hotel vicinity many restaurant convenience street . bed entire room clean neat , always . chip paint anywhere . carpet new clean throughout . bathroom ample London hotel even expect . shower perfect pressure . thoroughly enjoy stay price pay , exceptional value . good choice could make . Arosfa , keep good work . gem London ! 
 Jul 21 2009 	 small spotless 	 want somewhere central stay daughter fly visit London see show . happy triple room Arofsa overnight stay , even though bathroom small ( tell we advance ) . lovely welcome Kyle , fact family run place show standard cleanliness & amp ; small touch like fresh fruit room . english breakfast fine , decent coffee ! even look case have check want spot sightseeing . we stay lot hotel London business & amp ; leisure trip year , lot costly , would recommend anyone budget want decent , friendly place stay . 
 Jul 20 2009 	 fabulous value 	 staff go beyond make we feel welcome . unfailingly pleasant . carry luggage , arrange taxi , store luggage last day offer helpful suggestion . yes , room tiny hot -- London middle June heat wave , fan window open fine . ( Earplugs help sleep Gower St. rather noisy , ) room spotless include amenity . appreciate apple , water , cookies coffee / tea make facility . flat - screen tv reading lamp bed . full english breakfast prompt good . handy internet access . amazed well tiny bathroom function . I would definitely recommend Arosfa Hotel other plan visit . 
 Jul 18 2009 	 clean close friendly affordable . 	 five we stay Arosfa five night early July weather excellent , staff condition superb central London b & amp ; b wonderful . second time stay Arosfa many year , would stay without question , would four travel . Richard Jackie excellent host Kyle helpful generous , . thank make London leg trip success . Brad Rose Morley , Owen Sound , Canada . 
 Jul 12 2009 	 Boutique hotel Bloomsbury close everything 	 stay Arosfa week June , really good experience . room great , bed pillow comfortable , tea / coffee / hot chocolate making facility , wardrobe , hairdryer , alarm clock importantly fan ! hot . bathroom , although small , adequate . although window open onto Gower Street , close could barely hear sound . downstair guest lounge computer internet access use ( handy ! ) back garden . breakfast include price , serve quickly without fuss . choice cereal , yoghurt , toast , cook English , tea / coffee . good way start day ! staff helpful , really add experience hotel . nothing seem much trouble ! arosfa close everything ; 3 tube stop close ( Goodge , Euston Square Warren Street ) king Cross / St Pancras far away either . British Museum 5 minute walk street , another minute New Oxford Street . good pub , restaurant , take away Tesco nearby Goodge St area , make convenient . we really enjoy stay Arosfa , good value would recommend one . 
 Jul 8 2009 	 Loved Arosfa 	 amazing combination good price , good service , clean confortable room , great location . need short stay London ! 
 Jul 8 2009 	 great place stay ! 	 nice place , perfectly locate , plenty bus , restaurant & amp ; take away around . the Arosfa run nice couple , eager oblige considerate . room small nicely decorate whole place sophistication ' ve never see & quot ; budget & quot ; hotel . I thoroughly recommend Arosfa . 
 Jul 4 2009 	 great location great price great service ask room back ! 	 good stay , wish known thing go . first good : -The location great , close Goodge Street Tube stop , close Regent Park.-Staff friendly eager help . point great spot lunch dinner , book taxi , help we bag , always return clean room breakfast , great , certainly keep need go elsewhere keep full easily lunchtime . always refuse tip whenever felt go normal duty host well . great service.-For be pay , really get great stay . now need request : -As walk stair narrow , request room one low floors.-i ' m sure air condition low floor , room fourth floor June - it quite hot ! ceiling fan help bit enough . , request room one low floor stay summer.-since hot , keep window open entire time . would problem back , away street traffic . unfortunately , front building hear everything night . put iPod play Miles Davis , might lucky . , request room low floor back hotel , will fine.-the room bathroom quite small . remember , London be pay . not problem , however , may bit shock folk expect Holiday Inn - type room . sum , great service , great location price right . not expect big luxurious room . 
 Jul 3 2009 	 Fantastic Service 	 family - run business show . take pride service , excellent . need lot space hotel room trouble stair , -- look convenient , inexpensive , clean place stay London worth check . room loos small , amenity nice , breakfast option good , overall place would recommend . 
 Jul 1 2009 	 Nice 	 visit london two night . stay Arosfa Hotel pleasant . staff nice friendly . room clean well design . impressed high standard excellent choice furniture , distinguish Arosfa hotel class . the location central easily accessible London 's attraction . I would stay would recommend friend . 
 Jul 1 2009 	 Excellent Value Hotel 	 review Arosfa quite fair . extremely clean , superb location friendly helpful staff owner . 2 min walk near tube station leisurely 15 - 20 minute stroll west end . we room nr 1 good size plenty room store everything . tea / coffee make facility , fresh fruit , alarm clock , flat screen tv hairdryer provide . excellent breakfast provide set day . it must say ensuite small ( find hotel ) although problem we may & quot ; large & quot ; people . lovely garden rear nice sitting room internet access tea coffee etc . I stay 3 4 hotel Gower Street year great area must say Arosfa far good .. hotel be get pay ! back . 
 Jun 15 2009 	 phenomenal experience . 	 trip London family affair ; stay Arofsa Hotel Gower Street Bloomsbury . say enough personal attention receive staff owner establishment . friendly accommodate nature exemplary staff proprietor add immeasurably enjoyment unarguably short visit ( 7 days/6 night ) . afternoon arrive find horror bank home fail " remember " abroad refuse attempt withdraw fund account , erroneously believe debit card fraudulent hand . wonderful people accommodate allow full day straighten .. ' still mad bank , attitude Arosfa much relieve anxiety time . I ' " senior " ( age 71 ) , first trip UK .. stay often London , although never Russell Square / Bloomsbury area . establishment conversion private residence hotel , little peculiarity share common plethora similar establishment populate London . reference small room ( post TripAdvisor ) true , dinky comparison large chain - Hotels find States .. ' pay dinky price -- comparison — for first rate place terrific area , close - walk distance British Museum , University , phenomenal restaurant / pub / cafés . area diverse stay Arosfa , ' MIDDLE easy Tube access ( Goodge Russell Square ) .. size aside , room contain necessity comfortable stay .. modular shower / toilet / wash basin right room , good flat - screen tv ( wall mount ) , wardrobe , hair - dryer , read light headboard bed , coffee / tea make facility , even 2 beautiful apple bowl ! hotel , experience , exceptionally clean room ( 3rd floor ) beautiful rear view Arosfa ' garden street . lift , case assistance staff ' son schleppe luggage room pleasant surprise .. kind service experience past . lounge attractive up - to - date wireless computer guest ' use , visit hotel full 80 % time .. computer often someone use , sensitive waiting use , equipment free within minute .. return favor linger myself . breakfast wonderful offer option full english breakfast addition access table yogurt , juice , cereal , etc . , along coffee / tea . accept poached egg morning rather change form , understand request scramble , etc . big rack toast also provide . generally meal last we 2:00 pm anxious glass wine , stop lunch . in end , however , say Staff Owner make difference term pure enjoyment London . favor try wonderful Hotel next trip .. beware : fill fast , sure book early . hope enjoy much . 
 Jun 10 2009 	 welcome back ! 	 friend return stay Arosfa visit exibition British Museum V & amp ; a.what lovely surprise welcome Richard Jackie . our stay fab usual . we discover 14 bus , stop across road , take Royal Academy Picadilly , stop right outside V & amp ; a.how convienient ? return plan next trip . 
 Jun 1 2009 	 small Room English Breakfast include clean 	 book Arosfa Hotel read mostly good comment TripAdvisor . I stay Arosfa 4 night . first arrive , shocked see room . extremely small hardly space walk room . bathroom clean , small . perhaps room assign . we interact much staff , , comment that . breakfast include price pay . alright every morning , full day , could skip lunch . clean hotel ...... conveniently locate . 
 May 25 2009 	 great stay ! 	 live compact space , formidable place stay London - consider price location . travel budget , highly recommend hotel alternative touristy messy hotel Bayswater . room be - as mention - small , extremley ( check bathroom ! blast . imagine airplane bathroom shower , voilà ! ) , clean ! also , lobby / lounge area nice . add friendly staff manager take care help anything - plus lovely surround area Bloomsbury , nice place stay bustle London . thumb ! 
 May 21 2009 	 nice friendly 	 hotel small clean . staff friendly . affordable well worth money . location good , two station Camden Town 10 min walk beautiful Regents Park . breakfast include could choose full english breakfast . room small nice flat screen tv . bathroom small clean fresh . 
 May 13 2009 	 gracious stay 	 Arosfa come trump many count ! perfect location , excellent price value money importantly pleasure . Nicholas wonderfully welcome gracious host , helpful , accommodate generous ! pay tribute Arosfa 's history , house painter Sir John Everett Millais , see reproduction work hung hotel give link cultural past . the room tasteful , bed comfortable hearty breakfast offer good variety fare . hidden gem ... stay prior find Arosfa two hotel Gower St , patch expensive . look ! 
 may 8 2009 	 LOVED HOTEL 	 split London stay 2 part , week Paris . first hotel trip LOVED ! everything great - accommodation , location , staff - whole experience . the room clean nice size - definitely enough room us luggage fit comfortably . bathroom tiny , problem - fine ( clean ) . tv alarm clock room - handy use . lounge area comfortable - two friend would head use computer touch base family friend . staff nice helpful . I really enjoy neighborhood . couple tube station nearby . lot good pub close well . beautiful neighborhood - close university british museum . we able get hotel Heathrow via tube . we wish could stay second leg London stay . unfortunately , room available . next time know DEFINITELY book advance : - ) 
 May 6 2009 	 Great B 	 previous review mention , many positive aspect Arosfa : ideally locate : Bloomsbury pleasant area Goodge Street tube station Northern Line around corner ( Tottenham Court Road end Oxford Street 1 stop away Leicester Square 2 stop away ) .Our room nicely furnish decorate equip flat screen tv tea & amp ; coffee make facility . client mention , bathroom ' compact ' perfectly serve purpose like room impeccable . the value good too . I frequently visit London ready call Arosfa ' home away home ' incident put off . one day not key ring bell ( 2 people party ill return B & amp ; b early take rest ) . landlord let make clear disturb he . the follow morning six minute late breakfast : new year 's eve , would latish night say , 2 we not feel well . stop way stairs blunt & quot ; Breakfast ! & quot ; ( much holiday spirit ! ) . hopefully , landlady show sympathy though late cooked breakfast , kindly offer make cup tea toast . sit feel rather uncomfortable landlord keep whisk everything away table ( juice , butter jam ) show total disapproval ... agree client respect house rule , also think well manner would not hurt ... 
 Apr 27 2009 	 Great London Bargain 	 stay one night imprese cleanliness room shower , absolutely spotless . room tiny , however , may like aspect . part need decent bed , good , clean work shower little else . selection room hot drink , biscuit even couple apple ! pay £ 60 night good place stay London sort money . come stay London first choice . critism bed 2 ' 6 & quot ; wide tad narrow . follow morning enjoy good breakfast include price . 
 Apr 23 2009 	 Fair Hotel small room excellent position 	 stay Holy Week . arosfa excellent localization , beside British Museum , 10 minute walk Oxford st . surround area quiet nice ; furthermore , along Gower St. ( Hotel ) lot B & amp ; b . tube station 10 minute walk ( Euston square , Tottenham Court Rd . ) . good : position , price , friendly staff , free internet connection guest lounge , big selection map guide London entrance . ok : breakfast . room small clean ( enough day tourism across city ) , fair selection tea infusion , teapot , hair - dryer , iron common area , TFT tv.the bad : bathroom ! absolutely small , even expert camping people ! believe particular problem , ' like remark quite difficult use it . I probably book Arosfa , especially quality / price relation , short trip ( 3 day ) . 
 Mar 27 2009 	 Convienent Location near Univ London good value 	 book & quot ; apartment & quot ; 5 day satisfied . & quot ; apartment & quot ; actually 2 room ( # 18 # 19 ) . room double single bed . room small american standard large many get area London . single bathroom serve room locate hall outside room . one room small complete kitchen . under - utilize feature , could save money & quot ; eating & quot ; . daughter term U. London right across Gower street hotel . group consist wife , 15 yr.old son , 3 adult offspring . real complaint anyone . breakfast nothing special , cook egg order ask . breakfast 9 .. bite inconvenient sleepy - head . the hotel near Goodge Street tube station . couple tube station also nearby . 7 - day oyster card good plan zip London . 15 - year - old travel 1 pound day . many eat establishment short walk away ( many Goodge street ) . Food London pricey good value many small sandwich shop . like Sandwicheria Goodge street . Spagetti House good moderately price italian food . care Zizis ( another italian place ) . pub food abound area . british museum close favorite . unfortunately much interaction staff ( tooooo busy ) , seem good . so .. location great we ; good value ; clean safe ; would definitely choose return Arosfa whenever return London . 
 Mar 22 2009 	 clean familiar 	 great cleanliness simpathy ! everyone want keep satisfied , specially brazillian couple Cairo Aline ! ask ! count tiny bedroom tiny , tiny bathroom won´t anything regret ! good location , good service great simpathy ! care ! 
 Mar 20 2009 	 great location lovely staff great budget hotel 	 stay Arosfa 5 time 23rd December 2008 early February 2009 . hub travel . stay 2 different room . room second floor quite small typical London size . also stay room 2 ground floor spacious room small pre - fabricated bathroom . the hotel lovely helpful staff , full english breakfast free internet acccess . room clean service every day include bathroom product like soap , shampoo , conditioner . tea & amp ; coffee facility room hair dryer . room flat screen tv . whilst spruced room new linen , bed throw , cushion new carpet . communal lounge / sit area big tv , lounge , book , free coffee / tea / hot chocolate internet . be easy 10 minute walk start Oxford Street ( Tottenham Court Rd end ) shopping need : ) least 3 tube stop vicintiy , course many local pub drink dinner . walk way Gower Street Covent Garden , 10 minute . also close SoHo , Regent Street and/or British Museum . just 10 minute ride cab ( luggage ! ) Paddington catch Heathrow Express . we love spot . convenient everything . even walk west end major attraction . 
 Mar 15 2009 	 Liked location 	 stay Arosfa Hotel 3 night . first night twin room , two single . room tiny , expect not really bother . bathroom instal room , compact well . host attentive . hotel good location - close tube station British Museum , picturesque street . strip restaurant / food outlet outside British Museum . hotel offer free internet access guest lounge wonderful - busy morning find evening good time get online . 
 Mar 14 2009 	 excellent location close variety tube line . 	 stay Arosfa Hotel two night begin March . hotel locate block away British Museum also close quite tube line make get around London quite easy . single room quite small however do not spend much time room . room spotless rest property . full english breakfast real treat morning internet service communal lounge . staff friendly helpful . would definitely stay . 
 Feb 28 2009 	 friendly clean convenient 	 Arosfa family own , clean convenient . although room small , one fine family five . excellent breakfast every morning staff extremely friendly . conveniently locate tube stop great area shopping restaurant . within walk distance british museum plus . would definitely stay . 
 Feb 19 2009 	 Cozy hotel London 's intellectual center 	 spend ten day Arosfa hotel December 2008 research Wellcome Library . could ask well experience ! location , service value excellent . location hotel ideal looking go british museum , want work Wellcome british library . simply stay London leisure Arosfa ideal within walking distance Oxford Street , Covent Garden , piccadily Circus , Leister Sq anywhere visitor would want go time tuck away tourist scene . hotel location provide option go excitement central London shopping / eat local eatery less frequented tourist . really appreciate ! hotel quaint , clean modern . stay able stay 3 different room comfortable one . large ( though still small ) one ground floor next lounge ( # 6 ? ) . enjoy & quot ; english breakfast & quot ; every morning complete toast , egg , baked bean , bacon , tea , OJ . service friendly without overbear . especially appreciate email correspondence Jacqueline set trip . owner mindful keeping guest happy . agree room small bathroom probably equip heavy people wheelchair , room spotless modern decor , flat screen tv free internet access . third time London first Arosfa , surely intend return hotel . 
 Feb 3 2009 	 Stayed Arosfa Zeppelin Trip London 	 great place . small hotel basically , run couple ( whose name escape ) . mom pop operation put block heart London : P. Circus , SoHo , whole deal . super close Goodge Street stop . clean , frill , good people actually care , terrific job . our small two bedroom top floor , 4th think . small window decent view Univ . build across street , amazing , inspire architecture . bed small adequate . shower bathroom room clean modern small . super small , private . room gf / bf , large charge . share w / anyone less intimate , close one small room . build - in include breakfast basement dope ; good selection , eat w / egg , toast , cereal , sausage / ham / bacon , bean , fruit , coffee / tea . warm host . listen BBC w / news classic music kitchen eat . be awesome . miss time . small tv room little , be heart London , close action . literally , five minute walk every direction stuff see , nice part town university , block top attraction , smoking place eat ( love Greek / Mid East / Med . , go gorge ) , shop , theatre .... walk ton place , get pass unlimited zone catch tube around destination . note , use map feature tripadvisor page note googe street station , see awesome Arosfa proximity everything . low price , great service , fantastic warm people , free coffee internet welcome front room area , eat breakfast great music / ambience , reliable help get advice travel arrangement plan , around , 9.5 10 , least . love place hope visit . London incredible place , fall love . much aloha everyone meet treat we well . many great meal , much killer indian food , great place guy Lebanese / italian , one place pizza , hummus , babaganoosh , bagel , falafel , tabouli ... type great guy run place need world . menu awesome . wish name handy ... sorry . kind food vibe find London , certainly stay Arosfa something place center . fortunate meet lovely people , hope enjoy place . 
 Jan 9 2009 	 incredibly small room 	 choose hotel mainly positive review . somebody mention room terribly small . two bed will not fit side side room . shower / toilet jammed space closet - literally ! hotel staff may friendly location good , unless intend spend time London hotel , must well offer . note : dozen hotel row next Arosfa must suffer problem , would advise hotel Gower Street feel room size matter . 
 Jan 6 2009 	 great hotel great people . 	 ' clean , friendly well locate hotel . great people . when get back Brasil , realize ' forget battery charger . contact e - mail find send back week . recommend ! 
 Jan 3 2009 	 Excellent location value 	 husband stay Arosfa Hotel three night December . pleased accomodation enjoy english breakfast every morning . the hotel centrally locate near many tube station . British Museum close Covent Gardens . we slight issue size bed - small two people . probably small travel throughout Europe . bathroom also quite small - accessible . even & quot ; small & quot ; issue would definitely stay Arosfa Hotel . price location can not beat ! 
 Jan 2 2009 	 great find 	 find internet choose recommend top hotel £ 100.00 good review TA . disappoint . twin room top floor overlook rear . reviewer remark room small bathroom compact . however , spotlessly clean , staff / owner friendly welcoming breakfast good include . well locate within short walk central location clearly safe area . definately use . pay lot hotel satisfy feel welcome . 
 Dec 31 2008 	 Clean Comfortable Fantastic Location 	 stay single room 6 night - room clean comfortable , love little touch like fresh fruit coffee maker ( hot chocolate biscuit ) room . complimentary full english breakfast delicious , friendly staff not problem accomodate special request . free access internet also plus . location ! hotel less 5 minute walk british museum , 15 - 20 minute walk Covent Garden theatre district . lot great restaurant shop area ( favorite secondhand bookstore ) , be also close several tube station , make breeze get anywhere London beyond . pleased stay , look forward visit Arosfa . 
 Nov 30 2008 	 pleasant stay Arosfa Hotel 	 Date : November 4 - 8 2008traveler : Couple San Diego , USAWe stay lovely boutique hotel 4 night . business trip , location perfect . close several tube station , lot od small cafe Deli close by . the room super clean nice tv , coffee maker even fresh apple wait we . bereakfast superb , make request . hotel provide internet chic lounge room . the good hotel extremely pleasant helpfull staff . return US go another visit inside Europe , leave one luggage behind due airline restriction . allow store place , extremely helpful . hope visit London try get room Arosfa . 
 Nov 29 2008 	 great location nice little hotel 	 spend three night Arosfa last June 's good stay London far . room tiny ( single one ) , excellently decorate clean . 's lift problem . not breakfast ( get either early late every day choice ) .The area fantastic , 's short walk british museum , close underground station one block away , Tottenham Court Road . Oxford street ten minute away even less . actually use underground get Liverpool Street st . back , walk everywhere else . if be look cheap clean nice place good area London , place . would definitely repeat ! 
