good 	 get back England trip stay last night Premier Hotel . 's second stay be even well last trip . much improve dining area . great food Bar . room compact well appoint exceptionally clean . location great , lively Earls Court road 2 minute walk tube . close also Holland Park Hyde Park . parking always expensive 's close short term long term parking . staff excellent always helpful . will look stay next family visit . definitely good family value around . 
 look futherthis ! ! ! 	 recently stay Premier Inn , Kensington Earls Court pleased service decide write experience other go see . front desk restaurant refit want difference ! ! reception slick self check still traditional reception desk . restaurant really nice , relax spacious . hide gem team customer service . feel team member , one person pass bye without ask " stay " " well " . thrill , clean hotel , good . 
 Aug 28 2009 	 Best Hotel Value Cleanliness London ! 	 stay hotel June 2008 read Trip Advisor review . really close Earlscourt tube station , shop , restaurant , etc . nice quiet area , staff really friendly helpful . free internet internet cafe block away . room large , enough room 2 ppl suitcase newly renovate spotless . king bed impossible find London A / c well . Al fantastic stay would definitely stay ! 
 Aug 18 2009 	 exactly expect job ! 	 go London 3 day , 2 night mini vacation . really need room bare minimum , since not plan spending lot time , sleep hour . that s get . need family room , get , double bed , single bed lonely look matress floor . restaurant attach renovate , breakfast , aware that . upon arrival , greet friendly polish receptionist . cheerful helpful . suggest another Premier Inn could go breakfast , recommend popular attraction think good value even give we special brouchure could get scan select location 20 % select place . the breakfast inn around 8 pound , full english breakfast , good ! sasauge , egg , becon , croissant , tomato , mushroom , fresh fruit , cereal etc ... check receptionist not friendly , barely say word not smile ... , find odd . our bathroom look funny , bland look white paint big chip take it . in end , job sleeping , not exactly ` ` premier '' . 
 Jul 31 2009 	 Good Value Location 	 stay Sunday evening Theatre . parking free around area Sundays could park nearby 8 am next morning . really good value location good , restaurant nearby ( 10 min walk various chain one shop ) . double single bed daughter , lot room move , quiet room also clean . would recommend other great access London 's activity . 
 Jul 13 2009 	 2 Premier Inns Kensington - make sure tell taxi right address 	 Booked hotel bring Premier Inn Olympia . , decide stay . turn ok since Premier Inn Olympia newly renovate Premier Inn Kensington renovate ( process ) . walk distance Earls Court Tube station . 
 Jul 3 2009 	 good value price 	 despite fact hotel undergo renovation visit would hesitate recommend base several factor . staff accommodate pleasant fulfilled request quiet room . air conditioning unit quiet . bed / pillow comfortable linen seem new . hotel room well organize space . bathroom clean could use update ( ditto towel ) . hotel good location ( nr restaurant , tube stop , shopping ) . ' ve stay expensive hotel London nice , cheap one rather grim . 
 Jul 1 2009 	 great get pay 	 fiancee stay June weekend away celebrate birthday anniversary . £ 80 per night , possibly well would get London . literally 5 minute walk Earls Court tube station . dowside restaurant bar currently close refurbishment . monetion website book confirmation , bit annoying 9 pm Friday night get long journey . not really want go long day etc , 24 hour sainsbury 5 minute walk away . would definitly stay , would go train next time car park £ 60 less 48 hour actually attach Marriott hotel . for city break London , place would perfect . excellent base shower sleep night , city like London want . 
 Jun 19 2009 	 nice room construction restaurent 	 room fine advice hotel construction restaurent . still disclose web site ! room mostly clean three day . one day coffee mug clean . last day run soap bath / shower . do use taxi recommendation unless understand order black cab . use local private cab twice expensive balck cab . 
 Jun 7 2009 	 great sure 	 regular user Premier Inn chain hotel come bit disappointment . it close Earls Court tube Piccadilly line get want go easily . state review hotel undergo refurbishment mean bar restaurant close - this problem , tell booking . end go another Premier Inn breakfast 7 minute walk away , luck would weather great problem , rain would major pain . the room fine spotlessly clean always Premier inn usual staff great . the general appearance hotel tired , hopefully work go sort . go London stay somewhere else still within Premier Inn brand . 
 Jun 4 2009 	 ok . price vary day . convenient area 	 book Earls Court Premier Inn receive less desirable Priceline & quot ; win & quot ; another hotel different day . hesitant additional night , book Premier due high rating , flextible cancellation policy . fine , retrospect , wish would use Priceline ( Hotwire ) . con : think current renovation detract experience . entry , hall , reception , etc . attractive appear photo . room fine , although lot scrape scratch , make look older worn . Bathroom handle break ( although functional ) . none make much difference comfort ; detract appearance . lift stay well . think may shut periodically . not order breakfast , impressed small & quot ; box & quot ; meal see outside door morning . pro : staff friendly . comfortable bed . clean . convenient location , away crowd ( like ) . please note , price may vary depend book -- even date . check price one day , decide book next , go 10 % . think miss window opportunity , book anyway . , several day later , price , cancel first , book second time . 
 Jun 1 2009 	 Room location matter renovation end 2009 	 ' m give two star due renovation , perhaps well finish end 2009 . everyone go in / out feed one area narrow lobby , one small working elevator break stay . also noisy work road right outside . the area full hotel restaurant , help support nearby convention center . keep mind area heavy tourist . large selection choose Earl 's Court Rd . think every fast food chain represent , eat cheap choose . 3 large grocery store within 10 minute walk . Earl 's Court station 5 minute walk away . seem generally safe quiet away main road . quick travel tip stay arrive Heathrow . would recommend save ton money take Picadilly line , be 30 minute Earl 's Court . large elevator / lift go directly exit Earl 's Court Rd . carry luggage stair exit station . we two different room , first across walkway . room extremely small , pretty much enough space walk around bed , difficult time find space two piece luggage . small bathroom leaky shower , think make big mistake . would one star , mom pop roadside motel USA . manage get another room , time lobby side . room much well , typical average american motel room size . small table , big bed normal sized bathroom . room A / c.the lobby staff always friendly helpful , plus . will not anything worry regard . you take gamble room get , keep mind . hope get early enough claim good room . anywhere terrible great . since renovation change room , problem fix . much inconsistency , would return location . 
 May 20 2009 	 nice hotel reasonably price . 	 partner stay 2 night May , 2009 . hotel currently undergo refurbishment impact stay . room spacious , clean modern bed comfortable . location excellent , 5 minute walk away Earls Court Station . we would stay . 
 May 19 2009 	 perfectly acceptable 	 stay 2 night attend concert . have stay 2 year ago difference time retaurant bar close renovation . the restaurant close problem plenty place eat Earls Court , however would nice able drink return concert . the staff friendly helpful , room clean , towel pristine water hot . the hotel quiet road 2 minute walk tube traffic noise . look dingy hotel around area , would recommend hotel & quot ; frill & quot ; London trip . and happily stay . 
 may 3 2009 	 Good Value 	 stay hotel couple day happy choice : hotel close subway ( earls court gloucester road ) , room refurbish good convenience , spacious bathroom , big comfortable bed , , quiet bedroom ( hotel locate & quot ; behind & quot ; main street , cromwell road ) . not touristic part city , price ok . 
 Apr 28 2009 	 great hotel undergo renovation 	 ' ve hear lot positive thing Premier Inns , stay , understand . good room , reasonably soundproof , exquisitely clean , friendly staff sum . 5 star ? show expect breakfast room , discover almost whole ground floor renovate . breakfast room , one elevator , break second day stay ( Saturday ) fix leave Monday morning . fairness , adjust reserve with - breakfast price , send staff help we take 5 piece luggage three flight step . wonder could not get elevator repair weekend , unwilling pay weekend premium . we will not let experience sour us hotel , lot positive , plan stay June , check see renovation finish . 
 Feb 21 2009 	 fulfil purpose pass thru London 	 family four stay two night arrival States . room tiny -- U.S. fire code probably would not allow occupancy four people . room bit worn could use fresh coat paint . hotel quite lot & quot ; budget & quot ; would anticipate ( appear website ) . room far side street , come going always take , not deal - breaker . positive side , location good . Earl 's Court Road block away , tube station good selection restaurant . breakfast buffet hotel ample need . one note : smell cigarette smoke time get elevator floor , odd entire property non - smoking . second night , disturb constant smell cigarette room bath , seem come next room . report checked never receive apology follow staff . I would recommend friend look central London location low cost . 
 Jan 29 2009 	 great stay Premier Inn London Kensington 	 first time visit London . european vacation daughter . location excellent , 2 - 3 minute walk Earl 's Court Underground stop . staff fantastic . bent backwards provide good service , especially restaurant . long day foot sightseeing , find nice way end day dinner . food good , service excellent . also find convenient buffet breakfast well . stay 5 night begin trip , another 4 night end trip return home . daughter fall ill last day , sick leave hotel . staff keep ask , even one waitress offer go drug store . sweet ? get free ticket London Eye kind gesture ! could not use anyway , since daughter ill go . ever go back London , would definitely stay . room clean update , bed comfy , reasonably price consider London . staff great ! 
 Jan 16 2009 	 Great Hotel ! 	 partner stay hotel Nov 2008 long weekend . bit worried never stay London do not knnow well ! glad pick hotel , Kensington lovely quiet area load gorgeous house surround hotel . Earls Court 2 min walk around corner next load shop , bar , food place etc .. get home centre night use bus service ... I m smart come thing find simple easy use save u fortune taxi fare ! ! TGI 's Picadilly Circus lovely Circus place weekend .. heave people load bar club etc ... go comedy club pc ... do not go time great ! ! 
 Jan 13 2009 	 good choice location convenient 	 Hotel one offer British Airways part package . happy hotel . clean , moderately price ( relative hotel ) , staff pretty friendly indeed close Earl 's Court tube . find convenient get subway hotel . find , however , midnight approach , find rush train station get back hotel not take expensive cab try figure night bus system get home . place restriction & quot ; nightlife , & quot ; especially weekend want stay central London later . , little concious cost thing ( dollar 1/2 value pound time ) certainly could cabbe back one night two alternative . , quiet comfortable hotel modern convenience room . even manage persuade British Airways contact hotel managemtn allow uso keep luggage storage room overnight go Paris one day / night . Premier inn fairly strict policy allow . exception make allow we avoid haul luggage around London get Paris short stay . 
 Jan 11 2009 	 would definitely return 	 move Premier inn another terrible hotel maybe impression Premier Inn bite impact . the hotel perfectly locate , 3 - minute walk Earl 's Court tube station . I friend get family room ( 1 double bed 1 single bed ) , tell not twin room . the room spacious , table chair , wardrobe , tv many channel . the bathroom sink 2 crane ( typical UK ) , anyway get use , bath . douche gel liquid soap bathroom . hotel locate quiet area although seem railway pretty near . during 10 - day stay never awaken noise outside room inside , although always face problem hotel . the room air - conditioning system allow set comfortable temperature room . the design room seem modern . room clean every day get new towel daily although not ask they . the staff extremely polite helpful whenever make enquiry ask help . there plenty place eat near Earl 's court tube station ( indian , chinese , thai , italian , pub etc . ) .The problem stay were:1 . could not decide will sleep big bed2 . towel quite strange smell ( assume detergent ) 3 . staff clean room accidentally take glass could find give back we , although try really hard locate glassesoverall , find place good comfortable , 's 5 - star hotel , 's good value money London . 
 Jan 10 2009 	 good great 	 stay hotel new year break , location great ( nice area , lot restaurant close tube ) hotel disappoint come detail : - shower pressure weak , struggle shower everyday- amenetie basic understandable thing like complimentary kettle teh room old grubby use . - restaurant price high compare get well organized.otherwise hotel fine term room size , cleanliness , friendliness staff.thx , 
 Jan 7 2009 	 - much noise tube line 	 stay night unlucky room allocate . noise tube line easily audible , even earplug , window firmly shut curtain draw . travel work away home quite lot , use new surrounding city noise , soundproof exceptionally poor . pack itinerary not time hang around change room . in fairness , raise issue , receive one night refund , impression well aware problem indication anything awould do . one good thing cleanliness - room spotless , really 5 star clean . would not go back would not recommend . 
 Jan 1 2009 	 ok 	 reading review , look forward stay Premier Inn Earl 's Court , Kensington . admit slightly disappointed , though . firstly , location - wise , hotel beat . situate nice area Earl 's Court ( great architecture - worth stroll ) , two minute walk away tube station . problem . check - in also fine . room typical Premier Inn - real frill , pretty much unbeatable price . issue start niggle , though . secondly , heat adjustable , never seem work properly . , increase little , seem increase considerably vice versa . always hot cold ! perhaps room , frustrating . another main problem shower . ' ve stay Premier Inn Albert Dock Liverpool , shower incredibly strong . , flow weak , temperature unpredictable shower head seem broken . little shoddy . final issue restaurant . decide eat dinner hotel 's restaurant one night , despite hefty price ( perhaps understandable London ) , look forward . ask wait seat - despite fact restaurant half empty . , overly enthusiastic waiter rattle manner menu option , much hard keep . order pizza anyway . wait . wait . wait . take kitchen close 45 minute prepare two pizza half - empty restaurant . time , man look like chef , spend number minute wander restaurant . regard price pay , service , poor hopefully improve future . hardly dare imagine wait would restaurant full . so , overall , accommodation ok . price still competitive area , still niggle hopefully iron future . 
 Nov 25 2008 	 Friendly Comfortable Convenient 	 Premier Inn Kensington Date stay 10th November 2008arrived 7 pm , greet efficient friendly reception staff . the room reasonable size London flat sceen tv , coffee maker etc . clean comfortable bed . we decide breakfast hotel £ 7.95 per person , buffet style , eat much like . see pubs earls court rd offer breakfast £ 5.00 preferred . glad ! staff could friendlier selection food excellent . also breakfast table discreet distance eact enable private conversation . we note even clean staff take trouble greet every guest pass by . the location three minute walk earls court tube many restaurant pub nearby . for price consider real find defintely stay ouir next visit . 
 Nov 17 2008 	 great hotel 	 nice comfortable hotel . like location - slightly tourist area . good place go back evening , lot place grab bit eat . people bar friendly - give we glass ice ! . Close Tube . nice sized room comfy bed , clean modern . 
 Nov 11 2008 	 comfortable stay 	 return 4 day stay Premier Inn Kensington . it hard decide London hotel stay , tripadvisor help lot . hard find right balance price , location quality hotel . Neigbourhood really ok , safe night . earl court undergroung 2 - 3 minute walk . couple nice restaurant , nice place opposite tube entrance could breakfast ( maybe hotel price 8 pound little much ) .Sainsbury Tesco store also close by . I alone room , enough space , parent room also enough space . room clean , shower ok , also heat work , hear noise outside ( maybe tired sightseeing shop ) .window fully open security reason . we second floor acroos street via tunnel , everything well explain problem find room . staff check ok , use luggage storage arrival departure . Bar Sky sport ( although 3.30 pint Guiness much ) , room enough tv programme . definitely do not need extra , hotel you . I come . 
 Nov 5 2008 	 would highly recommend ! 	 extremely friendly staff , two minute tube spotlessly clean room , could ask ? not eat restaurant use bar always busy past . would recommend Balans Old Brompton Rd breakfast . would definitely stay next time London 's location price . 
 Nov 4 2008 	 great location great price 	 look cheap reliable base seeing sight London can not go far wrong . located pleasant , safe accessible location , close Earls Court tube , Premier Inn perfect choice . small , spotlessly clean room great shower freeview modern TV 's . breakfast actually bargain travel child eat free every adult . good choice restaurant main road tube . make place special however charming helpful staff . whoever manage place deserve credit team consistently friendly , attentive despite crowd half term , willing take time guest . budget hotel , big name could take lesson team ! 
 Nov 1 2008 	 Clean Easy Tube Access 	 long look extravagance , spot perfect . room small ( two adult two child ) , since use sleep shower , not need lot room . well , Earl 's Court Tube stop block away , restaurant pub . inn clean affordable place stay London . would certainly stay . 
 Oct 22 2008 	 Excellent stay . 	 husband & amp ; stay 4 night October 2008 . arrive hotel quite early day , allocate room straightaway . find staff extremely helpful , pleasant & amp ; polite . variety & amp ; choice food , hot & amp ; cold , breakfast high standard . room clean & amp ; bed comfy . location hotel excellent , 2 minute walk Earl 's Court tube station . residential area , virtually outside noise . several good bar & amp ; cafe vicinity excellent italian restaurant 8 minute walk away . altogether excellent stay & amp ; would hestitate recommend hotel friend & amp ; family & amp ; would stay future . 
 Oct 17 2008 	 quiet convenient great value 	 second Premier Inn . stay Gatwick last year . must say Gatwick one little nice term design honestly 's great value . stay way b / c not want center London 's loud night . Kensington street tube 's food , internet everything street station . check nice friendly always room clean slightly comfort Gatwick one . overall great hotel chain . happy find chain ' m stay loyal . 
 Oct 15 2008 	 good location 	 stay couple Premier Inns find clean comfortable & amp ; quiet . problem find teenage child not like thier bedding . one couch mattress floor . mattress floor particularly uncomfortable - could feel spring . probably would not problem young child . location great - handy train . 
 Oct 8 2008 	 Cosy 	 family & amp ; travel Europe 5 week , far one well stay . locate 2 min walk Earls Court tube station . great station near cos particular station connect quite number line , without travel station change . near lot place interest convenient . also , locate quiet street nice residential area , away noise main street train station . walk 2 min , will reach grocery shop , restaurant , cafe sprinkle near tube station . be even Marks & amp ; Spencer . the room big , enough space , even accomodate 2nd bed room , cos child we . ( believe hotel charge we extra ) . room look new , clean , aircon well heater . provide complimentary coffee / tea make facility book always must . bed extremely comfortable . plenty channel option tv ever eat . breakfast although bundle 90 pound per nite pay , good deal . 7.95 pound full breakfast 5.95 continental . quality food serve breakfast good , good choice . child 's eat free . porridge order part meal , great . definitely cheap eating . breakfast hotel day . service staff good , helpful & amp ; friendly . 2 thing not like 1 ) 2 separate tap cold & amp ; hot water wash basin . people manage ? 2 ) internet payablealso , even though room across street ( connect cover walkway bridge ) hear muffle sound train . loud enough bother we really . Premier Inn choice . 
 Oct 7 2008 	 ok nice 	 red thousand review hotel London decide choose one , price ok , good location people say bad place . ok dokey ' . good location , ok price place bad . would take breakfast since like 4 5 place take good breakfast Earls Court , tight budget , go Cronwell Road Sainsbury ' get 4 day breakfast two 15 pound . carpet bit old , depending , way go room seem like labyrinth receptionist - guide tell way need bit hotel jungle expertise land room . fridge would nice would repeat place want go 150 ' . consider region land corporate travel rich people go Premier Inn , clean , convenient nice room . 
 Sep 30 2008 	 great value good location quiet 	 hotel good value ' ve ever pay one - night stay London , be sure . a good location - truly central , handy Kensington ( far centre 's be need ) .large room , spotlessly clean , comfortable bed . also , terrifically clean bathroom , decent size facility . friendly staff . perhaps great feature - peacefully quiet . unlike many chain hotel ( 2 - 3 time price ) nearby , Premier Inn one street back main Cromwell Road , get traffic noise all . one slightly weird thing load card lock everywhere - go annex ( stay ) , go few four door lock . all , really excellent hotel London . pretty much impossible fault , price . 
 Sep 19 2008 	 Excellent Service Value Money 	 spend seven night Premiere Inn Kensington July 1 July 8 , 2008.i impressed service get - go . originally book reservation Travlocity.ca April 2008 early - bird rate $ 99.00 per night . regular room rate $ 134.00 per night . arrive hotel surprise learn record booking . apparently Travelocity neglect fax hotel complete booking . print copy Travelocity confirmation , present hotel manager . luckily room available , fuss , muss , manager book six night early booking rate $ 99.00.the hotel stone ' throw form Earl ' Court tube station , close action Earl ' Court Cromwell Road . room large spacious , comfortable queen size bed . small hi - def flat screen tv real treat morning / late night news . excellent bathroom facility pipe hot water ( note " caution : Hot Water " sign tub sink ; ' kidding , water scald hot ! ) hairdryer bathroom recall , bring need one . excellent buffet breakfast $ 7.99 , modern dining area good quality food . lot family kid , maybe first pick young single young couple look something hip . real qualm small bar / lounge area , tuck away next dining area . service bit spotty bar ; bar staff consistently peak hour ; otherwise ' get service one staff member notice stand bar , wait drink . also , lounge area small , seat 20 people max . big deal since plenty bar restaurant within walk distance hotel . great hotel ; highly recommend stay next trip London . 
 Sep 17 2008 	 good base great location 	 stay 2 night , 10 - 12th Sept , conference . room build across main hotel reach walkway 2nd floor . clean modern room air con flat screen tv . tea coffee supply soap bathroom . adequate warddrobe space drawer . problem noise room outlook roof top . consider position , minute walk Earls Court tube station , good value hotel . would use . 
 Sep 17 2008 	 want 	 stay 4 day end July read review TripAdvisor . location great anyone 's look spend time see sight . Earl 's Court station ( 1 block away ) surround business essential need ( market , pub , casual dining ) right . morning breakfast site provide good start day 's adventure . room fine ( clean , quiet ) be look basic accommodation perhaps not . 's fee internet access . 
 Sep 16 2008 	 highly recommend 	 ' ve travel London several time part get good hotel city ( be tight budget ) gamble . genuinely recommend hotel . staff pleasant approachable , room clean , quite large London hotel room , modern , price competitive . ' m pleased say bed large comfortable . I also stay Premier Inn County Hall , also recommend location . 
 Sep 1 2008 	 good location price 	 Hotel great location , basic good price . clean friendly . stay 2 night family room child age 3 & amp ; 5 . 
 Aug 29 2008 	 great hotel 	 stay one night 24thaug08 see George Michael concert think hotel brilliant .The location right room clean comfortable staff polite helpful . the food restaurant also nice . we great time . 
 Aug 16 2008 	 definitely return - could not well price ! 	 excellent hotel stay visit London . daughter stay 3 night complaint . room exceptionally clean , spacious comfortable . breakfast good value , much like fill tea good coffee , would strongly advise take offer one pay adult free breakfast child 16 year . staff friendly nothing much trouble . room clean every day need clean towel problem change often wish . luggage room available need safe deposit option valuable extra cost . Earls Court self contain plenty restaurant shop short street away . pleasant stay definitely use Premier Inn Hotels . 
 Aug 13 2008 	 Basic Lodging 	 good basic hotel : clean , fresh surface ( appears freshly paint ) , good air conditioning room . two building face street family friendly side face reception . we family side quiet church . get bit maze involve numerous passage , elevator door . good location : near Earls Court tube , lot business areasome faux pas : original room assign appear occupied ; second room key turn meaning negotiate maze back reception exhaust ; request taxi departing get expensive limo service train station . 
 Aug 12 2008 	 Excellent Location 	 book directly british Air part special running time include credit toward hotel stay . thoroughly satisfied . hotel within easy walk distance Earl 's Court tube station also convenient bus line run High Street Kensington tube station ( bit walk ) . lot eat option close well supermarket . hotel clean room quiet . stay part hotel across street lobby . hotel air conditioning . arrive hotel around noon expect able drop bag let we check time . triple room surprise - satisfied . 
