Exceptional 	 stay 12 year love hotel . great room amenity . excellent English breakfast many choice . location near tube , restaurant , theater many interesting sight see . friendly atmosphere . would recommend age . 
 Nice renovate hotel good location 	 work 5 min away use overnight stay London . recently renovate , nice hotel , pretty good service door reception . room king , internal facing , fine arrive 5 not really look , probably worth check view get . bathroom really really small spotless modern great . room decent size , desk , seat , LCD tv decent sized wardrobe . hotel overnight shoe shine service not use not aware lead sign aspire good hotel . overall would say good hotel frankly price good . hotel London generally hit miss sometimes , pay £ 200 would stay , central everything , modern clean . however cost £ 190 get Claridges £ 250 ... mmm formal / stuffy fo get overall well hotel Royal H. overnight stay stay . tourist stay long , fair bad choice , although good 15min walk Covent Garden 5 - 10 Trafalger square . 
 Aug 10 2009 	 Excellent experience First London Trip 	 stay Royal Horseguards approximately one week July 2009 . since first trip London , want somewhat central location accessible major sight . hotel conveniently locate near Trafalgar Square , Jubilee Bridges ( pedestrian bridge allow cross Thames ) , embankment tube station . despite centrality , hotel quiet street distract outdoor noise . I stay deluxe double room locate front building . room exceed expectation every possible way . large size include comfortable bed . entire hotel recently undergo renovation everything virtually brand new . bathroom impressive -- heat floor , towel , tv shower ! eat restaurant , order room service satisfied food . quality service exceptional every hotel staff member encounter courteous professional . when return London , definitely stay Royal Horseguards . really hate leave can not recommend highly ! 
 Aug 5 2009 	 Meet Expectations 	 disappointed hotel . expect 5 - star hotel , assume include excellent service , not receive . arrive hotel shortly 1 p.m. , ask could check . realize would early check - in , sometimes hotel make accommodation . clerk say matter - of - factly -- & quot ; check 2 p.m. & quot ; explanation , & quot ; room not ready , & quot ; nothing . -- time check , be . fair enough , guess , accommodate . , walk around bit come back 2:20 p.m. check clerk . room not ready . keep mind 9 1/2 hour flight , exhausted want shower rest . tell we would ready 30 minute , offer we tea wait . really 30 minute , clerk 's attitude poor . add insult injury , waiter verrrry slow bring we tea . quite frustrating . room not robe , ask . also , dry hair bedroom desk , rather bathroom , outlet bathroom shavers . pay room view . view good . 6th floor , see mostly tree . want view room , would get one 7th floor high . also , balcony room , go -- door lock ! positive side , room quite large London standard , clean , update . , sum , service inconsistent , room nice . would get & quot ; view & quot ; room hotel stay . since many hotel London choose , probably will not stay next trip . 
 Aug 2 2009 	 excellent stay elegant surrounding - first class 	 stay recently overnight theatre trip . room modern every little luxury could want - robe , tv bathroom , ipod dock etc etc . breakfast plenty offer selection hot cold . although drink expensive , guess would expect 5 star London hotel . location Whitehall handy London Eye , West End London bus tour stop . consider London incredibly quiet . overall , good experience - back ! 
 Aug 1 2009 	 refined elegant hotel great location responsive accommodate staff 	 partner spend 4 night Royal Horsguards Hotel , book one ' Royal ' room , find décor refine quite pleasing , bed supremely comfortable room spacious . request feather pillow address quickly Housekeeping staff . the first night air - conditioning break maintenance staff person could repair , although clean filter obviously great need . room change next day , , find air - conditioning problematic room well . maintenance person summon also enlist assistance maintenance manager . filter room also dire need cleaning , do , A / c work perfectly room . breakfast buffet - style , quite extensive plentiful , although breakfast staff seem somewhat frazzle morning fast pace require . , touch upon décor hotel , find exceptionally high quality throughout . we occasion interact Guest Relations Manager , Mr. Matthias Kussner , regard ' incident ' , resolve expeditiously professionally satisfaction , also graciously invite we partake afternoon tea hotel lounge accept thoroughly enjoy . gesture truly high quality establishment . our critique would Maintenance Department perform routinely schedule cleaning room ' a / c filter , obviously do . find overall experience hotel positive , A / c problem resolve able regulate A / c comfort cooler temperature , require , would quite content abbreviate stay extend indefinitely . we love Royal Horseguards Hotel ! ! ! ! 
 Jul 28 2009 	 want go back spend time ! 	 hotel convienent bed visit somewhere far hom , hotel want stay enjoy ! stay one night didnl ; get see view River Thames , restaurant facility , see fantastic location , polite helpful staff , beautiful decor convenient hotel layout ie lift near restaurant , toilet near bar etc . negative - King double surpisingly small . shower King Double good , can not avoid jet wash hair ! sink big make bathroom small . bed hard like ( personal preference ) . complimentary water ( bizarrly tv bathroom . would prefer water honest ) . parking 10 min walk away , impossible inconvenient case . say , would go back without hesitation , would get different room . 
 Jul 27 2009 	 extremely professional service - stylish hotel - great location 	 go London work extend stay weekend leisure . Royal Horseguards excellent hotel - new London favourite ! within 10 min walk Trafalgar Square , easy get main attraction city , 3 min walk Embankment Tube . lovely room , clean , extremely comfortable bed - bliss ! excellent shower . arrive late , fantastic food room service - hot , fresh cook perfectly , deliver quickly . good opted lunch lovely garden terrace restaurant - equally good food . trouble airconditioner - hot week London - fix straight away . unfortunately , follow night , break . report problem , action immediately take , transfer identical room , everything handle utmost courtesy professionalism . can not speak highly enough staff - every single person deal , front desk cleaner , friendly , helpful utterly professional . could irritate problem promptly correct detract way enjoyment stay . hotel lovely - staff quite brilliant . definitely stay future visit London . 
 Jul 27 2009 	 Perfect Service 	 glowing report Royal Horseguards son daughter - in - law , stay two occasion , decide would ideal place celebrate 80th birthday . daughter - in - law email ahead ask various surprise , i.e . champagne bedroom birthday morning et . serve persosnally Dena Guest Relations Manager , together complimentary chocolate dip strawberry . hote staff also decorate breafast table .. look superbly staff . the room delightful everything could expect aand more . the hotel also provide complimentary canape beautiful chocolate torte birthday cake . can not wait come back . 
 Jul 24 2009 	 beautiful room perfect location 	 family , 2 adult 2 teenager , 2 room 4 night . room recently renovate incredible ( even tv screen bathtub ) . roomy comfortable furnishing , bed , sit chair , desk . everything new . drawback one room interior room frost window glass outside view . however upon request hotel move we beautiful exterior room next night . hotel perfect location walk London . wireless work great room . 
 Jul 24 2009 	 Gorgeous Hotel modern clean 	 stay basic double room , could not find complaint , tidy , clean modern Pod dock bedroom flat screen bathroom speaker ceiling . really nice . thing watch bar . sell 50ml measure look forward least £ 8 per drink . stop we rack £ 500 one weekend ! lovely view , can not wait go back 
 Jul 24 2009 	 new year 	 stay new year . good location directly opposite Millenium wheel . number one place stay new year celebration . 
 Jul 21 2009 	 Perfect stay celebration 	 take mother 80th birthday along father wife . we previously arrange champagne take room morning birthday ( provide we chill hotel ) complimentary strawberry arrive well . assign guest relation manager ( Dena ) arrival look we perfectly escort we breakfast via vip entrance table decorate item previously provide we . afternoon complimentary tea stay gourman king river view room 6th floor ( 641 & amp ; 645 ) along chocolate cake candle & quot ; Happy 80th Birthday & quot ; kindly provide hotel . room 645 large walk shower ideal eldely guest . room large tv bathroom along ipod socket . nothing much trouble staff stay superb back . 
 Jul 20 2009 	 Royal Horseguards never Disappoints ... 	 recently return visit UK stay 4 night Royal Horseguards , fourth time stay whilst London . say enough positive thing hotel . location superb , close Tube station ( take Tube airport , easily wheel suitcase station hotel save ton cab fare ) , across river London Eye within short 5 - 10 minute riverside walk Big Ben , Westminster Abbey Trafalgar Square quiet , upscale part town . embankment Pier right outside , allow catch river cruise along Thames spectacular view site hotel historic landmark . sightseeing day , wonderful come back part town take evening stroll , see everything light majestically . newly update room spacious ( even american standard - like mini - suite ) , feature large flat - screen tv bedroom shower ( get addict integrate iPod station allow play music throughout space ) . room feature north american european outlet not need international travel adapter charge camera , etc . nice . the staff always gracious try accommodate early check - in overseas visitor . far restaurant , opinion , well worth include breakfast reservation rate , spread constantly refresh offer lot variety . prefer eat elsewhere , starbuck right around corner . summary , relax oasis lot offer overseas visitor always make feel like stay second home ' m . back . 
 Jul 19 2009 	 Ticks box ! 	 take sister - in - law London surprise 70th birthday trip . first minute enter hotel treat like royal ! room view breathtaking - panorama Thames , familiar building bank . room spacious lovely - plenty space sit window enjoy view cup fine tea coffee ( complement hotel ) . modern con - climate control , ionic hairdryer , iron iron board - tv bathroom ( flufy towel robe plus slipper ) .The light welcome minute enter room , make sure leave key card slot wall door . time check tv channel available , enough watch something relax hot bath sightseeing . staff really attentive helpful , breakfast lovely ( get inclusive room ) , well early , goody might go . location hotel perfect , next embankment tube station . everything within walking distance , worth pay little extra bother travel transport - healthy walk major attraction ! uder impression beddig change every day - somehow , free paper deliver first thing morning ! go ! treat ! visit Olde Cheshire Cheese pub Fleet street lunch - find myseld sit bench favour Charles Dickens ! & quot ; Chicago & quot ; Cambridge theatre fab river cruise must ! templer Church Southwark Cathedral make perfect ed spiritual tour ! 
 Jul 17 2009 	 world 	 hotel fantastic total world . everything , room , service etc amazing ! 
 Jul 10 2009 	 Quality hotel amazing restaurant 	 stay Royal Horseguards 1 night part honeymoon . although try cram much sight seeing could therefore do not spend much time hotel , still impress experienced . from moment arrive concierge helpful check prompt polite question ask touristy stuff deal answer problem smile . we receive upgrade honeymoon amazing view London Eye . room lovely bathrobe slipper tv bathroom bath / shower nice touch . it excellent location down street literally 1 minute walk street , big ben 5 minute away buckingham palace 15 minute walk . London Eye directly thame approx 15 minute walk although do not enough time experience this . the good part hotel experience restaurant . do not much time get food show going decide eat hotel restaurant . do not know time dinner serve turn 20 min early staff still prepare table etc . problem seat give complimentary cocktail due honeymoon even though make mention . food brilliant , service fantastic price reasonable surprised consider quality food offer . all would recommend hotel anyone definitely go back ! 
 Jul 7 2009 	 suppose 5 - star hotel concierge service one bad ever 	 hotel fairly recently refurbish give 5 - star rating sorely disappoint level service , particularly concierge . be hope make reservation dinner , suggest research make call . request late afternoon assistance make reservation dinner wait concierge desk call we back inform we reservation make . receive call back despite wait least half hour long decide make call restaurant . inform concierge bother help we , apology delay get back we , clearly appreciate fact already late day would need know reservation secure . another annoying experience although ask preference regard newspaper , none find door morning , call newspaper deliver . one day hotel lobby , request assistance help we contact taxi company direct we payphone hall . guest hotel , make feel unwelcome shabby treatment experience expect 5 - star hotel . disappointing overall would return . 
 Jul 6 2009 	 Sooo nice 	 short , great hotel , upgrade room river view - 's must . also go room higher get well view stop tree block view . tv shower , plush furnishing , even doorell likable . maybe bit expensive side , one good Hotels London ' ve find . 
