cleancomfyperfect 	 second stay travel inn 42nd street . even knee damage find location theatre shop ( time square ) within comfortable walk distance . I book single get double double , near lift request . forgot hair dryer uk USA adapter provide ( hair dryer room , plug request ) handy later check 12 pm , still get run last min errand last day . easy walk subway port authority . also across street drug store food nearby . fridge microwave room nice touch warm . can not fault place price location . small cozy , well look helpful staff . will return def . reccomend NYC traveller want comfort budget location ' the thick ' ! 
 Jul 28 2009 	 Good Hotel still problem ... 	 many good thing Hotel unfortunately stay couple bad experience . will start good : - hotel excellent location explore Manhattan . close Time Square well within walking distance many major NY landmarks- hotel clean well keep . room clean , comfortable large enough three adults- swimming pool great end long day sightseeingnow bad : - fly London late arrival NY . call Hotel night check confirm booking let know would not check 11 pm . arrive tell not room we send we one hotel night ( Hotel Riverside ) . know quality hotel would stay . hotel smell terrible ( ' m still unable describe smell ) , first room check we not make , second mouldy food fridge . air - conditioning make huge amount noise without cool room night could hear sound like mice wall . book Travel Inn offer Hotel Riverside , even one night , ACCEPT ! ! - first night actually stay Travel Inn group incredibly noisy guest come back night 3 45am decide sit directly outside room window , drink make lot noise ( really hotel fault , grant , still irritate ) .- one bag lose airline deliver hotel turn . keep ask reception tell not arrive find security room . later night ( 12 30am precise ) receive call reception tell we bag arrive could pick . maybe ' m get little old 12 30am sleep time would thought anyone small amount common sense would call we breakfast time , middle night ... anyway , good get chest . like say title , good hotel , three bad night sleep five night stay really give hotel 2 5 star . end day , everyone experience different still good aware . 
 Jul 20 2009 	 clean comfortable close subway - locate close Lincoln Tunnel 	 stay hotel four ( 4 ) day . room clean , staff pleasant work reasonable rate June . parking free . short drive exit Lincoln Tunnel onto 11th Avenue short walk subway station 42nd Street . deli adjacent hotel serve good food reasonably price . breakfast twice . since first visit NYC , unsure stay , whether take subway take tour bus get around town , eat , etc . help information friend able peruse Trip Advisor . after take subway first evening , decide use mean transportation remainder stay . limit amount time fast mode transportation us use . I recommend hotel . hotel old bathroom small new , date hotel , really , much time really spend hotel NYC . 
 Jul 11 2009 	 Great Location - Free Parking 	 come overnight stay elderly mother 4th July . accomodate staff . love free parking location great . walk Times Square purchase theatre ticket , walk show , walk dinner . nice restaurant along way . room plush , nice . give room rating 4 , bit dark . difficult read . , noise sleep comfortably . note purchase Expedia : booking provide two double bed . hotel available , good accomodate . case , hotel book 4th double bed room available . hotel offer waive fee rollaway . would stay . 
 Jul 11 2009 	 Wow 	 Situation amazing ( midtown , close Times square ) price goodparking include ( one Manhattan ) staff great ! 
 Jun 16 2009 	 Perfect ! 	 ample room space , perfect location minute walk Times Square . deli next door perfect breakfast every morning . not noisy consider police station across road , train line run outside window create bit - use though fine . besides , expect noise NYC do not ! ? certainly would not let put stay again . the staff could well , could not complain . 
 Jun 15 2009 	 GREAT price . good location . friendly staff . clean . 	 NYC , hotel long enough shower sleep , hotel perfect . room not huge plush , say , serve purpose need excellent rate . everything clean . staff helpful direction , suggestion travel certain place , info quick way , cheap way , call driver we , get we extra towel , pretty much anything . arrive early first day , last day , flight check time , day , keep bag we security . deli next door great place eat tasty inexpensive breakfast . location couple block Times Square one way , close Hudson river way ( handy Circle Line boat tour ) . also , police station across road . night , quiet dark , sleep well . would definitely stay go back NYC . 
 Jun 15 2009 	 Great Location confortable room 	 wife come back 4 night stay Travel Inn really enjoy experience Manhattan . hotel centrally locate 42nd Street . first NY experience , location grant easy access Times Square within walk distance able enjoy Broadway show , . addition , subway station nearby facilitated access downton uptown area . since check Sunday , manager grant we late checkout confortably lunch pack stuff airport . drawback internet service fee . , would not vacation still online . please take note book stay Expedia get 3 night 1 free night . great deal consider expensive NY hotel . 
 May 20 2009 	 Amazing Deal 	 great location ! walk everywhere always close hotel . friendly staff , clean , free parking bonus . price excellent consider location .. can not wait stay ! 
 May 8 2009 	 good place price 	 four we stay two night attend lighting show Javits . third forth time stay . location great show . walk three block be . walk several resturant Times Square without problem . would not want take wife romantic weekend , look take couple show , price factor , would not hesitate book room . big complaint european bathroom huge compare one Travel Inn . business hotel think worth look . 
 May 6 2009 	 Disappointed ! 	 truely disappointed hotel - expect well ! + blue tape room door ( remove arrive ) - check 2 pm - get room 11 pm - not tape remove . + the tv give horrible reception.+saturday morning cleaning person knock door - annoy - know someone room ! + Room need remodel know well - internet look deceive . 
 Apr 30 2009 	 well price well locate Manhattan hotel 	 get excellent deal hotel book basis good review unsure area . concern however , surround area fine , 3 block Times Square feel fine walk back night . M42 bus stop right outside hotel extremely handy near sub 2 block away . plenty eat choice surround area away main tourist area - Deli next hotel excellent value breakfast staff friendly . room well expect - plenty space , 2 double bed , fridge , microwave view Empire State Building . clean fresh . shower bit puzzle , room perfect . maid friendly , handy man hotel however front desk staff could customer service training . got impresson existence nuisance . key card take shot fail work get reset every couple day pain . complaint though , aside front desk staff hotel great choice would stay . 
 Apr 23 2009 	 good location value free parking 	 's nice clean hotel far walk Times Square , theater restaurant . room little hot stuffy , open window could hear outside noise -- especially since across police station . would still recommend hotel be stay couple night . 
 Apr 16 2009 	 overall little disappointing ! 	 recently stay Travel Inn five night expect little well read many positive review . room one small double bed ( ask two booking ) , fridge / mini bar appliance . cleaning maid knock door morning 8:30 little annoying . Fitness centre date limited exercise equipment door pool lock . staff generally cold unwelcoming . good thing hotel typical NY diner next door . staff far friendly breakfast good ! 
 Apr 7 2009 	 another Good Stay 	 stay Travel Inn three time time clean problem . location good . short walk Times Square . free parking great also . never use pool , always appear look clean . get warm room way turn air , open window . price get pretty good city , price upcoming stay October price almost three time much . worth much . 
 Mar 30 2009 	 Nice Hotel 	 state previous post ; good central location , free parking , great deli downstairs , invite outdoor pool , large room , get great winter rate less $ 100 nite ... negative would clean sanitizer spray use elevator - hotel need switch cleaning product strong ... 
 Mar 29 2009 	 Best Value Manhattan 	 Family 3 travel exchange student Japan . room LARGE enough roll away bed . Room come microwave refrigerator . walk Time Square 10 - 15 minute . feel safe -- due Police Station across street . offer bath amenity . room clean . negative other mention heating system .. room warm . gift shop open limited hour 7- 1 pm , get 24 % discount item . location deli/ supermarket / bus depot subway great . we eat Westway Diner 43rd 44th Street .. vote Best Diner Manhattan NY Daily News ... good ! ! ! ! huge menu open 24 hour nice service . 
 Mar 22 2009 	 spotless well situate well expect 	 four we stay ( 2 adult 2 school - age kid ) 3 night March Break . satsifie hotel . room large , bathroom update whole place spotless . room overlook courtyard noise street problem . could see Empire State Bldg . doorway ! Deli next door convenient starbuck one block south provide good coffee / tea . 
 Feb 18 2009 	 comfortable stay . 	 comfortable hotel , great location . staff nice , fall love deli right next hotel - much hunted follow week . I would prefer room window , window face main hallway , pool area , afford air circulation . 
 Jan 30 2009 	 great place stay- find super deal rate include parking . 	 make 2 day visit NYC MLK weekend . Stayed Sunday pm 2 teenage grandchild . surprised pleasant staff , clean room . special soap lotion .. usual cheap sample . big surprise free indoor parking . even let we keep car garage till 5pm several hour checkout . super deal price less $ 100 . discount AAA AARP . outdoor pool .. January ... neighborhood well anticipate , W 42nd 10th ave .. 
 Jan 27 2009 	 Travel Inn around great ! 	 friend stay Travel Inn Jan 16th-21st . wary b / c review great , chance anyway b / c 3 reason : 1 ) free garage locked parking ! find free parking New York shock secure inside warmth safety lock garage . 2 ) LOCATION -- need something close theater district Colbert Report -- 2 main reason make trip . conveniently locate could walk , 3 block Times Square . add bonus across street police station.3 ) price -- one really make we wary b / c seem cheap -- 116.00 night . we extremely satisfied choice . arrive early check time , let we go ahead check . pool quiet . sleep quite soundly . we need extra towel b / c shower arrive due drive , morning . go ask , nice ... even let go w/ laundry get they . desk staff always friendly helpful . clean lady also . problem water pressure , always bad hotel ... t.v . , 2 station come , really not long enough shower sleep .... elevator door ; quick hurry , get use quickly . the ice machine good ... floor . even vend machine normally price . I want make sure get good review . great budget want make time NYC ! 
 Jan 21 2009 	 enjoyable place stay 	 friend stay hotel 3 night January 5 - 8 . check many review find hotel suit need also get good review . we arrive shuttle bus La Guardia around 1 pm . room ready ask early check . room top floor ( 6th ) end room . back hotel overlook pool never hear sound . the 2 young lady Reception helpful give we map point various place want visit . the room 2 double bed comfortable , nice black fridge microwave , small wardrobe , small washroom . tv lot channel dresser . suppie hair dryer , shampoo body lotion . small gift shop hotel . gentleman phone confirm shuttle bus reservation . the deli next door good sandwich . Food Emporium supermarket close hotel turn leave front door . find everbody speak Manhatten helpful . the subway convenient . pick ticket Opera get Lincoln Centre . walk Broadway next day see & quot ; Equis & quot ; . walk St Patrick 's Cathedral museum . far take taxi reasonable . we find excellent high class chinese restaurant acoss Lincoln Centre . also fantastic Japanese Seafood Buffet Restaurant 32 nd Street 5th Ave . pleasant walk hotel . I would hesitation recomende hotel anybody want good clean hotel pleasant staff . 
 Dec 15 2008 	 right need ! 	 travel 2 adult child , 2 young grandchild boyfriend NY . budget never NY idea stay . hotel pricey leery hotel good price arrive hotel friendly . staff allow we park garage early morning day check . ( trust parking NY nightmare huge perk hotel ! ) parking secure garage easily accesible . front desk staff nice room clean . hotel 42nd street quickly discover middle everything ! able walk every want go ability come back room without travel far . stay one night staff allow we leave car garage 5:00 day check . would recommend hotel anyone can not afford Ritz Carlton ( save money wonderful food chinatown ! ) want middle everything NYC . plan another trip NY Spring stay Travel Inn ! complaint elevator slow . 
 Dec 8 2008 	 Travel Inn - NYC 	 daughter spend weekend ( 12/6 -12/7 ) NYC ; stay Travel Inn 515 West 42nd Street happy hotel . room nice microwave refrigerator . thing not like regulate temperature room ; open window fine ( buy earplug trouble sleep ) . area fine ; several apartment building area many local people walk around . police station directly across street area well light . deli right next door hotel not even go outside get ; walk parking garage step . side hotel liquor store . block half street Food Emporium ( large grocery store ) little side street & quot ; Theater Row & quot ; diner . food good price reasonable . hotel two block Port Authority not take cab . hotel free parking garage want drive city . staff nice helpful . great outside pool ; course not get use since thirty . pleasant expeience probably stay next year . would recommend hotel . 
 Dec 7 2008 	 terrible service bad discourteous hotel reception ever experience 	 totally agree boundary terrible hotel . one bad hotel ever come across 20 year travel . cold unfriendly reception staff except one lady morning duty . male receptionist maybe owner ? ? ? stare , never even bother smile greet guest , sit seat give unfriendly look ! location ok nothing great price pay . definitely recommend anyone stay look staff simply spoil holiday mood . room ok definitely remove / retrain reception staff owner hotel first impression hotel bad unfriendline . owner , well Service industry ! 
 Nov 29 2008 	 love N.Y . 	 clean , affordable , conveniently locate hotel . parking off - street enter garage hotel . lobby right enter . room average fridge tv , clean . realize unpack train track run room would hear . ask another room give one without problem . 's outdoor pool . first worried rear door directly pool feel secure second exit need emergency . sure indoor pool . location plus shopping nearby coffee shop next door . internet access lobby . would definitely stay short visit city . 
 Nov 28 2008 	 quite alright family trip 	 visit New York twice , finally mom two sister I . I know quite high expectation want find nice , clean , quiet hotel great location ! think hotel well ever . tough judge ( sister mom ) one complain : streetnoise ! 's hard avoid stay central Manhattan . the room clean maid give we clean towel soap everyday . the room two doublebed . fridge , microwave television . table chair . bathroom clean , traditional tub / shower combination . lot light big mirror . the closet quite large also mirror door could make sure clothe alright leave room . there nice diner across street another one block away . supermarket within 5 minute walk . 13 minute walk Times Sq . bus right outside hotel go crosstown . I would absolutely recommend family . single travelling would say that s bit pricy .. 2100 dollar one week - 4 person . 
 Nov 22 2008 	 good location good value friendly staff free parking 	 please stay 3 night . great location close Times square calm . close subway bus station . friendly staff huge room . free parking amenity room . recommend hotel friend relative . I give hotel 3 star . 
 Nov 16 2008 	 great location fair hotel 	 stay 3 night run New York Marathon arrive Halloween , great - buzz city . go part package Sports Tours uk.the Travel Inn lodge type hotel connect Travel Inn group . part Empire Hotels group . hotel locate Manhatten 42nd Atreet , 9th 10th Ave . min walk Times Square , Broadway , 5th Avenue etc . location good get around . our room 7th 8th floor adequate , require amenity fade rather small , suppose fair size major city centre hotel . bathroom adequate , small fade . bar restaurant , numerous place eat within 2 min walk . outdoor pool look nice , check temperature . large supermarket block . Police station opposite , give siren noise , hotel New York - 's quiet city . our problem 2 small lift seem permanant use wait age time . a fairly non discript hotel , good location night . comment value , part package flight , race entry etc . sport Tours use every year . N & amp ; B 
 Nov 15 2008 	 Great Location . 	 Family four ( two daughter 8 5 ) stay Travel Inn Nov 11- Nov 14 . location great . block away Times Square . inside room face pool . room quite warm open window leave open entire time ( except 5 - awoke . street noise open shut pretty quiet . ) room small , typical chain hotel size two double bed . bed bite hard , sheet clean soft . bathroom clean , shower stain old . needed refinish . place towel floor tub shower stand . refrigerator microwave great value . buy milk instant oatmeal eat breakfast room . bite tricky without table young kid , worth effort save $ 20- $ 40 breakfast . would stay . location really great . price good ( $ 160 / night ) . orignally book hotel room $ 200 / night . go back website find rate drop $ 175 night , hotel change . go back webisite night arrive rate $ 160 / night . hotel change rate problem . the Veterans Day Parade day arrive hotel street close . would great hotel would inform we parade would start 11 cause street close traffic much bad . parking free hotel . car hour , sure easy get garage . bug , roach , rat ! overall , good value pricey New York . , location great ! ! Accessible Port Authority get Subways walk distance Times Square . 
 Nov 14 2008 	 unfriendly front desk Moneyface limo 	 location ok service terrible . the front desk staff want stand rather sit desk behind counter response query . unfriendly response attitude.we ask front desk take taxi limo . say hotel Limo good choice US $ 50 taxi limit . morning leave , see many taxi outside reckon cost US $ 35 taxi LGA airport.while leave hotel , 10mins late limo service , airport driver demand U $ 15 we late . want pick argurement pay . ok pay $ 15 share experience dozen friend always travel . 
 Oct 27 2008 	 good location good price . 	 book hotel many month prior visit excellent price get decide stick despite mixed review . overall glad do . thing get auspicious start receptionist could not find booking although promise room . when return ' busy ' ( quote ) ' forget me' . when could eventually check - in pleased size room ( 2 king size bed ) facility . fridge , microwave , iron etc etc . I balcony overlook pool much quieter , imagine , outer room . everything clean bit tired , bathroom particular could do refurbishment . the location good , far Times Square subway station . there also good Food Emporium ( supermarket ) block away handy . one thing throw bit fact in - room heating facility - the management decide 's cold . fortunately idea cold mine seem tally . I would recomend hotel anyone look location price luxurious living . it be Ritz pay Ritz price 
 Oct 20 2008 	 impressed 	 make reservation 5 night hotel . arrive , informed room available one night . tell we could check counter follow day see anyone cancel reservation . meanwhile , would put we waitlist . offer kind assist we make another reservation another hotel - simply & quot ; wait till tomorrow & quot ; .As want take chance , decide make reservation another hotel via internet cafe . next day , check , offer check whether room available . not really care since already book another hotel . end happy hotel decide extend stay instead . on whole , would say front desk staff really friendly helpful . speak different staff different shift , experience pleasant . room quite small though adequate . however , room stay , one squeeze tiny shower door get bathtub/ shower . size 10 - 12 , friend size 12 - 14 , even find bit tricky . that say , hotel good location decent price . still , could hunt bargain . US $ 20 + night , managed get room Hampton Inn promotion . 
 Oct 5 2008 	 excellent value pool ! 	 choose hotel really want able swim Manhattan catch US Open tennis . pool quite large , clean , great bonus . room large NY . staff helpful pleasant . fancy place , perfectly clean safe . 4 long block along 42nd St. Times Square . 
