happy 	 always travel , stay many hotel , really like helpful happy staff ! ! 
 Fantastic View 	 two word , " Awesome View " . give amount high rise building Shanghai , location tower 360 degree unobstructe view city . lobby start 38th floor room go 60th floor . the room typical Marriott size nicely furnish . extensive food choice around Shanghai , use hotel 's restaurant . read construction around Bund preparation 2010 Expo , glad choose hotel near Bund construction 24 hour . JW Marriott centrally locate Nanjing Road West within walk distance Nanjing Road East , shop locate . disappointment Tomorrow Square , turn shopping area , one giant restaurant . overall , would recommend JW Marriott Shanghai . 
 great hotel convenient location 	 great stay - hotel convenient subway , ideal we get around city quickly . concierge lounge good - breakfast include congee , dumpling , selection pastry , couple hot dish , cereal , fruit etc . not seem like lot look around room , actually plenty selection . hor d'oevre also good many time would come CL snack enjoy view . do not chance try pool look amazing ! one caveat - rollaway bed friend find bed hard . ask 2 extra duvet could sleep top - ' m sure housekeeping puzzle get promptly request : ) need rollaway , may wish reconsider get another room . 
 Jun 6 2009 	 wow ! 	 far good hotel stay China , Asia . absolutely beautiful , modern yet traditional , staff could help try . check - in quick efficient . last time stay , leave cosmetic room , housekeeping keep 3 month return . much help everything ask , book train ticket borrow umbrella . the breakfast overwhelming choice : fresh fruit smoothie , waffle egg make / cook front , baffle array pastry , juice , dimsum , cereal cater practically every taste diet possible . the gym really well equip sufficient amount weight cardio machine , fabulous indoor pool , jacuzzi , sauna steam room almost rude use it . the bathroom great massage shower plenty product . bed comfortable - beyond description . this hotel great location work , plenty hour well . pricey , facility , staff location make worthwhile , make want stay far long 3 night . 
 May 27 2009 	 great hotel - close ` ` real '' ` ` knock '' shopping 	 JW Marriott Shanghai continue hotel appreciate love quite , clean room great service . locate busy Nanjing West Road ( Nanjing Xi Lu ) , 60 story hotel / apartment complex close need well shopping ( knock shopping – read ) , sight Shanghai ( Bund 10 minute away Taxi ) . go Shanghai business , might want pick hotel close office ( likely ) spend lot ( lose ) time taxi give traffic . check floor 38 , hotel 60 floor total . happen Marriott Gold Platinum , executive lounge 59 great view . one minor point ' allow guest executive lounge without pay extra . hotel nice room , good bed , high quality service one come expect South East Asia . service level hotel quite high – consistent throughout floor function . restaurant Hotel : breakfast ( include rate Gold / Platinum ) well stock , wide variety food quite good . however , 190 rmb ( $ 28 usd ) ' find good value , find far expensive taste . restaurant hotel similar , good food price easily beat go street get recommendation staff . get Hotel : get hotel airport 150 rmb taxi ride , " rich " schedule pick Audi A6 via hotel mere 690 rmb . China unusually safe country , recommend local taxi low rate ( even first time traveler China ) assume degree adventure / interest . travel , print hotel going web , alternatively , land , desk arrival lobby baggage claim someone write hotel Chinese ( case taxi driver ' understand English ) . take 50 minute , depend traffic . get Hotel – Maglev ( magnetic levitation train ) . alternative , ( never do – ) take Shanghai Maglev Train Airport Long Yang Road station . Maglev train run every 15 minute airport , travel speed 430 KPH ( 250 mile per hour – top speed vary somewhat time day ) . take 6 8 minute go airport Long Yang Road station , another 20 30 minute taxi ( 50 rmb taxi ) hotel . cost train 40 rmb ( post 50 rmb , sure 40 rmb ) , well worth tourist experience . half way airport station , pass Maglev train go direction sound bit like sonic boom . eating - look local restaurant late night arrive hotel . prior visit , leave exit go right , circle block take right hand turn . course , McDonalds directly across street , go China McDonalds ? time , exit LEFT main exit , cross Nanjing West Road , turn slightly right . past Porsche dealership / showroom , take first street LEFT . go one block , find number restaurant open 2am ( 5 minute walk ) . eat two different one , get great meal fraction Marriott charge 40th floor . bit caution restaurant seem function mostly chinese ( marginal English ) although menus photograph fun try chinese skill . enjoy food sterile ( yes , perhaps double entendre ) restaurant Marriott . recommend experience bit adventure , want eat inside hotel – wallet thank story tell go home . Knock Shopping : remember good old day Xiangyang ( Xiang Yang ) market Huaihai road , closed government June 2006 . familiar open air market , could find anything , everything fake knock . look taste Xiangyang market , ' mind hassle negotiation ( buyer beware – negotiate hard … . mean really hard ) small version Xiangyang street JW Marriott . go left front door , go Left Nanjing West Road , go 5 minute bridge ( police station corner ) . go another 2 minute right hand side 4 story building locate 580 Nanjing West Road – contain small , yet lively version Xiangyang market . 580 Nanjing Xi Lu -- beware – fair warning – everything build fake … .. everything . might look real , label might say 100 % real – ' . seek dvd , Watches ( Rolex , Tag , name ) , North Face , Caloway Golf Clubs , Polo shirt , Crocs , Purses ( name brand ) anything else brand name — here . also local souvenir product sell building look gift . say vendor " aggressive " , well negotiate hard huge ( huge ) understatement . give example , " wine holder " look like chinese outfit bag -- - start price somewhere 45 65 rmb … .I buy 5 rmb – yes , less 1/10th start ask price . fake pashmina start 145 rmb 15 20 rmb . fake Rolex watch – start 600 1000 rmb sell 110 rmb . pair Crocs go 50 rmb . dvd still run $ 1USD ( 7 - 8 rmb ) bargain hard . start ½ price , vendor expect , make killing . highly recommend try multiple booth general pricing start buy – walk away get price " shout " guess " real " price . note fairness , toss price , meet , honor offer – careful putting might consider " low ball " offer might end " overpay " . trust tell even price – vendor make money . stay hotel several time past well Ritz road . rate approximately 1300 rmb $ 195 usd per night , hotel deliver consistent product solid value . rate escalate ( opinion 2000 + rmb ) , depend pay , value proposition shift significantly plenty hotel Shanghai consider value basis . 
 May 3 2009 	 solid business hotel good location 	 stay JW Marriott business trip four time past three month . location excellent ; taxi driver know pinch draw picture rocket shape building show ! like stroll around park across street morning business meeting . room nice usual five star convenience . bed comfy handy reading light . room internet RMB 50 per day work fine . chinese restaurant good . local shanghaiese friend say dim sum one good among major hotel restaurant . cigar bar merely ok . room service breakfast pretty average too . only real negative pretty hard get cell phone reception room upper floor ; may go lobby use phone Blackberry . overall good choice international businessperson traveler want five star amenity . 
 Apr 18 2009 	 stunning property great service ! ! ! 	 stay JW Marriott Shanghai husband 5 month old baby receive fabulous service entire team whilst enjoy stunning accommodation . hotel really perfectly locate thing must see Shanghai - back 
 Mar 26 2009 	 5 * - nothing say really 	 stay hotel Marriott point . despite upgrade room executive floor ( although without associated privilege ) . neither wife could really fault hotel . check - in excellent room comfortable great view Tomorrows Square . location superb want heart downtown Shanghai . do not really use hotel facility swimming pool ( indoor one bit boring / bland otherwise excellent probably lot nice summer outdoor pool open well ) gym . gym spacious airy lot well maintain modern kit . charge pool gym . do not use in - room interent ( charge ) use Blackberry free wifi lobby work well email web browse even checking - in online . right across street within couple minute walk plenty food outlet breakfast Tomorrow Square tube line couple minute walk . go hotel take Maglev airport ( 50 rmb 300 kmph ) get tube - can not go wrong English - quick , cheap interesting way get hotel . we would stay flash . 
 Mar 23 2009 	 nice business style hotel 	 rely bit memory bank one , typical 5 star style business hotel . reception actually half way highrise make good view . breakfast good . service professional courteous . location good near main street lead way bund . moderate walk xintindi ( sp ? ) restaurant area . plush hotel like jw marriott . Shanghai good fun , like large HK prefer Beijing piece China 
 Dec 9 2008 	 Great Hotel - stay many time . good place Shanghai . 	 stay many executive level hotel shanghai area one choose go back . first , location hotel important shanghai due horrendous traffic problem . hotel well locate business pleasure . lobby hotel start 38th floor nice building . like go hotel long day chaos shanghai , feel like really go away . lobby level , go another set elevator take room . room nice , marble bath , awesome comfortable bed ( huge plus china ) . standard room small , always book room level 2 standard get spacious . corner room nice window overlook city . thing room not flat screen tv , 's standard tv . would seriously complaint . nice choice restaurant , good location rarely eat hotel - walk something nearby . 
 Sep 20 2008 	 Mediocre Hotel Shanghai 	 last stop China trip aesthetic hotel great staff mediocre good . great location city , not trust concierge ' aware though staff see fluent english phone operator necessarily able comprehend well speak mean screw appointment general information . Mandara Spa , provide great service , tick advertise special hotel provide & quot ; not product & quot ; ; well hey take sign advertise special . go Le Meridian check spa actually get well info site show concierge staff JW . overall JW standard . PS : not go hotel offer use van airport , budget time go meter cab , gteed cheap . great alternative use , catch Maglev train take 8 minute Longyang Road station Pudong . 
 Jun 12 2008 	 Loved JW Marriott Tomorrow Square 	 JW Marriott Shanghai truly wonderful . two room four us club floor . room spacious comfortable , really nice bathroom . celadon green porcelain accessory , pretty , artful spray fresh flower every day . ( especially appreciate lot place put thing ) club room nice , variety seating choice outlet laptop . view club lounge 59th floor wonderful view People 's Square Shanghai skyline . breakfast club floor ok , sometimes bit odd ( find last day would custom egg , never tell 5 night stay ) . staff dismantle breakfast , snack etc . militantly time appoint . come breakfast even 1 minute late , would luck . snack wine good . club floor privilege come FREE LAUNDRY . HUGE probably save we hundred , able leave everything clean . lobby hotel 38 , take another elevator room , sometimes seem hassle . California Grill restaurant excellent , chinese restaurant . location short cab ride Bund across People 's Square include Shanghai Museum ( wonderful ! ) sight . indoor / outdoor pool attractive nice place sit and/or swim . staff helpful arrange transportation ( four people usually need minivan ) one day arrange guide we short notice tour French Concession . guide driver good . all hotel welcome , luxurious respite end hot sticky sweaty day sightseeing . 
 Jun 11 2008 	 stunning builide decent room jw - level service 	 JW title give top Marriott hotel expect top notch experience . as taxi pull curb - side , offer help bellboy take luggage half party lose traffic airport hotel , decide wait downstair waiting area . party arrive , take elevator lobby 38th floor . guest counter , leave counter 30 second agent either work other chat pay attention . one finally come around , welcome greeting . lack greet something see JW . rest checkin quick although passport photocopy . see highend hotel China . offer exec lounge priviledge 600 Yuan / day . since plan day hotel , decline offer . to get room , take another ride lobby 44th floor . room furnish cherry wood color pleasing eye . twin bed comfortable soft . work desk chair TV / mini - safe occupy opposite side bed . tv old tube - type , something would expect 5 - star hotel least JW . wall wall windows offer stunning view tomorrow - square park . although view Pudong side partially block Meridien Capital Land building accross park . marble bathroom roomy good amenity . bathtub also water jet please other - half . stand shower also lovely water pressure decent . the location JW - Marriott outstanding . within block well - know shopping street Shanghai subway station accross street , get anywhere Shanghai efficiently . Bund 15 - 20 minute walk hotel . if JW , would fine hotel separate run - of - the - mill Marriott JW always service . hotel deserve moniker JW . 
 Jun 1 2008 	 stone leave unturned . sensational . 	 Perfect every imaginable way . upgrade junior suite sensational view . room incredibly clean comfortable . everything might need provide - include small gift ( teapot ) take home ! wonderful room . term amenity , pool awesome restaurant . Breakfast include exemplary homemade sausage , espresso coffee freshly squeeze juice . superbly do - everything PIPING HOT ! offer food small quantity - thus ensure 's freshness hot temperature . WOW factor every way hotel . management staff deserve nothing praise . thank much - special thank upgrade accommodate 2 young child comfortably . note certainly appreciate . would recommend place without doubt whatsoever . 
 May 22 2008 	 terrific service 	 one corporate hotel Shanghai . loved location near everything . train station like 5 - 10mins walk away . within walking distance major shopping mall & amp ; food . fantastic view room get see city view even 's smog . after long day work , good place R & amp ; r lounge enjoy city view . staff polite & amp ; helpful especially ' m get advice go night out . however .... thing hate take lift lobby 38th floor change another elevator hotel room . irritate rush . 
 May 2 2008 	 Superb apartment luxurious facility service high kind 	 stay month service aparment JW Marriott Tomorrow Square Shanghai experience second none . build incredible stand congest illuminated Shanghai skyline , make feel be stay somewhere special . first 30 floor apartment 30 floor hotel room . I stay studio , though could large , luxurious comforable . main part room comprise giant bed matress foot thick mean one simply hit bed fall alseep straight away . main area also sofa tv area also little dining table . one side room nothing giant floor ceiling window incredible view Shanghai . furniture expensive hotel take short cut . kitchen small fully equip fit kitchen , oven , cooker , washing machine , dish washer , extractor hood , sink , large fridge / freezer come cooking utensil , pan , cup , glass , plate , bowl , tea , coffee , sugar , milk etc . never really usd kitchen though many place eat out . the bathroom nice , good lighting , Kohler bath , walk shower two side jet stream water well powerful main shower hose . bathroom fully equip restock free shampoo , soap , fresh luxury towel , fresh bathrobe etc . when arrive complimentary bottle wine , quite lot free beer fridge snack . fee . 's mini bar apartment . as apartment resident get use hotel facility get 25 % room service , shop etc . gym free good . two pool ( one inside one outside ) great , sauna steam room , part price . food restaurant ( also room service ) nice food , fresh tell come straight pan deliver room . the lift excellent efficient service always high order excellent english speaking staff . week staff know name also impress I . the food court ground floor sell good quality western meal lasagne , sandwich , pizza , sweet , cake , wine beer well western magazine english newspaper . the Mandara Spa luxurious addition hotel provide massage spa facility beautiful relax authentic surrounding . probably one good massage spa East Asia though pay . good hairdresser . haircut cost 130 rmb.location wise , right bang middle good part Shanghai . affluence area illustrate Ferrari Maserati showroom adjacent hotel Porsche Mercedes showroom directly opposite . though expensive , ( cost 28000 rmb month , be 4000 US dollar ) , money well spend afford . 
 Apr 21 2008 	 good business hotel great location 	 JW Marriott fine hotel . business hotel , hard differentiate mass business hotel Shanghai , make stand ... ? 1 . location Tomorrow 's Square great . could not ask somewhere central , well access Shanghai . 2 . view great ( smog ) . reception 38th floor guest room upwards 40th floor . 3 . shower 3 head massage end long day.4 . executive lounge large comfortable , offer good selection food & amp ; drink . the restaurant good ( great ) - standard hotel calibre . meet room good notably , air - conditioning work properly hold temperature . two small criticism ; ( 1 ) whatever produce season ... every dish , every day ! ( 2 ) take lift room 38th floor & amp ; separate lift 38 ground get tedious day . 
 Apr 11 2008 	 good location a - typical JW 	 location good Shanghai Museum , People 's Square Xintiandi within walking distance . marvellous experience JW Beijing anticipate similar service level room standard not quite par . Decor room dark wood plenty window let light . breakfast buffet plentiful dinner Wan Hao good quality ( although pricey would expect ) . Stanley Yin - Front House Manager - incredibly helpful offer many tip eat / drink city . get cab go ' face bar ' relax drink Colonial atmosphere . big let hotel staff stand wait hand tip absolutely everything . seem hospitality receive Beijing ( come expectation financial reward staff ) place . shame . like tip good service rather nod head . ground floor small cafe sell good quality sandwich , snack bottle wine cheap pay 38 floor ! overall good base , would recommend 's league JW 's stay . long expectation mind will not disappoint . 
 Mar 27 2008 	 Great Hotel Location 	 easily find hotel arrive Shanghai , reception desk veryu friendly efficient chinese know . room 48th floor comfortable every amenity bed sooo comfy . restaurant staff hover be meal distract view ambience feel , may . concierge desk ground floor knowledgable forthcoming straight away ' add fee ' service - watch , expect guess hotel calibre . overall comfortable enjoyable stay , good location within easy walk distance metro line shopping area park close . high end scale far rate concern top hotel well look honour guest . 
 Feb 25 2008 	 go downhill 	 stay regularly past 3 - 4 year , usually 4 - 5 time per year , know well , recently notice decline satisfaction stay . say that:1 ) room temperature- prefer fairly warm , last stay notice room cooler hallway control room work . always call complain , send engineer come measure temperature inform manually increase temperature . purpose in - room control ? ? ! ! 2 ) internet service- past week absolutely terrible- room executive lounge.3 ) food- November eat executive lounge night leave get food poisoning.4 . Gym- 's nice gym , recently hardly anyone monitor actual gym person front desk near elevator . also , use fruit bowl front desk , ask it . time reconsider will stay Shanghai . 
 Feb 17 2008 	 average room service 	 one three hotel stay Shanghai . rank number 3 shangri - la Pudong Radisson New World . room average Marriott , befit JW . even junior suite impressive . drab green carpet unimaginative decor . would return hotel well choice . family suite Radisson New World twice size much modern price . place hold candle shangri - la Pudong ! 
 Feb 6 2008 	 Great Hotel - Business Trip 	 stay hotel several time continue several time year Shanghai business . hotel heart downtown area . nice upscale . beautiful view city top floor . service always good . Laundrey service good . gym good view city well . would highly recommend traveler Shanghai area . 
 Jan 18 2008 	 simply great hotel ! 	 complete 2 week stay Executive Apartments hotel . entire experience describe post excellent ! room simply perfect . spacious , well appoint , comfortable , excellent view city . staff hotel responsive hotel ever stay . request respond almost instantly . go way make sure comfortable . room service fast , accurate , food excellent . room service menu , little limiting , many choice hotel include several excellent restaurant , concession stand lobby sell pre - make meal . great location near many business local attraction . internet service hotel also excellent always case China . total five star experience . 
 Nov 26 2007 	 JW Marriott -- Terrific 	 return 5 day JW Marriott Shanghai . , 4th stay hotel past 2 year , confirm view JW Marriott deserve top grade . room ( view ) terrific . location marvelous ( contrast Four Seasons ) , Nanjing Road , walk distance Bund , near two subway line , 10 - minute walk Xintiandi otherwise centrally - place ( unless , course , business Pudong , area offer great hotel ) . Marriott well - maintain shine ; three restaurant offer terrific food ; staff knowledgeable , accommodate friendly . Executive Floor Lounge spacious , comfortable offer free internet access . " JW " brand , Marriott attempt pierce top echelon international hotel ; Shanghai property , succeed . 
 Sep 21 2007 	 awesome hotel ' ve stay ! ! ! 	 JW Marriot Tomorrow Square hand good hotel ever stay ! stay 4 night November visit Shanghai . since Platinum member Marriot , family greet personal assistant check we escort we room ensure satisfy everything . also greet room exquisite bowl fruit beautifully package truffle . although room bite small side , bed overwhelmingly comfortable , hard get morning . also wonderful view 49th floor hotel room . additionally impress Excecutive Lounge nice airy provide great array snack beverage throughout day well complimentary internet access . Executive Lounge assistant nice offer many invaluable recommendation shop restaurant nearby . also cool high library world ( accord Guinness World Record 2006 ) , interesting check ! lastly , recommend Mandara Spa locate hotel . one beautiful spa ' ve ever . sister 2 treatment total approximately $ 100 ... deal ! ! also , hotel guest , get additional 10 % . private suite treatment spacious ( private bathroom ) beautifully decorate . aestheticians wonderful keep conservation absolute minimum could peacefully enjoy treatment . overall , location , price service impeccable hotel ! plan stay every time return Shanghai ! 
 Sep 18 2007 	 Best Hotel ' ve ever stay 	 think 38th floor lobby add safety feature resident JW Marriott . be well insulated random solicitation constantly go along Nanjing Rd yet be stroll away desire experience . be close Ren Ming subway station hail taxi prove difficult Shanghai , taxi stand constantly taxis wait outside 1st floor lobby . platinum member , upgrade 55th floor executive level room room face Bund . fresh fruit , box chocolate truffle , bottle water , varied selection tea wait room . tv channel include CNN , ESPN , CNBC , MTV , HBO , Showtime , Starz English . bathroom shower bathtub . Executive Lounge 59th floor provide drink top shelf liquor well soda , water , coffee , tea , juice , milk , breakfast , late afternoon hor - d'oeuvres , evening dessert everyday include weekend . full service gym provide iPods workout everything american could want free weight , cross trainer , treadmill . 7th floor pool oasis urban Shanghai jungle indoor outdoor pool lap recreation . JW Marriott well worth 2500 rmb price tag outshine hotel ' ve stay . 
 Sep 17 2007 	 Fantastic hotel 	 Marriott 's best- get happy stay Marriott property . lobby 38th floor room 54th floor amazing view . room little small side , Shanghai not really need spend much time indoor . many thing next hotel pay view & amp ; location . pool & amp ; spa little tricky find , provide oasis city relax & amp ; swim Shanghai 's heat . also staff restaurant attentive . Tip Shanghai : take Metro cross river cost 2 yuan rather silly tourist tunnel cost 35 . go dinner Xintiandi- really nice restaurant try shanghainese food sweet rest chinese food . 
 Sep 16 2007 	 fine hotel great location 	 although hotel clearly aim business traveler , stay tourist really enjoy . everyone note , truly first - class hotel stunning view lobby room . use mile stay , result not view towards river . still , complaint . lovely room 51st floor ... elegantly design , big , luxurious bathroom . also , tourist , note location excellent . 's hop , skip jump Shanghai Museum , run good museum country , Nanjing Lu , pedestrianize main shopping street . 20 - minute walk Nanjing Lu take Bund . not make french Concession , 's short walk hotel opposite direction . slight complaint , want echo point make early reviewer service : although efficient courteous , proactive way . hotel strive one good , disappointment . upon arrival , ask restaurant recommendation . one would offer hotel 's restaurant . helpful . , excellent stay . 
 Aug 28 2007 	 find indian chef ! 	 return home Tasmania magical tour around world . Marriott hotel rarely let we Shanghai exception . staff polite always helpful , room perfect spacious especially give upgrade arrival . memorable indian chef buffet evening always around make special treat indeed everything produce delicious difficult know stop eat . 
 Aug 13 2007 	 oasis CHina 	 idea anyone give hotel bad rap . please stop complain elevator next line rave great view . can not one without people . room beautiful shape incredibly clean . hotel make fall like be Chicago - 3rd world country . hotel car class Mercedes ( classy ) suit full wall window . ' ve stay Ritz Carlton , Grand Hyatt andn Shangri La among other - hotel head shoulder . great location walk shopping . english skill spotty across Shanghai place avg . Laundry come back less 4 hrs extra charge . 
 Jul 19 2007 	 bit dizzying ! 	 JW Marriott strong hotel . everything make 5 star hotel , somehow miss mark . room large , modern comfortable . bathroom nice & amp ; include relax , homey touch like fragrant bath salt . in - room tea station another charming touch . in - room internet connection speedy . gym & amp ; pool quite nice . spa fair , extremely accommodating . spa room quite small & amp ; aestheticians ' good though price would lead believe otherwise . food poor side , though good China . restaurant average . room service tricky – slow & amp ; need make sure spell thing exactly want else end " interesting " pairing ! service mediocre . everyone friendly , soon realize many weak understanding English , pose problem . american hotel catering business traveler , staff either speak well let know ' fully understand & amp ; seek someone else staff . language barrier lead quite misunderstanding & amp ; thus delay . lastly , hotel 60 story high ! ' even get lobby 38th floor ! delight people , scare death ! prefer short building . 1st night , never fall asleep nerve ! soon get hotel room , immediately shut curtain . last time , stay coworker " Executive " floor . never again … I learn executive floor ( ) top one . 
 Jun 12 2007 	 great stay could well 	 stay 3 night pleasure . hotel nicely appoint room great view ( request room view Pudong , get stuck look endless ugly high - rise ) . breakfast buffet wonderful well . only couple thing slightly tarnish stay.1 . staff always smile proactive . example : go airport 9 pm Friday ( peak hour taxi ) long queue ( 5 we ) wait front hotel car . 2 bellhop simply stand wait taxi pull hotel . obvious guest head airport tight schedule . 5 - star hotel , would expect bellhop intuitive / proactive , help hail taxi simply call taxi company ahead time make sure car stand guest use peak hour . 2 . check - in smooth check - out nightmare . 2 room , one room book Marriott Reward point room book online - Weekend transportation package ( inclusive breakfast 2 people 8 hour use hotel car ) . check , surprised additional charge suppose include . take we 15 minute go bill line - by - line staff . eventually , charge remove , one would expect hotel caliber , charge inclusive package calculate grand total first place . , check bill carefully check ! 
