Super 	 Stayed Tower one night business due overnight function London . the view room front hotel Tower Bridge , especially night , something see . room comfortable little small rate pay fine . breakfast morning plentiful good selection hot cold . check - out quick occasion - know slow . 
 Nov 1 2009 	 great location poor quality breakfast 	 stay 3 day end Oct . eat Brassierie night . food good , pricey . room clean , 3 single bed make cramp . hard get window see nice view ! service staff good . disappointment buffet style breakfast . food rock hard , never get fry egg not rubbery , bacon worth getting dry . also BT openzone wifi , free wifi fast become basic tv ... 
 Oct 27 2009 	 Excellent 	 partner stay & quot ; Tower & quot ; 1 night . stay fifth floor , room 565 exact find hotel clean tidy . room recently refurbish pleasant many mod con , particularly good underfloor heating within bathroom area . my comment regard room would window seem slightly unstable nevertheless impact stay spoil spectacular view tower briidge . plus first thing morning seem slightly loud time , coud clearly hear cleaner conversation , domestic appliance etc . I also highly recommend hotel term friendly knowledgeable staff , particular concierge team . lovely hotel , highly recommend invevitable will stay . 
 Oct 20 2009 	 beautiful view definitely need repair . 	 beautifully locate near Tower Bridge view river St. Catherine dock . repair do soon . bathroom clean could . water - tap move every direction . window old feeling open go . 
 Oct 12 2009 	 great location hotel pricey 	 location hotel good opinion , overlook Tower Bridge , minute walk Tower St Katherine 's dock . across Thames Butler 's Wharf lot nice place eat . dlr line minute away also , well thame boat stopsThe room whole lovely decor either modern traditional depend floor room . bed bath large , though room little dusty . room overlook Tower beautiful night . queue morning breakfast checkin / checkout , despite 2 breakfast room . would recommend , early breakfast use fast checkout time problem , overall lovely hotel , though equally nice hotel minute away Guoman , quite expensive . stay leisure , would probably choose another 
 oct 9 2009 	 view make hotel feel well 	 hotel book we , little choice , look website excited view iconic Tower Bridge river . 's bit drive get parking useful . expect pay £ 20 per night though privilege . single room adequate , describe colleague & quot ; shoe box 's side & quot ; . room well decorate relevant 4 star refinement ( safe , iron , press , kettle , little box free soap ) bed comfortable , new 32 inch tv 25 channel nice . think review site , compile follow list negative . necessarily bad , could improve . try get upgrade room reception league table call & quot ; Upgrade Championship & quot ; hide office behind desk , sell bad though . shape hotel ( shape ) room get view Tower Bridge view river , perhaps upgrade would get well view . could see room 2 guest guess could see mine . window wood badly need painting outside . do mine , would relish task 800 room ! brasserie quite expensive £ 23.95 8 oz steak ..... walk 20 min . city get 12 oz £ 13 wine half price . breakfast good , lot choice buffet good waiter service tea coffee . pay personally , would find £ 117 per night single much personal budget . get deal might bad place stay . good location therapeutic view water plus point . bit date room position good . would happy stay 
 Oct 3 2009 	 sign 	 book last minute.com easy procedure picture advertise hotel ' room resemble . although facility available room , chintz wall paper hanging wall , mouldy skirt board carpet dirty thread bare place . would stay hotel unless last resort ..... drink bar ultra expensive even London . Karen 
 Sep 25 2009 	 pay lot nothing 	 reception interested need , want get way . Wardrobe look like DIY job do granny . Minibar like vend machine . room adequate . sky sport channel tv get hotel . bathroom small shower bath plastic curtain . watch Anthony Perkins . could not order food room menu restaurant hotel . not talk staff will not understand . 
 Sep 24 2009 	 Archetypal London Location Tower Bridge London 	 great room service , breakfast include poor like package holiday hotel feel . 
 Sep 23 2009 	 bad hotel ever stay ....... 	 colleague get transfer short notice another ( nice ) hotel group mistake reservation system . check ask whether want smoking room ( stupidly assume non smoking ) give smoking room . get move - apology hotel . executive room - free upgrade due error honest room shabby not normal amenity would expect like bathrobe nice toiletry . later , return hotel night , go bar . full ( party ) midnight still rather sullenly closed bar . reception area already full cleaning mode mop polisher everywhere uniformed hotel staff lounge around stair chair . room key also long work take reception give rather snotty lecture receptionist look key ! plus side hotel great view Tower Bridge - give bit investment staff care would nice place stay . 
 Sep 22 2009 	 excellent stay - comfortable 	 great stay Guoman hotel ( also Royal Horseguards near Houses Parliament ) . helpful check - in , comfortable supeior room 5th floor . good bar reasonable food . right next door Tower Bridge Tower London way Central London . lot restaurant Thames river eating problem unless be veggie not like pasta - true veggie restauramnt nearby all . recomende 
 Sep 19 2009 	 really enjoy Stay ! ! 	 husband absolutely love hotel ! last minute book hotel staff accomodate , give we newly renovate room amazing view Tower Bridge . allow we check right away long flight , much appreciated . hotel modern room big normal standard . room clean shower great long day sightseeing . hotel staff polite , professional , helpful accomodating . great restaurant call Brassiere downstairs serve really good food not feel like venture hotel . service excellent well . hotel great location , right next Tower Bridge Tower London , next great Tube Station within walk distance restaurant , coffee shop shop . absolutely love City ! hope return London soon , definetly stay hotel ! highly recommend hotel anybody travel area . 
 Sep 18 2009 	 4 * average pricey 	 stay Tower Hotel weekend part special deal ( supermarket voucher ) - voucher cover one night pay stay extra night make weekend . ( 120 pound ) first impression ok - bit sterile many large chain hotel . large hotel perfectly situate next Tower Bridge Tower London . spotlessly clean everywhere polite staff . floor decorate differently theme . book Executive Double Room little disappointed entered room . measure approximately 12 x 12 foot square tiny bathroom . bed comfortable though good night sleep . the shower weak take age rinse shampoo hair . second night hot bubble - bath toiletry supply , heaven ! window quite high could not sit look view ( face east Canary Wharf sight ) . overlook entrance St Katherines Dock lot boat coming go not able sit relax watch they . the breakfast supply two restaurant always long queue . buffet - style lot choose , worldly taste cater for . there seem plenty parking , trouble find space carpark . big problem find ! sat - nav send we wrong road ! think 120 pound per night room over - price consider size room suppose ' Executive ' . ordinary double room book . breakfast good value ( include price ) big shock bar price ! ! EXTORTIONATE ! half belgian beer Barcardi bottle diet coke 11.20 english pound ! ! ! know would pricey that s mad . bar over - look illuminated Tower Bridge think pay view . to summarise , hotel convienient many sight , hard find proper pub area . good walk along river till get bar place eat . pricey . would prefer stay somewhere small bit atmosphere . 
 Sep 13 2009 	 Great Location 	 ' stay hotel several time think ' safe say fairly happy hotel . the hotel great position overlook Tower Bridge , Tower London St Catherine dock , depend side hotel room overlook depend view get . room good size quite comfortable ' expect modern hotel . décor room start look bit tired probably due re - vamp . breakfast hotel good buffet style . evening meal also buffet style available visit , hotel busy tell ! try previous visit always prefer go dine ' plenty choice close . several restaurant around St Catherine dock also across Tower Bridge along side River Thames . hotel great base see site London , tour bus ' pass hotel ' great walk along side Thames . web encounter queue lift end use stair save time . 
 Sep 3 2009 	 good location bad hotel ... 	 maybe room , old , outdated , overprice - upgrade cost . hear work update room floor complete . get one maybe would well , otherwise not recommend place . 
 Aug 26 2009 	 suprisingly good stay back London 	 expect bad Hotel give business budget restrict list . however , pleasantly surprise almost every department . room spacious clean despite fixture somewhat date approach overhaul time . location superb beside Tower Bridge St. Katherine 's Dock . staff efficient courteous . quality breakfast good rather predictable . I would recommend intend stay London next . 
 Aug 24 2009 	 good round hotel 	 stay purely get good deal pleased hotel would certainly stay . staff helpful . room spacious modern clean breakfast good . position superb right next Tower Bridge St Katherine 's Dock 
 Aug 22 2009 	 say ? love book parent 	 book Tower 2 night Oct 2008 partner Birthday via Superbreaks Theatre Package ( Lion King ) . live outskirt London hotel great rate ( basically top seat Lion King free ) .so , decide book Tower parent anniversary , Superbreak work expensive Oliver ( Theatre Break , Drury Lane ) decide book seperate . Customer Service Tower great worry , upgrade double executive suite . everything take care , parent call today ( check day ) say know pay room breakfast tell Dinner include , not right .. even Paperwork . mum go reception tell ... daughter ( ) pay room breakfast , Tower would like give complimentary dinner anniversary . Tower say every day daughter / son book parent . my experience Tower guest parent great 
 Aug 20 2009 	 o.k . - quite good 	 third visit last 2 year . hotel still o.k . time little niggle far concerned . offer upgrade £ 30 night stay accept . room good check view would give . previously upgrade give view Tower Bridge River . time lock St. Katherine 's Dock rn station . worth extra , ' m afraid . addition carvery , advertised & quot ; one leave London & quot ; close Saturday / Sunday night ! ! have know advance would booked another hotel . location view public room brilliant . , , find staff friendly helpful . overall , would stay would careful available booking ! ! ! ! ! 
 Aug 15 2009 	 would rather stay somwhere elsereally .. 	 long tiring journey , take we two hour three room settle . all expect , certainly 4 star hotel , everything room work , room clean bed make . ( one day not ) could write name dust surface not think see anyone vacuum clean . hotel favourite venue coach party staff obviously stretch time . it be fault , way ! breakfast over - price exciting queue . the hotel favourable location & quot ; sights & quot ; expect uncomfortable tube journey anywhere . in busy city hotel room need refuge end day . you probably well this . food central London mostly over - price badly cook 's pleasure recommend & quot ; Mermaids Tale / Tail ? & quot ; Leicester Square near Empire cinema . the food freshly cook , hot , tasty , over - price serve smile attentive waitress . nice place go . O'Neills irish Pub good second bet , near Queens theatre , Chinatown Soho . good drink tasty snack . 
 Aug 14 2009 	 good base London 's Sights 	 stay 4 night wife part coach holiday . find location brilliant , Tower Bridge outside hotel right next Tower London . Queen Katherines Dock rear hotel . tube station 5 min walk away . Check- well organise . our room well appoint view river , nice firm double bed , flat screen tv , decent shower downside tea / coffee sparse room ( 1 sachet per day ) .Lifts difficult obtain peak times & amp ; could not find stair although 9th floor not really option . fire escape well marked though . we stay B & amp ; b breakfast . we could not fault food breakfast time , opt full english & amp ; always plenty choice available . there 2 restaurant available breakfast & amp ; que get first morning open another large restaurant never problem again . they 8 coach want breakfast time plus guest ! ! well manage first day . we find restaurant & amp ; bar price expensive not use them.£5 / pint bitter much even I . however load place eat close reasonable cost . we find & quot ; Minories & quot ; adjacent Tower Hill Station good value . overall excellent place stay coach tour excellent rate buisness stay expence would not stop pay standard rate independent traveller . the staff friendly & amp ; helpful , even bar staff ( least Dick Turpin wear mask ) 
 Aug 10 2009 	 Excellent customer orientate Hotel - central London 's attraction . 	 service excellent - reception , portering , concerge dining . I manage negotiate & quot ; earl - bird & quot ; reduction 20 % restaurant talk catering manager - even though currently available . also bring forward reservation half hour , short notice , suit family group . our room comfortable , clean , spacious well equip ; everything work . in - room safe provide extra charge flat screen tv large expect ( 32 & quot ; ) .The room view overlook Tower Bridge river Thames ( room overlook St Katherine 's Dock ) . excellent / restful . a short five minute walk take one Tower London London Bridge . ten minute reach near Underground Station ( Tower Hill ) adjacent London Dock Railway . the & quot ; Monument & quot ; St Paul 's Cathedral also within reasonable walking distance . river ferry access riverside walk minute away ; excellent . a variety good restaurant available around St Katherine 's Dock area side Tower Bridge ; spoil choice - reasonable price . we permit hold one room hour past & quot ; booking - out & quot ; time extra charge ! caution : try access breakfast around 7 . 45am short queue form time . this one quiet hotel stay - central London thge past 20 year ( Monday Friday ) . 
 Aug 10 2009 	 great view location little else do not stay hate hard bed ! ! ! 	 stay 5 night choose hotel purely family member travel already book . would not book Guoman Tower base TA review see stay back much negative review post . upon arrival ply ' upgrade ' script since expect happen , offer low price already decide ( 80 GBP , thi offer 120 ) . accept go look rom , different room get except high floor ! ! approach reception ask be not refurbish room , girl say big tv well sheet would need pay minmum 150 GBP upgrade refurbish room . pretty annoyed point offer say room be not one refurbish one . certainly lead believe ... beware craftiness I m sure everyone . once reallocate less room ( say be not pay 80GBP nothing extra ! ) find room much first one well view Tower Bridge .. go figure ! telly sheet ..... find bed hard ( take note like , like even semi soft bed do not stay hotel ! ! ! .... stay hotel Japan soft bed ! ! ) . ask housekeeping fix problem , hard bite angry woman came room said & quot ; suppose ? hard bed healthful & quot ; . point back problem need something bed soften angrily say would ' get duvee later ' ... bad want short nap long journey Melbourne UK ! ! ! plus side , hotel great location Tower Hill Tube station nearby mean get everywhere fairly easy . breakfast ok do not line long . issue breakfast do not replenish thing run go later morning , miss fruit yogurt etc . in fact bar near reception also breaky seem adequately stock main restaurant . in summing , want view location spend room worth ( even discount rate get superbreak , room overprice ) stay here . if want soft bed , freindly staff , reasonably price room hotel do not look shabby wall paper fall place , good look elsewhere ... 
 Aug 2 2009 	 great view - that s great ! 	 wife stay hotel along parent , brother girlfriend . take mother London weekend treat 60th birthday stay hotel due recommendation family friend sure issue . check time 2 pm arrive 11 am , little cheeky , ask could check early possible . appear confuse young lady front desk , however explain twice check availability room . firstly could not find reservation ( make pay 6 month prior ) find tell room available , one could not come back couple hour . we come back 1:15pm speak lady .... wait .... could not find reservation , one room available , come back 2pm . we sit lobby til 2 pm time approach another young lady . 's worth mention reception full stage many complae guest . fill we confidence . however get room one order go back reception try sort . try sort 25 min go appointment tht Ritz tea tell everything would fine upon return . we get back 6 pm . room sort . another 30 min spend reception . eventually 7:30pm three room sort . one upgrade suite . our room deluxe double . sure deluxe though . room look old tired . wallpaper peeling . floor tile crack bathroom . Shower take hercule turn clean . on plus point bar lovely , fantastic view friendly , helpful staff . breakfast morning nice good selection . ' m sure though get lot well money elsewhere . 4 star , 4 get . 
 Aug 2 2009 	 excellent hotel - highly recommend 	 check extremely efficient friendlylocation excellentroom comfortable lovely view . free upgradebreakfast extremely good . excellent staff servicereception desk please help questionswould return time visit . 
 Jul 30 2009 	 Pod hotel .. bad room good location 	 hotel play entirely ' location grant astonishing , afraid .. end ... want Tower London right Tower Bridge .. great , would recommend go bar leave stay somewhere else . room quite extraordinary . like little pod 1960 1970 . simply tiny little sapce capsule dress reaaly dowdy clothe . deluxe room swear ' ve stay big bathroom . 's fact every room pile top literally look right neighbour room . decor try dingy somehow completely inappropriate ` 1970 feel hotel ... sad dreary hotel bar restaurant pretty shabby , though admit wonderful viewss . top cost . hotel really expensive especially consider get elsewhere ( even London standard ) ... pay extra river view would need order make feel happy could look view rather look inward rabbit hutch room . advice .. find somewhere else ... hotel need major re - think upgrade match ' location . thumb .... 
 Jul 20 2009 	 medium level 4 - star 	 stay 3 night Tower July 2009.Overall impression good hotel great location friendly staff bit many minor problem drag standard medium 4 star . the locatino right nex Tower brigde St. Katharines dock great . near tube Tower Hill serve District og Circle line . 8 - 12 minute walk station . behind hotel area St. Katharines Dock will find restaurant / bar perfect we long day London . the room fine think 4 - star hotel . bed great room plenty spacious us water dripping , light work stuff like make hotel seem bit old . clean - problem all . staff friendly show couple time professional . wait 20 minute upon arrival difficulty sort pretty simple booking make directly website . give we upgrade ( nice effective room os bit old ; ) ) . night leave ask late check - out say ok without make note . sure enough room key ( card ) work anymore return leave hotel around 1 pm . two restaurant serve guest breakfast . breakfast fine wide selection . price pay stay happy wait line seat though . wonderful time London come back Tower location get good deal . 
 Jul 14 2009 	 great hotel great location highly recommend ! 	 arrive back stay Tower 4 night excellent . read negative review prior could not agree less comment . be situate next St Katherines Dock , overlook Tower Bridge . room unfortunately do not view see everyday anyway ! 's 5 - 10 minute walk Tower Hill tube station 5 minute walk Tower London / Tower Pier . convenient . check smooth , pleasant staff . request quiet , non smoking room give . room average size , MASSIVE comfy double bed , clean bathroom shower , widescreen tv , mini bar stock upon request , pleasant . room service menu quite pricey varied . Breakfast include buffet serve choice cereal , fruit , continental full english breakfast , always seat right away , friendly staff . eat Brasserie restaurant negative part stay . menu fairly poor opinion expensive - my boyfriend pay £ 15 mediocre plate pasta . waiter unintereste we not rich business people spend lot money . look disgusted ordered chip soda water . take forever take payment do not even say thankyou , chuck receipt table grunt . aside one poor aspect stay , would much recommend hotel anyone , huge , 900 room , mainly business client good leisure stay , close tube station Tower . also give tour hotel work travel expensive room impressive . staff always say hello willing help anything . highly recommened ( restuarant ! ) 
 Jul 14 2009 	 great location good value 	 stay one night July 5th 's proximity Globe theatre ( 15 min walk ) . little wary review , particularly petty seem . I must say location , ideal place stay . close tube rest London , importantly right river stroll across Tower Bridge take vibrant South bank area lot restaurant , bar thing like we , lot people watch . the corner room allocate ' dread ' ( accord review ) first floor pleasantly surprised find lovely view St Katherine 's dock across Thames . yes , bed little firm would not call uncomfortable . ate can not comment food . reception helpful must make special mention thank housekeeping manager . several hour checking realise leave mobile phone reading glass bedside drawer . return hotel relieve find aforementione place envelope safely put away collection . would stay recommend hotel friend ? certainly . 
 Jul 8 2009 	 Upgrade ! 	 HOTEL . 3 week staying hostel apartment , decide treat relax stay hotel remain day trip . find pretty good deal Expedia less $ 150 per night .. London ! Bridge ! ! ! jump opportunity immediately . finally arrive hotel , could believe hotel amazing location . fact , think wrong place . hesitate check , think way place cost less $ 150 per night . lady check counter ask name assure we right place . go . get check , ask want upgrade room suite additional cost $ 50 . respectfully decline . bellman escort we backpack room , notice inside elevator floor mark type room . instance , floor 1- 5 standard room , 6- 10 suite 11- 15 penthouse . bellman push number 8 . not notice right hand go . floor spotless victorian look . front room door , & quot ; St. Katherine Suite & quot ; ! look speechless . whether courtesy error , romantic beautiful suite ever see . way end unforgettable trip ! STAFF . accommodate . ROOM . clean spacious plush bed pillow . SHOWER . giant bathtub . perfect relax bubble bath . LOCATION . front London Bridge -- could ask well view . walk distance Tower London tube station . ATTRACTION . although walk distance , exception Bridge , everything accessible via tube minute away . TIP ( ) . sure reject upgrade work every time , ' ve see suite , would say be worth extra $ 50 pay . 
 Jul 6 2009 	 small room good location Nice View 	 spend three night business travel , get upgrade single deluxe room . small room indeed ( deluxe ) spectacular view tower bridge river . hotel staff friendly always helpful . short walk hill tower hill tube station catch bus tower london stop also nearby . not stay part London often , last time Novotel adjacent tube station , price well room . 
 Jun 30 2009 	 bad good location 	 stay weekend recently use fast Clipper service visit O2 ( Dome ) .Check take age 's fault perhaps arrive busy time . have pay upgrade room . window would not open room smelly , otherwise typical London hotel . unlike hotel group , breakfast poor - lot queue , inattentive service particularly good food . bad thing ? lift . take absolute age , especially course morning want breakfast check - out : must leave time . 
 Jun 25 2009 	 brilliant location nice hotel 	 stay Tower three night ( Fri , Sat & amp ; Sun ) end May . location fantastic position St Katharine 's Dock , Thames , Tower London Tower Bridge . bit hiccup go check ( booking note cancel we ) quickly sort receive free upgrade nice . room overlook St Katherine 's Dock also 2 min walk away plenty bar eatery . eat breakfast cafe can not comment hotel bar / restaurant . our room spacious clean good bathroom . find bed really comfy . safe available room free charge , good space hang clothe iron / ironing board . wifi expensive ( per usual hotel ) not use , would downside we . for price ( pay 100 GBP night ) Tower Hotel seem good value great location . hotel right Thames within walk distance Tower Hill Tube station ( 5 min walk ) , Queen 's Walk across Thames plenty nice place eat drink . we definately stay future holiday London . 
 Jun 25 2009 	 Disappointing 	 first impression arrive hotel good . location amazing reception area immaculate . however , disappointment hit arrive room . travel business room purchase corporate rate assume one poor room available . book double find room twin . resovle quite quickly housekeeping team zip two bed together . room serviceable really need service . carpet wear . bathroom see well day . general , not live standard portray hotel 's web site . breakfast quite good however couple day lead merry dance around restaraunt floor try find vacant clean table . dining staff pretty sullen lot . 
 Jun 23 2009 	 perfectly fine 	 book stay 5 month advance part package deal include flight one free night . check Friday easy quick , offer upgrade standard room decline get look refurbish non - smoking room 6th floor face east . since ask smoking room reservation go back get another room 7th floor view , one refurbish still satisfactory , everything clean obviously well use good condition . bed indeed bite hard uncomfortable , bathroom roomy clean complementary soap showergel . thing think slightly annoying heavy door room , stick try close would close loud bang could hear door close minor 's almost worth mention . full english breakfast include deal reading queue decide deliver room every morning extra cost , include complementary newspaper . time every morning , not always get exactly order be fussy , request something breakfast menu ( hardboile egg instead scramble ) problem even get ask . dinner Brasserie , menu rather small food great evening go drink hotel bar , rather expensive also wide range choice , view Tower Bridge night unbeatable . the location us superb , Tower Bridge Thames great sight , St. Catharine 's Dock also lovely 5 minute walk Tower Hill , bit long also pretty surrounding go around past Tower . Thames Clipper stop nearby Tower Pier , also nice way see London different angle get directly O2 central London . the staff friendly helpful haughty elitist fear , since not regular four star hotel crowd . one night keycard not work immediately get apology new card . ever go back London will definitely stay , great place start end day . 
 Jun 22 2009 	 poor value money 	 book double room month advance . tell could early check call personally confirm . also promise breakfast include . give twin room instead double . service standard generous . the bed hard , towel crusty , bathroom amenity enough two people . one ask enjoy stay probably know many mistake make reservation . lot competition London stay elsewhere next visit . 
 Jun 11 2009 	 bad stay life 	 firstly , arrive ... hotel staff friendly , go smile .... please aware overcharge food / drink room service ... £ 21 steak burger ! ! ! ! anyway , keep awake 1 am booming music downstairs , wedding tell rang complain ... apparently sunday night / monday morning 2 am still class weekend , regardless business early monday morning startsand beginningupon departure , try stiff breakfast dinner not purchase ( check bill thoroughly ! ) not deliver room service breakfast morning , despite notice leave door usual . staff extremely unhelpful understandingdo stay value sleep ! 
 Jun 10 2009 	 ok hotel hard bed ! 	 hotel great location right river good restaurant close by . the room ok old looking . look window frame - old . view room stunning though . however . bed terrible ! must sleep half hour whole night . mattress choose firm like sleep floor . comfortable ! do not mid hard firm bed hotel fine . pool would nice . 
 Jun 9 2009 	 clean friendly staff good value 	 stay form 29 may 1 june happy , pay £ 69.00 night upon arrival 1:45 pm tell room be not ready have upgrade executive room ! ( check not untill 2:00 pm ) reception staff friendly , concierge - sooooo helpful , guy know everything ! ! ! ! breakfast good - so much choose nice . room excellent value could due free upgrade , notice lift stop low floor corridoor look little date compare 6th floor hint quality room . Oly three negatives- bathroom smell little cigarette , luggage guy little eager take lugage tip would love tea make facility room - but sure ask would supply . 
 Jun 7 2009 	 good location 	 stay Tower Hotel 03 June 1 night whole good . location ideal explore part London lot see . many restaurant within walking distance . Standard N / S room bit tired need update quiet overlook pretty Katherines Dock . room still smell smoky though . bathroom small clean complaint 2 towel 2 people face cloth . staff helpful . tell reception restaurant open lunchtime Carvery close eat alfresco dock area warm day . sum well look hotel outside well worth stay . 
 Jun 6 2009 	 convenient location yet west end . 	 stay hotel recently 3 night B & amp ; b . thoroughly enjoy location would recommend area Tower St Katherine 's Docks . 's right river one side ( convenient boat trip ) overlook dock ( plenty restaurant choose pleasant up - market environment . quiet night too . we request high , quiet room Superbreak hotel give we usual reply could guarantee . however , arrive , tell book Standard room room first floor . upgrade would another £ 20 per night . budget hesitant . end , decide & quot ; go & quot ; room overlook river Tower fourth floor . view magnificent . to get central London , 15 bus go regularly beside Tube station . easily get St Paul 's , Trafalgar Sq , Covent Garden etc 20 - 30 minute . you cathch boat Greenwich Westminster Bridge nearby . we lunch , dinner drink hotel expensive compare local restaurant bar . not bother Prix Fixe Cafe Rouge . Strada food well . 
 Jun 6 2009 	 Nice hotel great view 	 stay one night . nice large 4 - star hotel superb view Tower Bridge . 
 May 28 2009 	 Nice hotel great location 	 , book lastminute.com 2 night boyfriend £ 138 altogether . unfortunately train cancel catch later one , telephone hotel let know would arrive midnight problem . arrive shatter want get straight room woman try encourage we upgrade another £ 50 per night . not want give we disgusted look , tell we not double room available room 2 single bed ! fume book double room nearly 1 am tired go glad do . the room ENORMOUS fantastic view St. Katherines Dock . spotless bathroom lovely , really modern full size bath . deep bath not even full cover shoulder sit ! hotel literally right next Tower Bridge , across road Tower London around corner Tower Hill tube station . really happy stay , apart receptionist . can not comment restaurant not eat here . I happy answer question ! x 
 May 24 2009 	 Excellent Value Great Location Visiting London 	 spend 4 night friend excellent hotel . hotel suit we perfectly London great tourist experience . size London , one Hotel central everything , decide hotel well meet plan . close tube station , close many bus route short walk Thames Clipper Services Tower London ( water bus service dismiss ) .Check little slow , arrive late day . immediatly offer upgrade £ 150 , immediatly decline . lady go see possible discount supervisor , feel well practice occurace offer improve price £ 100 upgrade , include ' Bottle Wine ' offer witrh original £ 150 , pay £ 50 bottle wine ? decline £ 100 upgrade instead tell prepared pay £ 80 acceptable settle room already pay . seem little take back offer immediatly accept offer . confirm authority decide room upgrade seek permission anyone . room nice , comfortable view Thames Tower Bridge . able watch various type size boat pass byall day watch bridge open number accassion . pleased room facility adequate need bathroom well cater , include necessary lotion soap . noticable noise adjoining room quiet time . I read previous post queue breakfast . make point go breakfast early day experience wait . although leave breakfast queue form , lesson learn , go little early avoid queue ! would recommend Hotel hesitation stay next visit London , price right ! 
 may 22 2009 	 cramp conference venue 	 2 day meeting beautifully locate hotel adjacent Tower Bridge . conference room top floor cramp , hot miss basic centrally locate power outlet underneath table - stretch power cable make wonderful trip hazard ! Buffet breakfast average not fuss dining excellent OXO Tower previous evening . room basic adequate mine good view - would recommend try book room high 2nd floor make view . 
 May 21 2009 	 recommend 	 hotel may away west end location still good . close tube dlr , look Tower Bridge , Thames Tower London . plenty restaurant bar close adjoining St Katharines Dock . stay 1 night business corporate rate make hotel great value . check slow restaurant breakfast warm . room good overlook Thames view Tower Bridge . first floor bar great spot pre dinner drink 
 May 17 2009 	 love location 	 absolutely stunning location . right next Tower London , Tower bridge . Room get breathless overlook Tower bridge ( real london bridge actually , one call London Bridge new brick mortar bridge ) .I enjoy walk around bank river Thames evening although summer great sit outside , enjoy sun eat sandwich lunch . the room decent although give u slight musky smell ( probably old ) . overall pleasant stay . 
