small 	 husband stay one night enough . know may sound harsh never disapointe hotel . boast family stay 4 * hotel admit return not much boast . room tiny , walk around sideways apart bathroom must say good point especially way water run tap must stress good point . dusty continue refurbishment happen . know many peopke take account work finished be go cause disruption fot guest . next pitfall parking , something specifically look suggest parking available guest not state long willing pay £ 40 night . last least breakfast , enter dining room wait 10 minute clear table subsequently clear , wait 10 minute clean plate forgot ask clean cup time take another 5 minute get . eventually sit breakfast not nice hear funny noise follow two guest unplug warming hub sound though blow . shortlly check . respond review website offer apology free upgrade clubroom next stay pay double standard room . personally think bit joke ! ! ! ! point find enter debit card detail online ask pay hotel get not take money online book top everything else little irritating ! ! ! ! ! 
 Dec 15 2007 	 Grace Hyde Park 	 Hotel gracious spacious entrance area , reminiscent ' Old Boys Club ' . glorious , wood panel sit room guest enjoy . room small , make mistake , price , location & amp ; decore second none . Hyde Park , Queensway many restaurant , bar shop step away . every attention detail address hotel 's upgrade : outstanding bathroom , huge tv screen well plan , luxurious fixture & amp ; fitting . small , beautiful , wrought iron balcony overlook Inverness Terrace Hyde Park . fruit platter offer arrival , stay standard room . we stay London 5YEARS AGO area , pay amount accomodation close Retention Center hotel . this place offer grace , quality location extraordinary price . could happy . Utilise limo book service get Heathrow quarter price would pay taxi .. quality relaxation . can recommend Hotel highly enough couple business . 
 Oct 1 2007 	 go back 	 like people read review write spend many , many hour surf net find elusive & quot ; excellent & quot ; rating . time decide ' bite bullet ' book phone resign fact spend night hotel sleep , live . book Sunday night cost £ 62 double breakfast include ( internet price £ 55 bed ) think £ 7 breakfast two we well value . arrive hotel early store bag . return two find room still ready . due fact need room freshen go upgrade room free charge . get room 519 . wow ! ! big hotel room ' ve ever ( ' ve many ) . sink bath shower . bedroom large four - poster bed furniture die . hotel room alone least forty foot square . breakfast buffet complaint either , leave ' stuff ' . hotel edwardian woodwork , ceiling drawing room breath - taking . although experience & quot ; tiny room & quot ; describe review , one return regardless room size . want bed somewhere freshen , could spend day drawing room without single breath complaint . 
 Sep 29 2007 	 satisfied guest 	 good thing : nice decorate room , free internet lobby , free internet room , clean , good english breakfast ( include , though worth 15 £ would otherwise charge ) .Close underground station morningwalk Hydepark . complain fact triple room really double room chair upfolde extra bed staff solve excelent way give we extra single room . helpful friendly staff . the bad thing : triple room´s really triple room way small three people . bathroom shower verry tiny , clean except showerdrape . corridore floor ( basement ) funny ( stinky ) smell . would defenetley stay . especially sake free internet room ( witch another hotel stay london charge 5£/h 12£/24h ) recommend hotel other . 
 Sep 26 2007 	 convenient hotel 	 bad thing room basement quite small consider standart Londons hotel , one good value money pay . get double room 70 pound per night stay five night . air condition great bathroom also , also fridge room great . Breakfest ok , vegetable would nice . but generally recommend hotel everyone appreciate great location not pay 90 pound per night , get well hotel money . 
 Sep 23 2007 	 let us put thing perspective ... 	 read alarming review hotel book ... actually offer good value money . think 4 star label may raise unrealistic expectation price basically prestation good standard . I hotel week business could find evidence cockroach mention review . room compact indeed , ajoine bathroom excellent , clean , newly refurbish high standard . bed good room reasonably quiet London . in term service room offer usual kettle / tea / coffee ( good quality , cheap ) , iron free wired internet access . tv weak signal . small room still allow work desk good part day good comfort . put like : may 4 * well suited need usual cheap hotel chain . as staff genuinely helpful available 24 hrs . could see evidence try & quot ; rip & quot ; read another recent review , actually witness try help foreign speak client beyond duty . take internet booking ( mine ) without problem . hotel also offer good amenity , bar , nice lounge paper , magazine internet access , free fruit bowl . one two lift service . sure hotel would accessible client reduce mobility . in conclusion 4 * may raise expectation beyond actual stadard offer , look average room price offer good value money . 
 Sep 20 2007 	 bad 	 stay one night hotel . the bad stuff ? well , heart sank see directly opposite homeless hostel , lot shifty people hang around . agree room tiny hot ! good stuff ? well , facade hotel public room treasure , make smile delight . hotel around corner Queensway , great selection restaurant ever see . I book speed staff friendly . show way room yes , corridor narrow . mind walk stair problem . the room tiny , enough room bed tv . travel light , problem small wardrobe . tv work . the room HOT . take work air conditioning blow hot air room . , go window ( clean window please ! ! ! ) open room fine . my wife tell tepid water morning sohwer . but money pay ( £ 90 ) get clean , tidy comfortable room . great tube station , great Hyde Park great eatery . bother hotel restaureant menu wwa terrible . if stay long maybe small room would grated maybe patience would snap fix thing like air conditioning 
 Sep 18 2007 	 Fantastic Stay Shaftesbury Hyde Park 	 book one night stay Shaftesbury Hyde Park HoteI ( read review ) celebrate special birthdays husband celebrate . say apprehensive stay Shaftesbury read review understatement , contact web - site via e - mail make book voice concern inform special occasion . assure problem address bad review small room , also assure special occasion would leave message reception provide one large room . still unsure stay within week concerned booking somewhere else decide give go , husband say well be one night . day travel face train delay get lose London , early evening still try find hotel ( husband fault ) time find , ready battle cockroache reception staff . however reception inform we aware special occasion lovely room we , thank still convince course go room , enter face 2 door small hallway enter door right face describe suite , fabulous - four poster king size bed least be seem like certainly big double bed home , hugh sofa 3 large comfy chair another 2 small chair , huge marble mantel & amp ; log fire service gas ( sure worked not try ) beautiful build wardrobe plenty storage space , go back hallway enter room leave , bathroom bathroom bathroom also build wardrobe , beautiful huge bath ( think double ) shower bathroom nearly size bedroom , wish stay long could easily happy stay suite two , three week . shall certainly stay would request room number 5th floor hear gentleman complain stand reception size room happy . say pleased change hotel voice concern problem , perhaps help room allocate . Susan Davey . Newcastle 
 Sep 16 2007 	 disappointing 	 room far small . tv break several time stay . faulty key card replace .. apology comment ! staff unhelpfull unfriendly . could ` not recommend hotel anyone . one bad hotel ` experience . 
 Sep 9 2007 	 lovely hotel - but advertise 	 stay hotel pleasent eventually bite weary read review book cockroach sight assure rang hotel problem deal . hotel room reception hotel room big look picture fact arrive room horrify find tiny rang reception polite receptionist say would show we another room follow day . 11 oclock one come go day arrive back 11 oclock evening could get room bell boy let we enter realise stuff miss someone else stuff instead move we stuff prior notice make we feel violate chamber maid rummage belonging next room slightly well size front building 8th floor 1 lift service sometimes bit queue .we complain duty manager wrong move notice something go miss slightly distressing bday expect kind thing happen 2 day miss item rerturne thankfully give bottle wine bowl fruit bday way appology.but thing fine . please donot expect large room none picture missleade incredibly small comfortable . problem booking matter minute . staff quite helpful .i would stay know expect overall bad . 
 Sep 2 2007 	 avoid like Plague Else Regret 	 well could give Minus 100 rating would ..... upon check manager desk repeat cunning tell we first pay extra do not take online booking show annoyance say ohh yes website make look like small mistake charge deluxe room give standard double know ? ( make sure pay double make sure double checking room BIG headboard behind bed overhead light big bath else walk well hotel road ! ( repeat try rip ! ) do not know room standard find decide take shower shower leak ( come four star * ) another room leak shower spray tap disgusting go reception tell straight want MONEY BACK guy realise ohh can not keep send corner kick take new room delux room PAID tell try say oh sorry do not get want standard room ! ( repeat go make sure watch big room else rip ELSE avoid cost ) REPEAT avoid.anyway 3hours mucking around finally manage get room sort lift be not work usually do not work either broadband watch ( work security consultant ) monitor every activity your . if BOOKING HOTEL avoid like plague ..... ELSE GO REGRET ! ! ! ! ! 
 Jul 29 2007 	 small room ever 	 family three spend 3 night Clarion Shaftesbury Hyde Park . find hotel quite close tube , 1/2 block Queensway stop distance Hyde Park . lobby three computer free use include internet connection . lobby beautifully decorate quite comfortable . upon check go straight room dismay find one double bed three we , 8 inch clearance way around bed . go straight back reception show clerk reservation form show triple refrigerator microwave request . send another room double chair make twin bed . room small , otherwise seem clean safe . turn air conditioning go get supper . supper bath realize air conditioning would stay call maintenance . young man come straight away time say would arrange new room we . move third room . far large room leave nice . rest stay unhampered hotel clean quiet . hallway narrow , must go single file . breakfast expensive we , find several wonderful place around corner tube station well price . would stay due size room initial room assignment . 
 Jul 28 2007 	 rate hotel Zero ? 	 misfortune stay hotel 3 time business , one without incident . first stay , bulge damp patch ceiling door start drip light fixture 2 morning . shower small damp shower curtain stick back . 2nd time around put basement room break window would not close noisy vetilation shaft run . call reception get someone fix half hour later , no - one turn go reception fight room change . 3rd final time ever stay hotel arrive find shower not work could hardly get case side bed room small . shower fix follow day minor detail . wake one morning find big cockroach ever see climb curtain . thought would try put mind ( exhausted hotel point ) stay final night . awoke midnight find 6 bugger side bed ! call reception imediately ( staff good grasp English ) send poor , unsuspecting man bottle Coke - thought want room service ! tell ' it cockroach ' ' it be probably leave room ' . demand another room change put icy shoebox pin - hole window . stay 
 Jul 21 2007 	 ruin trip ! 	 London special occassion , book internet imply luxery 4 * hotel . arrival keep wait , room basement , air , stuffy smelly . toilet dirty , cup lipstick , milk mouldy . plug bath , extractor fan , view , small window hardly open , bedside lamp not work , ' twin ' bed due lack space gap bed . soon put iron board room move . Glass shower guard hang wall . pay breakfast not we pay manager refuse we breakfast get apology anything get tell manager not fault hotel run centralr . never go , pay £ 180 not worth £ 18 - upsetting dissapointing - could not wait get back home ! ! ! 
 Jul 9 2007 	 room Small 	 whatever not bother pay extra twin & quot ; luxury & quot ; room . twin room exactly size double room enough space separate bed either , fact be double except two single bed push together . justify extra £ 50 not know . guy reception accept difference size would refund difference . room small . interiour fit high standard yet lack space let . breakfast room also small also wait 15 minute seat full . staff pleasant seem speak good English , service whole would rate good . 
 Jul 5 2007 	 Disappointing 	 book twin room get put two tiny single roomsin basement . mind least room numerous people ship hotel due ' maintenance problem ' . could swing cat room . staff reception awful one seem know . ring reception 5 time get hairdryer deliver room . close Paddington that s thing go .... would stay 
 Jul 3 2007 	 Excellent location 	 husband stay Shaftesbury Hyde Park 5 night . relatively cheap - gbp 480 include vat - hope well . 4 star rating , expect quite high standard definately meet . good deserve 3 star rating . deluxe room minute . expect stay almost week little closet space two hanger . difficult move around . grant , large modern tv , bathroom OK . word warn though ... tall , stay away . bed double , shower low bump head . shower situate bath high old person child would find almost impossible get . breakfast ok one would expect 4 star hotel . 5 morning absolutely variation style egg , fruit , juice , etc . absolute good part hotel location . close Queensway Bayswater station . also within walk distance lot attraction eg . Diana Memorial , Kensington Palace , bus stop etc . cleanish , well maintain . staff friendly assist possible . one morning around 03:30 fire alarm go twice reason . phone switch . presume faulty fire anywhere . 
 Jul 2 2007 	 Disgusting 	 ground floor , read review one big room . fine one person soon partner arrive 2nd night room far small two people in . room never clean properly although everything work room every single time pass though reception ( without exception ) someone complain ( 3 night ) finally cockroach , see one last night room , ' say anything partner would heart attack want night sleep . teh fact hotel know clearly do nothign matter week tell yuo need know . read reviews day went go cancel not . situation cancel ... trust meDon ' stay , ' dirty infest 
 Jun 30 2007 	 tuke bed nightmare cockroach ... 	 look relax , cockroache free holiday london ? ? look good night sleep uninterrupted london ? ? well , whatever ... life stay hotel . bad experience ever misfortune . first arrive hotel raining , tired suppose do not energy give toss size room . little know would least problem ! ! ! go nice meal town arrive back hotel around 11 pm . enter room bed big cockroache ever see . eventually catch fecke window . go straight reception , inform intruder . act like never happen first person ever report . tell would sort probleme morning room service . eventually go sleep one eye open incase visitor . two night later ( 4 am ) tuck bed nightmare cockroache sudden bloody fire alarm go hotel . boyfriend jump , quickly put clothe run room . see nightporter end corridor ask fire . inform fire , someone smoking room set ! ! pull back room boyfriend ( i m violent type ) stop run reception ring someone neck . I eventually calm setteled bed fire alarm get set . loud fire alarm ever hear ... fit kill . to add room next door obviously lock party . ask nightporter call room tell shut tell would ring ask keep noise ... ring ... hahahahahahaha laugh ( demente way ) .The nxt daty check . main regret do not check trip advisor go ... would way go . hotel joke downgrade . avoid cost . 
 Jun 26 2007 	 Cockroach Towers ! ! ! ! 	 place seem ok begin . however , book third party website discount price put one small room without view . later meet extra guest ... COCKROACHES appear settle night . imeadiately phone reception demand move another room , inform possble would go find poison put meantime . arrive ..... ever . next more sleep light keep guest bay demand move . whch another pokey little room least cockroach . moral story ... get pay ! stay away PLACE ! 
 Jun 14 2007 	 stay away ! ! ! 	 partner check hotel celebrate partner 's birthday . hotel half hour electricity go . tell would fix matter minuteswhen call reception . however , leave dark unable shower get ready evening plan half hour . power eventually cameback proceeded get ready carry evening 's plan . upon return room around 11:30pm greet sight two cockroach run across bed ! partner stamp one , run away . shaky go sit bathroom calm . upon enter bathroom notice yet another cockroach run across floor , partner stamp . call reception send someone room . upon see dead cockroach , reply & quot ; be dead . & quot ; apology concern , tell could not move another room even though still live cockroach room somewhere , could drink compliment hotel ! promise first time anything kind happen . point disturb situation tell member staff acceptable wnate move another room , fail , another hotel . left say would see could . receive reply around 15 minute , call reception . tell we fully book would call around couple local hotel see room . ( point expect we pay another hotel room , wish move ! ) wait room half hour look towards wardrobe see , another cockroach scurry along floor ! last straw two we go reception say near hotel could find room Canary Wharf , would go look want find somewhere close . time around 12:30am rain hard outside . nevertheless , partner walk around bayswater pour rain find oursleve hotel . luck decide return hotel see come option . upon arrive back hotel , ask member staff reception go room 's cockroach problem . another couple stand reception , upon hear we say , tell we return room find two cockroach run around , also tell , , one time occurence ! member staff behind reception tell we find we room Hilton ( 5 star hotel ) Wembley . also say would arrange taxi four we . tired point , around 1:30am , readily accept . after drive half hour , arrive Ibis 2 star hotel Wembley ! 5 star promise ! leave room Shaftesbury 1:30 morning , send 4 star hotel , 2 star £ 57 night hotel ! call hotel give apology generally rude ! also , tell taxi driver take we Wembley pick people Shaftesbury similar incident least every two week ! clearly first time incident . 
 May 31 2007 	 Nightmare Shaftesbury 	 agree previous reviewer wish would read review book . warning bell begin ring book , guest complain bitterley reception staff abouther stay . receptionist demand payment room front find quite unusual . room small , well equipped . unfortunately lack promise iron board iron well tea bag milk . phone , try telephone reception miss item discover plug , even bad possess plug wire ! ! ! ! shower extremely small pleasant exprience curtain grip body smell cat [ -- -- ] ! ! ! however , bad experience parking motorbike . we travel Europe every receptionist european hotel give we good advice , home country ask receptionist park , say leave outside pavement , do many european city . say would ok suggest alternative garaging . return evening parking ticket . furious husband tackle reception manager tell everyone ! ! ! ! know leave motorbike pavement ? ? ? ? ? ? none staff would advise we . ok mistake could make , thenadde insult injury laugh husband 's face hethought stupidity leave bike . despite husband seek advice despite quite normal biker 's practice european country . short avoid hotel - excellent position good pub , restaurant , tube nearby attention detail staff training could good place right price . however , sort detail staff try somewhere else . 
 May 31 2007 	 stay away ! ! ! rubbish 	 23 year old british couple want somewhere nice clean . that s . arrival lady ask card immediately ( despite website say would pay departure , arrival ) , pass thinking must routine . Meanwhile lady 's manager phone spelling last name .... think ring maid see room ready . however , turn book we taxi ' sister ' hotel paddington . , take card without tell we would relocate , even though destination 10 minuted furhter london do not even appologise see problem . tell woman be not , simply glaze issue keep repeat leak move . take paddington court hotel .... average . direct room building opposite look like old house room hall , stairs cellar ' do ' put pokey room smell must . book hotel would insist refuse move try relocate . get good offer do not believe ' leak ' . always mean ' cellar ' . do not move look young either ...... honest service hospitality joke.if go london worth pay little decent well - locate place ... do not bother hotel ... dissapointe . also sink get block floor dirty . move taxi take 2 hour day be not apologise ... hotel hassle ajoke . stay away ! ! ! ! ! 
 may 29 2007 	 Good Hotel Great Location Small room 	 stay one night go concert Royal Albert Hall , hotel perfect location could walk across Hyde Park venue . location good trip London , tube station close , couple minute walk , also perfect drive London , big car park five minute walk away , £ 22 24 hour , bad central London . reception staff freindly check fairly quick . hotel obviously refurbish recently fixture fitting room bathroom good , room clean tidy rest hotel . downside room smal double , ok one night stay , amount luggage do not know could store able move room . room great large LCD television picture normal channel poor satelite ok though . deal include breakfast excellent , lucky arrive breakfast able go straight , room quite small eating , people arrive wait table . main plus point stay price pay hotel , book hotel chain web site ( premierhotelslondon.com ) cost £ 58 room include breakfast . surely Central London can not get well value , good hotel . would definately stay short trip much luggage . 
 may 28 2007 	 Disgraceful 	 decide go ' London experience ' ..... look internet find Shafetsbury , Hyde Park . arrive go DELUXE ( ! ) double room - small - pay discount last minute price £ 80 ( original price would £ 290 ! ! ! ) would not give £ 20 standard accomodation . hour us room water start come ceiling - contact Reception move even small room . could hardly open bathroom door DELUXE ( ! ) double bed close - change hallway - husband go complain reception least 3 patron complain well . hotel ashamed charge extortionate prices- definately London Experience want ! 
 may 25 2007 	 make Munchkins 	 review Shaftesbury 1 Inverness Terrace London . I not know tall munchkin film & quot ; Wizard Oz , & quot ; creature could ever fit one hotel 's room . 11 hour flight Los Angeles place misery . bathroom joke , fit adult . 's one stall shower curtain constantly stick shower literally room move . place bill four - star hotel rating clearly interpretation . completely rip nightly price exceed $ 150 usd per night . nerve charge price misrepresent look room online . wary sh * * sbury ! 
 May 24 2007 	 laugh laugh 	 agree last writer , stay two night hotel get room number 309 laugh laugh . wasso small change hallway stand bed . desk chair , show could use . bathroom small showered door way make mess floor . inside bathroom could get climb onto sink . average size Australian . know London hotel room small joke . the decor new see hotel small room 4 star . ask man desk , one could understand room small could rest one obviously miss . good location that s . would avoid aussie use suit . 
 may 22 2007 	 terrible ! ! ! horrible cockroach hotel 	 arrive think nice , public room seem posh clean . the room small shut one door open another toilet , stay night think ok . we go come back 11.30 pm go open window air conditioning be not work . curtain big , widest cockroach ever see ( bit like see zoo safely glass tank ! ) . flick floor cover bin . investigation find belonging . phone reception promise send someone . time come well pass midnight knackere . porter interested get we new bin get rid roach . after sleepless , cockroach fill nightmare night book early next day . reception could care less main company useless despite numerous email . oh top somebody else food fridge half eat . yuk ! never ! stick Premier travel inn etc . 
 may 22 2007 	 double bed man 	 book hotel group friend celebrate good friend 's forthcoming marriage . would read previous review mention problem overbooke , specifiie online booking agent want write confirmation would receive 8 twin room agree rate hotel , sister hotel , review one much . receive confirmation seem well . when arrive lengthly booking - in process party , lead room Reception tell double room , twin room . option pretty much zero , either stay accept rate reduction free breakfast try find another 8 room similar rate somewhere else Central London 2 pm Saturday . so 16 guy share double bed sleep floor , good , although rate eventually agree good London . least could , circumstance . it be shame hotel nice great location , room small people mention room clean enough would fine couple sharing , two man ! staff experience friendly also , despite obvious displeasure . I would say be couple small party look somewhere reasonable Central London ( online reservation company get good price ) would ideal . booking system seem issue , judge previous review experience . 
 May 17 2007 	 Toilet block nothing do ! 	 book Lastminute doubt ... post 4 star hotel could not find evidence star anywhere . plus - free internet connection room . minus - sign toilet say ' do flash ' ! Reception tell ignore . Result - mess - no - one solve . room small climb across bed get side . desk , room chair sit bed ... light desk dark sit use laptop top bed . one blanket ... water orange juice breakfast . enough say - disgrace ! 
 May 9 2007 	 4 star ? ? ! ! 	 going stay Marriott Maida Vale lovely 3 * decide pay extra € 50 per night ' deluxe ' room 4 * . let .. could open toilet door 18 inch toilet way ! room tiny even though suppose deluxe . ask staff deluxe say room size .... front Desk Staff unhelpful , almost rude , infact . hallway wide enough one person quite damp smell . hotel 2 star four star . think stick Marriott . 
 May 6 2007 	 Quality Furnishings comfort extra make hotel excellent choice 	 ' ve stay business London every week since February , ' ve finally settle hotel offer high quality furnishing room comfort . room extra include complimentary cable broadband access , steam iron , fridge 17 & quot ; flat screen television . Clarion Shaftesbury Hyde Park come reasonable price recently - approx £ 79.00gbp per night single room , make head shoulder rest opposition ( £ 79.00gbp get travelodge ... enuff say ) .ok , room not big - personally speak would sacrifice room size quality comfort day . all , nice hotel . 
 May 3 2007 	 cockroach ! 	 hate cockroach , not stay . personally , would rather spend night breathe insecticidal chemical . anyway , location fantastic public area hotel magnificent . room basement : small , spotlessly clean well appoint . air conditioning effective virtually silent . however , telephone work could order wake - up call . facility make tea coffee provide , cup . however , hotel bar beautiful serve good over - price drink . I find dead body cockroach floor room , later live one crawl bag keep spare shoe . mention reception check , agree drink would house . obviously get lot lot cockroach complaint . hear one couple complain packet biscuit partly eat insect ( cockroach ) , bring food room . 
 Apr 26 2007 	 Nice hotel great location 	 stay 20 - 24 April 2007 . location great ! 2 min walk Queensway Tube station 3 - 4 min Bayswater . on road behind 2 supermarket , many souvenir shop , xchange shop , restaurant , McD , Burger King , everything single traveller need . Hyde Park infront hotel . the room little bit narrow , discussion native friend UK , house hotel like this . I problem room , 7th floor , clean , small kitchen small fridge ( not work though ) , water boiler coffee , air condition . say small , cute ! REALLY LOVED 11mbps broadband Internet ! London work evridiki.gr work many hour laptop cover late news uploading photo video . honestly , free internet location two reason choose hotel . the room hotel really reasonable ! groom helpful smile time . can not say reception stuff . helped , make look like burden ... especially one . 
 Mar 21 2007 	 Horrific experience 	 book delux twin room hotels.com even copy itenerary hotels.com state have book twin -- however tell twin available twin room offer hotels.com . frustrating , bad yet come . instead twin room , give double room extremely uncomfortable & quot ; day - bed & quot ; corner room lumpy three inch floor . also second floor , elevator go second floor whatever reason . tell staff check back two day see twin available . one third day stay , sister see one two large black cockroach room . think kid , upon see immediately call front desk , surprised . porter send could capture insect , tell we verbatim happen & quot ; two day early , & quot ; & quot ; one , definately & quot ; . go front desk demand money back could check another hotel , tell person charge not clearence refund money manager would next morning 7:30 . ask manager call home , evidently could do . course sister wanted move another room , double room available locate basement -- build infestation problem , refuse . offer two sinlge room , one third floor , one fifth floor -- feel comfortable far away eachother refuse . offer two single room back second floor -- see roach begin . agree take though around corner eachother & quot ; right across hall & quot ; tell . one room pungent sewage - like odor come bathroom . go back lobby tell staff room unacceptable . nothing else could offer sister spend night single room small could open luggage time , sleep single bed . next morning front desk 7:30 tell manager ill , would day , another manager would 9:00 . wait 9 tell manager would 10 . ask staff call manager , tell manager aware situation , could give we definative time arrival . manager still not 10 go back single room wait . manager arrive noon , apologize offer we complementary breakfast quickly decline due roach premesis . manager offer comp we previous night , insist upon compensation last two night stay last two night ruin due situation insect lackadaisical manner situation handle hotel management . manager say authorize comp one night , ask we write letter yet another manager provide & quot ; back - up & quot ; , could request compensation two night . agree despite fact spend last full day London waiting manager show write letter explain situation yet another manager . give letter manager word two day comp would problem . the next morning check speak yet another manager first say aware incident , tell we & quot ; contact hotels.com refund last minute reservation & quot ; . reference conversation first manager , suddenly aware situation agree put writing compe two day immense inconvenience . arrive back home , contact hotels.com , explain situation yet tell would compe two night . appreciate representative hotels.com 's willingness correct situation far effort hotel management , know book hotel third party vendor horrific experience accure four star hotel . circumstance hotel list sight four star establishment . still behoove . 
 Mar 9 2007 	 cockroach 	 stay four night see roach . ask five time get toiletpaper . room tiny . recommend hotel . four star hotel .. yeah right . 
 Mar 5 2007 	 marvelous stay hotel ! 	 love hotel ! historical , beautiful upkeep , convenient location staff excellent ! ! quickly check room staff extremely courteous throughout whole stay , fact go beyond assist . e - mail room lovely - usually get sit wood panel room stain glass window surf internet ? room tiny , suited need perfectly . kettle refrigerator plasma tv - tiny piece heaven . solo female traveler , always feel safe look hotel . would stay . 
