excellent 	 actually purchase room priceline sure expect price quite reasonable . arrive hotel pleasantly suprise . lovely hotel extremely helpful front desk staff . beautiful public space room comfortable free minibar wonderful hot shower . location perfect well heart Mayfair . Hotel highly recommend . 
 beyond expectation - perfect location amazing service . 	 fabulous place stay adult traveler family . stay 2 kid ( 8 6 ) - child 's concierge amazing ... bring movie , Wii , Monopoly , kid ' map , ... - give kid plenty activity content long day sightseeing . perfect location - across park , quick walk Buckingham Palace walk distance ( 10 min ) Westminster Abbey , Big Ben , London Eye , short walk tube station . staff attentive accommodate every request . would absolutely recommend hotel stay . hide gem ! 
 Fabulous Hotel 	 truly fabulous hotel , book hotel laterooms.com romantic break partner . arrive hotel staff polite friendly ( yes doorman ! : ) tell upgrade apartment nice bath , huge bed , living room kitchen . bed comfy partner trouble get morning . the nice late check mean could relax use sauna spa room well equip gymAs fleeting visit not time use bar restaurant look fabulous . I would recommend hotel without hesitation . centrally locate two min walk Greens park tube station hop skip Buckingham palace . see show evening 10 minute walk theatreland West End 2 tube stops.fabulous fabulous fabulous ! stay Athenaeum hotel want glorious time London . Georgina Hurcombe Documentary Producer 
 Oct 31 2009 	 absolute gem 	 wife stay Athenaeum sadly one night 17th October . we stay time treat never disappointed , last stay exception . we checked speedily also greet name think nice touch . as wedding anniversary hotel kindly upgrade we Apartment ! ! ! ! WOW size house ! comfortable make stay memorablethe one thing make hotel family run staff helpful friendly . we can not wait go back 
 Oct 30 2009 	 Expesive Dated Noisy 2 bed apartment 	 family recently stay 2 bed apartment Athenaeum . short , apartment allocate situate directly popular tapas bar ( open 11.30am - midnight ) . noise bad , continue throughout day , totally unsuitable young family ( particularly baby sleeping lounge area ) . despite promise toy suitable child , box lego 2 colour book provide first night stay ( later request DVD promptly arrive complete popcorn ) . 2 bed apartment situate back hotel yet refurbish . decor date , bed comfortable . upon arrival small leak one bathroom quickly address . unfortunately could say entry card continually work ( end need 6 replacement card 2 night stay ) .The kitchen handy inclusive mini bar great idea ( though not restock stay ) . end order breakfast room - arrive punctually , however , morning couple item miss . on whole , staff pleasant , accommodation disappointing . certainly 2 bed apartment suitable anyone young child , light sleeper . needless say , will not return . 
 Oct 26 2009 	 good hotel London ! 	 good place ever stay London . staff fantastic always able help . room perfect much large London hotel , plus equip everything could possibly need . location perfect walk catch subway Green Park station right . friend pleasant experience would recommend hotel anyone ! 
 Oct 25 2009 	 unexpectedly luxurious date without much minimalist decor 	 boutique style hotel , newly refurbish everything pristine , lot glass light use good effect create sense space . well locate 2 min walk Green Park Station . lovely comfortable room every facility incl . iPod dock , although led clock somewhere room would handy can not see watch dark ! . luxurious small bathroom fluffy new white robe , ( slipper deliver turndown time ) , great view onto Green Park beyond . special feature staff charm helpful . table d'hote dinner good value , London , price £ 22 2 course , £ 27 3 . breakfast expensive quality great . pleasure find mini bar soft drink snack charge hefty rate , free . like Whisky lounge mellow atmosphere evening , Garden Room nice spot afternoon tea ( hotel apparently award ) feminine decor , spot quite man tea , unlike place get frilly . loved would happily return stay London . 
 Oct 23 2009 	 staff make stay boutique hotel special 	 three sister beautiful connect room third floor overlook Green park . bay windows open juliet balcony wonderful would sit tea whisky watch world whirl . shut window cut noise dramatically keep crack bit soak London sound . room good size comfortable bed cover fluffy duvet . the bathroom large other London . pay upgrade room free access eveythe mini bar , include alcohol . everything replenish daily . love peppercorn crisp ! hotel free wireless great . the staff hotel really make difference . Jim John , doorman , Saleem , check we personally take we room , general manager staff invite we cocktail reception make we feel welcome ..... hotel make we feel special . the location perfect see London . two tube stop nearby . cross street Buckingham Palace 5 minute . many restaurant within couple block . love Pret Manger breakfast stop several time . one breakfast hotel not really buffet brunch people matter elegant be . I can not think negative thing say Athenaeum . hotel return next trip London . 
 Oct 17 2009 	 ` ` Green '' Hotel Perfect Location 	 stay Athenaeum September two night . ' ve try hotel London past year , must say , one one favourite . location good , five minute Green Park tube station couple minute Marble Arch Tube station . you instantly recognise hotel landmark wall garden , attract butterfly day light gloomy green night . staff friendly helpful , although room locate window look backyard , room surpass expectation . bed fluffy , minibar complimentary ( except alcoholic drink ) entertainment system faboulus . Athenaeum might become one & quot ; safe harbour & quot ; London : ) 
 Oct 12 2009 	 lovely 	 teenage daughter stay four night . great location , clean well - appoint room , free mini - bar goody , excellent espresso machine room . service good provide popcorn free dvd 's milk cookie evening . location right across Green Park minute Piccadilly Line tube , yet surprisingly quiet . staff helpful . room one step basic lovely bay window . breakfast over - price minute 's walk many choice . great workout facility spa amenity . 
 oct 9 2009 	 Fabulous Hotel ! 	 want treat London , stay . expensive ( salary ) , worth . staff excellent . answer every question make reservation play bus tour . maid morning maid turn bed night . ( nice touch . ) could everything fridge free ( except liquor ) great . tea kettle , coffee thing ( not understand ) various cup etc . back , not problem fall asleep . I find tiny flaw . know make room . , small room , one would expect London . mirror ! one wall , closet mirror , bathroom door mirror , side . would nice size 2 , . thing bathroom door not open way , wedge . hard time get bathtub take shower . ( disability . ) ask manager another manager show room shower not climb . important know ask make reservation . , money , would stay . 
 oct 9 2009 	 Perfect location beautiful decor though expensive ! 	 treat husband night 's stay hotel birthday present booked & quot ; Secret Rooms & quot ; Laterooms.com . hotel perfect location five minute walk Buckingham Palace close Hyde Park Kensington Palace . easily accessible tube ( though tricky weekend due ongoing maintenance ! ) car occupy plot opposite beautiful Green Park . on arrival , greet wonderfully friendly care staff could not enough we . make huge fuss 6 month old baby especially good many high end hotel keen fan baby ! room beautifully decorate warm colour quirky London feature miniature soldier bearskin cabinet picture many London landmark . Nespresso machine choice coffee soft drink snack mini bar free . prior arrival , send questionnaire ask we favourite hobby etc arrive , put Nintendo Wii game room , well dvd player child 's dvd . my criticism hotel food beverage price . £ 7.75 50ml measure gin two club sandwich chip bottle wine room service bill come £ 60.00 . whilst accept London expensive 5 * hotel expensive , possible fathom sandwich cost £ 15 ! ! ! say , would stay hotel location perfect staff excellent . might take sandwich next time ! ! ! 
 Oct 8 2009 	 Encore visit superb service elegant comfort good staff ! 	 second visit we hotel , well travel family frequent 4/5 star property US . upon arrival welcome staff mgr / kid ' concierge personally instal Wii jet lag kid ' delight . bell staff world class make entrance exit trip like leave friend 's home . accomodation superb comfortable bedding elegant restaurant , complementary stocked pantry stash pleasant snack bottled water . lot high end option London yet distinguish other numerous way important well - travel . competitively price . 
 Oct 6 2009 	 SPA 	 Booked Spa treatment hotel daughter . wonderful location nice staff . pleasant doorman - great round . 
 Oct 5 2009 	 lovely hotel individual great service 	 lovely hotel - staff full personality helpful . location great , 2 minute Green Park tube walking distance Picadilly / REgents Street etc.we stay room quite high small ! fact small , double bed also small . got good deal Lastminute - although well equip , small room . - lot lovely freebie . ren toiletry , robe use , slipper , everything non alcoholic mini bar complimentary well equip room great Ipod speaker , free wifi , well stock fridge , state art lighting system nice quiet . overall , would return . might try get big room good deal really like ambience . bar nice well stock ( like scotch whisky be really luck ) tiny ! Menu look good . cosy , stylish , friendly well equipped . 
 Oct 3 2009 	 truelly fantastic 	 wonderful hotel . great service . check even whisky bar . card already fill , luggage disappear room able get email not charge wifi . hotel ahead game . 
 Sep 29 2009 	 wonderful Afternoon Tea 	 absolutely wonderful afternoon tea Athenaeum - look review online saw award year . the staff extremely helpful courteous . would highly recommend ! 
 Sep 28 2009 	 Milk Cookies Turn - down Serive - London Kids Best ! 	 Athenaeum Hotel Apartments offer spacious luxury live family twist … think video game coffee table , game board , toy basket milk cookie deliver room every night . kid never want go home ! occupy row Edwardian townhouse classic english neighborhood , apartment offer plenty room whole family spread well convenience full kitchen , washer dryer , dining area . hotel offer parent top design luxury cater kids age offer home away home ' always want ( ' pesky kid leave toy everywhere ) atmosphere ! 
 Sep 24 2009 	 great service combine wonderful location 	 gem hotel one good people . bellhop receptionist , warm welcome guest . enjoy fact tall guy front ( be bad not get name hard miss ... tall english man white hair ) always say & quot ; welcome home ! & quot ; deep voice trademark smile whenever get back hotel . favorite guy . waiter restaurant also kind enough explain breakfast menu work ( 2 type breakfast available ) different course lunch . amount attention give we right , aim please eager . big Marks Spencers .7 mile away ( Oxford Street ) Harrods Harvey Nichols would approximately distance ( .7 .8 mile ) towards different direction . original Sightseeing Tour buss stop across street add convenience hotel 's location . numerous restaurant within walking distance . room toilet quite small clean . room size , really nothing complain . another plus internet free . 
 Sep 7 2009 	 great hotel 	 stay weekend . staff friendly helpful . the room spacious comfortable recently refurbish . the hotel location great get around west london . would definately stay . 
 Aug 18 2009 	 great location comfortable stay 	 check - in welcome orginial room assign . back hotel , dark , small disabled facilite bathroom . request change room , reception great . upgrade well room side hotel much spacious , comfortable hospitable . stay 2 night , doorman friendly helpful would recommend hotel look great location centre london . ps- complimentary soft drink , snack proper coffee room refreshing change . 
 Aug 18 2009 	 fabulously splendid luxury girly retreat 	 frequent Athenaeum variety occassion previously , book Athenaeum expect warmth , generosity staff relaxed luxury come expect establishment . however know hotel slowly refurbish past year hope magical quality prescribe quiet charm disrupt . disappointed . enter hotel check tell would short ten minute wait room show beautifully appoint hotel bar serve complimentary mango sorbet chocolate cone whilst wait . hidden touch serve create delightful ambience consistantly surprised provoke precious memory . show room receptionist set eye fabulously quirky design consist dapp british qualities- humour , eccentricity , glamour complete style , elegant set elegant trip . throughout stay could feel welcome staff really act though create every detail utter ease also enjoy superb cocktail wine beautiful bar . higly recommend place stay , thank much Athenaeum ! 
 Aug 17 2009 	 Wonderful Service Perfect Location 	 stay four night 2br/2ba apt ( actually two one bedroom apartment open connect ) . terrific service entire time staff- -desk , door , bell , concierge , even temper flare DVD airconditione . clearly 5 star service . time ask ice , anything , someone arrive promptly . ditto previous poster regard location- -could well . would also mention Shepherd 's Square area Mayfair three minute walk apartment great place grab late breakfast visit pub . room nicely furnish housekeeping good . apartment could use little fresh paint carpet , microwave . also , one side apartment strangely control air conditioning unit call help . later , discover laminate card drawer one table explain use . ' m sure previous occupant put card drawer . however , really handy small washer / dryer unit kitchen , concierge place XBOX unit son . plenty space spread . apartment feel like home away home . one breakfast hotel fabulous , quite expensive . restaurant stylishly decorate appear popular . I would definitely return recommend anyone look apartment , also service fine hotel . 
 Jul 21 2009 	 yet another enjoyable experience wonderful Athenaeum 	 first pleasure stay Athenaeum approx 4 year ago , stay numerous establishment year find nowhere come close . moment approach main door , either John Jim welcome , manner go beyond simple politeness , welcome feel genuine possibly could . reception staff time polite , friendly efficient . room always well present recent refurbishment testimony owner determination keep hotel top game . unlike many hotel let room become worn tired point almost scream & quot ; refurb & quot ; enter ... ' ve yet see room would consider need work whatsoever , hence suprise work carry throughout establishment ! gripe old room size bath , seem remedied certainly feel comfortable ... sure extra space steal though ! park view room feature floor ceiling opening door view .... high floor ... , Green Park Piccadilly . complementary soft drink , mini bar snack , tea , coffee hot chocolate add experience , whilst represent & quot ; great & quot ; cost hotel , something not normally see provide ... normally pay unreasonable charge . well do Athenaeum management little touch . the Whisky Bar warm friendly ambience welcome late night . bar see Arran Malt sale , refuse open bottle Founders Reserve sentimental reason , get sample Athenaeum ! , service always polite friendly . if look fault , perhaps cd player room , tv sleep timer , less complex lighting ( feel good susse ) return Neutrogena Rainbath shower gel .... minor really would not stop recommend anyone .... OH 's always adequate number coat hanger work iron often copy Time what s magazine room ! externally addition live wall something behold set Athenaeum apart host first wall London ! great stuff look forward next visit . Glenn . 
 Jul 14 2009 	 ATHENAEUM - Amazing London Apartment / hotel ! 	 return wonderful family trip London , Spain , France Italy ( write review & quot ; find & quot ; ! London portion trip , stay Athenaeum Hotel Apartments . family five ( three teen ) along mother meet we London five day ! LOCATION - unbelievably perfect ... locate street Ritz Piccadilly ! cross street hotel Green Park ( enjoy picnic dinner park last night ! ) walk thru park stand right front Buckingham Palace ! Cross street ( hotel ) walk less block Green Park Tube station ! look one window see picture perfect London street little church end ! appearance - gorgeous , elegant Manhattan style apartment building ( also hotel front building ) . beautiful flower box welcome enter oversized shiny black front door foyer inlay tile floor . high ceilinge room house living room ( w / a fireplace surround elegant mantel- ( well 90 's , used ) , bedroom , eat room , bathroom traditionally decorate gorgeous damask fabric curtain . kitchen allow we shop Mark Spencer ( great London grocery store block away ) prepare breakfast sometimes dinner schedule . washing machine come handy well ! staff- become dear family friend family ! Serena , John , April , Emma , Tom ( every employee may forget ) sweetest , helpful people stay London . oldest celebrate birthday London Serena help make special day ! Hard Rock Cafe street well ! kid love London look forward return ... pleasure , study live ! ! we bit sad leave home away home last day ! truly believe child 's love London come part stay Athenaeum . 
 Jul 9 2009 	 absolutely fantastic venue 	 attend business meeting recently . first enquiry , right leave Hotel , service second none ! room book exactly describe , well ! rate Athenaeum highly enough ! , mean staff encounter epitome excellence . 
 Jul 8 2009 	 great location ; friendly 	 stay 3 night 1 bedroom apartment . service wonderful - warm helpful moment walk lobby ! compare light - fill hotel room ( face Green Park ) apartment little dark face narrow streetfront . however , comfortable spacious , lovely touch book toy young child apartment upon arrival . kitchenette adequate day ' stay however , could really microwave , especially familie young child need warm milk several time day not want standing stove . learn later Athenaeum sister property service apartment 23 Greengarden House near Oxford Street look well equip long stay , may well check next time . location Athenaeum pretty unbeatable though - walk distance pretty much everywhere one would want visit central London , assume weather cooperate ! 
 Jun 30 2009 	 great people nice location 	 rent 1 - bedroom apartment within 24 hour notice . quite spacious apartment heart London Mayfair - 5 minute walk Green Park tube station . Diana Serena guest relation simply superb . after travel nearly 60 day Europe three trip , fairly decent sense hotel even though really like hotel , rate way - overall impression favorable specific hotel leave wanting bit . wifi also issue - service company call wifispark - send email issue ( work iphone support facebook ) take 7 day write back I . the price high perhaps value low . decide stay 196 Bishopsgate second half trip - post review trip end . 
 Jun 27 2009 	 Fantastic Hotel love every minute stay 	 Athenaeum one good hotel ever pleasure staying . stay suite 7th floor , overlook Green Park simply divine . suite everything ready perfect working order make stay comfortable staff efficient helpful , go way make sure happy well look . bed luxuriously comfortable , soft , freshly wash linen suite also feature walk double shower bathroom , include bath huge mirrored wall , give sense spaciousness . room suite large comparrison London hotel make we feel home comfortable stay . the room service quick efficient food delicious . return show rather late night incredibly hungry order food , arrive room promptly dine staff helpful professional . would definitely stay Athenaeum also consider book parent weekend stay anniversary . delightful hotel exceedingly beautiful market , also comfortable homely , real gem ! ! . 
 Jun 20 2009 	 welcome home ! 	 welcome home . ' athenaeum ' motto walk door . , boy , life statement . really become HOME London . strike conversation doorman , top - notch . would see walk far wave . also excellent service everywhere else well . front desk man check escort room would see occasionally stay approach , call name , ask everything ok . " need anything ? " politeness courtesy never seem force pressure . seem like really , genuinely care need experience hotel . room large comfy . soft drink , water , snack mini bar complementary … something never , ever see London . would say ? heartbeat . welcome home right ! 
 Jun 15 2009 	 fantastic stay can not wait go back . 	 want reasonably price stay go dinner Claridges book direct hotel offering price Laterooms.com . mention husband 's 40th birthday not think anymore . greet we warmly mention upgrade we free charge pleasant surprise . check super quick lady give we quick guide tour hotel 's facility show we lovely bedroom . soft drink snack free also coffee machine ( tea / coffee make facility ) fresh milk fridge . many little thoughful extra make we want go back ! hotel undergo major refurbishment 's gorgeous . attention detail brilliant , husband go home want change everything house . stay many hotel London throughout country first time bother review one . service excellent basically could fault stay . 
 Jun 12 2009 	 wonderful experience 	 husband business London naturally come along . 's 3rd time stay well ! room large well appoint . service amazing hotel sparkle clean . everyone cordial beyond helpful . want give shout Jim John door , John behind front desk , Darren Duncan great concierge sibling Brazil dining room breakfast more make meal extremely enjoyable ! say/ can not wait come back . adore London stay Atheneum one reason . 
 Jun 5 2009 	 beautiful friendly individual facility service - highly recommend 	 book Athenaeum last Minute top secret hotel ( want try something different ) , literelly not know expect . , pleasantly surprised . location central convenient pretty much anything central London . facility staff make place fantastic . room well - decorate ' m actually consider steal idea . check , inform soft drink snack mini bar complimentary ( really not charge ! ) , whisky selection bar really amazing ( choice service all - round great ) . not get use spa / sauna / steam room facility , extrapolate judgement area would expect great . good part , book hotel husband 's birthday , look totally awesome . definitely plan go back . 
 Jun 3 2009 	 Awesome every way ! 	 lucky enough enjoy 3 night Athenaeum Apartments enjoy every aspect boutique hotel & amp ; apartment , location premium , opp . Green Park , short walk Buckingham Palace , Hyde Park , Piccadilly & amp ; Regent street , Soho everything London offer . our apartment one old one , 2 bedroom , still great , full character , well equip & amp ; fridge stock freebie , well good array free snack refill every day . friend 3 bed room apartment , would good value 3 couple sharing & amp ; split cost , apartment roomy lounge well . 
 May 28 2009 	 would definitely return room . 	 stunning hotel excellent location . unfortunately , stay one evening daughter book internet site , ' ve idea cost . celebrate joint birthday anniversary stay view treat . unfortunately , mention , initial impression overshadow scaffold front rear hotel . soon emerge taxi , attentative doorman open door us - welcome gesture typical top hotel . book efficient fast , although site daughter book mention , could not understand reason , unless clarify confirmation ? unlike other , not offer upgrade might room book discount rate due renovation take place . a lovely gentleman whip suitcase away deposit room , have kindly allocate room next door daughter .. unfortunately , scaffold work ( ' ve since notice seem removed front ) come bedroom window , situate rear , problem noise - barely - existent view courtyard . however , see show small celebration , not intend sleep bathe etc . as stay short , not time make use hotel excellent facility , breakfast . room allocate slightly tired side star rating , not room would want stay long , , probably due renovation . room generous size London standard , expect , clean comfortable , bathroom well - stock toiletry , immaculate . communal area immaculate also , time limit not even time wander around excellent hotel . our short stay enhance excellent friendly staff could not fault , would definitely stay , pay upgrade room . would recommend hotel friend family renovation complete , ' m sure no - one would disappoint well - locate up - market establishment . 
 may 27 2009 	 good place ' ve ever stay ! 	 like many reviewer book top secret hotel last minute.com stay weekend boyfriend birthday . not get birthday card uogrades , even without either still amazing hotel ! ' ve never stay hotel receptionist lead room , feel nice touch ! room huge well maintain . two thing could complain ( nit pick ) one central control room easy turn light . lemony fragrance pump air con day night could almost taste morning . aside stay amazing would definitely go back ( could get price , however seem lot stayed not look likely happen soon . ) 
 May 24 2009 	 good location like 4 star 	 location near Green Park tube fantastic - three tube line go , well plenty nearby bus . size room bad London , quite comfortable - bed nice . view room , quiet room look brick wall neighbouring building . bathroom small nice soap & amp ; shower gel etc . hotel renovate probably get good rate lastminute.com . overall bad , probably 5 star standard - feel like 4 star . 
 May 18 2009 	 top hotel 	 wife book birthday say top staff great room clean stylish , location perfect love would soon recomend place 
 May 7 2009 	 great hotel freindly staff 	 fiance book hotel 30th Birthday . cheap think worth every penny . when arrive quickly check show room freindly receptionist . request smoking room expect . 30th birthday hotel arrange complementary upgrade include bottle wine gift . room big comfortable . downside accomadation bath small although shower powerfull . room come equipt large flat screen tv Bose i - pod dock coffee machine . also include bath robe slipper nice touch . not try spa facility , look good . overall fantastic luxury place stay really feel pampered . not eat breakfast £ 24 per person , instead go Harry 's bar road great value tasty breakfast would highly recconmend . would stay great location comfortable real treat . 
 Apr 30 2009 	 awful service ! ! ! 	 awful experience ' ve ever hotel ' ve stay stay Athenaeum Hotel March . find many concierge unfriendly service consistently low - standard , especially reservationist Myriam pretty unpleasant unhappy ask question indian guy show respect people . awful ! ? ! moreover , drycleane return pair pant three time , another shirt twice , stain remove point time . room tiny . this disappointing stay would not recommend anyone . 
 Apr 24 2009 	 nice indeed ! 	 really sure people happy place room public area clean hotel ever stay London ' ve stay many ! yes breakfast cheap £ 27.50 ( rate include anyway ) minibar way overprice ( be minimarket adjacent street minute walk away ) , everyhte else absolutely top notch staff , friendly . overall great clean bill health . 
 Apr 21 2009 	 good location smart hotel attentive staff 	 arrive make welcome quick check room good . breakfast expensive bar drink . 
 Apr 21 2009 	 expect lot money poky tatty room - disappoint 	 choose hotel relax indulgent weekend away , treat thought would five star luxury , base website . location great , room really big let . small cramp , furniture tatty , bath full size . ' ve stay many well hotel room ( pretty much US beat size quality decor / fitting ) . feel like budget room , far budget price . aside , room service good prompt ; breakfast good , though wait long busy get table Sunday morning , seem bit poor . Front house seem bit cramp ( comparison place ' ve stay ) - much wow factor . unable get treatment require health spa overbooke , make fuss , offer option massage pedicure room ( get foldaway table room quite struggle , erect therapist could not move around well , bit comical quite relaxing experience have hope ) . pay top whack single room ( small double bed ) . ' m London soon choose different hotel - little Athenaeum would entice back . 
