good 	 good thing hotel location , convenient base see Beijing major " tourist " site . room nice bathroom ' functional ( flush issue ) .hint : seven eleven close lot good yummy item great price . 
 comfortable 	 stay night husband , part organise tour group . pay tour whole , can not really judge value particular hotel . it be well situated , shopping mall , enormous supermarket , pizza restaurant lot restaurant nearby . room clean comfortable , though bathroom look tired . bed hard , many chinese hotel room . two bottle drink water lot toiletry tea - make necessary provide . a little information would useful - example , electric socket use UK visitor , be hide round side desk , first night charge gadget shaver socket ! also , need room key use lift ; know mean take age get room , husband get trap 12th floor wait rescue . I would stay . 
 Great Location Good Value 	 stay , ask .pdf file hotel 's name address chinese show driver airport . immediately respond satisfaction . location can not beat . connected mall , near subway exit , surround local chinese restaurant many open 24 hour , bar coffee shop , mall , international food chain , near Wangfujing , Forbidden CIty , Sanlitun , easy hail cab hour . outside hotel lot car day 's hire case want go Great Wall , Ming Tombs , etc .. speak English well bargain good price . police outpost nearby too . check - in check - out breeze . front desk efficient . concierge readily help we hotel card direction tourist spot . the deluxe room stayed recently refurbish . bed comfy well pillow . get extra pillow request , extra towel : ( bathroom gripe . 2 we register guest , one set toiletry . probably could ask another set , not bother . soap replenish , even though stay 3 night . weird . bathroom ceramic tile , ugly completely unexpected , like throwback past . showerhead tub also antiquate need upgrade . particular bathroom cleanliness sad say , hotel need improve area . I regular Marriott client , safely say hotel one bad bathroom ever . due renovation soon . free wifi also instal keep current hotel trend . nonetheless , satisfied location value . 
 Mar 2 2009 	 great hotel Marriott service 	 reading mixed review go open mind . be really easy find know ! read leave exit subway , depend line . come airport do not use exit . good thing exit look big high rise hospital , turn back towards walk forward . entrance hotel front , be round back shopping centre . lobby fine yet sometimes little Smokey . help staff arrive bag , staff speak basic english pleasant lack warmth charm . go way welcome however rude . refurbe room 10th floor excellent . spacious , flat screen tv view fine . location good other mention even 10th floor noisy traffic . use swimming pool sauna good 5th floor ensure take swimming cap otherwise can not use pool . breakfast buffet nicely present good choice . price mini bar extreme . pay £ 3.60 coke take lift supermarket basement get one 22pence . internet price £ 8 day slow . internet place near connection fast UK anywhere Beijing . Taxi 's cheap ensure use meter 98 % do not speak English make sure hotel write want go . use metro one ride 20 penny . come hotel lobby nice respectable foot massage general massage spa expensive good surrounding . plenty restaurant around area . 
 Jan 31 2009 	 okay stay great value 	 gold level member book stay point stay one night . would pay ask rate room . staff speak English polite helpful . room towel smell smoke even though Marriott property indicate smoke free ashtray everywhere room . order room service waffle pancake critical mistake orange juice bitter , coffee obviously powder mix price 300 rmb . addition call room service wait almost hour half hour delivery . internet service usually free Gold level member 40 rmb hr . 80 day . standard robe slipper etc . bathroom old outdated Marriott . bed sleep ok.i stay hotel . chinese brand hotel well service well food . 
 Dec 31 2008 	 Great Convenient Location Heart Beijing 	 hotel recently renovate room clean well design . renovation still ongoing part hotel 8:30am 6:30pm afternoon sleeper . comment indicate hard bed ( ) mention front desk 10minute later nice foam pad put bed . price great standard hotel ( ~65USD / not ) . centrally locate tourist site subway 200 m away convenient ( line 5 exit prepare step ) . staff helpful efficient checkin . arrive 7:30am room ready , also accomodate late checkout . maybe staff change since prior review mention slow checkin . great foodcourt supermarket mall attach hotel . also great restaurant within minute walk . breakfast plenty option outside hotel ( supermarket open 8:30am ) . Beinfugie ( famous peke duck New World Mall 2 3rd floor ) , Asjean Noodles , Chinese Neighborhood restaurant hotel turn right quick leave 100 m street righthand side . nice spa 50 m hotel hotel leave . taxi ride foodstreet , sunday market , place 20yuan ( ~3usd ) . watchout black taxi 's park front hotel seem pushy seem take long way ( compare green / yellow taxi place ) . taxis frequent front hotel around corner hotel . 
 Nov 6 2008 	 well locate well review suggest 	 look people say , pleasantly surprised find . hotel right centre ( really one ) beijing , minute chongwengmen station , perfect two underground line serve , north west bind . everyone helpful nice , english mostly issue , room big comfy . bed especially . do not try restaurant bar soulless , health centre shopping mall actually attach hotel perfect need . free use swimming pool 
 Nov 1 2008 	 air 	 spend four night mid - October 2008 . nice hotel , arrive weather muggy warm . surprise hotel hot . room extremely uncomfortable . talk desk say air conditioning turn season could turn late Spring 2009 . room two window , one open little bottom . could get air circulation . inquire fam tell none available . stay uncomfortable rain late third day stay . rain cool city finally able get sleep . never stay . 
 Oct 28 2008 	 Slowest Check ever witness 	 location hotel really beat money . half block Chong Wen Men subway station , plenty good shopping restaurant nearby although would long walk , near Temple Heaven Forbidden City . room decent size room offer great view city . make sure get high floor street noisy busy . room clean come well equip , include toothbrush toothpaste . one bad thing room bed hard , seem typical China . say , experience good hotel check , could little try patience . first look something computer , several piece paper write , back computer , paper fill , another computer log onto , passport examine , paperwork , finally last computer seem issue room information . efficiency easily do less 5 front desk clerk work one reservation . luckily one else attempt check time , else may overload system . all - in - all great hotel stay . breakfast buffet ok $ 15 , lack fresh fruit oatmeal . oh one thing , stay away doughnut ! 
 Oct 24 2008 	 bad Hotel China 	 bad hotel stay China Asia . the checkin terrible . take 25 minute . staff terrible attitude , never smile , like assist generally abnoxious . this like people factory hotel expect service . the breakfast terrible low quality produce . la carte equally horrible . housekeeping refresh amenity room low quality like would find 1 star hotel . the hotel 9 year old room ( even executive level room ) wear tear bad odor . general feeling room old dirty . concierge assist local information . almost no - one speak english hotel although belong American Chain - Marriott . I would recommend stay hotel come beijing definitely . 
 Oct 21 2008 	 convenient location nice room 	 stay 4 night pleased experience . very convenient subway , fast clean , also next New World shopping center supermarket food court level not feel like go restaurant dinner . we also dine peke duck restaurant across street stay delicious . restaurant Beijing report card style hygiene rating system , prominently display entrance , check whether be make dining decision . I like firm mattress not find bed hard mention poster . enjoy buffet breakfast although skip cereal milk give recent melamine scandal . the concierge helpful translate address guide book instruct taxi driver give card hotel 's address Chinese . overall would stay . 
 Oct 19 2008 	 excellent stay - great last day Beijing 	 hesitant book hotel old review finally decide give shot since seem redeem recent reviewer / visitor . hotel disappoint excellent stay , along two travel partner . we book hotel via Expedia rate quite good – come £ 45 per person – two double room divide 3 two night . since Olympics end week prior , rate drop hotel excellent location well . at check - in , still bit hesitant hotel go , especially front desk staff seem bit disorganized understaffed . know asian hotel , usually surplus employee around lobby bow , answer question never queue reception . however , see , front desk clerk courteous oblige request recently renovate room . tip TripAdvisor review good one . room excellent , corner building recently refurbish . great furniture spotless . business centre good internet access expensive , like usual . breakfast so - so choice huge western asian option . hotel connect shopping centre really nice bonus allow we drop purchase continue site see . hotel also share gym shopping centre well appoint . we explore area around hotel night departure , shame actually quite lot offer . include medium sized indoor market wonderful food stall inside fresh food prepare . interesting . otherwise , excellent massage complex road Marriott top notch service excellent price . go day massage place . all , great stay hotel would definitely stay . 
 Oct 13 2008 	 Great Location Disappointing Level Service 	 second time stay hotel , first time 2 year ago problem ever enjoy staygenerally hotel , good standard , clean , average food great central location get around Beijing . the level customer service however really let hotel unfortunately would probably recommend hotel anyone certainly would stay myself . we check 8.15pm , 4 us 2 room book . first say get one room book ( confirmation web page say 2 room ) not get clean room available we ( check time 12 noon 8 hour check room still ' ready ) . ask speak Manager eventually find we 2 room , one upgrade , upgrade however executive floor executive lounge access fact exactly room originally book different floor . take we hour check , check proceeded room get stick one lift lift would not work . breakfast totally price around £ 13.the attitude reception staff , concierge etc disgusting fact quite rude . reception staff also give impression trainee none seem know go on . so unfortunately due experience would give hotel one penny money , not deserve shame really use really good alround hotel 
 Oct 9 2008 	 Tips learn stay 	 friend book hotel point back Spring . read review hope hotel would update time visit Paralympics . update review give we hope meet expectation . Taxi cab hotel 89RMB + 10rmb toll . arrive Beijing , email hotel name address Mandarin . also check hotel reservation desk airport translation . upon arrival , stop front desk 1st floor . 8 receptionist help two set guest take quite time . turn receptionist tell we head reception 16th floor check . platinum gold elite member , would recommend make beeline 16th floor . , find reception lounge even 3 receptionist help we take bit time . least lounge quiet comfortable . would also recommend ask hotel business card English Mandarin name hotel major site near hotel . we receive upgrade room 15th floor . enter room stick room key slot door activate light . renovate room nice . flat screen tv lot english channel . safe closet . music light could control bed headboard . bed firm not plop expect sink . bathroom not seem renovate decent . water pressure good . never trouble hot water . be also turn service night . another area need room key elevator . three elevator two seem run time . order use up / down button , use key card . elevator run pretty quickly . oh 's charge lose room key not return check out . one good thing hotel concierge . concierge guy also play bell boy room service role . always willing help way possible polite . not expect tip . be incredible . example , ask could get phone card . one concierge say could run get one 10 minute . downside question could not answer . the business center 4 computer sell stamp . be open 7 am close around 8 9 pm . concierge say internet cafe street not check . also street 7 Eleven . recommend go water 1.20 rmb per bottle . 's 3RMB tourist site ; similar ratio US . 3rmb still rock price though . the business center also phone service use phone room instead . call number Beijing incredibly cheap ( ~0.20RMB / min ) . get reimburse check . ( not know elite member call within city reimburse everyone . ) call US much expensive . ( check hotel info book price . ) would recommend get phone card dial local access number . in morning , lobby coffee tea . not eat breakfast hotel . instead go around corner 24 hour eatery call Yonghe King . get combo breakfast around 9RMB . be feel adventurous , 's indoor market next door yonghe hot food stall grocery shop . also try Ajisen Noodle next hotel dinner pretty good geared tourist . food court New World mall not bad either . an entrance Chongwenmen subway stop also around corner hotel . 's two subway stop Temple Heaven Park ( Tiantan East Gate ) three subway stop Tian'anmen Square ( Tian'anmen East ) . subway easy use free transfer . transfer within station could sometimes quite hike though prepared walk . would recommend use subway get airport luggage go stair quite often . my gripe hotel taxi front hotel . good rate concierge could get we Mutianyu Great Wall 800 rmb . negotiation possible . try negotiate private driver public taxi hotel see get well rate . also , morning departure ask cab Yashow Market ( bus waiting take we airport ) . taxis front hotel available . concierge flag taxi street . 
 Oct 3 2008 	 good price . good location . 	 good price good location . short walk Metro station one stop metro Wangfujing district . locate right next New World Department Store complex Starbucks , McDonalds KFC . also close great chinese restaurant within walk distance . a half mile walk Beijing Underground City location ( currently closed rennovation ) .The hotel staff helpful write nearby location chinese provide taxi driver ( ) .I would stay . 
 Sep 13 2008 	 water scald ice 2.0 second flat 	 bad place ' ve stay . enough issue would look elsewhere next time visit Beijing . shower water remarkable- scald hot ice cold entire shower- stop flow one , two , three time wife 's shower- weird . the breakfast fine , security good ( key operate elevator ) staff seem fine . hotel China ' ve stay service staff western attitude ( complain coworker frowning ) . finally , like location , midst expensive everything ! will choose place like Bamboo Garden Hotel space . 
 Aug 29 2008 	 great stay 	 stay three niight 12 th floor excellent room . staff polite , helpful fluent English need 
 Aug 25 2008 	 ok dirty smelly room low floor 	 second time hotel , do not book directly hotel , put terrible room , internet work , room dirty carpet , make complaint put room 8 floor . this hotel good position center china breakfast ok , food chinese restaurant ok , u find lot restaurant around , easy acce go china wall attraction . do not use taxi hotel time make price taxi , hotel one lady reception speak english , food chinese u like occidental food terrible like around china . mall connect hotel price ok , do not try anything u r american , everything expensive , jewerly sourvenir cheap , problem nobody speak english well u find somebody speak reception malloveral try another hotel price ok , definitly back try another hotel . 
 Aug 15 2008 	 Great Hotel ! 	 get back stay Beijing Courtyard Marriott Olympics . concerned read old review , pleasantly surprise arrive . staff cordial , know enough English make check - in easy . they must complete renovation , room nice . clean , new carpet , nice size room . bed little firm , not keep get good sleep . nice quiet night , noise street below . excellent western style breakfast restaurant second floor , make order omelette egg . the good thing location . subway stop literally right front hotel . one stop Tiananmen Square , two stop Pearl Market . the bathroom power outlet handle US style plug , may want purchase adaptor need charge one thing time , plugs main room chinese style three prong ( triangle ) plug . I would highly recommend hotel . unless use four star Ritz - type hotel , meet traveler ' need . 
 Jul 8 2008 	 like ... 	 get yesterday . hesitant reading review , quite surprised see modern look inside ( outside facade look like crap ) . room nice large queen / small king size bed , small flat screen tv , small sofa , mirror everywhere . internet 80rmb/24hours laptop . convenient walk large mall , haagen daz , subway . humid Beijing pack light clothing comfy shoe . first try decide Renaissance hotel , ' m glad make choice short stay . also ............. take name hotel airport Chinese possible . otherwise tell want & quot ; New World Courtyard Hotel & quot ; Con : Staff speak limited english repeat thing different way get understand . general population Beijing . take 30 minute order pekign duck go road ... 
 Jun 7 2008 	 miss Courtyard Marriott 	 originally book thru Expedia Fortuneland list 3 1/2 star Courtyard Marriott list 3 star . travel Caribbean ( Trinidad ) London Dubai finally Beijing - 48 hour , horrify call hotel Fortuneland . like run - down brothel beyond tacky - fact filthy . check immediately . matter fact never really check since look & quot ; room & quot ; decide hunt well accommodation . Marriott Courtyard . first difficulty check catch choose upgrade room - 14 15 th floor . two - week stay without incident quite comfortable . it true hardly ever day camera crew shoot pre - olympic television series . still remember wonderful breakfast pleasant member staff . stay Courtyard Marriott - will not regret . 
