exceptional 	 go Montreal weekend getaway husband . Stayed Emabby Suites disappoint . arrive receive warm welcome quick check . staff bilingual gladly speak either English French . fact everyone encounter Montreal completely bilingual happy speak English . truly friendliest people ever meet . hotel centrally locate short walk old Montreal go block direction heart downtown shopping ! hotel room clean well maintain . although bedroom bit small rest room quite spacious make . kitchen equip fridge , microwave lot cupboard space . large living room huge bathroom whirlpool tub . never trouble find parking spot underground spot provide ( fee ) prvilege . Manager 's reception hold night oferre complimentary snack two complimentary drink night stay . also provide complimentary breakfast large spread bacon , egg , omlet -prepared spot , sausage , cereal , standard fruit morning pastry . hotel well worth . 
 Best Embassy Suite ever 	 well - design modern hotel wonderful walking location , adjacent old Montreal Chinatown . suite spacious fireplace , large jacuzzi tub , extremely comfortable mattress , living room , kitchen , two - flat screen television hook mp3 player . service excellent . definitely stay . 
 oct 9 2009 	 wonderful severl day montreal 	 comment regard Embassy Suites stay recently.1 ) room clean comfortable league Embassy Suites use . $ 188C per night park $ 19c per night reserve chain 's website . convienient Old Montreal . kitchen stainless steel appliance dish , utensil , 2 modest array pot & amp ; pan ( though sponge , dish soap kitchen towel ) .2 ) Breakfast also line other chain . see lenghty line lack breakfast item describe review . stay Thurs , Fri & amp ; Sat think get fair sample weekday weekend crowd . Manager 's nightly reception also standard exemplary Embassy Suite variety . 3 ) staff friendly helpful especially breakfast reception manager concierge.4 ) see overcrowd 2 elevator someone else mentioned.5 ) 2 thing puzzle we funky room key swiping mechanism elevator ( never figure function ) opposite - side- of- the - road traffic pattern basement garage ( ? ) .6 ) find hotel far well number negative review find we trip . would certainly recommend hotel trip Montreal . 
 Oct 3 2009 	 great hotel good service Brand new hotelnice nice 	 thank wonderful stay , hotel , much well 5 star hotel list , , 
 oct 1 2009 	 Excelled Areas 	 fantastic hotel . spend 7 night Embassy Suites enjoy every one they . initailly choose hotel due 's position directly accross street Palais des Congres attend conference . however hotel much great location . room marvellous , large ( seperate bedroom , bathroom , sit / lounge & amp ; kitchen ) . addition also include large spa , electric fireplace lot wardroom space .... ask ? room also quiet , clean service everyday . staff friendly , helpful attentive need . you really can not beat value place breakfast freebie include rate . it 2 minute walk old Montreal wonderful restaurant , shopping sightseeing location . well do Emabssy suite make time Montreal happy one . if ' m lucky enough ever return Montreal place choose . 
 Sep 28 2009 	 Excellent hotel highly recommend ! ! ! 	 love hotel , be good ever ! ! ! many hotel Canada , US Europe hotel well ! Loved Suite , everything perfect ! huge fridge , kitchen , etc . great someone stay couple night like . great location , great time old Montreal . parking free hotel around convenient ! highly recommend ! ! ! would go back glimpse ! ! ! 
 Sep 25 2009 	 great location sightseeing 	 book hotel wife 's employer conference attend . think location perfect - right across street Palais des Congrès couple block Old Montreal . Place d'Armes Basilique Notre Dame literally right around corner , Palais des Congrès connect Underground City , literally get anywhere downtown area minute . staff friendly helpful , even tolerate hapless attempt speak French . : - ) -jimg 
 Sep 21 2009 	 Perfect Location Great Room 	 really enthusiastic five category Embassy Suites . attend conference Palais de Congres , close anticipate - right across street . suite wonderful - spacious great , full - sized appliance . oddity coffee maker . expect four - cup pot find pod - type brew cup time . also never able open dishwasher - puzzle . manager 's reception breakfast quite generous . room service menu limit food service great . the bell staff / concierge helpful . self - service parking hotel reasonably price accessible elevator room . wonderful stay business ( mine ) pleasure ( spouse store bike room easily great ride hotel location . ) 
 Sep 14 2009 	 spacious room Great Location cleanliness problem 	 really like location hotel easy walk old city area , Chinatown , easy access subway bus . self park $ 20 / day . kind enough check we several hour early . stay 3 night large King Suite 2nd floor . room beautiful , huge bath w/ jacuzzi tub , marble surface , nice kitchen area w / fridge microwave , comfortable bed , living room w/ couch , chair big screen tv . lot closet space storage . carpeting need clean replace glass provide fingerprint someone pick rim 3 day . facility 2 elevator wait elevator long busy time . give ticket two drink happy hour breakfast coupon person day . put chip , salsa pretzel thing happy hour . breakfast steam table scramble egg , fried potato , bacon . potato room temperature three day . also omelet station make good omelet choice ingredient . also good variety beverage , muffin bagel . problem find clean plate , usually search 3 4 find clean one . really need go disposable plate glassware can not figure get dinnerware room glass clean consistantly . kind strange hotel housekeeping good except cleanliness room glass , plate breakfast area . detract otherwise top rate hotel . like hotel enough despite problem would stay . 
 Sep 14 2009 	 Best Family Hotel Montreal Best Staff Town ! 	 get back Montreal Marathon one good stay ever ! room clean , roomy perfect family travel . busy weekend due marathon staff could friendly . free breakfast perfect way start day , make order omelet , juice , coffee , bread , egg , bacon , sausage , etc . manager ' cocktail reception nice well ; two drink ticket plus light snack . hotel convenient Old Montreal , St. Catherine Street , shopping , Old Port . eat favorite restaurant , Gibby 's Old Montreal disappoint usual . the staff hotel 5 - star ! can not say enough hoe professional , friendly helpful . front desk staff top notch , breakfast / bar staff could enough well housekeeping . hotel manager extremely proud entire staff . as far negative comment read ... may legit time , ignore ! elevator work fine , breakfast wait time reasonable , room clean . ' m impressed hotel manager read comment obviously address hotel seem run like clockwork ! usually stay Bonaventure Hilton street , find new home Montreal . point deficiency would HVAC system room noisy side pool , would let deter try gem hotel . look forward stay future . hat hotel manager entire staff ! 
 Sep 14 2009 	 Excellent Choice ; Better expect 	 wife Montreal 2 day get daughter move university . look hotel suite downtown , see Embassy Suites offer reasonable rate . stay Embassy Suites time impression consistent quality high end . find hotel well expect . room quality suite expect . location well expect ( border old Montreal ) . service really impress Embassy Suites Hotel . time arrive rental car need help bag , check - in frequent stop front desk Consierge ask information , everyone extremely friendly want help . rate include free breakfast , good quality , good service ... usually expect ' free breakfast ' hotel . , would definitely stay next time travel Montreal . 
 Sep 5 2009 	 great location spacious room worth visit 	 1 night stay Embassy Suites Montreal real treat . have never stay Embassy Suites pleasantly surprise size decor room . choose hotel large measure central location near Old Montreal allow we explore city foot . hotel also provide nice cook - to - order breakfast . would absolutely stay . 
 Sep 4 2009 	 Excellent Hotel 	 location hotel Old Montreal near Chinatown well . 's quiet street new rental bike outside hotel want take ride . room nice spacious . furniture modern two flat screen tvs - one living room one bedroom . kitchen helpful could take breakfast drink back room . buffet breakfast pretty good hotel happy hour ( 2 free drink ticket per guest , believe free snack - veggie , chip etc ) . be 2 elevator result line - up and/or wait big deal really . slight communication issue front desk ( leave key sible room give wrong card key - room instead - big issue either ) . overall , nice hotel would highly recommend go forward . 
 Aug 25 2009 	 Disappointed 	 often stay Embassy Suites generally set well family five can not beat value breakfast manager 's reception . say , family hotel . room beautifully appoint ( need dishwasher dish room ? ) , little space luggage . huge bathroom jet tub two waste we . pull couch extremely uncomfortable ( pull Niagara , although couch DC comfortable ) . kicker travel agent call verify pool privilege Hilton Bonaventure ( roof top pool ) construction . ask , arrive , say arrangement winter . husband conversation clerk follow management ( would ) . one main reason choose hotel . hindsight , pay extra two room Hilton . location service fine . experience wait elevator , Embassy Niagara Falls , feel short . buffet , bowl miss , plate sometimes dirty help -yourself soft drink , could lead line up bar . 
 Aug 23 2009 	 highly recommend ! 	 husband recently stay Embassy Suites . check upgrade queen suite king suite also tell manager reception also include ( two drink per adult every evening plus nibble ) , great start vacation , . happy location , room staff . problem AC room first night move next day give complimentary bottle red note manager appreciate . I would stay recommend friend family . 
 Aug 23 2009 	 lovely room ; location beat ! feel crowded summer . 	 stay Embassy Suites often work well family . Montreal Embassy centrally locate block Vieux Montreal step Metro ( Place d'Arms stop ) Underground City , 9 - year - old son love . room small Embassy hotel ' ve visit , much luxuriously appoint , granite / stainless kitchen full fridge freezer , beautiful bathroom jet tub above - mount sink , cute pocket door small bedroom . room clean housekeeping bit iffy -- glass replace , stuff bathroom counter straighten . unlike Embassys , room around central courtyard , lobby small narrow . outdoor seating help , seat premium breakfast evening manager 's reception . feel crowded time . two free drink free snack generous -- never use drink coupon . big complaint : elevator situation terrible . two guest elevator staff elevator . mid - way stay , one passenger elevator break ; quickly fix staff elevator break . could find stair go lobby -- try one go basement ( though never ask , maybe staircase would work ) . one morning , forgot camera , go back take 15 minute . another morning , 10 - minute line elevator . ( yes , line , like amusement park . ) air conditioning also spotty elevator hallway ; room fine , though other talk problem shut . add crowded , cattle - call feel hotel . as other mention , breakfast wait long , especially weekend . weekday , go breakfast 8:30am beat crowd . weekend , long line even 8 am . staff nice keep demand -- bowl miss , milk coffee , etc . however , food good much well typical Embassy breakfast . be include , huge money - saver expensive city . the hotel concierge desk , give we great advice visit farmer 's market ( Jean Talon ) . seem know stuff . & quot ; fitness center & quot ; seemingly temporary setup empty guest room second floor ; assume be work . awkward decide use , big deal . overall , value good would probably stay , might also price Westin Inter - continental street , since location advantage . 
 Aug 21 2009 	 could not please ! 	 husband book hotel 30th anniversary wonderful time . suite perfect kitchenette , 2 large screen Tv 's , whirlpool tub , fireplace many restaurant attraction nearby . affordable price ! want return . 
 Aug 21 2009 	 nice every way except view free beer 	 stay Embassy Suites attend convention Montreal Palais de Conrges ( convention center ) . hotel convenient , right across street . be also block Chinatown Old Montreal . the room beautiful , combination kitchen ( oven , microwave even dishwasher ) sit room well bedroom . bathroom shower large jacuzzi - style tub great . two flatscreen tv , one bedroom one sit area . dish utensil kitchen except mug coffee . supposedly , could ask , never show borrow breakfast buffet . wireless access work well room ; usually charge free convention rate . free full breakfast everyday great . free snack two free drink every afternoon beer & quot ; free & quot ; menu Alexander Keith 's , basically Budweiser . helpful , friendly staff . view room convention center ( bad , really ) room look construction behind hotel . room fireplace , , ask want one . note Montreal great restaurant hotel . 
 Aug 19 2009 	 great hotel - great location 	 great place want centrally locate want walk many point interest Montreal . 7 9 year old easy walk Old Montreal ( couple block Notre - Dame Basilica ) , China Town maybe 15 minute walk downtown although subway station one block away . bring bike able ride waterfront ( street narrow tricky kid 's far ) go ride along Lachine Canal bike path go mile . new & quot ; public bicycle & quot ; system place Montreal bike rack city . pick bike drop location . cost $ 5 . & quot ; Bike friendly & quot ; city . bike rack front hotel . room great kid love HUGE jetted tub light ! ! guess need ask get dish kitchen empty love big fridge microwave use snack . living room kitchen make feel like be not stick little hotel room . great bonus drink ticket every day . good drink , kid Shirley Temple plate snack head evening . front desk staff great everything do quickly efficiently . free breakfast good . lot selection . never wait minute . 
 Aug 17 2009 	 Wonderful Hotel ! ! ! 	 hotel one good ever stay ! beautifully appoint , guest room many nice upgrade like granite flat screen t.v.s . bed unbelievably comfortable -- love ! great location right edge Vieux Montreal . walk everything ! staff friendly helpful well . would HIGHLY recommend hotel anyone ! 
 Aug 16 2009 	 great location service 	 go back stay Embassy Suites Montreal . great location nice room / suite ; think little small side compare Embassy Suites . stain carpet ( rm 715 ) , overall pretty clean . previously post , main issue hectic pace breakfast ; long line enough table . wait line 10 minute , finally gave want cold ceral , could not find bowl . bowl show , not milk . finally , cup coffee croissant . overall , nice hotel good service , still issue work . 
 Aug 12 2009 	 beautiful hotel great area 	 town convention , choose hotel right across convention center suit us teenage daughter . hotel new not list car 's update nav disk . addition Palais , right edge Old City , block Montreal 's China Town , long walk pier , downtown restaurant , etc . Metro block away . not move car five day stay there . the room fantastic . nice sized kitchen full size refrigerator / freezer ( utensil though ! ) . master bedroom king size bed two closet closing door living room area bathroom . living room decent sofa bed desk area , plus large closet entryway , plus door common bathroom . two nice modern tv not use . the bathroom huge whirlpool type bath . unfortunately easy way get deep tub - minimum support bar provide . shower stall tiny , clear glass privacy . one sink , dress area side . bathroom perfect couple , provide privacy area allow one person use . ' ve seen handle lot well much less space . I call sign internet connection , tell room wire charge $ 9.99 day - advertise free internet lobby wireless . Hilton Silver member bit miff . lobby internet would work advertise without password either , front desk clerk provide one . the manager 's reception every night bright point - good service drink even provide expensive mixed fruity one . limit two per day per person , leave without use anywhere near ticket problem . parking lot - sign existent dead wrong . pull garage door open , drive LEFT way , switch without warn right ! park , even hint get hotel - keep follow sign basement , walk five flight eerie tunnel see light . dark might still . get sign ! ! ! much say breakfast fiasco . every day . - get SIGNS ! give people hint . omelet line could probably go 50 % fast move omelet ingredient station back foot put big sign English French tell people put choice little bowl . several time omelet make people front either frantically fill bowl one time even sure . reason put secret pancakes area ( never get one ) , fruit utensil - mention detail other . in short , great hotel perfect modification . 
 Aug 10 2009 	 great property minor issue 	 heartily recommend Embassy Suites anybody come Montreal , many reviewer state early , problem really need look corporate head office hotel 's senior management . first , room huge utterly gorgeous ! simply put , apartment , standard hotel room . floor - to - ceiling window , central climate control ( shortly ) , huge in - room jacuzzi - style bathtub -- one room , 2 large fireplace suite -- great kitchen . the glare problem breakfast situation . really dire depict . cafeteria - style lineup simply need , purpose custom - cook egg / omlette . arrive 8:30 breakfast , prepare queue around half hour . make way line , block access plate , tray , cutlery ( perpetually short knife , would seem ) bowl fresh fruit . end line will find three chafing dish ( breakfast potato , bacon saussage ) , two harry cook manage 5 pan pancake dispensary far end . three identically - full chafing dish far end dining room sign way guest not know existance . would * strongly * recommend consider rip cafeteria - line , put three large table self - serve chafing dish fourth specifically egg / omlette , do almost every hotel ' ve stay in . my second gripe air conditioning . 's motion detector hard - set default 20 degree . great energy conservation room unoccupie -- great need cold sleep ... since be move around , detector shut A / C wake stuffy hot room 3 am . take three night maintenance staff resolve issue end fix , bill reduce fair amount inconvenience . corridor floor ( 6th ) wase * * air condition stuffy , also . the next issue internet connectivity . many time wife unable connect , either Mac XP box , in - room lobby . even connected , slow . since part convention whose guest highly ' net - savvy , would say maxe bandwidth short order . what problem encounter make fanstastic staff . every single one , Concierge chamber - maid , wonderful make we feel welcome . model staff every hotel industry strive emulate , compliment whoever management set bar high staff training . get right , plain simple , * * back ! thing would make perfect we would fitness centre pool jacuzzi . 
 Aug 9 2009 	 Wow 	 enjoyable stay . upgrade enormous suite fireplace , whirlpool bath , full kitchen ( use ) table 6 . furniture comfortable good condition . other note , breakfast get crowd , tell ok bring tray back room , . manager 's reception great amenity . order room service couple time -- food great service quite prompt . self - parking big plus , . much prefer valet . two elevator serve 11 guest floor 5 parking level , sometimes wait . one elevator work one morning , management staff tell guest could use nearby service elevator . message convey rest staff , however , result confusion . I not much care restaurant scene Old Montreal nearby . restaurant crowd , pricey , tourist - orient . next trip Montreal , will focus restaurant Rue Ste . Catherine . area improvement supply plate , glassware , etc . kitchen quite limited , tv 's , though flat - panel , receive analog channel ( high - def ) . dvd player would nice touch , too . overall , great time would highly recommend hotel . 
 Aug 8 2009 	 lovely hotel great location many little problem 	 currently day 3 5 - day stay Embassy Suites Centre - Ville . book room 3 adult 1 child . room lovely modern . fireplace all - electric , really like picture fire emit heat actual FIREplace . kitchen disappointing ; though nice refrigerator 's really kitchen . 's wet - bar microwave fridge lot empty cabinet . dishwasher happen unlocked arrive ( other say locked ) . yet try lovely jacuzzi tub spacious bathroom . shower nice ; wish bit large someplace hang towel would stay dry , could reach inside . ' ve take place roll vanity chair enter . the hotel bring dish ask really not seem understand & quot ; kitchen thing & quot ; mean . first ask , ask many people want dish . bring 4 plate , 4 fork , 4 butter knife , 4 spoon 4 people . bowl , extra glass , service piece , microwave cooking piece . ask later , bring bowl , cut board , sharp knife , say anything like colander service piece . ask dishwasher detergent twice still get . arrive promptly item willing bring . ' ve give ask . when arrive , wet spot carpet . soon afterward , realize air conditioning work . promptly send engineer remove 10 20 pound ice thing . leave even wetter spot bedroom front bathroom . yesterday ask someone come deal wet spot . try , one front bathroom still wet nearly 2 day later . quite annoying step bare foot . they provide 3 set towel 4 we . extra towel use kitchen towel . call extra towel , replace . must call day get enough towel we . arrive promptly , be annoying keep ask stuff . feel like ' m call twice every day something ... 's much annoying call something like extra towel would simple housekeeper replace many towel take away . about internet : file ticket isp get wire internet working room . internet room require code front desk tell , way know . ( friend tell code . ) website say ought wireless access ( well wired ) suite , wireless suite 507 . call front desk , tell we suite wire access . get wireless access lobby . Breakfast serve 6:30 9:30 weekday 7:30 10:30 weekend . not plan roll 9 10 getting feed ; hotel full line get long unless get early . stop serve promptly 9:30 . can not get seat 's okay bring stuff room . get make - to - order omelet egg . see someone pancakes not know get . separate table breakfast meat & amp ; scramble egg not want wait big omelet line . look behind omelet line fresh fruit . chocolate croissant good , paw around regular croissant find . 's toaster want bread , english muffin , bagel toast . 's coffee juice bar . my opinion far : hotel could OUTSTANDING examined process guest 's point view . simple thing would make stay much enjoyable : - replace towel instead provide standard set 3 ( room 4 people stay . child use least many towel adult , y'know ! ) - provide basic kitchen supply like dishtowel , dish soap , kitchen tool , basic dish cutlery default instead demand . least stocking additional supply like colander service piece folk ask . want wash cut veggie , would ? - reorganize breakfast area . ask line people move aside get fruit . 3 people line area get block . the hotel OK . could probably lot bad . prepare bucket minor annoyance otherwise nice place , good choice . really wish could rate high . 
 Aug 3 2009 	 Correciton Rating Scores 	 please disregard rating score previous review . accidentally check incorrect box . overall rating excellent . please refer comment previous review . tell wonderful hotel truly . 
 Jul 21 2009 	 great value fantastic room enjoy 	 stay August 2008 part road trip around US Canada teenage child . first time Embassy Suite . new place , fantastic room , great staff , drink reception evening well worth it . only small downside , breakfast good , manic . 
 Jul 20 2009 	 great space family comfortable . 	 recently spend 1 night way Mont Tremblant . use Hilton point great value family four stay . get early problem check . king room reserve able give we room 2 queen great need . bed comfortable room full sized kiichen nice bathroom huge jacuzzi tub . complaint room carpet stain . complain desk weird stain . look like whole room new except rug . we enjoy manager reception . crowded find spot sidewalk outside great . first Embassy give drink coupon , 2 . wonder local law . every Embassy visit 2 hour happy hour . also breakfast morning decent variety . never see pancake though . wait elevator long time . could believe rude people wait . would push way people get . obviously , fault hotel . we bring touch could get wireless signal . cable hookup though , bring laptop . the location great walk old part city . also far walk Saint Catherine Street . parking $ 20.all staff helpful friendly . pool open know advance . would stay get good deal , espeacially need suite , would also shop around 2 we . 
 Jul 20 2009 	 great business accommodation 	 beautiful 1 bedroom suite kitchen kitchenware cookware . stay 8 night would like able cook something give book thought full contain 1 bedroom . restaurant quite limited choice numerous restaurant around area . location great , downtown , short walk port , metro plenty shopping , activity . 
 Jul 19 2009 	 great location 	 get back yesterday stay 3 night Montreal . location hotel could not well . short walk & quot ; Old Montreal & quot ; . room nice - & quot ; studio & quot ; nice size 2 people . problem breakfast buffet - always find table ( usually get around 8:30 ) . not want wait line make -to -ord egg , scramble along hard - boil egg , bacon , potato , yogurt fruit salad another table . wait get fresh fruit , get line along other wait made- to- order egg . also pancake go left get chef ( probably different area ) . manager 's reception get crowd always find area sit - one night sit couch - need table share drink snack ( veggie & amp ; dip , salsa & amp ; chip , cheese , pretzel mini - bagel pizza ) . every one helpful & amp ; friendly problem language . parking garage convenient ( extra charge $ 19 / day could go ) . would definitely stay . problem room carpet little soiled area . however rest room clean - dishwasher lock mention another review -but need dish . put use cup sink get fresh one next day ! 
 Jul 19 2009 	 great hotel 	 stay 1 night hotel find staff , room everything like . big shout staff management . plan 2 night stay reason unrelated hotel , decide cut stay short . hotel management willingly cancel 2nd night honor free parking rate even though 2 night stay rate . gold Hilton Honors probably something . remain park garage day walk around vieux Montreal . , go one step . lot canadian $ $ going spend shorten visit refund credit card first night ( pay deposit 2 week early ) allow pay room cash not much $ $ exchange back . friendly entire time pester request . room clean importantly , quiet . negative , morning breakfast room pack . go late thinking would miss rush instead , think everybody idea . wait line 15 minute eat sit lobby area couch instead table . end world might worth go eat early morning . 
 Jul 16 2009 	 Top Drawer - would recommend location 	 weekend stay Jazz Festiaval staff exxceptionally friendly , accomodation comparable good . manager reception breakfast add right touch class location could better 
 Jul 13 2009 	 pleased Stay . stay . 	 Husband stay Friday , July 10th one evening . stay room 813 impressed . room surprisingly large great layout . room ton storage space . three closet room , plenty hanger . king size bed comfortable ( extremely picky bed ) . bathroom also big bathtub big enough two ! jet pretty extreme , quickly turn , enjoy great soak night town . upon check - in receive 2 ticket cocktail evening , well ticket hot breakfast next morning . drink lovely , although sunny hot restaurant cocktail hour . next morning go restaurant around 9:30am breakfast . bit lineup omelet station , nothing unreasonable . problem get table . staff quick clear table . read complaint breakfast , say , can not really relate . although well breakfast , food good enough we leave feeling satisfied . location great ! town cirque du soleil walk venue well several place interest old montreal . also bixi bike rack right hotel . great idea convenient hotel guest . my Husband intend return Montreal future would not hesitate book hotel ! 
 Jul 7 2009 	 Appalling Management dirty 	 People review hotel probably impress gimmick like flat screen tv jet tub , 20 year travel never see anything appalling . first night discover broken glass leave carpet . oviously vaccume guest part housekeeping program hotel . suite hotel kitchen try use dishwahser ... luck ... literally screw shut . call reception send handy man drill open . explanation machine screw shut order management guest & quot ; missused & quot ; machine . apparently management think nothing inconvenience hundred guest one incident . second night come back room bed do bathroom half clean . take 4 phone call reception 90 minute argue someone come finish cleaning room . front desk supervisor could anything accord except write report manager next day . breakfast barely school cafeteria grade , staff unavailable ignore guest wait table . explanation give breakfast service contract another company run Hilton - Embassy suite . one advice ... stay away , price lot well Montreal . 
 Jul 1 2009 	 Excellent Hotel NHL draft 	 one stay everything seem work matter what . when arrive hotel greet graciously , give room ninth floor corner room ( room 901 ) great room full kitchen , living room , dining area , hallway jacket etc , bedroom bathroom jacuzzi bath . the staff able help way could stay also fortunate enough see number NHL coach executive stay week draft . the little concern , breakfast time , seem fruit omelette one line , want piece fruit wait sometimes long line . I stay recently another Embassy Suites Canada make lot sense . seperate would much less headache . however , big deal I . this hotel locate directly across street Place De Armes convenient major attraction etc . I would highly recommend hotel . 
