CLEAN 	 stay London travelodge , never South Bank . excellently locate hotel , 100 yard tube station Southwark 5 minute walk Thames . great base want bed night clsoe amenitie London town . reception staff helpful . 
 Sep 21 2009 	 pretty poor price pay .... 	 check fine friendly , allocate room 6th floor , corridor darkness , make finding room difficult . late early start next morning , not notice straight away towel provide . one around reception early morning advise problem . room otherwise fine clean , attention detail need ! 
 Sep 19 2009 	 budget hotel ..... highly recommend ! ! ! ! ! ! 	 stay Travelodge Southwark 3 night fly Australia London . check 7 pm efficient smooth . the room spacious ( ask family room price double , get lounge ) comfortable . it consider frill hotel do not provide toiletry etc far everything else brilliant . newly build hotel 5 minute walk tube station 15 minute walk London Eye . central . the restaurant food basic ( good prebook 2 course dinner 6 pound ) eg fish chip , lasagne , curry etc pub restaurant / cafe right outside front door . wine bar next door excellent meal ! also vend machine reception area internet terminal ( pound per 20 minute ) ......... really could not fault . especially go cheap rate ! ! 
 Sep 9 2009 	 comfortable relaxing stay 	 ' m quite fussy cleanliness hotel travelodge clean modern . stay 2 night ( 2nd-4th Sept ) thoroughly enjoy stay . location excellent - virtually doorstep Southwark Tube station 20 min walk London eye . hotel service excellent 2nd day return room find bed make , clean towel etc . lot room 7 floor think might hear guest , however whole stay peaceful relaxing . also great local bar / restaurant highly recommend ' Tas ' - greek / turkish restaurant literally 2 minute walk Travelodge . 
 Sep 7 2009 	 Second visit - go back soon ( hope ! ) 	 second visit Southwark Travelodge year . 's ideally locate ( even 's convenience store sell milk , paper , snack etc ) . Tate Modern five minute stroll , load restaurant / cafe Blue Fin Building , get . 's Pret , Leon , Starbucks load eatery , look nice . the hotel situate railway line not let put - double glazing good . ask room one upper level ( 7 floor ) face road . luckily situate room 627 , overlook Union Street . get next noise room . secure door every corridor feel quite secure . first night , rowdy girl way club , come back noisily 4 am . exception though - eight night little disruption one time . main 's mostly business people , young couple family seem make use hotel . the location hotel really 's major selling point . two minute walk Southwark tube station ( great Jubilee line , mean Bond Street tube 15 min ) . Waterloo station amenitie 10 minute away , be Sainsburys local opposite station , well nice pub call Wellington sell pretty good pub food . lot bus stop , area whole feel quite safe . the room extremely spacious bathroom neat clean . know expect ( expect Travelodges ) - bar soap , frippery , amount pay ( ave . 30 quid night ) be fine . nice bath long day schloppe around London water really , really hot ( plus point like border scald ! ! ) . shower nice powerful . towel not fantasticly soft good size job fine . the room clean service daily . flat - screen tv really nice plus point , esp Freeview channel radio station . view Big Ben nice bonus . would say stay ever slightly inferior stay January . staff friendly occasion , complimentary coffee go Gold Blend Nescaffe Original ( hate ! ) . small matter , find 's often little thing make break trip . overly worry instance pay going rate think I'\d tad annoy : ) though , go back , probably January sale ( provide get good deal room ! ) . be great base London reckon would hard push find good value anywhere Travelodge Zone 1 . 
 Aug 24 2009 	 Good Value 	 arrive little early early check , receptionist friendly tell we know have arrive look early check . wait couple minute tell room ready . room basic ( expect budget ) , clean , airconditone nice quite . location great , 2 minute walk Southwark Tube , 10 min Waterloo London Bridge , walk distance Tate / Globe & amp ; interesting place round London Bridge . Borough Market also area . stay son , 11yr 15 yrs , feel safe area walk back Tube night . handy shop stair sell everything fresh bread , milk , sandwich , drink , paper etc ... Travelodge restaurant , could get pizza box bring back room - great teen . internet reception also good teen . reception area vend machine , handy late night cold drink . 24 hour supermarket near Southwark Tube station . 
 Aug 24 2009 	 Basic Hotel - clean comfortable 	 hotel basic frill price pay excellent . clean , comfortable quiet even though next railway line . 10 -15 minute walk Globe Theatre spend evening lot place eat close by . would definately stop hotel . 
 Aug 23 2009 	 Hassel frill 	 ' want , place crash walk around London day / night . nothing else . use Travelodge lot one pretty good . family room 2 adult one Teen . couch like day bed , comfortable sofa bed . room clean comfortable . could see train go window , never hear . also view office building next door , careful open curtain . restaurant look like school cafeteria , probably fine . ( ' eat ) ' bar area , get drink restaurant sit take room . handy shop entrance need . walk river area 10 - 15 min , come across coffee shop along way . lunch dinner easy walk Thames path find restaurant . eat italian place great view river . also nice look fish restaurant next upper deck . 
 Aug 21 2009 	 basic - night evacuate dawn due fire alarm 	 impressed , room basic cheap , uncomfortable mattress , poor lighting extractor fan work bathroom . two towel 4 people . night awake due fire alarm , first night 5.25am second 7 am - apology wait outside pyjama exauste child . lovely tiny theatre 2 door along . however pretty cheap London , clean near station would not stay 
 Aug 16 2009 	 clean comfortable 	 stay 4 night family break . pre book early check well arrive midday would waste afternoon wait get room . arrival check quick get room 1 towel double bed make bedclothe sofa bed - 4 we . maid next room able sort towel bed without problem . room quite big clean . although overlook railway do not bother we . Maids come every day make bed leave clean towel do not expect . never replace toilet roll go reception ask , complaint could say have . breakfast quite basic edible always get enough we . hotel 2 min walk southwark tube staton 5 min waterloo . overall enjoyable stay would recomment travelodge . 
 Aug 16 2009 	 Excellent stay ! 	 stay various Travel Lodges across UK , good ' ve ever stay at- hotel fairly modern air conditioning , digitial tv bright comfortable . stay either side travel Europe- first three night 7th floor great view St Paul 's Cathedral , look spectacular night . second three night second floor- real view , apart railway track ( not go London look hotel window ! ) train pass window quite often could not hear them- noise certainly issue we . last year stay Purple Hotel Tower Hill ( Premier Inn ) not awful lot difference two- except Travel Lodge room £ 19- £ 39a night ! bargain . certainly stay . 
 Aug 14 2009 	 trick many room size reataurant though 	 go day holiday London show kid site . hotel pretty reasonable price fairly handy London city centre . good wee pub opposite food owner friendly pint night hard day tour round city . good 20 minute walk London eye , 5 min tate modern , quite bar etc street 2 minute southwark tube station . use taxi get cheap pay 5 tube ticket . would probably try get hotel bit close centre next time could walk main shop , site etc . restaurant small amount room hotel . hotel newly open go clean . 
 Aug 13 2009 	 great central location budget hotel 	 see warning train noise call ask quiet room check - in day - duly allocate top floor room noise . great central location budget hotel ; budget place poor location . walk Tate Modern along South Bank Big Ben 30mins . many budget hotel possible . room big London standard , clean . obviously good hotel London , one good rate pay . budget London trip return . 
 Aug 7 2009 	 Perfect need 	 stay 2 night find perfect need . 's basic ( know , be stay Travelodge ! ) , clean comfortable . 's 2 minute walk Southwark underground station couple minute away Waterloo . time walk Waterloo 's well choice train . hotel also within walk distance Westminster etc ( maybe 15mins quite slow pace ) ideal sightseeing . not eat hotel 's much nearby want make stay London . criticism staff . find unfriendly unhelpful ( luckily deal checking ) . apart , would recommend hotel probably stay next visit London budget . be budget , would recommend Park Plaza County Hall minute away Travelodge far superior ! 
 Aug 7 2009 	 Great Value Location 	 stay three night end July . great prepaid Super Saver rate family room also pay early check - in . hotel disability employment agency bit hard spot first . one block Southwark tube ( convenient ) 10 minute walk Waterloo station . check - in easy room ready . family room spacious London king bed twin sofa bed . back support cushion come sofa bed put sheet . sheet towel good quality . other say , bed linen sofa bed room enough towel 3 people . , quick trip front desk remedie . room bathroom , clean . closet instead small clothe rack sofa bed convenient place , especially long dress skirt . a / c work well , flat screen tv . room overlook rail track , really could hear much noise train . also view St. Paul 's , nice . eat breakfast hotel , can not speak . wi fi work well ( fee apply ) . pub outdoor seating across street , small convenience shop ground floor Borough Market 15 minute walk . also , Anchor Hope gastro pub minute walk away Cut . hotel also small bar bring drink room . other say , toiletry hairdryer room , although front desk . also , phone provide wake - up call . , frill due location , price cleanliness , would definitely stay next trip . 
 Aug 3 2009 	 Travelodge 	 stay hotel early July friend first stop Europe Holiday . find room spacious 3 people . clean well maintain . find staff nice helpful never get annoy come late breakfast . the price per night travelodge good . would recommend , plan breakfast book online book room . as reveiw mention hotel good location , near southwark train station , long walk waterloo station . also walk distance London Eye . would definitely recommend hotel friend stay London . 
 Aug 2 2009 	 great value basic hotel 	 boyfriend stay Southwark Travelodge two night end July 09 go event London Friday night want make stay . get quite good deal book online advance hotel gret location we . the room surprisingly spacious , basic everything need . cut cost put toiletry , iron hairdryer room , accord in - room leaflet ask anything not reception ( not need anything ) . feel bit empty cheap compare hotel room ( Premier Inns , Holiday Inns etc ) , though cheap get pay . bathroom basic clean shower particularly good , lovely hot ! check - in 3 pm check - out 12 pm , much later many London hotel . particularly impressed safety hotel , need room card enter main entrance 6 pm , get lift onto floor need room card enter corridor room . the location really good , literally second Southwark station ( Jubilee Line ) minute Bankside - Tate Modern , St. Pauls Cathedral , South Bank - Old Vic theatre . not know 's will probably walk past , 's Costcutter / employment agency will notice actually look carefully keep eye ( leave right railway bridge be walk Southwark station ) .Overall , basic good value cheap cheerful London hotel , great location . 
 Aug 2 2009 	 stress staff 	 stay family room 2 adullt 2 child ( 7yrs & amp ; 4yrs ) . location good thing hotel , short walk tube , signage make easy miss . room typical Travelodge , roomy sparse furnish . forewarn lack linen towel family TA case arrive . tired long journey kid tube , trudge back reception ask towels linen kid 's bed . staff apologetic , clearly stress cope workload . also discover dirty linen behind door enter , sister arrive early day give room key discover someone else bag . Staff say power failure day mean room get miss obviously previous guest not check time . talk security risk ! advice not leave valuable room lock bag . breakfast good value 2 kid eat free one adult . whole pleasant stay staff would ease workload make sure mistake not happen . 
 Jul 27 2009 	 Perfect XXL ! 	 stay time ' ve gone club XXL . location fantastic , 2 min Southwark tube station , 5 min Waterloo . 's 400 meter club . pleanty minimarket type shop , carefull sandwich buy one get back hotel room mouldy ! room basic adequate 1 2 night stay . clean . AIrcon work well . the checkin staff could friendly though . housekeeper bite noisy morning ! 
 Jul 23 2009 	 cheap clean great location lot train ! 	 great location tube station ( Southwark ) bus route RV1 run Covent Garden Tower . modern clean . great security key pad outside ( 10 pm ) floor . shower bath , tea / coffee , modern lighting flat screen tv . son think heaven 7 train line right outside window , signal . little noise could hear room , enough keep awake . breakfast convenient , have pay advance ( £ 11.68 2 adult 2 child ) juice cheap watery everything else ok . definitely recommend family . 
 Jul 17 2009 	 Great Budget Hotel 	 basic hotel great price ! breakfast really good quiet cheap hotel breakfast . 7 pound 50 penny . room clean bed shower awesome . frill everything need that s great . good location ( 100 mts southwark underground ) walk london eye , big ben etc 20 min . 
 Jul 5 2009 	 clean spacious modern value 	 room clean spacious expect ( include tub ) . experience comfortable 5night stay , although one elevator half stay , room quiet offer basic ( coffee maker ) . everything accessible , though necessarily central , however , southwark underground station block away . could take long walk fleet street short one Tate Modern , millenium bridge St. Paul 's . 's good place eat / drink . great value comfortable stay . 
 Jul 3 2009 	 good value - basic clean roomy 	 ' ve use Travelodge time . although appear first sight tuck away obscure part south London actually handy lot thing . always stay business 15 - 20 minute walk City , be also good range South Bank attraction , particularly Tate Modern literally 5 minute walk . 's Tube station along road ( Southwark - Jubilee Line ) 's typical Travelodge . good value , clean tidy . room good size despite next busy set rail - track ' ve never keep awake train . ' ve never worry buy breakfast sort cafe eatery viscinity . 
 Jun 30 2009 	 Basic Hotel - get pay 	 stay hotel go gig Hyde Park bit journey travel back home late night decide book convenient walk away work . go book wait give smile receptionist scowl , please thank yous , extremely abrupt rude . turn 2 pm want get room early bark we extra £ 10 ( know ) stand sigh away . really need get customer service scratch ! room basic next railway line , other say , double glaze good . air condition good hot day . bathroom modern clean shower fantastic . stay London would definitely go back Premier inn find much nice staff much friendly particular Travel Lodge . 
 Jun 7 2009 	 ok cheap clean bed Premier Inn Southwark 100 time well 	 book cheap deal cheap getaway friend . really glad do not pay alot be not impressed . check website prior departure , hairdryer , say available reception , do not say one , wait drop back within hour . reception staff majorly lack personality front , would call person people - great idea front line . ask bar tell close would open Daniel come , probably around 5 pm , Daniel bar would not open , do not bother . room , luckily wernt room , need sleep , bed room clean fine , book two double room tiny , overlook main rail track , noisy , book hotel ask one overlook railway . housekeeping knock door 8.30 clean room day checkout , impressed keep say , come back later , do not clue say keep say Housekeeping , want come - good , especially morning night , staff do not understand word English - frustrating . stay Premier Inn Southwark many time , knock spot hotel . choice two price theni would def pick Premier Inn Southwark . want bed nothing else long get really cheap deal , stipulate whereabouts hotel want fine 
 May 26 2009 	 good value 	 good price.good staff.ideal location you re central london get everywhere.if you re runner want spend night prior run , hotel ideal.will close start race.nice clean rooms.shop everywhere.only thing , opposite pub know people much alcohol liver brain.anyway , still hotel cheap disregard people drink much risk health . 
 May 22 2009 	 definitely can not complain 	 £ 29 per night definitely could complain . 5 min London Waterloo South Bank , 2 min Southwark underground station . family room quite new , big , clean , usual Travelodge layout . breakfast room ( though use ) seem light airy . room surprisingly quiet give railway line busy road ( aircon , possible open window , aircon rather noisy switch without noticeable increase heat ) . small shop next door sell basic . 
 May 17 2009 	 frill budget hotel - perfectly adequate business trip . 	 even though live 20 mile away , attend evening function Central London rather risk last train home decide stay . fine - room basic clean spacious . breakfast ok ( although would get well cheap local cafe ) . pillow terrible , however , big supportive enough . 's no - frill hotel budget price middle really expensive city . 
 May 11 2009 	 well - warn do not hold luggage late check in / early check 	 tell phone pay £ 10 extra check early , arrive tell could not wait room become available . speak nicely chap desk manage get 1 room ( put luggage ) room ok , would expect travel lodge , however breakfast good , not sausage , bacon leave ( 09:00 , breakfast finish 11:00 ) egg powder scramble egg . prefer travel lodge covent garden premier travel inn london eye . even though room next railway line , never hear noise train go ( good double glazing ) underground station near buy however , weekend shut , walk waterloo station ! 
 May 10 2009 	 awful stay despite cheap price 	 need stay central London night , see amazing £ 29 price hotel . like luxury , certainly one night happy stay functional modern room . read review , quite certain stay would acceptable . however , awful night , wish have fork bit stay elsewhere . main problem room stank old smoke , despite non - smoking room . smell ingrain smoke , do not seem like due last guest quick puff . awful . akse receptionist could move , one miserable people ever encounter , simply say ' hotel full ' , something extent . go back miserable room . pillow uncomfortable actually put floor use fold clothe instead , infinitely comfortable ! carpet begin look bit grimey , fair basic bathroom clean . believe travelodge do not soap , unfortunately do not realise arrive . much would cost put small bar soap dispenser ? find hotel depressing , uncomfortable . hour , barely sleep due stink room unfomfortable bed . may modern , new - ness ( therefore implication clean ) may wear off . I usually forgive price cheap , would never stay . shme staff rude , remotely apologetic , maybe have generous review . location good , many hotel area . next time Ill try local Holiday Inn express another trip come soon . 
 May 10 2009 	 fabulous stay - perfect bargain break ! 	 really enjoy stay hotel , especially bargain price £ 165 family room 3 night Saver Rate ! room quite spacious , everything spotlessly clean still look new . location excellent , close Southwark Tube Station within walk distance Millennium Bridge , St Paul 's , Globe , Tate Modern etc . Jubilee Line close stay also walk Waterloo within 10 minute . costcutter store across road cheap shop next hotel , local amenity , cafe , restaurant right doorstep . bed comfortable , even third bed daughter sleep fine . room 228 - front hotel , overlook main road , quiet - could not hear train . Maids excellent job Reception desk staff friendly helpful . can not comment breakfast not eat . hotel nice , area feel safe even late night 10 pm outer door lock accessible via key card , main door onto hotel corridor . would definitely recommend hotel location , cleanliness , comfy bed ! 
 May 7 2009 	 Perfect location 	 stay one night bank holiday great deal £ 19 night . hotel , bedroom bathroom clean . noise problem train forgot . young child we , knew check , get room find bedding child bed , trundle back reception get towel bedding , could not give we bedding check ? save we go load time . morning thought would try breakfast £ 7.50 , free child . menu look great name product e.g . Kelloggs cereal muller yogurt . plenty choice cereal fridge one flavour yogurt not happen like one bad , ask different flavour tell none . cooked breakfast ok slow replenish stock . overall Hotel excellent , ideal location would give breakfast miss next time . 
 May 6 2009 	 Good T / L ( change ) . 	 although close railway , double glazing keep noise slight murmer prove little trouble ( 212 eye level train problem sleep night ) .bee new everything work well well , still clean . reception first floor lift , floor security lock land door access corridor room . whilst tube useful many , note bus 45 63 king Cross Elephant ( beyond ) 100 stop outside Southwark Tube Stn . well . make T / L well connect possibility overnight before / after Eurostar travel light ( around 20/25 min bus ride KGX minute walk ) .As already mention plenty Pubs / Restos locally , plus takeaway least 2 local convenience store minute walk along Cut . 
 Apr 28 2009 	 could not happy ! 	 stay Southwark Travelodge 4 night April 18 - 22/09 . stay extremely pleasant one , location fantastic , room clean connection Tube great 2 minute walk Southwark Station Waterloo Station 5 - 8 minute away . lot restaurant pub area , handy convienience store hotel drink snack . although room basic , plenty space bright airy great view Union Street . hotel kind enough loan hairdryer , North american one bring along give we trouble . would like mention 99 % time service staff absolutely fabulous , Chris ( hope remember name correctly ! ) go way make sure stay enjoyable . thank enough . would definitely stay hotel future . 
 Apr 24 2009 	 Pound pound excellent ! 	 stay travelodge 4 night last week OK 's & quot ; perfect & quot ; represent real value clean modern surrounding 2 minute Southwark tube , easy access central London . we not like lack shelf storage space short hang rail sofa bed - disappoint planning hotel 's designer . would easy fit adequate storage space . the lcd tv wall fine air conditioning effecient quiet . room smell previous occupant food not invite first ipression want first step allocate hotel room . however prop door open short ( open window ) switch air conditioning , smell go away . with proximity railway sound night - time local , be advantageous high room , stay top ( 7th ) floor ideal . for money , probably good value hotel London . 
 Apr 20 2009 	 Good London base - close Waterloo . 	 ' ve spend two night Travelodge , whilst excuse go friend 's wedding Surrey . need close Waterloo train , - 10 - 15 min walk heel ! room , 506 , overlook railway line think doom two night sleepless night . ! thankfuly could hardly hear thing could hear muffle not spoil beauty sleep . double glazing must pretty good ! room clean ( something experience Ashford Travelodge ! ) although husband complain not really think instal tv wall - high ! suppose minor complaint room . hang space clothe Reception could provide we iron iron board press clothe look semi - presentable wedding ! not breakfast Travelodge . make Borough Market within 10 min walk one morning ( cafe open week ) - cheap eat hotel follow morning walk along Thames breakfast Tate Modern cafe . pretty great , honest . definitely one good travelodge ' ve stay definitely seriously consider need London base . have pay £ 52 room per night almost impossible find London - close Borough Market . 
 Apr 19 2009 	 get pay ... customer service cost nothing 	 arrive hotel 2:15pm , reception tell not pay early check would wait pay tenner . true , 's way say ! check 3 room smell badly takeaway food way get fresh air get rid . room ok ... can not think another word . view train track ( could hear pass not interfere sleep anything ) , ventilation , toothpaste floor previous customer ( cleaner ? ) hang space bed bad point . still label ok tea / coffee , tv comfy clean bed . one towel though family room .. easily get reception . breakfast ok , word .. sausage bit dodgy ( aka artificial ) put toast machine twice pain , get pay , probably choice expect . however customer service comment apply ask sweetener tell go reception get , forgive humble opinion would expect say bit less abrupt manner , actually get . , get , put table , tea , get get yoghurt , come back find along empty plate sweetener take ! ! ! also leave breakfast voucher room , say ok could check reception , wait mid breakfast decide go get voucher , get . bit common courtesy amis ! , location excellent , place serve 's purpose , clean enough would expect pay ... however customer service courtesy free not low line price , would perhaps make personally consider look elsewhere next visit London . 
 Apr 19 2009 	 clean friendly 	 stay two night find location fabulous . travel single female two teenage girl feel perfectly safe . room basic clean even air conditioning . amazed quiet rumble train gurgling pipe . stay london city road last year awful , hot noisy pleasent surprise . staff polite speak good english . breakfast ok kid eat free really can not complain . 
 Apr 17 2009 	 genuine value London 	 stay many travelodge recent year whilst work away home , big fan . Slough , Reading , Bracknell - yes cheap , souless , share problem late night noise even unwanted ' guest ' sleep corridor outside room ( thank , Travelodge Watford ) .spent 2 night Travelodge Southwark last week also week , pleased say - Travelodge Southwark decent . still basic room , knew book , decent ( bit small ) flatscreen . staff friendly , room quite large , clean , quiet ( apart little train noise - 's London ...... ) . breakfast bit scrum lot kid , Easter hol , hopefully whan stay next week little darling back school many mile away ... location excellent - one minute walk Southwark station , less 10 min walk variety Southbank attraction . well do Travelodge - value money London , be novelty . 
 Apr 15 2009 	 impressed 	 stay two night Sunday 12th Monday 13th april 09.On arrival tell want book 3.00pm would charge £ 10.00 sit bar several family wait . the bar not open three either buy bottled beer soft drink etc . first room allocate wet carpet move . first night wake early hour guest bang door shout . we refund price room . you hear people room run water bath shut door etc.we away railway line noise traffic disruptive not know double glazing come could even hear people talk street . the majority staff speak poor english frustrating . breakfast £ 7.50 per adult kid eat free adequate volume poor quality , fresh fruit one slow toaster food continually run out . on final day give wait food replenish call buffett leave restaurant refunded money . the location good nearby tube site close . there beautiful cheap restaurant five minute away every kind food imaginable go need eat food hotel poor . on whole good location be prepare complain enough give refund take bit money eat . 
 Apr 13 2009 	 clean hotel good location 	 partner stay hotel 3 night , basic ( although price payed would not expect well ) ) clean . hotel great location tube stop yard away , room right beside numerous train track problem noise train . 
 Apr 6 2009 	 need ? 	 stay 3 - night city break , visit many London hotel / apartment last couple decade . hotel clean , staff friendly simple room basic requirement . miss bath , shower home love good soak hotel . guess loss planet gain . minute Southbank 's plenty nearby ; spend least day without venture onto nearby tube network . make day Borough Market . avoid first Indian Restaurant come Cut ... re - heat & quot ; R & quot ; we . 
 Mar 30 2009 	 great stay 	 room basically furnish , clean modern suited need . water pressure super , lot hot water , comfortable bed . reception loan hair dryer eight night . climate control system nice feature , electric kettle tea , coffee , sugar , milk , mug spoon . room top floor ( view St. Paul 's , request ) , though hear train , disturbed . location pretty good figure transportation option bus route . addition on - site cafe bar , use , plenty eat place area . two computer guest use , 4 - 5 day stay . consider price pay , excellent value around . 
 Mar 27 2009 	 good base camp london 	 say agree people review . spend 3 night travelodge room 121 1st floor corner front building . hear traffic noise road nothing really upset we . pay £ 108 3 night breakfast good london . opt breakfast really be not much kop . typical self service alot chain opt do not really bother . premier inn village hotel use method food travelodge be not good quality . £ 7.50 dear . want juice , cereal , toast , tea coffee ok hot cooked side pretty drab . would search reviewer reccommendation local caff . location wise great . literally 300 yard road southwark tube . use tube everyday come back 11 12 night fear safety . room comfy basic . want superior quality go pay scandalous rate £ 150 + per night many london hotel gladly take . want good location basic comfy bed would hesitation recommend travelodge . would use branch ? yes would look elsewhere breakfast ! ! ! ! ! 
 Mar 22 2009 	 Ideal budget break London 	 stay recently 2 night family room . couple minute walk away Southwark tube less 10 minute walk away Tate Modern riverside ( Thames Clippers go ) . also 10 min walk time Waterloo . pleasant stroll along river London Eye back stay . our room high floor bath shower soap ( bring shower gel / shampoo etc ) kettle tea coffee . room spotless main double bed sofa bed comfortable . air conditioning work . I stay far expensive hotel saggy mattress stuffy , stifle room . nice flat screen tv window glimpse St Pauls Gherkin beyond train track . window simple effective blackout blind . virtually noise train pass beneath double glazing obviously work . do not breakfast hotel ( think £ 7.50 kid free ) . couple small basic cafe near hotel ( one outdoor ) , elaborate place around Blue Fin building area . good convenience store right next hotel & amp ; simply Food within minute walk . small wine / aperetivo bar also situate next door hotel . walk along riverside area , near Shakespeare 's Globe Theatre onwards , will find place like Pizza Express , Real Greek etc . the staff reception polite helpful . vend machine drink couple internet terminal . Bar Cafe next reception area food menu bedroom reasonably price option include pizza available order take back room . we pay £ 10 late check 2 pm . well worth relaxed lunch freshen journey home . can not leave luggage reception , good option we leave several item luggage London rail station cheap . southwark tube close Saturday leave bus go right outside directly king Cross station , extremely handy . rate pay , hotel offer excellent value . would definitely consider future London visit . 
 Mar 15 2009 	 basic motel excellent value money 	 Donlt expect frill beyond tea coffee tray flat screen tv travelodge . say , 's brand new building ( 9 month old ) room still excellent condition responsive A / c heating system . efficient power shower - clean functional box room . location fantastic , 5 minute walk Southwark tube station , 3 stop Jubilee Line Central London . Staff efficient friendly . huge compliment Travelodge London location struggle even english language . find great cafe minute walk away want alternative hotel 's breakfast offering . 
 Mar 11 2009 	 well position value money 	 good budget hotel , basic room , lovely comfy bed hot , powerful shower . Wall mount flat screen T.V . big , go away watch t.v . ? ? ? Kettle , tea coffee milk . two night second day room ' do ' replenish , go reception tea / coffee / milk . say room do , receptionist never reply could not bother question . Cafe / Bar provide usual snack meal , Chilli , Pizza , Lasagne etc .. beer , Wine , bottle etc . large T.V . bad place would want spend evening , course be be mean . also serve breakfast morning . next door Tavelodge Wine Theatre Restaurant , nice want go far . early evening order drink help light snack popular . nearby pub be busy Friday night Saturday night seem quite . hotel well place London 's sight . Young Vic Old Vic road . choose hotel walk distance Waterloo Station . 
