hot 	 New York Helmsley two - and - a - half block Grand Central Station even close Chrysler Building , Bryant Park street . shop real close , starbuck local little place grab snack . NY Helmsley within walk distance Madison Sq Garden ( 20 min ) , Radio City Music Hall ( 15 min ) , Rockefeller Center , Times Sq .. ( 15 min ) brisk walking . great location . stay 36 floor room nice view , opinion . opposite side hotel view Empire State Building , side Chrysler Building look side , diagonally leave , right could see part Queensboro Bridge . room HOT , warm good . control air keep window open whole 4 day . lobby restaurant due renovation , tell would do mid December , know book . room pretty clean find sock bed someone else 's stay . towel , bathroom soap great robe provide . coffee pot room , refrigerator , microwave room . dbl bed seem small use , comfortable ! ! would stay right price . 
 nice stay would appreciate inform ongoing renevation 	 Third stay hotel although first one three year . room excellent , staff friendly however would much happy tell renevation lobby . bar hotel , lifts kaos times ground floor pretty much building site lift system part improvement . still nice stay would much happy tell booking certainly would influence hotel choice . 
 Nov 6 2009 	 nothing special 	 attend conference Helmsley . first , lobby construction , big turnoff , will cut slack . service upon check bit standoffish . reserve king bed two double - apology , take leave attitude . room quite small , many New York , clean . location good - short walk theatre Grand Central . probably would not stay , area get good deal , be horrible . 
 Nov 2 2009 	 Great location - very helpful staff . 	 come back hotel - we stay 26th 30th October . must admit concerned review read stay , totally unfounded . room 12 year old daughter & amp ; friend seperate room . arrival reception & amp ; door staff friendly & amp ; helpful . we give room 35th floor . wonderful view thr Chrysler Building , whilst friend good view thr Empire State Building . room comfortable & amp ; whilst bathroom slightly date perfectly adequate . slight gripe , tea coffee make facility . height little road noise . eat hotel , wonderful cafe next door call Pax good get great breakfast 2 $ 20 . & amp ; friend would recommend hotel . really friendly & amp ; helpful staff , cofortable room & amp ; great mid town location . 
 Oct 31 2009 	 FIrst Trip New York 	 four night 25 October 2009 familiy 2 boy 10 13foyer entrance undergo refurbishment know detract . shame nowhere coffee , go breakfast diner past news build great friendly good food . room fine large adequate 4 we . 2820 rear side view Empire State . hotel v quiet night - windows not great stop outside noise though . bed comfortable . bathroom look tired good shower etc . clenliness - dust corner etc . try room service - expensive $ 3 deliver room - burger ( dry ) rest good . Wifi good work big flatscreen room . staff friendly helpful . location fantastic - would go back although not feel four star room 
 Oct 30 2009 	 fine despite renovation 	 third time stay NYH , go know renovation implication . yes , lobby bit mess , see one pass , did'nt see problem . get excellent rate , doubt base work progress , arrival give high floor room request . fine hotel close proximity Grand Central , etc .. , everyone pleasure deal extremely helpful . gripe would room warm , despite air / con minimum setting seem make difference . hotel definitely use . 
 Oct 29 2009 	 get pay 	 recently stay business , impressed . room outdate looked throw together . look like not update 25 year . whole first floor lobby construction imagine nice do , bar , restaurant , anything . reason rate $ 300 . would stay somewhere else , unless really need cheap hotel . free WiFi good thing say . 
 Oct 29 2009 	 Great Deal 	 Hotel clean quite . location great we , purpose trip shopping sight . nice view 32nd floor traffic noise not disturb we . 
 oct 22 2009 	 View great service poor 	 make reservation travel agent tell get good rate renovation lobby / restaurant . call hotel directly make request high floor ... feel front desk person talk listen whatsoever call 2 week later make sure request reservation person tell request reservation ask put high floor request . call day reservation make sure request write anywhere tell lady ask could possibly pre - key room get request rudely tell would possible people check hotel get bad . know request guarantee feel like ( claim manager ) act favor stay hotel happy whatever room give . make big enough stink front desk get give room 39th floor ( tell room available want give ) another night get really good korean food restaurant take home later . ask front desk spare fork something could use word fork even come mouth get firm . go ask napkin even finish first two word sentence hear . said & quot ; guy anything need ? & quot ; front desk say ! ! ( not think even hear anything say whole time ) . know thing not sound like huge deal , rude provide sort customer service big deal . end buy box fork CVS across street leave front desk other possibly need utensil eat . ( restaurant one point , utensil somewhere ) well view room beautiful ! ! thing could praise hotel ... room clean . carpet stain look vacuum look shoe , look bed find someone else 's shoe , pair sock , pair man 's underwear ( belong partner ) ! ! location convenient right near Grand Central hotel vicinity definitely try ever go New York . would recommend hotel anyone 
 Oct 20 2009 	 good find 	 great location main attraction transportation . room clean comfortable staff friendly . would downgrade temperature room , quite warm , light low wattage . overall , 7 day good experience . 
 Oct 17 2009 	 stay need location 	 two us business trip , two room , two different experience , 5th floor find tad shabby serviceable . 35th floor find good . hair counter bathroom , could overlook , bring tiny lysol spray . , get fact walk room , allergy go overdrive . ' m allergic dust mold -- neither good find hotel room . room unbearably hot . turn thermostat way , open window far could ( serenaded plaintive honking cab cold October rain ) , could get room cool , . finally 11 pm call front desk complain . & quot ; oh yes , & quot ; receptionist say , & quot ; room problem . worry , will send fan . & quot ; , rather quickly , still annoyed . plus . coffepot room . like many hotel big city , not stay unless absolutely need location . least renovation finish . 
 Oct 14 2009 	 excellent 	 great Hotel , excellent position , big room free wi fi , kind staff 
 oct 13 2009 	 nice stay 	 Cozy expensive , locate great locationnice stay , great value money , satisfied 
 Oct 8 2009 	 even renovation live expectation ! 	 know renovation go , staff excellent job minimize inconvenience . doorman security near elevator , feel safe regardless time day . room appoint nicely clean . housekeep great job responsive small request . many choice quick bite fine dining around hotel . reserve Hotels.com request two bed receive exactly ask . helmsley walkiing distance Times Square , far enough away bother chaos . also , proximity Grand Central Station make get anywhere else breeze . would hesitate stay ! ! 
 Oct 8 2009 	 wonderful hotel ... go ! 	 stay Helmsley hotel terrific . room 24th floor big , bed huge , 3 people could easily fit . everything clean nicely decorate . the staff helpful polite . negative point breakfast expensive , go next door , nice cafe delicious breakfast good price . 
 oct 4 2009 	 Nice hotel stay 	 stay 3 night double twin room 14th floor . a nice room noise street . closeby grand central station . for take breakfast cross street take delicious sandwich Pret Manger.24 Hour supermarket edge street nice neighbourhood stay . 
 Sep 25 2009 	 great hotel 	 stay week sept 11 18th wife give upgrade 32 floor lovely view chyrsler build 5 min ute check v quick v pleasant lobby reconstruction bother staff always nice helpful free wi fi handy room v good size v clean great location 3 minute grand central arrive jfk newark get bus 41st park avenue easy journey hotel load great bar eatery within 10 block radius 34th third 12 bar tonic load place nice local bar oniell 45th 3rd great grub great beer nearest subway half block opposite chyrsler 5 time N C stay jolly madison park central sub standard hotel would go back ? yes 
 Sep 13 2009 	 Great Hotel Great location - think Twice ! 	 Read reviwe bite afaid one write 3 staer ad 4 star level . compare Omni Berkshire , stay Hlelmsley , definately say great 4 star hotel ! location great restaurnat , bar , coffe shop close . th fact hotel renovate lobby nno problem . concierge particular , staff soooo nice . pleasure definately want stay . 
 Sep 11 2009 	 Good Choice Manhatan 	 think well option consider cost & amp ; benefit . plan stay every time come back ny . definitly recommend ! 
 Sep 10 2009 	 Nice Beds Lobby Renovation 	 recently stay , yes quite lot work go lobby ( fyi book month ago not know go renovation go ) . problem , friend not happy . restaurant reno go sit people watch , problem , stay elsewhere , 's mess first floor . like bed quiet . one issue suppose ns , last morning , smoke next door bathroom come vent . wall sort thin , problem . city noise big problem , be NYC . like , thousand hotel NY would probably stay somewhere else ( compare ) . go Pershing 's breakfast ( go inside Grand Central Comfort Diner ) . way overprice , terrible food even bad service . also , Dylan 's Candy Bar bad , rip awful ice cream . Breyer be much well ( = 
 Sep 7 2009 	 terrible 	 return stay New York . frankly , find recent review hotel unbelievable . enjoy stay building site hotel might suit . , would recommend stay somewhere else . hotel service ( bar , restaurant lobby ) . enter hotel corridor dust sheet , hang wire unfriendly security guard growl ! check occur hallway third floor . utterly chaotic . turn 1.30pm ( travel since 6.30 ) brusquely tell return 4 pm . city service standard high , hotel meet . hotel lift completely inadequate - low floor struggle get one morning evening . many well hotel , suggest reservation complete - train staff well , would well stay elsewhere . one final comment - one stage apologise state hotel pay conisderable sum six month ago . 
 Sep 6 2009 	 Brilliant stay ! 	 stay hotel october last year , room 33rd floor really amazing view empire state bldg window , room lovely 2 king size bed really nice bathroom brilliant shower , staff nice one hand tip , breakfast starbuck right beside hotel go times square eve , lot g8 t place eat , planet hollywood must . not tip time u pay ur bill u would anyway , ur bar tip u leave , empire state nite lot less crowd , statue liberty ellis island early u , crowd huge take we 4 hour que , last boat 17.30 ellis island , did'nt get chance see statue liberty time 1 , statue amazing truly breath take u see 1st time . New york brilliant place , feel really safe whole time - even drunk 2 am ! go woodbury Common day shopping get bus port authority , leave 9.30 get last bus back 21.30 take hour get , take big bag 100 shop sport jimmy cho ! 
 Sep 3 2009 	 Fantastic Location 	 hotel must want heart city . near Grand Central Station tourist attraction right , also great need nip market take away fresh produce midnight snack :0 ) not breakfast hotel want experience variety breakfast stop within easy reach well worth . 
 Aug 30 2009 	 place stay new york 	 even though hotel go building work interfer stay . room excellent 36th floor fantastic view NY skyline Chrysler building .. room big enough cope 4 adult , clean well decorate , friendly staff , efficient lift , good position city near sight . 
 Aug 30 2009 	 nice stay Helmsley 	 stay three night august great stay . book hotel priceline $ 95 night money , excellent deal . say , lobby refurnish , not bother we . nice check room get quite big New York standard . bed nice ( although side little uneven ) , bathroom ok nice shower nice tv view Chrysler building . free internet also big plus ! noise street ( stay floor 26 ) , not bother we much . the location hotel nice , two block walk Grand Central Station 15 minute walk Times Square . 
 Aug 28 2009 	 great hotel location 	 stay 2005 first trip New York . however subsequent visit find expensive stay . got really good deal lastminute.com base first stay book . get massive corner room clean give we great view Chrysler Building . central , walk distance Grand Central Station , 5th Ave , Time Square UN Building . would stay . 
 Aug 28 2009 	 good choice NY 	 find hotel good balance term value money New York , probably well ever . downside reception renovate , whilst ' affect room , nice arrive look like small building site . say , staff courteous friendly , room large , clean well maintain . free Wi - fi nice touch , Gym adequate . would certainly go back , hope renovation work finish . 
 Aug 27 2009 	 Excellent Value Location Service 	 even though phone conversation one day arrival quite rough ( maybe use east coast culture ) , reception pleasant . take red eye flight arrive early NYC . receptionist manager warmly welcome let check room morning ( 8 am ) . also request high level give whatever available time . construction reduce standard service room . since family vacation , really use hotel amenity . location well . close grand central station catch subway major tourist spot NYC . 
 Aug 22 2009 	 Good Value Renovation Hurts 	 choose hotel base review know renovate . ' m certain renovation reason good price able get . staff indeed friendly describe many review . room also comfortable although Helmsley need pillow upgrade foam feather . also , bit problem switch tub shower -- manageable . bit date bad obviously four - star hotel prior life . main complaint realize ( fault -- front ) bar restaurant close due renovation . provide room service . , enjoy drink head bed , need walk crowd irish bar block buy wine liquor ahead time spirit store next block . also , coffeemaker room , restaurant , need get dress head starbuck many breakfast choice nearby . admit , 's New York , lot replacement choice . feel incovenience . aware . , everything fine . staff really great job try make renovation . plus , free internet nice touch . 
 Aug 19 2009 	 clean room great location 	 daughter stay Helmsley mid - July 2009 . staff efficient helpful . room clean great view 37th floor . little street noise could hear high . pax restaurant next door good food price . pershe Square ( across Grand Central ) expensive good . also enjoy eat Jr 's Brooklyn Deli near Times Square - local favorite . love NYC definitely stay Helmsley . 
 Aug 17 2009 	 good hotel crappy check - in 	 like hotel Midtown , location can not beat ' 2 block Grand Central . upon arrival , crowd front - desk check - in . finally make front , guy help we get call help another group speak spanish . instead another check - in clerk help we , leave we hang 15 minute . eventually get attention someone else help we . while , hotel start renovation new lobby can not really comment . stay room mostly rest time town . room clean comfortable . do not eat hotel , take walk Dunkin donut breakfast 39th street ( 2nd 3rd ave ) , 3 block away Abitino 's Pizza next door . 
 Aug 15 2009 	 comfortable stay great location 	 girlfriend stay Helmsley 8 night August 2009 , excellent stay . by far good feature hotel room . feature really make stay great comfortable bed , big plasma plenty channel , spacious room , nice bathroom bath good maid service . also enjoy docking station Ipod much appreciate complimentary wireless internet ( work well ) .Location wise , be across road Grand Central station 10 - 15 minute walk Times Square . also great bar around corner hotel Third Ave ( Black Sheep good place go day friendly service - beer hot wing ) .The staff hotel let we check late held bag we late flight JFK , nice they . the hotel construction stay , build new bar , restaurant lobby ground floor , hence makeshift lobby third floor . hear noise construction , check - in check - out not take long , biggie . I would stay visit NYC , be nice return comfortable hotel room big day spend hustle bustle big apple . 
 Aug 11 2009 	 Nice hotel great location 	 hotel lobby renovation not stop service great . People door service , front desk clean personnel great helpful . consierge service professional question easily answer get pretty good info good restaurant stuff interest . the hotel location great : walk lot place subway station minute walk hotel . room big bed comfy . negative thing say hotel street noice room ( 7th floor ) loud . practically every night wake garbage truck 7 o'clock street construction work . we get pretty good bargain deal room mind say hotel location lot well usually expect price NYC . 
 Aug 10 2009 	 three star hotel 	 hotel ok , though renovation go . still not consider 4 - star hotel like say , like 3 star . room look bit old bathroom tile bite loose wall shower . bit noisy night , could hear sound well street even though room 18th floor . sevice pretty ok , even though try bill us minibar purchase not make . thing clear easily . location pretty good really nothing wrong hotel might come back relatively cheap compare 4 - star Manhattan hotel . 
 Aug 9 2009 	 feel like small boutique hotel NYC flavor ! 	 love hotel ! ? 's STAFF ! great , really make hotel be . their professionalism mix genuine warmth friendliness make NY Helmsley special place . people embody New York f ( hometown ) , friendliness 's REAL earth themost elegant modern hotel NY ? . something money can not buy form work , every level . there reason would stay . bed comfortable ' ve ever sleep . love te bathroom , old - fashioned towel hotel 's name & quot ; carve & quot ; , thick soft bathrobe . location Grand Central Station East Side perfect . m104 bus , route across 42nd st , via Times Sq , way West Side , diagonally across hotel . English eatery Pret Manger across street quick delicious sandwich , coffee , etc . 24 Hour CVS right across street . great shopping ( include wonderful food - stall market ) passage lead huge lobby Grand Central Station . neighborhood safe . among good IMHO bagel great deli food ( try gefilte fish ) NY Daniels , block away . drawback : lobby re - model , walk constuction area get elevator third floor rception . however , ' ve greeted welcome warmly , not feel like duck water . room furnishing , marvelous bed white linen , bit date -- green gold . mgr tell , slowly surely , lobby complete , room re - decorate . I 20th floor view Empire State Bldg -- especially striking night , cloud float illuminated upper floor . even level , noise garbage truck car street ( face 41st ) loud -- NY canyon effect ? obviously window double glaze . ( contrast , friend stay Times Sq Hilton , could not hear thing room traffic ) .All , would defintely recommend NY Helmsley . look forward return trip see new lobby get good dose great NY friendliness spirit . thank contribute visitor ' enjoyment Big Bad Apple ! 
 Aug 8 2009 	 great location . 	 never NY , important we choose hotel conveniently locate train public transport hub . the hotel close Grand Central Station . room tad small , 's ny . room also little date . note hotel be go thru abit facelift . other , great hotel good location . shopping , food , 's . 
 Aug 7 2009 	 queen would Roll Grave 	 need hotel room New York City family last minute . two requirement : 1 ) good location 2 ) good price . although Embassy Suites Financial District sound great ( suite , quiet neighborhood , kitchen ) , location ' ideal keep look . end Helmsley 42nd Street . meet first requirement , 200 + night , want pay . try book hotel directly , even expensive . run time , check Tripadvisor review , generally positive , bit bullet book . remember commercial , " queen " Leona Helmsley oversaw every last detail " castle " ( aka hotel ) ensure wonderful experience guest . image run though head enter Helmsley 42nd street middle summer rainstorm . white globe lightbulb ring hotel overhang beacon reminicent early time- mainly disco seventies- Leona Queen . queen dead castle mess . proceed " lobby " , dry wall , duct tape , expose wire hang overhead plastic sheeting . lobby restaurant refurbish , fact online booking agent neglect mention , check - in third floor . good news room ready arrive ( early ) 1:30 pm , bad news room 911 . really ? New York ? ' m superstitious , ' take thirteenth floor . rate , ride brass embellish elevator walk multi colored carpet room , realize whole hotel could use update . room ok , small NY standard , two double bed . tub ' drain properly , call send someone right fix . free wi - fi room , would gladly trade coffee maker . also hairdryer , lovely smell amenity iron . unfortunately , iron leak take long bring replacement , husband ( need iron shirt ) already leave room . room near street , could hear traffic street noise , none we get good night ' sleep . would recommend either high room earplug . fitness room , small substandard equipment . three treadmill use visit . positive side , staff helpful accommodate , go extra mile help . 2 Dell computer available guest use ( although rarely free ) 2 concierge third floor . one concierge give we good recommendation place take family dinner , send we awful place . dining room service , try plenty restaurant around hotel . location great , near Grand Central ( take Subway ) , Bryant Park Times Square . re - read review Trip Advisor , realize last one 2008 , one 2007 check Helmsley website , mention renovation . photo webpage artist ' render update hotel lobby . photo look visit . write let fellow traveler know expect . 
 Aug 3 2009 	 Amazing Service ! ! one good New York 	 fourth trip New York , probably enjoyable hotel selection . location hotel amazing . service staff friendly travel ' ve outside New York ! ! use fitness centre clean stocked water & amp ; towel . hotel lobby currently renovate , care , not sleep lobby .... sleep room ! ! ! check service third floor fast ! ! ! 
 Aug 2 2009 	 lovely hotel need bit cleanup 	 stay lovely hotel 3 night . room extremely comfortable large New York standard . room clean one day , despite call housekeeping ask . also not rush next day - finally show 3:30 afternoon run towel . staff extremely friendly not seem go way make extra special experience . location fantastic - 20 minute walk major area around corner Grand Central Station . would likely stay . 
 Aug 2 2009 	 good stay good location . 	 family stay Ney York Helmsley Hotel one week , hotel good locate , room clean good furnish equip . big enough 4 person . lobby restore stay , noise something disturb we room . ( breakfast service due restoration order food outside restaurant room , front desk menus . ) general room nice view city , specially upper floor . location hotel nice , near Chrysler Building , Grand Central Station reach easily walk Times Square 5th Avenue . something interesting case rain hotel lend umbrella guest . free Internet . would really recommend hotel NYC . 
 Jul 27 2009 	 great location big clean room . 	 stay hotel week July do not anything complain . sure renovate go lobby , good thing future traveller . location great room big well equip . minibar miss , need . noice street eventhough room 18 th floor , get use . guess New York without sound traffic would New York . value great since get hotel Priceline low price . eventhough restaurant close lobby renovation plenty place breakfast near . e.g . Grand Central Station perfect place catch something eat watch busy New Yorkers commute . 
 Jul 26 2009 	 Perfect stay 	 love hotel . staff friendly helpful . reason 5 star little wear chair room , also remodel . great stay . 
 Jul 21 2009 	 Lobby renovation dining room 	 walk hotel without know lobby complete renovation . enter hotel walk construction site . reservation desk 3rd floor . dining room bar close . leave hotel yesterday one elevator seem work . take we 30 minute leave room 34th floor get 3rd floor check . guest go top floor ensure actually get elevator time reach floor , room ! bed comfortable shower not drain properly . 
 Jul 20 2009 	 great place great location ! 	 ' m glad first trip Manhattan bring Helmsley . book trip one discounter site , get place half certainly not hurt opinion ... thing could cause give anything positive rating . the Bad : since 's short list , will list bad thing first . negative experienced fee parking . parking hotel 's garage around $ 52 . ask garage parking bellman give bit save little several block away . another much nice person turn we parking right behind hotel ( 2nd 41st ) end cost we $ 38 . actually think would cost we little less , not make . 's still well $ 52 trouble find , walk ( less 2 min . ) retrieve car . good : everything else ! hotel first floor renovation ( not disturb we ) check third floor . staff super nice , friendly helpful . offer we many suggestion place eat , find need , etc . ' m always little nervous book discount site staff give leftover ugly .... not case . truthfully , ' ve never really ' m nervous lot . anyway , room great . little small , perfectly acceptable us 1 night stay . everything clean , bathroom equip standard thing , bed comfortable fit white linen , room WiFi work perfectly immediately flat screen attractive touch . because great people Trip Advisor , already hip minibar not even touch ! ! snap couple picture wide range technology . room super high tech sensor equip minibar , 1970 's style thermostat . work fine , funny combination . CVS PAX next door , handy . frustration not see night arrive .... follow morning . wish find immediately bet would gotten something little well dinner happen upon 2nd Ave . around corner . right next door , come door go right night .... went leave first . anyways , , great stay great location would certainly stay . 
 Jul 18 2009 	 need makeover 	 Location great . hotel badly need makeover . Decor 1980 definitely wear shabby . renovation seem go . plus side window open nice breeze bed comfortable . 
 Jul 15 2009 	 close everything - worth stay 	 stay hotel mom sister . say four star hotel , reality three star problem place . clean , room big ( compare usual NYC hotel ) . renovation go disturbe we . ( lobby currently , need ? check third floor . : ) ) : want stay close Times sq . reasonable price , stay . 
 Jul 8 2009 	 nice surprise 	 name price know website end . like location 's walk distance Grand Central Station course subway stop . hotel room great . high ( 40th floor ? ) well , view get build next door , expect ! would definitely stay recommend . 
 Jul 6 2009 	 comfortable 	 rate pretty decent , hotel shell . apparent service lobby nothing sheet rock hallway elevator . reception desk 3rd floor easy enough employee actually nice . quiet enough well although street noise still pretty apparent 10th floor . furnishing comfortable complaint mini - bar charge $ 35 wi - fi spotty . never touch mini - bar frankly idea would cost $ 35 . front desk take car easily will check visa bill make sure . nice comfortable place good price . 
 Jul 6 2009 	 Nice Surprise ! 	 although be undergo remodeling , room comfortable , clean nicely decorate mention staff serviceable , helpful , friendly rest not matter ! location great , safe , around pleasant experience helmsly definately consider return see look like remodel complete . 
 Jul 1 2009 	 great hotel great location construction 	 spend 5 day New York Helmsley problem . check - in took far long expect may relate removal check - in desk thrid floor lobby , bar restaurant remodel . room spaciaous New York standard comfortable bed ' ve ever sleep . staff friendly neglect refresh supply shampoo plastic cup stay . construction mildly irritate wish have know prior booking . loose toilet seat problem room . hotel locate near Times Square far enough away avoid craziness crowd . would defintiely recommend hotel plan stay 
 Jul 1 2009 	 Property nice Staff Unpleasant 	 New York helmsely great location , couple block east Grand Central Station within walk distance Macys , Empire State Building , Times Square UN . room clean appear recently renovate . the restaurant bar close , bad thing one party get food poison previous visit hotel ' restaurant . the front desk staff friendly , efficient ask . however always make feel though nuisance leave alone ! bell staff bad , rude unpleasant attitude , get bad happy tip . aggressively demand verbally aggressive manner border demand money menace . occur even bell man temporarily lose one bag , interested get tip find miss bag ! despite nice property would stay hotel simply unpleasant staff . stay hotel ' let bell staff " help " baggage , ' save lot aggravation . 
 Jul 1 2009 	 great location perfect room 	 hotel PERFECT every way stay June 16 - 20 ! welcome staff could helpful kind . love quiet , clean , room extremely comfortable bed great view ! hotel location convenient , lot great shop immediate vicinity . wonderful stay mom two daughter early 20 's . 
 Jun 27 2009 	 wonderful stay wondeful hotel 	 stay Helmsley Hotel 5 day April can not fault way . warm greeting front door start . beautifully locate room 36th floor ( have ask room high floor book ) .. small , clean functional .. view ! ! staff proud hotel . doorman , concierge , room cleaner ( excellent job . work 14 year , know look ! ! ) manager . I enjoy view whilst use gym facility too . will stay next time . great central location too . only negative , ridiculously expensive minibar ( know , be everywhere ) internet access ( use kinkos street ) . 
 Jun 25 2009 	 Good Stay 	 place clean , staff friendly eager help , price / location great . also fitness center nice free ! free weight , machine , cardio equipment . space confine care long equipment need . the complaint room bit date far curtain furniture . big deal . the problem room kind warm sure AC work correctly . bad sleep cover . warm natured . wife problem maybe : ) also pay fee business center . 
 Jun 22 2009 	 great hotel ! 	 check quick professional . room clean , bed comfy especially long day walk . Air work great . great view two block Grand Central . would definately stay . will not regret ! 
 Jun 21 2009 	 absolutely perfect 	 stay week end May New York Helmsley . perfect start finish . check problem , staff reception polite friendly . room 22nd Floor , spotlessly clean , quiet , hear NYPD siren sometimes , noise , ' light sleeper . bed like heaven , comfy linen really fab . the bathroom clean , overly luxurious clean good enough . problem toilet overflowing , fair staff , someone fix problem right away . Anthony , one doorman lobby helpful , nothing big problem . staff come contact helpful , friendly polite . even look different shop online we , without much moment hesitation . do not meal hotel , deli right next door , good value breakfast , use , eat rest time . it nice come back quiet restful atmosphere hotel evening , day sight - see shopping , glad choose location away madness times square , yet minute walk away . subway station 3 min walk away , times square , empire state building , many attraction within minute walk . several pharmacy within minute walk . I hope return New York end year , definately stay New York Helmsley , absolutely perfect , could not fault , service , value , cleanliness , perfect location . 
 Jun 18 2009 	 Clean Comfortable Friendly 	 spend five night Helmsley complaint cleanliness room friendliness , helpfulness , efficiency staff . typical old hotel , not enough electrical outlet convenient place . unplug tv plug computer . ( ok since almost never turn tv set anyway . ) adjustable chair would nice would not sit pillow high enough use computer comfortably , also unusual hotel . although personally prefer location bit far west ( ideally within block subway station 1,2,3 line ) wide variety restaurant close , would hesitate stay Helmsley . relatively close Grand Central Station good , WIFI Helmsley reliable pretty fast . ( also free , course . will not stay hotel not provide free net connection , either wireless wire , room . ) eat breakfast restaurant twice ( eat street Starbucks morning ) eat light meal bar one night . restaurant bar pricey good food , comfortable atmosphere , friendly waiter . one last point sound trivial important be ever hurry : elevator Helmsley great . often hotel size wait forever elevator : even though appear plenty , seem first floor be thirtieth whatever . not know Helmsley program elevator , one always seem appear immediately push button . find nice touch . , enjoy stay Helmsley . 
 Jun 13 2009 	 Excellent Location Clean Excellent Service 	 great value , excellent location , clean . stay place back 20 year ago , nice , still . sound cheap , one thing would change wish coffee maker room - I get small coffee Mindy 's restaurant - in hotel go , $ 3.53 - pretty steep cup coffe , good strong cup coffee . sure much breakfast would run , go Pax Foods short walk hotel , nice breakfast , plus fruit small bag granola later , $ 10 - not bad NYC ... Helmsley check superb , know name , friendly .... come ask info , , nice friendly .. checkout - superb . a / c work super - day rainy muggy , room comfortable .... pretty quiet , except occassional honking cab two - so , sleep well night ..... mistake make call operator ask health club say third floor , go 3rd morning wander around , staff ask help , say health club sixth .... , attentive , friendly , responsive ! would definitely recommend hotel . 
 Jun 12 2009 	 excellent 	 great location , hotel clean , staff helpful . good bed ever sleep , hotel . we not eat drink Hotel look expensive . watch mini bar seem sensor think charge move bottle . have breakfast deli next door serve really good healthy food reasonable cost . lot good resteraunt bar locally choose . 10 - 15 minute walk time square . recommend bus tour around city hop visit area 's want visit , save lot walk drop around corner Hotel . when go back stay . 
