hotel 	 look forward stay wedding late September , surprised sign hard time subtle , affected husband . example , get locked room 2 time , wait 15 minute hallway go spa . time get ready wedding ceremony , stressful lost time . keycard would stop work . fuse blew , power trying get ready . happen also , come back spa , call hallway phone get help . luckily , right , employee randomly walking ask wait long -- know problem . say , call check . apparently , one even call Security get back room ! set key let , thank god . , wedding night , husband want order room service . little 10:30pm . tell room service closed night -- even though literature room brag & quot ; 24 hour dining . & quot ; fact never communicate we check in . I feel like quality service amenity slip . later hear something lot employee getting lay , maybe be people not interste provide good service . not think would recommend anyone stay Fairmont ever . btw , spa great hang , even be massage . 
 Great Hotel ! 	 really enjoy stay hotel- great location near Millennium Park . walk distance several wonderful restaurant , Navy Pier , museum , several site ! hotel nice roomy wonderful amenity . also , concierge extremely helpful provided we wonderful direction suggestion restaurant . look forward come back hotel someday ! 
 oct 8 2009 	 great hotel great location 	 Love Fairmont . luxury without pretensiousness . great room , great restaurant call Aria . 
 Oct 8 2009 	 beautiful family young child 	 LOVED room Fairmont . staff member wonderful , comfortable family two young child . lot cream color furniture ! 
 Sep 22 2009 	 Excellent stay Fairmont 	 spend Saturday night Fairmont 3 friend ( mid / late-20s ) , 4 we thoroughly enjoy stay . pay cheap internet - only rate two room ( make enjoyable ) , suspect would still happy pay full price . the front desk courteous happy place we adjoining room - well furnish large hd tv , couch , elegant bathroom . minor complaint charge use internet , think ridiculous 4 - 5 * hotel ( seemingly hotel ) . staff hotel 's sushi bar ( drink food ) incredibly nice , concierge get we priority seat Ginos East Pizza . would thoroughly recommend Fairmont 
 Sep 19 2009 	 Loved hotel 	 recently stay one night , enough time ... hotel parking little tricky we find , end self park next door bit cheap anyway . the decor sleek modern look . every employee encounter friendly helpful . check fast , give we corner room high floor , really nice view : could see little bit river one window , lake side . room really spacious downtown hotel . good location , within walk distance shopping , restaurant , HOB , park . negative could get room 2 double bed , king . , aware book , hope get lucky check in . I would definitely stay , would recommend hotel . we eat time , would like come back give Aria try . 
 Sep 12 2009 	 Mod spacious - great place explore city 	 hotel beautiful -- love shimmery mod reception room king size bed really spacious seat area . also , look place recently redo . bathroom immaculate separate tub shower big enough 2 . think location really great . definitely within walk distance lot major attraction . concierge staff great ! book we posh romantic italian restaurant call 2 day arrive ready excellent tip book help throughout stay . downside stay 4 wedding hotel jazz fest weekend , hallway bit noisy would like wee hour . book though Priceline name price pleased outcome . would definitely stay . 
 Sep 4 2009 	 Disappointed hotel fail live brand expectation 	 beautiful lobby . bellman never hold door offer luggage assistance . wireless internet not work unless close elevator . pool list amenity offsite inconvenient additional charge despite premium nightly rate . room quality vary greatly size , layout view . large ny standard small city ' ve visit . pay premium quality not deliver . room fabulous view . onsite menu option extremely limited long stay although exceptional quality . staff exceptionally accommodate other rude . late checkout request accommodate location walk distance Millenium Park nice benefit . 
 Aug 31 2009 	 lovely modern hotel ... 	 stay husband . meeting , check early drop bag . lobby hotel room modern feel , bright interior cool minimalist edge , unlike Fairmont Hotels . check fast efficient . king room high floor nice size . bathroom large , well design quality finish . the hotel close Michigan Ave . , lake , Millennium Park , loop theater great restaurant locate quiet street great keeping noise level much traffic especially weekend local office building close . I leave meet husband dinner get back quite late . drink bar . waitress pleasant , hung , enjoy drink , listen good music people watch ... hipster type work overtime look cool .... remind we be happy twenty ! go room find turn chocolate pillow . bed comfortable pillow , duvet , nice linen . sleep well . check breeze 
 Aug 30 2009 	 Pleasant Stay Nice Room Poor Shower 	 wife stay Fairmont Chicago 3 - day wedding weekend trip . deluxe room , slightly nice standard room friend ... nice view Lake Michigan . recently sign online ( free ) FPC ( Fairmont President 's Club ) , get we complimentary access fitness center / spa . hotel room nice , fitness center / locker room gorgeous , big problem hotel shower , understanding renovate last year . rain shower head thing look pretty , probably pretty green friendly , pressure awful . mean talk nearly impossible get soap sud . solution part use fitness center shower , slightly well handheld piece , even mediocre pressure well . call picky , precisely bathroom / shower differentiate good hotel room good one . 
 Aug 23 2009 	 fantastic stay ... great location 	 wife decide get away night book Priceline . great location convenient Millennium Park Navy Pier . ask view park , friendly desk attendant advise would pay upgrade , would see could . put we 31st floor lake view instead ! much well request indeed . the room spotless , minor irritation . magnet hold shower door close miss , door slightly ajar bit water get floor . we definitely stay ! 
 Aug 23 2009 	 great view room block everything ! 	 nice room , warm welcome , nice bed , huge bathroom shower area , clean , great view Millenium Park Buckingham Fountain , Shedd Aquarium , etc .... ( south face ) . overly spectacular . good room service one night 11 pm restaurant area serve food late . Chicago partner birthday tell attendant phone send piece cake room service . nice gesture . the hotel block Michigan Ave river although feel like mile away happen area . seem business tourist although not warm would easily walkable place . next trip stay N. Michigan Ave although hotel lack anything particular rather location , location , location . 
 Aug 21 2009 	 good location helpful staff little shabby 	 stay husband baby large meeting & amp ; conference . conference facility good end trip fine . we king room book crib . arrival give double queen room , change we point error . hotel recent refurbishment however seem quite bit wear tear . think due great housekeeping . carpet room dark brown coloured stripe clean . need good vacuuming . bathroom large bath shower bath wear bottom not look clean . manage blow circuit room time , tv blowdrying hair ! ! nice view roof garden Aqua building Lake Michigan beyond . concierge service good dinner twice restaurant recommend good . restaurant hotel & quot ; Aria & quot ; grossly overprice . meal two glass wine come almost $ 200.it mainly asian fusion style . anyone large group eat say . apparently restaurant refurbishment hotel much well accord delegate speak . well hotel Chicago . much prefer Marriott mile four point Sheraton . 
 Aug 17 2009 	 beautiful hotel poor management 	 book 2 room , one deluxe double one suite , travel 4 adult , 2 teenager 1 child . hotel clean well situated . issue inconvenient annoying , issue stay hotel caliber . pay 231.00 271.00 per night taxis cheap .. suite 2 tv 's remote , phone work coffee station room clean last guest dirty cup use coffee pod lay around . say front desk take care situation pretty quickly complain . blow circuit room number time . blowdry hair watch tv find , even leave light appliance . suite sofa bed outfitteed linen another phone call . & quot ; bring we comforter , although nicely wrap , smell like mold wrap plastic still wet . ask another thing give . basically hotel well keep housekeeping staff poorly supervise . smell certain kind smoke may come housekeeping closet quite noticeable number time floor be not cigarette . concierge helpful recommend one good italian restaurant , Viaggio , touristy overly expensive delightful staff amazing food . would say amount hotel choose city comparable price , would probably return Fairmont , shame location perfect room quite generous size quality . say front desk remove $ 100,00 bill inconvenience Fairmont really try well day Inn . really surprised disappointed review quite good make decision stay & quot ; Fairmont . management would wise read post . 
 Aug 16 2009 	 impressive hotel reasonable price 	 stay Lollapalooza music festival Grant park , well position . suprise find room available 9:30am , extremely convenient . still , young man reception somewhat arrogant lack manner . room clean tastefully fit . bed perhaps comfortable encounter , three excellent night sleep noise guest . bathroom also nice feature one large rainfall shower head . the hotel easy find , locate right behind AON centre ( huge white skyscraper similar design old world trade centre New York ) . despite call ' Fairmont Chicago Millennium Park ' , hotel directly border park . 
 Aug 16 2009 	 Great Hotel ! ! 	 enjoy stay . concierge helpful give we great recommendation . really enjoy room large luxorious bathroom . close amenity . 
 Aug 12 2009 	 nowhere near good Fairmont Lake Louise still nice stay 	 3 - day special suite , good us 2 toddler run around . ' ve never Chicago ' m sure 's 5 - star hotel , good 4 - star . nevertheless room comfortable , large ( suite ) would expect quality brand . bed comfy , two LCD tv 's , one bedroom one lounge . breakfast good ( include package ) good Omni San Francisco ! restaurant quiet breakfast probably due hotel 's mainly business client , front desk staff bit humourless time - not blame ! bell staff helpful though 12 tonne kiddy luggage ! two negative : - first tap bathroom go dry sludge come last morning - hotel claim due external factor beyond control , not feel necessary warn people . luckily second tap lounge , guest normal sized room complained lot get upgrade . a / C also switch unexpectedly last morning - ok we leave anyway other annoy . second complaint - head airport advise could not book large taxi stuff ( odd claim think ) , one could simply flag . course come , take much long expect confuse we guest 's taxi 's . lot luggage not mind give small one wait large one - bit shamble . I would consider staying would definitely check 4 5 star hotel well . normal circumstance would good bet stay Chicago - great location minute Millenium Park , near lakeshore . family , 's pharmacy opposite well essential . note hotel staff also claim due economic circumstance room service provide 10 pm - although night staff helpful get milk we kid morning . 
 Aug 8 2009 	 terrible service nice room great location terrible service .. 	 slow wifi planet . literally . terrible room service food . horrible restaurant EXP . 
 Aug 7 2009 	 luxurious 	 Nice location , easy walk distance Michigan Avenue , Navy Pier , short cab ride place . greet name Torrey preside front door . efficient check - in beautiful view lake , park , fountain . separate shower tub bathroom wonderful . heavenly bed ! ! 
 Aug 5 2009 	 great luxury hotel superb staff eatery 	 get hotel chance since decide spur moment spend nite Chicago 7/24/09 . go thru Priceline lucky get room hotel $ 69 ( normal rate around $ 200 ) . room superb 29th floor nice king bed . hotel 1.5 block Michigan Ave location convenient . parking expensive $ 50 nite park right next door selfpark $ 30 . decide breakfast hotel restaurant save we walk elsewhere . order buckwheat pan cake egg benedict . absolutely delicious stun we since not expect type experience hotel restaurant especially breakfast . Glad not pick breakfast buffet since special menu much well . highly recommend beautiful cozy hotel Chicago visit . 
 Aug 5 2009 	 great hotel good location 	 come small bedroom hotel NY size room arrival amazing ! lovely bathroom , comfy bed , wide screen telly major plus nespresso machine room ! location excellent , right millennium park walk main shopping area 10 minute . do not eat hotel can not comment quality food lobby general ambiance hotel cool . helpful bell boy concierge generally staff lovely . only small complaint rather condense rude waiter wine bar can not everything . overall great would definitely recommend friend . 
 Aug 3 2009 	 Underwhelming -- - great location . 	 good : location perfect ! walk distance Navy Pier , Millenium Park , shop State St. Michigan Ave -- -we even walk Union Station Amtrak station -- -it take 30 minute , w/ little luggage lot look -- time fly . the concierge service really great . give we good recommendation thing area great restaurant try . hotel , state title underwhelme little dull . lobby drab , lounge / restaurant bar barely occupy patron . wine lounge stay open 9 - 10pm Saturday night -- -and bar lounge close midnight . town anyway -- not matter much -- disappoint upon return night could not finish evening w/ night cap . the room alright -- -good bed bathroom , great view awesome flat screen tv . bad : a / c barely work -- wake hot ornary middle night . also -- sure people we heavy foot -- -but could stomp around there . overall -- -the hotel nice . functional . super pickey come hotel like good atmosphere -- -which find . give short stay , bother much -- -as great time save money taxi fare w/ location . 
 Jul 27 2009 	 good stay Chicago ' ve ever ! 	 get great promo rate , go Fairmont . absolutely LOVED hotel . courteous , unpretentious service . not prepare friendly staff . room exquisite will let photo speak . location fantastic : walkable Michigan Ave . Navy Pier . use car venture dinner Lincoln Park Lakeview , two adjacent neighborhood not see . would recommend Fairmont without hesitation . Prepare pamper . 
 Jul 22 2009 	 Near perfection 	 vacation Fairmont Chicago 3 night July 2009 . room , bathroom , view , staff wonderful . wish hotel block North ( MI Ave ) . sometimes , be tired , extra couple block seem like mile ! 
 Jul 10 2009 	 Extraordinary Staff 	 wife stay long weekend shopping sightseeing . staff absolutely delightful , go way see stay pleasant special request meet . addition clean comfortable room wonderful location . recommend hotel anyone look Chicago getaway . 
 Jul 6 2009 	 FAB - u - lous ! 	 moment step front entrance luxury service begin ! enjoy every minute @ fairmont ! king room spacious decor chic ! coffee maker coolest bathroom huge ! really like separate shower , tub , separate door toilet . dessert cheese spread ENO yummy . fairmont W hotel favorite chain hotel stay . 
 Jun 24 2009 	 Great Stay 	 hotel really nice location - mil . Park Grank Park - block Lake Michigan marina area block theatre district Michigan Avenue - probably good location ever stay Chicago ... moreso - quiet little street surround hotel view nice . the hotel contemporary room luxurious large size . the staff wonderful courteous . the one fallback fitness / gym area privately own cost 25.00 day extra use . : ( spa hotel great service man woman . extra cost obviously . but overall ... nice property mention - CLEAN ! parking 45.00 night . Fitness Center 25.00 day WIFI Internet 15.00 Restaurant bar $ $ $ $ 
 Jun 21 2009 	 worth extra Cheddar ! 	 cub weekend -- usually stay wherever Priceline put we $ 75 . usually mean Hyatt , Drake , Wyndham Chicago , Burnham , Palmer House Hilton Chicago . since anniversary able get deluxe - view king $ 50 Fairmont 's Friends Family promotion ( need employee i d code get rate -- widely available web ) since Fairmont generally consider Premium brand cut list , go . pro = beautiful facility . room 's view knockout , Milennium Park . slice lake , Field Museum Soldier Field ! Bathroom cool -- separate marble shower huge & quot ; rain & quot ; showerhead one big round backlit magnify mirror let see zit blackhead 10x . room also clean quiet . con = Poor A / C -- hot humid weekend . though a / c set high cool 64 * -- room never get 73 * know fine temperature -- sleep unless temp 70 . ' ve come believe lot hotel sort non publicize low end governor decide cool room allow get . want way Premium hotel -- able get . report first morning first night promise send engineer up . -- day ' ve idea anyone look not considerate enough leave message . rate second night first -- -hot humid ! first night go see & quot ; Jersey Boys & quot ; ( great , highlight trip ! ) return room 10:30 decide order snack ( hotel directory advise 24hr room dining ) study extensive menu make selection call place order inform & quot ; room dining close night & quot ; ! ! Chicago suppose world class upscale hotel could not get room service 10:45 pm ! ! ! guarantee could scare cheeseburger club sandwich something Holiday Inn little Indiana city live . Geeez . location -- review call location good . unquestionably good , business orient neighborhood -- CVS across street , 3 city block shopping / dining / entertainment venues- ( dining choice severely limit Fairmont ) purpose , location average poor . concierge service : seek advice concierge two separate minor matter -- -but time concierge desk overwhelm people wait 3 - 4 deep , want spend time -- without counsel . be extra $ 50 per night worth view bathroom ? IMHO hela ! will not back . 
 Jun 18 2009 	 wonderful experience would stay . 	 stay Thurs - Sat June 11 - 13 Cubs game sightseeing - we get great rate since book early hotel fill $ 167 / night & quot ; suite & quot ; bedroom 2 double bed , separate living room dinette table , also small vanity area huge bathroom separate tub / shower area . Valet parking hotel not cheap $ 49 night plus tip - so self park underground garage Aon building next door mean little walk save we $ 30 2 night always drop family suitcase front hotel go park- ( public transportation not need & amp ; privilege ) Aon building connect Fairmont not even walk outside Starbucks , Au Bon Pain sandwich shop ( build close weekend though parking still available - pay lobby ) -ask worker go will point right direction . love Fairmont - room clean , attentive staff , swanky lobby - the doorman take picture we , hail cab easily concierge make dinner reservation we . free coffeemaker room ( $ 10 use bottled Evian ) one fancy pod maker could not figure buy Starbucks one day . cvs right across street anything might need . 's far walk Milennium Park , Macy 's , El station . overall wonderful experience - my favorite ' ve stay downtown Chicago hotel kid , favorite price , location accomodation . ( mention ceramic tile shower rainfall water head ? ) . nice families- ( although eat , order Lou Malnati 's pizza eat . 
 Jun 15 2009 	 great location modern room nice experience 	 get incredibly good rate make reservation no - brainer . one main requirement downtown Chicago hotel spa hotel . spa clean new good size workout facility , nice bathroom , steam room relaxation lounge area post workout get massage . massage nice , good masseuse new massage room . large overall spa , go friend two nice , modern facility free guest hotel . room big , comfortable bed new , large LCD tv odd lack dresser space , zero space unpack clothe . good shower new bathroom round solid room comfortable stay . upgrade & quot ; lake view & quot ; room , provide decent view , really full - on lake view , instead large building across way . might bother , big deal we though . I deal front desk much , concierge people spa friendly helpful . finally , location great , 10 minute walk Grant Park attraction around 10 minute walk direction get Michigan avenue . many option Chicago certainly luxury option might nice , especially get good rate , fairmont fine option , provide modern , large room , helpful service , good location spa hotel . 
 Jun 15 2009 	 spend overnight bday - unbelievable 	 well first must say talk someone online trip start amazing follow up hotel . pay regular room , make plan champaign upon arrival since husband go downtown Chicago 40th birthday celebration . well upon checkin find automatically upgrade suite top floor . room 3 view city North , East west . room huge , . late lunch , come back room find birthday surprise . Timothy Samples make plan , really make stay memory lifetime . we go Soldier field huge concert , drawback walk almost half way back able hail cab - quite frustrating , bed upon get back room make worthwhile . one comfortable bed ever sleep . room service breakfast morning allow we enjoy room little , check get vehicle valet - perfect timing , delay valet , room service , concierge - amazing , . would go back visit ever ....... 
 Jun 6 2009 	 could ask well ! 	 fairmont favourite hotel , hotel exceed expectation . much new decor build beautiful Fairmonts Canada , lobby modern trendy interesting restaurant bar . central area chocolate cheese - taste bar ! room modern large LCD television free Internet ( fairmont club member - 's free ! ) . travel agent fail relay request upgrade suite , Fairmont gladly oblige even give we discount room rate . new building also mean room ( even non - suite room ) much large canadian Fairmonts . fitness center fantastic television every machine include plugs iPod / iPhone ! would highly recommend hotel ! 
 Jun 3 2009 	 great hotel 	 nothing complain . gorgeous bathroom . attentive service . comfortable bed . large room . got great deal Priceline . 
 may 28 2009 	 could not fault Fairmont 	 stay Fairmont night find whole experience excellent . give large room great view city ; breakfast extremely good ; location central could wish . pool large feel luxurious great early morning swim . evening spend time hotel bar friend excellent . highly recommend base explore Chicago . 
 May 28 2009 	 wow - receive unexpected suprise - early check - in 8:00 a.m . 	 book shopping trip via Priceline vacation package Fairmont . receive round trip air fare two night stay $ 256 fairmont . everything excellent . neighbor come home night 3:20 a.m. decide party , front desk call , literally within five minute situation handle quiet . wonderful . would highly recommend ! 
 May 28 2009 	 Fairmont Nice great view 	 although room seem lay - out strangely ( optimize every square inch ) , beautiful experience . staff excellent , everyone friendly willing help . Maids efficient . 
 May 20 2009 	 good hotel clean room nice bell hop great view ... 	 stay Fairmont Chicago May 16 - May 18 2009 . book Fairmont part conference / show for . we book room sleep 4 one room sleep 3 . room sleep 3 clean , 2 bed amazing view 30th floor . room sleep 4 huge 2 tv 's , tub shower , huge bathroom . bit misconception room lead believe 2 seperate room one room King size bed pull couch . not big deal bring extra cot right away . hotel locate 3 block Magnificent Mile central shopping center . 's 15 minute walk Navy Pier . day check bus not pick we 2:25 decide go shop , leave bag front bell hop . problem pick back leave there . the staff friendly try accomodate need . ask extra pillow extra blanket bring we within 20 - 25 minute . part suite book , receive free breakfast restaurant however change room dining charge , call front desk charge waive . the price pay room quite pricey 's expect high class hotel downtown Chicago . 
 May 18 2009 	 stay elsewhere 	 stay Chicago Fairmont four night conference . fiance ' accompany . check , give room two full size bed despite fact reservation one king size bed . instead relax large luxurious bed imagine , force either sleep separate bed like Ward June Cleaver either cuddle small full size like two college kid fraternity house ! discover coffee maker not work call desk someone look , wait two half hour . issue plumb , include extremely slow hot water tap bathtub take 45 minute fill . toilet stop work twice . return one afternoon art museum find maid room , sit bed , watch tv talk cell phone . bellman rude , would not let fiance unload car pack expensive camera equipment . error bill . last least , see ROACH drawer . alive . restaurant downstair decent , location fairly good since conference Hyatt next door price find someplace well . never ever stay circumstance . 
 May 6 2009 	 clean pleasant great location 	 partner stay week - end Fairmont . room clean bed fluffy comortable nice quality linen . ask room view , put we 22nd floor . view basically another building face we , 's typical city skyscraper . lobby sleek , shiny comfortable , public area hotel nicely appoint immaculate . use restaurant service -- expensive many great alternative city . sushi bar look underpopulated guest . book price - line name price get room $ 110 night , Chicago standard great . walk many place ( convenient Millenium Park ) , cab always available second front . really disappoint free coffee not available . honor bar make coffee , $ 10 . be go pay ? ? ? ? stay recently Double Tree complimentary coffee tea real cream , turn service great chocolate fantasitic chocolate chip cookie ! would stay Fairmont without qualm come Price Line search , would rather stay Doubletree , Hyatt Mariott . lobby lot exciting , decorate less ikea like .... consierge FANTASTIC ! helpful . recommend italian restaurant , ( Volare Ristorante ) reasonable supurb ( although cozy romantic ) , place breakfast ( Gage ) also quite nice . spa service available , , not use . not see kid speak , probably well place stay kid . 
 May 5 2009 	 Wonderful Experience service 	 room fantastic . service excellent . staff go way make sure stay memorable . location little Magnificent Mile right next Millenium Park . make trip Chicago last memory ! ! ! 
 Apr 29 2009 	 fairmont CHICAGO - Great Location Friendly People 	 nestle beat path two block river Fairmont Chicago offer excellent location operate home base trip Chicago . staff friendly helpful , arrange many sightseeing event enjoy city . many attraction withiin easy walking distance ( Art Institute must see Millenium Park fun visit ) . architectural tour river depart dock close Fairmont lot restaurant nearby . the room excellent club room worth extra expense . would definitely stay . 
 Apr 10 2009 	 Modern hotel spacious room great location 	 ' m hotel right , want write review get back home not time anymore . book hotel priceline , get really good deal ( $ 70 per room king size bed ) . hotel 4 block Millennium Park , quiet area . be also two block away river front . place worth visit ! also , across river high end grocery store ' fox obel ' shop delicious food room . also number Walgreen , CVS , etc nearby . around skyscraper 2 block ... not much traffic rail road ( get loud ) place quiet . room not great view 's spacious modern bathroom , spotless . also pleasant decor flat screen tv rotate view armchair / table . hotel spa pretty expensive , free wireless internet access . overall ' m satisfied stay , be truly comfortable ! 
 Apr 6 2009 	 Excellent service beautiful renovation 	 finish family & quot ; staycation & quot ; Chicago wonderful time Fairmont . staff extremely attentive -- time make reservation final breakfast lovely restaurant , Aria . recent renovation room decorate clean , contemporary style . view room fantastic -- lakefront , Navy Pier , Millenium Park . also use spa facility relax , provide everything could want spa , spotless . would highly recommend Fairmont anyone visit Chicago . 
 Apr 5 2009 	 great hotel ! ! ! 	 simply nice place stay ... great deal room , impressed quality . hotel staff helpful ; able let check help print boarding pass . negative : frustrating nowadays free internet hotel 's ; pay internet . negative : loud phone may hear neighbor phone , shower . 
 Mar 29 2009 	 good view modern decor excellent spa -- get pay 	 husband plan & quot ; stay - cation & quot ; hotel . myspa service excellent convenient . view lovely ( 30th floor ) . room little small . bathtub awkwardly small take advantage & quot ; bath sommeli & quot ; service . perhaps suite well suited . overall , nice escape . decor feel little Ikea , almost cheap . bed fantastic . 
