Great 	 be get cheap table strip - $ 5 minimum bet let ride roulette card game . useful new casino do not want lose money quickly ! 
 not overlook hotel due location ... 	 ' ve stay hotel 3 time really like . take mom ( 58th ) birthday last year also love . room nice , clean bed comfortable - especially love pillow ; - ) . yes , 's strip bus stop right next hotel $ 5 get 24 hr unlimited bus pass ( purchase bus ) . not mind walk be definitely doable . this hotel also wonderful 360 view revolving restaurant ( be pricy remember be also pay view quality service ) . dinner really good waiter really nice attentive - even give mom free slice bday cake . the negative woman walk around take souveni picture - 's really overprice say not interested not finish sentence literally grab photo walk away - really nice . almost complain decide let ruin night . just give comparison experience . ' ve also stay Rio ( nice 's mile strip walkable due highway - try regret shuttle fee ) Sahara ( simply , will not stay ) far , definitely prefer hotel . expensive yet service get not show . 
 Northern Strip 	 want right thick thing , not place . , however , not want . great small hotel everyone work simply wonderful . service level extraordinary , ' m hard please work customer service . 
 Good Vegas Hotel 	 good quality room , normal Vegas Casino facility , 20 minute walk centre strip . 
 Nov 18 2009 	 GO 	 important note vip guest result accumulate many point previous visit . antiquated hardware throughout free suite give adequate toilet run flush unless jiggle handle remove toilet cover go inside tank . peel paint toilet area . suite . housekeeping Ridiculous sleep ? housekeep efficient operation . efficient point discomfort . hang disturb sign door call morning 1000 hrs ask clean room . yes , call 10 o'clock 11 o'clock wake ask clean . seem designate clean time show sometimes late 2 o'clock afternoon . get go come back afternoon room leave morning . Room ServiceDefinitely hit miss proposition . sometimes get right sometimes not . funny get wrong realize call ask everything okay . never call normal circumstance check realize forgot something ask . ghetto / hood hotel Vegas result people suspect . surprised insult someone work identify pay guest . assume cocktail waitress bellman burn numerous time hood element / low roller contingent permeate hotel treat like suspect guest tip . bother complain anything certainly tell blow . get point get tired ask thing stop ask . guess strategy wear down . Fitness CenterDo waste timethey give lot point order gift catalog ignore picture get depict picture . receive product depict photo . worth shabby treatment . would rather spend money someplace make feel welcome . keep mind VIP / High Roller status get good offer free still certainly worth . one thing ... complain anything diplomatically blow 
 Nov 18 2009 	 edge dicey part town cheap ! 	 book stratosphere need one night stay goinjg Zion Bryce . know far end strip not plan walk around , still bit take aback area . look like lot construction plan , start stop . local mentioned not walk around night edge & quot ; bad part time & quot ; . ( still not know mean ! ) imagine since not lot people walk around , area might bit deserted therefore provide opportunity street crime . in case , room rate include complimentary tower admission . outstanding view , pretty scary . , go watch ride roof . not ride roller coaster think dangle edge two ride something remotely interesting . actually sort frightening entertaining time , sick kind way . , several people seem enjoy , guess 's matter ! research , come conclusion name casino cheap rate really bad room . try avoid , pay extra $ 5 get deluxe room . stratosphere take add $ 7.50 resort fee , probably low - ball room rate comparison purpose make resort fee . least state reservation , expect . case , pai $ 28 plus resort fee tax , expectation motel 6 level . and , be exactly get ! room recarpete , repaint furniture update . therefore , clean neat enough . small table two chair ; table rickety afraid would break apart , not , bathroom date - tile lie Home Depot construction grade , sort cultured marble vanity top old fixture . towel thin coarse . overall , know poor location relative Strip , low expectation pay little least able sleep decent room . would say know get , get cheap rate , be bad . location enable we quickly get way Zion Bryce . 
 Nov 16 2009 	 good value CLEAN COMFY 	 husband return today 7 day stay Stratosphere . room Tower One . absolute good bed ever hotel , pillow linen superb . sick two day , know good bed feel like . the room average clean good maid service . plenty steam hot water really nothing complain . good value . would stay . would like get free upgrade , offer . far attaction short drive . 
 Nov 16 2009 	 AWESOME hotel price 	 stay 4 night attend PubCon Las Vegas Convention Center . hotel easy navigate , easy find , staff attentive pleasant . room neat remodel , great bed linen , extremely happy 7th floor Premium Elevator Tower ( sure call . ) one downside stay & quot ; way & quot ; location - really need extend monorail system Strat , would make perfect conference hotel ! move Luxor weekend conference room clean , dirty streak wallpaper carpet gross - need pick two , pick Stratosphere ! 
 Nov 14 2009 	 Christmas trip 	 cheap , clean . mean Vegas . eat breakfast excalibur , buffet small strat . 
 Nov 14 2009 	 avoid hotel 	 stay STRASTOSPHERE CASINO Las Vegas someone leave safety pin carpet room stay . accidently step pin & amp ; blood come foot .. casino want pay medical bill much less compensate injury . would recommend Strastosphere Casino Hotel visit Las Vegas . 
 Nov 13 2009 	 ok not think would stay 	 room ok . bed comfortable . smell cigarette smoke overwhelming room ( suppose non smoking ) . service good . Casino ok . Buffet worth . 
 Nov 12 2009 	 Nightmare Las Vegas 	 husband go celebrate 50th B - day sister . plan staying week . spend 2 night hotel . room extremely small , even one person . air conditioner not work circuit breaker trip everytime put 1 electrical item outlet . deal breaker inform hot water floor not know would come back . not offer another room anything . say service restaurant & quot ; really , really , bad ! & quot ; ' ve stay often Las Vegas , usually timeshare . learn lesson ! ! 
 Nov 11 2009 	 nice room way far action 	 like hotel , room pretty clean look recently remodel . complaint distance rest strip take cab get anywhere make low rate room seem low . never stayed not think look far everything try walk realize middle summer couple block sahara catch monorail seem like 10 mile ! like hotel quite bit , casino decent not care location . would not stay solely fact . 
 Nov 10 2009 	 good class 	 ok , Venetian Wynne , think Stratosphere great . staff fantastic , room good size keep clean . lot option eat bus stop right outside centre strip 10mins Freemont street 5 ! pool area good tower amazing . one thing , quiet hotel . want lobby relax , go elsewhere , want great service , decent room lot would highly recommend hotel . 
 Nov 8 2009 	 stratosphere 	 nice pool , great casion , nice restaurant , attraction top main tower , far main hotel strip 
 Nov 7 2009 	 basically sound deteriorate 	 3rd visit Stratosphere couple day time . year sign downward trend . buffet good value $ 24.99 day go quality variety . amongst good previously opinion . room upgrade never materialise one receive drab dark ill equip compare previous visit . comp cash back significantly reduce . slot much tight . staff helpful friendly polite . position compromise become sleazy area night appreciably away main strip attraction . good value money however acceptable short stay . free gaming lesson morning cheap tournament place always available . use Deuce Bus travel strip $ 7 / 24hr unlimited usage - go right Premium Mall opposite end town , 
 Nov 7 2009 	 Beware Stratosphere get pay ! 	 first , room remodel . careful tower put in . I check upon arrival upgrade Spa Room . request Non - smoking . when arrive hit smoke open door . toilet work . I call front desk say would send one fix , say , could happen second time . say would move another room text message ready . never receive message , 5:30 pm . go front desk . I assign another room , however bath room clean properly . all around toilet rim yellow tub several hair . long story short , re - clean upon request 1 hour later . I picky want clean room . also , end strip away locate shady area accord local . even though management friendly , not make hotel . I also warn walk around early evening hoursI would never stay recommend anyone ! 
 Nov 6 2009 	 Fab hotel bargain ! 	 partner stay five night Stratosphere hotel August . hotel friendly clean room spacious well equipped . staff friendly informative not jump soon walk door luggage , nice . like fact right end strip get beauty whole strip day night travel along . thing would not recommend attempt walk length strip one go , approx 6 mile way ! ! ! buffet restaurant hotel bargain serve many different dish even fussy eater would find something enjoy . would definately stay Stratosphere . thoroughly enjoyable experience look forward repeat ! 
 Nov 5 2009 	 Holiday Make ! quit moan little thing fun ! 	 pick hotel cheap cheerful - away noise bustle main hotel ( 3 - 4 mile strip ) , also distance downtown ! go 20th October 2 week partner 's birthday fantastic ! staff extremely friendly . although not glitz glam major ' name hotel ' - be pay less half price bargain accomodation clean , top everyday fresh towel , bed linen tolietrie . freeze pool October - hot jacuzzi though ! great Craps dealer hostess - never without glass hand ! casino Vegas smoking - one different rest - people want moan , save gambling airport say place full slot non smoker ! $ 20 day day buffet hotel , aswell Denny be across road would highly recommend wholesome breakfast ummmm ... $ 7 deuce pass day bus travel - highly recommend ! $ 15 dollar taxi end strip - pay , give less tip ! go Tix tonight Half Price Show Tickets - never pay full book day ! must try trip : Le Reve , Cirque De Soliel - fantastic show approx $ 80 eachmarriage murder - murder mystery dinner show $ 35 eachdivas - transvetite impersonator $ 40 eachcsi experience $ 30 - great CSI fanstitanic exhibit - $ 25 eachgondola - $ 16 - great like cheezy ride sing ! free must see show : MGM Grand - Lion Habitat - anytimeFlamingo - Flamingo wildlife habitat - anytimeBellagio - Fountains - 3 pm every hour hourmirage - Volcano Erupts - 7.30pm every 1hr 30 minstreasure island - Sirens TI - nightlyCaesers Palace - War sceneWynn - waterfall show - dailyfantastic holiday sure much grand canyon hoover dam trip hire car - definately worth visit ! whoever go hotel , remember important thing enjoy - holiday make ! love every minute hope ! 
 Nov 5 2009 	 Nice treat like King ! 	 customer service everything understand . new management turn hotel / casino around . excellant customer service . stay last year impress 2 free night decide use . telephone booking , free upgrade top floor check , free day buffet ( without ask pit boss Brian Jacobs ) , help make correct bet pit boss Chuck , Joel Johnnie other teaching play Crapless crap ( lot fun ) , security direct great Tacos inside hotel , Cabbie teaching get strip taxi without spend fortune get back without spend fortune taxi , great maid ( room spotless ) . bed clean extremly comfortable . water pressure little low morning . gain 10 pund 4 day . great buffet . great eat taco ( real mexican tacos sport bar . ) check leave hotel / casino 27 hour . right middle strip downtown . easy get bus taxi . take taxi . $ 8 get ceasar take Industry road instead strip . get Taxi Imperial Palace get back next nothing take back street . cabbie teach . casino brightly lite clean . pool open great . free full Gym get use . would add $ 3 dollar table . go downtown . sometimes want play fun think bet . property parking structure security bike bright yellow shirt patrolling day night . feel safe walk around leave car . would keep Starbucks open 24 hour . open 5 . time change 430 . ask Brain Jacobs could get great cup coffee . without ask , walk bar area make sure fresh cup coffee . CUSTOMER SERVICE ! back . 
 Nov 4 2009 	 bad review ? 	 can not understand Stratosphere get bad review .. not realize room ' m read ! husband hit Vegas every 6 month . past July , drive Vegas east coast . stop Phoenix see family , big destination VEGAS ! Everytime come Vegas , always try stay Stratosphere ... ( be 2 occasion stay elsewhere ph buck per night ... gamble Strat though ! ) always stay premier tower never problem ... adjoining room 3 day teenager window room big enough stand , mention amazing view night ! not single complaint place . housekeeping come every day . yeah , 's strip .. take money save room get rental car , take duece cab ... choose walk day ! want stay room 's soooo much see Vegas ? ! ? far safety concern , vehicle stay park property entire time . go get thing hour night , never felt threathene . almost always security patrolling ground .. even bicycle . theft damage vehicle belonging . need feel unsafe : ) teenager love big shot observation deck . first thing wanted check .. go second time night leave .. amazing view ! ! pool nice .. big towel provide . eat Roxy 's , Lucky 's breakfast McDonalds . plan eat Courtyard Buffett one day , $ 20 day deal player club member . call go tell we kid could eat $ 20 per day well .. untrue . break too - good - to - be - true news we go . teenager little , would not eat $ 20 worth food 2 day .. not big deal ! shop close past time Strat . casino one well one we . hubby enjoy blackjack , ' m slot monkey . always good time never shortage cocktail TIP waitress ! , Stratosphere middle road . 's Planet Hollywood ( Prostitute Hub ) safe , clean , comfortable affordable ! enjoy stay book next trip March , stay Stratosphere . 's go to take bad review keep stay ! ! 
 Nov 3 2009 	 take another Sphere Stratosphere 	 stay hotel 3 night 24th Oct 09 . outside hotel look impressive impose tower . however , inside disappointing , lobby situate noisy gambling area . breakfast buffet restaurant several fast food eatery casino & amp ; retail area . the flagship restaurant Windows World , although expensive excellent highly recommend . the room small , basic disappointing . retail area shabby several shop close . disappoint especially visit hotel strip . hotel also conveniently situate , far end strip . Budget hotel probably well visit 10 year ago . need refurbish well air conditioning casino remove smel cigarette . 
 Nov 3 2009 	 nice 	 good price pay . clean close airport shopping Malls . I would recomand friend . 
 Nov 2 2009 	 Honeymoon Vegas - Awesome stay go close action next time 	 stay Strat honeymoon Oct 09 really enjoy stay . do not win darn thing , that s go ! highly recommend Fellinini 's Restaurant Top World , price waaaaay well filet mignon butter tender ! AWESOME ... ride top Strat great , Roxys Diner awesome ... Luckys okay , service slow . room nice , large , 8th floor view casino roof , think , strip . recommend high floor . pool close almost half stay due inclement weather ( 77 degree ? ? ? ) lol ... mi that s warm we ! pool nice though . overall great stay ... next time Vegas stay somewhere mid - strip ALOT walk $ 25 taxi ride south end casino . duece good though $ 3 per person one way $ 7 day per person . 
 Nov 1 2009 	 las vegas vacation 	 first time vegas , wife 14yr old daughter great holiday hotel good , clean tidy pool area great even pool bar staff good look you.even downstair casino , kid allow near table slot daughter never get ask move.eate wise 1 meal hotel luckys great meal , breakfast go dennys back hotel ihop , 5 min walk hotel pretty cheap coupon magazine get everywhere money meals.didnt try buffet , big eaters.travele vegas go deuce bus 3 $ oneway or7 $ 24hr pass , taxis cheap mount stop start.did strip find seady place mexicans give card girl hotel hound you.even women.did fremont street fantastic light show free show , go california something eat , starter primerib dinner pudde 7 $ person go twice great value carnt go wrong.on strip ti show good fountain belgegio volcano mirage free show would recommend always something go strip great even people watch , go back vegas near future instead get package holiday get flight get accomidation get get great deal .. hotel room even 5 star hotel wynn encore ... mr j p hooley batley west yorkshire england .... 
 Oct 30 2009 	 get less pay ! 	 Old , worn , dark , depressing , odorous overall adjective come mind think hotel . bad part we small , inconvenient window room . check ask would like pay $ 20 extra night & quot ; 60 square foot & quot ; room free entrance tower . tell would also put we 21st floor versus 8th floor . pay extra . upon arrival room immediately call front desk ask room change . unhappy small window extremely claustrophobic feel room bathroom . ( bathroom small sink living area ) tell front desk window hotel size moving would make difference . next day find blatantly lie pass open room 8th floor large window much large bathroom . luckily stay 2 night . coffee pot room . extremely tiny bathroom floor slope downward age feel dizzy sit toilet . frequent traveler look find deal , never ever stay hotel poor quality . plan spending entire day spa see quality hotel decide . 
 Oct 30 2009 	 get pay for - decent hotel 	 Hotel decent . good value money . nice buffet , great pool . tower bar restaraunt lovely . room basic clean . 15 minute walk fashion show mall 10 min start strip . worth saving . walk back 3 am couple night area busy safe . close Freemont street Premier outlet . 
 Oct 29 2009 	 get pay 	 price , fairly decent hotel . bed clean comfortable . room keep tidy though ' m doubt carpet . stay premier room , buck basic room . not think 's difference basic room , view perhaps ? view strip , rather be leave coz could see obeservation tower . check - in breeze staff efficient courteous . dining option above - average enough , mall area tower fastfood option . hotel tour lobby great , not wait outside hotel ( like ) wait tour bus . could also use fitness center free appreciate . bad . 
 Oct 29 2009 	 love stratosphere 	 go Vegas early October stay 3 night Stratosphere . ' ve Vegas alot stay various place Belagio , Imperial Palace , Flamingo , etc . Stayed Stratospheret save money not dissapointe . room nice . bed comfortable . stratosphere nice , clean place stay . go top needle fantastic view city , go one ride dangle tower fun well . far location , fine . definitely walk main part strip , enjoy walk . close Sahara $ 1 blackjack fun . last day buy day bus pass $ 7 able go far end strip ( Mandalay Bay ) , later night take bus downtown quick Stratosphere . not eat Stratosphere can not comment restaurant . overall , complaint hote / casino . would definitely stay . price great . 
 Oct 29 2009 	 check 2 hour check ! 	 first time visitor Las Vegas , say girlfriend excite trip would understatement . fact every ounce excitement go soon step Stratosphere sum bad hotel . first , location atrocious . be base extremely seedy area constant sense danger . count 3 crime location ( base police tape ) within 100 yard hotel entrance ! also 3 mile walk heart strip ( Bellagio , Caesars Palace etc . ) .secondly , smell vile . soon entre casino / hotel lobby look say & quot ; get smell ? & quot ; . elevator door open room floor , gag smell hit we . be quite difficult describe , good say smell old dingey . thirdly , room useless . draw back curtain soon enter room , face 15 foot wall . absoutely natural light whatsoever room . smell also lurk room ! literally check 2 hour check without even ask refund ; want hell ! book Paris hotel perfect ! 
 Oct 29 2009 	 can not wait go back ! 	 Loved - tizzy , & quot ; themed & quot ; beyond boundary taste witihn inch life . yes , be right one end Strip , like . away little hustle suit we fine . incline walk length Strip Stratosphere , use deuce - cheap bus meander slowly along . room great - 22nd floor , great view , clean , comfortable bed . staff frinedly , helpful courteous . eat several different area hotel well room service first night enjoy . buffet great value plenty choice food . bar price cheap compare toher hotel Strip . 
 Oct 28 2009 	 nice first time trip Las Vegas friend 	 take group co - worker Las Vegas first time stay Stratosphere . booking , look price deal know property offer nice room $ 30.00 night rate . Circus Circus Hooters similar deal , room motor court . we pleasantly surprize ! room basic clean well care . hotel many ammenitie feel sense safety group woman travel without male companionship . staff friendly helpful . friend season gambler , casino worker take time explain game kind , friendly courteous manner . slot pay well large selection late multi - wager penny machine . several meal Lucky 's Roxies enjoy quality quantity portion serve . the resort 's downfall ' location . must take bus taxi attraction want visit . $ 12.00 cab fare four get go either strip hotel Fremont Street . small price pay value receive . I take another group nurse Las Vegas February , plan stay Stratosphere . normally book Mandalay Bay , property good bang buck ! 
 Oct 28 2009 	 great ride ! ! ! 	 nice roomsdecent rate ... roller coaster top Hotel / Casno Tower ! ! ! ! 
 Oct 27 2009 	 Stratosphererooms good price value 	 service great hotel . like free valet service convienent . room nice , clean , surprisingly quiet . bed comfortable pleasantly surprise book Orbitz surprised give nonsmoking room like request . amentie iron , hair dryer , room service come handy . pool relax drink kind expensive . wish would go happy hour Stratosphere drink $ 20 . pay two drink pool bar . want save money food purchase Ultimate reward card eat breakfast / lunch / dinner $ 20 . location near end strip , take taxi ride convienently locate front Stratosphere five minute arrive Mirage / Treasure Island . cost $ 10 way . walk mile want save money . choose take taxi get we Mirage quickly , book Cirque De Solei Beatles Love show . show AMAZING , go back see . husband not gambler surprised kayak trip Boulder City , Nevada . book Boulder City Outfitters . drive 45 minute Stratosphere Hacienda Hotel meet kayak tour guide . Boulder City Outfitters also pick hotel Las Vegas . choose meet way could drive directly home . kayak tour start base Hoover Dam 11 mile kayak tour Black Canyon . guide Scott great , good personality , informative kyake nature . take we different hot spring sit relax . day kayaking trip would recommend drive long distance afterward . 
 Oct 27 2009 	 Wonderful Service ! 	 spend one night , service friendliness staff could well . offer nice perk hotel guest various discount trip tower . reason visit concierge , ! fantastic . downside far hotels strip . stay three different hotel ( Paris include ) first choice come back Vegas . 
 Oct 26 2009 	 Excellent Value Money 	 come back 1 week Vegas . 2nd time Vegas first time Stratosphere Hotel - excellent value money . hotel slightly away other strip take Deuce Bus everyday hotel . $ 7 24 hr ticket . bus stop right outside hotel stop every strip hotel . also take Deuce Las Vegas Outlet Centre pick nice bargain . drop right outside . also take Fremount St drop right outside . when check ask room upgrade receive one big room extra fee . hotel lot go would recommend anyone . 
 Oct 25 2009 	 Awesome ! 	 absolutely amazing hotel ! cheap , clean wonderful staff . outdoor roof pool great ride top Stratosphere good fun . cocktail delicious ( & amp ; free ! ) pancake 4 am ? could girl want ? ! 
 Oct 23 2009 	 super 	 stay stratosphere last week say room clean every day great value money , staff friendly helpfull would reccomend anyone 
 Oct 22 2009 	 Stratosphere Hotel Tower 	 really fun place stay . tower free u stay hotel . show r buy1 get 1 . nice casino . big room really comfortable bed . nice bathroom size tub . view form room , concrete wall . tv , refrigerator . alot room one . hotel casinps really big signage help place . great restaurant . gift shop really cheap . check check ok . really busy . hotel northern end strip either couple mile walk convienent bus u take small fee . tower ride amazing . show unforgettable . stay Vegas would stay . price budget also . nice east way airport . Valet parking self parking kinda confusing . staff helpful . 
 oct 22 2009 	 Affordable Las Vegas 	 hotel week October . great sized room , well maintain clean good standard . opt Delux Towe rView Room . 's worh bit extra get view sort . excellent day buffet hotel . special treat - Lunch revolving resturaunt 108th floor must . staff helpful friendly . good range eat shopping outlet hotel . ony two negative relate hotel.1 . noisey ( MUSAC ) acroos whole pool area 8th floor . - turn down- zone please ! ! ! overprice drink pool well . pool lovely- pity excessive noise.2 . wi- fi acce overprice $ 11.95 day . ( Walk street 100yard ad get free local mote Dinerl ! ! ! ! ) 
 Oct 20 2009 	 complaint ! 	 second time visit hotel . price ( 29.00 ) night , can not beat . stay children age 8 14 love . hotel strip , either walk catch bus get main part strip . room clean , impressed see decorative pillow comforter change daily . front desk helpful . check give ton idea thing Vegas kid . check go fast . kid enjoy ride top hotel , 24 hour McDonalds hotel godsend ! pool nice , qas quiet . 's mean big expansive bad boy pool Vegas , lie sun get wet every awhile , be perfect . overall complaint hotel . would stay heartbeat . 
 Oct 19 2009 	 unimpressed 	 kind walk one - husband book Stratosphere two reason - ) cheap & quot ; place sleep & quot ; end honeymoon , b ) close little white chapel originally go renew vow . end b ) since kind rip , ) prove backfire well . I remember stay first open think awesome . also 15 , memory obviously little cloudy . probably smoky casino walk turnoff first walk . pay little extra high floor room view - little tick & quot ; view & quot ; backside hotel face ' burb mountain ... strip . whatever , place sleep explore Vegas not let get we down . take note hotel pretty far away everything be probably Las Vegas see , unless want go IHOP , get tatoo , hit quickie wedding chapel . not eat hotel ( except Wetzels Pretzel ) hear bad thing buffet make we less enthusiastic try in - house cuisine . be pretty expensive eat top tower , not good selection menu make worth while . I guess everyone pet peeve stay hotel . mine cleanliness thin wall . room relatively clean , definitly hairs mystery clump stuff various place room . wall incredibly thin . next door neighbor wake we loudest whinist conversation 3am - learn life story someone call security shut ten minute begin . luckily comfy bed come thick pillow put head could get little sleep head back fun next day . there definitly well choice comparable price farth Strip , find great deal right heart Strip research . 
 Oct 19 2009 	 Superb hotel 	 stay Stratosphere first time year follow friend recommendation . visit LV many time stay range hotel Wynns strip Vegas Club Freemont Street stay Strat good stay ever , yes even well Wynns . atmosphere fun ( unlike wynn ) suite book fantastic . enjoy much never leave casino move another hotel later , go back one enjoy much . not worry negative review , place great value money good fun . 
 Oct 18 2009 	 worth stay 	 room well maintain , desk helpful , room really clean daily . Stayed kid grandkid hotel everyone want leave . go grandsons baseball tournament 12 family 's -- none happy . location bad , really safe wander around dark -- lot drunk etc . absolutely reason stay hotel . lot much well option . 
 Oct 18 2009 	 good Stay - small issue 	 book Stratosphere 6 month prior arrival , try contact hotel several occasion beforehand no - one want deal quierie , ask front office manager email address would not give ? ? ? ? ? ? 8 we arrive hotel , receptionist friendly check quick , put floor . staff buffett excellent , maybe could variety breakfast food . dinner top world restaurant , service good , main course let slighly , view top excellentthere 8 us guy plenty drinking do , $ 60 round , bar staff FRIENDLY , one guy keep give we dirty look refuse serve we , maybe tip . akse speak manager refuse get tell go reception want one . bar fill prostitute would come ask would like fun , do not mind laugh joke . find strange bar staff seem tell girl go talk , maybe know guy money . managment reading please ADDRESS . service get bad refused drink bar hotel , find local bar back strat , call dino , cheap fun bar load friendly peopleluckys good food , burger place ok . would head back strat , maybe bar staff get well . go superstar show , do not go terrible 
 Oct 18 2009 	 Fun get away 	 visit family Las Vegas area always stay Stratosphere . tend wander Strip , do , want hotel could relax really enjoy Las Vegas 's beautiful desert . love ample parking hotel staff always helpful . problem TV remote working , think maybe battery work , come w / a spare remote tech see something tv . realize actually tv tech quickly fix extremely courteous . ' ve never problem Stratosphere always stay whenever visit Las Vegas . view top observation deck tower fabulous ! city many wonderful museum park , explore will see Las Vegas amazing destination . 
 Oct 16 2009 	 fun time 	 love everything las vegas include hotel bit strip bit quieter away action . clean , tidy , comfortable & amp ; staff friendly & amp ; helpful whenever need . would definately go back wanted keep spend shopping . 
