good 	 second time Sams Town know expect generally . booked room online good rate since mid - week , season people , ask inside room . willing give one ponie another $ 20 night decline - room decor inside outside different , view inside boring . Valet service friendly , room adequate , check check fast place one low resort fee . hotel shuttle Strip warn could take hour get . budget hotel / casino clean okay night rv'rs - quite distance Strip 's Walmart around area need pick anything . eat mexican restaurant hotel mediocre good .. 
 Bad Bed pillow 	 be go stay not get room waterfall sound show noisy unless plan bring ear plug . another thing , need replace bed pillow horrible . bring pillow 
 Sep 30 2009 	 home away home 	 love Sams Town . go least 4 - 5 time year home away home . comfortable people work friendly . never crowd casino . everything need , nice restraunt , movie theatre , bowling alley , pool , spa , bingo course table slot . planning get marry May 2010 balcony wait . go go speak wedding cordinator couple week . Sams Town home away home . Thank Sams Town 
 Sep 20 2009 	 great hotel 	 friendly helpful staff , free shuttlebus strip downtown . great movie theatre plenty restaurant . 
 Aug 21 2009 	 great service even gambling 	 Las Vegas week . need check - in Southwest airline get seat return trip . see internet machine different hotel decide good time last day check - in one machine . decide go Sam 's Town day . Got machine . husband go front desk ask internet machine , , front desk check we Southwest . great service , not even stay . buffet good fortune either . good customer service . big thank Sam 's Town employee . 
 Aug 17 2009 	 WONDERFUL TIME 	 great room view east mts . buffet good . service really good . big casino . comfy room . stay 
 Aug 13 2009 	 Paper thin wall 	 use hotel jump 10 day Zion , North Rim , Page Sedona loop . want good night sleep long flight , book strip . first , will start positive : pay $ 26.95 / night plus $ 4.50 / night hotel fee ... bad . decide book 2 room four we spread , great rate . front desk staff polite friendly . check breeze . TGI Fridays hotel breakfast buffet great . sign Club Coast card , give $ 1 buffet . love atrium water / laser show . hotel room fairly clean attractive , small . now bad : area hotel show age , carpet 7th floor . also , hotel patron use garden container atrium trash receptacle . could ignore probably give hotel 4 star overall . however , last large complaint paper thin wall . family connect room . lady room right room come 1:30 laugh cackle 3:30 think finally pass exhaustion . great time . not begrudge ... Vegas come . kid room leave tell morning neighboring room 's alarm clock 1 patron not come til 3 shut . , turn tv couple hour . , not begrudge patron , wall literally paper thin . not plan get sleep neighboring room patron not share sleeping habit . last , also positive . checking , front desk staff ask stay laughed say exhausting . ask mean explained noise come neighboring room . hotel credit $ 15 / per room plus $ 4.50 / night per room . cost next nothing stay . again , not plan sleep , may place . , need good night sleep , get one Sams Town , due paper thin wall . 
 Jul 29 2009 	 rename Sam 's Hell 	 pick stay hotel travel senior parent thier senior friend free night . pay real gambler type person . arrive atrium thinking , gee nicer expect . well arrive room . believe pic see internet . cheap room extremely dirty run . run bother much dirty . afraid actually sit chair bed dirty . someone 's hair chair . immediately call lobby ( late night 10 pm ) say & quot ; want room look like one internet site & quot ; tell could another room cost pay 25.00 room show internet . pay 25.00 though agrue seem unfair pay money room dirty disgusting room ? ? ? ? new room well could live 4 night stay . say come back desk make switch since one person front desk . I would go way stay hotel even give free night would never stay . away strip sort bore . really mean local think . dining actually impress Billy Bob 's restaurant Willy & amp ; Jose 's Cantina GREAT Happy Hour yummy Margarita 's . buffet really good . 
 Jul 23 2009 	 pleasantly surprised ! 	 stay Sam 's Town last year pass Las Vegas meet tour group kayaking trip Sierras . I choose Sam 's basically excellent room price advertise website -- well off - strip location ( seem good -- plan early morning departure little wish fight traffic ) .Desk clerk friendly knowledgable , offer free room upgrade ( overlook Mystic Falls ) check . room much nicer would find low - end chain price : immaculate , nice - sized television , bed comfortable . I already know amenity visit Sam 's website , pleasantly surprised quality . bowling alley , movie theater , sit - down restaurant . also couple & quot ; quick - grab & quot ; type place ( Subway outlet one ) .Did not really gamble , can not comment -- dunk coin wait hour mexican restaurant open dinner ( post hour wrong ) .Food well - prepare , not wow . wait staff right amount attentive . Mystic Falls awesome -- would say 's one well & quot ; free & quot ; show Vegas . ( maybe resonated , DIFFERENT might expect ' Vegas -- glitz -- outdoor girl . hey , catch 3 time & amp ; not get old . plenty family kid early show -- local , maybe ? ? ? -- would likely agree . ) catch -- well worth time . Sam 's great place stay -- many amenity low - key , comfortable atmosphere well smokin ' hot value -- be like ? ? ? would go back heartbeat ! 
 Jul 23 2009 	 Great Value 	 Book early super - price deal . ideal choice be pick RV depot situate along Boulder Highway ( several ) .hotel $ 20 cab ride Airport . the quality good Strip Casino hotel . 
 Jul 22 2009 	 excellent alternative hustle strip 	 start gamble Sam 's Town fun strip . casino relax friendly . decide start stay . room nicely decorate . bed comfortable . service top notch . take shuttle strip / convention center . use stay Harrah's - never . stay last 6 year , make reservation stay . 
 Jul 22 2009 	 Fantastic Hotel -- stay happy ! ! ! 	 try four LV hotel previous trip , wife decide spend four night Sam 's Town happy make switch . room modern large price pay ... 39 49 dollar week . great value money option . hotel 's website even offer well price stay within month birthday . worth look . parking easy access tower require swinge thru casino . easy . elevator whisper quiet reliable . the front desk staff friendly super efficient . room time all . the Mystic Falls atrium fountain show amazing . miss one well free attraction LV offer . the Firelight Buffet undisputed champion Vegas buffet . player card , breakfast $ 5.49 dinner dip $ 9.99 evening . food hot , taste great atmosphere class . high mark here . also , coffee shop terrific late night sausage egg . Sam 's Town bit drive strip -- approximately 20 minute Flamingo Blvd . however predictable drive traffic snarl worry about . Sam 's lot offer great find . would stay without hesitation . difficult fault nice hotel many thing right . great four night ! 
 Jul 8 2009 	 Great Fun great staff inexpensive boot . 	 never Sam 's Town since usually stay strip , , destination choice . slot looser , staff friendly , Mystic Falls wasvery enjoyable ; bang buck . great choice slot machine bar staff super . 
 Jul 1 2009 	 Nice Hotel 	 Sams Town good clean Resort far action taste . 10 mile strip 30 minute drive busy time day . Las Vegas use easy drive around many year ago , congest like big city drive around heavy traffic want vacation , get home every day . casino always seem dead , even night casino strip jump action people fun . like place get great rate think stay . feel conflicted recommend Hotel . 
 Jun 30 2009 	 Lot money 	 besides comfortable bed great view , property pool / spa appear open 24/7 . late night trip pool / spa make stay cut place Las Vegas guest . parking free , resort fee small , internet slow tv service basic . room view Eastside Cannery building look wonderful evening . room large size rather comfortable . look recession vacation might place . bowling , movie , pool , spa , dining , indoor park course casino make Sam 's Town hard beat look get house without spend much . book room vegasview.com $ 8 per night almost free . hope get deal ' m hold breath . currently Sam 's Town site sane $ 26 night still bargain . review mention location good choice family would agree . Las Vegas go recession vacation could spot . 
 Jun 29 2009 	 love 	 annual trek Las Vegas , go friend seven year ; parent play ground . love venture beyond & quot ; Strip & quot ; Sam 's Town one gem find year back never stay year . absolutely love . friend & quot ; regular & quot ; room first time opt suite . decor & quot ; regular & quot ; room beautiful one bedroom suite fantastic ; accommodation overlook atrium amazing itself . in year past never want sit relax room suite invite friend could not help leave guy table , grab snack food court chill front tv . Sam 's Town town within overwhelmingly huge , actually find way room without GPS . great live music stay . although use , Sam 's offer shuttle town strip . shop right across street anything may left home . eat buffet last year good . suppose could go enjoyable stay sum stay many place ( can not afford Wynn ) travel LV defiantly return Sam 's Town 
 Jun 27 2009 	 absolutely Fabulous Must - see ! great family 	 husband make point visit Sam 's Town , twice see feature Rachel Ray 's & quot ; $ 40 Day & quot ; Food Network ( feature ' Firelight Buffet . ' ) . say pleasant surprise ! hotel visit stay , Encore ( stay Encore ) Sam 's Town door hold open we receive 5 star service personnel . everyone work friendly helpful , seem genuinely happy us Casino . one Craps guy , think name Sinisi ? Checkloslovakia ? , stand friendly helpful kind we , teach we crap notify time something Craps table ( $ 300 night , lose night , not matter love ) ! employee seem happy work jovial attitude towards patron . one funny thing happen ask one man gambling come often , dealer reply , say , & quot ; , Barry , nah , be never ! & quot ; ( find funny anyway : p ) lot local gamble , find sign prominently display Sam 's Town Best Gambling Hall 6 straight year row ! reason : employee crap odd 20 1 : everything extremely clean waitress remember name visit trip , ( love ) . even separate gambling area side ( separate main ) non - smoking ( great people abhor smoking ) . one thing find particularly wonderful place fountain show center main area . basically small scale version fountain show see Bellagio . consider Sam 's town much old Bellagio , make wonder Bellagio borrow idea Sam . : p wide variety people family , watch amazement show . Middle America 's fine : ) see quite retiree also , ( smart one know gamble ) : PIn addition , Sam 's Town Bowling Hall , movie theater , Ice Cream shop , well Dunkin ' donut ( great relief $ 6 coffee find strip ) ! include picture review follow review review allow 10 picture . think take picture casino visit 5 day , like much . if ever go Vegas , two standout choice ' must - see ' place stay would Sam 's Town Encore , honestly , think would choose Sam 's Town great gambling comfy nice . ( Encore brilliant though ) : p visit lot casino Vegas , include Caesar 's ( great ) Bellagio ( not - so - much , staff , conglomerate mess massive crowd heavy smoking ) . take nearly half hour find freaking bathroom Bellagio , far away gambling ) favor choose Sam 's Town , think glad ! -- wallet thank ! ( well gambling odd , check , think slot slightly high percentage payout , strip ) please read review place one , find lot photo , picture worth thousand word ! mod , , work Sam 's Town , like give credit credit due : p 
 Jun 23 2009 	 ver nice hotel 	 Excellent Service . staff answer question smile . Movie Theatre premesis . $ 3.00 day Tuesday big plus 60 . free shuttle strip every half hour . side stay Buffet . expensive also good . breakfast omlete station thaere huge line . pancake hard rock . otherwise give hotel high mark cleanliness . really great time . 
 Jun 18 2009 	 nice place stay 1 night Vegas 	 nice place stay . stay 6th floor room look indoor park . nice clean . bed little outdated lumpy . McDonald 's downstair park not even take kid Casino . stay one night way Utah really nice we . get special service Valet parking tip nice . place expensive much $ 30 valet . lady check desk nice greet we smile . wait line . strip one reason pick hotel / casino price great . pay 28.00 room will not complain . would stay would ask another blanket another pillow not update . 
 May 2 2009 	 good value accomodation 	 spend 3 night Sam 's Town end April great value money . nice quiet room face mountain . room bathroon spacious clean . ample parking rent car . regular shuttle bus available Strip Downtown . the hotel locate Boulder Highway easy drive straight Hoover Dam Lake Mead . lisa front desk delight well know hotel chain hire train staff customer service . my complaint Sam 's Town extorniate cost use wifi - $ 5.99 one hour , $ 9.99 24 hour $ 29.99 3 day ! ! time pay internet access time southwest . could go across street McDonalds use free hotspot not fancy lugging laptop online short time . get Sam 's Town , small hotel Grand Canyon Zion NP offer free wifi . 
 Apr 1 2009 	 nice place great room price 	 stay way home . California Sunday night , March 29 , 2009.sam 's town good basic rate night clean comfortable room . staff extremely friendly helpful . we two queen bed room . nice desk flat screen T.V. , surprise not refrigerator , microwave even coffee maker , take note expect . Wi - fi available room charge seem pretty steep . free ice floor travel cooler not miss refrigerator . always take small electric kettle heat water coffee etc .. request two extra pillow bring we promptly extra charge . problem toilet quickly address hotel engineering . Dinner Firelight Buffet $ 10.99 , $ 9.99 get one Coast Club Cards free . good huge selection include glass wine draft beer adult . there free breakfast , lot place eat property . Firelight Buffet breakfast $ 6 , line long time get . grab quick breakfast in - house McDonald 's , much well & quot ; free breakfast & quot ; $ 5 . mention , McDonald 's fast food location visit entire vacation not mess order . the atrium center kinda fun . feature call Mystic Falls waterfall scene animatronic animal . anyone problem cigarette cigar smoke , aware hard entirely avoid . atrium non - smoking area reach McDonald 's . hotel corridor also non - smoking . , will smell smoke walk one place another . this not easy place get luggage room . could not see available bell hop arrive think would . take we twenty minute , involve four trip parking garage not close room . would easier wait bellhop . could helped hotel luggage cart hand garage guest . I would consider stay since price can not beat . look real Las Vegas experience though , would probably stay somewhere nearer Strip . 
 Mar 31 2009 	 incredible value - fabulous resort hotel 	 may late provide comment , . stay Sams great reason plan new trip Vegas soon possible . although mile strip , not matter offer free shuttle bus service main area . car not need use . check website offer . everything great , food , service , gambling , entertainment option , etc . etc . etc . forget stay strip . price unbeatable . 
 Mar 30 2009 	 Great Hotel price lovely location 	 stay 5 night boyfriend , get double twin , bathroom great , big bright enough . read review wall quite thin , find morning wer leaving , obviously nobody room next door week ! ! ! stay good location visit Las Vegas RC Competition near Sam Boyd . food good , Mc Donalds , Buffet exceptional € 13 , TGI Fridays good breakfast . overall pleasant experience , see water show take place lobby , Class ! ! Walmart accross road , ideal ! ! 
 Mar 29 2009 	 still good couple problem trip ... 	 get back another stay Sam 's Town Las Vegas , March 20 - 22 , 2009 . respond monthly offer receive reward club three free night night week , along voucher free lunch dinner Firelight Buffet . upon arrive hotel around 1 , line check - in go smooth . happen notice go back charge require $ 50 room deposit per stay player club member via credit / debit card , whereas always option past versus mandatory , along ability pay cash deposit desire . arrive room 931 , outside room vs. park view room actually look - although inside room view park nice , laser light show run several time day park get loud overbearing , outside face room much quieter . request king bed get two queen , understand preference can not guarantee ( even comp offer ! ) not big deal . top floor nice , particular corner hotel really great view Strip , nice touch . it year since last stay everything still appear good shape . room 37 & quot ; flat panel television nice addition . armoire hold old television still intact turn dry bar . room couple hour , notice couple problem . notice leak along slow drainage problem shower , appear air conditioner would not go 78 degree , even cold setting . second day trip warm side , barely room not big deal . probably would request room change event pay would extremely hot outside . I mention previous review although comp good , slot get alot tight past couple year , actually play $ 25 without luck . usually play traditional reel slot dollar level , learn several trip ago not good place play anymore ! not see many new machine past trip , appear keep move around . all casino , restaurant everything else appear great shape usual . Sbarro , Panda Express McDonald 's food court always cheap , surefire bet , two trip Firelight Buffet excellent . although even comp line little long Sunday Champagne Brunch , well worth wait . although stick room couple mechanical issue , Sam 's Town still great place would still recommend everyone . keep mind 's Strip - type casino - 's much lay back alot old , local clientele well payout . 
 Mar 18 2009 	 great place vegas 	 strip approximatly 10 mile room large clean adequate gambling shopping available Sheplers nice resturant great place kid bowling movie theater resturant good price range automate light show night numerous time room rate reasonable close outlet malls shuttle service downtown vegas strip 
 Mar 18 2009 	 another great Stay 	 2nd time stay Sam 's Town Vegas . first trip good , figure expensive airport round - trip . note : 's Boulder Highway , quite little way Strip . stay 2 night ( comp send mail ) also receive $ 25 food coupon buffet steakhouse . upon arrive , check absolute nice front desk clerk , Lisa . prompt take information assign room . even visit play Bingo ( not win ... say give never win anyways ! ) . inform original request King would not available , ok . give room # 333 . interesting tuck away corner . ok . , good part .... ask Lisa could obtain funbook . & quot ; slipped & quot ; one . 's customer service ! room nice , casino large ( 2 level ) Bingo hall fun . shuttle service run Harrah 's Rivieria Strip well California Fremont downtown . highly recommend use , beware schedule ( get front desk ) . , still get back use CAT bus ( remember Boulder take time get back ) .steakhouse great , eat little much spend $ 25 ... beware appetizer large appear sometimes : ) . 
 Mar 10 2009 	 Bites flea bed bug 8th Floor 	 room 8th floor could go without shoe carpet bathroom . many bite foot use liquid Benedryl coat foot stop itch . bite neck arm . not know flea bed bug pretty bad . worried carry critter home luggage . not company business , would stay . would return hotel . the room keep tidy housekeeping staff front desk nice helpful coffee hotel good . wish could say . 
 Feb 20 2009 	 first timer - love Sam 's town 	 3 mature lady 2 week tour around LV . got good deal line direct Sam 's .. 2 night $ 57 .. pay first night second one free . first time ST like would return . outside room , good size & amp ; decent bathroom . great cocktail service evening .. hunt CW day . Mystic Falls show fun ... see enough . TGIF - poor quality food , service okBuffet - breakfast - averagefriendly & amp ; helpful staff .. especially player club good casino floor 
 Feb 18 2009 	 comfortable stay off - strip property 	 Booked hotel Expedia great promotion . stay 5 night Th - Tue . check around 10:30pm Thursday night . girl say fully book night , still find we king non - smoking room . even get free upgrade atrium view . not ask , get . room nice , little basic , clean spacious . look one recently renovate room . flat panel tv , armoire refrigerator , two recliner , desk / chair , good sized bathroom . sink counter area 7 ft long plenty space thing . shower new curve curtain bar extra room shower . housekeeping pretty good job ... replenish towel soap , always change sheet , not look like vacuum stay . casino plenty slot pick , get quite smokey ! could use restaurant choice . Fellini 's close , TGIFridays replace 24 hr . cafe . mexican place close Mondays Tuesdays , think . buffet good breakfast food court nice . oh yeah , cinnamon almond atrium yummy ! really enjoy stay would not hesitate stay . 
 Feb 15 2009 	 Nice Hotel Mediocre Amenities Nickel Dime 	 book hotel.com . get discount rate . easy get . freeway close even though away strip . nice staff . want upcharge 25 buck get new remodeled room . nickel dime everything . room clean . old though . crowd old . night get ghetto . security around . seem safe . one night . sure would go back . cheap room 's ok . 
 Feb 2 2009 	 good 	 stay Sam 's Town previously & amp ; always enjoy . one nice thing courtyard cafe great food reasonable price . really nice sit listening fall & amp ; feel outside . close new TGIF open find big mistake . tgif near atmosphere & amp ; food like chain . not without nice cafe not think back . TGIF find anywhere . 
 Jan 14 2009 	 Excellent stay 	 stay January 2 - 6 , 2009 exceptionally happy . eat BIlly Bob 's top notch usual . eat WIly Jose Cantina food good . eat TGIFriday 's certainly par Harvest Cafe TGIFriday 's US . service slow unfriendly also . the room good ususal atrium view wonderful remodel do casino great . staff helpful friendly . could not ask well stay get away . return next trip Las Vegas . 
 Jan 10 2009 	 Best Strip Hotel 	 book online directly hotel website almost 4 month previous 5 night stay New Year 09 . rate drop almost $ 200 online 1 week arrival , call reservation number adjust question ask . checkin quickest ever see Vegas , less 5 minute . got complimentary upgrade Mystic Falls view room flat panel tv $ 20 nice checkin person . tip wonder Vegas . bathroom large , bright , round tub / shower . room clean bed / sheet comfortable . Mystic Falls neat show watch . plenty restaurant buffet wonderful . casino great .... near crowded strip downtown . regular shuttle service strip downtown , never worry drive parking . like spend 1 2 day strip anyway . like lay back type casino , . 
 Nov 3 2008 	 great value nice stay 	 stay last 3 night October fantastic rate . read elsewhere might add $ 4.50 nightly service fee turn $ 1 . consider provide free shuttle service several hotel strip downtown consider fair . originally get great rate hotel website , receive travelocity & quot ; sale & quot ; email list even well price . call hotel directly match rate verifying available web . end pay ~ $ 23.50 night . ' ve never stay Vegas cheaply certainly less quality hotel price . request king size non smoking receive without problem . tv room maybe 19 inch tube model little date work fine . standard room good size . minor problem room small amount peel wall paper near shower . hotel & quot ; show ' & quot ; run minute every couple hour afternoon quite loud . might disturb sleep tv view stop 10 pm not major problem . interior room . exterior room probably would not effect noise . check check quick . lobby staff helpful . eat late dinner ( 3 am ) steak house food service excellent . elevator prompt . alcohol hand sanitizer near main elevator gaming area nice touch . bowling alley well light clean . not go theater . nice variety restaurant ultra cheap mcdonald steak house lot selection . shuttle huge bus actually . ran time clean . pickup location clearly mark however miss first bus look wrong spot . hotel locate near number major road number city bus service area need travel around ultra cheap . also walmart across road . play roulette poker casino can not speak area , dealer friendly . poker room currently two tournament night 7 11 pm think . one night not enough player second game cancel . believe 's morning tournament also . buy in cheap . lot fun playing tournament . everyone friendly first name basis number people hour . good time consider stay . 
 Oct 30 2008 	 Great Value 	 stay 5 night late October , part 2 week vacation Vegas . need cheap place stay try first time . room around $ 25 / night , fri saturday around $ 70 , still good value . I like hotel much , probably good hotel 3 stay . room basic clean . 40 - inch LCD HD tv , hd channel , picture not great . able hook laptop though hdmi cable . real negative think not room service -- week Fridays Resturant open casino take counter like eating room come handy . elevator fast maid service good . be also Walmart Supercenter right across street handy . easy mile strip ( drive straight Flamingo ) , not car shuttle bus back go downtown strip . 
 Oct 26 2008 	 nice - tremendous value 	 Played eat Sam 's Town often never stay . got great ( $ 25 ) rate on - line ( well casino rate ) Thursday night . room ( 879 ) king bed perfectly adequate . fancy Caesars Palace much let might expect . basic , clean room . Bathroom tub / shower sink / vanity room mirror fog extremely bad shower ... electric mirror defogger would work wonder . bed standard hotel type bit firm taste not go bed 3 am matter . view south Boulder Hwy even number room face atrium . lcd tv old style amoire tv cabinet still room ... put ice bucket plastic cup tv use . room clean temp control work great . ' ve pay lot far bad accomodation . one big contrast note Sam 's Town general place Strip lack newbie first time Vegas visitor . people Sam 's Town know obviously regular . slot fare friendly Strip accumulate enough point probably room entirely compe book ( pay ) on - line . eat Billy Bob 's Steakhouse ( really good ) buffet breakfast ( classic bargain ) ... see seperate review . around Sam 's Town great value unlike huge rip - off Strip ... example $ 5.49 breakfast buffet every bit good $ 15,99 buffet Caesars Palace . one downside .... taxi airport expensive Strip . stay Sam 's might worth rent cheap car . plenty parking . make sure taxi airport take Nellis Tropicana Paradise ... much fast / short Flamingo . I think find new Las Vegas & quot ; casino home & quot ; work pay stay Caesars . 
 Oct 22 2008 	 wonderful value 	 way well expect -- -what value -- -resort everything 
 Sep 22 2008 	 Nice lot extra - ordinary 	 stay Sam 's Town boyfriend 's bowling league sweep . ' ve never fan Vegas - not get whole much drink much smoking throw one 's money away . idea fun , understand 's great time it . Sam 's Town 7 9 mile away strip / downtown . suit we quick weekend trip . plus , casino less crowded . however , Sam 's Town offer free shuttle casino several site along strip dowtown , nice either car wish drive . room nothing terribly special , clean comfortable . almost time bed change ( be little old soft ) , manage couple good night 's sleep serviceable . plenty clean towel , clean carpeting , everything dust . not 42 & quot ; plasma tv speak another review , tv work fine standard hotel fare . there several restaurant casino . manage eat Billy Bob 's Steak House , large portion rather expensive receive service give . unless special event , would skip . eat buffet breakfast dinner , think quite well , although impressed breakfast lot choice . dinner okay , come dessert , leftover quite time get littel & quot ; crispy . & quot ; Mystic Falls center atrium relax parklike place walk sit relax . cover air - condition , yet feel like one outdoor . light water show get little loud , pleasing watch - . kid tow , might enjoy this . the bowling alley ( place spend quite bit time , actually ) quite nice . one well place bowl . lane nicely set feel comfortable . hey , bowl 189 ! seriously , offer nice respite typical Vegas scene allow one get little exercise well ! casino , well , casino . stay away table , table minimum appear rather high . , last time Vegas 1991 ( hey , not & quot ; & quot ; Vegas , say ? ? ) , might normal . minimum $ 5 , $ 10 , $ 25 . budget allow . stick machine , bore hour , lose . ( typical ) boyfriend play penny slot quite well , though . major beef casino ( true casino anywhere Nevada ) smoke . non - smoker , smoke give headache . even sit & quot ; non - smoking & quot ; area ( right middle smoking area - make sense ? ) not help , plus limited machine . second floor casino , little well , few people less smoke . , , look less crowded , comfortable , clean Vegas experience access Strip downtown , Sam 's Town might fit bill . huge ( keep getting lose ) , really lot keep one occupy . however , one difficulty cigarette / cigar smoke , perhaps casino vacation / getaway want . 
 Sep 13 2008 	 Sam 's Town great place stay 	 stay Sam 's Town 7 - 12 September 2008 wonderful time . staff outstanding really help request smoking room end get non smoking room . different room ready next day . the hotel / casino huge ! ! entire complex take least one entire city block include RV park . casino , Sam 's also bowl alley , 4 resturant , McDonalds , Duncan Donuts , movie theater , course atrium . room nice one include 42 inch plasma display . Maid service do 11am nice . free shuttle service take town strip . use combine free shuttle , will not spend dime cab fare stay . except go airport . nice room , free shuttle , great service , low price . Sam be get business future . 
 Sep 6 2008 	 great experience Sam 's Town 	 Staying Sam 's Town 4 day August great experience wife I.Check prompt efficient , staff friendly helpful , room clean well sized facility need , location Strip like . there plenty site casino action , bowl alley movie theatre . free shuttle bus allow we take multiple trip Strip downtown . provide later return hotel ( approx 11 pm ) downtown , allow we visit Fremont St experience . the multiple food outlet cater taste , thus eat breakfast dinner site every day . Walmart locate across street grocery general shopping , also fast food place nearby . there also good laundry locate adjacent Sam 's Town RV park . drive , cab fare airport approximately $ 30 . 
 Aug 22 2008 	 Inexpensive Vegas getaway 	 go Sam 's Town want bit Vegas without whole downtown crowd chaos . perfect hotel need . room nice , clean Vegas weekend , relatively inexpensive ( 80 $ ) night . nice , relax environment , huge indoor waterfall park like atmosphere . the pool bite small everyone great time , .They offer lot place eat inside hotel well movie theater , bowl alley video arcade , one family friendly place stay . eat buffet probably worth wait , cafe great bartender great . would go back . 
