Fantastic 	 stay Blue Moon Hotel November great time . the hotel lovely little bit history place . our room lovely plenty room , also small balcony look Williamsburg Bridge . bed firm ensure great night sleep . bathroom well appoint , flush toilet time clear . shower powerful , towel dry small side . the front house guy meet first day , Paul , fantastic . friendly full information . really make difference stay . we would definitely stay . hotel great location get around New York neighbour hood lovely restaurant stroll distance . 
 may 17 2009 	 Perfect Weekend 	 train home right . Blue Moon Hotel place stay . hospitality one good experience , bar none NYC hotel / B & amp ; B be stay hundred different place last 30 year . Larry duty entire weekend beyond helpful friendly . visit friend definitely impress recommend anyone come visit . room large stay . decor thru hotel gorgeous original art work do owner vintage piece find onsite renovation . LES Tenement Museum next door , although not partake next time . make book purchase Museum Store . locally really everything need walking distance . go midtown show Friday not leave LES rest weekend . Cananis restaurant around Ludlow Barrio Chino lunch great . 15 minute walk Little Italy shop Broadway another 10 . may first & quot ; relaxing & quot ; weekend NYC ever . thank much Larry ! really appreciate effort kindness . back ASAP try another room . 
 may 6 2009 	 good NYC experience ever 	 Blue Moon hotel look celebrate Californian 's 40th bday . accomodation perfect . ambiance flawless . staff amazing ! Andy & amp ; Francesca great we . great time plan another 40th bday visit September 2010 ! ! ! ! 
 May 5 2009 	 may five star hotel sure give five star ! 	 wife recently " Blue Moon experience " – really fantastic . stay small hotel tuck away Lower East Side New York City . give real taste city – kind hotel could pick place city world . really everything want , staff go beyond accommodate guest . facility clean , furnishing comfortable . ambiance friendly warm . service truly great . ' one place leave realize much really enjoy , know return . -Meyer Hana 
 May 4 2009 	 Great Atmosphere 	 Preservationists love place . owner assemble unbelievable collection real history weave decor building . WWII era yiddish Theatre poster really bring back good old day . talk history lesson . real passion accomplish . 
 Apr 30 2009 	 Integrity soul 	 stay blue moon last minute booking . come NY get marry booked hip expensive hotel uptown 4days stay . suppose stay friend rest time fall blue moon choose rush flick guide book . brilliantly happy impulsive choice make ! love everything . room spacious comfortable . downtown location great bohemian bar , restaurant retro shop - great area wander around . anything hotel soul . clearly owner take great pride refurbish old tenement block , take great care retain many original feature possible , display old relic former inhabitant . sure might like bit bling , know ? proprietor take much care building history know deal deeply respectful people integrity , sure treat well . sad leave blue moon , although posh hotel pretty glamorous , heart . would come back hotel second . deep respect thank owner staff create little gem downtown NY . 
 Apr 25 2009 	 way overprice ! 	 stay Blue Moon like location . nearly faint get bill ! taxis , $ 600 per night . not worth . New York Blue Moon clue go economy ! keep charge rate , will not open long ! 
 Apr 24 2009 	 awsome excellent service cozy hotel 	 time walk feel go good stay . people nice always service , hotel stun great spot Lower East Side . can not ask . neat , clean annd friendly . would forsure stay . thank Blue Moon ! 
 Apr 21 2009 	 back time without close eye 	 soon walk lobby fall love place . lovely decoration feel past surround . stay Jimmy Durante room , clean , cozy fresh . owner staff friendly make stay even enjoyable . 
 Apr 14 2009 	 Quirky friendly utterly charming - hide gem NYC ! 	 second visit NYC ; first time , stay near 5th Avenue attraction , time want explore history New York area low side city . Blue Moon Hotel good situation explore area Lower East Side , SoHo , Little Italy Chinatown , within easy walk away ( sensible shoe ! ) . also load really good restaurant within walk distance - advice , speak Larry ( see ) ! subway nearby , venture afield . visit Tenement Museum - next door - must . the hotel relax comfortable place busy city . room much large NYC hotel , clean well - equip . bathroom spotlessly clean . Breakfast exactly advertise : bagel , fresh orange juice real ( italian ) coffee , small pastry , fruit bowl . find adequate , end share bagel , fill ! host , Randy , warm friendly , Larry , Antoinella staff exceptionally helpful great fun chat begin end day . already recommend hotel friend back home , definitely stay next visit . 
 Mar 19 2009 	 love good experience NYC hotel ever ! ! ! 	 great experience , would definitely stay . family recently stay Blue Moon Hotel Manhattan ' low East Side . experience lovely every way , fact , first time we . time even take along brother friend . room large , luxurious comfortable . bathroom sparkle old district Manhattan , modern amenity want . hotel green , relax , use organic cleaning product . linen towel always fresh soft . owner , Mr. Brandisini personally welcome we , insist take pastry kid . hotel serve breakfast morning , ' go , six - year - old daughter do . for NY history lover feel like walk back time live ... decor atmosphere amazing ! good experience NYC hotel ever . 
 Mar 10 2009 	 fantastic atmosphere ambience 	 Booked trip special occasion gem experience , staff owner friendly , informative helpful , nothing much trouble . decor hotel room take back time , interesting New york artifact , mosaic tile , colorful painting . location would everyone like explore every easy get . 
 Mar 4 2009 	 totally love stay 	 hotel beautifully restore warmth andcharm seldom find New York . one small room huge ny standard . good part service . everyone make we feel like old friend . Larry help we find right restaurant , shop & quot ; & quot ; nightlife . low East Side hide jewel NYC - great boutique restaurant easy pocketbook . definitley return Blue Moon . 
 Mar 3 2009 	 authentic ! 	 highly recommend hotel . find place chance happy stay . 
 Mar 1 2009 	 good hotel nyc 	 wonderful room , great service , reasonable price . will not stay anywhere else NYC . Larry , Steve , Antoinella make feel like be home . 
 Feb 25 2009 	 elegant Large room Quiet Hotel Great Service 	 quaint boutique hotel large room quiet . excellent service owner staff . hotel excellently decorate lovely lobby , elevator , hall . size room large comfortable compare anything comparable New York City . excellent busy business trip , lovely romantic getaway . 
 Feb 23 2009 	 beautiful Converted Tenement 	 Blue Moon former tenement build Lower East Side 's convert luxury inn - type hotel work dedicated proprietor . style esoteric non - New York include touch original turn century building . stay Eddie Cantor room , quintessential top floor small balcony . room big enough comfortably appoint , real charm addition artifact original tenement put collage proprietor . bottom line : great , quiet , beat path romantic hotel . 
 Feb 22 2009 	 incredible 	 Beautiful RoomsCharming Ambience - Feels like old Lower East SideVery helpful staffonly downside want leave hotel 
 Feb 20 2009 	 Cozy relax extremely enjoyable stay . 	 stay Blue Moon Hotel downtown Orchard Street girlfriend Valentine 's Day year . fantastic time . hotel hide great neighborhood full awesome place eat brunch . hotel historic romantic cozy well . hotel staff , head affable informative man name Larry , greet we cordially help we throughout stay . room fantastic beautiful balcony , clean bathroom , confortable bed spacious . highly reccommend hotel couple and/or anyone want stay NYC away up / mid - town close BK . awesome location ! 
 Jan 28 2009 	 Lovely Weekend 	 stay two night Blue Moon Hotel weekend January 16 - 18 . room charm meticulously clean . everyone kind helpful could desire . hotel people love unique original , flavor New York long ago . definitely book room Blue Moon next time visit New York . 
 Jan 25 2009 	 elegant history extra 	 Blue Moon rank top travel experience , ' m frugal , well - travel , picky person . self - employ writer , every travel dollar well spend not expense account . like treat well feel safe , experience whatever city . Blue Moon meet requirement , provide many special surprise : ' m Hitchcock fan Larry recommend rarely see film free - rental video collection . visit NYC ( quarter ) good bagel , breakfast serve downstairs every morning good bagel ' ve ever ( even though miss whitefish salad , ' m glad not smelly stuff lobby ! ) . coffee delicious , even though starbuck across street , feel need leave hotel . room HUGE NYC standard . ' ve stay many nice hotel city Upper West Side Park Central , never room comfortable balcony city view window comparable price . arrive receive elegant care employee . one specialty , share history build dvd recommendation restaurant recommendation . came go several time throughout day wee hour night yet whenever arrived always greet like family member . realize , probably well tipper , honestly feel much like house full family not even occur . bad . hope will forgive . guess be another sign -- never feel like anyone anything reason love & quot ; home & quot ; want make feel comfortable . Larry say South , perhaps innate sense hospitality come ease . not explain rest staff . besides fabulous treatment , room lobby particular meticulously renovate keep 1920s early ( may date wrong ) history building , everything modern well - equip . hear Richard Price author stay 3 month look apartment . fantasy pie terre NYC ever come true , will live Blue Moon Hotel take time pick residence . block Chinatown Little Italy Soho , be perfect location . need somewhere fast subway foot carry , staff call car service second . pricey taxi , also nice driver . could gush , think truth fact already know stay return July , Oct , next January . 
 Jan 21 2009 	 friendly fascinating 	 fabulous surprise Blue Moon Hotel . tuck away Lower East Side big flash frontage . minute step inside cheerful lobby , feel ' ve one family ever . coffee , tea glass wine offer welcome . everyone work go way help advice , restaurant recommendation , information area background historic aspect building . great sense respect admiration history area amongst people work Blue Moon love share information interest . the room decorate period actor name distinct character . room well fit practical aesthetically pleasing furniture make feel like home home . great coffee supply coffee maker room well appoint bathroom make Blue Moon comfortable place stay . I would happily go back next time visit New York City . 
 Jan 18 2009 	 Manhattan Gem 	 Blue Moon wonderful gem hotel — comfortable , ideally situate Manhattan , classy , artistic charm . furnish new , room nearly soundproof , staff gracious solicitous almost fault . tastefully unify décor celebrate history building , neighborhood , star early NYC theater . location perfect purpose , near Chinatown Little Italy prime historic territory trace ancestral root . even well facility , though , people . family two grownup two teenage girl come Orlando December face could vacation hell due luggage misroute totally lose . Blue Moon staff , thankfully , tremendously helpful easing problem , even going far lend topcoat could buy clothing rather face NYC weather Orlando short - sleeve ( pack heavy coat luggage ) . eagerly provide well - inform history area , location excellent restaurant flavor , suggest site visit simple direction . , say enough positive hotel people . go wrong stay Blue Moon . 
 Jan 18 2009 	 Blue MoonThe Lower East Side Nostalga 	 family go NYC rare weekend getaway past August . we go Blue Moon low east side . trip youth . hotel living museum . entire place painstakingly lovingly restore . art adorn every wall along collage actual newsprint memorabilia . lobby quaint fun . room carry name star grow . Molly Picon , Jack Benny , Sid Ceaser . I find smile , enjoy atmosphere . room well appoint , well stock fridge , coffeemaker , marvelous mattress , indiv air conditioning control , dvd player V. lobby lending library thing watch . breakfast informal . soon go downstairs fresh pot coffee prepare , bagel danishe fresh delicious . the entire family great time everyone want go back again . we bring car , closely situate near many train , be easy get around city . 
 Jan 10 2009 	 elegant Artistic Welcoming 	 author / lecturer busy travel schedule United States . business invite lecture New York City book hotel usual , time pleasantly surprise new unique hotel , Blue Moon Hotel Manhattan , New York . one night , kind let check early since room ready . atmosphere artistic elegance pretentious comfortable . clear attention detail , find NY hotel . owner staff extremely kind , welcome helpful . look forward stay . 
 Jan 7 2009 	 overprice 	 last - minute business trip ny . last time stay Rivington road , fancy stay Blue Moon review seem positive like apparently character . the price exactly Rivington $ 525 , already eye - water New York price . my complaint expect seriously upmarket hotel experience amount money ( travel lot work ) , even New York . room fine , nice even careful furnish special attendence restoration old tenement property , nothing special . I already think way overprice go breakfast . lovely fresh bagel serve lobby cream cheese packet plastic plate plastic knife fork coffee cardboard cup ( coffee also allow sit long discover first day , urgh ) . $ 525 expect least eat china , airplane plastic , also kitchen impossible order anything hot even capuccino . complain manager perfectly nice actually quite upset , say rarely get complaint , Europeans ! reschedule breakfast meeting Rivington fantastic breakfast room serve scramble egg ! also say room small Rivington , actually experience . if hotel $ 200 would warmly recommend , $ 525 , can not . 's little upmarket B & amp ; b . 
 Dec 31 2008 	 charming great location 	 great place ! location draw hotel charming cosy . 
 Dec 30 2008 	 Amazing experience 	 absolutely delighted charm parlor , decor room , genuine friendliness Larry Andy . stop rave everyone know Blue Moon Hotel . without hesitation , hotel would stay NYC future visit . thank incredible experience . 
 Dec 29 2008 	 Exceptional Service Great Atmosphere 	 husband , 16 - year - old son stay Blue Moon Hotel two night Christmas . I not downtown NYC since work nearly 20 year ago . Blue Moon Hotel perfect location revisit area show son love much . upon arrival , Larry greet we warmly offer we complimentary glass wine . stay Louis Armstrong room . overlook Orchard Street love able observe activity . really make we feel like part neighborhood , visitor . room comfortable clean . Larry wealth information , whether provide direction detail history renovation spectacular property . one truly sense labor love Blue Moon everyone owner , Randy Larry , Bryan housekeeping . Bryan , also work front desk , pleasant helpful well . Randy give we wonderful restaurant recommendation , Tre , lovely little italian place Ludlow . even go ahead phone let we know come . result , restaurant give we complimentary dessert - a fantastic zepoli sinfully delicious cannoli filling . my son gain interest photographing cityscape . intend go Top Rock evening tell . however , fog make visit TOTR impossible . Randy graciously allow we enter beautiful Eddie Cantor Room , son could take photo spectacular outdoor balcony . Blue Moon Hotel warm , comfortable welcome place explore Lower East Side . staff friendly bend backwards ensure stay exceptional . 's , hotel location offer convenience site even well , real feel like live area . already plan return trip Spring . can not wait go back wholeheartedly recommend hotel seek great service true New York experience . 
 Dec 12 2008 	 Blue Moon excellent 	 fiance spend 4 night Blue Moon Manhattan December 2008 . location Lr East Side way main tourist area Manhattan subway service uptown downtown good . area way represent authentic New York much midtown . Manhattan hotel expensive well , work € 485 per night include tax . basic level room still spacious good size balcony . breakfast provide free , unusual Manhattan though restaurant lunch dinner . 's small hotel 20 room - upper level one fabulous brilliant view quite lot expensive . manager delightful , nothing much trouble get complimentary wine arrival . place great feel certainly stay next time go New York . 
 Dec 7 2008 	 Lower East Side Gem 	 pass hotel chance last year explore Lower East Side intrigue charm character . visit , stay 3 night fully live expectation . this convert tenement obviously labour love owner whose meticulous attention detail see every part hotel . design spacious room keep concept building , past present . staff extremely friendly helpful , especially Larry Antonella , source invaluable knowledge history hotel surround area . we specifically want stay downtown hotel escape usual midtown location , prefer feel LES Village etc . however , quickly reach part city subway stop close hotel , easy F train Delancey . would definitely stay hesitation recommend Blue Moon Hotel anyone plan visit staple NYC landmark look experience Manhattan different perspective . 
 Nov 21 2008 	 wonderful experience 	 stay anywhere else ? find little gem chance back Nov 2006 immediately impressed . Blue Moon hotel like hotel NYC location , décor , history cleanliness superb staff must stay . oh ! let forget mention great price room HUGE . one place post picture big nice room website , room look like . stay third time week ago . come Washington DC greeted Larry ( glass wine ) perfect gentleman put great resource . write book customer service . truly asset Hotel thank great service awesome dinner suggestion . night arrive run Randy owner . surprise remember welcome back . say go check upgrading room follow night . next day get back tour around find put we penthouse Eddie Cantor room . word really ' describe room view . could write write place stay . let say want get true sense great city place go . nightlife energetic , neighborhood like safe service make think must like parent would refer " good ole day " 
 Nov 20 2008 	 great character hotel 	 not know much place booking , delight stay . 's stylish , charming quirky , even low grade room book turn spacious well equipped . activity bustle lobby also serve breakfast area . take window seat soak atmosphere generous continental breakfast . Manager Larry could not helpful . provide we info map getting take trouble walk we part way restaurant recommend close - one among number under - statedly fashionable bistros bar area . we will definately return Blue Moon . dollar / pound exchange rate 's cheap option brit moment . , leave promise great discount next trip there . Mark & amp ; Juliette 
 Nov 16 2008 	 Friendly 	 take chance stay last weekend due proximity daughter apartment block away ..... ' m glad . arrive 9:30am , well normal check problem Larry front desk . Larry look we throughout two night stay happy tell history hotel surround area . small property large norm room size hotel type New York . Decor keep Lower East Side tenement district make interseste pleasing viewing . like real deli bagel pastry really appreciate be put breakfast morning . fresh local . hotel clean find entire staff friendly supportive . call we car JFK please report upcharge service . fourth stay New York last 15 month . previous visit spend Midtown , 40 block away . like location Blue Moon , neighborhood feel versus touristy Midtown . 
 Nov 8 2008 	 secret gem midst city . 	 stay hotel must say pleasant comfortable experience ' ve . impress large size room stay warmth pleasantness service . everything hotel bursting character , colorful art piece fascinating artifact late 1920s . importantly comfortable unique experience , one would much like . 
 Nov 3 2008 	 room personality helpful staff 	 travel frequently business time New York . please beautifully decorate room , relaxed atmosphere helpful staff . so much well hotel chain : memorable place stay definitely revisit ' m back New York . 
 Nov 2 2008 	 great boutique hotel fab location ! 	 stay Blue Moon Hotel New York 's Lower East Side five night 21st-26th October 2008 celebrate second wedding anniversary . want something different , certainly find Blue Moon . the hotel convert tenement building decor hotel in - keep era try re - create - sometimes feel stay museum hotel ! original artefact adorn wall lobby room fantastic respect - lot characterful wood , tasteful traditional decor , great character bathroom , comfy bed , etc etc ... book ' cozy ' room , small balcony , despite name thrilled find large room ooze character - room name local Lower East Side celebrity ( ' Jimmy Durante ' room ) . whereas NY hotel room big proverbial shoe box , hotel boast big room New York , believe that . the hotel offer complimentary continental breakfast lobby great way start day - , many NY hotel ' room ' another quirk . enjoy leisurely coffee bagel whilst watch local area go morning business outside hotel . we find complimentary bottle wine room card wish we happy anniversary , lovely touch . staff hotel friendly help query may have . the good thing hotel , however , location . Lower East Side buzzing character , well lot lovely restaurant bar spend pleasant evening . shop really unique ( ' Guss ' Pickles ' less block away ! ! ) whole area fantastic people - watching . first visit NY , spend day every day walk sightseeing Manhattan , refreshing come back local ' neighbourhood fit everyone else . Geographically 's also ideal base head downtown financial district , uptown main tourist attraction midtown , favourite place , across town fantastic area Soho , Greenwich Village , Chelsea , East Village etc etc ... fantastic tiring time Blue Moon Lower East Side really feel like home - from - home we stay . certainly feel New York , faceless hotel really could anywhere world . like - minded traveller love quirk life rather someone impress big smoke , love Blue Moon offer , . 
 Oct 31 2008 	 Blue Moon Hotel 	 stumble onto hotel Orbitz check TA . sure anyone could please quality room phenominal staff . yes little bit beat path , wonderful experience stay unique property . travel extensively business leisure find property NYC level service large confortable room real surprise . say bargain price , average New York City . city expensive . would strongly recommend anyone enjoy small botique hotel middle city neighborhood lot go day night . yes , see TA folk irate stay treatment , can not please everyone everytime . defitinitely stay next time go ny downtown.and already tell other property . DFN STL 
 Oct 26 2008 	 fabulous stay 	 great stay ! everything great , especially Antonella recommend great italian restaurant . bathroom view Empire state building roomy . hotel extremely clean quiet . would definitely stay ! 
 Oct 14 2008 	 Great Hotel 	 reserve Blue Moon know little -- wonderful surprise get ! hotel adorable , immaculate warm . staff first rate friendly , room perfect . we heartily recommend Blue Moon anyone everyone look charming european style hotel experience hip , & amp ; come New York neighborhood . 
