Great 	 stay Serrano Hotel four night love . host complimentary social hour free wine tasting every night 5 - 6pm . also serve free coffee morning guest . hotel nicely decorate chic . 's close Union Square make ideal shopper , little bit close rough neighborhood careful wander wrong direction be familiar area . hotel great value pretty reasonable price . 
 Oct 8 2009 	 Fun Games 	 adore Kimpton chain . boutique hotel attentive staff , yet still reasonably price . serrano glossy hotel chain ; like genteel , respectable cousin bite wayward neighborhood ( room overlook 24 hour & quot ; massage parlour . & quot ; free happy hour hotel adjoining restaurant also provide well round happy hour menu . Rooms- cushy robes- nice flat screen- cozy bathroom . would try hotel ( Palomar ) area , fine business traveler quick trip . 
 Oct 8 2009 	 perfect ELSE SAY 	 special birthday surprise wife book trip San Francisco read previous review Serrano Hotel decide book . disappoint hotel ideally place visit sight couple block Union Square ( shopper paradise ) jump Cable car catch bus Golden Gate Bridge $ 2 each . we stay one executive suite ( Room 901 ) thank Artem joy . room clean ( hotel ) huge jaccuzzi bath ( welcome walk day take sight ) , ask room service first day tired long journey UK order coffee tea , tell charge really nice touch . the wine evening 5 pm - 6 pm super idea people mix chat unwind . if question bell boy fantastic help willing explain find way place grab taxi whenever need one . many hotel San Francisco anyone research place stay discover could well serrano special mention Artem credit Hotel make break perfect . many thank 
 Oct 8 2009 	 Comfortable Stay Serrano 	 normally stay chain hotel , hotel part Kimpton chain , great personality . room stay ( room 2 double , run king room check , despite request king ) small side , perfectly adequate . bathroom also quite small , make glad travel alone . workspace bit cramp , ok . overall , like room . complaint window FILTHY . nice view , really could see grit , certainly disappointing . I enjoy free coffee morning ( though beware coffee drinker - to - go cup quite small certainly need another cup morning ) , well wine reception night . use fitness room day , think fine . little small , 4 cardio machine , get little crowded morning . also seem a / c ventilation , get quite hot ! luckily , Serrano provide towel water work out . I also use business center print boarding pass day check . pay use internet computer ( big , beautiful iMacs Windows Leopard ! ) print page . find disappointing wireless internet roo free stay intouch member . feel nickel dim service normally free charge hotel . it nice hotel near Union Square , area get little dicey night . young woman travel alone , stray far hotel afer dark . I check well flight , bellman hold bag . prompt retrieve bag , even call find wherabouts airport shuttle bit late . conceirge also greet every time come hotel , nice . 
 oct 8 2009 	 Home home San Francisco 	 be always good come back Serrano , staff friendly without intrusive room luxurious without top . ambiance wonderful , greet front door evening wine hour lobby every evening . attach restaurant , Ponzu , also gem knowledgeable friendly wait staff superb chef . food never disappoint . the location serrano perfect SFO , close everything matter , right bustle . 
 Sep 25 2009 	 wonderful Boutique Hotel 	 first visit San Francisco frequent mile save , persuade husband visit city . husband like Marriott name , see website , ( http : //www.serranohotel.com/ ) agree Chinese New Year visit , perfect place . the hotel Kimpton Hotel , complimentary fresh coffee morning , complimentary wine late afternoon . room big , bed extremely comfortable , staff friendly , knowledgeable . it be situate theatre district , good public transportation . room nicely furnish , bathroom small , clean , noise street room . like Old Style Boutique Hotel , one perfect . unlike hotel charge premium Chinese New Year celebration , rate reasonable location . 
 Sep 17 2009 	 another great Kimpton experience ! 	 although Serrano fully book weekend stay , signature friendliness diminish . doorman greet name arrival ( still not figure ! ) , helpful self - park instruction . check - in speedy courteous , although miss complimentary wine lobby , bottle deliver room within minute arrival . room small , like many renovate old building , well furnish eclectic color scheme . room bath spotless , bed super comfy . white sangria nice cold alternative wine Saturday long hot day sightseeing ! 
 Sep 15 2009 	 Wonderful Hotel stay . 	 surprised arrive hotel , due negative review previous posting . room 5th floor , find nothing wrong hotel . room bathroom size good , always clean , comfortable bed , nice toiletry , good A / c . location excellent close everything , elevator work fine . mention other area close hotel ( tenderloin section ) prettiest , bother begger . enjoy wine hour afternoon , always plenty kind wine , specially merlot . like mention 2 people helpful nice , John ( concierge ) Kaheel ( guy ) always pleasant helpful . thank guy wonderful stay ! 
 Sep 12 2009 	 great location top - notch service 	 love Kimpton chain , Serrano let we . great friendly service well - decorate boutique - style hotel . location perfect : close enough easily walk Union Square without amidst crowd . need huge room , would not recommend , like something not feel like be hotel stay four night ago Cleveland , one . get good deal website well . soon figure attach picture new Mac , will put . 
 Sep 12 2009 	 good hotel locate good 	 spend 3 night 2 room 16th floor . room bathroom clean , furniture ok , bed good . even hotel corner 2 road window good isolating . aircondition central one ( machine room ) make quiet . room big , small , use anyway sleep , big problem . tv LDC screen . free coffee available reception area , breakfast various version could order restaurant integrate hotel . many restaurant close enviornment Serrano offer good breakfast . reach cable car , take around 5 minute walk , time Union Square shopping area around . go back hotel come San Francisco . 
 Sep 4 2009 	 nice hotel ! 	 staff really great . greet every time come door . wine happy hour afternoon nice . expect cheap little glass box wine . nice selection even great sangria . hotel clean need little spruce areas- makeup stain bathroom door , scuff , coffee table little batter . overall nice atmosphere . definitely complain upgrade suite ( double / double ) . think well book wedding . particulary like try go ' green . ' charming take back hotel day mid 20th century glamour personal style . 
 Aug 28 2009 	 Nice 	 really enjoy Serrano . stay corner room- 1001 3 night . beautiful comfortable . bed wonderful . staff friendly . doorman recognize come street open door even get . wine evening coffee morning nice . bathroom large marble floor jucuzzi tub . Cheetah bathrobe nice touch . complaint , 's really complaint , would open sofa bed , can not get around get bathroom . tenderloin close , not walk direction . would definetly stay . 
 Aug 22 2009 	 Character 	 good location since near cable rail line & amp ; Union Sqr , major shopping attraction , street 2 3 block . much interesting stay predictible wharf area tourist milling edge Tenderloin ask doorman advice area . walk everywhere problem . place clean , unique charm , nice amenity & amp ; honor bar . happy hour lobby evening , complimentary & amp ; that s great meet guest & amp ; get tip . complimentary coffee morning lobby , good strong brew . ice cream complimentary mid affternoon well , never . nice little gym , much equipment expect & amp ; sauna . comfortable bed , plush day walk . 
 Aug 20 2009 	 Grubby friendly 	 first impression nice hotel , friendly staff . decor different , fairly nice . one porter especially good ( though one rude obnoxious ) . room , however , small ( expect , barely room case ! ) grubby . ' Hooters ' sticker mark stained wallpaper , woodwork desperate need repainting , cover scuff even lipstick mark . dog hairs chair . bed clean comfortable . lick paint , hoover clean wallpaper , would lovely ( watch tramp next block ! ) , pretty good . 
 Aug 20 2009 	 Awesome stay 	 wife spend 3 night recent trip San Francisco Serrano . room bit cozy , part deal charm 100 year - old hotel . nonetheless , everything spotless complete new furniture , flat screen comfy bed . lobby service really make hotel . first walk blow away elegance warmth old lobby . well , free wine reception everyday 5 - 6 nice touch good way meet traveller . conveniently locate near Union Sq . would highly recommend Dim Sum Bar two block O'Farrell cheap excellent chinese meal . well , irish pub two block direction fun place pint listen live music . 
 Aug 19 2009 	 Great Location Hotel - Stay ! 	 wonderful place step Union Square shop excellent restaurant . current pricing real steal -- be across street Hilton would pay twice price ! free wine evening lobby , pet allow , mini - bar , great toiletry , comfortable bed , nice staff . will happily stay ! 
 Aug 19 2009 	 lovely hotel great service 	 would thoroughly recommend hotel stay S / f.locate away Fishermans Wharf near Union Square , ideal spot explore city without get trap total tourist paradise . upgrade huge Executive suite honeymoon couple manager Artim , superb guy . bedget stretches room would recommend luxury . as state , wine reception evening 6 pm bonus bar next door run happy hour 6.30 ! quid ! also coffee hot chocolate available reception 7 am 10 am free charge . the word warning would stray far hill tenderloin area town . overall though , would definitely recommend hotel . 
 Aug 17 2009 	 Perfect location lovely hotel 	 Serrano perfectly situate stay San Francisco . room small side everything need . hotel clean staff pleasant stay . enjoy wine reception evening great way wind day activity . would definitely stay ! 
 Aug 3 2009 	 Charming Hotel heart San Francisco 	 lovely six day stay Serrano Hotel . upgrade executive suite exactly look pictute website . staff friendly helpful . evening wine reception perfect day sightseeing even wii games board games kids entertain wife enjoy glass wine . coffee service every morning dine house restauraunt , Ponzu enjoy good meal . overall , great experience leave heart hotel serrano San Francisco . a word advice . homeless people San Francisco everywhere aggressive . 
 Jul 23 2009 	 Interesting Hotel 	 generally like Serrano . service good . room adequate , although bit small side . internet service generally good . 
 Jul 21 2009 	 gem 	 book month ago Travel Zoo deal . not sure location , would stay return . the location two block Union Square . feel perfectly safe day night . doorman times , helpful hail cab assist luggage . actually ride BART SFO walk couple block hotel . even walk Wharf hotel one day use cable street car day . the lobby gorgeous . check fast easy . two small , old elevator beautiful wood paneling . fast service . the two room suite perfect . bedroom comfortable king bed feather pillow comforter . flat screen tv , mini fridge , desk chair . wi - fi free . two animal print robe closet . also extras room could purchase use - pj 's , cozy sock , umbrella . there small hallway connect living room . bathroom locate hallway . large , nice . great water pressure . living room pull sofa , chair , coffee table , flat screen tv , ottoman . tv cabinet lock contain food drink item could purchase use , well small toy could purchase use . the view city three large window . there coffee maker room , complimentary coffee , tea , hot chocolate available morning lobby . we visit business center sauna . 
 Jul 20 2009 	 Excellent staff location cleanliness style . 	 husband enjoy stay hotel much extend two night , cancel reservation hotel Walnut Creek go . realize would cheaper rent car drive , plus could stay already comfortable . bathroom towel plush high quality , room service satisfactorily every day , 8 day . bathroom small , adequate , surprise much space closet . decor 18th century France quirkiness . concierge staff always friendly courteous , wine happy hour quite enjoyable although 40 minute might run white wine serve red , WIFI internet always work we , although little slow time . use gym almost every morning , equipment good repair , water towel available ; however headset usually jumble . many reviewer note , location convenient public transportation , probably 3 - 4 block away hotel ; we mean exercise . hotel close tenderloin , not really notice panhandler Taylor outside Powell Street subway station . need laundry , 's coin laundry service block away . sure eat Millenium vegetarian restaurant nearby , fantastic . would not hesitate stay hotel . 
 Jul 16 2009 	 not expect refund 	 hotel comfortable enough staff friendly ( depend talk ) . pre - booked room teenage daughter ahead time Expedia . intend staying week requirement try leave day early . unfortunately speak front desk inform change room reservation request subsequent refund direct Expedia . speak Expedia rep inform hotel policy refund monie pre - book room check - in . rep contact hotel manager inform charge 100 % reservation whether leave early not . not travel San Francisco sure norm rest hotel around . thought would balance rave review understand management accomodate may appear . reason recommend hotel anyone . 
 Jul 15 2009 	 absolutely wonderful ! ! ! 	 highly recommne place . room small cozy everything need . bed comfortable . within walking distance everything city . want leave place , even stay extra night . good morning coffee ever ! pleasant front desk helful caring concierge ! 
 Jul 14 2009 	 Beats rest hand really top quality ! ! ! ! ! 	 real find . helpful staff , great decor design , room good size , stylish , clean , neat . hotel great size , big faceless , busy give time day ( SF Hilton , Sherraton , etc ) , small able accommodate request , need . ' ve stay SF 3 time well far . stay tuscan beresford prior visit . location also perfect , close Union Square , Powell Hyde cable car , not put proximity Tenderloin , basically ever stay would not wander around anyway ! ! ! . willbe back sure 
 Jul 12 2009 	 really enjoy stay - employee credit Kimpton 	 review Trip Advisor lead book hotel not disappoint . travel San Francisco 19 year old daughter girlie day . book double queen room . book Go Lorrie 's transport San Francisco International arrive hotel around noon Wednesday . check fast , friendly handed key room 7th floor . wonder whether might leave luggage com back , room ready we . it not huge room , enough two us - two double bed , large flat screen tv , drawer , desk , good lighting , two large window , bedside table ipod dock / radio / alarm clock . iron ironing board ( hate keep ring bring hand tip every time , full mark hotel every room ) . bathroom not enormous , good bath shower , Aveda toiletrie lovely touch . the hotel free wine session every evening 5 - 6 - daughter can not drink USA , manage half glass wine one evening . still , be nice touch seem get guest together . the location good - two block five minute walk Market / Powell Street terminus famous cable car take Fisherman 's Wharf . huge shopping mall area , minute Union Square . incidentally , talk Union Square , time walk round , street entertainment loud have drive nut actually stay hotel . serrano , two block away , peaceful sleep like baby wonderfully comfortable bed . finally , hotel staff great - friendly , professional , helpful contribute really enjoyable memorable stay . I never stay Kimpton Hotels , one anything go , will not last stay one . if one gripe 's pay almost six buck 15 minute internet access business center - one day , stuff standard - like iron ironing board ! 
 Jul 10 2009 	 good value hotel charm 	 stay friend 3 night 14 - 17 June . arrive 12:30pm suprise room available , top 17th floor . room charming comfortable . Ponzu restuarant great happy hour deal night , normal menu price also reasonable . stay Parc 55 hotel 17 - 20 June , decide extend stay SF another 4 night . though complaint Parc , decide go back Serrano fun & amp ; charm 20 - 24 June . nightly wine reception great way unwind busy day sightseeing also meet traveller . staff friendly , hotel good location . Review TA help choose Serrano first place , ' m please able confirm great review hotel - would definitely consider hotel again . good- charming & amp ; comfortable rooms- nightly wine reception- Ponzu restaurant- good value- central locationnegative ( minor ) - cost internet use not laptop you- coffee tea make facility room ( complimentary serve lobby 10 am ) 
 Jul 10 2009 	 Perfect Surprise 	 upon arrival San Fran , 11 am , front desk nice let we check early time . shock availability room 16th floor overlooking & quot ; Tenderloin & quot ; . serrano edge & quot ; Tenderloin & quot ; San Fran , funny walk block south hotel home transiet , walk 2 block east be Union Square . would nothing worry certainly stray stay . be nice know walk wrong street . room cozy , bed comfy . tv nice 30 & quot ; flat screen , probably will not room much . wine reception nice nothing special wine . could buy local store . concierge extremely helpful , guide we great restaurant get we reservation choice . want experience really nice , fun San Fran cuisine , ask will glad help . room always clean organized return afternoon . Powell Street Cable car turn around 5 minute walk . book eda really good package deal travelocity flight hotel would highly recomend . 
 Jul 9 2009 	 wonderful stay - highly recommend 	 stay Serrano 2nd 5th July King Deluxe room husband book Kimpton usd $ 97 night plus taxis . travel nearly 4 week last 3 night fly home need return rental car 10 am 2nd . arrive Serrano know early check - in go ask could store luggage able . staff wonderful beginning - room ready allow we check straight away mean could explore San Francisco freshen first . room charming , well appoint spotlessly clean . 15th floor , although like open window , obvious couldn't . all staff friendly never fail greet we come go . coffee lobby morning great glass wine evening . last day flight night check bother store luggage arrange shuttle airport . walk nearby Westfield Shopping Centre go movie , lunch last minute shopping go back hotel play game , wine catch shuttle airport . all three day San Francisco enjoyable memorable , thank largely professional staff comfortable charm Hotel Serrano . 
 Jul 8 2009 	 Excellent Accomodations Excellent Location Good Price 	 stay Hotel Serrano 2 night King Executive Suite less $ 200 per night . hotel locate near Union Square San Francisco . also short walk Muni , cable car Chinatown . room fairly large accomodate family 4 quite nicely . 2 tv , dvd player . room clean , bed comfortable , decor unique , bathroom large bathtub huge . problem bathroom door lock ( slide door ) toddler fun opening close door , regardless someone bathroom . choose room hotel would 3 adult 1 child . suite , get semi - private king bed , 3rd adult sleep large couch & quot ; living & quot ; area . hotel provide extra sheet , blanket pillow . arrangement economical we . hotel staff friendly helpful . concierge point we several & quot ; affordable & quot ; restauraunt area walk distance . wonderful stay would definetely stay . 
 Jun 26 2009 	 nice hotel extremely friendly staff 	 nice time Serrano Hotel . staff helpful anything . downside hotel size room . since travel around almost 3 week 3 suitcase could hardly fit room . decoration room nice though . 
 Jun 24 2009 	 pretty nice stay 	 stay 3 night . pleasant stay 12th floor . room exactly large , good enough one person . free wireless internet work well easy set up . location : short walk Market St tram / most bus . not recommend walk directly south Taylor St - lot strange people loiter around ! walk around Hilton close BART Powell station well alternative , take bit long . short stroll Union Square / shop . helpful staff . easy check - in / out . nice touch - evening wine reception & amp ; morning coffee / tea lobby . comfy bed . 
 Jun 17 2009 	 great hotel great price 	 look lot review TripAdvisor , good hotel good price . two room . one standard bed $ 104 night , also upgrade suite ( two room - king bed one , living room sofa bed ) $ 154 . block Union Square . Staff accommodate early check request . loved not find comparable hotel price range . 
 Jun 12 2009 	 nice room indifferent service 	 stay Serrano Hotel May 3 night . check 10 pm not problem , two room leave choose -- one second floor , one 7th floor elevator . take chance choose latter one . surprisingly enough , could barely hear elevator door open / shutting . hotel locate 3 big block away Union Square , bad walk . room well decorate . king - size bed soft sheet , Aveda toiletry , nice color theme throughout room . view top another building though . ask borrow electric converter laptop one night , housekeeper bring comforter . hmm . clarify need , tell ask front desk next morning . sure could not tell front desk . next morning go ask front desk , without hesitation say , & quot ; not it . & quot ; ask , specify type converter need , look drawer find one . handing said & quot ; careful , one here . & quot ; . , really something need hear . we early flight , check around 6:30 morning . guy front desk seem still half sleep , could not get smile facial expression . bellman came ask needed taxi airport , politely decline say be go take BART . walk 7 block two luggage , see BART not start 8:30am Sundays , flight leave 9 am . choice take cab , pay almost 40 buck ride . entire time cab try think reason front desk guy bellman fail inform we BART 's operating time , know head . frequently stay Kimpton Hotels , never encounter kind indifferent service . hope manager Serrano Hotel reading would still answer sub - standard service receive . people consider stay , not . pay little extra stay Hotel Monaco Palomar . 
 Jun 1 2009 	 fantastic accommodation great location would recommend anyone . 	 long drive Las Vegas arrive warm greeting doorman happy assist we . check process effortless entire staff willing help way could . room clean tidy well appoint . bed well ( like ) feather pillow . corner suite offer great view happening double insulated window ensure room quiet . must check animal print bathrobe - unique ! ! ! happy hour foyer every afternoon great way meet traveller forge new friendship . complimentary tea coffee also available foyer every morning . ( tea coffee make facility room ) . location great - couple block away Union Square price reasonable centre San Fran . could fault hotel way . fantastic ! ! 
 Jun 1 2009 	 Great Room - Great Location - Great Price -- great ! 	 lovely room great bed linnen . location great ; service excellent . room size generous term hotel nearby . get rate less $ 100 Deluxe King Room , end corner room ! love ! 
 may 23 2009 	 wonderful hotel great location would stay 	 stay six night serrano wonderful . felt like home away home . clean , extremely quiet thank double glazing , friendly helpful staff , great service , daily wine hour 5 pm nice way meet fellow traveller relax day shopping sightseeing . couple night alone single woman feel perfectly safe Serrano . lovely boutique hotel , would definitely stay San Fran . excellent location - couple block walk Union Square Powell & amp ; Market Streets area ( Westield Centre , cable car turnaround ) . free wireless internet excellent . Ponzu Restaurant ( next door attach Serrano foyer ) nice , little expensive breakfast fast , friendly convenient impeccable service . 
 May 22 2009 	 okay . Quirky 	 like Kimpton hotel , Serrano kinda quirky , fun . decoration bit odd , 's part charm . be generally comfortable decent hotel . location fantastic ; perhaps block close Tenderloin , terrible , either . 
 may 18 2009 	 Outstanding Stay 	 never stay Kimpton Hotel sure stay anywhere else ! ! place fabulous -- staff wonderful , room fabulous location perfect . never SF worry location base review -- know talk . experience homeless close Union Square Taylor O'Farrell . car rental company right across street super convenient much less expensive airport rental . restaurant fantistic happy hour $ 3 appetizer drink add bonus . return stay . thank everyone wonderful stay ! ! 
 May 18 2009 	 Nice hotel great location 	 stay Serrano hotel first two night honeymoon . book suite Travelzoo great rate get excellent value money . location fine , two three block Union Square , importantly one block Dottie 's true Blue Cafe breakfast . fantastic ! good muffin ever . room could cleaner take get cot / crib daughter , otherwise service good . Suite well equip 16th floor nice SE view . wine reception evening nice touch , although get busy seat take quickly . overall nice stay San Francisco . 
 may 13 2009 	 Disappointed service 	 girlfriend stay Serrano hotel last week two day ( 5/6 - 5/8 ) . stay Serrano Hotel ok great couple thing . first pro : little worried location read early review feel extremely safe around hotel area . room small could understand , San Francisco . good eatery ( true blue cafe , Nan n Curry ) , BART tram line conveniently locate . wine social 5 pm great easy check - in check - out . door man welcome we back time come back hotel . con : reason , AC room great . feel like not work well . wake couple time night reduce temperature get work . bad experience concierge . concierge ( Stephen per name tag ) helpful rude . morning start hotel airport ( Friday morning 5/8 ) , go concierge 's desk ask Stephan book us shuttle airport . ask name note strange reason , do not like last name , say confuse ( even though spelling ) ! ! strike name ask - quote - ' simple name like Smith ' . think extremely rude insult consider international customer visit hotel last name ' Smith ' not want make big fuss eager get go . girlfriend give last name tell we noon shuttle 12:35 pm . think shuttle run late check - out around noon , surpise see another hotel employee ( tall guy hat ) come tell we miss shuttle . girl friend tell tell shuttle 12:35 noon . concierge approach , say tell we noon 12:35 time shuttle would reach airport . could understand miscommunication would take right situation make alternate arrangement ( like book we next shuttle ) . focus Stephen make sure show we correct two we hear wrong . send guy room , make alternate arrangement think , come paper concierge fill show we note time shuttle ride noon . instead help we find alternate transportation , Stephen engage prove we wrong ! finally ask make alternate arrangement concierge start call shuttle tell we another shuttle 12:45 1 pm . decline tell get we cab . however second gentleman come along get we private taxi service tell taxi driver charge we $ 15 per person rate . taxi guy courteous go beyond expect . attitude , may say , lack professionalism show concierge Stephen ( communication issue sure grumpy person smile face anytime see ) leave sour taste mouth . hotel prides exceptional service indeed disconcert insulting find unhelpful staff like . scale 1 - 5 , give hotel 2 , mainly feel expectation friendly , professional service come true . 
 May 13 2009 	 would definetly return classy Hotel 	 stay four night would recommend hotel anyone . room tad small side make one clean . staff impeccable , always attentive , smile willing answer question / help anyway . note people concern area problem whatsoever ... visit relax enjoy . 
 May 11 2009 	 Love boutique hotel ! 	 room get little small perk make ^_^ comfy bed bolster , bathrobe , mp3 player / alarm device use plug iPhone play music ... queen size bedroom , clean decorate nicely , sufficient 2 asian - sized people . lobby fantastic , even free wine arrive . love fact 's sauna massage room available downstairs . staff really friendly . walk distance Market Union Square . deal get hotwire.com , be definitely worth it . there parking garage behind hotel , cheap rate compare parking hotel . 
 may 8 2009 	 would absolutely come back stay ! ! 	 think hotel wonderful ! super clean , room clean nice good size . bathroom probably clean one ever see hotel . also quiet . alot review discuss area - problem easily intimidate day night - never concerned . staff always friendly helpful . woudl absolutely stay would recommend anyone . 
 May 6 2009 	 kudo serrano 	 visit city 4/30/09 5/3/09 . choose Serrano ' ve always enjoy boutique style hotel Kimpton . read review take advantage anniversary special Kimpton run , book stay ... great experience . from moment enter lobby greet smile feel home . ask upgrade reserve line request accomodate . room large well appoint . Mgt greet bottle ferrarelle , chocolate welcome card . staff hotel outstanding , front desk , house keeping , door man ( open door lobby ) .The wine hour ( 5 - 6pm nightly ) nice touch , allow mingle hotel guest confortable environment . Ponzu , hotel restaurant , awesome . offer great happy hour , great appetizer drink $ 3 seven day week ( shout Emily Ponzu , thank doll take care ) many review read mention location .. true hotel edge union square tenderloin ( like hilton , across street Clift ) , mind , never problem walk around night . homeless issue well know problem major city , prefer reminded problem , rather believe live society equal . I highly suggest hotel look place character great service . stay next trip . congratulation manager hotel staff reintroducing hotel take grant , art & quot ; hospitality & quot ; . 
 May 3 2009 	 fantastic hotel ... great change boring chain would another number ! 	 stay 12th 16 March wonderful stay . little apprehensive area first arrive concerned little rough . sort really quickly get bearing , work way need go , way need avoid turn perfectly central . lovely hotel close Union Square , shop , lovely diner bar actually even walk fisherman wharf ! also perfect we hit ground run nightlife spot America , cool nightclub either within walk distance short taxi ride away ( happily arrange lobby staff ) upon walk hotel be meet beautiful lobby classic design plenty space . lobby staff really helpful ( especially Trey ) reception staff great ( Hom Catherine especially ) . give lovely room met request luggage buy room . honest , every single call make downstair helpfully decisively address . room service perfect , restaurant breakfast morning . the hotel lovely evening ' drink greet ' session 5 - 7 really nice sit , nice glass wine meet hotel guest ( become quite friendly ) . excursion idea assist , also give assistance important call make excursion come Vegas . overall , fantastic hotel , great area , friendly ( be know name ) , service impeccable , enquiry request could not meet . would recommend brilliant hotel chain area . 
