good 	 great location , reasonable conference rate , small clean & amp ; tidy room , free wireless business hotel ! convenient Blue Line Jackson station 
 Aug 15 2009 	 Avoid want decent place stay ! 	 excite booking room name price see hotel 's website decent review internet . excitement lead disappointment stepping foot room . room well describe broom closet small ( 1 ' 3 ' ) frost window . real light get make room seem even small closet - like . bed queen size , expect , get bed realize lumpy slanted . duvet also disgust actually stick hand move . floor sticky consistency , wear flip flop walk around . Ick ! bathroom acceptable . tv , , 20 & quot ; screen difficult view bed small . thing think room upon check like extra pillow ( 2 room ) iron / ironing board ( & quot ; business & quot ; hotel ) store & quot ; guest request closet & quot ; floor . luckily extra blanket pillow well iron , board , check closet . someone go probably not get look for . this hotel pretty good location . right middle loop , close thing would want / need business leisure . availability restaurant / bar ( except hotel , course ) around area 9 pm not great business orient area . great restaurant Michigan Ave , 5 6 block away . ethic restaurant probably need take public transport , plenty near hotel . blue / red / brown / orange line within 2 block bus around . park $ 20 / night self park validate hotel $ 38 / night valet . self park , garage well patrol not problem . price decent area . common area nice fact free room print helpful , even though printer ( use entire hotel ) toner 1 page print . also free bottled water , bottle common area . place could much well . room small bare . would not even recommend business traveler would spend little time room cleanliness issue floor duvet lack room iron / board crappy bed . never stay ! 
 Aug 1 2009 	 Nice hotel business travel 	 Overall nice , cozy stay . room small dorm - like , pleasant decor comfortable bed . purified water dispenser free bottle every floor - nice touch . friendly staff . hallway narrow , dark maze - like , bathroom absolutely counter space ( odd design feature mean make bathroom look large ? ) . morning room service difficult order due busy phone line - menu good , apparently popular . local restaurant delivery available , conveniently charge room . secure elevator require key card access guestroom floor . great restaurant popular bar accessible lobby . mistakenly place smoking room upon arrival - smell terrible , small , jail - like window , tiny . staff move non - smoking room immediately - room much large , clean , bright , large window . overall , great business traveler - comfy come back evening desk good setup , along charge station . wireless internet work fine . kid - friendly - would not recommend family romantic getaway . would good girl ' shopping weekend . great location close ton shop great restaurant . 
 Jul 28 2009 	 great hotel would stay sure 	 hotel perfect 2 day chicago . right middle downtown , couple minute walk train Sears Tower 10 minute walk lakefront . hotel really clean front desk staff helpful . room small enough 1 - 2 people quiet . get room service day breakfast plenty variety around $ 10- $ 15 ( include service charge ) . 
 Jul 26 2009 	 absolutely horrible customer service . 	 room exactly expect . well , bad . staff rude , show concern comfort desire . example many problem encounter : one point , call downstairs pillow . tell someone would bring right . wait half hour , call tell . ask informed response cool ( sarcastic ) & quot ; ' m sorry ma'am & quot ; . one problem encounter room key never seem work . five different time go desk get fix . time seem like huge inconvinience staff fix . many time would need speak someone front desk would stand wait . never would acknowledge we finish whatever time . would never stay recommend anyone expect good service hotel . 
 Jul 24 2009 	 earth place get many 4 's ? 	 book hotel single night base strength TA review , boy disappoint . use TA guide stay around world , may big disconnect review reality ' ve ever encounter . the good : location ; ease check - in / check - out ( fully automate ) ; room quiet ; front desk quick resolve complaint miss shampoo . the Bad : booked & quot ; suite , & quot ; get something like studio efficiency ( dark cave - like ) ; room smell mildew , not surprising give visible mildew shower stall ; shampoo bathroom ; somone else 's hair toilet seat ; bed inferior springy ; 5 wake - up call deliver 4:30 , rob 30 minute need sleep ; wireless internet , free , crawlingl slow ; knob miss one bed - side lamp ; hallway hotel bizarrely hive - like , claustrophibic feel . while place cheap term rate , sometimes get pay . say certainty gven hotel choice within six block radius , never stay place . 
 Jul 23 2009 	 great location 	 Club quarter good deal 's location . right town chicago , get Michigan Avenue , Millineum Park Navy Pier really easily . free interenet connection good , floor useful filter water dispenser bottle fill take travel . only point check desk always busy . there really nice diner right near , would recommend breakfast . 
 Jul 22 2009 	 bad hotel ' ve ever stayed 	 come chicago birthday stay Club Quarters Hotel . seem nice first get . get room . extremely small , one chair , say queen size bed , push full size bed , sure even big . room not exactly spectacular clean , remote control filthy dirty barely work , ask new one lady downstairs say breath bit attitude , ok someone bring new one . ' m sorry discusting , nothing . also , would think pay room would gotten view , nope . view build next we . around bad hotel stay ever . place say , definately . truely total dissappointment . never stay , recommend friend . 
 Jul 20 2009 	 great Location Clean Good Ammenities Small room ; Great Value 	 first stay Club Quarters hotel , impressed . clean , staff pleasant , nice ammenitie - free internet , free bottled water , etc . restaurant / bar downstair decent enough , seem pretty popular among non - hotel guest . location fantastic , near every train line easily within walk distance downtown attraction - river , Michigan Ave . / Mag . mile , Art Institute , Grant / Millennium Park , etc . downside hotel small room size , opinion would rather small , nice room large , poor - quality room . price ' m sure get bang buck city expensive Chicago . 
 Jul 19 2009 	 Close Quarters - room Everything loop 	 room compact , well lay . bathroom small , functional . view alley , expect stay within loop ? valet 's great . cost $ 30 24 hour & amp ; privilege . ask give 20 minute notice need car . could also self park around $ 20 , idea , since see lot within block hotel direction . noisy ! Adams Street leader marching band ( college high school ? ) room next we . sound hear band member leave room respectable 10 pm leave 7:30 . see band check - in , instrument laugh , & quot ; Hope be floor . & quot ; go room see squeeze room next door spill hallway laugh loud & quot ; luck . & quot ; talk quietly disturb we . several interesting reference / list type book hotel room . they stock room single guest , request second set towel / washcloth . deliver less 5 minute . closet floor iron , iron board , item guest might need . it good hotel bar ever . may unfair , bar street entrance private hotel entrance . large crowd 5 pm Friday , probably downtown worker let traffic subside drink . drink return 9 pm . single malt scotch , see big selection place advertise single malt bar . waitress personable hopping keep full bar . 
 Jul 16 2009 	 Great Hotel Price ! 	 stay shopping trip chicago . although room really small big enough two woman Christmas shopping bag ( that s say alot ! ) price location hotel make room size . 
 Jul 4 2009 	 wonderful customer service 	 apprehensive staying , extreme review ( either great bad ) . stay 5 night rate get Orbitz ( cheap call hotel , reach person New York regular hour ) ; hotel corporate account , not part company -- tourist . check - in take maybe 90 second -- unbelievably easy , automatic . ask room far away possible smoking floor , request accommodate . yes , room small , still large room european hotel ! nice desk cable computer . room clean bed linen crisp . lighting could bright , , usual , hotel lighting never seem bright enough hotel room , taste . light bathroom great , though . bathtub , shower ( fine ) , hairdryer . cold filter water elevator end hall , fill water jug ( container ) . not want bring computer -- several spacious business center ( open time ) , even print thing follow instruction . fitness room nice , 2 tv screen watch tv treadmill whatever equipment . use daily , might 1 - 2 people time . stationary bike , elliptical trainer , 3 treadmill , couple weight bench , free weight , one multi - purpose weight machine . I eat restaurant next door ( elephant something ) . open 6:30 ; think breakfast price little steep , service good . walk evening , always people . get breakfast less couple place within block . within 2 - block radius , 4 Starbucks count 2 McDonald 's . 7 - 11 across street get fruit . front desk staff SUPERB . personable , professionally dress , people know customer service . go need print boarding pass , leave info , do exactly request . also sign various tour , good idea ( price do ) , various time popular tour sell , basically guarantee space . ( plus , charge room , neat accounting trip . ) hotel appear quite secure -- elevator move insert room card slot elevator press floor number . upon arrival , take CTA Orange Line train Midway Arpt Quincy Stn ( 1 block hotel ) . would problem except one thing : elevator part old station loop ( rectangular run train downtown ) . haul large suitcase 40 stair 3 flight stair ( easy feat someone purse tote bag , ) . want take train ( $ 2.25 vs. $ 22 airport shuttle ) , get Library station Orange Line , elevator . ( little long walk , maybe 3 block . ) get map & quot ; tourist & quot ; brochure airport right area get baggage . must purchase fare card get train . fare card machine give change . the Sears Tower 2 block away , Millenium Park 6 block Grant Park little less . save money , print & quot ; free attraction & quot ; Chicago one website ( can not remember one ) . get trolley Sears Tower location -- go & quot ; Signature Tour & quot ; hop on / off wherever want . actually 3 tour ticket , allow entire day . walk Institute Art ( must - see ) hotel easily , free 5 - 9 pm Thursdays . ( take photo permanent collection exhibition . ) take trolley tour , see would like spend time . take Architecture Cruise Tour ( 90 min . , $ 36 adult , $ 31 senior ) . dining , lot place ( include usual McDonald 's , Subway , Dunkin donut , many ) within block hotel . evening dinner , consider italian Village ( 1 1/2 blk northeast hotel , Monroe ) , old italian restaurant Chicago . decor nice , 3 level dine . price run $ 13 + entree main level , bread delicious , , superb service . friend split salad entree , restaurant happy we . another place wonderful food Riva Cafe Navy Pier . eat upstairs noise bother ( ) ; view much well , listen jazz music ( live , least Thurs night ) . service superb . mussel garlic sauce perfect . beautiful stained glass gallery collection long build Riva Cafe , free . also afternoon tea Russian Tearoom , 4 block east hotel Adams , corner Michigan Adams . nice decor , superb service , . nice selection tea . 3 - course tea ( savory , scone , sweet ) average taste . house blend tea delicious , though ( berry flavor ) , little guy would refill cup moment take sip . hotel wonderfully locate , walk everywhere , include Navy Pier , 2 mile away . check see play Bank America theater , 1 1/2 block hotel . saw & quot ; Jersey Boys , & quot ; excellent . able get half - price ticket day performance ( pay $ 30 ) , say next balcony main level . ( restoom basement level , though ! ) shop 4 block away State Street onto Marvelous Mile along Michigan Avenue . store State , noticed , stay open 8 pm . finally , not leave Chicago without take Green Line train ( & quot ; L & quot ; ) Oak Park , tour Frank Lloyd Wright home studio take self - guide walking tour ( available several language ) around home . beautiful victorian prairie style house . ride Loop 45 min . food Winberie 's good , service . across street Scoville Park , free music concert great band . ( would check schedule entertainment . ) one last thing -- absolutely need rent car Chicago . besides , parking rate run $ 16 20 min . , $ 30 day garage . parking CQ 2 1/2 block away ! ( rental car . ) Chicago public transportation system great . go online www.transitchicago.com get direction take train / bus anywhere . say , walk everywhere ( senior citizen ) , 4 - 6 mile day . , wonderful hotel stay make friendly customer - service orient front desk staff , location quite ideal tourist want able save money walk various Chicago site . 
 Jul 2 2009 	 great location good price 	 Room dark comfy . good facility include wifi auto check . would definitely stay . 
 Jun 24 2009 	 solid great 	 two lengthy stay work , September 2005 four week January 2007 two week . be pretty good location downtown , within walk distance Sears tower , Grant Park , Michigan Avenue , number business . be also block & quot ; L & quot ; subway system . downside , locate downtown , area often pretty dead weeknight nearby restaurant open dinner . Elephant Castle Pub next hotel convenient good drink food average ( English Pub food ) .The room decent size downtown usual amenity - tv , internet , etc . room slightly weird layout , none bad . bathroom shower , tub , matter . view hotel window face alleyway adjacent building . overall , good location business trip reasonably price probably would not first recommendation hotel Chicago . 
 Jun 21 2009 	 great value ! ! ! 	 Central Loop Hotel locate financial district downtown Chicago 1.5 mile Michigan Avenue . find could go Navy Pier , Michigan Avenue $ 7- $ 10 per taxi ride . Westin Omni great need . one room suite kitchenette . range micro , u - line refer , two burner glass cooktop number small appliance . pay $ 115 per night . bargin . service excellant . great sleep close enough attraction $ 115 night much well $ 300 night . take lot cab ride get drift . worth time check . Walgreens CVS store within block hotel . also 7 - 11 kitty corner Pot Belly sub shop two door . pot belly sub rule . taste great cheap . great hotel budget traveler . 
 Jun 6 2009 	 great location ! 	 wife spend 3 night hotel end May 2009 . 's location make perfect walk various attraction , sears tower , Magnificent Mile etc , within 15 minute ! room sizeable , , bed comfortable . Elephant & amp ; Castle pub next door , great food , good beer great staff . would recommend hotel friend family , be look total comfort , look elsewhere . would say hotel 2 3 night stay long . 
 may 31 2009 	 Good Price Good Location 	 stay couple night Central Loop hotel part road trip across US , hotel provide good location visit Sears Tower ( discount ticket available reception ) Chicago landmark . check quick , room good size clean , complimentary water coffee . criticism would wall lack sound proof could hear tv adjacent room little much time . though , reasonable price good location . 
 may 26 2009 	 spend extra dollar go somewhere else 	 fiance ' decide get away wedding . Club Quarters offer reasonable rate well situate locale ... good ... check fast , tall , blonde haired guy work behind desk accomodate super efficient ... kudo . unfortunately , everything else lack . room substandard condition . due age building , wall sound proof . door also without air compressor would slam close . try take nap 3:30 could hear kid adult slam door run around . room also thermostat would seem non - functional ... fiance froze butt even raise temp high level . see well bathroom 3rd world hotel tub . fiance get workout move furniture could find outlet ITouch . we decide go get pizza Bucina 's ( sp ? ) see hotel 's restaurant advertisement book . well , ask direction girl front desk circle approximate location . reality , say Club Quarters north location clearly map . thank we walk circle 30 minute .... time checkout , decide get breakfast english pub next door . not even bother . hope get fast could get Field Museum ... luck .. wait 15 minute ... service finally & quot ; tackle & quot ; one waitress find go . end result $ 6.00 orange juice never order , one slice toast food , order wrong , stiffe pay bill manager say change ? actually go hotel tell front desk happen girl look give beautiful smile blank stare . unfortunately , restaurant open Sunday near hotel otherwise would run hill . case hotel , run exit . 
 May 24 2009 	 need room - fine ! 	 stay two night business late may 2009 . hotel well locate Loop , 10min walk State St Grant Park . $ 35 cab O'HareSmall , simple reception , get room fast . offer much . Rome - decent sized , clean , simple quiet . bathroom will not win award style , spacious clean . fridge , let stay long would like water etc handy . tv room ESPN / News channel rest free view stuff . comfortable bed too . vend machine corridor snack free filter water also ! Elephant Castle pub attach hotel busy night time , sport screen good barman . reasonable priced city centerbreakfast serve pub nothing special , plenty choice , bring girlfriend , would probably stay somewhere bit well , like W Hotel across road , business , spend much time Hotel , perfectly fine stay . 
 May 19 2009 	 good location 	 stay 4 day extremely happy location hotel . room comfortable clean . Loved free filter bottled water hallway . staff try help get hard get ticket luck . close everything want see . lot fun try recreate Ferris Bueller 's Day ! shuttle bus driver not know call & quot ; Central loop hotel & quot ; easily rectify . 
 May 4 2009 	 solid Stay money 	 wife friend stay Club Quarters Chicago - Central Loop May 1 - 3 , 2009 . great location ( southwest corner Clark Adams ) recently renovate room lobby ( 2008 ) . yes , review say , room small , not come Chicago hang room . everything clean well - maintain , refillable bottle purify water great heading walk various destination . staff courteous , respond immediately friend ' request work tv remote blanket . my gripe garage validation evidently not take garage pass , friend overcharge $ 26 , ask help pay , garage attendant grab credit card pass rang bill self - serv machine catch overcharge . be work long distance get back money . 
 Apr 29 2009 	 great stay 	 recently stay CQ weekend could not say enough good hotel . perfect location price great . could walk door either direction right around corner go . walk Michigan Avenue , Grant Park , Millenium Park . within 10 minute . mention free wireless internet & amp ; within 1 block l train . plenty pub / restaurant close . hotel room small , clean sufficient need . enjoy mini - fridge , sink , microwave . check in / out take less 5 minute ! ! ! charge deposit incidental .. forgot tell we about . , refund immediately upon check . would definitely stay . 
 Apr 29 2009 	 great location great price 	 husband stay four night . love location -- fly Midway , take orange line , walk couple block , hotel . also within walk distance load great building good restaurant . room small , well arrange size not matter . complaint -- smoking be allow , sometimes smell smoke hallway . 
 Apr 27 2009 	 nice relaxing 	 stay execllent , daughter seminar attend . location everything great . I question lose find department . stay 939 wonderingf stran bead may find leave . 16 inch long pink white color 1 inch size one . find pay send I . , ... [ -- ] thank 
 Apr 18 2009 	 great location great price 	 choose hotel recommend college daughter visit . location price good . couple block & quot ; L & quot ; able take Orange line Midway airport Loop easily . room comfortable , quiet would definitely stay recommend other . however ... horrific overpower cigarette smoke smell permeate 3rd floor hotel may make think twice . housekeeping try mask smell sort freshener make smell bad . future reference , ask non smoking room / floor . 
 Apr 10 2009 	 thank . 	 stay night . wow , really nice . small room . felt dirty . stained . grungy . towel like sand paper . think 13 inch television . would never recommend hotel . 
 Apr 9 2009 	 great Stay - Great Location - Great value 	 couple requirement trip - location , price cleanliness . hotel five star . stay hotel two night - daughter area look college . exactly need . book room Orbitz $ 85 / night . one good thing know Club Quarters Hotel thing Central Loop Hotel . book either one , check desk , sleep room ect . pay book Club Quarters Hotel vs Central Loop Hotel .... title page , list separately lot area . different phone number , different rate , address . take long time piece together . book regular room online ask upgrade get . nothing available night , somehow put we room king bed , fridge microwave . ( queen bed list ) pleasant surprise . yes , room small . not bother we . tv small old yes , across room desk . also not matter . hotel quiet , except could also hear person next door came go . not room much , not hear anything 10 pm . hall narrower normal . not matter - hall regular hall - narrow . cold filter water available - free - right floor . nice . Great Location ! ! use Metra L town . Sooooo close easy use ! easy walk Grant Millenium Park . plenty shopping restaurant ... 's Chicago ! ! hotel parking ramp block away , park , not use car till leave town . I stay along Magnificent Mile past , go to stay future . 
 Mar 21 2009 	 great find great comfort great convenience great price ! 	 visit Chicago every couple year always stay & quot ; big name , big box & quot ; place street Club Quarters attend convention . self employ look value well convenience name recognition . hotel fit bill perfectly . able take & quot ; L & quot ; Midway directly within block half hotel return airport . ( $ 2.50 vs $ 35.00 cab fare way ) staff helpful orientating hotel , 's amenity local area . room perfect need , bit small side everything stylish spotless . work space great sort connection cable well free Wi Fi . could even print document lap top room use centrally locate printer . the adjacent restaurant perfect great deal less expensive place street . oh , mention able walk meeting , & quot ; places street & quot ; ? third price & quot ; places street & quot ; . 
 Mar 21 2009 	 's architecture . 	 pick Club Quarters first price mainly architecture . 's wonderful Old Chicago build visible stone lot detail exterior architecture . lobby renovate go back see misterious stair terminate wall lead work finish . nicely locate across river Trump thing glass Donald bad architecture , be Old Chicago . 
 Mar 7 2009 	 Favorite 	 stay two night business trip . hotel affordable loop area , drawback . the room small . small TV desk - remote seem work sit right tv - work bed . bathroom size ok , tub - shower . hotel room service , menus couple local restaurant deliver area . order dinner one night come without eat utensil . also $ 2 charge call restaurant order dinner . the room also noisy - could hear every time someone next room open door . good choice really look frill , get pay . 
 Feb 4 2009 	 great Stay ... 	 book Hotwire , hotel suprise . thankfully , good one . rate $ 75 , upgrade suite $ 25 . , hotel not double room party three . mistake , work well . suite modern comfortably sized . handicap suite , may large other . hotel clean furnishing new modern . good sized flat panel tv wall . bed firm , comfortable enough . sofa bed comfortable ... almost bed . staff friendly helpful . give valet workout -15 degree , cheerful everytime . great stay . 
 Dec 9 2008 	 Nice Hotel 	 much enjoy hotel . thing point . room small - like large city hotel . room though well appoint many amenity . hotel great buisness traveler single - family 2 people room . decor contemporary , new comfortable . fact , immaculate ! hotel offer many extra like free bottled water ( much wish ) , free wireless wire internet , several nice amenity . location beat . may great view , find hotel quiet . would definately recommend hotel ! 
 Nov 19 2008 	 Great Location Weekend Stay 	 other comment , room small . would recommend weekend stay , long . room clean furnishing new modern . bottled water floor nice touch . read review say room microwave - - . ask desk , say certain room one could use . location perfect walk around downtown . everything want see within walking distance , park car hotel garage . expensive , expect downtown hotel . I would recommend hotel couple 's weekend trip . would bring small child unless large room available . room big enough two . 
 Oct 29 2008 	 would look around hotel 	 bad location hotel good shape . love idea self - service check , assign handicapped room noisy alley behind . room tiny , couch small tv poor reception . check front desk self service machine make sure face street not - so - lovely noisy alley behind . hot water hot morning shower . bed comfortable linen sub - walmart cheap . $ 100 $ 125 night would good place , $ 200 . will stay somewhere else next time . 
 Oct 17 2008 	 good value good location 	 hotel locate heart downtown Chicago . modern hotel customary amenity . luxury hotel furniture modern design plain . room small expect doable traveler spend lot time room . really like distil water dispenser floor large lounge several public access computer large screen television . restaurant lobby & quot ; Elephant Castle & quot ; serve need breakfast dinner . fine moderately price restaurant . also starbuck adjacent hotel . Hotels downtown Chicago expensive room significant saving place inquire . 
 oct 9 2008 	 Nice Hotel 	 book 3 room Priceline Club Quarters October 4 October 7 . end pay half would pay convention hotel . locate convenient location . room , clean . user state , bit small side , spend time room except sleep . staff accomodate one small issue . would definitely look stay . 
 Sep 23 2008 	 Great Price - Great Hotel 	 Club Quarters Central Loop fantastic hotel ! inexpensive compare surround hotel middle everything . 's downside place : room not big . not get wrong , be adequate sized room , 's people may accustomed large space . hotel neat & amp ; clean everyone work ( deal ) nice could . arrive late Friday night ( 11 pm ) nothing area open food except 7 - 11 across street . went grab microwavable food bring back heat hotel room ( microwave room ! ) . realize forget napkin , utensil paper plate . call front desk within 5 minute 3 charge . also , offer complimentary filter water every floor , complete 20 oz plastic bottle take . something be go sell place , nice accommodation have . the hotel locate close Red Line Blue Line subway . Blue Line take right O'Hare 40 minute time . highly recommend 's day . be inexpensive convenient . Red Line train take Wrigleyville . will not walk 3 block get either train hotel . there be Starbucks next door , Dunkin ' donut block away , Subway nearby lot good restaurant within walking distance . bar / restaurant attach Club Quarters Elephant & amp ; Castle . excellent food , reasonable price hotel bar . $ 65 2 people , drink , dessert & amp ; 20 % tip include price . bottom line will not find less - expensive hotel Loop . 's convenient everything clean . shoot message question . thank ! 
 Sep 2 2008 	 Great Value 	 book club quarter base desire stay chicago without pay fortune without spend money car rental . club quarter perfect . rate unbelievably reasonable hotel loop . location half block blue line stop make perfect avoid need rental car . able take blue line Ohare luggage without much hastle . able access entire city via train hotel block waterfront millenium park even within walking distance . hotel top notch . nicely decorate . free refillable water bottle purify water every level . room adequately sized , bed comfortable . kitchenette area wonderfully convenient . service good . room spotless nicely decorate . nice work area wireless ethernet internet availalbe . Bathroom nicely appoint . would stay . 
 Aug 31 2008 	 good hotel 	 centrally locate hotel inside loop . clean room , toilet safe . you need room key access lifts.they automatic check system new me.jsut insert credit card book get key . if travel car valet service could get car car park number time day.they water cooler clean bottle levels.we pleasant stay . do not miss speed boat ride Navy pier really nice . 
 Aug 28 2008 	 many well hotel stay 	 little background hotel : company buy membership , business employee stay . membership stay , however weekend , open door general public . quite obvious staff like deal general public , treat though junk . story get well ! first time ever go hotel I ve book online able check - in immediately . big deal , understand , little off - putting . room not big , be not small either . need keep mind hotel intend room use single business traveler . 2 pillow bed , call 2 - never CAME ! crazy ! call tell would not get , sit , wait go bed , eventually deal . read : , next day , checking , valet bring car ( 20 minute ) . admit fault think ahead , cash , completely forget need tip . get car , grab key , say & quot ; oh , nothing ? & quot ; seriously embarrassed feel bad tip . apologize profusely tell cash . say & quot ; really ? nothing ? & quot ; ' m still upset apologize . much say & quot ; oh , kid go hungry tonite ? & quot ; seriously ? really appropriate ? pay $ 40 car park overnight - not think need hound couple buck . never stay . not awful , room clean comfy , location great , service around terrible . many hotel chicago even think stay Club quarter . 
