hotel 	 husband , mother inlaw stay 3 night lovely hotel . moment step taxi welcome feel ease . staff friendly helpful . room quaint warm , one could ask anything far amenity go . turn service include light candle side bath , nice touch one could help enjoy long bubble bath . resuraunt cozy homelike food wonderful . look forward go future . 
 excellent service perfect location 	 second stay Milestone . charm truly exceptional hotel . service excellent . enough . highly recommend . 
 Food Service need Good Rooms 	 stay weekend November , 2009 . hotel great location lovely public area . reception staff great doorman really friendly show we room . room lovely , well furnish big bathroom - generally high standard . the place hotel let come food service restaurant . eat dinner hotel experience dinner breakfast service bit chaotic . first day ask quite time room number serve omelette not order . food come ok nothing special - would expect something bit ordinary room rate hotel charge . on second day wait around 30 minute breakfast & quot ; everyone turn breakfast time & quot ; . surprise London hotel weekend . Whislt wait breakfast , ( friendly ) staff wander around look bit confused really achieve much . get breakfast serve waitress forgot bring milk , forgot pen , forgot notepad , etc . etc . seem quite disorganised . our third day well - hotel encourage people take breakfast bed . service still little odd . day get milk , . day 's honey table . order two course breakfast might find show time . generally , great hotel would recommend make sure either get good deal include breakfast start day elsewhere . 
 Milestone apartement - perfect base London 	 stay Milestone apartment September 2009 2 year old son nanny . the apartment perfect choice , offer beautiful traditional decor like rest hotel , space kitchen . public area hotel beautifully decorate . rather small side not matter give hotel intimate feeling . our apartment beautiful , full light amenity , service twice day . marble bathroom specious huge bottle Penhaligon 's toiletry . bedroom plush matching drapery , carpet , bed canopy wallpaper traditional english style . location hotel great , right across Kensington Gardens close major attraction great shopping . staff helpful knowledgeable . truly home away home London . 
 superlative true ! 	 book hotel American Express , cross reference London hotel book Trip Advisor . milestone high trip advisor review , choose family four happy do . if look authentic holiday London , think find follow true Milestone Hotel : location : excellent , ; 5th floor room wonderful view Hyde park Kensington Palace . short walk Park , Palace Orangery serve lovely tea cake . also short walk South Kensington tube many small restaurant . roughly fifteen minute stroll Harrods Harvey Nichols , approximately sixteen pound taxi ride , ( traffic ) british museum . check check : excellent ; efficient , welcome friendly . room : excellent ; elegantly tastefully appoint , immaculately clean , fine linen , comfortable bed pillow , cozy . marble bathroom also perfect -- clean new , great water pressure ... room service restaurant : excellent ; much enjoy dine Milestone . server manage strike perfect balance friendly attentive , yet intrusive . happy learn history hotel whilst enjoy hearty english breakfast . husband son could think well way begin day . daughter particularly enjoy afternoon tea fire , surround book . concierge : excellent ; knowledgeable , friendly helpful . lastly , visit England love history . could bear , , large chain hotel could anywhere world . end , people encounter travel , think , make journey enjoyable . gratify we encounter Milestone speak english knowledge history legacy . last trip England year ago , stay Mandarin Knightsbridge , , lovely many way , could hold candle Milestone . we wonderfully memorable holiday Milestone would happy return.high mark activity teenager : Sherlock Holmes museum , International Friends tour Stonehenge ( Nicholas drive Pat guiding ) , pub fun well , Army museum also well do . 
 Sep 7 2009 	 could not better 	 arrive en masse Milestone grown - up Hen Weekend . not first time , luxurious , individualistic room familiar awe - inspiring , time around . thing set Milestone apart service . staff join atmosphere , bore excitability admirable patience create special cocktail . even learn origin Milk First snobbery , thank personable member waiting staff . perfect hotel ; get right . 
 Sep 6 2009 	 truly remarkable every way 	 husband stay hotel two night prior embark cruise ship . despite rough arrival Heathrow ( Virgin lose one bag transfer reservation ) forget minute step inside Milestone . greet warmth everyone . even Andrew hotel manager give we personal welcome . room invite large compare european standard . breakfast include rate . order room service morning order perfect . love bar area . fabulous pre dinner cocktail dinner nightcap . concierge staff go way secure lose luggage confirm return transfer Virgin . I see hotel rate # 1 London . well deserve . 
 Sep 3 2009 	 Aloha Spirit Alive Well London - Milestone ! ! 	 aloha spirit alive well London … Milestone . bear raise Hawaii , around hospitality industry internationally know care grace visitor entire life . Vice Chairman bank financing consultant , raise hundred million dollar various hotel project intimately aware vital customer service sector . witness Milestone go beyond simple " satisfaction " superlative service virtually every category . room wonderful suite , full warm sunshine day toasty ambiance night . always impeccably clean freshly cut flower , every request IMMEDIATELY attend every expectation , exceed . package come morning breakfast wonderful ' miss . with dear friend London , dine virtually every significant hotel London convince every future stay friend " ohana " ( hawaiian family ) Milestone . high commendation recommendation stay Milestone . 
 Aug 29 2009 	 Milestone oh love ! 	 husband surprise wedding anniversary trip London , jokingly say able find we room B & amp ; b , fine taxi pull outside Milestone think die go heaven ! moment step taxi moment step upon departure treat warmth , attention detail kindness , like hard describe . room stay wonderful comfortable view park , lovely able sit people watch take park historical beauty . butler friendly amazed time remember name . nothing much trouble , breakfast lovely elegant . small touch , bed turn slipper leave side bed delightful . wish could stayed another night two three ..... wait find another excuse return , already plot ! ! ! ! 
 Aug 23 2009 	 stay 5 star hotel world one something special . 	 Milestone accomplish many try achieve . gracious stuffy pretentious . everything exude attention detail quality rarely see , mean everything . room upholstered wall grey wool fabric breathtaking . not enough , drapery fabric luxuriousness dress enormous window overlook Kensington High Street Gardens extraordinary . everything ... bed linen towel , carpet , table linen , china , cutlery ... high quality present magnificently . room not big not need . combination ceiling height step sit area make room right . hotel jewel . anyone experience London 's 5 star hotel offering , one treat . 
 Aug 22 2009 	 lovely boutique hotel excellent location 	 find Milestone Hotel book American Express Platinum . price quite fair London . room family receive furnish eclectic piece , room design different . room spotless maid service twice day . delicious breakfast include price could either deliver via room service dining area . hotel extremely service orientate friendly staff ! ! hotel 5 minute walk High Street Kensington Station view Park . highly recommend property leisure business traveler . 
 Aug 19 2009 	 great hotel niggly problem 	 first stunning hotel great location Kensington , Knightsbridge Notting Hill retail therapy relax . attentive staff really friendly . room little small - say , lot furniture cram room . however , lack function tv ( repair twice four day stay ) , unstable wireless set - up small price pay unbelievable trip London . 
 Aug 18 2009 	 wonderful small hotel perfect location 	 first time London ... hotel recommend travel agent . lovely hotel ! stay week apartment ... recommendation family . love extra room kid ( 18 & amp ; 11 ) room . 2 bathroom also huge plus ! perfect location without car . bus stop right across street tube station short walk street . staff top notch ! ! ask shall receive ... ' m kid ! ! avid runner walker , love Kensington Park right across street . fantastic time London ! 
 Aug 17 2009 	 wonderful service perfect stay four legged friend ! 	 can not fault service recieve hotel , great location , attention detail , good hotel stay without Maggie dog . perfect every way . 
 Aug 16 2009 	 absolutely Fantastic - 's attention detail . 	 wife arrange one night stay Milestone Hotel Anniversary . arrive late afternoon emaculate hotel high level service ever encounter . friendly staff phone call away - nothing much trouble make feel like absolute royalty . ate restaurant evening go theatre . quiet , relax waiter service extremely professional , polite friendly . the breakfast beautifully present equally tasty - love sausage ! room emmaculate , spacious maid service 's attention every detail reaffirm feel royalty . I never stay anywhere like Milestone doubt highly meet another Hotel much warmth professionalism . Mr Pike seem know exactly make Hotel like one good London , , like staff seem take great pride work genuinely commit seem ensure remain well . Mr Mrs P BeynonCHRISTCHURCH , DORSET , UK 
 Aug 13 2009 	 Dynamite experience highly recommend ! 	 stay Milestone Hotel resent trip Europe . unparallel hotel experience ! milestone prime location overlook park . think everything fresh fruit delive room daily . afternoon tea private balcany . want live like prince place ! 
 Aug 11 2009 	 good world 	 could write book much enjoy stay Milestone . instead , will say : travel lot work , world , Milestone simply well experience world . service , room , location -- unbeatable . well worth ! 
 Aug 9 2009 	 fine service ever experience 	 stay MIlestone 6 day follow Mediterranean cruise . moment car drop we hotel , morning leave , could find fault anything great hotel . Pedro Abdi . whose vocation life seem ensure guest hotel relieve stress completely , attentive professional way imaginable , friendly much , informative right degree . guy long time ! front desk responsive . courteous , ball . know exactly status room , offer we upgrade suite elegant could ( admittedly , ask we would willing pay little extrs -- worth every penny ) .I speak highly enough concierge JIm , Gavin , Neil , Jose . pepper request prior vacation , responsiveness immediate . stay , nothing much trouble , course resourcefulness extraordinary . last night , 7.10pm , find security tag leave gift buy early day . arrange one staff take gift local store get remove -- fact , try 3 store find one right equipment ! Paul staff restaurant treat we like old friend whose comfort enjoyment paramount importance . whatever want breakfast provide , perfectly cook . breakfast buffet plentiful , varied , constantly replenish . two small quibble : smell cigarette non - smoking floor , shower head handheld variety . mention comment card , receive personal letter General Manager apologise , explain guest break rule , air conditioning ( excellent , way ) transmit smell , shower rainfall type fall ceiling , regret one explain we . my wife stay many fine hotel world , well London . good service , good hotel experience , ever . 
 Aug 8 2009 	 one top five hotel london 	 will cut short ... great ambience hotel , perfect example old style english accomodation fantastic city like london ! 
 Aug 7 2009 	 way overrate obsequious annoying attempt good service 	 spend two night Milestone , end european trip . draw hotel location sterling review read Trip Advisor , say nothing Conde Naste Traveller award , etc hotel receive . location indeed perfect , across road Hyde Park Kensington Palace . build charming , beautiful old brick house convert hotel . hotel pride ( promote ) service orient , therein lies rub . one thing good service , quite another service obsequious annoying , point nearly childish . somehow , hotel management get head present cartoon version Merry Old England , would appeal sophisticated traveler . not work . room , upgrade , ridiculously small . persistent unpleasant smell . bathroom sink not drain properly . tv not work . want breakfast get move morning , forget breakfast Milestone , trouble seating , take forever bring egg tea . buffet paltry , particularly ludicrous price $ 50 current exchange rate . 
 Aug 2 2009 	 wonderful location kid 	 spend night Milestone love every minute . location great -- right across street Kensington Gardens , nice kid need air . 's close Princess Diana playground , Whole Foods , Le Pain Quotidien , Tube . staff kind extremely helpful . immediately feel welcome . definitely come back . 
 Aug 2 2009 	 great hotel 	 really enjoy 4 night stay . stay beautiful little room whose décor recall different era . hotel real character stay luxurious experience . friendly staff knowledgeable extremely helpful , service offer among good ' ever receive . restaurant food generally excellent , breakfast good . free wifi always bonus . hotel bite away London ' good nightlife ( except Royal Albert Hall 5 minute stroll ) transport fairly easy tube bus nearby , course taxis plentiful . overall place first rate . 
 Jul 29 2009 	 wonderful experience 	 stay Milestone adult daughter 4 night trip Europe . ( July 14th - 17th ) . love hotel . breakfast buffet include cost room say , great way start day . food service really bonus . ( charge we breakfast bring attention include room fee take immediately ) staff accomodate friendly hailing taxi , direction tube , etc . one comfy bed sleep hotel long time complimentary slipper 2 type robe . turn service night candy pillow light candle bathroom nice touch . convenient location tube stop nearby . travel 4 country trip 4 5 star hotel favorite . 
 Jul 22 2009 	 beautiful hotel wonderful location attentive service - return 	 first visit London , travel agent recommend Milestone . love hotel , ! location close Kensington Palace walk block Underground transportation tourist spot London , room include full english breakfast , food wonderful . especially pleased attentive staff . room clean well appoint ( large ) . spa pool area well maintain 11 year old twin enjoy swim night prior bed . several wonderful cafe store close . stay 5 day day pleasure . leave discover miss i - touch staff helpful return we . not usually post review , want share gem everyone else . 
 Jul 21 2009 	 Marvelous Milestone 	 first stay milestone ' last . on wife ' suggestion decide try milestone . usually stay Claridges Westbury . we book American Express travel benefit half board deal . front house staff reception attentive upgrade us arrival advise we room ready immediately . on arrival look Pedro ( thank ) make we feel welcome . show we facility explain everything locate . complementary glass champagne follow . nice ! room well present spotless , bathroom little small immaculate . room benefit fee wireless internet access great . the breakfast evening meal simply superb . well present choice quality food wine excellent . locate Kensington hotel well place business leisure traveler . tube station five minute walk hotel hotel excellent value money would highly recommend hotel stay London 
 Jul 20 2009 	 Fab London 	 spend 3 night Milestone Wimbledon hard time leave . from minute enter , see Minstinguette suite read stayingin former Insane Asylum , love hotel . hotel , feel stay somebodys carefully cultivate townhouse . service restaurant well room service impeccable personal . everybody know name . we use hotel LandRover travel Wimbledon well airport , whole experience execute fine detail . 
 Jul 19 2009 	 outstanding outstanding outstanding 	 Perfect every way . one night even keep restaurant open we . great accomodation , extra touch , fabulous service - superb every way . will not hesitate second come back ! ! 
 Jul 18 2009 	 WONDEFUL VICTORIAN HOTEL SUPERB SERVICE 	 visit London day end May / June meeting friend little cruise Southampton . pick Milestone Hotel hear Carnation Group base mostely UK hotel chain give guest little extra + + + + . disappointed ! Milestone rather like step Dicken 's novel modern amenity great location . architecture lovely great artistic attention detail . especially fun atrium room bar bartender white tux could probably mix cocktail desire double movie Casablanca . flight California come 8AM taxi ride London delight find room ready decorate favorite color .... lilac . reception quick efficient especially important long flight assign assistance Pedro truly know mean hotel service plus art manner . great location across Kennsingtom Palace short walk tube . nice safe area single traveler also . hotel several interesting aspect wonderful unique menu . fun London one favorite city enjoy Milestone Hotel ! ! 
 Jul 14 2009 	 nothing good hotel 	 would not think stop anywhere else , staff , room , food , fitness centre nothing brilliant , month trip visit Europe , treat 
 Jul 13 2009 	 Milestone Excellent 	 great stay Milestone Hotel London . although arrive middle night , greet warmly call name could introduce . check quickly provide favorite cocktail give brief tour hotel . escort room give every comfort home . next morning staff greet we name . hospitality truly remarkable . excellent dinner hotel resturant , try yourself . we would stay would recommend Milestone anyone . 
 Jul 9 2009 	 Incredible Hotel little touch . 	 stay Milestone Hotel two daughter ( 23 17 ) . hotel exceptional . staff go way please we . room beautiful comfortable . suprise night different edible treat pillow . top hotel supply complementary bottle water night stand . bathroom housekeeper lit candle bathtub ... would romantic husband . bathroom special light stay night find bathroom intrusive room try sleep .. hotel business many year privy special experience Milestone top list . also love view Kensington Park window . breakfast wonderful staff accommodate . hotel close tube . milestone hotel understand word HOSPITALITY put play ! 
 Jul 7 2009 	 superb quality 5star hotel 	 friend along mom 's send weekend hotel theatre break . original hotel Rubens overbooke we transfer we expense sister hotel Milestone , credit ruben champagne await arrival . Milestone opinion superior hotel excellent staff can not enough . cleanliness surround also 5star quality staff enable we enjoyable weekend . would definately stay . 
 Jul 7 2009 	 quintessential British Luxury 	 husband return brief stay Milestone Hotel . stay could well . bask public room tea scone , enjoy Terry , Butler , fascinating story . staff friendly solicitous -- eager fulfill every request great charm alacrity . decor lovely , bedroom lounge comfortable . atmospheric . bath wonderful , husband still talk shower . sort small amenity provide one 's room . breakfast hotel delightful . location across street Kensington Palace , garden , close Tube stop many excellent restaurant . enjoy hotel much plan return child Christmas stay one Milestone apartment . understand go , include Christmas tree , stocking , visit Santa . think might delightful sit around Milestone sip tea sherry fire ... 's lovely place relax , perhaps destination . 
 Jun 30 2009 	 Milestone Hotel staff wonderful . 	 location hotel great - right across street Kensington Park . stay two bedroom apartment ... would recommend & quot ; basement & quot ; apartment , one upper floor . staff exceptional . would happy stay Milestone ! 
 Jun 30 2009 	 live reputation 	 stay two night late June . infrastructure room comfortable though spectacular give room rate . good service hotel go beyond usually get 5 star hotel make vital difference . would choose stay hotel . 
 Jun 26 2009 	 truly Amazing 	 stay many hotel London abroad business honestlly say experience absolutley outstanding . staff staff lovely people helpful find anywhere . I 1 night stay ( far short ) would love stay long , husband enjoy experience . I would recommend hotel anyone love excellent food different hotel stay . can not wait go back . 
 Jun 25 2009 	 New Benchmark Customer Service 	 last experience London westaye suite Ritz thouroughly underwhelme whole customer service experience let alone cockroach bed ! Milestone , know customer service ! arrival begin guide tour Neil friendly excellent front house skill immediately make feel like one family . guide tour Safari Suite also excellent thoroughly recommend room fantastic way decorate view Kensington Palace Hyde Park . during dinner charming Chenestons greet Andrew Pike , General Manager merely introduce really engage we feel like one family , even new end special 40th birthday trip partner ... course 3 seperate birthday card various level hotel management certainly get message across arrival ! Truely must one good hotel London although would rather keep feel team must recognisde hard work ... every member staff truly delightful . it pleasure see . 
 Jun 23 2009 	 oasis calm stressful world 	 choose Milestone essentially proximity Royal Albert Hall spend 3 night never stay anywhere else visit London . stay five star hotel , Milestone surpass . 's least ' stuffy ' staff , attentive , seem know attentive art hotel not get quite right . want nothing , nothing much trouble feel completly relaxed regenerate stay . facitilie good superb gym , 's resistence pool , although small , perfectly form . room large London standard , comforatble orginal art work wall . eat restaurant one night food delicious service impeccable . be much say already say , stay anywhere else next London . 
 Jun 17 2009 	 treat like Royalty 	 wife 2 kid ( 8 4 ) spend 7 night Milestone London . book vacation base high rating hotel receive , esspecially Conde Naste . dissapointe . every second stay wonderfull remember visit year come . hotel locate Kensington across street Kensington Palace , former home Princess Diana high end neighborhood , comparable Beverly Hills . hotel boutique hotel lot staff . staff member know name greet see throughout hotel . arrive early around 10 am , hotel send Mercedes pick we Heathrow allow we check early . stay apt . # 5 . soon walk apt . kid seem forget jet lag excited see wonderful accomodation . everything perfect fridge full item wife request , milk , bread , butter etc ... also give huge welcome basket dining table . kind gesture wast ruly amazing thoughtful perfect way begin vacation . Neil , concierge assist we greatly , make dinner play reservation we also arrange private guide day trip Paris . thank much Neil help we stay . could go nice place . hotel follow Milestone standard . stay several 5 star hotel world , Milestone truly elegant , cozy charming . already plan visit London next year , yes stay Milestone . 
 Jun 17 2009 	 favourite London Hotel 	 need hotel within walk distance Royal Albert Hall . come rely Tripadvisor guidance let . blissfully comforable , room upgrade unexpected bonus , able step across road Kensington Gardens sheer delight . can not wait come . 
 Jun 15 2009 	 old British Excellence Central London 	 enjoy fantastic stay wonderful hotel . staff attentive provide we guide tour hotel . room wonderful change normal much character . food excellent afternoon tea worth visit set food . location central London easily accessable . back enjoy hotel - recommend hotel back ! 
 Jun 5 2009 	 highly recommendable 	 wife stay hotel three night extremely pleased . room perfect even well could expect . staff attentive make we feel like home . probably stay another hotel London . many small detail make difference . 
 Jun 3 2009 	 beautiful hotel good location London 	 ' ve stay Milestone several time never disappointed . service , like Red Carnation Hotels , fantastic 's something ambience give place feel luxury country residence . location , opposite Kensington Gardens wonderful thing consider would say favourite part London . room beautifully seem individually design furnished . food fantastic high class restaurant discreet bar reguarly use entertaining client friend London . want lay back high class hotel experience London hotel . be get real class . 
 may 26 2009 	 amazing refuge totally restore we 	 every minute spend worth every penny , arrive dishevelled exhausted , soak wet baby paraphenalia tow , staff sweep we warm genuine care soon fall love hotel . hotel fixture fitting though gorgeous every way look , comfortable sleep , staff make place special , manager cleaner staff every level outstanding . ' ve posh hotel baby make feel like leper , , make feel though vip . 
 May 26 2009 	 recommend hotel highly enough '' 	 husband visit London every ' term ' visit son University important we stay somewhere well recommend service standard good . find Red Carnation Group Hotels - small intimate staff 's priority make stay pleasurable possible . one request much staff friendly polite . standard room Milestone wonderful stay beautiful venetian themed room . welcome glass champagne bar area delightful use later . canape serve -delicious bar also bring room . stay Ritz- Milestone Hotel 41 deserve Trip Advisor excellent rating much . ( Ritz get rating presigious name rather service etc . ) will not disappoint hotel- confirm excellent hotel re - visit time . Breakfast delicious freshly made- nothing sit warmer age . again- excellent service . hotel restaurant well recommend unfortunately could not sample time definately another visit . Lee hotel manager professional welcoming . hat hotel every level . 
 May 19 2009 	 lovely friendly awesome service 	 power trip london -- 20 hour london 2 transatlantic flight sandwich stay milestone hour . staff friendly -- bring latte soon arrive . hotel lovely -- wish 'd time enjoy gym , spa , restaurant , tea room . room tiny 's london . everything impeccable cozy . leave fruit even American electric outlet laptop . really think little thing . location hotel awesome -- right across Hyde Park close shopping . hotel bit expensive 's 's business hotel . worth splurge personal stay . wish would print boarding pass Gatwick like have offer -- end wait line hour get airport . 
 May 13 2009 	 truly lovely experience enjoy three generation . 	 lovely hotel , warm welcome friendly helpful staff , super room great service . look forward go back . 
 May 7 2009 	 Best Hotel ' ve stay Long 	 stay Milestone , everywhere else seem pall insignifigance . staff absolute perfection - nothing leave chance . room well appoint bed almost comfortable . bar restaurant delightful . recommend hotel enough - 's gold standard will judge hotel long time come . 
 May 6 2009 	 Wendys 60th Birhday celebration . 	 love Milestone ! stay hotel several time past year last stay well ever , greet uniformed doorman , car whisk away expeirience begin . welcome back Milestone greeting staff . quickly room offerd welcome drink , room spotless recently refurbish view Kensington Palace . we take short walk Kensington explore shop , many choose from . Dinner Chenestons restaurant , wonderfull roast lamb fresh trolley cook perfection follow Milestone quartet sweet . good food serve people care service . having sleep well king size bed go breakfast , traditional english ws perfect , poach egg spot good bacon sausage follwe choice fruit pastry .Off Tower London , hop thr open top bus tour road see sight get tower , hop back bus site back hotel . the kitchen prepare suprise birhday cake wife put room , superb suprise . the rest stay good say ask mean ! wiil return ? bet ! David & amp ; Wendy 
 May 1 2009 	 Class Service 	 come stay Milestone agree reviewer service . everyone nice helpful . make everyone feel like old repeat customer . room beutiful homey , could run bit crowded side . sure know room book quite different . health club small sufficient small pool quip jet swim into . the breakfast small tasty . many extra hotel welcome drawback make . 
