Pleasant 	 search many hotel web site , choose Galleria Park . want stay large hotel , appreciate ammenitie provide . wonderful hotel provide . do nicely Art Deco theme . room good sized & amp ; clean update bathroom , adequate sized elevator , free internet , room coffee refrigerator , personable staff , workout room , outdoor 3rd floor terrace jog walk dog GARBAGE TRUCKS middle night . we able park SUV garage 1/2 block away $ 30 / day ( & amp ; tho ' ) 
 Oct 20 2009 	 great location friendly helpful staff 	 stay 5 night spend day explore San Francisco . location ideal central shopping district different cultural area . still close enough Fisherman 's Wharf walk , couple occasion . king size bed room amenity good hotel clean throughout .. enjoy complimentary wine hour evening couple time coffee mezzanine morning great way start day . would hesitate recommend hotel would definitely stay . 
 Oct 17 2009 	 lovely hotel central city location 	 wife thoroughly enjoy stay Galleria Park Hotel , San Francisco . hotel well locate city close attraction public transport . staff provide efficient friendly service stay . evening wine reception good great opportunity relax hectic day chat guest . Coffee / tea available first thing morning Mezzanine Level . room spacious comfortable include small room store luggage , great unfortunately room not light difficult find something suitcase evening ( bit strange ) . certainly not experience problem noise , mention previous review . room 3rd floor . would definitely recommend hotel anyone intend stay San Francisco . 
 oct 9 2009 	 cool town hotel 	 really like hotel . get bargain junior suite throught hotel website . great offer , far cheap webagent . hotel lobby cool , huge fire atrium ceiling . room great , bit noisy ( outside siren etc ) even though eighth floor , expect downtown hotel . room huge , spacious well equip . free wi - fi hotel valuable asset . food brasserie ( therefore room service ) excellent staff friendly knowledgable . great base explore San Fran get bargain excellent value money . criticism arrive ( 8 pm ) rather frazzle travel bell boy help bag assistance offer . however see bell boy follow morning mjust time day . concierge also good helpful . 
 oct 8 2009 	 Great Location See City ! 	 Perfect location see sight city . husband travel San Francisco end honeymoon . location perfect . walk everywhere ... & amp ; Stadium , Haight & amp ; Ashbury even Fisherman 's Wharf . hotel staff friendly knowledgeable . give we great tip go stay away . affordable hotel clean chic ! 
 Oct 8 2009 	 Nice hotel super location ... 	 find Galleria Park meet need extended weekend San Francisco . location could not beat . take BART airport Montgomery stop hotel block away . front desk staff extremely helpful offer direction suggestion . join hotel & quot ; Joy Life & quot ; club arrive bottle complimentary wine welcome . able get great rate Jr. Suite provide great amount room . furnishing nice desk chair incredibly comfortable ! nice wet bar room . bathroom compact , clean . nice toiletry - limit shelf / storage space bathroom . free high speed internet room , plus business center access free computer printer print boarding pass . nice touch ! walked take Muni / SF Railway everywhere . would not hesitate stay Galleria Park . 
 Oct 8 2009 	 lovely ! 	 Galleria Park Hotel great - finish honeymoon , ton wine early day Sonoma , help we ship liquor store next door . huge weight shoulder . the room nice well - enjoy get fairly low price . grip location , pretty touristy / financial district . 's fault research area thoroughly enough ! be right near BART , major plus . 
 oct 8 2009 	 great location nice service small room 	 please location price hotel . staff give we 2 good recommendation area restaurant . negative room pretty small , thank Trip Advisor , know expect . think good trade price . 
 Oct 5 2009 	 LOCATIONLOCATIONLOCATION ! 	 two SF native town reunion . could not happy ! price well staff well - train friendly . stay expensive Union Square location far noisy . go around corner Cafe La Presse great breakfast 
 Oct 4 2009 	 careful room give . 	 book two king room check compare room friend turn give basic room give correct king room . friend take front desk initially helpful tell king available perisite give correct room . staff deal front desk friendly towards party . on occasion find front desk staff knowledgable local area public transport , perhaps could not bother . say previous review answer get around ake cab . turn public transport system really good efficient find . location good central little facility open area night financial district nad therefore gear towards office worker day . 
 Sep 29 2009 	 really like Galleria Park 	 travel agent book we hotel recommendation friend live SF . read good review TripAdvisor good staying . get Friday afternoon impressed Lobby area hotel . front desk staff quick check we really friendly . stay 3 night check Monday morning carry next stop Napa . every staff member encounter friendly helpful . can not really understand negative comment expereince great . would definitely recommend architectural walk tour leave hotel lobby every day 11 . husband , tour start find really enjoy . one interesting thing . tour last 1hr 45 min never get 3 block hotel information building really interesting would not get see stuff . tour normally cost $ 20.00 per person think , guest hotel get charge . yes , room smallish , build OLD , expect ? furniture comfortable plenty room husand . would recommend hotel stay wothout hesitation . nice Union Square area oppose Fisherman 's Wharf area ( stay last time ) fact less busy area . shop amazing Union Square Chinatown block away . would also recommend get muni pass cover bus cablecar . easy hop cablecar bus trolley get area area . 
 Sep 16 2009 	 ideal location terrific hotel 	 stay galleria park hotel 10 day september wife celebrate 25th wedding anniversary.booked hotel reading report trip advisor people spot on.this great hotel.centrally locate explore san francisco.close bart ( underground ) cable car , sreet car muni transport system plus within walk distance major shop like macy etc.the room king size bed well stock fridge bath showe plus tv , iron also bath robes.room clean every day hotel offer comp coffee wine pm staff friendly could enough you.i trouble mobile phone buy phone card would work hotel receptionist give mobile could ring uk . plenty restaurant nearby plus normal bagel shop starbucks.so give hotel 5 star rating round price good compare hotel check alot.make sure visit round world restaurant shopping centre ground near bloomingdale cover tastes.visit alcartraz evening get audio tour plus open top bus tour give insight visit.the downside beggar ask money hazzle . recommend san francisco galleria park hotel warm welcome clean hotel . 
 Sep 13 2009 	 great location good price 	 book priceline get great price hotel . place decorate well , bed firm comfortable . block Union Square , great location ! Valet parking expensive slow option . staff friendly , slow get car . many room face interior , view . 
 Sep 4 2009 	 Nice City Hotel Good Location 	 stay 4 night pleased . room ( deluxe King ) fairly standard . huge ok city centre hotel . clean nice decor . would read review decide would prefer quiet rather light room request courtyard rather street view . put we top floor suit we well . all staff meet helpful . book football ticket we . location great . 5 min Union Square public tranport . would recommend buy Muni pass cover bus muni train , cable car streetcar . use bus load . get transport map see city great price . 
 Sep 4 2009 	 worth Stay 	 Loved , love ! decide treat birthday last week book King room Expedia . research Joie de Vivre chain & amp ; like see . Hotel Tomo , Americania & amp ; Good Hotel book , Park Galleria choice . past ' ve stay youth hostel & amp ; Hotel Max , locate Tenderloin . time want stay different location . I not get negative complaint hotel . much room really need business trip basic vacation ? boutique hotel generally small & amp ; honestly feel size king room enough space like & amp ; look like photo site . decor still victorian style , colorful & amp ; plush . my room 3rd floor - 321 - face Sutter Street . love outside noise hear taxi cab , bus people way work issue . sleep like baby sightseeing half day . third floor quiet & amp ; barely hear peep cleaning crew traveler . the hotel staff pleasant & amp ; helpful provide info Muni bus & amp ; train take . the location central Montogomery BART right around corner . internet connection work fine . wireless connection & quot ; stay Online & quot ; say connection slow may select wrong one . consider hotel look like past , JDV excellent job update decor . the restaurant Midi mouth watering . devour flank steak & amp ; garlic fry . good thing not want spend money expensive alcohol hotel , walk 30 second street mini liquor store . , offer free wine taste 5:30 -6:30 . unfortunately always way taste start . Galleria definitely affordable boutique hotel , probably well serve couple & amp ; solo traveler . expect & quot ; posh & quot ; family - friendly hotel , book SF hotel spend $ 250 + per night . 
 Sep 2 2009 	 Bathroom indication room clean 	 bathtub need culking . bathroom smell dirty ( pee ) . towel smell paint . I glad arrive late night leave early morning . 
 Aug 29 2009 	 solid hotel tremendous staff perfect location ! 	 stay Galleria Park week past August , tour city g / f , hotel perfect we . say , though , upgrade park suite , one good room hotel , probably would not enough room simply stay king room originally plan . hotel great staff , extremely friendly willing answer question provide local advice San Francisco . room well - keep cleaning staff always nice job cleaning room day . big reason would recommend hotel , though , location . hotel within walk distance Union Square , Chinatown , Embarcadero Center , Little Italy , street cable car . several really good restaurant , bar , nightlife within four - five block radius hotel ; plus , also locate safe area . downside , though , hotel not posh nice expect , especially since pay lot suite . however , must admit spoil Las Vegas ; , hotel Vegas cheap , yet extremely nice . course , hotel part attraction Vegas , whereas city attraction San Francisco . 
 Aug 27 2009 	 not stay unless can not afford something else 	 number we currently stay business . would recommend unless can not afford anything else area . old , small , complaining & quot ; frat house & quot ; smell 4th floor , service not great . positive : - room service fast , caesar salad good . Chicken not chop ; whole skin - on chicken piece salad - odd , maybe normal . good salad , good chicken , good dressing.- cheaper nearby places- Minibar room service somewhat cheap nearby ( stay Omni California Montgomery many time - room twice size overall hotel MUCH nice ) - great location near Union Square ( really not unless want shop store everywhere else ) , Chinatown financial District- room cable internet extremely slow first seem fine ( two day plug ) . other say not cable take 2 hour get wifi work . - free coffee morning free happy hour something like 5:30 - 6:30 . not able go yet be still tough time businesspeople . negative : - Minibar refill . drank half - bottle ( 2 glass ) cold chardonnay minibar last night refill tonight . call guest service say minibar normally refill , would send new half - bottle . arrive ( quickly ) , completely warm absolutely apology even acknowledgement . ? completely unacceptable disappointing.- room seriously tiny . seriously tiny . not business never room , would hate . not room two people even shower get ready go here.- one room colleague first get put closet . seriously , not closet existence change room.- room seriously tiny . not underestimate need little space.- double bed , even queen . not even ask preference.- Bathroom pedestal sink two tiny shelf . little space put toiletry . - one robe closet . husband ? - Closet maybe 6 hangers.- noisy colleague street side.- inexplicably noisy internal & quot ; building - facing & quot ; side . Noises sound like housekeeping ram cart wall outside room . ? - Housekeeping yack day right outside room , be work drue day want sleep , good luck.- advertise & quot ; modern , well - equip gym & quot ; . one elliptical , one treadmill , one bike . be . luckily 5:30 pm , not soul . be probably get exercise see city , would not count always happen . overally , extremely disappointed hotel . yes , seem like be renovate old place somewhat well place . be still great . 
 Aug 25 2009 	 Superb location valuegreat hotel 	 book three day end book hotel three night enjoy stay much . fantastic location 2 block Union Square one China town . the staff friendly professional great value 119 night . lovely room , nice toiletry bathroom . 
 Aug 23 2009 	 expect 	 long trip excite arrive hotel . upon enter lobby impressed decor , even though slam door we carry luggage . check surprised find room 1 single bed , book 2 bed . rude , helpful provide another room specify arrive . since , long trip ask dining suggestion lady , forthcoming wonder around find lovely place eat Chinatown . , room small , would not provide another room 2 bed unless pay $ 100.00 stay excellent location . since , sightseeing , peel paint , hole wall noise adjoining room not bother we much . one tip , shocked airport shuttle . night departure inquire desk shuttle service airport . hotel say not offer service willing help we locate one , get cab pay $ 50,00 airport . find american shuttle offer $ 14 per person . morning Eric helpful ask hotel arrange service appal learn fact service . learn near end trip , lady work desk usually rude , indifferent answer everything get cab whether go golden gate bride , wharf . man staff , especially Eric helpful nice . also another gentleman , forget name excellent apologize well shuttle fiasco . carry bag cab person wish we nice day smile . although location great horrified lack interest guest stay . sure happen make guest feel welcome . 
 Aug 23 2009 	 bad stay life 	 noisy . could sleep metro station woud quieter.staff totally rude noncourteous . I would never recommend hotel anyone else . 
 Aug 21 2009 	 would not hestitate come back 	 sister stay 3 night . room good room bite small typical SF . inside room find quite warm , outside room find nice & amp ; cool . loved decor location . walk Chinatown fairly late evening feel concern business start closing - time get back hotel . bed linen excellent , comfortable , clean inviting . bathroom nice , small sufficient . tub little odd sloped make stand shower bit tricky . sister walk - in shower would love . sure hotel still bath , like bath find idea bath location home bit off - putting . staff friendly helpful enough . snafu call month early King Tut ticket say lot . check night arrive say lot . check next day none . planning go Monday a.m. quite disappointed . call we cell mid day say have find 2 tix late , almost way airport . call head office return investigate , turn ticket likely lock safe nobody know make even bad . miss exhibit London 37 year ago ill go want go since . sort fault order beforehand ensure . hotel quite apologetic offer discount room anything else find bit odd . would like continental breakfast , save trudge street look place eat . , complaint . nice walk Ferry Building catch ferry Sausalito , close Union Square shopping . tip - Cable Car lineup daunt , catch trolley $ 2 , work like charm . catch Fishermens ' Wharf back hotel area . dinner John 's Grill nearby , charming , historic , great lamb chop - huge order . also dinner E & amp ; Trading Co. nearby - update asian , good , food & amp ; service , esp . rib do coffee sauce , wish have order one instead share order . go Mr. Toad 's Tour open air antique bus - blast good tour , good way see sight quickly find 's . 
 Aug 11 2009 	 date hotel poor staff 	 stay one night . book one bedroom suite . staff thouroughly unconcerned family arrive . fact , walk carry 4 bag , door slam leg make fall . staff attempt anything indifference . later , ask front desk restaurant choice , ask several time get type professional response . room , date , cramp peel paint immediately break toilet . combined indifferent staff , well , let us say will not stay . follow week , Yosemite trip , stay Fairmont Ghiradelli Square ... amazing place world difference Galleria Park ! 
 Aug 9 2009 	 modern art deco feel 	 impressive lobby . staff helpful . room tastefully decorate . complimentary coffee . excellent location Union Square - near everything . also stay another hotel Financial District , nice Union Square well . would definitely stay . 
 Aug 8 2009 	 great hotel great location 	 spend 4 night girlfriend impressed galleria . many reviewer point great location . staff helpful complimentary business centre really handy . room clean spacious , hard say anything negative ; a+++ 
 Aug 4 2009 	 Perfect San Francisco 	 Galleria Park locate edge Financial District make quite quiet feel safe . room quite small mine ( 801 ) perfect want . bed supurb - comfortable white great pillow . plan spend lot time room unhappy day thing SF love come back Galleria Park . car available take airport flat $ 45 great value . staff wonderful friendly . Joie de Vivre chain great lovely half bottle merlot waiting room . miss wine taste every day busy sightseeing come end one everyone seem enjoy - social . thing miss little continental breakfast coffee bar morning . think miss mark kind signature jdv pastry serve morning . weekend difficult breakfast situation we . by way lunch Neimn Marcus Rotunda Room 4th floor -overlook Union Square . pricey terrific food ambiance . serve fresh warm popover fruit butter tiny cup chicken comsume everyone order . 
 Aug 2 2009 	 Excellent San Francisco Hotel great location 	 beautiful hotel . perfect location , easy walk Chinatown , Union Square trolley . staff friendly helpful , give great suggestion local site restaurant . wine tasting night . room WIFI weak useful , go lobby . 
 Jul 29 2009 	 great western stay 	 travel extensively live many hotel , say service receive , motel rank among top . entire staff cordial helpful . concierge ( Peter , Jacob Maria ) extremely friendly helpful . housekeeping staff great job day check - in staff could not nicer . price location great . San Fran , plan stay motel . convenient everywhere . clean like wine hour lobby . great experience . 
 Jul 23 2009 	 Location location location ! 	 partner get back 5 day stay Galleria park hotel San Fran . never , book hotel , scary , could not make well choice ! completely central , convenient , completely affordable retail salary , friendly staff absolutely beautiful looking ! room street view room , must - almost completely sound - proof ! gem ! seriously , stay every time travel San Fran - way go , Galleria Park ! 
 Jul 20 2009 	 great staff willing go way . 	 great hotel , wonderful staff . room small , normal San Francisco . clean , easy get . stay . free wine every night nice touch ! 
 Jul 5 2009 	 last Minute find gem ! 	 make last minute decision take detor road trip . drive downtown SF almost miss gem . watch miss mark much signage . next door Galleria Outdoor mall however keep eye peel . valet parking $ 38 night park public garage $ 35 night . pick valet safety . decor gorgeous silver , green , light blue , love ! ! large room 2 queen 28th floor view SF street $ 140 . bed pillow top nice sheet comforter ... super comfortable . small fridge microwave , desk , t.v . comfy chair ottoman . nice old fashioned tub / shower combo great decor . great location walk everywhere . like shop close everything even China Town . could even walk Warf waterfront get good pic Bay Bridge ( 5/6 block ) staff super nice . 
 Jul 4 2009 	 Loved ! 	 travel S.F . often day trip shop . live less 2 hour away city , rarely stay overnight . good friend decide go away girl 's weekend glad , ton research , decide Galleria Park Hotel ! cute little place . hotel clean . lobby smell amazing ! comfy king - sized bed w/ nice enough linen . con would : scratchy bath towel , fan bathroom free wine hour offer good wine . window open room , closed offer peaceful , quiet room . staff friendly helpful . bar Midi , hotel bar / restaurant great , strong drink . walk almost anywhere . walk Pier 39 two time , although time take cab back due distance ! woman , feel completely safe walking around day . night , feel safe around touristy spot venture beat path , use utmost caution find safety number . ( SUPRISE ! CITY , USE CAUTION ! ) think hotel offer great hotel price ( book directly hotel ask special / discount offer deluxe King room w/ view city around $ 140 / night ) . fancy snobby place . lax welcoming . ton eatery , coffee shop , shop , ATMs cab w / in 1 - 2 block . great coffee shop adjacent hotel . 5 min . walk Nordstrom Mall , Union Square China Town . ( walk way & quot ; Little Italy & quot ; /North Beach near Columbus Tommy 's Joynt Van Ness , ) . tired walk everywhere toward end 3rd day , happy get experience many different site great find ! can not forget mention Zen like little garden area 3rd floor - Super Neat ! can not wait go back . stay visit s.f . 
 Jun 18 2009 	 Great Hotel Great Price 	 stay three night . right heart Financial Shopping area , short walk Union Sq Chinatown . able park right outside free Saturday afternoon Monday morning . not forget free wine evening . 
 Jun 16 2009 	 excellent value . 	 excellent value hotel room San Francisco . hotel block Union Square . take BART airport get Montgomery Street exit - short walk . front desk staff excellent - cheerful , friendly professional . room amenity - electric kettle coffee tea , room safe , free WiFi , good water pressure , excellent air conditioning , Frette linen , iron ironing board , hair dryer mini - bar . lovely outdoor garden 3rd floor . both room bathroom extremely clean . room big expect consider lot hotel room old hotel small . try get room face inner courtyard / garden quieter . I would definitely stay hotel again . tip : buy 7 - day muni pass $ 24 allow unlimited travel bus , streetcar cable car . deal consider one ride cable car $ 5 . muni pass use BART . 
 Jun 15 2009 	 great hotel San Francisco family getaway 	 stay husband , 2 daughter Jack Russell Terrier quick City getaway . choose hotel pet - friendly centrally locate Union Square . moment arrive , feel right home . receive warm welcome bell staff even receive welcome package dog include dog cookie , treat plastic bag inevitable visit rooftop park 3rd floor . outdoor area attach hotel wonderful kid dog . nicely maintain seemed pet owner bring dog conscientious clean they . we stay Park Suite 3rd floor . spacious nicely furnish . kid love room ( sleep pull - out couch ) appreciate extra space . window thick drape make nice dark room be close since like sleep fan , outside noise Kearny St. minimal . great night sleep . furnishing plush without fussy living area comfortable place we relax . housekeeping efficient . request extra towel pillow fulfil quickly room make nicely return day 's activity . we delicious dinner Room Service . kids pasta husband share warm beet salad goat cheese cheeseburger . price reasonable , food arrive promptly server charming . miss nightly wine hour go Starbucks without realize complimentary coffee Mezzanine level hotel morning , definitely try check return . the location perfect shopping Union Square . little go North Beach , reach walk straight Kearny . be also within walking distance Ferry Building , MOMA Moscone Center . valet park car never need check . be travel kid , great option extra room reasonable price . 
 Jun 8 2009 	 great location nice room . 	 glad choose hotel one Fisherman 's Wharf end - idea arrive touristy tacky place . Sutter St great location , close BART within walk distance Chinatown , Union Square Embarcadero . room clean quiet . pity room service not operate Sundays 's link restaurant , be great food everywhere San Fran anyway 's end world . free wifi slow nice get charge . 
 may 30 2009 	 stay 	 great hotel . staff friendly helpful . great location . free wine hour Restaurant . clean room . would stay 
 May 22 2009 	 nice european - style room 	 many room San Francisco european - style ( i.e . small typical american room ) , king - size bed generous room . finally shower curtain work ( see ) ; good hotel restaurant ( Midi ) . popular european guest . financial district Union Square , close Market St. , Chinatown , MUNI ( subway ) value : king AAA $ 125 weekend , $ 150 weekday ; half conference price ! ask ; book early rack rate IIRC near $ 400bonuse : free wine 5:30 - 6:30pm ( local Merlot & amp ; Chardonnay ) ; accommodate staff ( ask ahead allow check 1 hr late ) minus : free breakfast ( yes good free coffee , coffee shop next hotel cheap pastry ) ; good parking option ( true anywhere downtown ) 
 May 12 2009 	 Perfect Location ! 	 Galleria Park hotel perfect location traveller visit San Francisco . location walk distance Union Square Montgomery BART stop . need cab airport hotel , easily get BART walk less block . bathroom room stay need remodeling need well job centralize heating system . little chilly SF weekend turn heat 10PM . room little small front desk friendly helpful . breakfast please vist Posh Bagel less block Sutter . delicious breakfast bagel imagine ! 
 May 4 2009 	 one Complaint Place 's Great Location SF Tourists use Public Transport 	 husband stay Room 528 Saturday Night , May 2 , 2009 . room nice bright even bathroom window shower area allow natural light ventilation . space toiletry bathroom pedestal sink , room end tub . simply place deodorant , comb , etc . , near TV . adult daughter adult niece stop pick we comment nice hotel lobby room . complimentary coffee available mezzanine hour morning , well complimentary wine hour 5:30 6:30pm . large outdoor area 3rd floor . return . 
 May 4 2009 	 first trip San Francisco experience Tripadvisor success . 	 stay Galleria Park first trip San Francisco . decision stay hotel information receive tripadvisor . hotel staff far average . room small clean , amenity include exercise room , morning coffee , evening wine free weekend parking . first time visitor San Francisco hotel 's location convenient cable car , shopping , restaurant , chinatown 1.3 mile walk Fisherman 's Wharf . plan future visit San Francisco plan stay hotel . 
 Apr 14 2009 	 Classic boutique 	 great location , update keep vintage feel ( open window ! ) . room smallish would expect , comfortable . room either face street inner court -- ask inner court high floor quieter room dark . service try hard seem care across half dozen stay supposedly note file prefer inner , high room honor maybe half time . hand , be hard upset clean , nice atmosphere good price area . renovation work rather recent , old , low rating long apply opinion . subway system ( BART ) entryway end street . about dinner hour serve free wine lobby reception , nice touch . adequate fitness room . shop around , rate seem widely variable . date flexible rate vary consdierably depend day . San Francisco , call ahead need parking expect expensive . BART system good location need access business trip rent one . a pleasant addition newly open MIDI Restaurant premise , lobby . cool bar unique cocktail worth try , especially Foggy Bottom . 
 Apr 14 2009 	 great location staff smallish nice room 	 Great Location . hotel welcome . wine every night 5 pm even decent wine , plonk . room small side . two double room tight . child also room 2 double small room . room 3rd floor bite noisy garbage pick , great location . walk chinatown dinner . nice little walk cable car ride cable car way begin fisherman 's wharf . get early sit front fabulous view . walk distance apple store lot good shopping . valet parking good . 
 Apr 11 2009 	 friendly accomodate attentive staff 	 pick hotel close Union Square Chinatown area . also , expedia great deal whereby get free parking . however , hotel impressed . room probably bit small , really non - issue we . staff friendly accommodating . would stay . would give 4 - star rating , attentive , friendly staff , give 5 . 
 Apr 7 2009 	 classy affordable hotel heart SF ! ! ! 	 moment pull curb front Galleria Park Hotel , feel like royalty . valet courteous , professional , downright helpful . check - in breeze , even upgrade & quot ; exterior & quot ; face room big bed without even really push ! room 621 , face Sutter St . 's always nice look upon ever fascinating & quot ; street San Francisco & quot ; ! staff super knowledgeable really spirit hospitality pat . front desk agent engage witty ... real pro be around . magically enough , friend book separately us wound put room right next door we . check front desk claim idea happy coincidence , suspect psychic ! help manage hotel Santa Barbara , place exceed rather finicky expectation every level . definitely return often stay Bay recommend property guest head north SF . well do ! 
 Apr 4 2009 	 Pricey nice 	 ' ve never San Francisco nothing compare stay . say : good - location ! 's Financial District couple block China Town . - staff . know area helpful direction . housekeeping service great ! - WiFi . fast not go ! - pet fee . not one ! pet stay free ! bad - parking fee . Ford Ranger not big truck eye consider oversized vehicle mean pay $ 48 day park instead $ 35 regular size vehicle . 
 Mar 26 2009 	 great clean hotel great location 	 use site plan trip , decide contribute stay hotel.we pay 400 $ 3 night ( 24 - 27/3 ) king bed room . price includ tax without breakfast.the hotel renovate , stay 8th floor , everything great.room clean location great - middle everything - 5 min union square chinatown - starbuck everycorner.hotel fancy look - boutique fireplace lobby.bathrobe wait room.very quiet.a real pleasent surprise 
