Skyline 	 know feel leave home go somewhere exciting be hope hotel book turn amazing ? wish come true . skyline like 4 1/2 5 star hotel . suite divine ... & quot ; home away home & quot ; . soooo much space room , super clean . bed comfy . hotel staff ... doorman , reception service clean service friendly professional . suite impressive view breathtaking ... especially evening manhattan skyline . location central . walk theater district , times square cab / subway accesible . choice restaurant deli nearby . overall ... amazing stay Manhattan thank Skyline Hotel . & quot ; be home away home truelly hide Gem & quot ; . would stay heartbeat ! 
 great except one caution 	 caution : not pay parking twice ! fail tell ' ve already pay parking check . not notice item bill day return home . otherwise , place convenient , clean , include room , common area , restaurant , pool , etc .. room include large screen tv , nice desk chair fridge . staff friendly although concierge seem bit stand - offish . overall , well worth price plan stay . oh - not look like much outside , inside obviously redo . 
 Fantastic Room 	 pay € 120 euro per night room ( www.getaroom.com think ! ) include taxis delux room , say 1 double bed booking . check frienly lady , give room 3rd floor . to supprise room huge , 2 double bed lot room around , large flat screen tv , smallish clean bathroom , larg vanity / dress area side bathroom . also small storage room case , safe , iron ironing board . view garage rear hotel noise plenty see NY centre problem ! room Black blind sleep well comfortable bed . the room spotless , little creamy decor colour like refurbish last year I d say . I not use pool bar bar food area/ resturant look nice , bar quiet every evening make 10min brisk walk Time Square.48th , 49 , 50 th street take Time sq directly , find 48th 49th bit dark walk night small enough poorly light night ( not problem ) , prefer walk 50th night much wide well light . I find hotel bit time sq consider lot walk NY foot tired , subway station near ( could find ) . minor issue , consider previous hole stay NY hotel pallace ! would definatly stay , great find NY dodgie come hotel . safe bet.enjoy NYStehen 
 nice hotel rude valet unconcerned bellhop 	 hotel room nice , clean , large . room book double , nice comfortable bed . restaurant reasonably price come large portion . valet staff rude time entrance check . also , highly advisable wish obtain something car middle stay actually get upon arrive . although valet price $ 10 , would much rather pay well service less rudeness ( ' ve stay alot big hotel around US experience much rudeness ever ) . major note .... book hotel online need make modification call weekday make change .. well call 800 number provide website instead book online . thing aside , hotel nice place stay . 
 Excellent Value 	 return trip NYC Thanksgiving 5 good night Skyline Hotel . lodge plan make early fall leave look 2 room 4 adult 1 4 - yr old last minute rate would not bankrupt . find Skyline reading review book room cross finger . soon step lobby , know go ok . check quick efficient receive room well advance check time . lobby trip elevator art deco feel go back hotel really treat . couple day arrival return see holiday decoration though lobby make sparkle . nice . room large king bed , pullout sofa , desk , armoire drawer hide small refrigerator , vanity counter hair dyer still room 4 yr old granddaughter room play . bathroom nothing speical completely adequate nice towel . room spotless day check , carpet still little damp steam clean part housekeeping duire week acceptable . plastic wrap glass never replenish whole time either room cup leave something , dispose . minor , still enough make less & quot ; good & quot ; pretty low maintenance check somewhere not need concierge help except small maintenance issue AC unit one room fix . staff friendly pleasant time come contact . old lady work gift shop jewel . restaurant seem one stand - out , eat breakfast day leave , go order menu encourage buffet everything time get refill go . everyone appear blame someone else fact go ahead stick gratuity kind rub wrong way . mostly empty much good food around can not see much reason choose . bar drink couple night , pretty dead look big party someplace quiet end evening get . far food neighborhood , many good little pizzeria mention . City Lights Diner Renaissance Diner stand out . 
 great value Midtown 	 reserve deluxe queen room new part hotel back . room large NYC standard recently renovate . room 646 face north . want well view , ask south facing room ( think end _ 34 _ 41 ) thing like . can not tell difference room decent Marriott nice Holiday Inn -- except wallet . $ 10 parking indoor pool ( extreme rarity ) ice cake . liked beat path . get see real manhattanite live restaurant not tourist trap . many , many restaurant choice Hell 's Kitchen area , casual reasonably price , deliver . Empanada Mama 's great . think will stay every time come back . 
 Loved Skyline Hotel ? 	 stay Skyline Thanksgiving . everything need family 4 ( kid age 8 & amp ; 10 ) . love pool , ! room nice view city bed comfortable . nice plasma tv HD service far could tell . staff always friendly helpful . Bis . co. Latte 47th & amp ; 10th great place morning coffee , biscotti fresh fruit . everything require walk 7th , 8th 9th avenue , like walk city big deal . many subway line stop around 50th & amp ; 8th . Taxi $ 32 way lga.from remember , WiFi $ 10/1 day , $ 25/3 day , $ 35/5 day , $ 40 / month . we book getaroom.com get great deal . hotel $ 250 / not Thanksgiving week , get Skyline $ 160 . great hotel overall ! 
 Jul 12 2009 	 great tourist 	 Hotel book part city break New York , family four adult 4 night end June / beginnng July . arrival , somewhat concerned tell reception record booking ( Virgin Holidays ) one two room ! however able fix two party adequate ( small ) room first night able give we two adjoining room remainder stay . room spacious clean rather noisy ( effective ) air - conditioning . alarm incident one day filthy brown water come tap . obviously hotel ongoing plumbing problem thankfully remedie later day . pool real bonus - clean lovely warm water , although change room small basic . hotel generally look rather tired dated overall well - run , well locate offer good value money . would highly recommend city - breaker . 
 Jul 10 2009 	 WOW - exceed expectation ! stay location service price food ... HOSPITALITY '' 	 New York mid - June stay Skyline 5 day . would HIGHLY recommend anyone willing listen : - ) ) ) couple reason : - locate Manhattan , hotel reasonably price right heart action- Service great ! hotel staff courteous responsive request ( request adaptor gadget Asia - do not promptly source one ) - real foodie tell fan hotel menu usually - definitely among well cuisine : - ) - room spacious comfortable - quite pleasant surprise give boxy option get Manhattan usually . overall , nice great value - for - money ! 
 Jul 6 2009 	 incredible bargain manhattan 	 great price spacious , clean room Manhattan . $ 10 parking help , . outside look dumpy , room nice . desk service fine . will definitely stay . 
 Jul 6 2009 	 wonderful Expreience 	 arrive friendly organized hotel staff . room nice clean location great . 
 Jul 3 2009 	 Average 	 Stayed end June 2009 5 day , ideally locate Broadway show tired hotel concern . front desk staff particulaly dis interested overall condition hotel poor . bar area dead night . room however spacious usual facility except tea coffee make distinctly lacking . ice machine hall , average hotel really , nothing make want go back . conciege bell boy helpful though . pool ok poor state repair . didint eat price plenty choice town ... recommend light diner road slightly north hotel 10th Avenue breakfast , good menu rapid service . 
 Jul 2 2009 	 great conference 400 out - of - town people 	 meeting planner national non - profit organization find amenitite meet room like . registrant equally satisfy sleeping room , speed elevator cleanliness entire facility . management pleasant work make every effort serve conference need registrant . plan make hotel choice personal trip city . restaurant staff eager serve well . catering rate reasonable food choice presentation make happy conference goer . 
 Jun 26 2009 	 spacious room Manhattan 	 stay many Manhattan hotel shoebox size room continuously bump shadow room bathroom size would expect find plane . skyline hotel blow myth find good room reasonable rate Manhattan . hotel spacious well insulated ' hear traffic outside like Manhattan hotel . room clean toiletry come dollar shop want city never sleep ! 
 Jun 24 2009 	 comfortable clean value money 	 comfortable large room , view . bother view since day evening . clean bathroom facility . great bed . interesting art deco style lobby . frosty staff , other friendly . not eat restaurant - go City Lights Diner good breakfast ( turn leave hotel ) . comparatively quiet location . ten minute walk Times Square . would definitely stay . store luggage small charge . ask concierge desk transport airport cheap taxi . 
 Jun 23 2009 	 spacious clean comfortable room 	 hotel unlike NYC - room spacious something impossible NYC unless get suite . not room large clean good bed linen , staff courteous helpful . location great shopping direct bus service outlet mall NYC . park convenient good rate . hotel walking distance Times Square Broadway . 
 Jun 21 2009 	 ok 	 hotel position pretty good . five minute walk Times Square . water five minute right . cheap hot coffe deli across road . laundromat next corner . staff ok overtly helpful . room average mean average . look bed good location would suit . mostly clean . mostly use tour group . 
 Jun 16 2009 	 Best Weekend New York City 	 Hotel Awsome , bed like sleep Clouds Bed sheet pillow like , be difficult get bed , love . ThThe Location even well , close everything also nice quiet night time , perfect night . 
 Jun 16 2009 	 highly Recommend ... Best Value Price 	 stay Skyline Hotel two night past weekend great experience . hotel staff nice , room large bathroom big . the bed pillow unbelievable process buy good sleep stay there . the hotel central location ( walk times square ten minute ) parking , concierge service keep luggage check out . I highly recommend hotel price , cleanliness comfort can not beat . 
 Jun 2 2009 	 great experience great staff ! 	 New York 3 night . my second third night hotel . I reserve ` ` 2 twin bed '' room 129 $ , great price . the room nice clean . thing forgot bring fridge come back shopping , one bring be not work well . make reservation mentionne want view city , give room view roof ... good . call lobby ask new fridge decide transfer , price , ` ` 2 double bed '' room view . great ! spacious . one thing : need internet connection , sure bring credit card 's pay service 's outside hotel , company sell time . good option 48h service 20 $ , 30 minute 8 $ . 
 may 28 2009 	 surprise - great value 	 10th 49th , Skyline 3 - 4 block Midtown Hell 's Kitchen . price $ 129 per night tremendous size room - pretty much like normal hotel along freeway somewhere ... on - site parking $ 10 per night make almost good true . hotel comfortable , well - appoint , well - run .... quirk experience ( expect ) price . budget type trip look couple college daughter . perfect purpose . head 9th Ave great food ( lot Thai ) restaurant row , charming 46th street - small bistro , various ethnicity , great quality food . cool stay neighborhood also ... see local stroller , kid dog , etc . great honest bargain deal . nice comfortable lobby , nice flat screen tv lobby room . helpful concierge . ultra - hip , defintely sense style . thing miss coffee - maker room . comfy bed , quiet night , pool gym , 
 May 25 2009 	 pleasantly surprised 	 parking deal . pleasantly surprised view room . kid love indoor pool . 
 May 24 2009 	 well expect ! 	 read review regard ' scruffy location area ' quite true ... hotel clean , comfortable large room , good bathroom great location city centre , Hudson river cruise , Intrepid Naval museum . find staff ok , despite review . able offer we return transfer Newark airport minibus low rate yellow cab deal minor issue room immediately . try restaurant , agree review .... use City Lights diner two block ( 51st . street ) 
 May 21 2009 	 okay stay 	 stay Skyline April find hotel & quot ; okay & quot ; . nothing special bad hotel stay . locate area appear we scruffy side . room clean tidy bathroom date . on first morning breakfast hotel restaurant find expensive . service also extremely slow , decide find else eat . next day find City Lights diner ( turn leave outside hotel , two block locate opposite corner ) clean , friendly , serve great food throughout day , cheap . probably would not stay hotel . 
 May 4 2009 	 GREAT Hotel great location ! 	 can not believe hidden gem New York . parking $ 10 / day . room date immaculate although flat screen tv . not try restaurant plenty place close eat . 's short walk Times Square shopping . price fantastic . back ! 
 Apr 29 2009 	 strictly okay 	 stay nyc day check hotel online book place . the hotel strictly okay . but city good . the people front desk friendly , answer question . I would say hotel great bad actually worth price . 
 Apr 29 2009 	 good value 	 family 5 therefore 2 room , close proximately large clean . hotel fairly good location , close Times Square , Rockafella Centre , Central Park . good size fridge T.V . room staff helpful , use pool couple time good day sight - see / shopping . Deli opposite 49th street excellant open 24 hour . 
 Apr 19 2009 	 Perfect location welcome clean friendly great value hotel . 	 look Hotels close Times Square bit concerned outside build lush other ! . step inside amazed friendly , clean welcoming . coffee facility fantastic Deli straight road . subway leave great breakfast ! would advise go Bus Tours give load information get bearing . Times Squares , Empire State Building , Rockefella Centre night , circle cruise 2hr ride round Central Park Horse carriage must . experience . shop world ! tip everything anything expect ! ! ! 
 Apr 16 2009 	 Nice hotel great location low price NYC 	 Beds comfortable , room clean , fridge great , pool warm . pool hour worth note 's open 5 - 10pm . location 15 min walk Times Square , close subway . concerge not helpful unless want map . parking cost SUV $ 20/ day , still well place . 's fancy place - standard hotel resonable rate NYC . would stay ! bad thing - nothing complain best thing - location & amp ; price & amp ; pool 
 Apr 10 2009 	 great value short stay NYC 	 hotel great is- value hotel within walk distance Times Square , Restaurant Row , subway , etc . nothing fancy , although staff accommodate courteous . room could little clean , fine feature non - hd flat screen tv . city tape Daily Show , studio less - than-5 minute walk hotel . be NYC couple day see sight use hotel much sleep showering , perfect . $ 10 parking fee unheard Manhattan . Skyline Hotel , back . 
 Apr 10 2009 	 Good value - bed comfortable 	 room spacious bed amazingly comfortable . room 's frig make easy travel kid . total 7 party book two room 2 double bed . room next , can not open connect door . bathroom fairly large hairdryer outside bathroom make easy everyone get ready morning - could put make hair next person shower . 15 minute walk Times Square . downside - use restaurant - slow poor quality ! Head street family own diner breakfast pick sandwich Subway one block . excellent value price one beat $ 10 / day parking . hotel charge $ 40 - 60 . take valuable car ... take Disney Easter Bunny antennae topper - big loss , unless 5 year old . pool also nice touch - nice lifeguard duty - warm . view amazing ! 
 Mar 29 2009 	 Great Bargain 	 family 4 stay skyline hotel spring break . price main factor choose hotel . hotel clean everything work condition . location couple block subway stop . ride bus several time bus stop end block hotel . staff friendly . pool great - warm view pool spectacular . highly recommend hotel anyone travel NYC want save buck . 
 Mar 13 2009 	 good value ! 	 spend 1 week ny , stay Skyline Hotel satisfy everything . room clean , service friendly hotel short walk away Times square . would definately go back ! 
 Mar 11 2009 	 Satisfactory 4 day shopping trip - great location clean ! ! 	 say , close Times square , close subway , clean , good money , staff not overly friendly helpful not tip loss . 's bar downstairs restaurant want drink . quiet location , tv lot channel , nice bathroom , good temperature room , pool not iopen not choose hotel pool - be 2 friend go shopping trip - go ! ! 
 Mar 1 2009 	 Never 	 hotel pick pool facility web site look okay . fare pool redeem feature hotel ( although change room clean whhole time ) . although one morning not bother open reception staff less bother . meal drink hotel even New York standard expensive . first room give less clean unit block light window . addition work sand blast outside hotel fail mention website . offer change room eventually . staff good indifferent time rather rude . concierge service particularly bad . recommendation place seem profiting advice give several occasion wrong often costly . send local restaurant extorinate make we pay £ 5 water . mention concierge say & quot ; oh well never happen & quot ; . glade see back hotel would urge other avoid . even little far would dispute say website close proximity thing . 
 Feb 23 2009 	 Good Hotel Families 	 stay Feb 20 - 22 . deluxe queen 2 comfortable queen bed , modern bath , lot space 4 we . pool nice , feel good day walk around . safe room small fridge . concierge great , anything help you . the hotel 's location also good , safe walk night close subway ( way get around ) , Broadway . good restaurant nearby , : try Roberto Passon ! real bonus $ 10 day parking next door , beat ! , great value family not mind little beat path . highly recommend . 
 Jan 10 2009 	 passable 	 return New York stay Skyline hotel ( apparently hotel formerly day Inn ) .We find hotel adequate , luxury stretch imagination , fairly easy get around , times square 15 minute walk even leisurely pace . both wife daughter find hairdryer perfectly adequate irons.i would say room little tired clean . we try hotel restaurant unfortunately could recommend eat here . but ok . 
 Jan 7 2009 	 NYE NYC 	 stay New Year 's Eve Times Square celebration . definitely great location less expensive nearby hotel . however , expensive . deluxe room large , comfortable mattress , microfridge , safe , update bathroom . policy night show ID get hotel room 6 pm , never . & quot ; guard & quot ; let everyone . overall , staff nice deluxe room clean comfortable . 
 Dec 22 2008 	 well expect 	 really good time hotel . room front could see Empire State Building ! street outside busy hear often . room clean big enough bed wonderful ! tv reception great watch tv.had breakfast Hotel , ot ok confusing , take brunch day . pool really good day walk busy warm . hotel staff generally helpful especially Norm . have problem one morning workman roof we 8 - 00am hotel Manager sort . try irish bar 10 th Ave around 50th Street , , Druids , fantastic music great food , also try sister irish bar Monday great irish music . watch yellow cab try rip , always make sure meter run ! special holiday we Hotel well expectation ! 
 Dec 10 2008 	 well woth pay ! ! 	 Skyline Hotel well worth pay absolutly nothing could complain . come boyfriend photo do not expect much arrive hotel plesantly surprised ! front hotel look clean , bell boy come taxi straight away offer take case . receptionist plesant enough see we straight away . get room airy clean . view front hotel get see empire state room . bathroom good size shower / bath . fact probably one nice 2/3 star hotel I ve stay . time square broadway short walk away , take we 10 minute be not one dordle ! originally book holiday want stay central Manhattan get look hotel main 5th Ave area look crowded loud day / night I m glad choose one slighly way . every night get good night sleep , wall thin though could hear foot step room be not hotel much do not bother we . overall would definatly recommend hotel especially look short city break hardly ever hotel there s much New York ! ! enjoy ! 
 Dec 2 2008 	 absolutely LOVED hotel please beware parking garage ! 	 Hotel / Room : room lot nicer have expect 3 star hotel . room spotless , staff friendly helpful ! Skyline Hotel Parking Garage : PARK ! ! trust driver would careful luxury SUV , see drive like race car . stay , bring we vehicle BIG DENT front right side .. demand speak parking garage manager extremely rude unhelpful , would not even admit dent . go inside get hotel manager , nice , unfortunately inform us garage manage separately hotel . one driver would speak tell manager would next week , turn manager lie .. estimate dent come grand .. 's impossible reach anybody garage management . one employee store next door tell garage dent brother 's car numerous occasion , refuse fix ! ! would highly recommend hotel , find different parking garage , please ! 
 Nov 25 2008 	 avoid hotel 	 arrive hotel tell pay hundred dollar deposit room despite tell advance . next go room clean however little shabby ink stain carpet , door handle hang bathroom scuff skirting board . half hour wait bell captain receive luggage , start unpack sudden door burst open man walk quickly apologise leave , sure get . leave hotel catch cab main attraction ( time square ) simply far walk around half hour walk new york hustle bustle especially difficult return shopping bag . even go bed simply swelter room far hot try open window locate near rail way line building sight noisy . next day grow less satisifie especially last night woken 3am next door loud sex complain security find listen outside door knock see we come room ! round nighmare stay check tell pay dollar phone call apprently make 45 phone call ! whereonly five day ! also buy phone card use phone hotel shop one tell we charge ! would choose somewhere else stay espeically family holiday shopping holiday look 
 Nov 7 2008 	 Brilliant 	 first time New York not really sure expect hotel great brilliant location we . 2 avenue away famous Broadway . neighbourhood around hotel safe place near hotel do not want venture far night ayway . pub nearby well theatre . hotel bar restaurant . never chance eat restaurant drink bar nice , quiet chilling long day . hotel really nice staff dealing courteous . room gorgeous , 2 massive double bed , large room , massive bathroom . could not fault . , really good choice . would go back recommend anyone . 
 Oct 31 2008 	 Nice hotel great location 	 stay start September great hotel . fab location , block Times Square E subway ( use time ) facility room great air con fab ( really need Sept ) pool not nice use , nice there . I would not recommend breakfast either , good first morning find foot , well place go New York . the front desk really helpful booking transport back airport we . all pleasant stay hotel . 
