great 	 go group school really nice experience . room really nice everything service . local pub restaurant around hotel make stay even well . grade 1 - 10 , 10 good 1 bad , breakfast buffet hotel like 6 . first day eat , follow morning eat toast coffee . food overral be not good , besides beutiful hotel . 
 Nov 2 2009 	 could well 	 stay two night weekend visit son college location perfect . got cheap rate breakfast include via GTA thank goodness- would disappoint long full rate ! check brisk efficient have locate reception area tuck away side entrance . first impression fade glory - musty smell landing corridor spoil impact beautiful foyer marble staircase . usual tricky operation electronic door key meant dozen try room door open . the double bedroom small even London standard first floor level look onto Bernard Street . double glaze meant lot noise street early hour re - start 6.00 onwards . hook room bathroom hang stuff , minibar empty , safety deposit box service , duff lamp washbasin , room light could switch independently master switch , bed short even 5 ' 7 & quot ; , heat towel rail bathroom ( source heat room ) permanently . ' m sure fault could fix quickly would report be short visit not want spend time sort everything demand room change possibly label troublesome guest . breakfast nice although large number staff not really seem interested make thing run smoothly , wander round aimlessly rather clear table . shine exception staff front barman concierge staff friendly helpful . this hotel 3 - star quality base experience could much well money London . maybe unlucky room might try convenient otherwise . 
 Nov 1 2009 	 Perfect stay ... ! 	 room 725 , renovate room . husband & amp ; New England Patriots game Wembly cousin . ' ve London & amp ; stay Russell , recommend cousin ( believe ) good value town . uncle & amp ; wife stay Lansboro Hyde Park wallet limit . room 725 , executive double , offer we check early red eye flight clean room time . book Superior Double . room contemporary & amp ; red mood light . fine , except need locate thing suitcase . big shower two , nice clog . inform cleaning lady & amp ; promised let maintenance know ( reception always busy ) . resolution . inform reception ... resolve immediately . room warm A / c . face inward view ideal though vast prefer street noise . 2 cousin & amp ; girlfriend enjoy stay & amp ; thank we recommendation . could not believe value money perfect location ... Tube right next door . usual , absolutely love old english bar room ... 
 Oct 29 2009 	 lovely hotel 	 could not fault anything . ideal location , friendly staff , clean great food . return ! 
 Oct 28 2009 	 great location get good deal . 	 location wonderful ... close tube train station . get good rate travelzoo.com deal , price reasonable . front desk helpful friendly many place ' ve stay . interior feature nice , room dark little date . 
 Oct 28 2009 	 beautiful building aspect far 4 star quality 	 check - in friendly slow ( enough staff duty ) .Bed comfortable room natural light ( entirely frosted glass ) ; suppose in - room safe not . long slow queue go breakfast ( never 4 star hotel - like back school canteen ! ) - one member staff rush backwards forward try seat people . breakfast poor - much well quality breakfast basic B & amp ; Bs budget hotel . individual tea pot table ; instead staff mill around large pot - tea stew lukewarm never offer refill . toast cold . table lay knife ( instead knife fork ) salt pepper . hot buffet run several item . . feel sorry staff - process dining room breakfast clearly need radical rethink bring standard 4 star . consider room cost nearly £ 200 , breakfast poor value money . 
 Oct 25 2009 	 elegant . good location . 	 start , fortunate upgrade suite , Sweet ! room generous size , 2 bathroom . since hotel 4 night , extra space much appreciate . aside upgrade , hotel elegant , employee helpful location convenient bus , tube St Pancras train station . room quiet sleep well . Bloomsbury lovely neighborhood .. bit pricey , want splurge not disappointed . not eat hotel , comment . plentiful restaurant nearby , reasonably price . would stay . 
 Oct 23 2009 	 good suite 	 look review think well stay suite here . hotel locate less 10 minute walk Euston reasonable location . swift check - in , suite lovely . shame traffic noise horrendous . food restaurant good service slow . Sat tell tight timescale theatre ticket , take hour get main charge we sweet do not even get . run still miss curtain . Breakfast be not problematic buffet issue service . as business sure cost look review suspect overprice . 
 Oct 23 2009 	 past good 	 great location need invest makeover - especially room double glazing ! ! ! cost high give condition - staff nice let building must cope modern expectation . oh please wireless available ' free ' . 
 Oct 18 2009 	 find another hotel - plenty around square much well . 	 terrible hotel ashamed . grand public area , hotel go rapidly hill . would not mind much not grossly price , shabby room , ridiculously small bathroom , double glaze secondary glazing mean room noisy - plenty much well hotel would suggest stay . term location , reasonably ok . within walking distance Covent Garden ( 10 minute ) , Oxford Street , ( 10 minute ) , St Pancras / king Cross Station ( 20 Minutes ) , Soho , ( 20 Minutes ) - many cheap hotel also well locate ! ! ! 
 Oct 16 2009 	 ok nothing exciting 	 stay one night business Radisson usually stay fully book . room appear re - furbish clean old fashioned design . air con extremely noisy control panel wall work . impressed reception . warn expect parcel fail tell arrive reluctant check check . turned deliver previous evening noone bother tell I . breakfast ok service coffee/ tea slow . in summary would turn hotel would certainly request . much preferred stay previous evening Radisson Grafton 
 Oct 14 2009 	 see RAT breakfast hall ! 	 check hotel yesterday morning training course . first time visit hotel . before check go downstairs breakfast . sit face side hall table line . display table soft drink include tea coffee cereal . as take sip orange juice get see RAT run along floor close table . the breakfast dining hall wall full people 8.30am . I immediatly get run away stunned ! tell attendant helpdesk ask write complaint letter send anything could see . if suppose 5 * hotel completely unacceptable ! ! 
 Oct 13 2009 	 great hotel fab location ! 	 stay Russell Hotel , Russell Square , 2 night . gorgeous hotel great location , right next underground 10/15 minute walk Shaftesbury area . hotel staff helpful room clean . room not massive need 2 people ! ! bathroom big clean . breakfast nice lot choose good thing serve 12 noon Sunday ! ! ! definitely stay recommend . 
 Oct 13 2009 	 people stay 	 back amazing weekend London stay Hotel Russell . read Trip Advisor night leave worried mixed reaction regard hotel . say pleased arrive understatement . arrive hotel 8.30am check luggage tell could room immediately traditionally furnish refurnish yet want wait couple hour could refurbish room , needless say wait room lovely . staff excellent breakfast amazing . stay Marriott Kennsington month ago Hotel Russell definately superior hotel . not understand everyone else stay certainyl not seem hotel stay . planning go back end year . 
 oct 8 2009 	 worth money 	 room face air shaft window opaque open . call desk find rain . desk lamp ceiling light inadequate desk work . claim lamp would ' upgrade & quot ; we bright room anothe 20 quid night . breakfast hideously expensive , eat donot Tesco across street . disappointment department . 
 Oct 3 2009 	 good seem 	 long weekend away mother spend three night hotel . room small rather ok , chair room ancient , bed good , bathroom horrible fungus behind tap bath . Complaint request clean good . absolutely warn GBP 2.5 credit card charge . Complaint , receptionist tell due fact credit company charge . management decision . well maybe use GBP 2.5 charge guest replace furniture room get room clean properly . 
 Sep 30 2009 	 absolutely disgusting ashamed hotel 	 staying 29th Sept 2009 stay one evening due run work , find hotel via booking .com £ 125 reduce £ 369.00 , review mixed hotel good location . check fast enough staff quite helpful , give room 628 sixth floor ... well shocked , stay Hotels uk europe work , shock see run old smelly room give . I m sit fumme still room currently watch football tiny old telly . ' ve scrache since ' ve , paint fall wall door frame bath room window look like public toliet , tiny filthyinternet access 15 pound ! ! ! ! really would like say something nice hotel sadly moment enter regreat . stay away trust 
 Sep 30 2009 	 long london weekend 	 stay 4 night august bank holiday , come london rugby final wembley take show.on arrival greet reception allocate room time , first impression hotel good frontage impressive public room recentely refurbe , room good size although outlook poor , staff bar restaurant freindley , breakfast well organise although hotel full never wait , food excellent plenty variety . hotel sitiate next russell square tube london easily accessible , would strongley recomend hotel type . 
 Sep 25 2009 	 expensive ` ` ok '' Hotel 	 check fine helpful , small suite top floor , comfortable.dinner hotel ok pricey great deal choice , Breakfast thing show rate 3/5 , get early ... check ........ well odd see sign warn £ 2.50 charge credit card use check evident departure ! discover shower control handle design Mr universe get ! , 3 people lift issue morning departure , perhaps lesson . 
 Sep 25 2009 	 Frustrating start ... 	 boyfriend arrive Russel long day travel States . book Russel online , prepaid room . upon arrival tell & quot ; room & quot ; already pay room acceptable . eventually manager find put & quot ; old room & quot ; lovely bathroom room wear tear . manager offer buy we drink bar make inconvenience , however large party go go elsewhere . next day switch proper room wonderful beautiful , wish could spend night ! staircase go upstairs beautiful huge chandelier . I would stay , however would make sure tell story make sure actually reserve room next time ! 
 Sep 23 2009 	 Happy Canadian Ladies 	 tour group 12 Canadian Ladies stay hotel Sept. 12 - 16 . hotel totally accommodate every way . foyer beautiful elegant . get room , little surprize small -- heck -- ' m Canada anymore . tell room UK Europe go small easliy adjust . also initially disappointed room look courtyard -- grass -- mechanism hotel -- end , complete blessing totally quiet sleep like baby . entire group rave comfortable cozy bed . bathroom huge spotless . plumbing obviously recently update showerhead state art water hot could stand . breakfast room ( marble staircase foyer ) design man design dining room grand staircase Titanic ! breakfast elegant affair beautiful set lovely soft music play . food staff attentive efficient . eat meal hotel many resonably price restaurant / bar nearby . Russell Square Tube station 1/4 block away . whisk anywhere want go London . feel safe area like Princess stay hotel . thank Hotel Russell everything Voyages Millefleurs Canadian Ladies Tour Group ! 
 Sep 21 2009 	 much well 	 hotel book someone else ' ve obviously never stay . tiny room , three attempt get room key work , gloomy staff , gloomy decor seriously expensive compare other part town . still use tiny 10 & quot ; portable tv 's room ( mine break refuse fix move ) rather flat screen common across kind hotel london - kind sum : doubt popular tour operator need catch peer 
 Sep 18 2009 	 RUDE 	 pay 256 £ night even internett room .. ask internett regard trouble maker .. bad kind service ever encounter .. stay away . it must nice hotel .. anymore . 
 Sep 12 2009 	 2 different stay 2 different experience 	 stay Russell Hotel two different experience . first time ' ve stay front desk fantastic . big smile friendly welcome try assist every way possible . room big , air con good quiet room . second time stay concierge terrible . step entrance . concierge stand right entrance . see friend pull suitcase stair slowly stand offer assistance . not bother open door us query concierge hotel absolutely nothing stand stare . front desk time not friendly initially say can not give twin bed room not book . however book confirmation printout bring along , clearly read 2 twin bed require . therefore 2 stay 2 different experience . guess depend work hotel day arrive / depart . location good , literally right next door Russell Sq tube station . rate quite reasonable 4 star hotel . 
 Sep 3 2009 	 brilliant weekend stay 	 greta location around corner russell square tubecentral touristy spot , theatre , shopping museumsstaff , food room hotel high standard 
 Sep 2 2009 	 ideal location good hotel management need review practice 	 stay ' Shopping Package ' www.booking.com , excellent deal cover 2 night B & amp ; B , £ 20 voucher Harrods two complimentary glass champagne . receptionist give we voucher check - in question second time champagne , not pursue have never get ... room situate back hotel large ( London hotel ) fab view city air conditioning unit fairly antique loud vital running room quiet hot . bed really comfy hot breakfast good . there charge £ 4 20mins internet usage computer provide ground floor . pay credit card ( & amp ; charge £ 2.50 privilege ) receptionist put charge Euros card without ask , question say Euro Visa card charge Euros instead Sterling . check later charge exchange rate 1.19 instead 1.09 rate day ... add extra € 30 bill - insist charge sterling - exchange rate robbery . we leave case concierge check flight not evening , go collect porter lead we room case hold tell we take , never check docket give early . take case could take one want ... 
 Sep 1 2009 	 Nice hotel ... good location 	 stay Russell Hotel 2 night regular room , give option grade £ 60 extra thought bit pointless big bed ! room however slightly small side serve 's purpose ... no - one want stay hotel room long London anyway ! bed really comfortable bathroom decent size . side lighting say lack ! ! window totally frost not let natural light ... bit nightmare get ready room ! hotel lobby really nice lovely big marble staircase . go breakfast one morning , nice nothing special . little cafe be dot around London much well breakfast . hotel lovely location across Russell Square 10 min walk train station ( 45 min we though get totally lose ) Oxford street 10 min walk away well , shop fabI would recomend Axis restaurant one Aldwych Hotel , food gorgeous staff lovely . also dirty Martini Covent Garden ' cute little cocktail bar would probably stay Russell lack lighting may put future visit ! ! 
 Aug 30 2009 	 4 star yes lot improve think management ! ! ! 	 travel lot see profile surprised follow negative point : - WIFI ROOMS ( internet wire ) ? ? ? ? ? acceptable 2009 4 star hotel ? ? definitely think ! - MINIBAR ( least room ) - thin WINDOWS ( noise sensitive , good place hear trafic outside ) - additional gbp 2.50 added BILL pay VIA CREDIT CARD ? ? ? ? ? ? ( also professional , consider book month ago implement new rule August ) . basically 3 star rating put , location , cleanliness , reception room . personnally would think twice recommande hotel friend get good rate ( ) 
 Aug 28 2009 	 quiet room . well situated . 	 stay Russell briefly business trip London luckily work pay : - ) can not really comment value money . the room clean , comfortable quiet . Aircon god send London hot evening ! downside sizable queue breakfast dining room little small side consider apparently endless amount guests.2 minute king X , would reccomend short stay ideal business Central London . 
 Aug 27 2009 	 order hotel direct reseravtion chanel ! 	 hotel August 21 24 . room order thrugh agency could guranty get renovate room . upon arrive hotel , receptionist say & quot ; book throgh agency web site hotel get refurbish room . keep renovate room guest order thrugh hotel reservation system & quot ; . get old room , offer upgrade suite 40 pound night , offer decline . the room disappoint , air condition noisy , room face inner yard hot full noisy air - condition unit could open window . we decide wait till morning complain . comfort see management decision - take two minute confirm move renovate room , extra charge slight argument . if hotel gym swim pool could perfect , first night inconvenience certainly recomend Russell hotel . 
 Aug 24 2009 	 5 star complaint ! 	 stay 21st august 09 two night . our personal experiance fantastic . staff friendly polite helpfull , cleanliness room second none ! breakfast nice plenty choose suit taste , beautiful victorian hotel , would stay . : ) 
 Aug 21 2009 	 great location easy access London 's attraction 	 book hotel great discount price GTA book site . Russell old grand hotel , service reception efficient , allow check three hour advance . itssituate around corner tube station , many bus stop also nearby , provide cheap safe way transport theatre show . would give special thank assistant manager , , try check line departure helpful go way ensure recieve appropriate documentation . 
 Aug 18 2009 	 another great Stay Russell 	 fourth time Russell , really counld , not imagine stay anywhere else . it friend first time London want make sure great time . book weekend break Superbreak , could'nt believe great deal get . three night b & amp ; b , theatre ticket Sister Act , ticket London bus tour include river curise standard return rail ticket Glasgow London . we book twin room booking ask would like single room extra cost , decline . room small usual standard room however lack another way . housekeeping ball even fresh bedding second last hight . the breakfast usual plentyful always come away stuff set we day never eat dinner day . the Russell great location right Russell Square , tube station round corner right exit hotel , ( come London usually get day ticket time get Oyster Card charge £ 10 go , we anyway , good make jumping tube different sight shopping , really carefull make sure swipe ticket properly exit tube charge £ 4 instead £ 1.60 top twice , end buy day ticket lot well money think . also exit hotel right bus tour pickup , main bus tour London . straight ahead exit hotel 10 - 15 minute walk take British Museum . this hotel tick right box comfort , location friendly staff , will back next year . 
 Aug 10 2009 	 definitely four star service . 	 stay hotel 7th 9th 0f August although room clean presentable , standard service poor . first bar staff poor understanding English , - lead we serve wrong drink twice . lack communication lead attempt charge we twice drink . standard beer bar also poor ; - serve Stella Artois Leffe . taste detergent , Leffe bad send back refuse drink . barman argue taste , despite inform drink back local pub Somerset , know taste like . - take flush pipe clean detergent free ? ! order evening meal restaraunt upon arrival surprise one couple restaraunt we . - soon find ! expect ' four star ' dining experience , instead present lunch menu , include choice paninis bagel , etc . inquire waitress say currently unable provide dinner menu . - inform book ? leave find restaurant close . 25th wedding anniversary trip London , ruin hotel shamble . 
 Aug 7 2009 	 great place stay tour London 	 Stayed recently bring wife son London tour around . great base work , hotel near Russell Square tube station Picadilly Line . able take tube 5 minute Picadilly Circus 50 mintue Heathrow . hotel nice area , great pub near . hotel one tube stop king Cross ( 10 minute walk ) . easy bus Traflgar Square 10 - 15 minute . walk inclined . there great english breakfast buffet hotel , include room . drawback fridge room ( although look like ) charge newspaper deliver room ( although free lobby ) . tell charge check , get paper send room . I recommend great place base tour London 
 Aug 6 2009 	 breakfast fantastic great location . would recommend room upgrade ! 	 arrive friday morning , greet friendly staff . upgrade room desk 20 pound . hotel spotless , food fantastic comfortable bed history.tube station around corner.battery go laptop stop write . def stay . charge battery , sit relax thinking stay would absolutley love go back london . downfall hotel maybe drink pricey would stop we go stay hotel russell . upgrade room def must offer available ! would also recommend visit broadway show , see billy elliot fantastic ! enjoy ur stay ! ! x 
 Aug 5 2009 	 beautiful hotel break heart say cheat ! ! ! 	 not care leave name hotel read want know . name Joseph Chen stay Russell Hotel July 24 July 29 . generally not complain unless really really feel necessary ( ' ve never leave review site use often travel plan ) . generally give people benefit doubt . however , feel responsibility tell other happen . travel brother book hotel due excellent location near Russell Square within walk distance major sight ( British Museum , British Library ) , moderate walk Soho / Picadilly Square enjoy nightlife . thing prove true . apprehensive hotel review read bad plumbing water pressure , long make sure get room renovate , feel would ok . however , matter quality room , excuse happen . book room , request standard twin room , since brother generally not like sleep bed . book Central.com though way specifically click twin room , request & quot ; additional request & quot ; section book way ahead time . know hotel twin room picture , specifically request comment -- feel luxury hotel caliber able accomodate request since book far ahead time -- , thing hotel amsterdam , . arrive , greet rude receptionist tell booked & quot ; standard double & quot ; want twin room would pay extra 20 pound night . question , ask standard double twin room price . rude receptionist specifically tell different price twin room 20 pound . tell Central.com mention never hear twin room expensive standard double . insist website , price clearly mark , make feel like fault check thing fully . , want sleep bed brother 5 night , sign paper & quot ; upgrade & quot ; 20 pound extra night get separate bed . room nice not complain . go check , different receptionist verify request & quot ; upgrade & quot ; twin room make charge . tell think irregular twin room expensive standard double . tell actually , standard twin room standard double room exactly price , decide upgrade large twin room ( ambassador twin room ) . tell receptionist initially , feel completely cheat duped pay 20 pound extra per night ( amount extra 20 pound almost 170 US dollar ) since impression choice initial receptionist tell standard twin room expensive . voice check receptionist -- defense , take 20 pound total price , tell would speak manager call . take cell phone . never ever receive call , couple day ago , check credit card charge total price upgrade room ! , either initial receptionist idea price room , horrible customer service since realize mean get twin room along do everything could accomodate , even worse , purposely try cheat pay 20 pound extra per night . either way , horrible service think deserve review like reputation . beware guy ! many option hotel London not hard find one least will not cheat 100 pound ! 
 Aug 4 2009 	 Good Location- BAD Service 	 great cab ride hotel -- wonderful , welcome driver first trip UK . impressive look hotel . find room wayyy small , decide upgrade 20 pound . really worth -- much large room great view park . location great- tube around corner , grocery store , laundry mat erestaurant close , British Museum . Service terrible , especially concierge staff restaurant . either rude completely clueless . 
 Aug 4 2009 	 pleasure 	 stay july 25th return 01st August . hotel overlook Russell Square . room great especially suite . staff great especially Mark charge resturant dine . food great , nothing much trouble . hope stay near future . 
 Aug 2 2009 	 poor service 	 pay lot money receive poor service ! two experience : first , urgent problem room 's & quot ; safe box & quot ; tell maintenance hour . the second air conditioner work cal , told & quot ; yes , AC defect need repair impossible . bring portable fan & quot ; ! ! ! despite knowledge AC safe box impair , check room enjoy hot summer night portable fan ! ! ! 
 Jul 29 2009 	 stay away . 	 stay night single room 4 star hotel . the room comfortable small single bed wall . bathroom tiny . rubbish bin empty . I expect bad check - in record prepayment incorrect . recur morning check - out . I make mistake dinner . 4 people huge restaurant eat - 8.00 9.00 pm . follow morning pack breakfast ! order chump lamb herbed mash , chunky chip side order . the chip cold , soft inedible , obviously reheat - god know many time ! mash also reheat whoever serve plate intelligence remove & quot ; skin & quot ; , stir serve it . never . 
 Jul 25 2009 	 must two hotel ! 	 read review book apprehensive ; however , excellent six day stay . first book room large bed ; six foot . room second floor , London standard , immense overlook tree Russell Square . room clean amenity one would expect . review indication , hotel obviously renovate floor , least one . bathroom small side well equip except lighting – recess lighting awful . reception concierge staff friendly competent . bar comfortably ' old world ' pricey slow service . restaurant hand joy ; breakfast . Continental ' full English ' available well lay tended buffet . table staff excellent ; remember tea toast preference second day . Close Russell Square , tube station , around corner . " Big Bus " tour stop across road . British Museum short walk . easy access West end . definitely stay recommend friend . 
 Jul 24 2009 	 nice decor great location poor service 	 stay Russell Hotel business travel London . hotel beautiful outside modern inside . room nice size , flat screen tv , comfortable mattress bathroom spacious modern . also , really enjoy breakfast buffet provide , tasty . one draw back stay customer service . dine hotel , waitress spill coffee . not try wipe , offer complementary dry cleaning . request speak banquet manager say nothing could . escalate issue hotel manager hesitatingly offer complementary dry cleaning . major issue middle winter coat . hotel staff seem consideration problem create . one instance , would recommend hotel . 
 Jul 23 2009 	 find somewhere else stay 	 book hotel regularly negotiate deal work . never fail disappoint despite look really impressive outside . occaision room smell terible - musty mouldy although could not see mould wall . however , turn airconditione become clear smell come - water pour aircon unit carpet . not bother complain . ' ve try hot water room pointless place . I make mistake ' ve make order breakfast room . forget £ 10 tray charge top £ 18.50 breakfast charge . tray charge cost small print order form would never really see . £ 10 expensive London hotel experience . would give feedback hotel website provide place get touch . 
 Jul 22 2009 	 ok hotel scary experience - safe 	 ok hotel - great location . stay times work room hit miss - sometimes ncie decor sometimes old clean previous stay . good breakfast . however will not stay scary experience . come back late 11.30pm realise do not toothpaste call recption see . say somebody would bring ask could leave outside bedroom door . half hour go nobdy come . call apologised send somebody . time bed . somebody knock door say & quot ; ok leave outside & quot ; knocked say .. next minute walk man stand toothpaste . froze left toothpaste . latch door however electronic one clearly be not safe . 10 second later come back room throw toothpaste floor leave . scary experience girl . complain put room actual latch electronic one say would investigate . nobody come back since will not stay . 
 Jul 21 2009 	 close British Museum 	 situate 150 metre Underground station RussellSquare . come station turn leave big building corner , entrance around corner . do not cross street . old hotel lot room . pretty good condition . room 3rd floor back therefore quiet . although room small quite adequate , bathroom modern , heat towelrack . very handy Holborn / Kingsway 600 metre walk , covent garden , Lincoln Fields .extremely handy underground especially luggage . on Heathrow line . 
 Jul 20 2009 	 Booked month advance overbooke ! 	 title say really - book Rusell back Jan birthday celebration phone week check ok turn day find overbooke hotel put we another hotel . difficult calculation make really - number room = no people able book . warn might end book hotel stay pointless research preparation . fair end Cavendish Hotel lovely Russell still should not allow happen . 
 Jul 18 2009 	 stay hotel ? 	 arrive 10 informed room yet ready shortly . leave bag concierge run errand hour . neighbourhood ( Bloomsbury ) fabulous . Russell Square Tube right around corner Tesco , Pret Manager , newsstand , restaurant pub . short walk bring Brunswick Centre many shop , large waitrose decent chain restaurant kitchen stay open later average London ( need get late bite ) . site also well - serve bus , easy walk Euston / St . Pancras / king Cross . Russell Square quite beautiful small cafe . upon return hotel , room ready . far spacious anticipate . desk comfortable chair ( completely wire international electrical outlet use converter adapter ) , armchair , wardrobe safe , small refrigerator kettle coffee , tea , hot chocolate biscuit cupboard small shelf ironing board , iron blow dryer . use air conditioning couple time efficient quiet . the bed queen - sized comfortable hotel bed sleep upon year . dress duvet 4 comfortable pillow . the bath quite spacious well - appoint . towel lovely quality towel warm nice touch . the room clean , bright high ceiling . also lucky enough french door open small Juliet - type balcony . room corner room Woburn Bernard . occasional late night street noise weekend reveller exit tube ambulance go proximity hospital . detraction excessive constant quickly acclimatize . thick drape baffle sound . room rate include breakfast serve lovely Fitzroy Doll Restaurant . arrive breakfast 8 9 morning ever queue table – bit note other wait left . weekend , particular , find far busy hotel . breakfast buffet - style consist two type egg , bean , mushroom , tomato , bacon sausage , black pudding couple type potato . also cereal selection nut , raisin dry fruit . cold buffet couple type fruit salad , two yogurt , whole fruit , cheese cold meat . orange grapefruit juice wish pot coffee , tea cup cappuccino espresso bring table along rack toast . , lovely breakfast . never stop lunch filling . say , ' know would eaten breakfast include room rate . £ 20 pp , ' sure could find acceptable , albeit fill breakfast Pret Russell Square Café . the bar also nice , although note look menu . price line bar London . there two small problem . fridge room never really cool level expect . fiddle control place perishable ( cheese , milk ) near ice box fine . awoke one weekend morning find little hot water . Maintenance arrive shortly call turn hot tap sink , shower tub . within 30 second hot water ( still ' understand mechanic behind – short hot water , demand appear – work ) one time water tepid . try technique , work complaint . our hotel book separately part holiday package airline . total cost reasonable , feel get extremely good value money . seem though , review , level satisfaction bit luck draw room – lucky perhaps . staff pleasant efficient complaint . we would return Hotel Russell . 
 Jul 18 2009 	 Seduce Package - Worth every penny ! 	 location perfect close underground mile away west end . stay see show perfect leisurely break hint romance . modern room , decorate beautifully large bathroom view square . book seduce package book online also include complimentary bottle fizz strawberry chocolate . unfortunately promise rise petal nowhere see not spoil stay ! find service excellent . stay many hotel breakfast one well ever eat . gorgeous scrambled egg ! ! complaint price drink bar extortionate . 2 simple cocktail cost £ 17.50 ! ! ! say back next year , buy bottle wine tesco 's street : ) read review would reccommend upgrade room really worth . 
 Jul 13 2009 	 awful service ! ! 	 hotel good location clean pleasant . however service awful ! pay half price stay area much much well service . when arrive tell booked breakfast internet , even though recite prove , tell would speak manager check ! could not get internet work room , go reception tell would send maintenance manager wait 1 hour tell wireless work . I order room service bring wrong thing . 
