word 	 stay TMA one night Sunday 29th November business trip . ' ve use , satisfied , Thistle hotel previously different . check - in , fair courteous reasonably quick , tell upgrade cost superior room - jolly good . jolly arrive room . although undeniably large , include seat area sofa , room scruffy long overdue refurbishment . arrive 9 - 15 p.m. ( later would hope ) leave first thing next morning , have reject . several place wallpaper lifting seam ; considerable stain decor ceiling adjacent , lead , aircon unit ; bathroom tired apparent defect appalling state principal table , wardrobe , slightly less degree , bedside table . chip , stained , damage visually dreadful . main table fit firewood . also , bizarrely , tv could not orientate viewable bed . want watch , sofa nothing . ( mattress bed ludicrously soft , hey , maybe 's ) .It explain room & quot ; much , much well & quot ; room would book ... would not want see one ! breakfast ok ... , staff restaurant friendly efficient , check clerk . there way 4 star hotel - charge £ 148 room breakfast excessive poor experience . staff markedly well infrastructure hotel - room border unacceptable ( call ) 4 star hotel high - profile chain . will not back hotel . ' m stay another Thistle hotel Liverpool 2 week time son - not deliver , Thistle forget custom . 
 need reconstruction 	 furring bathroom tap , wear room . 4 lift large hotel - wait away . unbelievable breakfast eat room - look like dining hall factory . 
 good value money upgrade 	 book standard room upon check offer upgrade wich first decline , however go room go back reception ask upgrade pay resonable amount must say difference room huge term size also state room , want bit comfort go upgrade 
 overprice poor service jade hotel 	 Location perfect early morning appointment American Embassy work visa . in aspect Thistle , Marble Arch never fail disappoint . check take forever , room shoddy date . dining room small size hotel , table cram together . breakfast like rugby scrum , walk around circle try find table not use store dirty dish . ridiculously overprice , exist 's location , pay internet ! ! ! ! 
 Oct 27 2009 	 great location shopper 	 stay attend conference hotel , deluxe room second floor , room well equip , tea make facility great wake early usually resturant open . good bathroom . room overlook Primark Oxford Street , opportunity shopping would fabulous able get away conference ! however thing good , one room smell terribly drain leave plug sink stop . service staff hotel main good one two area need attention . ask taxi order tight train departure time , tell uneccessary taxi rank outside plenty taxi , seem time need one door man seem diasappear wait cab . get feel taxi order could bother . carry heavy bag steep flight stair get build member staff offer assistance . get resturant early breakfast well later queue horrendous seem like hour . all would use hotel though represent good value money wish could use base shopping ! 
 Oct 23 2009 	 Superb location . Outstanding Wheelchair Accomodation . tired shabby . 	 stay several time past . location unbeatable : step Marble Arch tube station shop Oxford Street . wheelchair friendly accessible room outstanding : spacious roll - in shower ( base new remodeled bathroom design ) , easy - to - use sink mirror , plenty room maneuver room . staff helpful . unfortunately , room quite run , deteriorate trim , chip electrical outlet , grungy carpeting , drafty window . group sample breakfast good experience , although percentage hard - boil egg raw , line lengthy . one foray bar greet indifferent service overprice drink . clientele get seedy well , much late night noise vomit - splash elevator carry binge - drinker . desperately hope lack maintenance due unannounced major refurbishment Olympics , otherwise find replacement old standby . 
 Oct 19 2009 	 well avoid .. wear ! 	 typical mass market hotel . reception area fine ( large queue peak times check ) go upstairs find well worn corridor well worn room . suite spacious intensely use , old fashioned feeling make hesitant take sock walk anywhere . drink fridge frill . bathroom true 1970 air mustyness . front desk staff concierge helpful . ask check enjoy stay - ask record room scruffy wear . price pay think several alternative hotel cleaner make feel want relax room . can not recommend . 
 Oct 18 2009 	 Little Care Guests - Refuses Promised Rate Guarantee 	 see review bad service hotel , choice give friend already book . hotel advertise offer good rate guarantee , thus check website , well trip advisor comparison . two site rate £ 50 less , room day . telephone hotel , give song dance rate fluctuate minute minute , room sell anyway . yet Expedia Hotel.com offer , afternoon arrival , £ 50 less rate . telephone hotel meet advertise claim ' good rate ' , manager snippily refuse . rang main reservation line see would meet good rate , call another on - site manager , also refuse . call Thistle corporate office , & quot ; promised & quot ; get back matching offer , give experience staff ' be rude ; sorry ' . never return call . Thistle never compromise , friend ( cover stay ) pay high cost . even front desk manager refuse budge check colleague , despite available room then . never experience hotel go way help guest matching rate . time hard , people need save wherever possible . thistle offer upgrade , frequent guest programme , affiliation . hotel amenity ? room old stale . carpet dirty . bed low quality merely sit bed mean fly across room , ' m 120 lbs . twin bed skinny room stretch way , let alone turn night ( watch be toss turn sleeper ) .There duvet , cover look like duvet pathetically thin . maximum 2 inch thickness , autumn . even bedcover add give extra weight warmth . hotel provide extra blanket wardrobe ? , nothing . try telephone housekeeping leave ring endlessly , one pick up . heating ? yes , make zero difference thermostat break . the bathroom relatively clean surface , clearly black mould around tubs sink get wipe never deal . towel like scratchy sandpaper ... flannel / washcloth sight ! one bath towel one hand towel , . afraid someone 's bodily fluid still floor day ; loosely clean . the reception desk mean pass throng group people , lay - out . look busy popular , ' m sure . 's kind hotel conference airline crew - need mass booking frequent basis . spend extra £ necessary , not stay . staff unhelpful ; be outright hostile . there hundred hotel London , choose another . one good location London , hotel may make stay misery , certainly one night . 
 Oct 15 2009 	 stay away possible 	 ' ve stay hotel several time ok consider prime location . however , last stay extremely horrible . room tiny bed sheet dirty quality service good year back . we stay family room , mywife two boy 3 6 year age . rate pay ( 250 pound ) per night one would expect least clean bed sheet . I give 2/5 rating cuz location . advise everyone stay away . 
 Oct 10 2009 	 proximity Oxford St excellent staff Hotel friendly . 	 & quot ; family room & quot ; consist 1 King size bed double fold bed kid ( not comfortable ) . room clean service daily . close oxford street bus & amp ; underground . full english Breakfast include really good , service great . 
 Oct 6 2009 	 ready rehab . 	 travel London Oct 1 , 2009 stayd Thistle MArble Arch 4 night . hotel choose primarily location ability three people room ( always available London hotel ) . go visit son / brother study London live near Marble Arch . hotel end 2 - 3 block flat , work great . arrive Hotel around 12 pm fly night US . reservation 3 people , 17 year old daughter we , reason pick hotel . able accommodate we actually upgrade executive level . room nice size London hotel room king bed , sofa bed , desk , etc . lobby area , hotel look shabby need refurbishment ! know three people theroom , ever leave 2 towel . call linen sofa bed , even though room ready check in - for 3 people ! miss wake - up call one morning . luckily back - up . overall , really sleep location work we , much nice hotel money London . 
 Sep 29 2009 	 pleasantly surprised 	 not expect anything hotel have book last minute , last minute.com ' top secret ' hotel . want somewhere central stay go theatre really nice place . think room must upgrade really quite big nice sized bathroom huge bed . overlook busy nightclub downstairs , window keep bulk noise . reception staff bit slow , not cause problem . would recommend short break city . 
 Sep 23 2009 	 gret hotel good food 	 hotel lovely great location breakfast excellent would stay 
 Sep 20 2009 	 great location tired hotel 	 stay 1 night 10 us organise theatre break . this hotel fantastically situate however tired need desperate need refurbishment . service food poor . like holiday camp style breakfast free run crockery glass food quickly . 
 Sep 20 2009 	 great location room breakfast disappointing 	 hotel 's location great 1 minute walk Oxford Street . must say level service acceptable staff seem friendly enough . room unfortunately bite let tatty clearly need refurbishment . Hotel 's gym small everything might need carry good workout . must say Wifi room quite convenient . breakfast disappoint ... expect much Thistle ! ! ! 
 Sep 17 2009 	 Central shop great dining 	 great hotel , close Paddington easy Heathrow use Heathrow express . take 25 min leave passport control check - in . tube outside right Oxford Street bring credit card . staff super helpful . food okay room tiny , okay London . very easy get around London , remember restaurant close early close give half hour midnight catch tube back station close . 
 Sep 15 2009 	 do not eat hotel well place elsewhere 	 stay hotel 2 night 6th/7th September , hotel want stay fully book . confusion ' account back company ' upgrade Executive double , unfortunately next lift shaft suffer constant noise throughout night . breakfast nightmare , small dining space number guest stay . busy , feel like holiday camp lot tourist , good business , queue seat , self service , ask banana limit healthy choice . dinner 1st night select simple chicken & amp ; veg good , happy 12.5 % service charge go company allowance try stay under . dinner 2nd night carvery- big mistake , seafood starter frozen prawn taste nothing . wait one 2 chef decide go inconvenience first serve . beef lamb serve load fat , veg keep warm , tepid ' gravy . whole meal self service guess ? yep 12.5 % service charge . hate Toby Pub carverie offer much well value 4 * hotel . I may picky order diet coke dinner work later , serve half pint beer glass waitress impress pour wine glass . the restaurant staff not customer skill beyond question ' do enjoy meal madam ? ' give negative response shrug shoulder smile nervously . ' m afraid not good enough stay cost £ 190 per night DBB 2nd morning skip breakfast eat . would rather return home South Yorkhire travel back next day stay overnight hotel . would recommend hotel would positively advise friend avoid . 
 Sep 14 2009 	 Great Location poor hotel 	 stay overnight theatre trip 2 friend , location great hotel right Oxford Street that s good point friend . entrance hotel nice foyer 1st floor quite plush room date bit grubby . non smoking room smell smoke still room , could even smell smoke bedding although sheet clean . we even get smile hello concierge , different Marriott go way make everyone feel wecome helpful everything may need . would stay , go back Marriott ( reason stay yhere availabability ) . 
 Sep 13 2009 	 nice experience 	 back home wonderfull London- weekend ! happy hotel , good service nice hotelstaff . room , kingsize bed , spacious clean . location perfect . use hotel next visit London ! 
 Sep 11 2009 	 Sevice let place 	 hotel great location anything wish London . plush reception area nice seating . staff reception fine . junior suite comfortable . bathroom ok size expect bit suite . sound control work bathroom tv . living room fine good tv , mini bar , sofa armchair . main room three bed comfortable , though sleep one single . issue room lighting . switch light panel beside bed impossible . now restaurant . price ok london hotel food ok . main menu colleague carvery . go carvery . well value . service terrible . courteous anyone . attentive feel hurried could go home 10pm . I would stay eat elsewhere . if service well , would say good hotel not . 
 Sep 4 2009 	 good location date room ok 	 stay two night intent Theatre shopping precinct . find hotel present plush foyer long tastefull corridor room , however room tired clean comfy enough . our travel companion room smoker ask transfer , do without fuss apology , allat around midnight ! ! eatery good nice selection breakfast carvery/ la carte night . it interesting note many middle eastern people stay . perhaps reflection ownership ? 
 Sep 3 2009 	 TopClass 	 , stay , , , sister , , , , friend , , hotel , , absolutley , excellent , , roo , , , good , size , nice , bathroom , plus , , still , , smoking , room , , staff , , , friendly , location , , , convenient , stay , , the,7th , floor , lift , , , little , walk , away , , , , problem , , def , stay , ! ! 
 Sep 2 2009 	 central location real plus point 	 disappointing overpriced hotel compensate degree central location . situated minute walk Oxford St Marble Arch tube location hotel would suggest may ideal base explore capital . unfortunately cost room would suggest look elsewhere . well £ 100 breakfast include expectation hotel would offer something & quot ; roof head & quot ; leave disappointed whole experience . upon check hotel informed & quot ; pleased know upgrade & quot ; although unecessary come nice surprise . get room , despite apparent 4 * hotel leave carry bag , clearly not case . room bland although adequate space depress decor even street view , instead view generator ! upgrade unsure standard room cost would ! facility room poor ; use shower hand hold anyone 5 ft 9 need crouch use , iron board provide inadequate size , one small towell provide bathroom shower leak onto floor use addition bedside light work , necessitating try find bed pitch black ! facility view would expect 2 * hotel certainly akin budget accomodation indication luxury . redeem point central location , amount space room good hearty breakfast comprise variety hot ingredient . business travel someone simply want good location may disaster stay although would say base experience enjoyable worth money charge . would advise shop around another central London hotel 
 Aug 28 2009 	 good quality hotel 	 not know fuss . good quality hotel . clean , tidy staff helpful . not like hotel obviously fussy . not scare away hotel . 1 minute walk Marble Arch 20 second & amp ; , Oxford Street . 
 Aug 27 2009 	 Good convention hotel 	 read recent bad review , find hard believe stay hotel . I spend seven night convention , can not fault hotel 's convention arrangement ( room , catering ) all . the room ( 509 ) clean comfortable , certainly none rust , bug bad smell reviewer mention . the breakfast room little disorganized food good . bar pleasant . the street noise problem night like fresh air ; traffic heavy . note room far away elevator . 
 Aug 24 2009 	 good weekend London 	 stay overnight trip town pleased choice . hotel conveniently locate ; staff friendly helpful . room good size , usual stuff , although not ' boutique ' hotel standard decor , frank not pay anyway ! downside we high cost breakfast .... go round corner Pret Manger . 
 Aug 8 2009 	 Dirtiest hotel ever stay ! ! ! stay ! ! ! ! 	 bad hotel ever stay ! dirty , bathroom clean arrive , hair stuff still floor well garbage still garbage . two room equally gross ! prepay otherwise would move ! curtain blood not close not dare touch ! look window would swear prison mental hospital ! lobby beautiful not fool ! ! breakfast . check try make we pay ! even though check confirm prepaid ! ? not stay ! easy go bad ! bad location fantastic close Oxford St great shopping ! 
 Aug 5 2009 	 Comfortable Quiet satisfactory 	 2nd stay Thistle Marble Arch ( last one July 2002 ) . recall , nice place . , 2nd trip London , check review , remember 1st experience , decide want stay 4 night . find everything thistle good . arrive early day note check time request & quot ; deluxe & quot ; room prepare . receptionist offerre & quot ; lesser & quot ; room ( 2 single bed rather 1 queen ) want check early wait request . problem , decide wait . provide request upper floor ( 6th floor ) , deluxe room , 1 queen bed . choose room consider & quot ; inner room & quot ; - street view , look center section nothing low roof , drain pipe , window room view , etc . , know not mind . make street noise outer room . room clean , neat , new look nice working order . normally provide & quot ; wash - cloth / face cloth & quot ; , request , bring right we ask want provided day . say yes . charge . purchase & quot ; breakfast & quot ; option something prefer like stay hotel - mostly convenience not look breakfast spot day . breakfast buffett pretty much every one 4 morning . one thing notice & quot ; review & quot ; breakfast situation . many pleasing read . however , not find many issue problem breakfast morning . simple many way - many choice , enough make & quot ; full & quot ; . one thing notice table clear particularly prompt dirty table leave period time sometimes cause & quot ; back - log & quot ; patron look clean place sit . overall , experience breakfast fine . , ... want save buck not mind walk around corner , place get simple breakfast far less hotel price . stay , would definitely opt breakfast option go around area hotel . place get food . hotel location pretty good . 's close bus stop underground station . use underground London town travel . nice exit stop hotel right . be also right Oxford street . one main shopping street London . , satisfied stay would definitely stay . 
 Jul 27 2009 	 Terrible Hotel worth expensive rate ! 	 Thistle marble arch old , run hotel many difficiencie . bathroom moldy rusting , small . shower hardly put water . washrag . iron stick clothe , fridge do not stay cold . bed ( double ) tiny , even though check 2 adult one child . wireless internet Free ! least air conditioner work well ! 
 Jul 10 2009 	 Excellent location - helpful staff 	 book hotel via Superbreaks expensive way . staff reception - Sharon- porter / concierge / dinner waiter helpful . room good , decor little tired Rm 877 housekeeping fine . breakfast poorly organise enough supervision , table relaid quickly , buffet replenish . would not take breakfast option £ 15.95 expensive . however Pre Theatre Carvery really good value- £ 14.95 7 pm 
 Jul 10 2009 	 shock 	 arrive London excited catch show sight seeing . check hotel , family room 3 single bed . woke follow morning sharing bed adult baby lice , cover bite . bathroom grubby mould corner . room change identical one floor , antihistamine cream give we bite , & amp ; refund 1 night , followup forthcoming , 's poor service book . 
 Jul 6 2009 	 good location good perk 	 stay Thistle one night stop long trip . hotel right near oxford / bond street bustling area . number shop restaurant right outside hotel addition snack , coffee , restaurant hotel . breakfast internet expensive Pret manger right corner good eat free wifi . highly recommend alternative . gym serviceable decent tvs variety channel . real view room , could hear sound music festival Hyde Park could good bad . within walking distance Hyde Park , Piccadilly Circus , Herrods . walk three day Hyde Park great respite . hotel smoke non - smoking room well room ironing board , safe , blow dryer . staff knowledgeable friendly problem early check - in . tube station right near hotel , taxi ride airport little pricey ( ~60 pound ) . 
 Jul 6 2009 	 Disorder Thistle get prick ? 	 would advise recommend Thistle chain , personally professionally - overprice , old Level one section , poor customer service reaction staff - own Malaysian , currently lose hotel chain , company , prepared , economic situation , upgrade Level one room match Levels 2 - 8 . also write General Manager Michael Parker - use Thistle resource - make point issue client must follow three day etc etc finally speak Food Beverage Manager , Konstantinos Vais ( incidentally australian - work Novotel hotel chain Australia ) Thistle Marble Arch offer discount ( refuse - want problem fix ) - insist dinner - way apology . take breakfast first day 's trauma bodyhair scramble egg . compile series complaint letter form General Manager , Michael Clark . management : 1.lack electric jug tea make facility room available ; 2.dripping tap old plumbing throughout night ; 3.knob fall Air Cooling Heating unit - allow adjustment fix entire stay result sleepless night - send reception finally leave recepetion ; 4.body hair scramble egg breakfast bar ; * * * 5.intruder room use chair , one window gain access central courtyard , whilst shower -when confront claim clean etc 6.indifferent action / direction staff -Food Beverage Manager refer Australians New Zealanders ' cringe ' mentality stay fine hotel - find offensive etc preparing case resolution variety agency . 
 Jul 5 2009 	 great location nice hotel terrible staff ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 	 book hotel superbreak package one night see take wembley . staff unhelpful mess us room concierge really unhelpful say great location centrl good travel back wembley though along 86,000 people 
 Jun 28 2009 	 would never recommend friend maybe even enemy 	 hotel old desperately need update , please please please ever think go . hotel smelly , noisy , total opposite clean . check disaster , friendly untrained staff give headache . good thing location , condition hotel terrible , moldy wall furniture floor , whole hotel smell like mold . service self , concierge help anything , simply give shortest unhelpful answer ever give telephone number call get information . like live 1 star hotel pay 5 star . anyone WHOS think stay theredontits worth 
 Jun 28 2009 	 Nice could well 	 come back London 5 night Thistle Marble Arch . hotel around corner Oxford Street Marble Arch Tune Station . 's good place shop someone like walk ( Hyde Park Buckingham Palce far away ) . staff , though , friendly . apart two brazilian doorman helpful , big disppointment other - specially concierge rude phone ( leave folder room say dial extension number theatre ticket , say buy ticket get information come ) . pu , buy adapter charge mobile , not customer ( big big mistake ! ! ) . room ok , although could improve bathroom . breakfast , play Sinatra everyday ( good choice , way ) . 
 Jun 24 2009 	 smelly unwanted room mate ...... 	 promise deluxe room instead give family room large inference upgrade . room let well suit someone sense smell hate view . furnishing decor tire frankly smell many people little cleaning simply never air . mysterious bite next morning unexpected souvenir . Breakfast £ 16.95 poor coffee serve thermo flake chrome stain keep . happy 2 star experience 4 star hotel . 
 Jun 22 2009 	 Nice Place 	 Decent hotel . great 200 quid night . location good , near shopping district . couple nice club hotel . room nice nothing scream . room service people charge we 5 quid 20 quid order Tray ! ! ? ask charge tray do not even answer besides that s standard apply large order require tray ! like get keep tray also ! spend one night , hide cost like , smack cheap way loot customer . 
 Jun 17 2009 	 great choice London 	 ' ve come back London say Thistle Marble Arch excellent choice . service good , allow early check - in give up - grade room much big one initially book . location hotel also ideal , since 's 2 - minute ' walk tube ( Marble Arch ) , like walk even take great walk Oxfrod str . & amp ; Regent get Piccadilly sq . safely even evening . what not like , even though use pre - pay telephone card charge 3 pound time get outside line - even eventually not get , even though ask information use pre - pay card , tell charge . even though discount , still think fair . aware ! ! 
 Jun 13 2009 	 great location disappoint tired hotel 	 upon arrival tell room book available full give room 3 single bed smell vomit . complain later move double room . room tired need update . however , stay location right Oxford st . plan spend lot time room want good location like , good option . probably go back . 
 Jun 9 2009 	 good hotel perfect shopping location 	 stay hotel June 6th 7th , 3rd floor , room 318 . locate directly Oxford Street view Primark ! Marble Arch right . perfect hotel visitor wish lot shopping . also , 's stone throw away Marble Arch tube station . at night , noise street not bad expect . little fact . siren police ambulance . it spacious two - bed room , LCD TV , internet access , worthy amount closet space . room , bed bathroom clean tidy , could find fault . the staff friendly , helpful , one worker hail cab we . willing direct room . breakfast room cost extra £ 5 little pay . breakfast include package trip , charge service only . one flaw hotel , arrive reception first floor , escalator stair take . lift take ground first floor - would take first floor . anyone one heavy suitcase , wheelchair pram would struggle . I ' m plan trip London , feel check hotel second time . 
 Jun 4 2009 	 location location location 	 would recommend towner stay hotel . first trip london find everything want easily close proximity . back oxford st ( main drag ) do not cop noise , breakfast include leave alot desire hotel clean surprisingly roomy part world . 2 min walk big bus tour train stn major shop take away outlet . would definatley stay least area ! 
 may 17 2009 	 do not breakfast Sunday 	 pleasant stay hotel last year , book one night . time 8th floor room tired , cigarette burn bed cover discolour net curtain . we take part Moonwalk Hyde Park get bed 3.30 - 4.00am . pleased see Sunday breakfast serve 7.00 till 11.00 a.m. when get restaurant breakfast 10.30 a.m. seat bar area . cereal bowl , fruit juice bacon . couple cereal bowl bring 10 minute . friut juice take long glass . one member party unable bacon run replenish 35 minute there . milk table contain teapot lid stain inside . tea serve cup saucer , one cup lipstick mark . tea undrinkable . while eat breakfast 4 member staff collapse table around we , push chair around room finally hoover . like removal firm in . we move restaurant , seat become available , could talk finished breakfast without bangiong hoovering . we return despite convenient situation hotel . 
 May 13 2009 	 Awesome Location ! 	 hotel charm little hotel excellent location . room well appoint view nothing much offer since get room overlook inner courtyard . the dining room offer wholesome breakfast concierge ( think Italy ) affable helpful old gentlman . kind like grand dad ! not tell though want eat baskin robin ice cream . think ice cream compare gelato . well ! . must add staff indeed helpful sensitive cultural need various traveller . 
 May 10 2009 	 good hotel location 	 Excellent location ! room extremely small tiny ! . hotel staff cleanliness good . 
 May 5 2009 	 nicely surprised 	 spend week hotel late April 2009 . many 3 4 star hotel London first time small complaint . please note hotel fully book week due easter holiday . location superb - nearly everything within walking distance . service almost unnoticeable result - place time . room clean pretty fresh minibar empty . bathroom - clean . noise night . else wish 14 hour day come back room sleep ... 
 Apr 22 2009 	 Delightful Thistle Marble Arch ! 	 throughly enjoy stay hotel ! room nicely decorate , spacious clean . want nothing ! staff friendly helpful . say enough kind thing concierge staff . really go way help we get theater ticket , shop tour city . speak theater , hotel offer fabulous dinner / theater package bargin , do not miss . bravo ! 
 Apr 20 2009 	 great location 	 spend 5 night Thistle Marble Arch March 2009 . hotel entrance Brynston St. back hotel overlook Oxford St . upon arrival . offer upgrade executive room additional 100 GBP allow check - in early room 303 . thermostat room window also open . room spacious , clean row window overlook Portman St . bathroom marble tile also spacious . 2 people room right size ample closet space , desk , table chair small refrigerator . rate include VAT breakfast . breakfast offer egg , bacon , toast , baked bean , cereal , fruit , jam . room clean daily service satisfactory . 32 & quot ; LCD tv 20 channel . concierge duty 10:00 P.M. nightly assist tour answer question . check - in check - out handle promptly . hotel locate central tube line , Bond Marble Arch tube station . marble Arch station 1 block away Oxford St . Bond St. station also allow access Jubilee line . location ideal ; central line direct acce new Westfield Mall ( Shephards Bush ) , Theatre District , British Museum ( Tottenham Ct . ) , St. Pauls Cathedral Museum London ( St. Pauls ) , financial district ( Bank ) , Spitalfields Market , Petticoat Lane Brick Lane ( Liverpool ) . Jubilee line take Abbey Road ( St. Johns Wood ) , change Guard Buckingham Palace ( Green Park ) , Westminister Abbey , Big Ben London Eye ( Westminister ) , bankside visit Tate Modern , Golden Hinde , Millenium Bridge , Globe Theatre ( London Bridge ) . whistlestop Market 1 block away Great Cumberland St. Sainsbury Market Oxford Edgeware Roads . Odeon Theatre also Oxford Edgeware Roads Selfredges 2 block away Oxford St . U.S. Embassy 2 - 3 block south Selfredges . many affordable restaurant around Oxford St. enjoy stay Thistle Marble Arch look forward next visit . 
 Apr 11 2009 	 um easy pick fault 	 give small bed , wall 2 we . busy downstairs . express checkout laugh . try staff need bit training . cosmopolitan staff . goo smile . excellent locstion 
 Mar 23 2009 	 okay hotel hope . 	 stay Marble Arch Thistle networking job conference end January . want stay hotel hold convenience . unfortunately , not hope . room okay , bit shabby say least . double window , window would open window open landing overlook Oxford Street . noise night keep many fellow conference - goer awake . jet - lag not really sleep , siren traffic noise constant . also guest floor think funny run hallway 3am laugh scream , knock door leave trash floor . breakfast probably good thing good spread nice dinning area . elevator painfully slow be busy since stop every single floor . disappoint since stay comparable hotel last year much well amenity nice room similar price . 
