gorgeous 	 Fairmont Mason St beautifully well maintain hotel long colourful history . room large comfortable fabulous city view . lobby fabulous photo story document hotel 's history fascinating . staff great . 
 enjoy stay 	 fairmont live expectation . good quality hotel , great room think good location . first visit San Fran think great area stay . close cable car , Union Square etc . the thing would say bed get bit old . soft friendly back ! still , enjoyable stay . 
 feel like royalty 	 hotel locate good part San Francisco easy access everything . cable car route within block . food fantastic restaurant well . decor make one feel special . 
 Nov 3 2009 	 Classy first class . 	 room small , everything expensive . neat history place , room small . 
 Nov 1 2009 	 nice location 	 stay one week Fairmont , professional convention . room tower section , level 2 . well high level , face golden gate . huge hotel could cater 600 delegate convention . though , ' feel hotel crowd . service quite efficient . location top one hill downhill wharf . nice hotel professional stay . 
 Oct 31 2009 	 high price classic style 	 service fairmont courteous , overall 4 - star little uneven . check desk welcome parking charge clearly explain $ 50 / day additional parking . significant additional taxis , expect sticker shock checkout . appreciative desk check - in upgrade we large suite since child tow . room interior view , extra room appreciate . sheet soft cushion plump plush ... comfortable sleeping . soar lobby spacious sumptuous grand old scale still invite comfortable . also place free guest wifi , enjoy lobby , feel nickle & amp ; dim room not free wifi too . located top Nob Hill area , hotel trolley stop - off , strenuous bracing hike market street . easy walk Chinatown , 15 minute walk soma sfmoma.the main hiccup service wife ignore entrance driveway vip car arrive . comment exactly difference service 4 5 star - 5 star hotel treat guest well time . second hiccup slightly discourteous employee , finally noticeable drop staff responsiveness underdress . overall Fairmont still 4 star . definitely grand old hotel one expect associate quirk , charm , annoyance small elevator . charming , historical , story - definitely corporate chain Hotel experience . 
 Oct 27 2009 	 truly Amazing Hotel - much history 	 stay part Honeymoon . know would beautiful hotel not disappoint . hotel truly stunning & amp ; much history . staff really friendly even get upgrade beautiful view look window could see Alcatraz . room beautiful lovely big bathroom ! hotel 's location excellent long prepared walk hill . recommend read information wall hotel history andall film film & amp ; also famous people stay year . really recommend Fairmont would stay ! 
 oct 22 2009 	 nice small room . 	 overall fairly nice , get good deal book airline package deal . room quite small fan bathroom work . also , mini bar well stock , wow , ever expensive ! think pay $ 6.50 sprite ! bottle evian water $ 8 ! think pricey . lobby absolutely beautiful . staff pleasant overly friendly . hotel steep hill ( Nobb Hill ) , hope like walk ! really birsto , cafe , etc near quite jaunt eat . get back see travel channel Hurricane bar one good San Fran ! miss guess ! 's right basement hotel , use old swimming pool WWII . nice place probably right we . mid - twenty would preferred close Union Square nightlife . like stay quiet hotel history not mind travel action , hotel . would prefer big roomed hotel well price movie / snack GIGANTIC hill , ! oh , bed wonderful ! 
 oct 22 2009 	 Great Hotel - amenity cost 	 PROS great location , right near Chinatown Union Sq . Beautifully ElegantGreat bellhop servicecomplementary shoe shinegreat tv bedroombedroom clean , neat ready immediatelygreat Views Hotel windowsbathroom large nice bathtubvalet parkinghigh - end shopping within HotelGreat Restaurant BarRight California Ave cable car lineoverprice WiFi ( PER COMPUTER ! ) consa little stuffy appearancefood , Valet parking , room service insanely overpricedadjacent hotel noisily protest , Fairmont 's fault thoughclaim swimming pool , really send block another place , pay use ! 
 Oct 19 2009 	 slightly tired Elegance Terrific view 	 nice stay Fairmont , whether love depend point view -- historic grand dame elegantly renovate -- ten year ago .... , furnishing far luxurious average four star , slightly wear top rating . bed , however , good linen Frette -- wonderful . if travel child ; would top choice -- stay waterfront ! Argonaut terrific , fun , hotel kid , far entertain . likewise , young adult , nothing hip cool Fairmont . business adult traveller , location central business restaurant quietly fray -- cheap t - shirt shop Nob Hill ! fairmont truly beautiful historic building . the good thing hotel per se , view -- book tower room ( admittedly old part hotel , still hang historic marble lobby ) . another decent choice room front hotel overlook roof garden , lovely . mean avoid interior room - point stay look grey interior wall ! clear day , go across street Top Mark ( Intercontinental Hotel ) breakfast drink . 
 Oct 19 2009 	 wow ! ! ! Loved Place ! ! ! ! 	 san Fran part honeymoon end Fairmont terrible first night different hotel . mum arrange we stay Fairmont UK . arrival blow away - compare stay night ! entrance beautiful ! give corner tower room 12th floor first night wonderful , amazing view city , second night lucky enough stay suite 12th floor . thank Ana incredible job reception desk truely say make final part honeymoon unforgettable . suite world , view city bay ! wonderful ! say bad word hotel . would love stay ! ! ! thank Ana ! 
 Oct 19 2009 	 astounding city view 22nd floor 	 husband receive room 22nd floor treat astounding panoramic view city stay . clear view city first enter room afternoon . come back dinner , twinkle light city lay we . morning , awoke city shroud cloud building come view swirl mist . keep curtain open entire stay view simply amazing . room spacious - bathroom exceptionally large - ultra clean . stay ask room one high floor - will not regret . 
 Oct 18 2009 	 Wonderful Hotel Spectacular Views 	 husband stay Fairmont last part honeymoon . upgrade tower room 21st floor amazing view bay , golden gate bridge Alcatraz . not think well view anywhere else stay world . our room comfortable hotel lobby gorgeous - ornate glimpse America day go . arrive hotel late first night order room service . although expensive , food good . the hotel near cable car line , although never use expensive always full . hotel easily locate walk main area . however , never walk back hotel give locate top Nob Hill ! not find taxi expensive . we night tour Alcatraz would highly recommend . foggy visit add atmosphere . make sure wear warm clothing cold Alcatraz middle bay . also go Napa Valley Wine tour fantastic . winery beautiful setting come back city via ferry get really good view downtown . we eat Boulevard Restaurant last night good clearly popular . think would need book advance order get table . we love time San Francisco would hesitate return Fairmont . 
 Oct 13 2009 	 Old Elegant 	 hotel hark back day first build . be look modern hotel , definitely . lot marble gold . stay 2 weekend , one high floor room ( nice view , small room , large bathroom ) 2nd time high floor suite ( amazing ! ! ) . peak telescope provide room see detail Alcatraz , Coit Tower , . new property , history continue bring back hotel visit SF next . 
 Oct 12 2009 	 top notch top hill 	 memorable stay luxurious hotel present grand first sight . stay 19th floor tower , overlook city stretch forever city light . room quite large amenity need . food wonderful , though cost cocktail teh lounge bit surprising say least . hotel perch upon hill , take venture Union Square , block steep hill . although choose walk back hotel , streetcar available bring back directly hotel . overall pleasurable experience ! 
 Oct 11 2009 	 Beautiful Hotel great service 	 husband stay first 4 day tour West Coast .. lady greet we check - in friendly upgrade room tower suite fantastic view bay Alctaraz , , even telescope could see right Fisherman 's Wharf .. room excellent , clean large . bathroom fantastic separate shower cubicle could fit 2 people comfortably water pressure great . bath take 4 minute run . join Fairmont 's president 's club , give free internet gym use . however , access room good , not come spend time internet really issue .. concierge helpful question give good restaurant recommendation - try Scomas . try pomegranate mojito hotel bar .. set perfect cable car bus close , make sure buy day pass $ 11 trip cable car cost $ 5 . walk lot place , hill extremely steep . thing miss able swim hotel pool , would definitely stay . 
 Oct 10 2009 	 San Francisco Fairmont - Beautiful Place Stay 	 bring middle daughter special week - end 21st birthday . pick San Francisco , pick Fairmont hope would special place would remember . ' say , 's review : pro : hotel beautiful . & quot ; ah & quot ; factor pretty amazing . room give view Alcatraz Coit Tower . room walk - in closet . bed comfortable . bathroom pretty good . location good , intersection trolley car line . staff polite professional . con : light not work closet fan not work bathroom . maintenance fix light closet ( notify ) not fix fan . staff really helpful , not seem feel pressure provide speedy service , even long line people wait service . , nice stay . 
 Oct 10 2009 	 view ! ! ! 	 stay 2 night king room north tower -- think 's call signature king . 18th floor , could see east Alcatraz Golden Gate bridge . fabulous view lucky enough get great rate ( due economic condition ) great weather . come back room afternoon pull chair window enjoy view . room everything would expect Fairmont . 
 Oct 10 2009 	 Fantanstic 5 * Nob Hill Property 	 Wonderful old restore hotel ( old property & quot ; chain & quot ; ) . great location , extremely attentive staff . walk lobby even not stay . 
 Oct 8 2009 	 love place one good hotel san francisco good 	 really enjoy stay Fairmont Hotel , San Francisco . elegant stunning . locate Nob Hill excellent view San Francisco . it be excellent place relax . thing dislike wall thin , could hear person cough night . other , great definitely stay next time travel San Francisco ! 
 Oct 8 2009 	 True Luxury Hotel 	 boyfriend stay Fairmont recent trip San Francisco . could recommend hotel . call hotel week order cake deliver room first night celebrate boyfriend 's birthday . immediately connect directly pastry chef help design delicious cake ever eat entire life ! room large luxurious wonderful old - world feel . importantly not miss dinner Tonga Room ! fun restaurant . definitely order Scorpion Bowl , ' stay hotel -- be strong ! ! 
 Oct 8 2009 	 nice one exception ... 	 husband stay first trip San Francisco . hotel beautiful say least . complaint , wall extremely thin . hear everything happen entire floor . could person room next , talk , blow nose , etc . really feel privacy non existant . , nutshell , nice , expect hear neighbor vice versa . 
 Oct 8 2009 	 BEST HOTEL SAN FRANCISCO 	 stay Fairmont 2 son ( 3.5 year old , 1 yr old ) one good experience life ! staff incredible accept 2 young child busy prestigious hotel . would recommend anyone travel San Francisco ! 
 Oct 8 2009 	 beautiful elegant hotel 	 Hotel lovely , room quiet . check 11 desk person change reservation end small room single traveler . otherwise , stay wonderful . 
 Oct 7 2009 	 could not fault trip 	 stay first 3 day honeymoon . arrival greet check - in friendly staff . room upgrade internal room tower room beautiful view bay , Alctaraz Coit Tower . could not make we feel special . room excellent , clean large . bathroom fantastic separate shower cubicle always well . check - in staff also make we aware Tonga Bar downstairs hotel rain storm thunder lightning . make good evening entertainment . concierge helpful question . room service great vast choice order . set perfect trolley far away . beware hill be steep even look ! ! 
 Oct 4 2009 	 beautiful hotel great location wonderful trip . 	 stay Fairmont San Francisco 6 day September love every minute . build historic , entrance magnificent service great , like Fairmont ' hotel stay . first room economy one main building . large , old view , still comfortable . aside loud guest arrive late one night , quiet sleep well . change room halfway trip , tower room , great change ! beautiful view , comfortable quiet room , amazing bathroom . service great . particularly appreciate help concierge James ( think ) front desk . drink bar bit overprice , atmosphere great . the location wonderful , intersection two cable car line , short walk Union Square ( much long walk hotel , since ' hill ) . 
 Oct 3 2009 	 Nice Hotel 	 first class Hotel . service usual Fairmont Standard - , good . the elevator slow . many guest conference often wait . overall beautiful building , great location . 
 Oct 3 2009 	 Lovely Hotel Pity abouth Staff ! ! 	 book 3 room Fairmont San Francisco family holiday 14th -18th September . previously stay 8 fairmont hotel look forward stay usually lovely hotel . one exception . build decor hotel gorgeous . room average bed wonderful ensured exceelenct night 's sleep . staff check pleasant bell staff , pity could'n say rude guy direct proceeding front door early morning . almost concierge decent helpful one two could not care less whether help . hotel usual Fairmont standard question whether would stay one hotel USA . 
 Oct 1 2009 	 Old school luxury view 	 gold marble not really style , certainly appreciate incredible bathroom large shower separate bathtub . view room span Golden Gate Bridge Alacatraz Coit Tower breathtaking . bed linen soft luxurious . downfall pillow hard sleep . everything else great . 
 Sep 28 2009 	 Fairmont Oasis madness San Francisco 	 stay fairmont really great time . Learned & quot ; launder & quot ; money . hotel policy cleaning money receive , hold old day Gold Prospectors would come dirty hotel would clean money help keep mine grime . eat dinner tiki restaurant basement hotel . restaurant inspire Walt Disney create Tiki Room Show Disneyland , shortly sit recognize true . lobby grand , hotel limit public area , since San Francisco front porch though significant problem . locate outside chinatown top hill remember decide walk around walk back . weekend Formosa Independence Celebration get take part parade . room well appoint , AC labor . sheet bathroom clean staff exeptional , stay Fairmont Lake Louise Banff property stanard . say able secure rate less $ 200.00 night San Francisco spen $ 160.00 Holiday Inn please . 
 Sep 24 2009 	 Old World Charm Old 	 stay business , good size room , comfortable . 's grand old - world way , also date facility decor . 's nothing young hip . staff encounter perfectly friendly not problem noise . it top Nob Hill make walk challenge direction . walk anyway downhill , taxis plentiful cheap downtown area . do not eat restaurant , can not comment , aside pricy like might expect chain . on whole , nothing wrong Fairmont . 's nothing would say great go back return San Francisco . 
 Sep 24 2009 	 average ! 	 great location ! large plush lobby , though find front desk staff abrupt . watch room give ! ! old part hotel needs update small smelly room view wall , complain move another part hotel well . I find hotel overall disapointing . Though be well establish 's fan ! can not comment food room service not eat anytime hotel . 
 Sep 18 2009 	 great place stay . well comfortable . 	 boyfriend & amp ; stay labor day weekend definitely would want stay recommend other . everybody SF friendly & amp ; good service . 's close Chinatown Union Square . fisherman wharf far , take taxi & amp ; cost $ 10 . please bring map else taxi cab drive around . get fisherman 's wharf pass really good deal , not even finish whole pass three day stay . duck tour really fun . around area Fisherman 's wharf sign , vendor street , be cheap . go Nick 's Lighthouse , crab 's great definitely need eat garlic fry . Oyster 's $ 1.50 . Yum yum . overall , ever go back SF , will drive anymore go around area , take bus , be $ 2 buy snack water chinatown 2 bring hotel room coz room service hotel really expensive water room $ 8 . overall , really great time . 
 Sep 15 2009 	 Fantastic 	 stay first leg honeymoon , tell hotel honeymooner room upgrade free , already exterior room move one high view . hotel grand clean nicely decorate . not eat sure would nice . room clean daily , 3 night . it hill not mind tram stop outside walk like , far union square 40 min Fishermans Wharf . recommend Segway tour electric bike , great fun , hire bike cycle Golden Gate bridge also go baseball game fantastic . we ask hotel taxi Wharf let we use house car free excellent service . a great stay would not hesitate stay . 
 Sep 13 2009 	 fairmont - historic good area 	 husband stay one night Fairmont part Northern California trip . hotel beautiful - hotel inspire St. Gregory 80 's tv series & quot ; Hotel . & quot ; stay fairmont many part country one note lobby history . we check quickly , park car $ 57 / day privilege . room nice , view Grace Cathedral , could see bay downtown . closet room huge . bathroom window toilet not exactly close way , could hear hiss air window frame paint many time . bedside clock not illuminate - grey - like digital watch , result , awakened , turn light see time be . we drink lobby ( Tonga room ) $ 44 one drink we . walk Union Square dinner . also join President 's Club base review TripAdvisor get we free internet . the location good quiet area . would recommend hotel , get price break , - $ 150 . 
 Sep 11 2009 	 get pay ! 	 typical Fairmont Hotel . fairly expensive provide nice atmosphere amenetie . large room comfortable clean . meal , drink etc expensive site , expect Fairmont . prefer high end travel , correct hotel . budget conservative traveller , stay elsewhere nothing cheap Fairmont San Fransisco . 
 Sep 9 2009 	 excellent . 	 stay Fairmont full week , really can not fault . superb staff , great location , excellent room - plenty big enough , even SF . Tonga Room restaurant absolute height cheesiness , really can not beat . negative cafe not great , cable car stop outside rarely use car almost always full ! 
 Sep 7 2009 	 Elegance view 	 second time stay Fairmont . husband attend conference Moscone . book exterior deluxe room . fairmont easy cable car ride Union Square , China town etc . locate Nob Hill view incredible . service hotel outstanding moment greet entrance . check easy join Fairmont 's membership club prior arrival ( fast check priority line ) Membership also include free internet use health club . room huge , bed extremely comfortable . receive paper every day . light bite lounge service food good . pianist playing add ambiance . bathroom wonderful bath product . closet walk spacious enough set full sized ironing board . also build storage shelf . fairmont hotel choice San Francisco surely stay . 
 Sep 7 2009 	 customer service need improvement . 	 nice room - ask Tower high floor . 56th floor noise issue unlike reviewer . hotel pleasant clean room great view bay - extra cost ! staff reasonably attentive though high status smug become . quick reminder pay bill usually elicit desire response ! good situation city offer helpful valet concierge staff . please get Hertz desk man though - try get attention 3 separate occasion apparently staff member cigarette break ! ! ! please ! 
 Sep 3 2009 	 comfortable bed ever ! ! 	 fairmont good hotel ever stay . be say much since usually stay good western - lol ! seriously ..... bed sooooooo comfortable . luscious , soft , fluffy bed ever ! sheet , pillow , blanket soft heavenly . not know great deal $ 102 / not check price get back $ 300 - $ 500 various website , include one book . check could not believe pay little luxury 5 star hotel . bathroom beautiful shower good shower ever take . not usually stand shower enjoy fairmont . showerhead full comforting . mini fridge room . empty put food drink . wonderful place come back long day sightseeing . sleep like baby . hotel beautiful easy get . quite walk fisherman 's wharf downhill . impossible catch cable car hotel . always full never stop . always take cable car back wharf always hour wait - least know would get instead getting diss . 3rd day walk wharf , think stay hotel near look price review not sound hot around . dunno . worth convenience stay wharf ? totally worth stay fairmont small commute away ? judge activite - wharf , alcatraz , golden gate bridge , close wharf hotel . think fairmont worth commute . next time , might try stay wharf convenience feel back fairmont . 
 Sep 1 2009 	 wonderful hotel 	 lucky enough stay wonderful hotel 4 night . location ideal we use cable car get around , although walk Fisherman 's Wharf back twice long wait car mean queue long . walk take less half hour real issue . much prefer quiet location Nob Hill either Union Square Fisherman 's Wharf . previous reviewer state , lobby absolutely beautiful . restaurant also stunning breakfast morning relax way start day . food selection good service excellent . visit Tonga Room , quick drink end $ 70 bill entertainment charge - expensive way spend 20 minute ! repeat . we find staff helpful friendly . also greatly enjoy see old photo wall - reminder Fairmont 's historical past . photo Fairmont stand alone amidst desolation earthquake especially move . we book 2 interior room , arrival agree share room first night hotel overbooke . share exterior room huge upgrade tower follow 3 night wonderful view right across bay . furnishing similar high quality room . we love Fairmont would highly recommend hotel . 
 Aug 27 2009 	 beautiful 	 beautiful hotel , lobby opulent ! , bed heaven , sheet amazing . room service , food perfect , fresh , love . , Tonga Room another story , eat appetizer order , know something , boyfriend , early next morning , become violently ill , vomit etc . stay long order give time need hopefully get everything system . contact concierge , doctor call room , say likely & quot ; bug & quot ; . nice , thank info doc . hotel nothing accommodate we , manager adamant get number contact later see thing progress , never call . otherwise , hotel really beautiful place even not stay almost die food poisoning cost $ 300 night , stop see one beautiful hotel SF ! 
 Aug 22 2009 	 Luxurious 	 get marry Fairmont last year , stay another Fairmont honeymoon , soft spot Fairmont hotel . look online use coupon judiciously , get really good rate . otherwise price would prohibitive . time get good rate online , use suite upgrade coupon , dining coupon ( leftover wedding ) .The hotel beautiful . grand , opulent , gold crystal beautiful fabric everywhere . however , not like labyrinth - layout . easily get lose wandering hall . function room seem cut hotel , although unusual tiki - room restaurant downstairs , would never know unless stumble upon . Fairmont ( another city ) get marry , function room right lobby , wedding could really take advantage beautiful space . SF Fairmont , feel like walk tunnel get function room , good layout party . our suite beautiful , huge , comfortable . large SF apartment . furnishing Fairmont really lift well average business hotel . bed super comfortable , bathroom marble lot towel , soap , thing make stay convenient . suite big we though . one we sit sit room , bedroom , would practically call phone say something . stay suite free . otherwise , regular room would probably suffice . suite would good wedding party , plan lot people room sit relax . Room Service breakfast delicious , arrive quickly ( 15 minute call ) . use dining coupon , tax , surcharge , tip , price breakfast double coupon . future , will eat elsewhere . my complaint slipper room , white fluffy bathrobe hang bathroom long fluffy , stiff crackly -- sign 's hang ( hopefully unused ) previous guest . note Fairmont -- even guest not use bathrobe , please change every time guest check ! hotel top hill , sure wear thick layer go night , wind might literally sweep away . trolley pick right outside hotel center town , not seem run time often . all , grand hotel , highly recommend . sure look deal not pay full price . 
 Aug 19 2009 	 Perfect location 	 lucke hotel use Disney Club point ... otherwise might pay rate would miss great place . right cable car route really plush . everything would expect 5 star hotel . 
 Aug 19 2009 	 glance star . 	 main reason book hotel , mentioned & quot ; Rock & quot ; hotel Sean Connery want stay consider Nicolas Cages offer . not stay suite , one small room . book room British Airways ensure good deal stay , even though find little bit expensive taste , search hotel part San Francisco , offer seem fairly price . we get complimentary upgrade queen size king size bed , nice king size bed huge comfortable . as person fond walking , hotel place absolutely perfect . although would not recommend people problem hill , hotel place top Nob Hill couple steep street go . course avoid taxi . 
 Aug 17 2009 	 beautiful hotel 	 wife 3 couple check - in single night 's stay hotel . staff incredible really work hard hotel guest . one couple 's get room 5:00pm rest we get room decent time . the lobby top beautiful . impressive lot comfortable seating . room locate tower . 18th floor face away water . view nice large window . room comfortable bed unbelievably comfortable . bathroom stately glass enclose shower , large tub , reasonable size sink / counter somewhat separate toilet . house coat provide . tv brand new channel HD . think room excellent . downside room next elevator could hear move down . we use meal service hotel drink bar . wait staff friendly patient . the location hotel nice . $ 8 cab ride Fisherman 's Wharf . they charge wireless internet service . one believe type service include room . turn , able connect someone else 's wireless router sit lobby . I would stay hotel without question . 
 Aug 15 2009 	 ok 	 look forward stay historic San Francisco Fairmont may expect much . lobby impressive - room ok . find staff fabulous ( room service , doorman staff Tonga Lounge exceptional ) ; case , find everyone busy provide level service expect . seem service pay business crowd vacation . ask overnight parking charge hand key valet . 
 Aug 11 2009 	 great start honeymoon 	 hotel perfect . location excellent , room luxurious staff ( Jimmy especially ) could not enough . would go back heart beat . excellent start honeymoon States . 
 Aug 10 2009 	 Average 	 Fairmont still trade former glory , want tread footstep past president , head state dignitary be right place . everything would expect 4 - star hotel more . its location top Nob Hill ideal walk main tourist site - Union Square , Chinatown , Fisherman 's Wharf , etc . even walk Pier 33 Alcatraz cruise ( 40 minute ) . not forget face challenge walk back hill . think muscle toning , moderately aerobic exercise will fine . least bit infirm wheezy forget . actually not mind much , think righteously calorie burn off . there be nothing wrong hotel , , be nothing would tempt we back either . would probably choose one Fisherman 's Wharf , 's lot go , be 30 degree horizontal . a tip . Book Alcatraz online go otherwise might get cruise - seem booked day advance . also , buy 2 - day ticket open - top bus - well worth money . oh , join Fairmont President 's Club go , get free internet access take laptop . alternatively , be small Internet cafe hill reasonable . 
 Aug 10 2009 	 great location see San Fran top hill ! 	 often stay Fairmont chain since location excellent work / sightseeing use get nice upgrade travel work someone 's tab ( sniff , sniff ... miss day ! ) .I stay Fairmont recent San Fran trip 5 night - love Nob Hill area 's reasonably price hotel top hill . Super convenient since 2 major cable car line go right front . lovely historic decor lobby - serve lemon , lime cucumber water lobby yummy ! room bit date Fairmonts ( small bathroom standard room ) , love history chain . plus side , water efficiency not establish shower amazing spray ! ! want modern , place you . customer service good concierge staff helpful . not eat restos hubby go Tonga one night overprice $ 26ish burger quite good . solid 4 * . 
 Aug 9 2009 	 good hotel great location 	 stay recently Fairmont . location great 2 cable stop right outside . hotel old world charm . maybe get slightly old , need refurbishment soon . would stay location . 
 Aug 8 2009 	 Grand Stay Grand Hotel 	 return 4 night stay Fairmont Hotel . primary reason business , since one day conference , eligible conference rate entire stay . leave San Francisco Friday , could get last night Fairmont , book last night Mark Hopkins directly across street ( bellman Fairmont wheel luggage across we ) .The Fairmont 's lobby precursor thing come . spectacular restoration Julia Morgan 's 1907 design magnificent , Laurel Room ( main hotel restaurant bar ) also restore . find check helpful even though room not ready arrive , opt room specially select us conference manager , Sarah Zisman , several pre trip email try seccure last night 's stay . room large , well appoint good view overlook landscape courtyard . main building , really enjoy , although probably well view tower , really glad original building . bed absolute heaven shower really strong . window even open love ! concierge , Nelson always helpful , suggestion great . negative comment housekeep erratic term towel , bath rug , toiletry . seem tip housekeeping , bad service . overall , love hotel . location great three trolley line , would try stay . 
 Aug 8 2009 	 Awesome Views 	 husband stay Fairmont three day recent vacation . first trip San Francisco really enjoy city . fairmont amazing place stay . book tower room lovely . could see mile window . city side tower Golden Gate Bridge visible location . view cost alittle . alot walking also buy three day pass ride cable car , save $ muscle uphill walk back Nob Hill . sure check Tonga Room happy hour . 
 Aug 4 2009 	 grand hotel excellent service 	 hotel locate Nob Hill although high , cable car run regularly outside . travel back summer might involve long wait . room palatial , clean comfortable . could hear neighbour quite clearly however . Breakfast include within package deal Virgin Holidays although hotel unaware . helpful give complimentary breakfast day not even charge phone call make . great breakfast amazing - certainly 5 star cheap either ! suprise room do not tea / coffee facility - every hotel ' ve . tell 24 hour room service available , be make quick cuppa morning . however , great stay . 
 Aug 3 2009 	 beautiful hotel great location 	 Mother , sister stay 4 night mid April . check - in staff recognize mother sister room reserve original part hotle reserve mine tower . upgrade Mother sister room right next mine tower- oh view ! ! ! love come home Fairmont night relax bar night cap ! can not wait come back great hotel . 
 Jul 23 2009 	 wonderful Weekend Top San Francisco 	 town wedding Grace Cathedral , Fairmont block . not normally stay hotel like Fairmont ( little price range ) , ponie dough rest wedding group . the Fairmont awesome . stay original building , room great . feel little small compare Hilton Marriott , seem par old hotel , enough space . room face inner courtyard not much view , not really hang room . I find service excellent , anything , find location ideal . top Nob Hill , beautiful shot Bay Bridge one side . stay tower , will one beautiful view entire city ( joke ) . trolley line , within steep walk Union Square . feel like right middle everything , also seem like far enough away craziness . I would not recommend hotel everyone , look luxurious , relaxed get away SF , could bad Fairmont . P.S . go Tonga room least one drink . San Francisco institution . may love , remember . 
 Jul 22 2009 	 Great View 	 room King 6th floor . view great Alcatraz bay . see dingy rooftop right , distraction let . bed comfy bathroom nice . bathtub little narrow soaking . lobby gorgeous previously state . staff friendly . rooftop garden relax . go Tonga room . make Citizen cake . Google ; near Opera House . great desert ! Joined president club free internet suggest another guest . parking expensive . garage around within walking distance , much price break . great mochas cafe . italian roast Ghiradelli chocolate . cafe easy access get car . able get room rate 199.00 
 Jul 21 2009 	 Awesome tower room city view ! 	 service great ! arrive noon able check right away . would suggest join President 's Club free wi - fi newspaper morning . not eat restaurant ( picky teenager ) , plenty place within walking distance . good thing trolley stop right street next hotel ! 
 Jul 15 2009 	 Classic Hotel nice modern touch 	 hotel nice lobby . lounge somewhat disappointing . go 10 kitchen close . restaurant foodie destination . basement space could use well configuration . recall , enter cafe street . room comfortable bathroom update . highlight take Pilates class fitness centre Sunday morning . since ' m President 's Club member , borrow Adidas outfit . 
