peaceful 	 Beaufort feel bit like home . nice staff , complimentary bar soft drink alcoholic beverage , liitle lounge , quiet street , close Harrods , Knightbridge even Piccadilly . we Junior Suite King size bed , sofa bed rollaway , stay 2 adult 2 teen . bathroom bite small one washbassin . 's charm houses Beaufort settle , guess . 
 Aug 11 2009 	 Poor Value Travel $ $ 	 husband love London stay city dozen time last ten year , stay variety good - quality hotel . disappoint Beaufort Hotel . though bill website small , luxury boutique property , fact not . we book & quot ; superior double & quot ; room , surprised finding room terribly small shabby , cheap furnishing , lino floor press - board wall door . storage space completely inadequate two people . closet hard access door could completely open ( due close bed ) . drawer room end fold clothe cubby provide inside closet . give iron ironing board suppose provide nowhere sight , rumple mess trip . room difficult two people maneuver . husband ask staff correct room , tell & quot ; superior double & quot ; & quot ; hotel room Europe small States . & quot ; reply room unusual european standard get satisfaction . pay advance stick . the room 3rd floor could directly access lift lift stop 3rd floor . go 4th stair , walk way . usually walk - up injure foot transit could really use lift . walk , access via narrow wind staircase warren short corridor multiple fire door -- confusing ( could not help think event real fire , would doom try get maze ) . many time go , sidle past pile use linen , food tray even vaccum clean stairwell . the bathroom large bright tub slippery point dangerous without no - skid mat , husband fact slip get shower . amenity ok use , like soap , conditioner , washcloth , replenish prompt maid write note ( twice ) .basically , room quiet someone move upstairs . person come late keep we awake pacing 2 3 a.m . audible floor creaky noisy . sometimes reawaken 5 a.m. & quot ; Bigfoot & quot ; resume walkabout . presume somebody ill could hear cough floor . result tired last 3 day trip . free drink pleasant boon guest lounge small spend time , drank room . overall effect one claustrophobia . pluse hotel location near museum , restaurant shop . staff friendly pleasant , free wi - fi convenient . however , season enough traveler recognize luxury , whether US Europe , ai not . pay full rate nearly $ 500 US would absolutely sick . got & quot ; discount rate & quot ; still unhappily aware throughout trip could well experience another hotel less . guess pay premium near Harrods ( can not afford shop ) . quaint excuse much -- buyer beware ! 
 Aug 11 2009 	 expect : Great Location .... Great Service 	 good pick we . two grandchild us age 10 year old . jr. Suite # 43 roomy enough bathroom big enough comfortable 6 night . plenty space hang clothe use drawer . free breakfast adequate lunch . location can not beat , near Picadilly tube line , across Harrods , near many restaurant quiet tree line street , away hustle bustle . would stay next time come London . also since everything cost double USA traveler nice free water drink go bed . also free internet lounge . Europe expensive we right prepared ! ! ! ! ! 
 Aug 5 2009 	 nice deluxe mean 	 recently stay hotel - boutique hotel expect luxury , spacious minimalism . also expect somewhere quiet . book deluxe room , big standard Travelodge double , small table two rather plain armchair plus bed . make rather cramp tea room . room service menu offer , although website imply room service available . second night return midnight , advise front door would locked gain access , knock loudly get night porter let we . return room , tea tray still , bed turn room prepare . would expect hotel claim offering & quot ; deluxe & quot ; room . the bar / sit area small , 10 people would full - hence take drink back room , although find later could take downstair basement room . complimentary drink nice range drink offer limited . the deluxe room ground floor , quiet . air con unit outside main window look onto small yard plant pot sort sculpture . bathroom window look onto kind fire escape step low yard area ( think ) communal toilet , hear flush , water run bang door late night . on plus side reception staff friendly helpful , porter smiley friendly . need close Harrods , like sleek minimalistic wooden floor room , hotel may . look luxury , real comfort extras real deluxe experience offer , maybe . 
 Jul 20 2009 	 home away home 	 fourth year stay beaufort annual visit London ; also long ( 10 night ) good . room well - decorate comfortable ( yes , small american standard , want suite , go Brompton Road Mandarin Oriental ) . staff familiar year year ( desk clerk bellman first visit ) , mean recognize we frequently upgrade room . amenity -- complimentary water beverage , extensive breakfast , afternoon tea -- offset price ( pay one meal per day ) . location ( thank proximity Knightsbridge tube station ) can not beat . , beaufort favorite stop ! 
 Jul 19 2009 	 Worth 	 stay several hotel London , one good money . expensive , lot less other perk put top . skip lunch enjoy afternoon tea champagne . open bar real treat enjoy head evening . lobby rather small & quot ; bar & quot ; really sort cupboard reception desk , well stocked . shy despite glares staff take glass room take turn get refill . female staff could use lesson treat guest bite friendly . treat huband inconvenience sit back office chatting . perhaps frequent trip refill least give something discuss . LOL ! location , perfect . easily walk tube stop Harrod 's course get enjoy Harrod 's ! room nice size bathroom huge ! overall , real treat go take advantage extra . overnight London lot travel England ' ve already do tourist stuff . plan sightseeing spending time hotel , stay elsewhere unless get really good deal . really lovely place fantastic location . 
 Jul 13 2009 	 great little hotel 	 husband , brother - in - law sister - in - law stay 4 night May . lovely , warm place wonderful friendly service . nice breakfast serve room , tea service upon request free bar till 11 pm . free use internet also . first trip London we . would love go back would love stay . 
 Jun 22 2009 	 Cream tea champagne 	 hotel fabulous location - Beaufort Gardens 1 minute 's walk harrod quiet , could suburbia . near Knightsbridge South Ken tube station get plenty bus Brompton Road . I think complimentary cream tea bar really nice touch - talk label beer , brand sprit drink , include champagne ice . civilised indeed . proper bar area sit drink , reception comfy sofas busy - although muzak ! free wi - fi good - available throughout hotel , help plan stay . also close proximity many cafe restaurant . breakfast local Pret plenty place splurge not want hotel breakfast . also range dinner option eat locally despite location , expensive . I book room lastminute.com get good rate . think pay full rate , would pleased room . originally give room ground floor spacious not much window - look onto internal & quot ; courtyard & quot ; - like aircon unit something . receptionist kindly move upper room travel someone , would able move round room . comment make review safe inaccessible part wardrobe correct could say mirror . room well maintain , window repair bedside table drawer break . plus side , room clean , bed comfy bathroom big well equipped . plan spend huge amount time hotel ( would London ) , pleasant hotel great location nice staff . not expect lot facility . would stay . 
 Jun 19 2009 	 lovely hotel near shopping museum 	 stay Beaufort London stay trip UK . lovely hotel . small room well appoint , comfortable clean . one block away Harrods hotel cul de sac quiet . tehy open bar lobby 11 pm staff helpful . would definitely stay . especially love restore townhouse homey feel . 
 Jun 12 2009 	 wonderful retreat heart city ! 	 beaufort provide welcome respite busy day sightseeing shopping . quiet , tree - line street step away outstanding restaurant shop , provide easy access many London 's major sight . particularly enjoy open bar provide reception area , could relax , discuss day 's activity , make plan evening . entire staff eager ensure wonderful stay little jewel hotel . 
 Jun 11 2009 	 adult son stay three night think hotel overrate . 	 feel hotel live review . makeover townhouse , room exceptionally small , hardly large enough one , much less two . bathroom make mirror , light poor . Business Centre well appoint pleasant . lobby small one couple seat comfortably . the staff hospitable helpful . blow fuse turn AC , ask use hairdryer . ( not ) . location wonderful , convenient shopping restaurant . quiet bed comfortable , would probably stay . 
 Jun 10 2009 	 beaufort great location beautiful set small boutique hotel good service ! 	 stay 6 night daughter . leave try decide stay Kensington Knightsbridge . glad choose Knightsbridge Beaufort . beaufort right main street . walk many thing , tube , Harrod 's lot shopping , bus , restaurant , etc . hotel room choose deluxe room large , nice London since London room usually small . bathroom nice spacious . great towel robe . room overlook street hotel locate , beautiful view since Beaufort quiet tree line street . staff perfect , way . delicious scone bring room afternoon , desire . complimentary bar 3 - 11pm . choose summer package include continental breakfast room perfect get we start morning . would waste time go . would recommend hotel friend , would return well . 
 May 30 2009 	 Excellent Boutique Hotel London 	 husband recently return 3 night stay Beaufort . locate quiet , charming , residential street , step Harrod 's , great shopping many good dining option , beaufort excellent boutique hotel London . accommodation modern elegance meticulous maintain . nice size , modern bathroom Crabtree & amp ; Evelyn product . ask one room front hotel nice lighting charming street view . breakfast include rate , good ( continental ) . favorite delicious hot croissant every morning ! complementary open bar afternoon/ evening cold drink available ' round clock great value . great selection everything wine & amp ; liquer sodas & amp ; juice . always cold drink available guest lobby computer room . , staff Beaufort GREAT ! accommodate willing help everything . always smile . particular , Svetlana wonderful . check head Paris , realize leave husband 's leather jacket hotel . Svetlana kind enough jacket ship we France ( expense ) problem . jacket within day . really make we appreciate level service Beaufort . truly enjoyable stay . would recommend everyone go London . back sure next time be London . 
 May 21 2009 	 locationclean boutique hotel 	 vife son enjoy stay nice boutique hotel . very clean , excellent service , quiet . all around nice restaurant , near Harrods , Harvey NicolsSloane Street ... etc . 
 May 20 2009 	 Fabulous Staff Excellent Service Awesome Beds ! 	 husband spend weekend Beaufort 50th birthday . staff hotel make truly memorable experience . & quot ; Happy Birthday dog & quot ; greet atop bed upon arrival ( assemble staff bath towel . need see appreciate ! ) get we last minute dinner reservation popular Knightsbridge restaurant , staff deliver flawless service . the hotel locate quiet street heart Knightsbridge . immediate access Harrods , dozen boutique , great restaurant , nearby Tube station excellent bus line . our room , junior suite , comfortable spacious . decor pleasant , 's time update . complaint shower ; minimal pressure never truly hot . comfort bed make shortcoming ! absolutely one comfortable bed ever sleep on . while beaufort inexpensive , consider location , staff attention , complimentary offering ( full continental breakfast , afternoon tea scone , wine drink evening ) , would rate beaufort good value money 
 May 19 2009 	 wonderful stay beaufort 	 lovely , clean , quiet boutique hotel , step away Harrods wonderful shopping area . staff helpful pleasant time . breakfast tea serve room impeccable Wedgewood china welcome plus . definitely stay next trip London . 
 May 18 2009 	 20th wedding anniversary - everything right ! 	 beaufort certainly disappoint we . check - in check - out hotel exceed expectation . location side street & quot ; around corner & quot ; almost anything either leisure traveler business traveler could possibly want . Knightsbridge Tube station couple block away . even & quot ; first - timer & quot ; use tube , favorite way get around London matter minute . Beafort 's central London location , combine 's proximity tube make perfect launch point daily excursion . staff incredibly helpful dining suggestion . reccommendation spot taste . ' ve home matter hour , be already look schedule see return . , be another hotel choice would consider . 
 May 17 2009 	 lovely quiet centrally locate 	 daughter stay Beaufort three night . staff gracious helpful . hotel , though small , feel large . staff make every effort make feel home . close Brompton Rd tube stop , quiet relaxing . room everything one need . absolutely lovely . Nancy Kahn 
 May 15 2009 	 charming hotel welcome atmosphere generous complimentary benefit . 	 quite find centre London 's fashionable Knightsbridge . room small tastefully furnish comfortable bed . bathroom large well fit . powerful shower . room quiet restful overnight stay . staff helpful friendly ensure know complimentry , cream tea serve 3 pm - 5 pm delicous ! plus complimentary drink serve bar 3 pm 11pm- amazing ! hotel two small lounge - both charming although preferred reception lounge . din room breakfast serve room tray , include room rate extra . hotel convenient museum shop situate pleasant road . visit . 
 May 14 2009 	 highly Overpriced b 	 spend 4 night small b & amp ; b . & quot ; hotel & quot ; . beaufort bill top boutique hotel however simply case . great location Khightsbridge staff good , stay residential townhouse . facility speak combine reception / lounge / self - serve bar ground floor . small windowless sitting room computer locate basement . 's ! ! ! small room clean basic . comment regard stay fourth floor room ; bath amenity basic , small selection usual shampoo , conditioner , shower gel body lotion sewing kit 2 bar hand soap . one burn - out light bulb bathroom never replace . half roll toilet paper replenish extra roll place bathroom . USD325 / night , simply acceptable . floor board noisy room small , soon walk bathroom , sqeaky noise avoid . small safe locate floor wardrobe use hand knee . basic wardrobe plain shelf . tv small computer - type monitor need replace proper size lcd tv . one day get couple chocolate , another day . go basement use internet surprised see hotel supply store corridor . nice open bar set - up small reception area afternoon tea scone good . beaufort nearby plenty restaurant . highly recommend Brompton Bar & amp ; Grill upscale continental well Cafe Rouge Frehcnh bistro fare . Room Service come nearby outside restaurant . we would return & quot ; b & amp ; b & quot ; prefer typical & quot ; hotel & quot ; facility match . 
 May 5 2009 	 lovely hotel 	 visit easter weekend . coffee , Tea , open bar delightful amenity . also receive complimentary & quot ; Easter Egg & quot ; room . Roomy accomodation , update bathroom , near Harrods tube - all good value city know top expense . 
 Mar 31 2009 	 Charming Lovely 	 husband & amp ; return London spend three wonderful night Beaufort . charming , lovely boutique hotel perfect location incredible staff assist need . exact hotel 1 block Harrod 's . lovely room look like almost brand new . clean nicely decorate . lovely fresh flower room every day . booked & quot ; King Deluxe & quot ; room . room nice size lovely modern bathroom fifth floor . quiet sleep well every night . would say room quite large european standard . king bed ( comfortable ) cozy little sit area small couch coffee table . also nice writing desk room little alcove mirror . room always freash clean return every evening . one good thing beaufort breakfast bring room every morning , afternoon tea open bar liquor include cost room . many hotel complimentary bar ? nice option . always wine , champagne nice variety spirit . forgot mention delicious homemade scone serve afternoon . melt mouth . return one afternoon look tired first thing say front desk & quot ; may bring hot tea scone room & quot ; . course say yes . Lena & amp ; Svetlana front desk helpful make dinner reservation we get we theatre ticket good price . can not say enough staff Beaufort . wonderful ! ! make we feel welcome make trip London special . as travel agent would recommend beaufort client definitely stay next time trave London . 
 Mar 22 2009 	 Perfect Stay 	 travel London long weekend two friend . share double room extra bed still plenty room . pleasantly surprised see never ask third set anything . enough towel toiletry replace day . basement floor lounge floor nearly ; almost like two - room suite . drawback work do outside window quite noisy . beaufort 's afternoon tea ( include ) wonderful ! serve room ( could lounge , also ) . pot tea , milk , fresh scone , jam clot cream . relax afternoon break , indeed ! Day night , could help drink include room price . fridge lounge simply help whatever would like . ( fridge stock water , sparkle water , sodas juice ) alcoholic beverage also available evening . breakfast serve room morning . Coffee , juice , cereal , fruit toast include . pay add egg cook perfectly . the location hotel fantastic . step Harrods boutique Knightsbridge well tube . convenient . three woman travel alone feel safe , even walk home late night . this bargain shopper , good price get . would recommend hotel anyone go London . 
 Mar 16 2009 	 Location Location Location 	 stay Beaufort Mar 7 thru March 15 , hotel great experience , small boutique hotel , service impeccable , breakfast great , scone tea service wonderful . offer free drink 3 - 11pm . wonderful experience would 100 % recommend hotel . location superb , one block tube station one block Harrods fabulous Sloane street full high end designer . great value worth money . complaint lack television station view , really travel watch television . 
 Mar 16 2009 	 Oasis Kensington 	 Beaufort Hotel , Beaufort Gardens , hundred yard Harrods , centrally locate peaceful location . hotel clean , staff attentive need accommodation brilliant . hotel offer complimentary cream tea day 3.00 5.00 pm . free bar offer alcoholic drink 3.00 till 11.00 pm , soft drink day . continental breakfast nice either serve room extra cost resident lounge . small hotel , favour give nice cosy feel . 
 Feb 10 2009 	 lovely hotel great location ! 	 partner stay Beaufort 7th Feb great experience . when arrive find room upgrade suite 5th floor ! although large expect , still decent massive bed comfy ! thing stop rate hotel 5 * 's quality room luxurious imagine website . say , decorate contemporary style clean , cosy relax ! try amazing complimentary afternoon tea homemade scone come freshly bake - delicious ! free resident bar 3 - 11pm reception area could help wide selection drink include champagne ( pink+white ! ) . alone , make good value money ! thestaff friendly , attentive unassume top second away Harrods - perfect ! 
 Feb 6 2009 	 one Londons Best keep Secrets ! 	 return weekend London stay Beaufort Hotel wonderful time ! beaufort lovely small hotel excellent service minute arrive leave . never want leave hotel go shopping show , short time , . afternoon tea one well ever breakfast room overlook square lovely experience . also like although staff , never bother we yet help ever need anything ! wonderful stay would give BEAUFORT HOTEL 10/10 definitely go go back whenever arrange trip London . 
 Jan 28 2009 	 not look elsewhere 's good ... 	 3rd trip London , always bad experience hotel , always expensive enough & quot ; nice & quot ; ... one definitely well young swiss like . stay girlfriend , be 20 year old love place . 's lovely couple young people , be close Harrods great place . be sale time , be serve . check special offer , always interesting thing buy directly website ( pay 20 £ booking website , 50 £ voucher harrod ' ve uprgrade junior suite free .. ) thank : - ) 
 Jan 13 2009 	 lovely hotel 	 Beaufort propably perfect place stay London . beautifully furnished , clean , good bed , large bathroom . Hidden quiet cul de sac Brompton road 5 minute Harrods Knightsbridge tube station . let us forget complimentary drink ... 
 Jan 11 2009 	 pleasure stay herer 	 pleasure stay wonderful hotel last week , albeit one night , disappointed , reception desk facility faultless . the room warm bottled water choc biccie . room spacious , bathroom huge , lovely towelling robe . the afternoon tea sumptious home make scone . free bar , pay extra alcholic drink , soft drink include . business centre free internet access nibble olive etc room ...... staff friendly ......... overall wonderful expereince plus two min walk Harrods Picadilly line .... certainly stay 
 Jan 7 2009 	 favorite London hotel 	 stay Beaufort week 2007 2008 absolutely love time ! staff always friendly , helpful , service tea scone ( include room price ) breakfast ( also include Christmas special rate ) prompt courteous . breakfast tea / scone absolutely delicious ! could recommend hotel highly ! staff help we plan thing restaurant go week Christmas via email . two block Harrod 's . really imagine stay anywhere else London . 
 Dec 1 2008 	 beaufort delightful 	 lovely , quaint , comfortable place first visit London daughter . would definitely stay . 
 Dec 1 2008 	 Good Small Hotel Good Location 	 nice small hotel 29 room , locate Knightsbridge block south Harrod 's quiet cul - de - sac . hotel inviting , personal service nice young staff . clean well - decorate . tea free drink available lobby lounge 3:00pm . small lounge / reading room downstairs , free coffee computer read e - mail . the hotel locate two connect townhouse , make interior full small passageway somewhat confusing interior layout . basic room rather small , large modern bathroom . Room nicely decorate , everything hotel clean . the location quite good , Knightsbridge outside door : Victoria & amp ; Albert Museum , Museum Natural History , Kensington Palace Park , etc . find several good moderately - price restaurant near - by . 
 Nov 18 2008 	 Perfect Boutique Hotel 	 spend one week wonderful hotel ! one two couple stay , honestly say four we pleasantly suprise amenity courtesy recieve . Svitzlana ( asst mgr ) make reservation , give we travel advice , book train ticket , give wonderful advice local pub , important part reason love stay ! every employee concern comfort extremely friendly ( thank , Svitzlana Uri ) . lobby area ( bar locate ) always full nice people meet many interesting traveler . boutique hotel , locate lovely tree - line cul - de - sac , quiet traffic noise . centrally locate , problem get anywhere underground foot . our room large , clean comfortable , even though walk stair 4th 5th level , lift go 4th floor . problem ! can not compliment staff enough , definitely stay . thank Beaufort Hotel ! ! 
 Oct 28 2008 	 Hollyday London 	 hotel cosy atmosphere . service good , localization fantastic , save money transport . employess lovelly helpful . 
 Oct 26 2008 	 beautiful beware basement room ! ! ! 	 return weekend Beaufort whole agree review . it truly beautiful hotel , well locate little extra complimentary bar cream tea ( delicious ) .However would advise anyone check room allocate confirm booking . room 4 small basement room , room bedside cabinet one side bed . small window look onto ventilation shaft drain pipe unable even tell weather like . mobile signal non existant - important left child relative . one fresh flower room two dinner sized chocolate . bathroom lovely , however floor bedroom & quot ; cheap & quot ; , poorly lay laminate , bed comfortable one throw bed stain . able hear guest room 3 use bathroom facility guest lounge talk late night . ask change room apparently hotel fully book . all say great hotel avoid basement room 
 Oct 24 2008 	 enjoy Beaufort Hotel great location ... 	 return London wonderful stay Beaufort Hotel Knightsbridge . comfortable , welcome staff . the room small american standard nice . would prefer well control temperature , opening window work fine . free bottled water room , chocolate evening nice turndown service . still crazy english shower alright hotel . like bit water pressure though nitpicky . we stay third floor back hotel view roof top . one word claustrophobic , elevator , small . two people maximum luggage ... believe room . work fine staff bring bag . nice extra 's , cream tea afternoon include , wine beer evening include , use computer lounge could print boarding pass . the hotel take good care we would definitely return . 
 Oct 10 2008 	 Excellent location 	 Excellent location , great staff , excellent value money . f lookig casual friendly atmosphere , 's place stay ! will back sure . 
 Oct 9 2008 	 great ' Special Day ' 	 third stay . well worth cost special occasion anniversary come London , go show visit Harrods . - Food ( Breakfast / afternoon tea ) top knotch plenty nice touch . 
 Aug 14 2008 	 great short break 	 well price , small Hotel exclusive shopping area Knightsbridge London . room small size stylish design amenity . run helpful , cheerful courteous group people . stay certainly add enjoyment short break London . 
 Aug 13 2008 	 beaufort well 	 stay Beaufort Hotel last week . our stay wonderful . the hotel 's nice , clean , front desk 's excellent , helpfull , give recommandation anddirection . room beautiful quiet . if come vacation work 's nice stay peaceful street . the location well . right next Harrods , ready shopping ! ! back atThe Beaufort recommend hotelto everybody want unforgettable stay London . Ilaria Gabbrielli - Marco Donati ( Florence Italy ) 
 Aug 10 2008 	 absolute luxery ! 	 recently stay beaufort mine partner anniversary ! ! moment get beautiful peaceful , romantic music playing room enter ! love much wish not book go see lion king thearte , want relax ! complimentary bar amazing , sip champagne go . stay 1 night wish could stay . absolutely enjoy stay . 
 Jul 28 2008 	 lovely charming friendly helpful 	 daughter stay beaufort two day July , staff make we welcome , room small ( expect ) comfortable . great bathroom ! tea lovely . staff make we dinner reservation , show reservation etc . would highly recommend beaufort anyone . Location PERFECT ! ! ! can not wait return long stay ! 
 Jul 3 2008 	 welcome small hotel Knightsbridge cream tea bar 	 really enjoy one - night stay Beaufort . get warm welcome arrive show comfortable room . reception give helpful suggestion might go dinner . hotel run open bar return pour generous whisky retire bedroom hot bath bed good book . the follow morning breakfast delicious freshly make omelette deliver room time would specify . manage squeeze shopping schedule relieve able go back hotel afternoon complementary scone tea ..... scone delicious even ask recipe . this small hotel homely feel close Harrods . staff helpful checking find parking space . thoroughly recommend . 
 Jun 9 2008 	 London Visit 	 Booked IAPA enjoy night stay much . nice room - complimentary drink , tea / scone breakfast include . son inlcude complimentary drink . comfortable small room wi - fi large bathroom . staff efficient pleasant . 
 Jun 9 2008 	 great little hotel 	 travel family , book junior suite ( 295 pound / night ) use sofa bed teenage daughter ( extra charge 40 pound ) . perfect choice 2 night busy shopping & amp ; theatre weekend London . love hotel , be easy - go style hotel . like flashy luxury 5 star style , look somewhere else . positive : request room high floor , view away lift take account . room 43 overlook Beaufort Gardens cul - de - sac situtate far away lift possible . room pretty small junior suite OK London standard . nicely decorate trendy cusion nice darkwood modern furniture flat screen tv . location excellent , 1 minute away Harrods busy Brompton Road remove noise quiet . sleep window open not get disturbed traffic . complimentary ' bar ' ( = help youfself fridge / cupboard lobby ) nice touch instead expensive in - room minibar enjoy glass fresh white wine - bring room - upon return busy day . reception staff friendly , smile efficient help restaurant booking , taxi etc . negative ( although minor ) : first night come back dinner find sofa bed prepare . call reception , housekeeping arrive literally within 2 minute fix - big deal . housekeeping staff apologetic . the bathroom bite cramp side could refreshen ( paint peel corner furniture ) . also , much cupboard space 3 adult - enough short stay though . Breakfast include add 8.50 / per person basic choice . also breakfast room small . opt breakfast one many coffee shop Brompton Road - good choice , convenient mcuh cheap ! 
 Jun 3 2008 	 LOVED BEAUFORT 	 find hotel comfortable , unique quaint . locate quiet side street , close harrod , restaurent , museum etc . staff fantastic , take good care we , easy feat eleven ( family trip ) 
 Jun 3 2008 	 fine hotel suite suite ? 	 stay Beaufort Hotel Knightsbrige 2 night past weekend .. staff friendly helpful , room clean , hotel fantastic location want middle London around corner Harrods Harvey Nichols without usual traffic noise would expect . the issue book king sized suite virtual tour website suggest significantly big actually . ( choose two child ) sleep sofa uncomfortable ever see really cheap internal design . £ 375 per night disappoint would recommend hotel couple look lovely location cost issue . 
 May 4 2008 	 Perfect Stay 	 absolutely love hotel ! modern , clean , customer orient . homemade scones tea lounge relaxing plus evening cocktail drink fabulous especially sight see London 4 year old 7 year old . location perfect ! must stay great value . 
 Apr 30 2008 	 centralelegantfriendly 	 go holiday london recommend well hotel beaufort knightsbridge.so central .. easy access , friendly staff.upmarket modern finishes.extremely comfortable.highly recommended.5 
 Apr 29 2008 	 come back 	 last June stay beaufort throughly enjoy stay . firstly location hotel brilliant , right heart london town . but importantly impressed service tranquilty hotel . room cosy remind home . internet room ( apologise management take advantage free flow drink snack provide , feel home feel ) easy access . scone delicious well . I head back London June beaufort choice stay . thank guy everything see u soon . 
 Apr 21 2008 	 overprice shocking customer service 	 optimistic book stay Beaufort Hotel . location can not fault , hotel not quite execute 's great idea . the staff aloof tell check breakfast include rate - short £ 1000 three night ! carry stay , hardly take advantage drink lounge , small preferred stay room . our room basement lack attention detail . complementary chocolate - whilst correct little misleading . really say one small square chocolate ... breakfast room comment one another , glad include - would never pay include tariff .... check present bill £ 75 three morning breakfast . shocked , explained tell include otherwise would eaten - London exhibition business already find excellent , value money eatery near Earls Court . the receptionist not seem know deal issue leave hotel , request credit card charge £ 75 dispute . since , hotel manager imply liar , create situation order avoid pay substandard breakfast ! also tell rude walk without pay - complete fabrication ! read many review book hotel , would like advise traveller think carefully book stay beaufort - much well value money available , high standard customer service , will not grossly insult ! 
 Mar 26 2008 	 excellent place excellent location Excellent people 	 really excellent hotel . kind hotel suppose stay travel London . room big enough . breakfast excellent . staff lovely discreet . window room didn´t close properly wasn´t obstacle enjoyable weekend London 
