great 	 £ 95 night two people great value hotel . get hot breakfast include price.great locaton 10 min walk Macy 's empire state building 1 block subway . newish hotel bathroom etc nice clean , modern room wiht flat screen tv . 19th floor fab view city skyline.would recomend hotel age group , clean , modern great value money . 
 great hotel great location great price ! 	 girlfriend , another couple stay last trip NYC . decide Hampton Inn Chelsea due good review see it . the hotel clean , first thing be important . 's also quiet location block away subway . 's convenient location whether be walk take public transit . and price great ! would definitely stay another trip NYC . 
 Sep 18 2009 	 go - to lodge NYC 	 year , not review NYC crib ? selfish sharing place usually stay NYC business travel ? Forgive hide Hampton Chelsea silo . ' ve stay practically since open , good reason : well lodging price accessible neighborhood New York City . help NYC client nearby , give good proximity subway could client Far Rockaway Staten Island Hoboken still stay here . the excellence consistent adherence Hampton standard , even crazy / pricey Manhattan environment . sure , room small ( Tip : be solo get queen bed room , will appreciate extra space ) clean thoroughly , get Hampton amenity ( especially bathroom ) free brekkie Hampton standard ( unless come attendant overwhelmed , sometimes happen , understandable ) . hhonor unfailingly give high - floor smoking room , great view either side . Jeez , check - in easy ' m practically look handed key card . I would think stay nowhere else Chelsea , business otherwise . btw leisure trip really enjoy part NYC good chowish resto , nice cocktail spot ( especially Rainbow Lounge ) humanly - scale ambiance place Manhattan . please consider stay , not go ... keep room ! 
 Sep 17 2009 	 great hotel - good location 	 stay Hampton Inn 7 night visit NY . nice experience , staff helpful location excellent . easy get around : good starting point taxi ride whereever go city several subway stop around . room nice spacious ( NY room normally small ) . three people share , extra bed put problem . breakfast ok , include price . overall good hotel , def recommend . stay next time NY ! 
 Sep 16 2009 	 Fantastic hotel . not miss ! 	 hotel excellent . room lovely clean service excellent . love , doubt surrounding little soon enthral place . free breakfast , coffee , tea internet access 24/7 . staff helpful location well think . go NY stay . will not regret it . on opposite side road seedy lookng flea market . go will spend hour amongst great character New York . feel safe walk street UK , enjoy hospitality ( even can not make decent cup tea ! ) book room . 
 Sep 8 2009 	 Awesome Stay ! 	 Hampton Inn Manhattan Chelsea GREAT ! location perfect everything ! free breakfast huge bonus ! also , room 3rd floor ... spacious room ( 2 queen bed ... one one niece ) clean bathroom adequate room bag ... stay 4 day 3 night ! originally , ask cityview , 3rd floor ( early check - in problem ) good enough especially since 2 elevator , will not stop often , plus cityview can not great tall building around . staff super friendly ... even forget hairspray toothbrush , even extra amenity available complimentary ! subway station around corner ... lot ot restaurant , delis , convenience store nearby ... walk distance plenty tourist venue . first visit ... definitely last ... much stay location ! LOVE NYC ! positive know be go to walk ! : ) 
 Aug 26 2009 	 Perfect everytime ! 	 return 5th stay 2 year ( 6th one add December ) decide put new review . come Holland travel US allway perfect getaway . nice play stay good price also contribute experience . check - in : quick , prepaid room give electronic key free wifi code . staff vey friendly helpfull ( esp Dion Howell ) room : picture traveler show detail room look like . clean , nice bed choice pillow . mind , neat / clean freak can not stand dirty room . there minibar inroomsafe . airconditione , heating unit coffeemaker also present . 2 room king bed plenty space . 4 2 queen room might bit tight . also new fact upgrade tv 's flatscreen ( present december 2008 room ) cable channel hd well . the breakfast : standard Hampton hot meal breakfast egg , meat wafel . also muffin , cereal , fresh fruit etc . also special bag take - away breakfast . lot US hotel breakfast nice bonus . the surrounding : good location subway line stop 23 street ( hotel 24 ) . always 5min away line need . good restaurant walk distance lot popular attraction ( time square , soho , herald square , empire state ) walk distance . see complaint reviewer area bite dark sketchy . yes , dark appealing area still safe allway people walk . hotel begin street 6th avenue allway well lit . also convenience Wholefoods market street another supermarket end , good deli 's , plenty drugstore / pharmacy course 2 starbuck . as see positive . negativ point will not prevent stay : - sometimes long wait 2 elevators.- inroomsafe minibar- icemachine often not work- many complimentary pc 's . notice 2 enough . all highly recomme place ! stay NY hotel wel pricerange /class gem . 
 Aug 22 2009 	 Loved . 	 Hampton Inn Chelsea great location . be within walk district Times Square , Soho , Flatiron Districts . everywhere else get subway , block away . room spacious NYC clean . coin operate laundry washing free internet . not laptop use 2 free terminal foyer . breakfast free every day staff friendly . would recommend place sure . 
 Aug 19 2009 	 Hotel Fine . location ? fine . 	 not want unfair review please read entirety . hotel good . ns room king . room fine , small 's typical NYC room . bed comfortable entire room clean . free hi - speed internet room helpful . furnishing new nice . large flat screen tv room nice touch . offer free breakfast morning great . variety cereal , fruit , danish , bagel , egg , waffle breakfast meat available morning eat area clean big enough accomodate lot guest . main concern - location . hotel Chelsea really like Chelsea . 's nice change hustle bustle Times Square part city really 15 block walk site . hotel pretty dark street 6th 7th Avenues . be pretty much thing exception antique store sort garage right across street ( appearle view room window ) . one morning , leave pretty early get appointment find horror , 3 rat play trash across street , dart garage . ' ve stay NYC 3 4 time never see although know . location hotel unfortunate . not mind sort thing , mean stay . however , suffer rat / mice phobia , probably want stay much bright hotel populated street . 
 Aug 14 2009 	 great stay downtown New York 	 stay two night Hampton Inn . we make reservation two Queen bed room none available check around 7pm . offer we two room instead amount , one queen bed King size bed . fine we . expect pay $ 45 valet parking around $ 25 nearby parking . able park free street right front hotel Sunday run weekend day probably certain period . the breakfast great staff helpfull . would definitly go Hampton Inn . 
 Jul 16 2009 	 Great Location Great staff 	 hotel wonderfully locate Central Park Financial District . many subway line side block . the staff extremely helpful accomodate request . expect room quite small nothing unexpected . clean well organized . never long wait elevator . typical Hampton Inn buffet breakfast also expect , nothing fancy plenty option available . there many good restaurant nearby , inexpensive expensive . also Whole Foods grocery store block particular taste . all great hotel great staff great location . 
 Jul 15 2009 	 love Hampton Inn Chelsea - will back 	 Hampton Inn perfect stay New York . travel toddler , need little basic . request crip book hotel three month prior , sit room upon arrival . room clean comfy , WiFi , Cable TV , nice bathroom tub . enjoy breakfast far well expect , serve 6 10 . great be travel toddler might wake hour hungry hour . find staff friendly helpful . . rate $ 200 double room seem hard beat . 's no - nonsense hotel would recommend everybody - young people , old people family . 's particular & quot ; New York & quot ; feel hotel , Hampton Inn situate within wake distance almost everything - Flat Iron , Village , SoHo Meatpacking , would want experience New York hotel ? definitely stay . 
 Jul 12 2009 	 right ! 	 need place stay near FIT ... exactly need ! .. 3 block quiet street , west 24th close everything ! .. stay 10th floor , clean hotel & amp ; room , spacious Manhattan ! great breakfast , .. good every morning , place pack guest willing share space .. stay 3 day definitely back ! staff helpful accommodate ... thanks great first experience NYC ! 
 Jun 29 2009 	 Fabulous Time ! - good hotel money ! 	 husband stay Hampton Inn Chelsea four night begin June . fabulous time NYC . hotel great ! locate quiet street , around corner subway station block great restaurant eatery . always feel safe , despite come back late number night . staff helpful direction question . drawback room bit small . however , NYC , not spend much time room anyway not bother we . overall fabulous time Hampton Inn Chelsea ! 
 Jun 18 2009 	 good location 	 another reviewer remark , prettiest street , certainly quiet , major traffic . 14th floor . room two double bed great deal walk around space . major beef three week send fax request refrigerator , say must . receive anything say would guarantee . check note ask fridge , expect get one . stay 7 night 3rd REQUEST 3rd day gave realise ever go one . check inform receptionist happy say make amend could voucher free night Hampton Inn . breakfast good value . not wish eat hot food , consist either sausage patty / piece sausage , egg patty , corn fritter , fresh fruit salad , cereal , toast / bread , pastry , juice , soft drink , tea coffee . locate close subway within walk distance several sightseeing 
 Jun 9 2009 	 surprisingly good choice .. 	 ' stranger New York stay many hotel luxury budget honest Hampton Inn Chelsea choice . however praise hotel enough . ok .. luxury bit moan view hotel room dull make like hotel much simple detail . firstly room .. nothing special clean , bright spacious ( UK standard ) bed large comfortable lot pillow cosy duvet . rarity US ; breakfast buffet actually include price although nothing amazing cereal , fruit , croissant etc please european guest least . something impressed fact tea coffee available 24hrs free charge long day shopping sightseeing nice come back hotel chill nice cup tea . staff also helpful friendly . stupidly leave bag taxi Newark airport reception staff extremely helpful making sure get back , even mean trip Newark city hall would never recommend non american . finally location .. hotel within walking distance Times Sq , Soho , Union Sq main shopping street .. overall .. complaint ! immediate area nothing special seem safe enough . so 4 star .. well already moan view … bad point noise corridor small .. could hear every door open ( slam ) shut well clean violently vacuuming morning . honest .. spoil stay would chose hotel . 
 May 28 2009 	 convenient comfortable good value 	 street not pretty quiet hotel 's location safe convenient public transport . staff friendly efficient . room spacious clean comfortable bed . breakfast include rate - high quality substantial varied find something like . hotel laundry guest use - convenient long trip . would definitely stay . 
 may 11 2009 	 Good Hotel good location 	 ` return hotel recommend enough . absolutely problem whatsoever . staff friendly helpful , room nice indeed breakfast complimentary standard . also free wi - fi available room . if hyper - critical might point lack bar slightly disapointe , many bar within easy walk distance , indeed local attraction Madison Square Gardens , Times Square Macys . I say really enjoy stay . 
 Apr 19 2009 	 great value 	 great stay . good size room , spotlessly clean , maid every day.booke king size bed really king size . breakfast include price save we hundred quid.free internet provide make easy checking restaurant , direction , tour etc.hotel situate quiet area within walk distance mid town , broadway , empire state , madison sq gardens , greenwich west villages.very little street noise hotel night , like midtown hotel in.overall great stay make holiday 
 Apr 15 2009 	 great value NewYork City hotel add bonus complimentary breakfast . 	 Booked Travel Republic stay hotel Easter 2009 . two adult two teenager share twin queen bed room clean quiet . bed extremely comfortable linen change least 5day stay . fresh towel every day . extensive complimentary breakfast great bonus avoid need seek breakfast elsewhere . there variety restaurant locally situate - Olive Garden Outback Steakhouse name two - well several fast food outlet eat locally evening problem . locate 1 mile Times Square 1/2 mile Macys Empire State . JFK 23 Street Subway station ( two block away ) take less 1 hour use Air Train link cost 7 dollar staff Jamaica Station offer assistance . good course large luggage . although close main attraction hotel Hampton Inn Chelsea provide good quality , clean , quiet comfortable en - suite family room ( 4 people ) , include breakfast , price little charge budget hotel share facility . definitely use next visit Big Apple . 
 Apr 8 2009 	 good location Chelsea / Flatiron 	 good price good location Chelsea / Flatiron district . never get wireless internet work laptop , cable connection fast enough . room fairly small , typical NYC non - suite . clean bed comfortable . breakfast good , egg , sausage , cereal , etc . fitness room weight cable machine , stairmaster , cycle treadmill . only couple block 1 subway NRQW line . Madison Square Park block away famous Shake Shack burger stand . also , try Waldys pizza 6th b / w 27th 28th . awesome wood - fire pizza . whole food also corner . 
 Mar 31 2009 	 Fantastic Hotel ! confortable central great decor friendly staff 	 I´m Oporto , Portugal , go hotel 3 friend stay 5 night , large room , two queen - size bed , confortable , great city view free wireless internet room . hot breakfast complete . always different type coffee choose , fresh fruit every day , several cake . this fantastic central Hotel ! ! Hampton Inn newly construct twenty story high rise contemporary decor high tech amenity . nothing negative point hotel … the staff friendly , courteous , always ready help ! ! would like come back New York City Hotel ! ! : - ) 
 Mar 24 2009 	 Helpful Homely 	 Fiancé , together two friend return 4 night stay Hampton Inn Manhattan honestly say nothing negative report . fault hotel way - staff obliging , friendly , courteous knowledgeable . upon enter hotel always friendly face greet we . happy help query certain landmark get ; even order return taxi airport free charge ( taxi also turn limo price ! ) room cosy huge , extremely comfortable bed brand - new television . maintain high standard clean daily , make spotless . soundproof fantastic hardly hear hustle bustle outside . I believe complaint relation free breakfast completely unfounded , especially since free charge . variety unbelievable - croissant , muffin , many variety doughnut , egg , omlette , sausage , salami , toast , fruit salad , yoghurt much . breakfast constantly replenish always fresh - time sit eat breakfast , hotel also provide complimentary breakfast bag lobby . the hotel provide wi - fi free charge two computer restaurant area patron utilise . great last minute search check email . the area fantastic close proximity Madison Square Gardens , Macys Empire State Building . thank much hotel make stay absolutely perfect . 
 Mar 18 2009 	 Awesome deal Priceline ... hotel fit bill 	 willing within neighborhood New York recent trip . go Priceline choose 2 star higher take hotel . exactly want stay . room overall clean . comfortable bed . free breakfast next morning pleasant surprise ... plenty selection , include belgian waffle . downside fact give small room one bed ( give Priceline room New York hotel , ' m really go upset ) . book directly Hampton , would recommend ensure kind room want make reservation . overall , good selection ... even make ! 
 Feb 16 2009 	 Good Business Hotel 	 stay 9 night week . pretty good folk room consistent . ' ve stay many different Hilton property Manhattan always seem come back . business traveler like breakfast proximity couple mellow bar great movie theatre . come family would go Doubletree 51st Lexington ( want Hilton property ) 
 Feb 13 2009 	 ok great though 	 attractive , relatively new property Chelsea definitely begin show wear prematurely ( well be less stellar management ) . room fairly large NYC standard price / class free hot breakfast welcome bonus . bedroom / bathroom furnishing modern comfortable . got good rate time , worthwhile . Chelsea location great opinion , although block hotel attractive desirable neighborhood . the good : 3 day & amp ; night spend hotel Nov 2008 , never room hallway vacuum -- need . room bathroom show wear -- mark wall furniture , peel wallpaper , etc . nothing major overly gross , bit disappointing property still relatively new . heavily use hotel operate less appropriate cleaning / maintenance routine . not filthy , not clean either . for right price , would probably stay willing look past fault . not need lot room 1 bed ( double queen ) suffice , would recommend GEM Hotel Chelsea first -- room tiny place immaculate staff much professional courteous . gem also well location . also shortcoming . depend need hotel . 
 Jan 24 2009 	 Loved Hampton Inn 	 husband 2 young child age 3 4 stay Hampton Inn 3 night early January . expect small room , unfriendly / indifferent service slightly grimy environment price good . instead receive warm , friendly service , well appoint fresh modern room great complimentary breakfast . hotel excellent location close funky restaurant , coffee shop , 2 x 24 hr drug store subway . accommodate young child - breakfast great free cookie afternoon tea time ! nothing much trouble staff - problem . already recommend 2 group know travel New York near future . 
 Jan 22 2009 	 Location unbeatable 	 Pros:1 . conveniently locate several subway lines2 . one block away Whole foods3 . safe neighborhood4 . excellent sound insulation - little outdoor noise5 . fast easy check6 . great rate aaacons:1 . old CRT tv poor reception2 . breakfast meh , albeit freeDo not expect Palace will happy . recommend large Marriotts / Hiltons , etc . 
 Jan 21 2009 	 great find ! 	 live 3 hour city , quite often like go spend night , get two full day . past trip , * event * locate Chelsea area , google - map hotel nearby , pleasantly surprised find Hampton Inn , superb location really reasonable price . upon arrival , even pleasantly surprised . staff warm welcoming , room , bit small ( unusual NYC hotel ) , quite clean comfortable . include breakfast FABULOUS . return hotel every time visit , matter sight - seeing take we , location can not beat . 's block subway , right near wonderful eating place , like Rickshaw Dumpling Bar , New York Burger , Bobby Flay 's Mesa Grill ( fabulous ! ! ) ... mention 5th & amp ; 6th Avenue shopping ( far favorite store , Urban Outfitters & amp ; Anthropologie ) . 
 Nov 30 2008 	 Excellent stay little extra touch 	 fly partner New York 40th birthday wonderful time . stay Hampton Inn business love location / hotel much , be book trip .. speak Manager ( Jonathan Brooks ) nice bottle wine hotel room late arrival low behold , ready room two wine glass . long day travel special nature trip , Jonathan staff make well ! thank Jonathan wonderful staff Hampton Inn . room clean , lovely bed soooooooo comfortable ... well do , everyone thank ! 
 Nov 18 2008 	 love place 	 clearly hotel room space premium Manhattan . indeed room liitle cramp ( 2 queen sized bed ) lack space make warm friendly service staff mention delicious complimentary cookie front desk ( nice touch- see thing Hampton 's Muskogee Oklahoma ) . location wonderful half block away subway plenty eat place nearby . become home away home : ) 
 Nov 11 2008 	 great choice Chelsea 	 ' ve stay several time last year , find staff friendly helpful . lobby modern room feature modern decor well . experience good regard cleanliness . basic breakfast okay , . try get room view , always view apartment building next door . hotel centrally - locate , great location subway . number bar , restaurant , shop , etc , step outside door . super - touristy neighborhood , ideal wish live bit like local . be also nice easily walk street without mass tourist . also - probably 3 4 nail salon within 5 minute walk , . definitely recommend hotel ! 
 Nov 7 2008 	 nibble big apple ! ! ! 	 stay tour around New England couple week , look peace quiet . we get room back hotel . the side tiny . ask queen bed room much big . the bed take nearly available space room little left move around .. bathroom clean oh small ! Breakfast typically american , lot pastry , muffin , bagel weird combination hot food , adequate . the location good , great subway fifteen minute walk Manhatten 's main attraction . the thing make visit good staff .They helpful friendly manager particular . John Cid give we great recommendation restaurant include 50 's soda shop lunch American Diner .both good experience . it quite modern basic hotel unlike premier inns ideal want sleep long day sightseeing . ! 
 Nov 6 2008 	 enjoy stay Hampton - heart city good service 	 Great Location , good service neat clean room . like breakfast , healthy fresh . clean room good furniture . friendly people ready help . 
 Oct 28 2008 	 well expect breakfast . 	 pleasantly surprised visit last weekend Hampton Inn Chelsea . book room Hilton point Hiltons available . lobby area nice , staff accomodate . room recently remodel , clean . love quiet room compare other city . location perfect good subway access . problem mediocre breakfast serve entirely plastic styrofoam dish pitch overflow trash . progressive ...... drawback could see . 
 Oct 19 2008 	 great hotel close subway ! 	 group 8 friend travel New York City . four we never New York City , need place close subway , somewhere middle city , 15 minute less go uptown downtown . try book less expensive hotel . go February , book hotel hotels.com . our room clean quiet . two room face street double pane window keep noise . king size room small room two queen bed . bed comfortable problem follow asleep . nice breakfast buffet include price convenient we . imagine 8 friend decide eat breakfast . Whole Foods near , Jumba Juice , eatery . we love stay New York definitely return ! ! ! ! not believe people say New Yorkers nice always hurry . People stop help we direction . young man offer seat us subway . one young man help we subway Battery Park . native Californians . nothing could crazier freeway . WE LOVED NEW YORK ! ! ! ! 
 Oct 6 2008 	 pleasantly surprised 	 Stayed weekend ( Fri - Sunday ) . Room suburban Hampton inns- bite small . rate not sky high . staff extremely friendly helpful . nice continental breakfast . coffee available hour . find free parking street . Weekend Flea market outside hotel door . whole , nice NYC experience . 
 Oct 5 2008 	 2 - Star Hotel - 's . 	 ' ve stay hotel many time , 's close hotel office conduct business from . as write review , please keep mind review positive . mention , ( usually ) prefer Hilton Properties ( Diamond Member Years ) . almost every occasion ' ve stay , ' ve type issue . several time check , ' ve notice rate agree ( sign ) check . every time ' ve bring , end change suppose , 's serious battle manager get involve . seem forget Hampton Inn allegedly & quot ; 100 % Guarantee & quot ; . far price go , easily find hotel Manhattan price , offer lot . start Time Square area , believe . unfortunately , hotel area , sometimes choose . walk work without take cab subway . this hotel small hotel room Manhattan hotel . end bed practically touch opposite wall . hotel also one dirty hotel ' ve ever stay . try walk around without shoe room . stay , will see talk . honestly , hotel similar Motel 6 ; three time price . all say : avoid , avoid , avoid . recommend Hilton Garden Inn 8th ( Time Square ) . be much well price delta negligible . good luck ! 
 Sep 18 2008 	 quiet city 	 stay 09/14 09/17 , could access internet whole time . annoying , tragedy . 407 small room , 1 bed . , face back three building therefore quiet night . ' ve stay many hotel NYC well sleep ' ve ever get . location great Chelsea . lot restaurant train close . breakfast well average Hampton Inn fare . keep fresh . also , staff helpful nice . 
 Sep 18 2008 	 Convenient Hotel Good Stay ! 	 stay hotel early September . overall , enjoy stay . location convenient Times Square ( 15min walk ) , Madison Square Garden ( 5min walk ) , alot shop , district , etc locate around area . also street subway stop . the hotel clean , room typical NYC small room . front desk people friendly helpful . breakfast every morning , include room . convenient good enough selection item eat . overall , complaint , satisifie hotel would stay right price . 
 Sep 16 2008 	 Clean 	 Hampton Inn Chelsea clean friendly , helpful staff . location convenient relatively quiet NYC . unfortunately , stay business internet connection entire four day stay . internet connection main selling point , disappointed frustrated . in - room phone annoyingly staticy well . main issue , stay quite pleasant . 
 Sep 14 2008 	 Oasis middle Manhattan ! 	 great gem middle New York City ! would definitely go back . hotel locate side street not get much street noise . breakfast buffet ( include omelet order ) even small bar . room sligtly big average NYC . 's clean get really good rate online . 
 Sep 13 2008 	 little Gem Big Apple 	 girlfriend ( wife ! ) stay week 30th Dec 06 . sorry late submission review . we absolutely love hotel . 's perfect location explore downtown uptown New York city , nearly everywhere within walking distance . not want walk metro stop 30 yard front door , various bus stop within hundred yard . the reception small well staff , knowledgeable attendant . two lift , sometimes v .. e .. r .. slow arrive , wait minute lift end World ! 's also free wifi reception , afternoon free cake & amp ; pastry couple hour lift get peckish ! drink machine also offer free coffee & amp ; tea , room stay 10th floor , lovely view NY skyline . perfect need - spotlessly clean , huge bed gorgeous pillow , nice tv , nice bathroom continually restock throughout stay toiletry essential . read review different NY hotel TripAdvisor think definately hit gold one ! note - per previous review , ask room AWAY lift & amp ; ice machine ( specify internet booking ) . feel sorry occupant room next ice machine time go fill ice bucket ! lift voice announce floor , ' m sure could heard room close it . this price hotel include breakfast ( understand bit rarity NY ) , pleasantly surprised . different selection hot food every day ( waffle , pancake , bacon , sausage , muffin , etc . ) 's buffet welcome much like . prove good way save money nice big breakfast , not need buy expensive lunch ! overall , thoroughly enjoy stay Big Apple , would hesitate recommend hotel ! 
 Aug 16 2008 	 good value convenient 	 hotel good value good location new york vacation . quieter neighborhood , lot local restaurant , whole food market block , subway stop around corner . easy cab subway ride times square tourist site . room clean comfortable . complimentary hot breakfast fine - fresh fruit orange juice appreciate . coffee pastry also fine . highly recommend family . 
 Aug 13 2008 	 good base explore New York 	 great stay August exception check , will get later . room 1202 , clean moldy dirt issue express reviewer . room small , hallway claustrophobic , Manhattan , want luxurious large accomodation , stay Four Seasons . hotel . find staff helpful , room clean . room also remarkably quiet hotel room . never hear neighbor . Breakfast standard Hampton Inn . three subway line block away take need go . hotel 24th Street 6th 7th Avenues share block gay bar , korean - American Society New York , doggie day care , antique store , electrical supply company . diverse neighborhood . walk back night subway run along 7th Ave . ( red line ) little uncomfortable several homeless , intoxicated man camp scaffold way hotel . not bother we leave alone . big city , lot place will find . issue walk 6th Ave . Whole Foods less block away quick snack , lot restaurant around . historic Chelsea Hotel within walking distance . staff helpful subway map , restaurant suggestion , etc . issue check bill wrong $ 300 . go front desk help , person unable help not understand need . early morning , 8:00 go front desk bill correct , not 9:00 manager arrive able correct bill . early flight , would really disconcert leave hotel incorrect bill . I would stay , would try place . also , hallway small , not know person electric wheelchair could navigate . 
 Aug 13 2008 	 Great Value Manahattan 	 book one - night stay on - line last minute plan fall relative . reservation check - in process smooth . this Hampton Inn Chelsea , south bustle midtown , yet rest Manhattan easily accessible subway . room price reasonable compare hotel area . the staff courteous , friendly breakfast area spacious . room sixth floor small compare Hampton Inns stay . remember Manhattan , space premium , nonetheless clean comfortable . thing not like elevator , slow time . several occasion , quick reach ground floor via one staircase . pleased stay would not hesitate come future . 's good bargain city expensive hotel . 
 Aug 8 2008 	 Hampton Staff highlight stay 	 hotel staff friendly , attentive extremely knowledgeable good local place eat transportation daily destination throughout stay . however , hotel run , seedy part city overall need good cleaning top bottom ! entire place moldy look , feel smell really feel unclean . heed review hotel fellow traveler say staff great hotel need overhaul ! Concord , CA 
