Great 	 spend 1 night hotel . the Staff could friendler .. everyone say hello Concerige really helpful . there renovation take place do not disturb we , room little date comfortable . it lack tea / coffee maker negative.we really love location would definetly stay 
 Jul 6 2009 	 well good . 	 stay hotel two night concert / shopping trip , opinion , really one good hotel London . nothing much effort staff room large comfortable amenity would expect hotel standard . couple excellent location make well worth spend extra pound booking . will definitely back soon . 
 Jun 29 2009 	 nice location reasonable hotel room basic 3 - 4 star . 	 friend stay birthday book Spa Escape . hotel nice location situate right Kensington Gardens . room disappointing . pay upgrade inlcude garden view sofa . unfortunately 1st Floor could not see much . room clean , date look nothing like room website . hotel clean , note website refurbish 1996 look like , old would say could update . staff friendly helpful . luggage go miss 3 hour , although make free bottle wine ! spa lovely treatment bliss ! 's easy walk distance tube station selection high street shop doorstep range Karen Millen Top Shop . 's also average variety restaurant pub . park - Kensington Gardens superb park , really lovely much offer everyone age . 's constant hive activity would thoroughly recommend walk , allow least half day . hotel average . nothing complain , would not go back . 
 may 18 2009 	 Excellent value 	 April 2009 enjoy pleasant one night stay Royal Garden Hotel go concert Royal Albert Hall . turn , hotel could not well place 5 minute walk Kensington High Street Albert Hall . locate right next Kensington Gardens Palace 2 minute walk Kensington High Street tube station fabulous area explore London . booked day manage get standard room breakfast include Superbreak well £ 200 , compare favourably hotel area . second floor room overlook Kensington High Street , troubled noise street . room spacious huge comfortable bed room bathroom beautifully clean . the breakfast superb - buffet style huge choice hot food , cereal , fruit continental breakfast item . would well recommend get bed breakfast deal breakfast £ 20 pp per day pay separately ! , really excellent stay would certainly look stay next time visit London . 
 May 4 2009 	 friendly 	 hotel excellent respect - friendly efficient service deserve particular mention - let poor sound insulation bedroom . happen neighbour like sound tv radio - last visit - peace quiet disturbed . fact , occupant adjoining room sneeze night sound he / she room . also worth note room front hotel affect traffic street noise . 
 Mar 20 2009 	 great location great service 	 stay Royal Garden hotel long weekend break London leave pleased experience . we superior deluxe room mean fantastic lounge area overlook Kensington Palace Gardens - relaxing view spend good hour read chilling . would well describe room ' old fashioned comfort ' appeal everybody . clean comfortable , perhaps 5 star chic appeal many London hotel many visior expect . we eat hotel restaurant receive fantastic service food - would definately recommend anyone visit hotel . request meet friendly ' pleased help ' attitude every staff member encounter , make stay effortless . luckily , book last minute manage pick fairly good deal room rate , whereas pay full price would consider quite steep room quality / size / amenity . overall enjoyable stay , make excellent food staff service . 
 Mar 9 2009 	 Great Hotel great location second visit look forward next visit . 	 hotel perfect location situate Kensington High Street . delux room spacious overlook Kensington Palace / Gardens . friend standard room spacious view high street . nothing much trouble staff . good world tube , restaurant bar within minute walk also Hyde Park Kesington Gardens also within minute walk . champaigne Bertie 's Bar good reasonably price . first time stay breakfast waiter service give hotel edge hotel second time stay appear change buffet style food still great . improvement would make would tea / coffee make facility room , would completely happy . 
 Mar 1 2009 	 Great Location Service really five star property 	 stay Royal Gardens Hotel husband business trip . son three come along . location excellent right next park many resturant street across hotel . service excellent professional . recieve special rate stay weekend . unfortunately put we room 1st floor look hotel machinery could open cutrain look park although veiwed room book show lovely room look garden ( decision stay ) . bathroom well sized London rain shower work standard one . bed comfortable find strange stain sheet come wash ( acceptable 5 star establishment ) . decor comfortable need refurbishment . Room Service excellent breakfast serve room perfect . one whole enjoy stay aspect hotel 5 star range . service definately . 
 Feb 17 2009 	 Nice Hotel Great Service ! 	 stay Royal Garden 2 night January love . book www.hotelsclick.com get good deal free breakfast ( price £ 20pp per day otherwise ) . overall stay good . Good Things- Service provide staff excellent throughout , Cleanliness hotel general v.good , Room spacious lovely view , brilliant mini - bar selection , comfortable bed , LCD tv wall tilt various view angle ( unlike portable tv state bizzare review ) , great location , Tube 5 min walk away provide access almost everywhere , Breakfast high standard choice , Park Restaurant ground floor pretty good , Room Service quick , mostly reasonable price food ( drink ) , delicious ! good thing - Bathroom definitely could well 5 * hotel , Robes etc could well standard , Turndown choc would nice , main annoyance- internet access extortionate £ 1.50 per 3 min £ 20 daily ! stay 4 - 5 * regular basis would happily give high 4 * . pleasant stay . 
 Dec 28 2008 	 lovely hotel great location - close tube 	 stay Royal Garden Hotel 2 night whilst viste London Christmas shopping stay delux room 7th floor overlook High Street . the hotel right Kensington High Street close tube station , really easy find . check smooth room large clean . bathroom spotless bed sup super comfy ! not use facility hotel day concierge look case shopping bag check leave evening ! hotel lovely , impressive look great location , enjoyable stay ! 
 Dec 9 2008 	 great location that s 	 hotel locate right next Kensington Gardens , within walk distance Kensington Palace , High Street , Royal Albert Hall Notting Hill . other location , nothing else hotel find pleasant . hallway room date damp smell . bathroom old tile miss , crack mirror , peel paint . room face High Street , loud . stay ask room face park back building . it get dark cold November . find strange exit hotel walk driveway order get fitness center . note close 30min advertise closing time . the staff overall seem bitter treat management , take we guest - everyone front desk room service . we plan return hotel would recommend anyone . 
 Dec 1 2008 	 kind five Star 	 first front house staff hotel really friendly efficient , housekeeping leave something desire . always weekend London time year coincide little girl 's birthday . book executive family room four we , tell hotel daughter 's birthday acknowledge way . room ( 515 ) nice really good size London bathroom ............ small , say least , real 1980 's throwback . could'nt believe see brown pipe type hairdryer wall ! reviewer mention , towel bathrobe really poor quality quite old . Turndown service literally , turn cover , did'nt tidy bathroom dirty glass away . breakfast buffet good Sunday morning stand bar area 20 min wait table seem like rest resident hotel . lovely weekend hotel compare 's competitor definitely 5 star experience family enjoy . good location Kensington great view kensington Palace . 
 Nov 13 2008 	 enjoy 	 stay one night therefore not opportunity sample offer - saw would stay again . I arrive 2 p.m. ( early check - in time ) room not ready . staff apologetic offer tea coffee bar overlook park - pleasant enough - 'd preferred room . when eventually able get room ( 45 minute later ! ) comfortable clean - fantastic view park towards London skyline ( roof Royal Albert Hall , past London Eye , BT tower beyond ) . room two level - sit area desk next large window couple step high bed area . warn similar room find carpet edge step slippery - sore coccyx result ! bed pillow comfortable . towel bath robe bit scratchy . like White Company toiletry bath separate shower . the & quot ; basket croissant Danish Pastries & quot ; Express Breakfast option actually one croissant one Danish - flaky fresh . gripe : £ 20 wireless internet access steep , complimentary water would expect hotel like this . overall - need stay part London would give another chance 
 Nov 3 2008 	 attractive London Hotel awesome view ! 	 recently enjoy two night stay via redemption Disney VC point . DVC recently pair offering property redeem London , Royal Garden still viable option . upon arrival , pleasant cheery desk clerk offer we room upgrade availble early ( 10:00 ) . personally walk we room # 837 , recently refurbish room overlook park . take stun panorama ; Kensington Palace , London Eye , Royal Albert Hall , clerk remain answer question , ensure bellman bring bag , ensure room satisfaction . recently refurbish room , expect granite bathroom , separate shower spa tub , towel heater , tv speaker . tv be upgrade 37 & quot ; flatscreen , room outlet region plus internet jack . the meal partook hotel breakfast ; Sundays expect hot buffet mostly british breakfast item custom egg bar . Buffet area keep tidy staff keen ensure well . pros : great location Kensington High Street within walk distance Palace , shopping , Royal Albert Hall , tube stop dine . public area keep immaculate , staff polite professional . newly remodel room decorate high standard without fussy . con : . manage hear conversation tv noise adjacent room , little else . summary : appropriate hotel want London hotel experience . league Covent Garden Hotel Draycott , manage stay league high end chain property 
 Nov 3 2008 	 Nice Hotel location extortion extra . 	 stay three night break recently , review make look like nice place . hotel excellent location situate next Hyde Park Kensington High Street , hotel much & quot ; contemporary & quot ; right 70' . on positive , location excellent : - situate Kensington High Street minute Underground station name make close city without city . plenty great shopping restaurant nearby , well Hyde Park Holland Park ( real hide gem Kyoto Japanese Garden ) , Notting Hill 's Portobello Market 20 minute walk away . the hotel nice , although decorator shoot ... among thing , restaurant miss - mash design not seem work well , include two huge ( awful ) grecian statue style Atlas hold ceiling ... idea designer go . room 10th floor spacious clean , allow excellent view . staff friendly pleasant , room well equip well maintain . okay , side , far tell , hotel 's goal simply extort money . internet access room £ 20 ( approx € 26 ) day ! hotel justify kind cost beyond , thankfully MacDonald 's road free WiFi . mini - bar price also ridiculously overpriced . breakfast , nice average affair , also grossly price £ 20 per person , service appalling : - first day receive toast 20 minute actual breakfast arrive , second day way around ... everything order seem come table random order time wait something ( although weekend run buffet instead order system , make experience marginally well ) . real highlight begin overcharged check , three time actual cost charge credit card . explanation apology give , ' m still try sort management . enjoy stay , doubt would stay . location big attraction advantage stay . other say , hotel justify 5 star rating . expect low price , even free , internet access unreasonable 5 star hotel , charge credit card leave bitter taste mouth . but happen stay hotel , Kensington , find really nice japanese restaurant nearby , Feng Sushi , find reasonably price compare local restaurant service superb . 
 Oct 12 2008 	 advertise 5 * like 3 * 	 select standard room expect small room 5 * amenity . room small bathroom even small ! room outdate ; room phone must 1960 's version . message light dial / key pad . antiquated . charge wi - fi exorbitant ; 20pounds day ! ! ! ! option available . phone dialup cat 5 capability . bedspread date old fashioned quilt gold . expose old blanket , triple sheeting would expect hotel billing 5 * . . tv 11 & quot ; outdate portable style , color ; surprise surprise . position place difficult watch bed . service pleasant breakfast service restaurant unorganize understaffed . take 30 minute get toast muffin kitchen forget prepare order . overall okay experience price . present 3 * hotel would decent experience . food bar mediocre . staff pleasant helpful ask assistance . 
 Oct 3 2008 	 home away home ! 	 4 timesamazing location , classy room , great restaurant , feel like home everytimeextremely friendly staff plenty thing nearby , CA not wait GO ! 
 Sep 15 2008 	 exactly contemporary 5 star 	 opportunity stay Royal Garden courtesy prize package friend . approach look like major hotel chain lobby impressive . doorman , check - in desk concierge incredibly friendly smiley . room twin overlook Kensington Gardens . really not class hotel & quot ; contemporary & quot ; . decor , finish touch technology date . bathroom fairly small need good steam clean . beware bath plug - friend nearly lose half toenail ! bed squishy comfortable loathe extra tight bedsheet old fashioned blanket - feel like straightjacket . tv archaic kettle / tea make facility really standard . would anyone pay £ 3.50 cup tea ? ( starbuck across road suffice ! ) . friend also wake times night bang noise . hear around 7.30am . also discover £ 300 room rate include breakfast . book pay room would disappoint . 5 star mean luxury - special touch room well locate hotel various attraction pretty good shopping . also wish hotel would stop use photo glamourous room website , we stay standard room - wonder get fed whe arrive see different looking room ! 
 Aug 7 2008 	 Great Service 	 book hotel Disney Vacation point could not ask well place stay . spend portion England trip relative Hunstanton , Norfolk along coast drive rental Central London much appreciate Sat / Nav system . not think would able transverse complicate harrowing London traffic without . moment arrive time leave everyone wonderful . start front drive wonderful doorman take care contact rental company repeatedly pick vehicle . gracious front desk staff nice enough change room 2 twin double due husband mistake booking . please recommendation assistance conserge staff extremely helpful allocation wheelchair stay mom - in - law able see sight we thi dining suggestion wonderful . English Breakfast include reservation delish buffet choice entree service impecable . thank goodness include consider 20 pound per person . room nice . double good sized bathroom , well appoint also sit area nice , overlook Kensington Street . stong odor smoke room , since really sleep really bother we . twin room in - law spacious 10th floor great view top london 's building . remind Peter Pan 's flight . : - ) wonderful time would recommend hotel anyone look good landing place great city . definately go back two full day city enought time really enjoy everything city offer . 
 Jul 24 2008 	 mixed 	 want well 5 * ( definitely like 4 * ) hotel , really get expensive room great view park . not like squidgy little bathroom tiny bath heat towel rail old seventy - type brown hairdryer -- even expensive room . and owner expensive hotel realise not want wait room service cuppa ? really need expect kettle rest . sometimes large room even upgrade suite overlook Palace Round Pond , time little room seem kitchen roof , unende noise like air vent go night . remind reviewer mention heating / aircon system obviously mind own . we eat new chinese top floor . not see food well general run Soho restaurant , ' m good nosh , load fuss about . Breakfast always super , everything could want , always find relaxed sunny dining room , feel staff fuss , overwork improve service profile . I actually like Royal Garden much : nice lobby , good lift general feel large , secure anonymous hotel . always go back , not expect anything like four Seasons kind standard . 
 Jun 22 2008 	 wonderful stay 	 stay one night Royal Garden Hotel go Royal Albert Hall , five minute walk road . staff could not friendly . check quick efficient take Junior Suite receptionist . nice room separate seat area . side view towards Kensington Gardens . bathroom decent size White Company toiletry . Champagne Afternoon Tea consist glass champagne , strawberry well usual sandwich , cake scone . also several different tea menu . also husband 's birthday good experience . bed comfortable next morning good breakfast , include fresh fruit , pastry , cereal cook breakfast . check equally efficient . wonderful stay two we . 
 May 21 2008 	 Royal Garden - Great every time 	 second time stay Royal Garden positive thing say . staff unbelieveably helpful polite . Patrick reception especially helpful kind give we pointer go good night . staff really go way make stay enjoyable . room spacious , rare centrally locate hotel everything clean well . breakfast include rate bring room every morning . fresh carefully prepared . would absolutely recommend hotel anyone , hotel centrally locate generally safe area city . could see Kensington Palace Gardens room . starbuck across street Topshop step away ! could ask ! sure inquire Patrick Jesus working desk , make difference ! 
 Apr 24 2008 	 5 * . shabby 	 boyfriend recently take birthday disappoint . book junior suit . small date . tell garden view room give wrong key . speaking desk tell could move original room give someone else . room whilst ok size date . dvd CD player , sound tv bathroom break always , toilet roll holder break window bad keep half night traffic . also bang work go hotel next room much afternoon . decide stay , insure get garden room get sleep , room soundproof main road . breakfast room whilst plenty food hot meal look though sit side hour . 5 star hotel . recently stay Landmark comparison make look like hostel . price find well hotel 
 Apr 23 2008 	 horrible 70 hotel 	 great location , really old hotel update . room noisy face high street old worn furniture sheet . bathroom large , well use towel wash several hundred time - bathroom could use update . health club small , dark basement access outside hotel - good workout gear freeze outside . 's charge use facility . be pretty lay back New Zealanders , find staff lazy lay back . 
 Mar 26 2008 	 great hotel Kensington 	 recently return trip London stay Royal Garden Hotel . lovely receive terrific service . staff courteous , kind helpful time -- concierge bellman particularly . use Business Center email home several computer printer use . continental breakfast wonderful , english breakfast ( include room ) offer everything could possibly think breakfast . location hotel great within easy walk distance Kensington High Street tube stop . also # 9 bus Trafalgar Square stop right front hotel . try hotel restaurant dinner ( expensive ! ) drink bar wonderful ( free snack include -- olive , nut , etc . ) several good restaurant nearby -- eat Strada ( italian restaurant across street ) Whole Foods food court ( seafood bar , sushi bar , tapas bar , etc . ) . great shopping nearby well -- Urban Outfitters , Marks Spencer , Clarks Shoes , electronics store , etc . room would consider & quot ; plush & quot ; -- however nice , spacious bathroom fully equip . something wish know beforehand hotel offer european cell phone rental service nominal fee ( rent advance ) . Royal Garden pricey , extremely nice hotel would visit . offer restful comfortable retreat long day sightseeing . also , consider cost , not forget London one expensive city world -- ready pay food necessity would city . 
 Mar 1 2008 	 excellent place Kensington 	 writing review shortly check Royal Garden Hotel . stay two night . arrive , check - in staff extremely helpful courteous . wait queue . immediately open spot previously close counter check . room spacious , comfortable clean ususal amenity . unfortunately , window face street rather park despite little street noise ( even though 2nd floor ) . bar lobby look nice though chance try ( bit sparse term patron bit put ) . check , staff courteous , professional lightningly quick time . overall , comfortable stay ( though bit expensive ) would happily stay . 
 Feb 28 2008 	 stylish friendly 	 stay several time last year never bad experience yet- something say many hotel day . my last visit mum birthday arrange flower room gorgeous . unfortunately room one think I d book ( view speak separate seating area ) less 5 * standard typify Deluxe Rooms I d stay . contact reception ask could move , say hotel come trump . without problem change we deluxe room lovely view extra charge . the breakfast buffet delicious plentiful . room service reasonable standard hotel promptly deliver . staff throughtout hotel give 5 * service smile - rarity London find year . the hotel 10 minute walk tube ideally place explore sight . would certainly reccommend anyone look upmarket base short break . 
 Feb 21 2008 	 never forget night .. Amazing 	 stay Royal Garden hotel one night . surprise boyfriend valentine day , amazing , really make feel like princess . our room great , massive bed , wonderful view Royal Park Kensington Palace . bathroom good size , towel robe , soft . we give Champagne strawberry room , perfect , champagne good ever taste . we eat hotel restaurant , food amazing . love Foie Gras amazing food ever taste . wine fantastic service outstanding . the location hotel excellent , park beautiful especially sunny day like have . this amazing romantic evening ever … never forget it … .. 
 Jan 27 2008 	 Good expect well price 	 book 1 night hotel attend party nearby . special offer spa . spa spa staff lovely . the room clean good size price pay expect well . iron ironing board ( buy request tip expect ) adiitionally tea/ coffee make facility room . the breakfast serve nice airy room view park good varied selection , complaint staff need ask 3 4 time toast come cold ... would probably stay unless price allot cheap ... 
 Jan 25 2008 	 Shabby number respect 	 Royal Garden Hotel great location right next Kensington Gardens tube , bus , taxi - . ideal tourist . it modern hotel , nice building elegant foyer . Park breakfast lunch restaurant light , spacious attractive view park . splendid breakfast buffet Sats Suns . also smart fine dining restaurant top floor great view too . but stay twice , basic level room last time next grade . thrilled first experience year think might well isn't . tiny narrow bed , tiny tv set , wear furniture . problem key card - lock room - think check day fact staying day . housekeeping rather muddle - room leave long time clean - nuisance . coffee breakfast always cold - complain once . operative staff supervisor pleasant . management incline argue grumble - modern approach customer service . a classic example hotel facility unreliable service quality . would stay recommend . 
 Jan 17 2008 	 Staff make 	 stay Royal Garden Hotel year ago , room pretty shabby staff amazing , concierge department faultless , help book theatre ticket make dinner reservation , Tiernan & amp ; Stuart particular great . the location hotel ideal shopping , close west end close enough , room overlook Kensington Gardens treat . my advice stay Royal Garden , get cheap rate 5 * term decor term service 6 * ! ! ! 
 Jan 7 2008 	 great location stand test time . 	 stay hotel time many year really never fail impress . great location , excellent concierge , spacious room fab mini - bar . ( sound mad stock men black sock , extra pair stocking jellly baby - else could need ? ) check juice bar Crush across road morning smoothie . the Churchill Arms short walk away , great look real traditional London pub ( possibly & quot ; famous & quot ; face ) , follow Lebanse meal @ maroush - not miss Chicken Taouk ! nightcap hotel bar disappoint . 
 Nov 26 2007 	 really lovely 	 husband stay one night room overlook Kensington Gardens . fantastic view , nice hotel room service . great locacation Royal Albert Hall . would definately recommend . 
 Sep 28 2007 	 Loved Royal Garden Hotel 	 pleasantly surprise Royal Garden Hotel , read review . get back Celebrity transatlantic cruise book 2 nite pre - cruise thru Celebrity , could not well . find hotel spotless ! beautiful lobby ! great view Kensington Park room comfortable clean . buffet breakfast great , nice selection fruit , cereal , danish , croissant , . walk thru Park Diana 's Palace lovely coffee shop next palace call Orangy , elegant . across hotel & quot ; BiG Bus & quot ; ho / ho bus , convenient , great tour . also across hotel great italian restaurant call & quot ; La Strada & quot ; , food excellent pricey ! cost we 40 GBP us 2 great dinner , appetizer wine ! would definitely recommend hotel . 
 Sep 16 2007 	 would not give 5 star ... 	 list 4 star . website show 5 . excellent location . clean room . spacious enough two adult . two twin bed adequate , think pillow pathetic suppose everyone preference ... room clean . nice view kensington gardens . plenty place shop eat high street . concierge / help accommodate , never quite go extra mile ... major problem several small irritation . tv nuisance get work , problem suitable motel 6 ... also , ask concierge order ticket buckingham palace , order wrong one ... able plan extra 3 pound say do . would not necessarily recommend hotel , stay top choice . overall decent stay . luxury , well average hotel . 
 Aug 24 2007 	 get pay ... 5 * 	 royal garden situate kensington high street , bustle shopping area , plenty place coffee etc .. back onto hyde park , ask room overlook one large patch grass london ! say , get pay ... good standard room , average size , well appoint clean . good standard bathroom shower bath.eate hotel expensive , english breakfast £ 18 , nice , think 's ' ve ever pay bacon , sausage egg ! hotel whilst unquestionably furnish high standard , give impression characterless . perhaps 's management want , clinical.overall , enjoy stay , not know would return , many hotel london try ... 
 Jul 15 2007 	 five start hotel ok 	 average hotel feel like 3 4 star hotel , could see 5 star . say hotel room fine ( standard room ) , standard hotel room similar something would find holiday inn , nothing special . although small bathroom ever see 
 Jul 14 2007 	 Put damper weekend London 	 look forward long weekend London see Princess Diana live 10th anniversary death . look several hotel website come across hotel near Kensington Palace . arrive London early morning ( 6 am ) spend day explore sight . turn hotel around 4 pm insist reservation we . long discussion front desk manager insist reservation we , wife finally find print reservation purse . front desk manager indicate find reservation room ready ask we wait 15min . sit lobby almost 2 hour , room finally ready . remember fly 10 hour US , spend day walk around London . look forward rest room Kensington Palace , disappointed damp smell room . small television side bed difficult watch bed . bathroom dirty well wear towel . bad staff even apologize horrible room we wait long . hotel stay leave we bitter hotel overall london experience . 
 Jul 2 2007 	 Great Family Stay 	 not hotel particularly cater family , work wonderfully we . spend 5 night two trip Junior Suite . hugely roomy comfortable . room service quick accomodate little boy helpfully . the beauty place right next door Kensington Gardens , could feed duck play Diana playground quickly easily . hotel many bus stop right front short walk tube . ( room front back not find traffic side particuly noisy , might want request back . ) Whole Foods open first store block away , get bagel morning . wagamama 's next door kid friendly . boot Pharmacy emergency ( apple slice carrot ) . Marks Spencer also good sandiche like . plus high street shop . I live London 6 year always laugh hotel -- big grey box pretty tacky lobby . , happily stay recommend . time change ! 
 Jun 19 2007 	 nice stay definitely 5 star 	 stay two night go Albert Hall . hotel ideally locate Albert Hall 10 minute walk away . ideally locate Kensington Gardens Kensington High Street . the room 9th floor spacious clean large comfortable bed . tv bit small size lot quality hotel large flat panel unit day . tea coffee room supply ask . breakfast good good selelction hot cold dish service good . overall hotel need bit up - grade up - date get 5 Star level looking bit tired ; location good though . 
 May 29 2007 	 nice stay 	 nice 3 - night - stay Royal Garden Hotel . staff friendly helpfull room ( 5th floor , street - view ) spacious clean . although Kensington High Street busy , not hear traffic - noise except police ambulance siren time time . there tea - make facility room , ask tea - tray consierge - desk bring one immediately . hotel officially rate 5 - star , surely can not compare 5 - star luxury - hotel . worth money pay surely stay next trip London . 
 May 16 2007 	 not stay 2 star hotel ... 	 PROSLocation ( near Kensington Gardens ) conslocation ( noisy street ) room date , smellworn carpet hallwaysMoldy bathroom need clean updatingbugs closetlong check in / out timesbad staff attitude , treat guest contemptmanagement attitude even worsetheir web site look professional , reality date hotel , claim 5 star status , reminiscent hourly rate 2 star hotel - staff match . not fool low rate . not get much money . owner clearly invest property decade , still able milk tourist traffic repeat guest . 
 May 15 2007 	 great value 	 four we book Spa Indulgence Package . arrive hotel approx 11.00 pleasantly surprise allocate room time . not mislead title & quot ; Superior Room & quot ; decor room werebasic , room include facility would expect .. ( tea make facility newspaper available FOC request ) customer care spa excellent staff speak throughout hotel . breakfast first class buffet cater every dietary requirement possible . would definitely stay . 
 Apr 30 2007 	 fake 5 star hotel 	 arrive 1100 , hotel give we early check - in impressed service . get room , god , tiny . book single room , fit single bed , wodedrobe , desk , chair single seat sofa , space leave room ! room small , tv place SIDE bed ( end ) . normal stuff like kettle , tea , coffee , toothbrush toothpaste could supply ask . since single bed ( mistake book double ) , ask hotel could give we extra bed change double room , expect accept extra charge . reply get was1 ) can not give extra bed ( duvet pillow ) single room2 ) hotel full tonight therefore exchange room youthe attitude person speak bad offer help ( like suggest could go another hotel ) apart repeat room single person mean one person inside . type service would expect 5 star hotel . lastly , bar hotel noisy , could hear people talk could hardly hear music . , expect 5 star hotel , would think would classy . 
 Apr 3 2007 	 perfectly fine place stay 	 modern , upscale , business / tourist hotel . not expect face Kensington Gardens , rather basic room face High St. Kensington , busy thoroughfare particularly noisy . location bit beat path , easy get via tube station block . lot good local restaurant Kensington , prepare wallet . otherwise , would definitely stay . 
 Mar 1 2007 	 pleasant family break 	 book Suite 3 night Feb , husband 2 kid ( 3 & amp ; 6yrs ) 230 / night . Room decorate high standard exactly depict hotel website . sofa bed single wheel another bed 2nd child request . concierge helpful reccomending evening dining option outside hotel dining in - house bit formal kid predominantly business traveller hotel . great location near High St. Kensington Tube less 10 pound Taxi ride Paddington easy transfer Heathrow express . overall enjoyable . 
 Feb 16 2007 	 poor service staff managment display poor attittude 	 stay equivalent 5/6 month total past 10 year ( former company use hotel ) . worth money , staff poor attitude . understand service . food generally rubbish expensive . breakfast ok . management offer help even resolve simple issue . location great . 
