clean 	 husband stay Thanksgiving ( 2 night ) . purposely choose hotel away craziness parade route , even though knew have go watch . hotel locate less one block w 4th St. subway entrance ( pleasant surprise ) , make easy come go pleased . quickly learn get subway follow exit sign W 8th St. ( W 3rd ) . bring waverly Place W 4th intersection , close hotel . hotel lobby small , clean nicely decorate . one small elevator , problem morning hour wait arrive . continental breakfast typical ( croissant , muffin , fresh fruit , cereal , etc . ) notice people wait line seat finish . Glad get early . room spacious New York ( walk around bed , be spacious ) , bathroom clean nicely appoint . find mattress comfortable , like bedding . room stuffy use AC work fine . window look onto another building , view unimportant we since plan go thing vs. look window . however , bit disconcert blind / shade bathroom ; bubbly privacy glass . room across way someone could enjoy voyeuristic view , suppose . keep bathroom light . , pretty good experience . 
 Jul 23 2009 	 great bargain ... stay ! 	 husband stay last winter find good value money . neighborhood good get . lobby attractive , service friendly . one complaint would lack modern climate control room . common Manhattan , still make uncomfortable sleep . actually turn AC middle February room hot way open window . , wonderful stay ... small room course , be Manhattan , one expect ? 
 Jul 7 2009 	 great location 	 stay Washington Square Hotel husband April 6 night stay New York would definitely recommend . first trip New York hotel great location metro station end street . Greenwich village great place stay make sight still easily accessible Blecker Street bar restuarant within 5 min walk evening entertainment . yes , room small clean need visit city New York . probably little overpriced 's location , think worth look forward return . 
 Jul 6 2009 	 Perfect location . exceptionally friendly staff . clean -- - small room ! 	 arrive early JFK ( i.e . 13:00 ) room ( 3 double not ready ) although fair fault theirs . the luggage lock away securely statff / conceige could helpful . arrange bus tour city perfect . we arrive back 17:00 go room . immacuately clean warn , especially internal one , small . three case due go QM2 take ' juggle ' sort could live . two afternoon shop not help ! ! ! breakfast good set . bagel . fruit . cereal . all good choice . 5 min walk Broadway / 20 min China Town / 30 min Ground Zero . also perfectly locate Greenwich Village wish time explore . would stay . 
 Jun 29 2009 	 's okay special good expect . 	 overall satisfied enough consider recommend friend stay . expect small room size ( middle range room really small , 's nowhere put suitcase wardrobe small 's space stand ! ) extremely clean . however quite niggle . one day arrive back see maid still make room 4.30pm - not done not feel like go flick disturb go without . seem riddiculously late clean . another gripe whilst provide free wi - fi access share computer , travel without wi - fi enable device 3 place stay computer provide checking email small thing . tv channel not inbuilt menu see be come next couple hour , would rarely complain tv something stay . breakfast also amazingly limited , small basket pasterie share two , small bowl melon one glass orange juice . realise 's rare hotel offer breakfast expect continental breakfast buffet style ( one 2 room wait ) feel 1 serve . one day escape waffle nearby diner start day full stomach . finally bathroom cheap , flimsy shower curtain possible , clung body water escape giant puddle floor . reception staff mix helpfulness , one occasion need flight check 10.30pm ask reception nearest late internet café , staff duty grumpily tell we take two right 's place might still open . luckily really not seem concerned . although check helpful lady tell we could look luggage book us car airport . cocktail bar incredibly difficult find , ask reception , shame drink lovely quite cheap ( $ 9 ) .The barmaid friendly definitely get impression wish people know . generally hotel good location good transport link around NY , feel tad overprice . stay lovely B & amp ; B Brooklyn early holiday $ 75 less night massive room delightful service would happily take 30 minute subway ride Brooklyn centre stay hotel . 
 Jun 25 2009 	 Fab location excellent price wholly recommend anyone ! 	 husband stay Washington Square hotel 6 night trip visit friend see city . read reviews Trip Advisor warn noisy room near lift relieved find far away could . room big enough we ( British not expect huge space ) well equip safe , iron board , hair dryer etc . bathroom compact clean , be ever truly want bathroom anyway ! bed really comfy air conditioning cold need recover stomp around sticky city . staff front desk well lobby staff helpful polite , 's free wifi lobby cafe , serve decent cup tea 3 pm . also gym be way inclined . good thing hotel price location , truly can not well spot get anywhere city beyond . use live NYC park surround area could not anymore different past , almost sterile , totally safe . absolutely stay , fun ! 
 May 26 2009 	 Perfect location 	 go quick overnight getaway Washington Square Hotel . location amazing , really enjoy stroll adjacent park . creative food , boutique shopping , neighborhood walk , good area city . hotel staff friendly helpful . however , room small side . ask large king room , fortunately , one available . decor Art Deco way mauve wall black white photo movie star wall . bathroom large recently renovated include two sink couple 's shower . a / c provide window unit , work fine . find street noisy night there . the breakfast include serve restaurant . service prompt food good . pastry basket fresh fruit coffee fresh - squeeze OJ . believe also cereal yogurt , not need . check - in check - out go smoothly quickly . overall good hotel want fabulous location not care amenity get large hotel ( room service ) . 
 Apr 14 2009 	 great hotel West Village 	 return trip Washington Square Hotel terrific . great value , steep Greenwich Village tradition , close subway , great restaurant , coffee place . ' ve stay & quot ; nicer & quot ; hotel Times Square , much enjoyable . Love Ronnie , veritable font NY information ! 
 Mar 29 2009 	 place great ! 	 hotel great little restaurant premesis . work well quick snack exhausted sightseeing . also work well convenient & amp ; delicious breakfast . the room small , nicely appoint . price think adequate . the hotel personnel hospitable , always onpoint recommendation thing consider outing . the location hotel perferct . close subway stop , across street Washington Square Park , perfect place launch adventure day . 
 Mar 24 2009 	 beautiful art deco hotel 	 wonderful hotel great location eat street market ( stay weekend ) next subway plenty shop walk distance China Town Rooms small side clean pleasent staff helpful could get past busy tone airport shuttle leave deatail request receptionist night receptionist quieter time Taxi JFK $ 50 Shuttle $ 19 want buy holdall spread weight luggage receptionist print list price fro K - mart 5minute walk away continental breakfast included certainly recommend wee gem gripe room next lift bit noisy worth sllep Clark Gable bed ! ! 
 Mar 22 2009 	 small small small room beautiful Square 	 Washington Square Hotel one beautiful , charming location NYC . former NYU student , use live nearby , hotel north west corner Square , heart Greenwich Village . worldclass dining doorstep ( Babbo ) , hundred thing within short block . also step away NYU , , despite detractor , think nicely integrate Greenwich Village . hotel , room seriously small , though bathroom normal size . & quot ; interior & quot ; room airshaft - avoid unless not mind natural light . second time stay , book room window , lovely view Empire State Building . room include breakfast , crowd normally go nearby cafe . Washington Square Hotel expensive NYC standard , could probably find well rate similar quality search ; will not Greenwich Village . 
 Feb 26 2009 	 Great Location - Comfysafe w/ Art Deco ( r ) ! 	 heart Greenwich Village - easy access great restaurant ( book Babbo 's across street month advance - every morsel worth every expensive penny ! ! ) . trip Bucket List jazz fan - Village Vanguard , Blue Note , Iridium - all w / in walking distance . staff NY attitude - very kind & amp ; breakfast downstairs ( North Side ? ) excellent . room want great shape , clean . very accomodating - have idea anyone would rate place 2 & amp ; 1/2 star ! easily 4 + ! Book & amp ; relax folk . enjoy . 
 Feb 18 2009 	 ideal place stay 	 first impression ... impressive art - deco lobby , friendly reception & amp ; room . small , large enough 2 sure . disappointed coffee machine proper ironing board & amp ; not much wardrobe space hang clothe prepare live suitcase . however , non fussy traveller , little gripe take away ideal location little hotel - 5 min walk door , east west , get subway part NYC incluse Brooklyn , Queens , Bronx & amp ; part Manhatten . Greenwich Village vibrant & amp ; busy & amp ; remarkable amount restaurant , bar etc withe stroll distance . love NY every time stay & amp ; stay far lavish surrounding previously , hotel heart Greenwich & amp ; NYU area get business every time . 
 Feb 13 2009 	 nice little hotel Village 	 Hotel terrific location right Washington Square Village . room NYC small . Deluxe Queen 11'x14 ' face onto Square -- could noisy times love street view onto MacDougal waverly . free continental breakfast hotel restaurant add plus . I pay $ 275 / night peak September period hotel charge excess $ 300- $ 400 per night basic accomodation . , not bargain relatively good deal time year . times year , well deal accomodation probably find elsewhere . hotel one family run property leave NYC . good management , friendly employee deal breaker . room clean generally well maintain . this good choice , get room right price , want spend time live vibrant Manhattan neighborhood , convenient city offer . luxurious , comfortable clean . 
 Jan 25 2009 	 Cold Rooms Chilly Reception 	 know everyone love hotel . location fantastic , street old brownstone edge West Village . subway West Side Downtown west end block , subway East Side couple block away Astor Place , easy taxis Sixth Ave . Washington Square Fifth Avenue end block . price great room clean date . be like ? heat one thing front desk another . I hard time feel warmth hotel . old building radiant baseboard heat window . control turn heat . two room stay . first room heat work difficult time keep draft old air conditioner stick middle little window . first room light well pigeon . first night ask move room well view . give south face room fourth floor overlook waverly Pl . fair enough . really view hotel . hear room back view Empire State Building , none offer . second room big window . heat barely work room freeze . old air conditioner stick middle window . also see dirty , old air conditioner able keep room cool summer . another big problem drafty room window treatment . window real curtain , valence fake drape side close cover window completely . rely two set shade , one set filter , one opaque . neither cover air conditioner accomplish use two side shade center shade go past top air conditioner . big gap shade let draft light . impossible cover drafty old air conditioner . second room cold could not shower . back first room day . fairness , front desk accommodate room hop without problem , never room change cordial . every person enter hotel must go past front desk & quot ; security guard . & quot ; neither ever say hello good day . feel like something wrong walk lobby . ' m well mannered , clean cut guy tip pay bill . deserve hello . one day ask security guard direction Charles Street . know Christopher Street want direction Christopher Street . send south Sixth Ave . Houston Street West Side Highway , mile way cold , windy January day . Christopher Street one block north waverly Sixth . would thought mistake part adamant want take Christopher Street , refusal tell Christopher Street , insistence go south sixth matter . night leave call front desk order & quot ; taxi & quot ; airport next morning . desk clerk say would problem . next morning report front desk appoint time find & quot ; taxi & quot ; actually in - house car service . without time go look real taxi , end pay $ 15 get airport . security guard give bogus direction take one bag car . tip . guess time Washington Square Hotel gay warm sunny day May . 
 Jan 22 2009 	 oasis greenwich village 	 wife spend 5 night Washington Square Christmas 2008 . everything stay perfect , breakfast , staff ( friendly helpful ) room . ok room fairly small NY hotel room tend , never felt really cramp , clean well maintain stay . you get safe room , great . location great , thing wanted see within walking distance , ( fairly fit ! ) subway station doorstep need . one complaint lack wardrobe space , summer , problem , winter , nowhere hang big wet coat ! management note ! get coat hook wall ! 
 Jan 7 2009 	 Fantastic Hotel . good location 	 stay 4 night couple week Christmas . hotel fantastic would stay ever come back ny.great location Washington Square near shop restaurant etc Bleeker Street . two minute walk subway station . area far less noisy grimy midtown . area seem great mix studenty upper class . lovely building safe street . great wandering . if like walk really nice take walk along 5th avenue , Battery , Chinatown Little Italy . the hotel security man Ronnie great . you re shop something particular tell direct good place . send we shopping mall Brooklyn exactly . 
 Jan 2 2009 	 Good Stay 	 second time round NYC December hotel certainly right choice we . love West Village 's 5 minute walk Bleeker street 's independent shop , restaurant live music . subway less 5 minute walk away good connection . I know last visit NYC can not escape noise ; be busy city . surprise , find hotel QUIET ! room back , Room 405 not disturb noise - even New Year 's Eve . noise hum heating unit . Room modernise Queen Deluxe , Rm 405 . 's fancy , clean decent size . bed comfy . staff friendly helpful stay outside hotel look lovely lit night Christmas light . think breakfast great - not often get fresh fruit salad part american continental breakfast .... overall really please . pay $ 300 per night Christmas NY thought get good value money . would definately stay 
 Dec 13 2008 	 cute boutique hotel 	 Hotel great location , staff friendly . room clean , reasonably sized ( compare NYC hotel price ) . continental breakfast also nice treat . complaint room low level noisy night . request upper level room , wise difficult sleep . 
 Dec 4 2008 	 beautiful hotel right Village 	 stay spend three night uptown friend please choice . staff friendly always happy give direction Subway tell we must visit . hotel room perfect , lovely picture film idol golden age cinema . I would definatly go hotel could spend day walk round area , go back one day ! ! 
 Nov 24 2008 	 great stay ! ! ! 	 great location , near subway . first time New York probably come back city hotel again . staff nice breakfast good . husband great stay Washington Square Hotel . look good hotel , good price great location go far wrong Washington Square . 
 Nov 18 2008 	 nice place beat tourist track 	 nice little hotel right Washington Square , convenient conference attend NYU . lot restaurant around nice overcrowded midtown area . room nice , roomy NYC , slight smell old sock . not overpower , open window ( nice window open ) . room first floor , right street , street noise issue . would stay , would request upper floor . staff nice breakfast ( include ) good . 
 Nov 13 2008 	 great stay book next year 	 return 3 night stay New York must say hotel great location . 3rd visit city far good hotel price location stay . group nine lad weekend check hassle free find staff friendly . room small keep spotlessly clean . one thing miss tea coffee make facility room minor detail everything else could need provide . breakfast fine fresh fruit , pastry , fruit juice coffee good start day . all great stay Washington Square Hotel already book next year go back wife . look good hotel reasonable price great location go far wrong Washington Square 
 Nov 7 2008 	 good Value NYC good location . 	 stay hotel stop - over en route home Europe . the location terrific , smack west village , subway stop corner link anywhere may need go , include JFK airport . the staff friendly , room clean comfortable . breakfast Village North restaurant basement hotel well expect , fruit , coffe , juice , pastry selection . this second stay last . 
 Nov 5 2008 	 Great Stay 	 stay 3 night , find reception staff really helpful . room quiet clean . back hotel 4th floor , build /renovation work go within hotel around effect stay . it close Metro station grey line hop stop . good choice place eat within easy walk distance never feel uncomfortable walk around dark . the breakfast option include fast self serve bar area take bag provide picnic , sit waiter service restaurant downstair . throughly recommend hotel staying hope . 
 Nov 4 2008 	 great 3 * hotel ! 	 wsh great 3 * option Greenwich village . room good size modern . bed really comfortable enjoy stay . check easy breakfast good . would def recommend budget can not stretch 4 - 5 * Midtown hotel . also easy get taxi outside ! 
 Oct 29 2008 	 Great Location Village 	 stay WSH week early month please . change room start stay Queen Deluxe first assign , , small ! know hotel room NYC tight hugely fussy honest , would comfortable first room week ( esp . shop LOL ) . however , quick visit main desk , new room assign , wait one day - well . second room not huge either good deal big first comfortable . little road noise hear , be not issue visitor NYC - hope . hotel clean , staff courteous helpful main plus - location . stay mid town 2 previous visit ready change , glad - make completely different NY experience . subway right end street get location want without change train , get either one 2 line take main attraction - excellent ! not try restaurant - many choice elsewhere . complimentary breakfast nice touch plenty usual continental item available . all , WSH exactly say website would recommend . not think will go back though upper west Side head next time ........................... 
 Oct 20 2008 	 good hotel good location 	 stay 4 night recent short break New York satisfied stay . room small clean bed comfortable - look spend time see sight . breakfast include price , although fairly basic , meet need start day . indicate previous review , hotel really convenient location get around city pretty lively evening . hotel restaurant serve good food worth try . 
 Oct 17 2008 	 Perfect location nice hotel . 	 location hotel - right village entrance , simply prefect . near Subway station 2 minute walk it . our room small , especially take 2 DBLB room family 4 , ok since use room sleep . hotel staff nice & amp ; helpful , breakfast ok nothing write home about . the location hotel main reason ' m sure return stay future . 
 Oct 15 2008 	 fantastic location 	 second time stay WSH . main reason pick hotel location , heart Greenwich Village . be right next NYU campus , COURSE go noise activity outside ! build around 9 floor , be go high enough miss noise , issue , aware . , noise issue , maybe New York city not ideal destination ? ! say , noise not bad , manage sleep pretty well every night ( bring ear plug ! ) . ask quiet room , room 810 , deluxe queen . room much large one stay last time . towel robe , umbrella , hair dryer , safe , flat screen tv , iPod doc , iron board , etc , room . problem noise describe construction site practically right outside window ! build next door renovate really bad first arrive , day . ask move tell room one big anything else would small could not move we next day . turn , not move hotel nearly day evening , time get back construction work stop . people might experience problem noise side building reviewer mention . not want sound negative . great hotel - expensive compare place ; bit rough around edge place , honestly can not beat location - right Greenwich Village , 10 min walk Soho , near subway . plus free breakfast not sniff ! staff generally helpful , especially great guy work floor lobby , friendly , give advice call car airport , etc . would definitely stay . not expect 5 * luxury bed turn - down service will ok ! 
 Oct 9 2008 	 stylish small -- -May noisy 	 book WSH feel good value Manhattan want explore area . overall enjoy experience .... hotel feel almost european -- fact seem full british folk , Americans . need carry bag front step one flight first floor room . one night . room size might become issue long stay . room bathroom small ( know would case ) , decor sparse stylish , staff friendly helpful . major issue NOISE -- street & amp ; sidewalk outside window night ( A / c mount window , exterior noise filter ) construction noise adjacent building undergo major renovation day . Request & quot ; quiet & quot ; room book check . guest appear noise problem ask change room . room front east side building might less noisy ( west side rear ) . try breakfast ( include ) hotel , choose walk nearby cafe instead . Babbo Restaurant locate across street , reserve ahead feel like splurge memorable dinner . restaurant within walking distance . Washington Square NYU nearby , lot activity go . think look hotel ... WSH may great need , short - coming . 
 Sep 28 2008 	 good hotel excellent location 	 overall enjoyable time Washington Square Hotel . room small time spend not really problem . room clean , toiletry replace daily , safe , tv , Air Conditioning ( bit noisy ) . interior view room problem noise apart usual inconsiderate guest find okay talk top voice pass room night , will find anywhere . continental breakfast good , fruit , cereal , muffin etc . North Square restaurant lovely reasonably price . love Art Nouveau / Art Deco interior , reviewer seem think dark think lovely cosy . complaint make aware friend try contact hotel put bottle Champagne room surprise pass reception restaurant back , outcome not get Champagne celebrate honeymoon , sure symptomatic hotel reflection customer service level NYC ( make ! ) . location good want break noise uptown spend great afternoon explore village . whole 's outstanding hotel good experience . 
 Sep 10 2008 	 Average 	 stay one night , spend four night Cosmopolitan Hotel Tribeca , two night Alexander Inn Philadelphia . wsh far expensive three hotel , easily bad . room generally shabby , feel prison cell . echo , sparsely decorate , inward face window afford we view kind courtyard . actually feel like underground . Breakfast ok , price ( pay £ 200 one night ) really disappoint whole experience . perhaps hotel stay trip raise expectation somewhat , , really disappoint whole . must give credit however staff reception evening , friendly , courteous helpful . 
 Sep 7 2008 	 good location good value 	 stay WSH end August 4 night long weekend London . stay NYC previously near Times Square keen stay different part city explore Greenwich , Soho etc . location hotel make excellent base probably be big asset . arrive night allocate room 5th floor . book deluxe room queen bed glad , not much room bedroom ' m sure much small standard room / bed would . room pretty basic , clean comfortable make perfectly adequate base weekend stay . be look plush room mod con not place want somewhere clean comfortable lay head end day NYC place . real issue room air - conditioning . AC provide small window mount unit make lot noise not effective . temperature could do AC night decide put thought would kept we awake noise . give 's location proximity bar club etc hear bit street noise late night , nothing bad light sleeper good ask quiet room possible . good point hotel free internet connection complementary continental breakfast . consist juice , coffee tea , cereal , yoghurt , fruit , bagel muffin good start day . want something substantial order menu , price pretty reasonable . also drank bar night arrival fine , little dark . good thing place location . heart ' the village ' across road Washington Square Park subway station end road . load bar , restaurant shop within 5 minute stroll enjoy explore surround neighbourhood . overall happy stay . nothing fancy hotel happy get price pay think reasonable NYC . would consider come back want stay part city . 
 Aug 30 2008 	 Plenty history much cleaning 	 enter lobby , enjoy taxi ride whole Greenwich Village area first time ( ! exciting ! ) , key enjoyable stay . reception area full character — they ' ve go mix Art Nouveau , Art Deco , combine Greta - Garbo vibe . lot dark color , enamel , rich velvet . reception - area staff also nice ; courteous , helpful . guestroom ( be old Manhattan , expect teeny - tiny lot rehabbing ) , eye get adjust 1930s gloom , begin notice lack diligence dust vacuuming . 's bathroom -- -ok , ' m clean freak , not mind see occasional hair people basin bathtub along not - perfectly - remove spot toilet bowl will fine standard housekeeping WSH content , least accord molecular evidence bathroom use . not look many corner . the breakfast room fine ( end maze corridor ; also , turn gourmet lunch spot noon ) . coffee basic ( grab run flask ) . , be sensitive thing like coffee cup breakfast bowl little sticky touch rather feel 100 % clean — because ' ve boil dishwasher ; use work canteen kichen – you might enjoy part hotel . 
 Aug 26 2008 	 Great locationwould definitely go 	 daughter love hotel . great place return hustle bustle city visit place NY glad stay ' the village' . the surround area lot character lot quirky little shop place eat nearby . little street noise far less would get part New York hotel give quiet room request .There subway end street find easy get around central main sight activity . the staff coul not ben nicer fall helpful . dining room worth visit , go twice food excellent time . yes room small clean comfortable . art deco style cool funky . certainly book next trip ny . 
 Aug 20 2008 	 Good Trip 	 Excellent location . room quiet less 3 foot next building . , nothing look . room small typical ny . bathroom quite nice . everything new . good value $ $ . 
 Aug 20 2008 	 great place 	 Pleasant , somewhat old fashioned hotel terrific location . room small comfortable , small yet serviceable bathroom . clean light ( room face front street . ) continental breakfast pretty good . desk staff concierge friendly helpful . refrigerator room , television small mount high wall . minor issue . great place stay focus low Manhattan . 
 Aug 13 2008 	 week stay washington square hotel 	 hotel room beautiful , recently renovate amazing 1930 's style new york love much . hotel great , front desk staff overly friendly do not problem ! guy stand lobby make though , really friendly always chat could ! location great new york want travel around much , locate near enough inbetween Times Sq statue liberty . also 10 minute walk subway easy enough get around ! 
