Nov 	 great service great location 	 wife enjoy stay last june great service close attraction 
 Mar 7 2009 	 excellent base sightseeing 	 return Crowne Plaza pleasant stay . get one night 50 % , standard hotel really good value . our room ( 456 ) fine spacious ( well experienced central London hotel ) . possibly small bathroom ever see ' problem . room great range facility , clean good condition . slight problem light ' always come straight away , inform due age building . ' major issue – fact , quite like quirky nature ! staff attentive friendly , especially reception lady concierge . ' breakfast hotel lunch Quilon restaurant , absolutely delicious must like indian food . location fab ! never stay side London future . much walk distance , great . far underground either . ideal base visit Buckingham Palace . would highly recommend hotel hope re - visit soon . 
 Mar 4 2009 	 Top Quality 	 hotel consistently good value . stop weekend recently , experience excellent efficient check check . room fine spacious , gripe carpet wear . Bathroom OK , water pressure poor though therefore shower great sufficied . breakfast excellent plentiful . staff attentive efficient without impose . hotel bar big busy , drink typical London price service top class . location sell hotel , short walking distance Buckingham Palace ideal base . , excellent stay would recommend hotel . 
 Feb 24 2009 	 lovely romantic weekend ... 	 really enjoy stay hotel . standard room spacious , comfortable well decorate . minibar well stock although expensive , be expect really . room service menu varied , prompt delivery lovely presentation food . we dine twice hotel , firstly Michelin star Indian restaurant . find food brilliant , cook perfection great service - waiter even crumb table ! hotel food try Hamptons bar . possibly delicious Bolegnese ' ve ever try , serve quickly could rush catch train . reception concierge helpful , quick check out / check attend every need . would definitely reccomend stay good ( fairly quiet still central ) location . the negative bed seem really short . 5 & quot ; 6 foot end bed . mattress comfortable , however . another issue weekend maintenance work Circle District line , hinder travel somewhat . however fault hotel . 
 Feb 20 2009 	 bed small Room Noisy 	 arrive back one night stay hotel , book Air Miles second choice collect number year ago . Check & amp ; reception good , although notice put table set outside dining room cold piece steak vegetable show dining room , put we attract we . give room 270 non smoking . follow couple phone call find case arrive 30 minute later . bed small double really suitable two people . bathroom adequate however surprise loo seat small loose . try sleep small bed easy good time air conditioning unit outside stop start every twenty minute nightmare , 6.40 District Line tube start rumble past last straw . would return sorry noisy , bed small & amp ; certainly expect loo seat fall small . 
 Feb 11 2009 	 Jewel Crowne 	 back great 3 day stay hotel . suppose 2 day , weather force third night stayover flight Dublin suspend . could accommodate help arrange flight . everyone friendly helpful . hotel ooze old world charm standard . hampton bar fabulous place relax hectic day London . location , perfect , much see within minute walk . will back ? first oppertunity . 
 Feb 2 2009 	 home away home 	 hotel home London . location excellent , close lot attraction transport . room comfy nicley decorate . recently upgrade we jr suite previous stay , regular room fine . nice lobby courtyard . staff quite good . always friendly helpful good face recogntion . always get cheery welcome back mrs b stumble taxi laden luggage front desk . day travel , nice . security guy great ! lose address book though never find , tear apart room , make follow call tell since permission , would send ever find . permission need chief security tell & quot ; not usually send leave item without express permission since guest would prefer home know staying & quot ; , guess discreet . room service mixed bag . keep change menu lately 's definite asian slant . want curry , will go brick lane . still , club sandwich cheese burger rank high . use club / burger equation rating hotel ...... can not , ' m outta ' there.the spa facility okay nothing write home . husband gripes size sauna try month ago fine . due age building , seem always little technical glitch . see promptly . elevator working , guy show other . water pressure problem , room upgrade . heating go amiss , engineer look portable heating instal . overall , feel like slightly quirky lux hotel corporate cookie cutter . business service fine also . 
 Jan 21 2009 	 close Buckingham Palace 	 go London look something good quality hugly expensive , would say ok book hotel . hotel 5 min St James Park tube £ 8.00 Shaftsbury Avenue Taxi much Euston Station . staff polite , professional friendly room big enough ( room look court yard ) , maybe slightly tired prefect want . ' dinner hotel , breakfast bit strange restaurant hotel busy , however think week breakfast fine . less 5 min walk Buckingham Palace . would definatly stay . 
 Jan 17 2009 	 Ugh well 	 well , location fine . street several good place eat , good pub . ... kind mold bath room , furniture come room bear ( 1974 ) . want save money , trick . wife , not like dirty place .... pay . also , bar restaurant hotel bad . heck drink hotel bar eat hotel restaurant London ? stay want save money . 
 Jan 6 2009 	 pleasant experience ! 	 book hotel package deal mean get room good price . partner go 4 day around New Years Eve . find service quite good lobby . room big clean . order room service twice , one time food arrive warm hot . room , nice , locate right back hotel , literally 150 + step elevator , would not nice elderly guest , young child , do not mind much . also dine restaurant , Bistro . service excellent , food delicious ! though , expensive night whole time there . good location , good service , overall , pleasant experience ! 
 Jan 5 2009 	 Value money 	 book hotel well advance get great value money , especially London hotel fantastic location . we fly visit Christmas New Year Crowne Plaza make pleasant base hectic itinerary . complaint bed seem partially make , thin white quilt cover look like quilt protector - ditto pillow cover . sheet , bed cover seemingly pillow case . quilt also extremely thin extra blanket room , little cold night . the reception staff friendly efficient . we great meal cocktail adjoin Bank Westminster restaurant . 
