meet 	 choose hotel Hilton Canary Wharf rank highly tripadvisor review . however , quite disappointed . hand , upon arrival midday inform room available , seem like great start stay . make request anniversary clearly completely ignore little angry . standard room quite large lovely bathroom . clean immediately notice bed quite small low . hilton around London , bed big notably much small other disappoint . another problem fan keep switch matter many time would switch throughout night , cold . usually breakfast , seated waiter / waitress immediately offer either tea coffee introduce buffet selection , however case wait getting fed eventually ask could tea . breakfast lot choice fruit / pastries/ cereal etc . however hot food look appetise . dirty plate remove table either mean limited space . overall breakfast service standard . overall , think much well hotel deserve rank particular Hilton not think would recommend probably will not return . 
 Great Hotel ... 	 stay 1 night late November find hotel high quality . arrive quite late , check extremely fast also give free upgrade executive room , great surprise . room lovely . spacious , large tv , ample storage space spotless , well equip bathroom ( excellent shower ) . view not scienic , lot construction work go , can not fault hotel , noise hear . decide go dinner breakfast package , feel work good value money , £ 50 extra . dinner Cinnamon restaurant downstair delightful , delicious come excellent service . breakfast really excellent buffet , something suit need ( breakfast cost £ 20 prebooked ) . staff extremely helpful , especially concierge , provide plently transport map , cinema time , tour intinerarie general know . location , hotel well serve transport link . South Quay DLR station 1 minute walk hotel , get almost anywhere dockland area . walk 5 minute Canary Wharf tube station , get tube directly city center , go o2 , one stop opposite direction . Canary Wharf mainly business district , also many good place shop , eat entertain . 5 minute away form hotel , Canada Square shopping center , boast many high end budget shop also large Waitrose ( grocery store ) . also ice rink outside , great fun cost £ 9pp . 5 minute away Jamie 's italian ( Jamie Oliver ) , fantastic restaurant , really modest price ( main , side , drink = approx £ 15 pp ) , aware restaurant take reservation , wait common , worth ! , wonderful time Hilton Canary Wharf . return area London , would absolutely return hotel . beautifully furbish room , excellent helpful staff , delicious food convenient location make stay memorable one . 
 Quality Hotel 	 stay order catch early flight City Airport . Hilton really well locate Canary Wharf . right next shopping area restaurant . the room well appoint comfy bed decent high pressure shower . the restaurant doubtless good one go something much modest surround area prefer . the hotel quiet great partner light sleeper . the one moan hotel breakfast order room service not turn time - v.early flight want coffee 5.30am . not even begin 6 am . however doubt would matter visitor . a good example Hilton good business traveller . 
 Sep 22 2009 	 Liked ! 	 never stay , reservation , reception staff welcome food offer - although bog standard Hilton menu , well cook . london hotel think quite resonably price , summary would stay . 
 Sep 14 2009 	 Bland 	 hope well thing . stay Queen deluxe room . much big , lack warmth quality feel . bed mattress see well day - creaky lumpy . Complimentary ( small ) bottle mineral water include rate . Whoopee . could help large bottle will charge £ 4 soon break bottle seal . ouch . not think open mini bar . & quot ; Kerching & quot ; bill otherwise . public area bad , though corridor floor stank cigarette smoke . car Park £ 20 24hrs ( £ 15 quote Booking.com ) . VAT include despite agent claim . Taxi West End cost £ 25 £ 35 way ) wire internet £ 15 24hrs PLUS vat.location wise , quiet , reviewer say , near DLR station , short walk Thames Clipper service . its probably ok business exec week . would stay though . in fact might avoid Hilton 's altogether . price quote price will end pay . will not long charge use aircon tv room . 
 Sep 12 2009 	 one pleasant hotel stay ever great staff ! 	 long overnight journey across atlantic long trip Heathrow hotel , pleasantly check hotel . bring medicine need refrigerate conceirge refrigerator could leave . room nicely decorate double bed comfotable chair . minibar want use , coffee tea maker HDT flat screened tv . bathroom good sized big tub full assortment shampoo . we know go get breakfast room surprised find full buffet breakfast . buffet everything one could possibly want include someone make omlet order , type cereal , pancake , french toast , fruit , lox , assortment juice , even sparkle water . well one could find cruise . rate get excellent since Hilton special , stay one night , get one night free . must commend conceirge staff . incredibly helpful , answer question make reservation need always pleasantly . staff make stay excellent . only thing watch extra charge . internet expensive use minibar . make sure not store anything minibar , since put little yogurt charge 9.5 pound additional , later removed charge . free gym though one must pay use business center . the location Canary Wharf little way Central London , underground station near area contain many store restaurant . also , area wharf seem popular sophisticated young single . nice area walk around , along canal . 
 Sep 5 2009 	 really nice hotel great business leisure 	 stay three night sight - see trip London . Great rooms- modern could needgood location - right near jubilee linefantastic breakfast- bit crowd timebar room service expensivewould consider executive next time use bar free drink 
 Aug 18 2009 	 first class every respect 	 group appear get excellent deal . hotel excellent , modern spotless friendly , helpful staff . fabulous room huge bed . great choice buffet breakfast . an excellentstay , would definitely go 
 Aug 18 2009 	 Excellent ! 	 love hotel ! greet late night friendly helpfull staff . stayed & quot ; double guestroom . & quot ; loot expect ever see ( be use normal turist - hotel ) . great view ! breakfast also amazing . various kind food - taste ! , lovely hotel - would definitly come back recommend everyone go London ! DLR right outside hotel ( without noicy Hilton - guest ) , Jubilee line far away either . skyscraper Canary Wharf amazing , atmosphere relax tough buisiness - area . 
 Aug 17 2009 	 rather lovely cheap 	 spend two night hotel book buy one night get one free offer Expedia . stay executive King room also give we access executive lounge . the room lovely view London Eye Tower Bridge , bed huge , bathroom also huge . we check executive lounge staff could nice , complementary drink canape lovely touch . my slightly negative comment would price drink bar , queue breakfast , breakfast vast selection suit international clientele - although avoid vegestarian sausage - not know make , nasty . overall would return , similar offer available . 
 Aug 17 2009 	 ask ( be Diva ) 	 stay time : 3 nightspackage : stay ( one bedroom , double bed ) + BreakfastSince opinion subjective matter base intimate experience expectation , try accompany every opinion example , user finally come conclusion . hope find useful . reception : check fast ( less 5 minute ) . staff high standard : multilingual personnel , always smile ask help need . hotel appearance : look & quot ; business & quot ; stile : typical hotel like 80 decoration , nothing peculiar . elevator relatively big fast : 3 , always work . lobby wide ; floor polished clean . floor status : Carpet corridor , clean . peculiar decoration . smell little old wood . room : big enough , understand standard vary . bed double size , 2 side table enough space move around . big mirror , write desk include . big window ( half wall ) long double curtain , way floor . bathroom big , bathtub , toilet , shower , etc . towel always clean . product provide every day . seem good quality one . environment : note care environment find room , think nice ... even would nicer pay attention try really care environment . breakfast : serve time . staff awesome nice . accompany customer table , provide coffee , tea orange juice . rest buffet style . food quality fine . negative spot : milk serve cold , make coffee cold quickly . hot milk , request . continental full english breakfast offer ( , check availability book ) : want . Room Service : ask room service twice . first greek salad , burger , salmon wrap , prawn cocktail . everything nice . negative spot : greek salad come lot onion pepper . , 2 thing : say ingredient menu Greek salad traditional recipe come ingredient . second time , club sandwich , Caesar salad , salmon side dish , & quot ; antipasta & quot ; . , write & quot ; antipasta & quot ; instead & quot ; antipasto & quot ; menu . Caesar salad bad : lettuce well open , sot leave came attach together one another plate . dress strange : ' m sure describe , maybe much garlic , problem lettuce , bitter , hard way cold , almost uneatable . turn back , know one - day - incident . staff : really , staff awesome , reception , room service , restaurant , : life good kind we customer , job slave . 's really upsetting see someone treat bad waiter : fact service mean be servant . overall : good stay , nice experience . 
 Aug 17 2009 	 could not fault 	 travel dog Barney . phone ahead check would welcome . staff absolutely fantastic ( cutest dog world ! ) room really big well design . breakfast good well organise . staff friendly efficient . great stay . 
 Aug 15 2009 	 Excellent 	 excellent 2 night stay hotel booking last minute 2 1 deal . great location , less 5 min walk underground train station plenty bar shop door step . definitely return . 
 Aug 12 2009 	 wonderful experience 	 friend come visit want take London . decision stay Hilton high rating review tripadvisor one hand price hand . hotel nice . we stay overnight room double , friend stay 3 night junior suit , lovely . every day compliment hotel , nice breakfast helpful staff make trip wonderful . unfortunately weekend Jubilee line run due work , use DRL also quite convenient . overall Hilton Canary Wharf good value money . P.S . internet room expensive ! 
 Aug 8 2009 	 Nice Hotel 	 ' ve stay Hilton Docklands several time always love . be far good hotel experience ' ve London area . be quiet -- ' ve never hear anything another room , never hear door slamming , etc . lovely staff . Hilton Honors member ' ve give upgrade lovely room time ' ve stay . great executive lounge . 's easy get London tube . highly recommend ! 
 Aug 5 2009 	 nice hotel 	 nice hotel . near center london , near ground boat possible take . Locaton them , nice : ) 
 Aug 4 2009 	 Hiltons good ! ! ! 	 stay 2 night Hilton Canary Wharf perfect . love place . we upgrade executive room £ 10 extra per room per night worth every penny . executive lounge brilliant ; free food , free drink free internet access day ! free soft drink day free alcoholic drink aswell 6 pm . there s ' man ' bar executive lounge , simply help food drink want ! breakfast main resturant lovely faultless . 4 / 5 star hotel ' ve stay London , queue food go back cook buffet breakfast bar sausage hash brown leave example . , plenty food everyone ! upgrade executive room lounge icing cake stay hotel . modern , clean , staff helpfull plesent we . ask ! can not wait go back ! 
 Aug 4 2009 	 great hotel - great value 	 Hilton really gem . brand new spacious . room clean , modern well equipped . get space standard room central London hotel , would need book suite ! location fine - yes , 20 min tube ( right outside door ) central London big deal . stay new , quiet comfortable hotel far outweigh . remember plenty shop great restaurant Docklands . everything run smoothly staff friendly efficient . eat breakfast fine - ususal buffet decent selection . 
 Aug 3 2009 	 Fantastic Hotel ! 	 nothing negative say Hilton Canary Wharf . moment get , staff helpful friendly ; could not enough . book executive room stunning , spacious , clean luxurious . bath robe slipper lovely bathroom stunning , separate bath shower . lovely view across London room . Executive Lounge amazing ; free drink food early morning late night . breakfast massive choice traditional english breakfast Continental breakfast . fabulous indian restaurant nextdoor hotel beautiful ; food great obviously perfect location meal return Executive Lounge free drink ! definitely stay would highly recommend brilliant hotel everyone . 
 Aug 3 2009 	 good hotel internet access charge ludicrous 	 finding reasonably affordable quiet business hotel London decent sized room difficult . Hilton deliver aspect accommodation previous review full justice . however travel business internet access like run hot cold water essential . Hilton fail miserably . try nickel dime GBP 15 charge internet access via one third - party operate room connection . nowadays one get full monthly subscription 3 g broadband provider price . end use 3 g mobile connection instead . even roam charge still cheap check couple e - mail way . 
 Aug 3 2009 	 Excellent service clearly well train staff lovely room . 	 eleven year old daughter stay love every minute . staff remember daughter 's name nothing much trouble . executive lounge facility great - daughter surf net couple glass wine - complimentary . toiletry replenish daily . guess stay hotel like time novelty wear we special treat disappoint . South Quay station DLR literally step hotel try plan trip round come back station walk around night , although Canary Wharf seem like good enough area . staff clearly well train customer service disappointing hear fellow guest quite rude eg complain type wine offer despite pay ! ! would definitely stay . 
 Jul 22 2009 	 ' m hotel snob love place ! 	 husband , two year old son , stay Canary Wharf Hilton last week total 6 night . not big fan Hilton Hotels past , Hilton point want use trip . research Hilton property Trip Advisor , decide particular one . 's situate new financial district , close main tourist area , catch underground outside hotel , get anywhere need go . husband gold status , upgrade room without even ask . staff helpful , always pleasant . room twice size standard hotel room London , well appoint . new find respect Hilton hotel , hope model propertie one . 
 Jul 14 2009 	 let 	 situate middle building site lovely view construction worker dustbin . somehow middle summer manage make room cold need coat indoor . local amenity , unless count train there . do not let room rate fool ( £ 120 per person per day not cheap start , although get ' free ' day offer ) - * everything * extra . parking £ 20 per day . breakfast £ 20 per person per day ... 's basic cost bring hotel level competitor . forget bar - small glass coke cost £ 3.50 , want advertise amenity , well internet access another £ 15 day . not even want imagine gym cost . for £ 20 would think breakfast would something special .. think . Undercooked scramble egg , sausage salty need health warning ... 's reason restaurant almost empty every time see it . Hilton use name could rely . long .. 's excuse nickel dime death average service . 
 Jul 7 2009 	 smooth start finish - fantastic hotel 	 friend arrive early check - in time expect leave bag instead greet able check straight away , even give upgrade executive room ( nice - thank ) check - in smooth . room 1221 lovely well equip . hotel lot facility gym , spa etc overnight stay make use gym . hotel perfect location O2 arena destination saturday night . arrive late back hotel order room service beautifully prepare deliver door 20 min say would take ! follow undisturbed sleep enjoy wonderful buffet breakfast would satisfy dietary need . fantastic hotel would definitely hurry back ! 
 Jun 20 2009 	 lovely Hilton beware Jubilee Line ! 	 go see Britney Spears . what one stop Jubilee line turn massive trek London tube strike . hope every one lose job . as hotel , practically build top dlr ( South Quay station front door ) .very nice still look new inside . staff professional helpful , particularly duty concierge June 6 ( night shift ) , help takeaway . not much way shop / restaurant later , except hotel itself . the room typical Hilton , although incredibly long reason . everything , albeit touch bland . warn construction site around back , lucky stay Saturday night . the breakfast excellent selection cook selection delicious , unlike chain hotel breakfast . also , wait staff attendance assist good . all , hotel pleasureable stay perhaps touch isolated tourist . 
 Jun 16 2009 	 absolutely brilliant 	 third stay retain extremely high standard . executive room , allow we access Executive Lounge , excellent . perfect service every time highly recommend . adverse comment would £ 20 car park charge . however , car securely park underground , gate access control front desk staff . 
 Jun 16 2009 	 absolutely Fantastic 	 Stayed weekend visit london Britney Spears concert , fantastic hotel , serivce faultless , check qucik easy , arrive hotel 10 am allow check early room avail . stay standard room , get january sale , around £ 70 , room fab , spacious , modern , . confortable , free toiletry , free water bottle arrival , location also brilliant right next dlr , tip- get south quay much close hotel get canary wharf stop , make mistake slight trek hotel , tube line stay , do not affect we , still easy enough get around DLR cheap , 2 dasy use , think spend around £ 6 travel alot ! ! , breakfast next morning world , much choice , everything fresh tasty , hotel receptionist order we taxi , upon arrival taxi , chuffere hotel car door open / close we , feel like royalty . overall beautiful hotel , top notch room , service food , would return heart beat . thoroughly impressed , good job guy ! 
 Jun 15 2009 	 Perfect ! 	 hotel really close South Quay DLR underground stop , convenient location O2 arena central London , . receptionist friendly arrive , give we free upgrade mini suite . room spacious separate lounge area massive bed . separate bath shower bathroom , plenty towel toiletry . tv decent sized flat screen usual freeview channel . breakfast buffet good selection cook item , cereal , fruit , pastrie cold meat . staff friendly helpful . , perfect stay . 
 Jun 12 2009 	 Faultless ! 	 sister stay Hilton Canary Wharf recently London Britney Spears concert . love everything hotel could complain anything ! twin executive room 13th floor , mean express check free access internet printer etc . also breakfast executive lounge really nice , quiet relaxing . our room fantastic - exceptionally clean , spacious fab contemporary decor . bathroom large , modern sparkling clean . great selection toiletry etc one hotel every single item use actually replenish next day - annoy use cotton wool pad remove make next day new one . bathrobe slipper provide , complimentary mineral water choccie pillow . the location great underground DLR station - unfortunately Jubilee line close everything work absolutely fantastic place stay go O2 arena Jubilee Place shopping centre stone 's throw away french connection , Reiss , Karen Millen - heaven ! service staff great nice use sauna / steam room - way hotel could improve would swim pool honestly thing could complain ! Loved ! ! ! ! 
 Jun 10 2009 	 stay 	 Stayed June Sun 7th June concert o2 . love modern feel hotel , everything new clean . breakfast great . would even stay see anything o2 . good way travel thame clipper think , great trip river 25min walk hotel ( drawback good walker ) . stay . 
 Jun 8 2009 	 wonderful staff 	 book Hilton London Canary Wharf mean attend concert O2 Arena Saturday night ( unfortunately cancel ) . concert ticket post direclt hotel January , error , impressed hotel put aside without ask without even know exact date stay hotel . check hotel , went get hand immediately . the room bright , clean , roomy comfortable . separate shower & amp ; bath . nice breakfast hotel next morning , good range food . the staff incredibly polite & amp ; helpful whole time . concierge go way help we choose DLR & amp ; metro route around London . I would definitely consider stay hotel , even not attend concert . 
 Jun 6 2009 	 's Hilton ! ' Name ' say ! 	 locate walking distance Canary Wharf , good place stay office interest Canary Wharf . the view three financial giant Cabot Square breathtaking . at afternoon , find office go bird , hum together various joint . the dlr station near hotel tube station well , tourist , never find hard time reach anywhere . the front office guy humble helpful . feel glitter soon enter main entrance . the room spacious extremely comfortable . room service also efficient . overall Excellent experience ! 
 Jun 4 2009 	 one friendly hotel ever stay 	 & quot ; stay 6 night hotel may break trip USA . service really good moment step hotel checkout . twin room , occupy standard first stay executive return trip . type room good spacious . bed comfortable mattress thin Hilton hotel stay USA . bathroom standard room glass door place shower curtain one push glass door order step tub . appear bit tricky initially whether push glass door tub support oneself shower . however , get first shower , alright . executive room , separate shower bathtub . just observation though problem we ( sleep late night ) , one evening hear footstep come executive room 13th floor . check find room private room corridor next 14th floor executive lounge . light sleeper , avoid assign room . the staff encounter people man concierge desk , reception , executive lounge ground floor restaurant helpful , friendly warm toward we also perceive & quot ; nice helpful & quot ; . People could professional go job staff appear really work team . reception area one evening , see guest arrive greet warmly staff member concierge desk . however , guest really rude ignore staff member , smile go back desk . think encounter handle well staff member , probably take personally . there good spread breakfast lot fruit stay . access Executive Lounge throughout day 11 pm snack , drink free internet access stay executive room . the DLR South Quay situate next hotel convenient trip Docklands area . Tube 5 7 minute walk away ... short walk hotel , footbridge Jubilee Place across road station take Jubilee Line . short walk enjoyable day windy . windy day , take DLR South Quay Heron quay one stop away change Tube vice versa come back hotel . use Oyster card allow we make unlimited trip , cap certain amount daily . dlr station man one must forget get train without tap card & quot ; Touch in / Out & quot ; button . also tell place card & quot ; Touch in / out & quot ; button DLR station least 2 second register , one card validate South Quay dlr station . the location hotel quiet , away noise crowd Central London . fairly long ride Dot2Dot Heathrow Airport enjoy sightseeing along way . & quot ; 
 Jun 2 2009 	 # 1 choice stay next visit London 	 husband travel two week vacation Europe . London stay 3 day hotel 3 day Hilton Waldorf West End . must say hotel one would definitely return . husband HHonors Diamond member upgrade Executive Suite . room immaculately clean , modern , nice view area . location superb hotel locate stone throw away DLR & amp ; Tube . not mind take metro go main tourist area . eat restaurant okay somewhat bland ; nothing call home . compare Hilton property stay trip London choice return visit London Canary Wharf . 
 Jun 1 2009 	 great location 02 	 check 1 pm , great value money ( half price ! ) noise DLR.Great location 02 even though Depeche Mode cancel ! ! room nice clean amenity would come expect Hilton . lovely breakfast would return next concert . 
 may 31 2009 	 Good Price Good Service 	 stay visit 02 Arena . gig cancel do not end go 02 great 2 night stay . clean , modern excellent breakfast pick £ 75 night . would stay . within walking distance bar Canary Wharf DLR right outside . 
 May 26 2009 	 good Modern Hilton 	 modern high - rise Hilton next bustle Canary Wharf area , complaint item since everything go smoothly . hilton London likely Top 3 . still quite 5 star since book reserve Über Luxury pamper hotel Peninsula Four Seasons . IMHO bite far away really compete central London hotel , one far superior Hilton Docklands nearby . Review base one night stay May ' 09 ( background spend 80 + night per year different hotel around globe ) location : Personally would say little bit far " normal " sight central London Oxford Street , British Museum etc . also Heathrow quite long way . intention use City Airport ( maybe 15min DLR light railway ride away ) spend time o2 Arena Greenwich course location really ideal . Nearby Canary Wharf mall , couple pub restaurant . room : HHonors Diamond member upgrade Executive Floor room 13th floor ok size ( globally speak , big London standard ) , modern spotlessly clean ( rest hotel ) . welcome package include two bottle water small selection sweet . bathroom quite large separate section bath shower . noise DLR train even 13th floor since DLR track basically hug hotel wall , apart little noise . service : Executive Lounge quite big relatively good offering , include warm " light evening buffet " rather large assortment different complimentary alcohol beverage ( 6 pm 9 pm ) . lounge offer nice view 14th floor towards Thames central London sight London Eye . special honorable mention must give lounge serve also wonderful London Pride addition normal tasteless bulk lager beer , first time ever Hilton Lounge ! check - in check - out handle lounge . etc : breakfast lounge quite ok , well extensive selection many lounge encounter far . obviously downstairs " real breakfast " likely would selection one job fine . ' try restaurant gym comment . value money good since end pay Executive Floor room incl . breakfast less 100£would return ? yes sure ' ever Canary Wharf area . 
 May 21 2009 	 Excellent hotel need 	 stay hotel partner holiday want spend time London sightseeing . book double room offer ' spring offer ' include breakfast . arrive hotel 30 minute due check room available could check early . prepare pay deposit room stay hotel , extra may damage . mention pay deposit book online bit shock pay although refund within 7 - 14 day stay . room 9th floor ( room 912 ) quite big although not good view . bathroom really clean bath shower , washbasin , toilet Crabtree & amp ; Evelyn toiletry . main area double bed really comfortable , desk , lounge chair flatscreen tv well two double wardrobe iron facility . usual tea coffee make facility well minibar not use quite expensive . warn minibar computerized move take item automatically charge . make mistake go tell lady reception understanding say would remove charge we ( not think person do ! ) location hotel really close Canary Wharf restaurant bar although hotel also bar restaurant not use breakfast . breakfast fantastic huge variety food offer include full english , toast , cereal , yoghurt , fruit , list go ! really impressed food colour code could see high fat , low carb etc . overall experience hotel super , staff friendly helpful room fantastic . would say want near sight would probably well stay centre london hotel nearer O2 say London eye say , good transport link centre london attraction . would definitely use hotel stay London . 
 may 18 2009 	 Great Place stay O2 . 	 stay visit O2 , one stop underground away . room spacious nice light . bed really comfortable , staff pleasant helpful , check possibly quick ever . breakfast excellent great choice cook continental . I would definitely stay . 
 May 16 2009 	 comfortable Clean Spacious 	 stay April part birthday treat , room queen deluxe room book good deal 50 % time offering , room really great spacious good facility include nice toiletry crabtree evelyn large bathroom robe , sure whether would got room good do not go deluxe truly luxurious . breakfast buffet offer continental english breakfast hot cold basically whatever fancy enough . would defos stay especially deal get , easy get well stop canary wharf underground station short walk shopping centre quite posh one fancy label restaurant . 
 May 15 2009 	 relax stay excellent location 	 hotel literally stone throw DLR stop one minute walk Canary Wharf Tube station . room airy spacious well appoint . lot little detail like La Source toiletry , proper hairdryer seperate radio alarm clock help make really comfortable stay . bathroom generous size bed extremely comfortable . staff friendly helpful , go way make stay effortless possible . arrive early ( 11 am ) check time not problem . not eat hotel can not comment food . would definitely stay . 
 May 13 2009 	 Nice Hilton / Good like Business Type Hotel 	 hotel nice . complaint hotel . staff top notch . complimentary breakfast great ( even vegetarian sausage ! ) . room beautiful . hotel locate rail line . great hotel . I dissapointe feel though stay middle large city 's downtown area . little charm area . feel like downtown Seattle . London see historical site . look London 's charm .... look elsewhere . feel though middle business district . stay early week cheap hotel right next St. Paul 's Cathedral thrilled . historical pub , historical site charm ! may dissapointe location Hilton looking & quot ; old & quot ; London . complaint hotel , would prefer different location . mistake research . 
 may 13 2009 	 modern clean high quality room 	 stay hotel number time . this pretty new hotel one Londons financial district Canary Wharf . hotel lovely , modern high quality finish throughtout . service good stay although 1 night time . this hotel ideal 02 arena - 1 stop jubilee line form Canary Wharf station . you access hotel via jubilee line canary wharf underground min walk hotel . DLR also stop behind hotel . if return late night wish something eat , fantstic indian restaurant ( place open ) directly across hotel entrance round side building . restaurant also takeaway , much cheap ordering room service . 
