Super 	 spend three night President Hotel mid - November excellent stay . slightly concerned report sort 50/50 , good good , either lucky ( doubt ! ) , people understand expect money . room clean recently refurbish , thing agree , bed " brick - hard " rustle bit ! ..... like orthopaedic bed … .. get accustomed even ! oh yes key … you would never take , make reasonable shoe - horn ! ! Breakfast ( full English ) efficient buffet selection always plentiful , never encounter queue mention elsewhere . we book Thomsons Superbreak everything go smoothly , even train time ! good value money . 
 good hotel- terrible breakfast ! 	 take boyfriend weekend away surprise birthday hotel . hotel good location explore London- close tube station , open - top bus starting point , local pub , Tesco suppliess , near nice restaurant . comfortable room , altho bed bite crackly protect sheet top mattress , clean . good service staff . get breakfast- start boyfriend 's birthday . do not want much early start breakfast suppose serve 10 am get 9 - 30am table dirty plate clear away , thing bun jam plate put anyway- sure choice early hang around bit not bring anything else . tea pot sugar put . orange juice . decide leave find nice cafe around corner . disapointe start day . so follow day do not even bother go breakfast . maybe day put we ! would maybe stay hotel bed breakfast basis . 
 3 star ? ? ? ? beg differ ! 	 whoever rate fleapit 3 star obviously live hovel ! isthis really well expect standard accomodation 2009 ? many hotel London choose , please accept advice pay alittle avoid stress atempte sleep chaos . true , location convenient , apply many hotel London . food , room , staff etc leave much desire , struggle find anything positive say . find astounding reviewer award place 5 5 , welcome . 
 Excellent Location comfortable need update 	 stay President one night . location good minute course venue 10 minute walk king Cross . room comfortable clean . everything work hairdryer would useful . meal evening ok good value price . restaurant generally clean staff attentive . breakfast fine . 6th floor not suffer noise problem . overall hotel quite dingy seem little natural light . use restaurant convenience not much way ambience . think hotel fine price comfortable bed night night could brighten bit . 
 fine hotel excellent location 	 book travel agent superbreak , idea hotel like . look tripadvisor find review say bad . find hotel clean , helpful staff desk restaurant . expect 5 star accommodation price pay like , room well heat , shower good , flatscreen tv , hairdryer trouser press room overall happy stay . agree reviews breakfast luke warm , feel much make time leave eat . 7.45 morning long opening . would gripe still able enjoy . go pre theatre meal night . good value food although suggest early sit food already set buffet 5.30 . would go back would not want costly hotel hardly due sightseeing theatre . excellent location tubestation take london use piccadilly line ( mind get oyster card get quickly cheap ) .if 1st time london like , book big bus sightseeing tour desk get around see sight , last 48hrs ( hop hop ) time year first stop round corner . 
 Oct 21 2009 	 GREAT HOTEL IDEAL LOCATION 	 wife stay President 12 - 16 October 2009 . first impression not bad . decor could little bit TLC , minor issue . arrival , greet friendly check staff check we problem . advise go room 324 - disabled accessible twin room third floor ( obviously ! ) . wheelchair user & quot ; wheelchair accessible room & quot ; different establishment , wife bite hesitant - need not . almost without exception , far BEST disable / wheelchair accessible room ' ve good fortune stay . establishment , wheelchair accessible room & quot ; & quot ; , whereas room President HUGE . standard wheelchair move ease throughout room bathroom , equip walk / roll shower , grab rail etc . understand wheelchair accessible room directly room e.g . 224/424/524 etc . the room spotlessly clean ( clean every day ) bed linen towel replace every day . whether stay normal practice , wheelchair accessible room , regard bed linen , not duvet , top sheet , blanket bedspread provide ! want quieter night 's sleep , suggestion would get room third floor . maybe come quiet street home , notice quite bit traffic noise time day - despite double glazing , second day get use it . the rate pay room include cook English Breakfast . time busy , dining room supervisor sterling job seating everybody go breakfast . people finish , table quickly clear reset . choice food not bad either consider include room rate . we would advise take English Breakfast , arrival would well 9.00 - 9.15am ( Breakfast serve 7 - 10 Monday Saturday ) food tend hot take breakfast 9 am . downsidfe appear majority guest decide take breakfast , queue not uncommon . we stay elsewhere London say President compare well . hotel London example , disabled / wheelchair accessible room attract high room rate - pay £ 95 night twin room President - everybody else would pay ! hotel IDEALLY situate popular tourist attraction - London Eye , British Museum etc . Investing Oyster Card also good idea - save fortune taxi London Buses wheelchair accessible . reception provide Bus Map charge show bus route . in closing , wife would HESITATION stay President future - plan already make return visit . would recommend friend family ! 
 Oct 21 2009 	 slightly less average three star hotel . 	 room adequate . food appaling atitude one Chefs poor , fact downright rude ! . rest staff however , polite helpfull . was'nt aware air condisione system opperation . much hotel stuffy smelly . 
 Oct 21 2009 	 would say ? 	 book Air Transat Vacations / Carlson WagonlitThis first time ' ve ever overseas warn European / british hotel lot small north american one . room okay actually , especially read review people , especially people stay 7th floor ( stay ) . bed , single , fit need . room clean , washroom well , confuse two tap bathroom sink ( first time ' ve see outside television ) . downside walk one end elevator , elevator 7th floor slow , walk 6th wait . try continental breakfast turn one day . toast chewy meh , everything else plain . least Pret Manger nearby . speak , two Tescos near hotel gigantic Waitrose well . Russell Square tube station two minute walk well . British Museum less 10 minute walk well . 
 Oct 18 2009 	 Nice hotel money 	 good location - right around corner Russell Square Underground , well hop - on , hop - off tour bus . staff helpful , especially book trip . contintental breakfast adequate . free high speed internet room bonus . room clean , little small . 
 Oct 16 2009 	 enjoyable stay 	 partner , daughter stay President 3 night recently , coul please hotel . place within walk distance place London City , 6 year old we , really help . hotel spotless credit staff keep high standard cleanliness . breakfast good plenty . meal 1st night also excellent , three course carvery dinner . staff also friendly hesitate change room request double give twin . whole nice place stay recommend hotel friend family , would go back future . PS . website photo hotel justice . much nice reality . 
 Oct 14 2009 	 great ! 	 return today 2 night hotel . location excellent really near tube . room tidy , clean roomy enough . however 2nd day resting room two woman walk room use another key claiming room ? ! ? complain reception move 7th floor 2nd night card opening floor key . would recommend people ask floor otherwise possession might secure ! ! find quite distressing seem strange . people mention breakfast bad - totallly agree ! ! pretty horrible also prepare queue ! ! also , table be not clean seem chaotic ! ! look budget hotel good location - hotel - however watch stranger enter room ! ! ! 
 Oct 13 2009 	 Noisy Dirty Hell Hole 	 wife stay november 2007 thomas cook 2 night stay rail London travel consultant assure we really nice hotel ignore review ( express concern book read review trip advisor ) arrive hotel first impression last impression say DUMP come mind see outside walk fear become reality DUMP exactly reception area date big jazzy carpet dirty look soil wall feel walk 1 star hotel Bulgaria . the room right corner hotel noise outside constant closed window heat unbearable air conditioning rubbish , constant drilling noise next door renovate hotel room ( thank let we know ) bathroom nothing short disgusting exactly floor use hospital shower throw back 60 's constantly worried contracting legionaire 's disease bad water yellow harsh make come rash skin intense burn feeling . the location ok rough part london night full creep trek street not feel 100 % safe holiday fine think go back DUMP ruin it . Breakfast joke want catch Ecoli feel free eat there . all hotel downgrade 1 star reason 3 star location not even good . I remember staff like really say . 
 Oct 12 2009 	 horrible ... 	 stay one night President hotel lobby old dilapidate . room plain run . could even get room door properly lock . upon arrival hotel , staff drag stink garbage bag main entrance hotel . breakfast ok terrific . hotel represent three star hotel London , would hate see two star hotel like . 
 Oct 12 2009 	 great hotel great location 	 stay hotel base recommendation British Airways . location great ( block tube ) . room 7th floor although 1 elevator 7th , rarely wait elevator . room small clean . shower ( shower door ) great . floor squeeke glad top floor . staff hotel helpful . full english breakfast pretty bad . although attempt egg over - easy , sit heat lamp cook . ham . last day , go Tesco morning buy pastry bring back room . location great regard tube . would stay ..... 
 Oct 8 2009 	 everything need short stay London - perfect location 	 efficient , friendly staff . nice room , mattress could well . need minibar buy excellent wine around corner ( good range New Zealand wine ) - cool bucket . stay . good value . 
 Oct 7 2009 	 well expect ! 	 expect small little hotel room London . room spacious ! room could cleaner ( especially bathroom ) liveable . breakfast awful ! actually eat breakfast 2 5 day spend . 4 type crummy cereal , horrible coffee tea , can fruit ( grapefuit plum ) , paper thin toast ( really chewy unedible ) . english breakfast look much well ... greasy breakfast bean , egg ham . save money eat breakfast elsewhere . & quot ; english breakfast & quot ; additional 4.95 pound upgrade english breakfast . room noisy weekend ( luckily leave ) . not noisy street .... noisy guest come room really late night . people come 2 really polite slam door loud talk ( not really hotel fault ) . wall paper thin respectful other talk loud night . location great . right next russell square tube station russell square park . also within 3 minute walk British Museum . love location ! pub called & quot ; Friend Hand & quot ; right close hotel great ! staff super friendly ! eager help everything ! blowdryer every room , need request need deposit 10 pound . 
 Sep 29 2009 	 Carver could try hard 	 return three night stay hotel . room well proportion spotless include trouser press tea make facility hairdryer request housekeep £ 10 deposit require . package include dinner first evening . opt Carver huge mistake . order drink husband go 12 yr old son choose meal wait table . constantly harass waiter order go buffet starter salad . waiter move order husband get salad despite tell repeatedly leave we alone . eat salad waiter bring drink table demand pay . husband explain middle eating would pay finish first course waiter insistant . embarrase fuss waiter making ; feel could not trust pay bill . husband complain manager treat disgraceful manner . main course son roast beef husband chidken . ok , beef tough , never chicken tough could not cut . food serve anywhere else would send back . restaurant know waste time complain leave food plate leave restaurant . one member cleaning staff comment & quot ; ... not clean [ -- ] pass rest hotel staff friendly helpful . would stay hotel part package ( train / hotel ) location good 's clean . would not eat restaurant breakfast ok . 
 Sep 29 2009 	 Perfect location great hotel 	 not know people write negative review hotel stay , perfect stay President . staff friendly , helpful enthusiastic . room immaculate bathroom clean newly renovate . 's luxurious hotel , be London sight , room . definitely plan stay . 
 Sep 27 2009 	 Perfect location good value money . 	 President Hotel ideally situate Russell Square . £ 4 taxi ride king cross 2 minute walk Russell Square tube station . nice restaurant ( Old Amalfi particular ) pub within easy reach within leisurely walk Covent Garden . room clean warm , although window ( metal frame aluminium secondary double glazing ) could update . self - service breakfast offer plenty choice set day . find staff friendly , helpful knowledgeable . will definitely stay hotel . 
 Aug 27 2009 	 good location okay stay ... 	 book hotel along train theatre ticket ... find location convenient , be close underground small shopping centre . price include 3 course meal ... would recommend Poppadom Express newly renovate buffet . selection small tasty much well meal select last year close - by hotel . breakfast busy get tell would get time queue long , let everyone ... not return next morning not fan food . the room clean basic theatre break price , make itvalue money . not go expect luxury . I would stay price remain low .. breakfast ! ! 
 Aug 23 2009 	 proper sleep ... nothing else 	 stay 3 day - 3 couple . though well situate sight seeing , breakfast service , bad ( want stress ) . believe queue morning usual August weekend , due unadequated room capacity almost 1000 people stay hotel . worth fact one could milk , coffee , bread , butter , knife , cup , forth , due slow rate replacement . continental breakfast , poor breakfast ever - ham , cheese , lousy bread , two type jelly , melt butter ... bad ever ... one replace good , since employ also clean table ... tablecloth table one previous customer , stain leave . leftover simply push away floor chair , even look ... refill milk , pick plate forth . service room ok , two bath towel per day new sheet every day . sum , first breakfast , start daily nightmare , think next breakfast ... 
 Aug 20 2009 	 good quality well locate budget hotel continue use . 	 stay day fourth month running felt compel write pleased hotel . exactly say tin - 3star centrally locate hotel traveller budget . from outside not look appealing , Bloomsbury building look like . inside , feel quite calm , check - in efficient find way room . my room clean tidy , bathroom modern - clean - feel safe secure . yes , noise late one night ( stay 3 night ) ' ve stay 5star hotel get noise . yes , delay minute one morning breakfast , 500 + room hotel know chance people eat time quite high . overall , find plentiful staff helpful , enjoy nightcap adjoining sister hotel Night Day pub use hotel base explore area close - by British Museum . what could want 3 * hotel ? 
 Aug 19 2009 	 prime location . 	 room clean , dinner first night acceptable , breakfast stay 3 night whilst take west end show , staff freindly . would problem go back . room overlook Russel square . thing say would like guest information pack room ie : room service , dinner time etc . back new year . 
 Aug 17 2009 	 least location quite good ..... 	 book hotel part ' deal ' mean train ticket plus hotel stay price first price get rail ticket alone . tell we something important ! ! include deal breakfast two morning dinner first night . first impression hotel bite shabby little tired . say , room ok , although bed too - familiar cheap , uncomfortable mattress deny decent night 's sleep . shower pitiful , well . iron room , either . but dinner whole experience . present wait seated . dining room half full still stand almost ten minute nothing much happen table two clear reset , finally show table . table line refectory - style uniformity table four simply two small table push together - ie , easy separate allow two people sit . strange . sit menu , main meal carvery , assume also go buffet starter . luckily , gain waiter 's attention order bottle wine inform we starter serve other waiter would bring table ! one offer information point ( rather show ) table . starter fine . mixed hor d'oeuvre , prawn cocktail soup . bottle wine arrive finish ! main meal awful ! choice chicken breast wrap bacon , over - cook look salmon steak , beef , lamb pork roast . husband choose beef , ask meat pink , chef least cut joint , rather give we slice look though have carve sitting time . not help . comment hard mess roast beef , wrong ! meat chewy almost impossible cut decidedly unpleasant mouth . be absolute first we : leave meal - find nearby restaurant evening meal . absolutely inedible . at breakfast next day , join long queue spill dining room across adjoining bar . member staff phone inside restaurant look little panicked number people wait breakfast . inside dining room quue length room - not move quickly . every seat room full . not wait headed get breakfast somewhere else . hotel noisy morning housekeeping get go . ' ve never put ' do disturb ' sign hotel door matter routine , President Hotel need - otherwise , housekeeping knock door early hour ! plus side , realise not need eat , be central really close underground , get around easy . say , will not go back ! even ear plug . 
 Aug 15 2009 	 can not find crack house ... 	 can not find crack house would allow sleep hour place provide style ambiance miss on . as budget London hotel go one pretty awful , would much well feel safe hostel . 
 Aug 8 2009 	 quite horrendous 	 friend stay President weekend break recommend ( ex ) travel agent . not rate hotel terrible sole reason bathroom clean quite modern , unlike rest hotel . would go far say depress first arrive . hotel date , room tiny hot bed uncomfortable small . People room smoking night smell actually wake we . 
 Aug 7 2009 	 Brilliant Stay President . 	 stay week return yesterday complaint . Great Location , Great Staff , clean , Warm , great family 's . would recommend anyone stay , read review idea people unsatisfie . great hotel great anyone budget . 
 Aug 4 2009 	 good price ... 	 room make every day everything nice clean part nice hotel , room small noisy . forget tv 4 channel boring , bring laptop DVD . close Russell square tube nice thing walk day long need rest . english breakfast include room . ok ... lot egg buffet ... ( fry , boil , hard etc .. ) toast every morning like peanut butter well bring not ) . coffee awful tea good . can not sleep noise would say not go , not A / c need open window want fresh air . you hear everything . ambulance , police car , fireman truck people yell street ! ! ! London beautiful city worth every penny spend . 
 Aug 4 2009 	 eager checkout 	 arrive smell describe stale chipfat . Checkin staff un helpfull . room first floor pokey , smell hotel dirty window I ve ever see . room inlaw room look atrium , wife room papershop bus stop . state fridge medical supply , turn 2 small fridge staff use keep lunch , rather dirty . end take medical supply local children hospital . within 45 minute check another hotel . far price , well suited backpacker third world country visitor . imperial bedford not much well . see white sailing ship logo avoid . 
 Aug 3 2009 	 Basic over - price 	 Stayed one night travel bruge early morning train ( 8.30am ) . check - in ok impersonal , room small clean basic - hairdrier toiletry . breakfast room not open 7 am ask early breakfast room leave 7 am tell would pay , despite fact cost stay include breakfast - not bother ! 
 Jul 22 2009 	 Nice budget 	 stay president hotel Feb. 11 - 18th . 2 year old upgrade we double room merely double bed . room adequate need ( not spend much time room . ) enough space room we set mini tent 2 year old sleep next double bed . small room decent breakfast . be look nice , clean place sleep , around corner Russell Square tube stop , good hotel . not eat restaurant use bar , staff go way get we fan could little white noise room daughter sleep . fire alarm go couple time sleep , nothing ever come . 
 Jul 14 2009 	 go downhill 	 ' ve stay President time year generally happy staff service . recent visit , sit hotel lobby 6.30pm , power cut . fair , number premise along road also lose power . go dinner time get back around 10 pm , power back . go pub get back 12 am - still power . morning power back run water room toilet . public loos low ground floor see believe . no - one wanted leave unwanted gift room , choose relieve - prospect flush , obviously . say , staff seem treat routine occurrence . one previous visit see lot angry guest reception complain lack power hot water . may issue amenity area London TBH pretty & quot ; budget & quot ; hotel will look somewhere else stay next time ' m London . 
 Jul 12 2009 	 President Hotel good value 	 President Hotel Russell Square LondonStayed overnight Saturday 4th July going see " take " Wembley ( brilliant ) . hotel 10mins tube Liverpool street station tube station adjacent hotel make get wembley sightseeing easy . hotel room nice clean .breakfast help good choice food drink , hot good standard . find staff helpful friendly let use leave case hotel go sightseeing next day would use hotel 
 Jul 7 2009 	 get pay boy worth . 	 good thing hotel location . be around corner Russel Square tube station Picidily line , turn take straight Heathrow airport . the hotel simple , clean kept . leave keys desk go , case inevitable happen ! breakfast self - service simple , much choose still fill . much else say really although likely enjoy stay . 
 Jul 4 2009 	 Nice stay President Hotel 	 daughter stay President Hotel end May ... holiday weekend . I book expedia room wait we check . hotel staff check - in nice friendly . 4th floor - room two single bed , desk , LCD tv cable , full bath . room clean look great . housekeep great job room everyday . shower bath tub great pressure high enough somone 6 ' 5 & quot ; , shower curtain need instal bit 's current location . curtain hang almost centre tub mean shower curtain stick shower - yuck ! rest hotel look nice - tell 's old hotel , keep pretty good shape . two four lift break half way stay two day . full english breakfast morning stay find good . three choice egg , bacon , sausage , oatmeal / porridge , cook tomato , cereal , bread , juice , etc ... restaurant staff seem bit space morning , figure have rough night . not eat meal hotel many restaurant surround area want try . I ' m bit puzzled review TA - perhaps request renovated room bring nice bathroom LCD TV 's . inexpensive hotel London great location find worth pay . would stay . 
 Jun 30 2009 	 good location clean hotel 	 reading review sceptical , however , despite hotel look like something 70 spotless staff helpful polite . carvery dinner include first night 70 's dining room , not anything exciting hot . breakfast follow day take adjoining hotel que long President , lovely plentyful hot ! next morning breakfast Persident sit banquet style table evident adjoining sister hotel expensive althought standard food serve . table banquet sit next lovely couple thi 3rd visit hotel ! hotel great location tube king cross lovely park round corner . fault could find information pack room lack hairdryer ! 
 Jun 28 2009 	 good location - stay 7th floor ( single room ) 	 7th floor room refurbish like grotty student accommodation . breakfast basic . find staff pleasant really great location . 
 Jun 25 2009 	 could not ask 	 stay three night , great hotel central everything , close underground ( russel square ) within walk distance king cross euston . would definately stay staff good pleasant room comfy clean , en - suite perfect . good experience . 
 Jun 23 2009 	 great break 	 stay partner couple night birthday see show , Theatre ( rock ) , london eye attraction within walk distance ( underground strike one day ) . staff friendly , english breakfast bit busy could eat much like . room clean bit basic . hotel bar cheap bar / pub find london need go anywhere else bar meal 2 am good standard . Booked Superbreak get 3 course meal 2 first night ( would poor part trip pay ) would recommend think go . 
 Jun 21 2009 	 average stay . 	 hotel excellent location ; 1 minute 's walk Russell Square Tube . first impression poor . facade build paint awful red colour look date uncared . check - in quick exactly welcoming . room fine two night stay . room linen clean , although small , bathroom adequate . restaurant poor . dinner include price first night stay feel food staff poor . wait show seat 4 waiter continue conversation . seat ask drink pay table , end meal . food awful . breakfast worse . seat table previous occupant 's plate leave - over breakfast . quality food poor . this hotel fine London enjoy city , hotel . would not recommend long stay would advise eat hotel . seem nice place breakfast beside Russell Square Tube ! 
 Jun 15 2009 	 impressed 	 arrive 8hr flight jfk new yorkwas impressed hotel low toilet cose go hotel side room.we wer offer small room 6th floor get hallway smell strong fume varnish see flys buzzing maid carts.we enter room impressedthe bed look like elephant sleep . bin toilet tiny closet.we ask well romm tell room . get anothe room 5th floor.be well noise morning.had go imperial hotel next door safty box open 9.30am 6.30pm imperial hotel much nicer offer executive room king bed double bath flat scrren tv quite much worth £ 15.00 per night extra.nicer bar resterant staff gala casion next door small nice 
 Jun 15 2009 	 uncleanunfriendly unprofessional ... need say ! 	 Husband book hotel via travel agent see one Theatre show . approachign hotel think inside could bad look outside ! wrong wa ? staff unfriendly , room small basic . wake 6.30 follow morning couple argue corridoor outside room . get open door find couple agrue actually two member staff ! horrified understatement , needless say get breakfast , call ? leave early train home . certainly homework book Imperial Hotels ! 
 Jun 15 2009 	 workable .... 	 trip book British Airways include 2 night free President Hotel . friend stay London three day hotel fine . would probably stay plan town extend period time . hotel could use update room clean . location great . short walk Russell Square tube station . British Museum also nearby . hotel decent choice travel budget not plan spend lot time room . 
 Jun 12 2009 	 terrible would not let dog stay 	 hotel simply terrible . clearly not decorate , clean matter , since 70 . thankfully 1 night business , fact cost £ 95 person daylight robbery . not mind cheap , frill hotel long 's clean 's good service , President not cheap could compliment one thing ....... location . and not bother go breakfast - restuarant dirtier room food pitiful . 
 Jun 12 2009 	 nothing else available .... 	 stay hotel due previous hotel bit pricey . First 's good location right near Russell Square tube station . be busy time close . also close British Museum . the lobby first give dark cheap feel , good start . the room small box like . much , 's good way force get room check London . staff find helpful book tour direction around London . took actually get staff member free help you . breakfast , not get excited . 's couple piece toast packet Jam . bit let consider hotel . staff tell free Wifi ( lobby ) . quite often nearly 10 people use Skype video messaging make Wifi almost impossible get . use pay service ( t - mobile ) fast work room . happy that . overall , be suitable nothing else available , find something decent price well , go . 
 Jun 11 2009 	 pleasantly surprised high quality everything relatively inexpensive hotel 	 Room clean update ; tile bathroom supberb plumbing shower bath ; excellent internet access accommodate staff . breakfast good serve large facility courteous service . travel 50 year first time take time review hotel . 
