stick 	 stay 2 night . excellent staff , especially breakfast wine cheese staff . Front desk staff good also . agree irish girl , Dos Caminos , good restaurant around corner . you good location walk everywhere . you go wrong hotel , value breakfast wine cheese make extra dollar spend . 
 Nov 4 2009 	 real pleasure experience 	 stay hotel giraffe 5 night 27 oct- 1nov 2009.the staff outstanding provide excellent customer service , nothing much trouble always smile . the room immaculately clean furnished high standard lovely balcony , provide wonderful view . the complimentary breakfast ample good choice suite taste . evening cheese wine serve 5 pm - 8 pm Monday - Saturday always go well staff compliment immaculate service . location perfect 2 min subway . a real treat stay recommend fantastic hotel highly enoughour advise - book room see ! ! 
 Nov 4 2009 	 outstanding 	 room service .... top shelf .... excellent job . 
 Nov 4 2009 	 Nice hotel superb location ! 	 Hotel Giraffe find Trip Advisor 's review . third time choose hotel way , like time , absolutely precise description . Hotel Giraffe conveniently locate Park Ave , Uptown Downtown , serve 3 subway line nearby , big Union Square subway almost 8 block down . the neighbohood amazing , full excellent restaurant ( Voce , 26th st , Gramercy Tavern , 20th St , , Union Square Cafe , 18th St. ) .the room nice full amenity . Breakfast include , also nice ( miss cheese ham offer ) , well cheese wine / champagne selection lobby , 5 8 pm , convenient snack theatre concert 8 pm , average time . the girl attendant breakfast / wine cheese also nice friendly , well rest staff ! definitely stay Hotel Giraffe next time NYC ! 
 Nov 2 2009 	 nice hotel ! 	 enjoy trip hotel Giraffe . hotel staff kindly . & quot ; terrace one bedroom suite & quot ; .Only one negative point : hot water one morning week spend . we will come back hotel soon possible . 
 Nov 1 2009 	 exceed expectation 	 discover Hotel Giraffe Trip Advisor please everything recent stay . definitely stay highly recommend look hotel trendy yet quiet appropriate atmosphere family . the complimentary continental breakfast wonderful lobby pleasant place enjoy leisurely meal . meal available hotel 's association two adjacent restaurant . room good size , small balcony , well appoint . , Hotel Giraffe good value find New York . 
 Oct 29 2009 	 Loved Giraffe . 	 husband really enjoy time Hotel Giraffe . pleased room ( although strangely , bedcover bed - sheet fold blanket foot bed - one sheet quite badly torn . change , little odd lovely hotel ) . location great ( close subway , restaurant lovely walk ) , staff helpful , everything spotlessly clean love small balcony step onto morning evening . continental breakfast adequate keep we go till lunchtime evening wine cheese lovely . actually look forward time day could relax glass wine listening pianist go dinner . terrific coffee / tea / hot chocolate well cookie fruit available lobby day guest . would taken advantage rooftop terrace , rain bit cold . certainly stay hotel fortunate enough return New York City . 
 Oct 28 2009 	 go back ! ! ? 	 visit 25th anniversary first long haul flight make feel welcome staff . we request special welcome & quot ; Romantic Rendezvous & quot ; – rose petal , chocolate strawberry champagne – perfect … .. well giraffe picture … . see our . the room balcony high standard , spotlessly clean comfortable . Breakfast , buffet style tasty , plentiful beautifully present nice , relax setting . evening go meal really enjoy complimentary cheese wine . location good subway nice restaurant within easy walk distance . comfortably walk Empire State building – 10 Mins – Grand Central Station . around corner beautiful Madison Square Park Flat Iron building – well see night view Empire State Building . the staff simply excellent . help face . greet warmly breakfast throughout day happy undertake task confirm booking call cab . extremely professional clear consistent standard without lose personal touch . much hotel make stay enjoyable . love hotel really disappointment would rooftop Garden understandably close season . having read review look website feel say . well do Giraffe thank . would think stay anywhere else New York . 
 Oct 28 2009 	 fantastic 	 wonderful time enjoy hotel much . New York standard , room quite spacious , clean . breakfast wine cheese exceed expectation . staff always friendly helpful . 
 Oct 28 2009 	 Giraffe 	 New York always stay Giraffe . location ideal , situate access 6 train 1 train within easy walk distance major tourist destination ; shopping , museum , theater , restaurant park . the Giraffe hospitable . saff make feel welcome . room big roomy large bathroom closet . balconey add outdoor space make room feel even large . bed linen clean confortable . towel fluffy . evening cocktail reception always nice . allow short break day night . sit relax comfortable catch breath get ready night . always something NYC.So , check check Giraffe always make visit reason NYC enjoyable . 
 Oct 26 2009 	 Giraffe outstanding midtown gem . 	 partner thoroughly enjoy stay wonderful boutique property . room well appoint comfortable . addition , staff A+ , always available helpful , never way . key amenity -- high speed internet , continental breakfast , evening wine cheese -- include daily rate . midtown location lot go nearby uptown downtown easily accessible . 
 Oct 24 2009 	 Friendly Staff Great Location Superb Hotel 	 arrival departure Hotel Giraffe right choice we . staff superb , professional friendly . Jose warmly welcome we help we way every day . Laura bright , chatty delight talk . hotel spotless great wake go back night . morning start free continental breakfast , every day . cheese wine relax start evening , manage twice due busy schedule . lobby hotel , number reviewer mention , large , never problem get table . Giraffe superb location , close Flatiron Building Madison Square Park . plenty good eatery around suit pocket . area low half Central Park Battery Park walkable tend either get subway ( 23rd 28th ) taxi want go walk back vice versa . area safe feel comfortable walking night . stay 5 night ( Wednesday Monday ) deluxe double room 10th floor . course certain level street noise even remotely intrusive sleep soundly every night . room relatively average size , fine us teenage daughter . well appoint balcony , great aircon , soft robe , toiletry , cable , DVD & amp ; cd player ( hotel also library music film choose ) , ipod dock ( though not charge itouch ) . Turndown service night bottled water little chocolate nice touch . we go New York experience city Hotel help we full . stay Giraffe would highly recommend . 
 Oct 24 2009 	 want . 	 nice hotel . cheese wine evening relax day walk around New York . helpful friendly staff classy decor . little thing make hotel stand free Wi Fi access computer Lobby hotel charge sort amenity . side , bar side ( least stay ) plenty good one vicinity . near subway easy access New York . highly recommend . 
 Oct 23 2009 	 excellent experience ! 	 really enjoy boutique hotel . stay several hotel NYC find one good . cordial staff - room keep sparkle clean day . leave note housekeep extra pillow towel never fail meet request . location key many great restaurant Union Square farmer 's market Wednesday , Friday Saturdays . pass nearby gym plus ! return ! 
 Oct 21 2009 	 Excellent service great vibe 	 stay Giraffe set meeting early October really enjoy , great well train staff use lobby evening wine taste snack impressive , room adaquate staff add value . would certainly stay . 
 Oct 19 2009 	 love Hotel Giraffe 	 favorite hotel always small , boutique hotel offer friendly service . stay Hotel Giraffe four year daughter attend School Visual Arts nearby . enjoy breakfast offer every morning wine cheeese offer evening . plus , staff wonderful , room lovely . 
 Oct 18 2009 	 highly recommend Hotel Giraffe ! 	 location , ambiance , complimentary breakfast , complimentary & quot ; Happy Hour & quot ; , suite , service , friendliness , willingness help - add all- to - short stay . Roof Top Terrace open ? tell check . hope next time , next time ! 
 Oct 18 2009 	 great place stay - love every minute 	 fiancé stay Hotel Giraffe ( close Flatiron Building , well situate safe neighbourhood ) day stay New York . book hotel good review not disappoint . enjoy every minute stay . room ( 5th floor ) quiet , even though look busy street . bed comfortable , warm blanket lovely turndown service include little chocolate every evening . order amenity & quot ; milk cookie & quot ; service , great - littel night time snack fresh milk lovely cookie every night . bathroom big downtown hotel , lovely soap , hair shampoo conditioner , comfortable bathrobe well slipper . lot light , huge mirror make - up mirror well . mini bar , two bottle water upon arrival really feel much home . could choose room temperature , could not well sleep busy day sight seeing . Breakfast also nice , downside lobby sometimes rather full , never problem . toast , various baked goody , well coffee , juice , milk etc . particularly like attentive lady give we coffee toast every morning . three day see come toast table . could also leave stuff check , go airport . also , laptop lobby free use - not see printer , though not need one , would not know could call business centre - laptop internet great . would go . recommend anyone know , make New York experience even well thought would . thank . 
 Oct 15 2009 	 special hotel NYC 	 ' ve stay many time Hotel Giraffe son graduate NYU year ago settle Williamsburg . feel hotel service excellent whenever request make , usually delay response . continental breakfast terrific , well service provide woman prepare . love wine cheese hour 's nice sit relax head town . past times stayed ' ve receive bottle wine Prosecco upon arrival . spring summer rooftop lounge popular . recognize room outside area film SATC movie ... fun ! Giraffe great area near Union Square Blue Water Grill , favorite , mention Dos Caminos next door . long be plan trip city , will stay Hotel Giraffe . 
 Oct 15 2009 	 Oasis Manhattan Hotel desert 	 always pleasure stay enjoy complementary breakfast real ( ! ) espresso evening snack & amp ; drink offer house . the room nice bright window let light well noise street . even lamp fill purpose primarily unpractical decoration US ( designer ) hotel . service friendly personal one expect small hotel . noise street bit disturb night top location next subway shopping & amp ; gourmet district worth it . so in - all stand crowd - like real Giraffe ... 
 Oct 14 2009 	 Hotel Giraffe great find near Union Square 	 book 2 month advance . look online website call speak reservation help decide room request . arrive tell upgrade suite great . not see regular room really happy suite . offer buffet breakfast every morning wine cheese every night Sunday . great . they nice lobby sit eat . 
 Oct 14 2009 	 exceptional accommodation service 	 Hotel Giraffe amazing . ny 5 day Hotel exceptional . staff friendly courteous . organize travel event , direction subway , restaurant , etc , take care luggage , arrange transportation . the breakfast excellent selection fresh bagel pastry , fresh fruit , coffee , latte , egg , cereal , juice . staff responsible breakfast helpful friendly , ensure lobby clean food well stock . appetizer great wine ( red white ) selection vegetable , cracker . olive , cheese , etc . pianist perform 5 - 8 evening atmosphere comfortable relaxing . the room spacious , clean necessary amenity . we would definately stay hotel . LOVED ! 
 Oct 13 2009 	 must stay Boutique Hotel Manhattan 	 Second stay small , quiet , friendly , boutique hotel - my excellent impression first stay fluke . arrive early ( 11:00am ) Sunday anniversary prior brunch reservation Mesa Grill , check bag , walk restaurant return room key wait luggage room . dinner , return find complimentary bottle Prosecca room celebrate anniversary . great complimentary breakfast daily evening wine ( include Prosecca ) cheese daily except Sunday lobby . access rooftop garden 12th floor . ask deluxe guestroom 12th floor . quiet reasonable location Park Ave . close 5th Ave . shopping , Madison Square Park , Flatiron district ( refresh walk short cab Grand Central Station Times Square ) . eat tip - blue smoke around corner 27th St. small bar / restaurant joint ( jazz downstairs ) great barbecue go & quot ; break bank . & quot ; 
 Oct 12 2009 	 Pleasant Stay ! 	 pleasant stay Hotel Giraffe . location perfect go around town , nice restaurant neighbourhood ( e.g . Tabla Madison Sq . Park , mexican restaurant next door ) . room beautiful , big NY standard , nice king - size bed nicely decorate , window open , A / C not make much noise . also free wifi room . room opposite elevator , door & quot ; soundproof & quot ; , not hear thing . complimentary breakfast good , nice coffee ! thing breakfast : many table , nice sit newspaper laptop , people tend breakfast long usual , find right time go ... serve wine small thing eat weekday around 5 p.m. , nice come back work shopping / sightseeing ! employee friendly relaxed . Hope come back next time NY ! 
 Oct 12 2009 	 great hotel New York ! 	 probably one good place stay New York . great size room city , ideal location great rate . love breakfast morning wine reception seem hit . everyone friendly would stay next trip . 
 Oct 11 2009 	 excellent experience ! 	 stay Hotel Giraffe parent Easter Holidays . choose hotel thank Tripadvisor 's review . staff kind , room spacious enough three , clean comfortable . Superior one Bedroom Suite , one good room view Park Av . south . one bedroom , full size sleeper sofa wide bathroom . breakfast good little thing make we appreciate stay free internet connection , free aperitif every evening live piano player , lady bring we chocolate every night room ... furthermore last day hotel issue water refund we 50 $ inconvenient . recommend everyone ! 
 oct 9 2009 	 Great Hotel Bad Management Policies 	 look small print associate low & quot ; pre - pay & quot ; rate .... make sure plan fully baked will not get money back . use like hotel management make hard continue . assistant make reservation plan change last minute end cancel find could not ! select low rate screen offer turn & quot ; non - refundable & quot ; rate . call speak hotel manager respond despite innocent mistake assistant ( understand thing well ) would unable cancel reservation make refund . also explain small business owner avoidable expense like painful start - up . fan hotel since open stay least 3 - 4 time would love choose every time NY . recent experience management however lead hesitate - seem concerned refund policy keep good customer come back . 
 oct 9 2009 	 Excellent hotel 	 friendly staff atmosphere free breakfast wine evening lobby . 
 Oct 7 2009 	 Great Place - Friendly clean 	 nice place stay - friendly , easy access many thing , comfortable . thing could say would negative cost room ..... check , people walk street get cheap rate receive , make reservation advance . not think customer haggle price . less expensive offering , make available . thank great stay , would definitely stay , recommend friend colleague . 
 Oct 6 2009 	 small stlyish extremely friendly hotel 	 really enjoy stay . Park Ave rather noisy , not expect complete silence room . subway stop near ( local 6 train stop ) . restaurant , highly recommend mexican restaurant next hotel ( stylish , excellent value ) . staff incredibly helpful friendly . breakfast pretty ok . stay sure . 
 Oct 6 2009 	 happy australian 	 good location , friendly staff , free happy hour - 's likelovely roof garden 
 Oct 6 2009 	 great stay Hotel Giraffe . 	 lovely hotel . find location great right centre could get town easily . room huge , clean everything need ( stay king room ) . staff always friendly helpful , first evening bottle wine deliver room birthday . complimentary breakfast delicious , cheese wine reception . actually think negative ! 
 Oct 6 2009 	 Attention detail 	 stay Hotel Giraffe two weekend night . outstanding way . room good size , nice furnishing amenity . small balcony look Park Avenue , room quiet door close . continental breakfast good evening wine cheese reception lavish . staff friendly attentive . like location , hectic many hotel , still convenient thing . one good hotel ' ve ever stay - stay lot ! 
 Oct 5 2009 	 really enjoy stay 	 stay Hotel Giraffe second time really enjoy stay occasion . staff friendly always helpful . location great always clean . daughter live New York visit every month continue stay Hotel Giraffe . 
 Oct 3 2009 	 good atmosphere central location 	 hotel recommend we friend . satisfied . Giraffe character friendly helpful staff . evening wine cheese serve lobby . problem loud noise street , especially early morning window keep open . 
 Oct 1 2009 	 would go back 	 great Midtown Manhattan hotel . 's basically room lobby . lobby pleasant Cheese Wine every evening nice touch . order food room local restaurant hey - Manhattan would want eat ? staff helpful . deduct one star Tribeca Limos farce nothing Hotel ( although arrange ) . would definitely use Hotel Giraffe nothing else re - read book room call Tall Blondes - Giraffes ! 
 Sep 30 2009 	 wonderful hotel - love Hotel Giraffe ! 	 lovely place stay convenient location . service excellent - everyone staff friendly eager help way could . breakfast fresh delicious , really appreciate available 10:30 . wine , cheese fresh veggie serve evening welcome treat frenzied day city . lounge breakfast happy hour serve elegant comfortable - enjoy watch activity Park Ave . peaceful spot . computer set lounge free internet use . room small , expect NY . spotless quiet , plenty horizontal space hold toiletry various thing husband always seem bring we . appreciate free bottled water provide room , though request first day . negative bed . not horrible , fall would expect 4 star hotel . honestly feel coil mattress - though linen excellent end get use bed first night . despite , would definitely stay ! 
 Sep 29 2009 	 great hotel great location excellent value 	 Stylish , discreet hotel central location . spacious room , tastefully decorate , balcony overlook Park Avenue . got excellent ' early bird discount ' booking 30 + day advance . would certainly stay hotel . 
 Sep 28 2009 	 third year row - wonderful 	 year stay super . easy check love breakfast evening wine . stay variety room wonderful . beat Juliet balcony . hope return next year well . 
 Sep 28 2009 	 first stay Hotel Giraffe - last ! 	 stay Hotel Giraffe two night last week celebrate 50th birthday . Giraffe wonderful : great location , lovely room , weather perfect rooftop bar , breakfast / appetizer great value staff exceptional . destination future NYC visit ! 
 Sep 25 2009 	 wonderful hotel exceed expectation ! 	 decide celebrate Silver Wedding Anniversary New York . book Hilton husband stop , find review Hotel Giraffe . special trip book Terraced Suite . great flight arrive full excitement little trepidation , know be like , want something good little disappointed . bit , place exceed expectation . hotel great location , literally short stroll lovely Madison Park worth visit - check live music Saturday night . want much foot possible find could . get tired subway round corner hotel . but hotel ? terrace suite beautifully appoint , roomy lot wardrobe space . view 9th floor great hear traffic . Roof Terrace wonderful , beautifully calm space . the breakfast lovely . everything well stock fresh . give special mention staff work breakfast evening . nice , always greet smile nothing trouble . cheese wine really good . I really love place . touch expect good hotel , none corporate stuff tend get big chain . first night delight receive anniversary card complimentary wine . all save another trip , back hotel . loved . great staff , great location fabulous room . 
 Sep 23 2009 	 Luxury convenience helpful staff . 	 enjoy Giraffe location , comfortable , spacious , well - equip room , convenient grab - it - and - go breakfast , helpful staff . our bedroom 10th floor pretty quiet - especially Manhattan . - large have expect . we like free internet access hotel 's laptop foyer , enable we print flight boarding pass easily . overall , pleasant stay unpretentious classy hotel . 
 Sep 21 2009 	 love everything hotel ! ! ! will back next trip . 	 recommend boutique hotel friend 
 Sep 20 2009 	 excellent location ! 	 stay Hotel Giraffe 4 night September 2009 . location hotel excellent , walk distance many attraction many nice restaurant neighborhood . breakfast good quality breakfast room peaceful cozy . helpful nice personnel , service fast whenever need . room quite small nice , especially appreciate bathrobes iron iron board room . minus sound isolation . stay third floor , could hear traffic sound night . luckily area really tranquil , problem sleep . 
 Sep 16 2009 	 great location friendly service 	 wonderful stay Hotel Giraffe . stay King suite meet expectation . room big ( NYC ) always clean . staff friendly unobtrusive . nightly reception well - stock much well ' ve encounter hotel . morning breakfast also well - stock low - key . plenty paper spot everyone . the location great , be 15 minute cab Broadway Time 's Square . walk Flatiron Building Madison Square Park . one block walk allow great view Chrysler Building Empire State Building fancy long walk , could go well . also walk distance Gramercy Tavern want swanky night possible celebrity sight well dependable Les Halles steak frite . it be fair money get get good prepaid package web site . definitely recommend hotel would stay . 
 Sep 16 2009 	 whenever New York Hotel Giraffe first stop 	 research online forever , decide Hotel Giraffe . complimentary breakfast excellent . great bang buck . 
 Sep 15 2009 	 comfortable accomodate lovely part ny ! 	 enjoy lovely weekend Hotel Giraffe . be convenient many nice place eat , room comfortable , staff accomodate amenity lobby terrace wonderful . definitely return . 
 Sep 15 2009 	 Hidden Gem NY 	 stay numerous hotel NY truly say good value ever . room spacious big bathroom balcony , service impeccable - good ny . complimentary breakfast great - exactly need ( healthy good choice ) , complimentary water room , well coffee tea throughout day lobby add positive impression hotel . plan spend time up- , mid- downtown , location absolutely great ; usually stay downtown , find location great - 7 minute walk Union Square close everything . hotel come highly recommend hope return soon 
 Sep 14 2009 	 much comfort zone 	 well locate quieter part Manhattan , easy walk superb restaurant level cuisine , access excellent health club facility , good subway access . 
 Sep 10 2009 	 2nd stay still love 	 Love spaciousness room ... hey , 's New York room big ! staff friendly helpful . free breakfast plus . location unbeatable . stayed last year , come right back year without check otheroption . 
 Sep 9 2009 	 worth every dime ! 	 excellent staff location , clean , silence roomy room . 
 Sep 8 2009 	 Quiet Excitement 	 stay Hotel Giraffe 2 night recently two family member town US Open . could not ask anything friendliness helpfulness staff free breakfast convenient midtown location . room large ( big city standard ) plush even balcony . review hotel exaggerate , 's gem New York . 
 Sep 5 2009 	 3 * basic hotel way ' boutique ' . 	 fine look good clean hotel basic amenity . terrible expect boutique hotel chic room , nice bathroom design public space . my truck hotel mis - represent . breakfast small lobby area ' bar ' pitifully small , room ill - maintain , bathroom make feel like typical 3 * hotel , decor poorly design , tv slap furniture even fix wall , box tissue cardboard retail box slap bathroom . space use sort guest lounge , proper breakfast room etc etc .. makeover 3 * hotel shamefully weak , low quality exude pathetic attempt make slightly boutique , bit bed linen curtain . short complete rip - off . shame , 3 * hotel would received 5 * . 
 Sep 3 2009 	 excellent value boutique hotel 	 one good value hotel stay New York . room smallish ( though elsewhere Manhattan ) , offset many little touch make place stand : complimentary bottled water leave room night ; complimentary wine cheese every night lobby ; complimentary tea , coffee , filter water always available lobby together selection newspaper ( little surprise like tray marshmallow come back Tuesday night ) ; complimentary ticket available local NYSC gym ( even go along studio class ) . service also smart attentive ( noticeably well trip previous stay , two year ago , bit casual ) . 
 Sep 1 2009 	 warm friendly atmosphere room comfortable . 	 complete third stay Hotel Giraffe , time delighted service , amenity room . atmosphere relax , staff helpful , nice place return hectic street New York city . hotel would stay visit New York . 
 Aug 31 2009 	 Good Product 	 stay , unfortunately one night , end August party wife 's friend . hotel clean , staff excellent , far walk get touristy place , quiet street , breakfast good , wine cheese nice break get ready party . definitely stay visit NYC . 
 Aug 26 2009 	 fantastic place stay ! 	 stay 4 night , disappointed . comfortable , relaxed hotel , lovely lobby , coffee tea available throughout day . breakfast evening cheese wine also make hotel great deal . internet access useful . find staff helpful . room clean lovely , mod con , nice en suite . aware authorise charge credit card stay , informed . 
 Aug 24 2009 	 relax getaway 	 Hotel Giraffe delightful . staff helpful personable . somehow , everyone know us name -- front desk staff , doorman , etc . room comfortable . breakfast outstanding -- delicious food great service . ditto evening wine cheese reception . also nice water , fruit coffee available day lobby . nice touch . complimentary pass New York Sports Club around corner great thing . free internet access throughout hotel convenient . breakfast , evening snack , free gym pass free internet , stay great deal . location 26th Park also convenient everything . 
 Aug 24 2009 	 great location fantastic service ! 	 wife take brief jaunt NYC prior party Long Island . plan walk around city see different area . able check exactly 3 pm , room within minute . 8th floor room overlook 26th Street East . room clean everything could ask . hotel 's location allow we take nice walk Village Soho , come back relax drink later night . bed extremely comfortable , shade keep sunlight next morning . even hold bag check explore . great stay ! 
 Aug 24 2009 	 fantastic stay ! 	 mother stay three night . wonderful . room large , clean comfortable . service good - helpful front desk doorman . breakfast nice rooftop bar lovely . 
 Aug 18 2009 	 elegant property great location near Gramercy .... 	 wife decide make last minute trip NYC last February Valentines Day . stay Hotel Giraffe several year early decide try . disappoint . bottle red wine waiting room welcome we back . continental breakfast ( include room rate ) delicious nightly wine snack ( 5:00 - 8:00 pm also include room rate ) . hotel great location close lot wonderful restaurant , store , sight . criticism wine offer Sundays . , rest assure wonderful hotel well make stay comfortable special . look forward return . 
 Aug 18 2009 	 Nice ... ... disappointed . 	 stay many NYC hotel one average ... expect read review . bed horrible ! daughter sleep fold ... comfortable king bed ! ( also overhear people complain bed ! ! ) ask staff restaurant recommendation Village ... suggest google ! ! ask direction .... front desk person familar area . .. google ... thank goodness community computer lobby ! roof top bar small , comfortable , limited view , expensive ... even NYC standard . breakfast nice ... crowded ... hard find table several morning . 
 Aug 15 2009 	 fantastic time Hotel Giraffe ! 	 spend 7 day New York City really want nice , calm , well locate place stay . happy hotel . friendly professional staff , clean spacious room , lovely wine cheese evening , great breakfast room extremely quiet change hotel . make trip New York absolutely perfect ! strongly recommend place ! 
 Aug 10 2009 	 two Thumbs ! ! ! 	 Hotel Giraffe NYC gem . book Suite Dreams package include accommodation one - bedroom terrace suite . terrace look onto Park Ave - outstanding view . ' special enhancement ' ( Romantic Rendezvous / Suite Dream package ) deliver right time request . thoroughy enjoy chocolate cover strawberry champagne hard day shopping 5th Avenue . rooftop terrace great place sit chat evening - good music great atmosphere . last call Friday night , bartender give everyone complimentary raspberry liqueur shoot - nice touch . complimentary Wine Cheese serve 5 - 8pm great touch - impress wide - range cheese selection . staff extremely friendly , room well rest hotel immaculate . mention great location ? search perfect NYC hotel ... will definitely return Hotel Giraffe . 
 Aug 9 2009 	 Excellent ! 	 amazing loccation , friendly staff . great price . feel like pay lot get . always stay visit NYC . 
 Aug 3 2009 	 small gem devoted provide excellent service heart Manhattan 	 husband stay Hotel Giraffe several time past 3 year always excellent experience . staff professional , friendly go way provide guest wonderful experience . room lovely , ample square footage ( large NYC standard ) , quiet always clean well care . lobby area comfortable little extra provide extra cost rare big city hotel . staff consistent , turnover past 3 year many staff member meet 2006 still work . hotel one many traveller want return try . bonus proximity many fine restaurant , Madison Square Park famous landmark . 's great place . 
