City 	 City Inn chain fairly new modern group Westminster City Inn London 's big new build hotel 30 year . I London delight find Westminster branch CIty Inn Westminster locate 5 minute walk Houses Parliament + Big Ben also within walking distance London Eye , Westminster Abbey many place eat . near tube station Pimlico 5 minute walk away . also Wesminster also nice area feel safe walk back night . the staff hotel super - nice well really efficient - make big difference . I find room easily big enough large bed really warm thank thick duvet - seem rare many hotel . big pillow also nice addition . as well also MAJOR plus point standard City Inn feature - iMac computer system every room ! ! - mean fully fledge internet system free use . brilliant handy check local attraction , check transport time , restaurant , map etc etc well ( want ) keep email , ebay , facebook etc away home - free room ! course also hook ipod system well . City Inn Westminster Pizza Express restaurant right next door use weather bad - take away want bring back room eat watch dvd like : ) pros : * great location - 5 minute walk near tube station + Houses Parliament ( tube access give London within easy reach ) * comfortable warm room * room computer imac system - great look information email etc ! * nice polite staff * not want venture far eat hotel restaurant Pizza Express restaurant next door . * Quiet - could not hear traffic outside all . con * choice continental full breakfast - go include continental though full breakfast look nice - quite pricey ( continental fine ) . * honestly think anything not like ! not sure stay London originally pay really cheap rate regret . stay City Inn hotel decide give London venue try really glad . comfortable convieniant stay friendly staff - certainly place top list next time visit . 
 ACCEPTABLE DEAL 	 hotel acceptable decent value get deal range 130 - 150 gbp per night ( per room ) . nothing more . pros : quiet , well equip ( internet , imac room , etc.but also dryer , iron board ) , general service acceptable ( expect anything stellar ) . guest service good . room clean ok , spotless ( trace hair bathroom ) . shower modern functional . con : bathroom small . mattress way way way soft ( bend one edge risk fall ground ) , 20 min queue sit breakfast table ( never see ) . 
 comfortable clean great value ! 	 stay City Inn Westminster one night long layover London . first trip city , not anything compare think City Inn great . check - in process quick , room ( 5th floor ) great . seem private party hotel restaurant , guest stay floor , bit worried would noisy . actually nice quiet , bed clean comfortable . my favorite thing hotel in - room iMac . use tv computer , able charge iPod . overall great stay , definitely recommend . Underground Circle Line not operate stay London , ' m really sure convenient hotel transportation . 10 minute walk Big Ben even short nearby cafe ( Pret Manger Starbucks- although not open 9 am Saturdays ! ) .I also highly recommend Heathrow Express Paddington Station . convenient , 15 minute cab ride Paddington City Inn . 
 Modern Chic ! 	 second trip London ( first Mother travel ) , must say pleasantly surprised . first trip London stay one Novotel chain hotel impress , not sure expect hotel , absolutely PERFECT need . start : check - efficient . day almost always 5 people front desk , make check in / out , use concierge , ask question , etc efficient . even night usually 3 people work . absolutely love . customer service top notch well . every time walk door receive smile someone front desk , usually someone ask day . Decor - 's state - modern . absolutely love . lobby fun relaxing . room stunning . bathroom bite small bath , fine need . be 2 girl get dolled everyday , plenty space . also believe mom call & quot ; shaving mirror & quot ; PERFECT put eye makeup . love . room also computer free internet access ! amazing , able keep contact daughter home . great way make away much easy handle ! downside would window face towards courtyard , could see lot people 's room , know could probably see mine unless make sure curtain COMPLETELY close . not really bother not room much anyways . 's LONDON goodness sake ! ; ] location - location hotel EXCELLENT . 's walk distance London Eye , Parliament , Westminster Abbey , many restaurant . be also little convenience type store 2 block awesome late night snack = ] be 5 min walk tube station , be nice neighborhood . never feel unsafe walk back night . restaurant - eat restaurant breakfast . review correct almost always queue get . wait 15 min get seat . manager however go line let check bag , coat , accessory , etc ... not want hold ate . pretty awesome , since luggage we . food average . opt breakfast buffet rather full english breakfast . get kind late bit pick , probably would well luck pay full english breakfast look delicious . this hotel bite expensive place stay London , afford , DEFINITELY pay extra go . stay basic room offer blow away , ' m sure . take advice , stay CITY INN WESTMINSTER ! ! ! 
 Nov 7 2009 	 reasonable price great London Hotel . 	 return two night stay . choose hotel not hubbub city close enough could take tube get taxi . ( £ 6 Leicester square roughly £ 12 Euston station ) tube within walking distance ( walk difficulty ! ) could probably walk Parliament feel energetic . the room clean comfortable . bathroom small much time really want spend anyway . important thing - spotless ! ! wifi Mac really helpful we plan day . use mulitmap theatre plan route tube . not use dvd loaning service impress one ! use room service efficient ridiculously expensive . drink bar pricey expect either . actually pay far glass wine Liverpool early year ! room rate good London too . overall , would highly recommend stay hotel . be already process planning return trip 
 Oct 31 2009 	 decently price good ! 	 stay City Inn Westminster second time . first time four year ago really satisfied decide stay short weekend London , glad do . first , disagree previsous review far metro concern . Pimlico metro station 10 minute foot . true take metro go centre , think small price pay get back evening quiet area , decent night 's sleep without bother traffic loud bar . what make hotel unbeatable 's really good value money : 113 euro flexible booking ( could cancel ) .The room huge , clean , well equip coffee tea make facility , Mac computer , dvd CD rental , free Skype ... bathroom also clean . the staff nice helpful . we try either Café restaurant . would definitely go back hotel recommend . 
 Oct 31 2009 	 EXCELLENT service NICELY LOCATED MODERN HOTEL 	 stay City Inn 3 night thoroughly enjoy . hotel ideally locate near big attraction , tuck away quiet street . tube approximately 5 - 6 block away , mainline use get Buckingham Palace like . the hotel amenity excellent . mac room , contemporary design lounge grill , everything like . the thing tie together outstanding service attention receive staff . well train good . will back City Inn next time London . 
 Oct 31 2009 	 finally reasonably price 	 overall great stay City Inn . also fed overprice London hotel consistently underdeliver , try City Inn . room clean comfortable staff friendly . also impress Mac 's room free DVD rental service . hotel 's restaurant also nice reasonably price , though menu limit . downside hotel walk distance tube , would need take 6 - 8 GBP cab ride next station . although perfectly locate tour westminster surrounding , would need travel elsewhere via tube , might perfect location . 
 Oct 30 2009 	 price room telephone booking include tax ! ! ! add around £ 26.00 	 book hotel telephone quote tax around £ 26.00 . check add fee . impressed could got mystery hotel less £ 180 , even 5 star . hotel clean well present though . free wifi good room service good fast . bit walk near tube , ( Pimlico close , Westminster ) . Breakfast ok , freely offer full English pay advance , make every offer everything else mention would like full English , waiter say , oh yes could , tell consist less item display menu . make feel quite greedy ask could also bubble squeak black pudding . come , miss bacon ask ! ! friend ask apple juice orange grapefruit offer bring promptly , glass big crack . fried egg snotty ! ! nice scrape side plate toast barely cook ( rubbery bread ) . apart , service good bubble squeak black pudding beautiful . wonder keep wrap . check receptionist polite efficient deal well complaint quote tax booking . although check female receptionist speak quietly could hardly understand hear say , bit annoying keep telling & quot ; ' m sorry , hear & quot ; ! ! ! recommend hotel Mother love , obviously thing change space week . 
 Oct 30 2009 	 Perfect need 	 check late afternoon Friday queue room within 5 minute . room clean reasonable size well equip desk , bar area , couple wardrobe , arm chair table well apple mac computer internet room bonus check place go etc . breakfast complaint . queue seat huge seat service slow . walk way restaurant also continental breakfast lay cause congestion throughout restaurant expect everywhere busy weekend ! would certainly stay . 
 Oct 28 2009 	 clean comfortable room great location 	 1/4 mile Big Ben . modern hotel friendly helpful staff . breakfast hotel restaurant food GodAweful . england - bad food part charm . get overnight transcontinental flight 8 2pm check . staff nice enough give we free breakfast put we temporary room sleep room ready . extremely considerate . 
 Oct 28 2009 	 Perfect London Hotel 	 Based Trip Advisor review book 4 night . arrive 7 am 24 hour travel Australia offer room shower change till ready ! ! get well . move real room 4 pm , well appoint , luxurious Imac bonus - skype home several occasion , able banking etc . 10 minute walk Pimlico station , 15 minute walk Westminster Abbey 110 bus front go Trafalgar Square . stone throw Tate . brilliant . can not recommend hotel enough ... go Breakfast add .... excellent value 
 Oct 25 2009 	 good location great value money 	 husband weekend , break find internet , include breakfast discount food drink purchase , really great value money . room clean comfortable , bathroom equipment work well . noise guest room corridor , enough bother . disasterous experience cafe Friday night , arrive late , shatter hungry long journey , hostess restaurant rude dismissive not prebooked . choose seat we straight away , even though plenty space restaurant . say reconsider leave go pizza express round corner mellow . wait age food , finally tell order lose . point fair excellent customer service kick get meal drink free . nice save , 1 weekend away per year without child , ready feel really cross . breakfast nice fantastic choice , find service efficient . Guest service helpful us number occasion . location great , short walk house parliament Pimlico tube . excellent dinner Cinnamon Club Saturday , short walk hotel . we would definitely stay . 
 Oct 23 2009 	 London October 2009 	 stay City Inn Westminster fantastic could not fault . check - in breeze arrive early still manage get room straight away . room clean , spacious , modern well equip . we find internet room extremely useful whilst visit London easy use . breakfast restaurant great book tell would continental breakfast ( quite ample ) also option full english Breakfast extra cost ( boyfriend pleased ! ) hotel location accessible 10 minute Westminster tube station , Houses Parliament , Big Ben Westminster Abbey 20 minute London Eye . go sight see city break location great ! ! ! would visit hotel would highly recommend anyone ! 
 Oct 23 2009 	 nice hotel far Westminster 	 Modern hotel , lovely room attractively decorate . Apple Mac computer room suppose hotel would use business due 's proximity Westminster . nice waiter- serve breakfast . Approx 10 minute walk Westminster tube station , Pimlico tube station also nearby . would definitely stay . 
 oct 22 2009 	 City Inn perfectly locate business leisure 	 recently spend 10 day London business day leisure . City Inn perfectly locate option . the walk Westminster tube station easy 10 minute morning great walk jog option hotel Green Park . staff fantastic ! friendly yet professional snobbish like London hotel experience . free wireless internet access throughout hotel major bonus able email comfy bar really lend great location work whilst light meal . hotel excellent single traveller restaurant bar clever seating sit quite cozily even alone . highly recommend hotel traveller London . 
 Oct 20 2009 	 Frustrating Disappointing 	 spouse stay City Inn 7 night recently . book hotel base recommendation nearby conference centre trip advisor . hotel modern check - in prompt friendly . room , locate 9th floor view clean well lay . small , room London hotel . iMac great addition . little room storage personal item , wardrobe one small drawer - barely sufficient one person , much less two . minor issue - leaky shower , bathroom door would not stay closed constant & quot ; slamming & quot ; door whenever guest enter leave room . location , , ' ideal . shop restaurant near hotel ( evening ) . issue center staff . first housekeeping – guest City Inn provide top sheet . guest expect sleep use comforter – something comfortable . , call housekeeping ask sheet send . also ask bed make top sheet duration stay . deliver promptly proceed remake bed . unfortunately repeat every day stay . would get room 11 pm midnight call housekeeping ( guest service housekeeping go home ) would deliver sheet would remake bed . would always ask bed make top sheet duration stay would always get " yes , course " . never happen . last night stay , decide call leave hotel . noon , ' get housekeeping ( tired frustrated call ? ) front desk offer deliver message . get room evening , fact sheet – fold sit top bed . seventh last time – get make bed ( think housekeeping ' job ! ) . almost request ignore every day . second – restaurant staff . dine restaurant , expect friendly , courteous professional service . experience City Café ! ! sit table ten minute waiter approach we rude impatient . seem we favor answer question menu . food also disappointing . spouse ' steak horrendous – properly trim cooking . restaurant ' busy , basically tackle get check . needless say , never go back . thirdly – bar staff . pleasant ( unlike Café staff ) , would helpful multi - lingual staff speak English . order burger menu deliver completely wrong . ask waitress bring onion , come back chip . communication battle three time visit , least pleasant could see try . lastly – concierge . say unapproachable , unfriendly unhelpful - essence useless ( except hand map ) ! 
 Oct 13 2009 	 everything Right 	 hotel really everything right . staff courteous , friendly competent . room large , clean , airy light color furnish well organize useful , full light , nicely appoint . location good , though extraordinary - near Tube station little far , nightlife right next door . price reasonable quality get - London , . be funky 's quaint - 's want look elsewhere . want good hotel everything right , offer good value , really let enjoy stay London excellent choice book . 
 Oct 10 2009 	 Modern hotel basic clean room good breakfast great value american dollar . 	 take thirteen - year - old daughter first european trip summer . stay City Inn nine day . overall nice experience . room small simple clean quiet . love imac computer room , great planning activity keep touch folk home . full english breakfast include stay wonderful , especially sausage french toast . although location 5 - 10 minute walk either Pimlico Westminster tube stop , not bother we least . love able walk Sunday church service nearby Westminster Abbey Tate Britain glorious Turner painting couple block away . problem encounter hotel fairly minor . bad part check - in first room give one queen bed request two twin bed . , second room give break showerhead spray whole bathroom . third room work fine . hotel staff generally attentive helpful many seem inexperienced . small critcism would prevent we stay . value stay american dollar good . 
 oct 9 2009 	 second time even well 1st 	 second trip London ( 3 year ago ) second stay City Inn experience well second time . hotel quiet neighbourhood 5 minute walk & quot ; tube & quot ; bus stop almost right front . book week trip LondonTown.com website price room also breakfast dinner include . breakfast fantastic - quite large variety cold hot item buffet along chance order menu well . although dinner menu somewhat limited exotic , service attentive courteous . the room bright clean include Mac computer provide support internet , dvd , cd , radio TV.At 100 pound night , take consideration meal Internet include , cost room true bargain . the next time go back London , City Inn certainly top list place stay . 
 oct 9 2009 	 WOW 	 great place . place kind hard find , mostly fault really get bearing . lobby staff friendly helpful . mac hotel room great ( one bag break flight find camping store , come handy . first stop 11 day Trip Europe . ) . realize mac also tv , need tv . nice walking distance parliment big ben . easy walk Thames . clean room . breakfast plentiful good . package include breakfast price , ' m 100 % worth cost since would hidden 11 day bundle flight , train hotel . 
 Oct 8 2009 	 well run hotel ... 	 super friendly helpful staff . well organise hotel . well accessorise room . Cool iMac free wideband internet room . : * room small cramp especially small table right middle everything . * double bed small two people ( comfortable otherwise ) * small bathroom make feel constricted clauastrophobic . * bidet bathroom * water pressure shower low high enough make trully satisfying . * Shower head work break place water shoot opposite direction normal flow * phone would allow we make International call credit card work ( check ) . ask help one acknowledge reckon management impose policy . instead pretend know happen , even change phone device room . finally promise check call centre suggest get back we never get back we . * advertised wifi really work although cable base connection iMac 's internet access work great . * Room heating work ; warm air would come except momentarily . never acknowledge probolem although common knowledge many hotel try save disable heating first month Autumn . come check , momentarily work back cold air come . * one clothe drawer whole room ! ? * iMac double room 's tv . tv signal digitize hotel stream room . however iMac 's bad average screen quality combination fact digitize video lack clarity detail compare original satellite receive one render program difficult watch . specifically try watch US Open tennis tournament ball simply could see clearly fast exchange especially far side court . * 24 - hour corner shop close - bythe hotel management gracious , helpful polite problem occur credit card freeze couple day . overall , would still stay , something well could find similar slightly high price . true Hotel quality room space problem general London UK . 
 Oct 8 2009 	 wonderful location walk see sight 	 include accomodation fabulous breakfast ! important difficult find family restaurant within 30 minute walk distance hotel . the location perfect family walk see every site want see . would advise pay eat lunch dinner , though , unless prefer small portion gourmet food . the room small able get 2 adjoining room , save day . do stay desire view . able see roof rock surround 4 building . 
 Oct 8 2009 	 good hotel ever ! ! ! ! 	 never think would say .... perfect hotel , earth helpful concierge , painless accurate check - in check - out , extremely clean room , free internet , helpful polite staff , quick friendly room service , food offering every taste pocketbook . location could well . cab stand front door , beautiful view , quite , spotless , can not say enough good place , make trip special . can not go wrong . 
 oct 8 2009 	 great experience @ City Inn Westminster 	 excellent 4 night vacation fabulous hotel ; good value money ( great deal via directrooms.com ) ; surely come back ... pro : room clean fair size ; Grand breakfast good product variety ; iMac room cool bonus ; Staff nice & amp ; helpful . con : little far near tube ( 10 minute walk ) ; 2 minute nearest bus station , two line ... 
 oct 4 2009 	 4star + + + + + + 	 not know horrible experience experience Paris Mercure Suffren Hotel , suppose level City Inn .... want kiss ground front City Inn . staff helpful kind , unlike Paris Mercure Suffren , mostly City Inn Westminster clean ! ! ! ! ! ! definitely stay ! ! ! ! 
 Oct 3 2009 	 second time still good ! 	 second time City inn Westminster . great remember 3 year ago . location really good , nice quiet backstreet convenient Pimlico Westminster tube station . room clean , bright lot natural daylight . Cool Apple TV / computer . downside bathroom tiny shower . however , adequate , small . reception common area stylish , staff helpful friendly . Buffet breakfast one good ' ve ever - hot breakfast cook order always nice touch compare everything hot plate . overall would definitely bother look anywhere else every time go London , hotel perfect package price . 
 Oct 1 2009 	 Eggs Benedict excellent 	 stay several time always pleased discover free internet iMac room . breakfast excellent . cost drink bar somewhat steep , even London hotel . little frustrating visit though sign drink bar , chase server afterwards ( 20 minute later indeed ) suggest fail . busy . frustration follow reason : sign chit . place chit bar . return sit realise staff member take chit ( name room number ) public display bar . return bar , pick chit place till . matter resident security . lone female particular happy name room number display other . shame focus potential revenue loss , rather customer service . sure management team reconfirm staff import resident security , read review . 
 Oct 1 2009 	 modern 	 sister stay City Inn Westminster 1 night trip London . ' ve read many positive comment hotel want try . hotel within walk distance Tate Britain , House Parliament , Westminster Abbey , Southwark etc . however , be quite long walk Westminster Underground station luggage . be lucky get early check . room stay nice clean view river Thames & amp ; London . furniture modern basic . bathroom small nice come White Company toileterie . like Apple computer room although be slighting uncomfortable use 's high table chair bit low . be great free internet access room though . their cafe ground floor look nice . unfortunately , not try closed breakfast lunch set . 
 Sep 30 2009 	 poor service business customer 	 would recommend hotel business stay allow use third party company credit card . buisness ( ' m sure many other ) incredibly important never problem hotel use , 
 Sep 29 2009 	 amazing hotel make wedding day unforgettable . 	 hold wedding City Inn Westminster 5th September 2009 . shelly , Grant team make day unforgettable we guest . every single member staff seem know make point congratulate we check whether everything alright . chef produce 100 plate superb food ( sea bass , perfectly cook , even though speech run time ) . upgrade luxury Thames suite , spectacular view Battersea power station river . guest bowl stylish decor , perfectly design room great service . hotel punch way weight . forget 5 * trendy boutique option London . want superb service modern , cool friendly hotel , place , be brilliant value boot . overwhelmed : make wedding day . 
 Sep 27 2009 	 perfect place stay city break 	 second time stay City Inn year . good last time . quiet location 10 min walk underground 15 min walk St James park . friendly , efficient service , good sized comfortable room White Company smellie fluffy dress gown . bar 1st floor excellent . rate not include breakfast £ 17.50 not good value not want full english plenty good cafe around . 
 Sep 25 2009 	 great hotel terrific location 	 husand stay Westminster City Inn three night recent vacation , take Proms concert , theatre production , city site . location terrific -- easy walk distance lot site Westminster , well tube bus line . hotel nice neighborhood , alhtough not look like much outside , lovely lobby super comfortable room well - equip . get package include full english breakfast thoroughly enjoy buffet cook entree -- lot option variety excellent quality . restaurant light airy , great setting . bar upstairs hoot -- lot red light minimalist music attempt super cool vibe . staff excellent -- front desk crew wait staff restaurant bar concierge porter -- everyone friendly helpful . like other , impressed City Inn much less expensive many hotel seem comparable amenity . delight clean modern -- always challenge London . would certainly stay future visit 
 Sep 25 2009 	 Continues excel breakfast queue need sort 	 use City Inn year first stay . great check service usual like iMac upgrade room one tv , audio internet system wifi free room ( rare ) good bandwidth VPN friendly important business user . also Sky Sports 1 - 3 well . quiet location decent part London , 88 bus yard away take heart West End Pimlico tube 1k away ( 5 min ) Victoria Line 2k ( 10 min ) Houses Parliament Westminster tube . only noticeable downside time queue breakfast ( finish around 8:30 come around 20 people stand line look little pissed wait . hotel need well food ( breakfast dinner ) great wildly expensive . overall highly recommend 
 Sep 24 2009 	 Excellent hotel 	 hotel cheap lot top rate London hotel not look much outside . check procedure seem bit painful , hotel impressive . specially design building - brilliantly design . everything think , include thing never would think ! bathroom include shower - good one . tv smart - part apple mac access internet handy . room completely sound proof . breakfast not cheap good . restaurant service good . bar great , good atmosphere , food service . well worth visit . the area ok , near Victoria / Millbank walk West end along river . large estate nearby seem ok walk late night . area generally fine quiet weekend particular . , enjoy stay would recommend ! 
 Sep 23 2009 	 lovely hotel 	 really impressed furnishing standard room . birthday upgrade we suite gorgeous roomy accompnaie ipod docking station mac . do not eat sure food be look hotel good price do not mind 10 minute walk tube one ! room service be not 24 hour tho , well be not stay .... great hotel tho 
 Sep 22 2009 	 lovely hotel computer room . 	 nice place clean room fancy lobby . room computer handy look thing place eat . quite far near tube station . 
 Sep 21 2009 	 fantastic quality hotel ideal location 	 stay single night last week whilst visit London concert ... could not happy . hotel clean , tidy modern - something fairly unusual London hotel thing tend artificially old - fashioned chintzy ! pay £ 170 Club Room , not cheap could . still seem pretty good value quality room , come Club benefit ( 1 pm checkin , 4 pm checkout , free bottle wine , free chocolate , free bottle water , etc ) room well appoint comfortable bed , nice fit unit , good , Apple iMac computer television dvd system . work treat , although volume JBL surround system loud even low setting . location - wise hotel perfect ten minute walk near tube station - walk nice tree - line street near house parliament . one last point - place order online ask room towards top 13 - storey building ... get one top . fantastic view house parliament London Eye , really show hotel listen request guest . overall impressed whole experience City Inn Westminster , absolutely visit soon ! 
 Sep 19 2009 	 exceed expectation every way 	 look treat wife stay London opt suite . WOW - everything hotel exceed expectation . difference bad , good exceptional hotel 's staff City Inn staff incredibly friendly ( yet professional ) . every single member staff come contact brilliant mean every single one . ' ve level hotel cheap B & amp ; b good city offer have expect City Inn somewhere travelodge / premier inn actually would give good real run money . book top floor suite - terrific room bedroom separate lounge great view city skyline . equip everything could think , two mac full internet access , mini bar , tea / coffee , iron / ironing board , safe , lovely modern sofa , dining table chair etc etc etc . I book couple month advance going see Massive Attack Brixton have forget have book apart form location . arrive list thing include rate stay seem endless - great suite view , bottle wine mineral water room , bowl fresh fruit , hand make chocolate , wonderful big bed , free cocktail sexy Millbank lounge , full english breakfast , 10 % restaurant , silence , early check - in / late checkout ... except top hotel , hotel restaurant bit grim yet pleasantly surprise good restaurant . opt early dinner concert , pop restaurant get busy . excellent well train staff serve we lovely food . go 3 course daily market menu include basil risotto , pave salmon , fresh ravioli , homemade sorbet , etc great value ( even withe discount rate ) . would recommend restaurant even not stay hotel . London real lottery come hotel , often feel ' ve mug real gem . ' ve stay 1 Aldwych ( exquisite hotel price tag match ) would put hotel next despite quarter price . 
 Sep 19 2009 	 excellent location value money . 	 stay five night short leisure break London . excellent hotel . good value hotel quality central London . clean throughout . efficient helpful staff little formal , business hotel . room modern new look Apple Mac provide short storage space clothe . would definitely stay . 
 Sep 19 2009 	 great hotel location service 	 stay hotel Friday Sunday find excellent choice . able check early , room good , use City Cafe twice dinner meal good . price perfectly reasonable . hotel residential area , pleasant - traffic noise little & quot ; corridor noise & quot ; . hotel fab location - 5mins Tate ( well worth visit ) 12min walk Houses Parliament . Pimlico near Tube , also frequent bus . Guest service ( infact staff ) friendly helpful - nothing much trouble . continental breakfast choice excellent . final treat take taxi KingsCross station - take less 25min cost £ 15 . would definately stay . 
