almost 	 London 21 - 24.11.2009 . stay Premier inn situated center London ( 50 m London Eye Big Ben ) . unconventional reception good ( check - in check - in machine want , wait ) . reserve twin bedroom get extra large bedroom one double bed one bed extra ! ! ! great ! ! ! room perfect . extra clean nice clean bathroom , flat tv , hairdrayer , cofee machine ... breakfast good can not describe ... full english buffet breakfast ... planty everthing ... word ... one one thing ok shampoo bedroom stay empty three day . definetly ' m go Premier inn ... 
 Sep 19 2009 	 recommend 	 second trip London , first time business time vacation ( take mother ) . first time stay Brown 's hotel nice , would not pay much myselft ( company pick tab ) .I not normally kind review , since pay trip alot research website feel like need give back . travel every couple month ( business ) normlly stay high - dollar resort / hotel ( Four Seasons , etc . ) . keep mind review . this do not ' like hotel : AC . weather cool enough could keep window open , however allow outside noise . enough keep we awake , somewhat irritating . no small shower gel / shampoo bottle , instead get push dispenser like might find public restroom . not like run soap one shower . no small bar hand soap bathroom sink , instead get push dispenser like would find public restroom . find little cheesy . no kleenex , instead use toilet paper . personally not like use toilet paper purpose ( close toilet ) .The bath / hand towel scratchy . there feminine hygenie bag counter toilet . find little un - classy . the toilet paper rough break apart easy . I like toilet seat ( uncomfortable ) .The bathroom counter small ( 18 & quot ; x 24 & quot ; ) .The bathroom door spring load ( steam could set fire alarm ) . would jam open shower . have duvet instead sheet . personally not like they . the bed matress hard , like . the hanger permanently mount open closet / tv shelf contraption . mother ask extra hanger none . also , like hang clothe bathroom shower steam wrinkle could not due setup . the area little noiser would care ( especially need keep window open . I pay extra internet ( $ 15 / night ) .what like hotel : clean . the hotel staff polite helpful . price ( $ 194 / night ) ! would little cheap remember get VAT back . central London , hard beat price . check price Mariott County Hall building . location , right next London Eye , close bust stop , train station , tube station lot 's sight . overall , highly recommend hotel seriously consider use future personal travel London . 
 Sep 15 2009 	 great hotel ........ 	 hotel expect Premier Inn chain , clean efficient good friendly staff . lot refurbishment go moment room brand new , comfortable good bathroom . breakfast room look chaotic overcrowded really smooth run great choice hot cold food . gripe turn evening pre book table tell would wait busy , strange restaurant barely half full , head waiter take order drink say would back take order . twenty minute later return say go get drink except have forget order , & quot ; sorry busy , & quot ; although time see meal serve still empty table occupy one . look classic case short staff kitchen . leave go areally good italian restaurant road . would recommend hotel comfort , cleanliness location steer clear restaurant evening . 
 Sep 10 2009 	 make proud british 	 stay room 525 2 night , clean , fresh , spacious , quiet , tea coffee facility , v comfortable bed . staff come contact friendly welcoming , smile offer assitance . fantastic location discover that s good london . bar price inflate bar staff smile welcome even get bar . 2 minute waterloo station . absolute english gem . Lenny Henry tell like - pity miss ! ! ! 
 Sep 10 2009 	 great location 	 Excellent value hotel . great location . comfortable room . helpful / friendly staff . downside : step reception carry suitcase easy . laundry facility ( problem stay long time ) . safe valuable room . 
 Sep 8 2009 	 will not find well money ! 	 recently stay hotel late August two child 5 7 , two night . its position perfect , right alongside South Bank , touch distance London Eye five walk Victoria station . the room , although basic , newly re - furbish . it exceptionally clean would expect .The staff extremely friendly helpful , without mean sound like biggot seem English . they even smile we arrival , real rarity uk.customer service first class . the breakfast good child eat free . the evening meal much write home , hey , budget hotel real rarity London one quality . the beer dinner appear water down . I ' m drinker though , not matter . my gripe child not proper bed . one bed settee make mattress floor . have old carpet would complain . the room little warm , explain list building planner would not allow air conditioning . reception bring fan without hesitation mention room warm . I would hesitation stay again . you check review here . do not bother look around alternative , book ! will not find well money . 
 Sep 5 2009 	 GREAT LOCATION . get better MAKEOVER . 	 family stay 1 night premier inn county hall london glorious august weather . location amazing . county hall contain london aqurium right next london eye . nightlife around incredible street performer , park kid light house lord . ! ! ! ! . go august blister heat hotel air conditioning . temp room 30 's premier ' ve pretty basic . due multi million pound facelift would leave till next year go . oh way breakfast GREAT , dinner rubbish . staff friendly though . 
 Aug 30 2009 	 highly recommend 	 everything hotel exceptional . location ( 50 yard London Eye Westminster Bridge ) second none . moment arrive time leave staff extremely welcome nothing ever much trouble . stay breakfast £ 7.95 adult kid eat free do not expect much , wrong . stay many hotel year quality food truly exceptional . even price bar reasonable . we able check early room ready leave luggage hotel whilst spend last day seing sight . Premier Inn number one choice hotel family . well do 
 Aug 25 2009 	 fantastic value big room great location 	 stay family room 4 night August 2009 child age 14 & amp ; 11 . staff extremely efficient pleasant not bother we unnecessarily e.g . housekeeping speedy & amp ; unobtrusive , staff print return boarding pass we check - out take 6 second . Staff greet we corridor & amp ; breakfast & amp ; explain breakfast buffet clearly . hotel room & amp ; bathroom fantastic standard , spacious & amp ; look like never use ! hotel build lovely & amp ; form part big block incorporate Dali museum & amp ; London Eye office . double - glaze effective shut city noise . breakfast varied , plentiful , hot tasty . County Hall location great 's close Waterloo tube station & amp ; be plenty life day & amp ; evening around London Eye , Westminister Southbank area e.g . street performer , bar , restaurant , nice walk . DEFINITELY stay . 
 Aug 24 2009 	 consistently good need air conditioning 	 ' ve stay time business past couple year always find room clean comfortable enjoy good breakfast time . recent visit , room warm ( around 26c ) chambermaid leave window open . hotel provide fan improve matter slightly , proper air conditioning would good . room surprisingly quiet even one overlook street . convenient Waterloo station , London Eye , Westminster Abbey etc etc . 
 Aug 22 2009 	 like good value good kid close tube london eye 	 stay family four . cost we 120 pound . find good value compare hotel london , especially two kid tow.excellent location next london eye , close tube , breakfast good deal kid eat free , be eat buffet style , quick easy . kid enjoy busker close london eye . like walk distance globe theater . room good shape . air conditioning stay , london hot spell , fan room . & quot ; good luck chain , stay one hotel doncaster back . complaint , elevator slow , not allow take stairs strange reason . wi - fi expensive . would definitely stay . 
 Aug 12 2009 	 London Eye 	 London expensive ! one chain hotel available . right close London Eye , Big Ben , Westminster Abbey , Thames within walk distance many attraction . London easy get around use Underground - so within reach everything . room clean , restaurant food good . feel breakfast little pricey tho , go across street less expensive breakfast . also nice italian restaurant catty - corner . staff great helpful . wifi - but free - I not like part . tho , pleasant stay . 
 Aug 11 2009 	 good hotel Excellent location 	 spend 3 night sightseeing trip family . excellent location , bank thame , within walk distance London Eye , Big Ben , Westminster Abbey , Buckingham Palace , Trafalgar Square , Waterloo Charing Cross station , pier . very friendly helpful staff . comfortable room , frill hotel . note : airconditione , alarm clock room . 
 Aug 10 2009 	 great value money super location 	 hotel ideally locate . right beside London eye , minute big ben short walk away major location . hotel may offer , ' m sure much great price . simple , frill , value money hotel beat . arrive wife 2 teeenager . room immaculate look like recently refurbish . staff extremely friendly helpful . include breakfast package ' m pleased . buffet style usual option available high standard . also dine restaurant evening quality food service superb . 
 Aug 9 2009 	 FantasticLocation . family - friendly base . reliably clean comfortable . 	 travel London 4th August 2009 two young daughter ( 7yrs 9yr ) suddenly face position accommodation night due double - booking , ( another story ... ) London Eye able go Premier Inn behind County Hall , see could help . receive help , attention . suggestion case . daughter special need prevent travel underground staff shortlist option Premier Inn . a lucky cancellation moment mean able stay right ' m glad . main staff , thank Lennie Eve fantastic job go way help . note staff courteous always say ' hello ' smile . the room spacious , clean comfortable , along pleasant view Southbank .. bathroom surprisingly large , spotless new ? bed comfy mod con function . one small point , another reviewer note , door extremely heavy need hard shove open . girl weak limb wedge bathroom door open towel ! not problem ... management already note heat due lack air conditioning , provide fan . ( girl like Ben Jerry 's Ice - cream vend machine lift area ) ! location ideal , Westminster Bridge easily lead many sight . Big Ben , Thames London Eye light warm evening take beating . child well cater eat breakfast free . the dining room busy , efficiently run well cook & amp ; present food keep come ... wide range taste cater much like . fruit - salad muffin breakfast lovely ! .As leave , pass Lennie immediately want know well , nice . feel relax busy city reasonable price , can not wait go back . 
 Aug 7 2009 	 great March book special Christmas 09 visit ! 	 sorry late review , check opinion , want add thought . this wonderful hotel . staff quite friendly helpful ever find - level attention 5 star ! go back December 09 , delighted discover , far , everyone else stay seem opinion ! wonderful location - can not recommend highly enough . within easy walk distance theatre land romantic , right river , near Westminster Bridge London Eye within one minute stroll ! well exceed class many call & quot ; luxury & quot ; hotel could learn heck lot Premier Inn County Hall . I wonder company generate excellence staff attitude customer service , manager hotel read review , would interested hope management pass sincere compliment staff . hope 's good company work . whatever - work ! regret stay Premier Inn County Hall ! 
 Aug 7 2009 	 definately return 	 stay 3 night nothing praise . location fantastic sight , could see London Eye bedroom . know get Travel Inn yes , bit bland , take worry . quiet consider location eat eatery opposite entrance . good value money . 
 Aug 4 2009 	 will not find well locate staff family hotel London ! 	 stay 2 night kid first real visit London ( although stay past ) . room large comfortable , good view across Thames South Bank area ( unexpected ) .Service excellent every member staff smile greeting ( unlike many expensive hotel , stay ) special mention Lenny helped look bag final day stay ( free charge ) . breakfast well expensive chain service excellent despite busy time problem get food seat . good transport close pick point ' Original Bus tour ' , ' big Bus Tours ' & amp ; ' Duck Tours ' well London bus directly opposite Waterloo Station & amp ; Tube also Taxi rank outside hotel . build London Aquarium , McDonalds , London Eye Marriot Hotel ( much expensive ) , plenty bar restaurant vicinity ( South Bank area lively ) . can not go wrong especially price range . 
 Aug 3 2009 	 Brilliant 	 travel husband 6 year old daughter , book London Eye website . hotel brilliant position , literally 2 min London Eye , 5 min Waterloo underground station . room large clean - spotless bathroom , comfy bed . staff really helpful friendly . able drop bag go day check later . bar nice - plenty family stay there . breakfast outstanding ! load choice hot cook food fresh friut cereal - much want ! tea , coffee fruit juice tap . really good value money . would stay next time hit London town . go see .. 
 Aug 2 2009 	 Location superb amentie sub par 	 book 2 family room two night . room spacious , amenity hostel like , staff ok . however , book premier website list premier hotel amentie like AC toiletry location explain we since historic building , AC , loud location ( central ) , difficult sleep . give we fan apologize misadvertise . bfast good , room clean money , elsewhere bargain find little research . however , location beat ! ! love London Love England ! 
 Aug 2 2009 	 Fantastic Value 	 's say ' m go say . fantastic value , great location , great breakfast friendly , hardworke welcoming staff . this 5th time stay come away imprese ever . do not expect 5 star luxury : get excellent value pound UK chain expensive city . if , ask room overlook Jubilee garden . family room overlook courtyard back extremely spacious wake several morning 6 am arrival skip . closing window helped require upright fan provide turn facilitate welcome respite heat .. discuss member reception assure we would word security regard skip delivery time lo behold noise 6 am . start nearer 8am . there refurbishment go present probably would not know board reception . disruption minimum . I report though 2 3 lift use present . the County Hall 's staircase really use case fire unless ask stair ( ) take lift . sense fustration people wait several minute lift find full arrive . for reason reason County Hall Premier Inn get four star we rather five would give past . can not wait stay refurbishment though . these gripe aside would go back instant . recommend ? bet ! ! 
 Aug 2 2009 	 Brilliant Location Friendly Staff Great Size Room Spotless Excellent Value 	 stay London regularly work much expensive chain boy could learn something customer service staff . check staff really friendly efficient ( never see queue ) luggage room available . room spotlessly clean public area noise either outside guest . we travel young child ( 1 & amp ; 5 ) book family room end rm 405 could see London Eye window be not expect view £ 100 per night pay . large room London standard least 15 m long king size bed single cot load space kid let steam . breakfast great load choice fruit yoghurt fresh crioissant cereal full English . buffet unlike many everything hot fresh . costa coffee include . around county hall load place eat McDonalds noodle bar italian opposite . also grocer opposite anything forgot . vend machine hotel ( food costa coffee serve til 11 pm ) Ben Jerry 's outside lift really naughty . what nice effort staff make smile say hello go extra mile make stay pleasant one thing like make kid cereal bedtime . service value quality excellent leave cash toy shop Legoland ! 
 Jul 31 2009 	 top notch location really good hotel 	 despite slight quibble checking , attitude reception staff ever slightly , happy stay . whole place middle refurb , disruption minimal whole place feel clean new . initially room face middle building not great sound generate middle loud ( even London ) move room overlook park London Eye much well . expect constant background noise part town , concern bring earplug - hotel 's fault . find location superb sightseeing . within minute stroll around Westminster , South Bank etc decent pair shoe not need tube able walk tonne landmark . bar cafe near hotel hotel bar stay open late , actually useful bar near not late licence . breakfast great , eat good selection . overall would not hesitate stay visit London . special mention also Lennie porter seem take genuine pride job make we feel welcome indeed ! 
 Jul 22 2009 	 Excellent Hotel fantastic location 	 recently return trip London stay Premier Inn , County Hall . family consist husband two child age 12 13 . great hotel . location superb , right London Eye within easy walk distance West End Covent Garden . family room consist double bed , bed setee one mattress lay floor , ideal we lot room . room clean tea coffee make facility bathroom spotless . breakfast could eat hot fresh . staff credit company , helpfull friendly . 
 Jul 13 2009 	 Perfect - finally family hotel ! 	 Perfect location ! great room ! perfect price ! clean , comfortable safegreat Breakfast - kid eat free .. good bar , good choice wine . would stay anytime 
 Jul 12 2009 	 great family hotel London 	 stay base good review read site ' m glad . convenient location right London Eye , five minute walk across bridge ( stunning view Houses Parliament Big Ben ) Westminster tube station , ten minute walk Waterloo station ( tube train , travel visit Hampton Court Wimbledon . two big tour bus company stop right around corner hotel . hotel staff extremely friendly always helpful ( provide direction , print map , etc . ) breakfast buffet great ( croissant terrific ! ) good value two child eat free two pay adult . room basic functional clean . Hyatt Marriott ( actually gargantuan County Hall building Premier Inn -along London Aquarium , Dali museum , tourist attraction ) be also half price . queen bed , single bed , futon mattress floor comfortable suited family four fine . tv small offer channel , not London watch tv . bathroom sink separate hot ( scald , really ) cold faucet . wall soap dispenser shower gel dispenser feel little institutional , shower strong hot water always available . bathroom door self - closing , ' ve never see hotel . nominal daily charge use room safe . one work elevator first day get , second elevator fix next day . stair easy option elevator busy ( though be like step back time , stairwell original County Hall stairwell not renovate ) . although front County Hall ( London Eye ) usually teem tourist , back building ( hotel ) face street closed traffic ( access grant cab authorize vehicle ) , area quiet . convenience store right across hotel well several restaurant minute 's walk away ( example : Locale , excellent upscale italian restaurant ; Yo ! Sushi , pick selection conveyor belt ; Ned 's Noodle Box , good asian fast food , be even subway ) . soft serve ice cream kiosk around London Eye nice summer treat . conclusion , Premier Inn great budget hotel option family look explore London . 
 Jul 8 2009 	 Great Location basic hotel 	 location hotel amazing , could ask anything central , walk almost anywhere London , close three tube station . hotel basic , clean . stay bit hit miss , night staff seem friendly day staff . 
 Jul 7 2009 	 Perfect spot see lot 	 hotel Eye , close Westminster Abey , Parliament , Waterloo StationBus tour . easy access Globe andTate Museum via bus 
 Jul 6 2009 	 Excellent stay despite ` ` view '' ! 	 stay Premier Inn County Hall Saturday night book family room . online booking process easy phone ask quiet room away lift pleased see give exactly that . the check experience fine despite receptionist trouble computer system . receptionist friendly chat daughter ; give we information breakfast location restaurant , make way room . expect much small room give hotel 's central location spacious room , comfortable double bed sofa bed already make daughter . the room bathroom spotless ( exception window - good reason ) . Premier Inn take back former County Hall building side hotel face deep courtyard visible access - hence lack view dirty outside window . peer window upwards , could see sky top London Eye , not book room view not worried . every member staff encounter friendly chatty . everything room work perfectly plenty bed , loo roll etc . need ask anything extra . we afternoon not realise close hotel Waterloo station underground , bonus - 5 minute walk . could also walk Westminster Bridge within minute therefore easy access Westminster , Houses Parliament etc . London Eye London Aquarium base County Hall within minute 's walk . we eat Ritz night special birthday not dine hotel . find taxi problem , turn leave main entrance hotel taxi wait . we quiet comfortable night , not disturb noise room , despite hotel full . Premier Inn offer night 's money back anything hotel cause bad night 's sleep thing wake we thunderstorm ! breakfast next morning fantastic . pay £ 7.95 adult child 16 eat free , breakfast full buffet & quot ; eat much like & quot ; system . food delicious , great variety , hot , tasty freshly cook , even coffee good . much food find not need lunch day . we one problem lack lift . one lift refurbish indication stair , guest use two lift . mean wait almost 15 minute lift get breakfast Sunday morning nuisance . one would hope refurbishment complete thing improve would helpful stair signpost able could use they . check painless quick would definitely stay hotel . 
 Jun 29 2009 	 wonderful experience ! 	 stay hotel 16 year old son . location can not beat . Waterloo station right around corner great trip Windsor Hampton Court . staff pleasant helpful . bed wonderful ! ! large selection item breakfast , poster state , stay away scramble egg . definitely back . 
 Jun 29 2009 	 Basic hotel staff helpful hotel quirk 	 room basic . find staff helpful , agree breakfast way expensive since stay 4 day boring everyday . also 2 room Premier count age 15 adult 3 adult per room . go downstairs ask staff question phone room not in - hotel contact information . great location London Eye . ( Unfortunatley could not view room . ) walk many place . 
 Jun 28 2009 	 pay little extra stay proper hotel 	 poorly signpost issue safe arrange taxi . the manager say would receive refund safe purchase letter suprisingly none receive . room hot air conditioning . cost 120 er night room even cheap 
 Jun 28 2009 	 great bed ! 	 Premier Inn say advert - want take bed home comfortable . great hotel , good service receive UK hotel ideal location . worth pay little bit hotel look . 5 minute walk Westminster underground , 10 - 15 min Trafalger Square . also walk Imperial War Museum , 20 minute away . 
 Jun 27 2009 	 great affordable hotel London 	 end two week vacation UK 3 night Premier Inn Belvedere Rd . right beside London Eye . make way easily hotel return rental car Heathrow . take Tube Heathrow Hammersmith switch District Line get Westminster walk Westminster Bridge Hotel . able leave luggage lock safely hotel since arrive check - in . staff courteous , return productive initial London sightseeing check time promise . close everything two major Tube station ( Westminster Waterloo ) major bus route everything easy travel . breakfast great ( even vegetarian sausage ! ) . kid certain age would crazy eat head sightseeing offer & quot ; kid eat free 16 & quot ; per adult . staff great room clean tidy . ideal hotel base explore central London easily affordably . would stay . 
 Jun 23 2009 	 Fantastic Hotel - right next London Eye 	 brilliant weekend London stay Premier Inn , right next London Eye . hotel tick right box . clean spacious room , fantastic full english breakfast , buffet style , eat much like . also eat evening go show , meal really delicious plenty .. staff helpful courteous . 
