San 	 love location hotel along service inside outside room . great able get everywhere want go walk front door . people hospitable . 
 good hotel good location 	 7 night Westin . begin think 5th floor really noisy SF downtown hotel , relatively quiet . ourse hear fire fighter regular tour downtown . also applicable & gt ; 30th floor . the room stylish roomy . even healthy stepper thing locate next floor ceiling window . nice , clean bathroom well . bar restaurant also nice , rather expensive . 
 oct 2 2009 	 Nice Hotel 	 Westin Market Street nice ' upmarket ' hotel excellent location San Francisco - quick walk Union Square public transport Mraket Street anywhereWe ( family 2 adult + 2 kid , 5 13 ) large , bright clean room - 7th floor think - bed wonderfully comfortable . bathroom little dark , spotless bath , nice little one . check - in smooth girl desk deal we extremely pleasant , staff meet , include restaurant . pleasant surprise give remark make site . we not breakfast hotel - Starbucks street want coffee pastry- good , rather expensive , meal & quot ; Ducca & quot ; .My complaint would room right next service elevator rumble noisily late night early morning . presume room allocation due fact get absolutely fantastic rate Expedia , imagine give hotel scope allocate well -placed room pay full whack . all stay pleasant , be ever back SF ( be long way France ! ) get similar deal , would stay . 
 Sep 30 2009 	 decent place get decent deal 	 stay gf 4 night . complaint , usual hotel issue would place cost $ 90 / night . bed always comfortable nice Westin hotel . shower / tub drain never drain properly ? 's hotel hotel ' ve visit past 2 year . idea . get room $ 80 / night well , say place good . anything iffy . good luck . 
 Sep 28 2009 	 Great Hotel good part city 	 great stay 5 night Westin hotel - great location- short walk ferry build embarcado aswell city center . we upgrade arrival delux room great panoramic view city near top floor cost . although slightly small side room clean nice- bed really comfy room starbuck coffee maker huge plasma tv great bonus ! staff hotel also really helpful friendly . hotel restaurant also great - one good meal eat SF ! Great Hotel - would definatley stay . 
 Sep 24 2009 	 great stay 	 Westin Market St. well locate hotel good facility . located 3rd St. 5min walk Union Square make ideal shopping good restaurant . service good enough room facilite expect 4 * hotel . swimming pool though ! ! ! 
 Sep 23 2009 	 fine one night 	 lose reservation manage squeeze . staff nice helpful . room small side comfy . one caveat . claim 24 hour room service actually end 1030 pm . check late want eat , give pizza delivery menu suggest store next door foe beverage cold snack . restaurant immediate vicinity close early also . bed good trip . 's close Moscone center , shopping museum . fine anything will rush back . room would suit solo traveller , probably trip 
 Sep 20 2009 	 disappointed outrageous fee lack concern guest 	 stay hotel two night long drive LA . moment arrive valet greet we tell we $ 45 parking charge ( + tax ! ) per night valet parking option . later discover public parking garage right across street . Approx . $ 50 parking per night seem like highway robbery , matter city 's , nice hotel ! staff front desk courteous bellman pleasant . room nicely decorate bed fairly comfortable . first night stay however guest next door party drinking turn scream holler type domestic dispute around 1 am . verge call police call front desk 1:30am . one security ever show noisy neighbour finally quiet around 2:30am . complain front desk next morning nothing do . simply blame & quot ; unruly guest & quot ; . wall room thin noise travel well , heavy metal room door also slam loudly echo hall anytime guest leave room . this hotel typical overpriced minibar ( $ 5 soda ? ) also charge $ 15 per day wireless internet . day age 's poor service . cafe corner offer free wireless , Westin . convenience store next door sell soda snack skip minibar save price gauging . in end highly disappointed stay , feel overcharge undervalued guest . would skip hotel find somewhere offer amenity free care guest concern . 
 Sep 16 2009 	 great location great room ok service 	 stay ' Premier Room ' Westin Market Street San Francisco . upon drive lobby , one help bag door navigate revolving door luggage tricky . wait several minute check - in two attendant duty busy customer . room clean , spacious , well maintain . view spectacular since room high floor face Moscone Center , Yerba Buena Gardens , Metreon . Location excellent , right Market street convenient walk union square extend walk distance Giants Stadium pier . pay ' starpick ' special rate , make room fairly reasonable location quality . overall pleasant experience . hotel meet standard Westin comfort , decor , service , excellent location explore city . 
 Sep 13 2009 	 Disappointing .............. 	 return 8 day trip California , 4 spend San Francisco , Westin Market . 57 yo female , travel brother , 61.We arrive 3 pm , tell room ready ... okay ... worry .... go Starbucks sit hour , come back , give two room ... brother 's still dirty unmade , someone else 's luggage it . my room safe ... bolt closet , safe missing . okay ... worry ... 11 pm evening , elevator go non stop make horrendous noise , right side bedroom wall . call downstairs ask . say shut midnight . ... next morning , go see manager request room change . this problem , desk clerk excellent , make sure move another room . find diningroom staff breakfast somewhat less congenial , seem put ask something , cream coffee . we purchase room Expedia , not know whether reason give poor room , think one treat well next guest , matter room procurre . at end ... return home today , receive phone call brother ... say bill additional $ 200 mini bar neither one we touch , move know sensitive . I honestly not think ever stay another Westin experience week ...... go one block 4th St favor stay Marriott ! ! ! 
 Sep 12 2009 	 Excellent hotel great location 	 spend 3 night Westin love ! hotel : pro : elegant , clean , comfortable hotel . staff super friendly , knowledgable , helpful . ask crib toddler , front desk host , Mark , even offer we small refrigerator room come really handy ! also , crib clean safe little guy . room fourth floor near elevator , not hear noise . con : hear conversation come next door , though , guess wall pretty thin . also not view window . would nice pool could take son swimming . the LOCATION : pro : Market Street one long diagonal street run city . street ton shop , shopping mall , restaurant , start cable car route , lot bus stop , also access BART ( bay area rapid transit ) . entire trip public transit ( kid stroller ) find location really convenient close everything . City Pass could get attraction quite easily . con : none ! fabulous location . we really happy stay definitely recommend hotel anyone ! 
 Sep 11 2009 	 Westin feel 	 not stay Westins much , last New Orleans , like brand 's hotel consistent design , service , location . like New Orleans , recently remodel hotel ( formerly call Argent ) , give pretty thorough Westin makeover . lobby room totally Westin - ize , comfy heavenly bed , clean - lined furniture , stark white wall , large flatscreen tv , upscale bathroom . actually room good size hotel like , definately wider usual . three guy , able fit ( comfy ) cot room 2 double bed , plenty room spare . course 3 night , actually comfortable layout . bathroom shower pressure good , cutain effective blocking light sun , closet nice upscale wooden hangar . bathroom amenitie Westin 's Heavenly Bath brand , not include liquid body wash , surprised ( use shamproo instead ) . towel plentiful fluffy . rest hotel , not use much . drink one night terrace Ducca , hotel 's restaurant . surprisingly quiet , think place would scene . restaurant furniture pretty chic restaurant 's terrace nice amenity . one guy order room service breakfast , come promptly , satisfied . package drop front desk name , hotel send room nice . , pleased . one thing would comment put we room next service elevator , mildly hear race elevator shaft certain time . Thought ask another room , think move process would annoyance light sound . , would happy return . 
 Sep 3 2009 	 Central Location Nice Hotel - can not go wrong ! 	 travel San Francisco frequently , 2 - 3 time month , know hotel SOMA Embarcadero area . recent stay end August four night Westin Market Street . first , location central , within walk distance Union Square , San Francisco Centre , Ferry Building , & amp ; Park , public transportation system ( BART , Muni , cable car ) . take BART either San Francisco Oakland airport simply depart Montgomery Station walk two block , hotel right ! check - in also pleasant , lady front desk upgrade Starwood preferred Guest room upon check - in , grant , give SPG card well , nice even though not ask . * word advice * nice front desk folk , payoff - either give crappy nice room . the room nice , spacious clean nice view soma district 29th floor ! also use fitness center hotel , think nice ... would say fitness center well Hyatt Regency 's Le Merdien 's ... gold standard still Marriott Fourth Street . also drop Ducca bar drink appetizer good - complaint . 
 Aug 26 2009 	 nice comfortable hotel ... 	 affordable 4 star hotel , large room , great bed , hot spot , good service , 
 Aug 26 2009 	 enjoyable stay Great Room 	 stay 4 night top floor , corner room , SPG member premium room view Union Sq , , Alcatraz , Coit Tower , Financial District pretty much anything worth see . floor ceiling window great 6 sun see xuty come alive watch light night . room great , bed comfy sheet good ( 200 thread count though ) . bathroom nice shower large enough 2 people easily . glitch first night room safe available service arrive next day leave valuable security issue luggage tag ( little disconcerting ) front desk hotel safe . safe arrive next day . hotel staff aloof other say , unfriendly , aloof could make extra effort smile greet guest . hotel busy include meeting room . find lounge area even impersonal pass drink - opt place nearby many choose . location hotel great hotel great weekend rate time time . solid 4 star business hotel suitable weekend getaway . opinion great family small child facilitie none nearby . well choice 7th Street family . we would stay . 
 Aug 25 2009 	 great location nice ( small ) room sometimes crowd . 	 many reviewer comment location , be true 's hard beat - convenient Union Square , Chinatown , financial district , BART , F line trolley . room nice comfortable ( like s.f.hotel ) small . downside ' ve encounter several visit hotel crowd , annoying wait elevator . aside , book good deal online , definitely go . 
 Aug 24 2009 	 horrible Customer Service 	 beautiful hotel , horrible customer service . part wedding hold hotel . public parking right behind hotel ( public hotel access ) close door 11 pm ( note : sign hour operation visible ) . able pick car ( city " law " , however find later access gate ) able stay & quot ; Boardroom " reserve bridal party 2 , option reason room available Hotels around . nobody tell room table sofa need 3 am people situation stay option . kick we room let we stay lobby 6 parking open door . disappointed ! ! ! get pay , nothing extra . hope major thing would go wrong stay , help come ! ! ! 
 Aug 23 2009 	 modern business hotel also good tourist 	 spend 4 night vacation San Francisco daughter Westin . peak tourist season ( seem ) public transportation restaurant pack town visitor . concierge service hotel exceptional give near constant line desk provide helpful informaiton even get we good deal local rental car company deliver hotel allow drop airport minor fee . room adquate three we , bath average clean lot towel amenity . free internet . place look pretty packed never seem impact service . good place stay . near main tourist area , prepare walk mile embarkadaro take historic street car line , also city bus service cable car short walk . lots coffee shop small restaurant nearby . 
 Aug 21 2009 	 Westin Market St FANTASTIC Great Value 	 wife recently stay Westin Market St 4 night . great staff invite lobby . check - in desk clerk tell we room assign view size , fine . arrive room 21st floor BEAUTIFUL view city ! room lovely , clean , modern , comfortable . large LCD tv , starbuck coffee , wonderful linen king - sized bed . great location , plenty restaurant shop within walking distance . sure breakfast , lunch dinner Cafe Mason ! two small complaint : 1 . housekeeping forgot give we washcloth one day coffee supply two day . promptly refresh upon request . 2 . experience bit problem get key work , problem desk clerk tell we checkout probably relate low battery lock mechanism . outside WONDERFUL experience ! definitely return Westin Market St ! 
 Aug 19 2009 	 Great Location 	 stay aug 14th . , hotel nice location perfect . room nice clean bathroom nice . nothing special hotel view top floor incredible . think price room service , misc . price - internet local phone call etc .. bit high .. do not use internet phone etc .. price , aware .. anything think price cost lower . besides good hotel . would stay .. 
 Aug 17 2009 	 Room view ! ! ! 	 return perfect four day stay Westin wife . let start say location hotel awesome . able easily walk downtown destination hotel . BART station close ( not partake - we love & quot ; hoof & quot ; - burn lot calorie gastronomical over - indulgence ) . score 34th floor room stunning view- Alcatraz Golden Gate ! nighttime view romantic say least . staff courteous accomodating , especially housekeeping . room quite small , well appoint , tastefully decorate quiet . Westin 's stay , heavenly bed comfortable ! though ' m much Broadway fan , wife convince get ticket & quot ; Wicked & quot ; play Orpheum theatre . incredibly impressed would highly recommend ! ! great storyline talented performer . also see long running & quot ; Beach Blanket Babylon & quot ; , not enjoy nearly much even though politcal satire funny . thought : Starbuck 's Walgreen 's across hotel convenient , Dinner Cheescake Factory ( 7th floor deck macy's - overlook Union Square ) fun food people watch , Embarcadero Saturday Market lot fun art , craft , food , Ghirardelli Square not worth effort ( except exercise get ) .come beautiful , clean , friendly little city Idaho , surprised friendly attitude everyone come contact SF . clean , safe , colorful hope return soon ! 
 Aug 13 2009 	 Location ! location ! location ! 	 Hubby stay another couple quick 3 - day get away . value rating base Hotwire rate . within walking distance & amp ; Park mode transportation ( BART , MUNI , F - Line Trolley , cab ) . starbuck right across street ( add bonus we caffeine fiend ) , well deli next door , couple bakery around corner CPK across street . drug store 7 - 11 also within walk distance last minute need . we 14th floor , siren could hear occasionally , nothing interrupt sleep . room clean bed & quot ; Heavenly & quot ; . bathroom amenitie high quality . staff front desk helpful nice , guide we out - of - towner good way get want go . we back ! 
 Aug 13 2009 	 Excelent Beautiful recently renovate hotel terrific location 	 wife take weekend getaway San Fran Sep 2008 , find 4 star hotel Hotwire buy without know , pleasant surprise Westin ; many westin ... arrive amazed know one , hotel centrally locate Financial District Market street . within wake distance Union Square Chinatown , across street Moscone center Yerbabuena garden , also block cable car , well lot attraction . good part room , hotel premise . 20th floor terrific view Financial district , favorite Hobbart Building . room recently renovate flat panel tv new bed , drape , carpet , furniture , look like never use . staff professional friendly , big city ! . could get great rate Hotwire , 100 dll per night hotel cost btw 250 300 night . not dine restaurant seem pretty popular . 
 Aug 12 2009 	 really nice deal 	 stay 2 night really nice . the bed awesome , large tv available etc .. hotel really busy place ( shop around Market Street go & amp ; stadium see baseball play without move car ) .Unless really want spend $ 45 day , not use valet parking use one ( many ) public parking within walking distance , spend $ 15 day . the drawback : internet complementary cost $ 15 / day 
 Aug 12 2009 	 clean comfortable calm well - locate 	 enjoy stay . clean hotel room . accommodate reception desk . comfortable bed . nice basic nature/ natural decor . get deal internet less $ 100 night . one young male concierge seem stick another fail call back . , happy stay . 
 Aug 12 2009 	 great value - go Westin website 	 great hotel . great summer value ! ! wall thin neighbor noisy night ! room clean location downtown excellent cable car , city transportation . great pizza across street . restaurant expensive . close ball park . . . no - hitter ! ! ! ! ! 
 Aug 6 2009 	 lovely 	 Nelson front desk welcome . staff excellent , room spacious , fresh , well stock standard amenity . view SFMOMA , Yerba Buena , city landmark gorgeous . room service prompt , food ( breakfast ) good . convenient SFMOMA , museum , Union Square . 
 Aug 5 2009 	 Good Service Nice People 	 like location hotel . price reasonable , service good , room nice . really like close Union Sqaure SF Musuem Modern Art . would definitely stay . 
 Aug 4 2009 	 great hotel great location 	 , husband 14 year old daughter stay hotel 4 night july ... lovely , great location , minute walk union square cable car ( highlight queue bottom union square good seat ) , large room great view street , elegant lobby , nice bar helpful concierage ..... do not like fact pay internet access laptop though .. californian pizza kitchen accross street Starbucks ... Booked Hotels.com 80euro roomrate .. 
 Jul 29 2009 	 Excellent Location San Francisco general great ! 	 service general good , however food restaurant could e improve ( quality food specially service ) room good general service good view top floor absolutely incredible ! location perfect , right next Union Square ! amenity ok think could use pool spa . anyways , general hotel pretty good reach need see hotel 's location . 
 Jul 29 2009 	 ticket great location right rice will back ! 	 hotel fab location close coffee shop shop . check - in quick give arrive 12.30pm question ask , straight room . 26th floor ( say great height ) amazing view convention centre garden . room 2 queen ' book complaint room 5th pillow bed dirty previous guest never change stay . staff great , Valet expensive SUV charge extra $ 15 day add $ 48 parking make $ 63 day rip . stay 3 night car . overall would think twice tell anyone , business , individual family ' choose hotel – ' great San Fran standard . 
 Jul 25 2009 	 Great Location Great Service 	 hotel great location close coffee shop , convenience store shop . check - in quick room 27th floor great view convention center garden . car valte take bit time come around $ 48 / night . health club well - equip well air - condition . room service quick tasty ( large portion ) . breakfast buffet one morning price around $ 24 person , plenty option choose . word caution would shower slick bath mat provide . would like test bone density great idea hop shower . bathroom nicely appoint . overall great stay . would definitely stay next time area . 
 Jul 25 2009 	 great value service 	 awesome stay hotel . staff great .. room big clean ( get comp upgrade King bed well high floor ) floor ceiling window ... view room amazing ! Deff recommend hotel ... ohh must visit Ducca restaurant mouth watering appitizer & quot ; aurichini & quot ; ! ! ! 
 Jul 24 2009 	 Awesome Stay 	 stay 4 day , good stay hotel stay , worth money , big bathroom , good bedroom , great view , service really good . location near alot thing , near cable car . recommend stay 
 Jul 23 2009 	 Great Hotel Great Location Incredible Front Desk Manager - Eric Pasch 	 SPG Platinum member always nice get upgrade room amenity Starwood hotel frequent . starwood hotel really want business go way treat nice ( happily majority encounter ) hotel . Westin , run Eric Pasch , simply one great hotel really care SPG member applaud Eric run front desk devotion Starwood 's gold / platinum member ! besides arrange incredible suite upgrade , Eric take time hand pick consider fine chinese restaurant city , within walk distance hotel . Eric & quot ; right & quot ; fabulous selection ! ! Westin perfectly locate center SF easy access attraction . also follow comment hotel : ( 1 ) window absolute clean window ever hotel - son take incredible photo room comment never see since clean hotel room window ; ( 2 ) bathroom incrediblly clean well stock towel , etc . , ( 3 ) bed / linen soft , fresh clean - would want Westin ; ( 4 ) price roughly $ 125 / night right & quot ; steal & quot ; downtown SF ; ( 5 ) italian restaurant hotel look really neat - another night would love dine venetian style restaurant ; ( 6 ) entire staff friendly hotel . , want personally thank Eric Pasch incredible experience hotel truly hope back , soon ! 
 Jul 19 2009 	 Westin Say Ai nt 	 hotel must corporate manage hence , ask question & quot ; Westin say be not ? & quot ; mouse trap outside building ! ! ! ! Gross ! ! ! local think great location probably great view out - of - town guest . name like Westin would never think window cover heavy film 4 month old dirt ! hear housekeeper tell another ill cafeteria food ... believe fly salad ! ! mention service Ducca slow friendly ! ! ! understand rate $ 100 San Francisco . Westin might want reconsider retrain property . stay Costa Mesa & amp ; Seattle ... wonderful property ! ! ! ! 
 Jul 17 2009 	 elevator hear room center hotel 	 stay room near elevator hear night . not mean , think hear something . mean hear tv middle volume . I think convert Motel 6 
 Jul 15 2009 	 great hotel location 	 quite bit research San Francisco hotel neighborhood submit bid Priceline . work pay Westin nice place stay good location city . 60 % rack rate great bargain . when arrive ask change room type request grant . nervous saw room next elevator unlike reviewer problem elevator sound . slight background noise not bad . hotel have lucky street noise tolerable . hate noisy hotel find hotel quiet four night . the room simple yet modern look huge window great view . perfectly clean . bed wonderful . often dislike super comfy hotel bed Westin bed perfect . bathroom clean nice size well . the hotel location ideal . 's close BART , MUNI line cable car . many restaurant coffee shop nearby . 's nice place escape tourist area even tourist . 
 Jul 13 2009 	 Great Hotel Great Location 	 stay West Inn Market Street four night upgrade aroom fabulous view San Francisco . the hotel attractive inside lovely outside bararea back hotel overlook park area . the staff extremely friendly helpful , point key place tovisit / eat etcThe hotel great base transport link five minutewalk Union Square shop . we would definitely recommend hotel good base explore thecity . 
 Jul 10 2009 	 Awesome hotel great location . 	 return three day SF . stay July 5 - 8 . find great rate niteny - nine dollar hotel website two day prior . two queen bed . hotel clean , bed great . park across street twenty dollar day . got three day muni pass visit Alcatraz , Golden Gate , China Town course , Wharf . easy access public transportation . short walk Powell Market ride cable car . complaint hotel . staff friendly helpful . would definitely stay price . 
 Jul 9 2009 	 everything might expect 	 arrive , note parking fee $ 50 night . , find parking street , free holiday back Sunday . backup plan go nearby garage good review . there short wait check - in . lady counter friendly , polite courteous . change room configuration without problem . check little hour check - in time . ( 2 pm ) ask late checkout say could stay 2 pm without extra charge . after check , call front desk request couple robe also shave cream . robe , shaving cream , shaver come within 10 minute . our room clean nice , bathroom fine . shower pressure okay heat fine . window somewhat close fan outside roof . ( 10th floor ) fan audible window bed . request room away elevator ice machine noise issue . the bed comfortable . use mini - bar fridge , lady front desk say not microwave . the next day check tv , reasonably convenient , although not able use keyboard type email address receipt . instead use direction key remote . ( skip option be hurry ) leave key off . all together , happy experience . give 3 star value normal price reasonable . however , find priceline $ 90 , not issue we time . 
 Jul 6 2009 	 Great 	 Quick stay , great . in heart San Francisco . nice staff . single problem worth notice . 
 Jul 6 2009 	 nice location typical Westin 	 book via Hotwire one Saturday night $ 93 . call hotel couple day prior confirm room , desk staff could guarantee king bed note plenty king room available . we check late , tell queen room . request king , tell give last room available . husband comment front desk clerk Starwood Gold member , upon front desk clerk disappear back couple minute . return , upgrade we king room suggest book directly hotel instead use 3rd party Hotwire next time guarantee well room . ( course , realize already . bid Hotwire hope another hotel end Westin . stay westin often , would interesting end someplace else . ) room corner amazing view . decor typical Westin , except odd room lack sofa / loveseat -- instead two dining chair , awkward . bathroom ridiculously small , replace hinge door pocket door . thank goodness sink outside toilet / shower area never would able get ready ! also first Westin ' ve stay robe closet . maybe separate room hotwire guest vs. guest book directly hotel ? Parking San Francisco expensive , hotel exception . $ 55 per night . not need car , utilize public transit city . the hotel locate Union Square , shopping restaurant within walking distance . note city , expect hear traffic siren associate hustle bustle area room . 
 Jun 27 2009 	 lovely hotel great location effortless service - big thumb ! ! 	 Loved hotel . check swift , room clean stylishly decorate . room service prompt staff extremely helpful . location perfect city attraction . one minor negative - internet $ 15 per 24 hour period , extremely expensive ! minor quibble , hotel superb . big thumb ! . 
 Jun 26 2009 	 fantastic room good location snooty bar staff 	 lovely contemporary room , comfy bed quality bed linen , good location snooty bar staff could not bother serve shut bar whenever feel like rather alloted time regardless many patron still bar . San Francisco cosmopolitan city kind service not fit image . hotel could take lesson service style european counterpart . deal stay plenty comparable hotel well service . 
 Jun 25 2009 	 recent stay Westin Market St 	 Hi , return 2 week stay hotel . please hotel . great location major tourist attraction . book King room upgrade twin queen room extra cost . room good size bathroom little compact perfectly functional . hotel would suit guest . hotel behind Yerba Buena garden open concert also great place enjoy weather . book Expedia get good deal . staff generally helpful , especially Concierges . language problem bellboy . not try restaurant . 
 Jun 21 2009 	 great view great hotel 	 stay 2 night upgrade upon arrival room great view city . get great deal internet , exceed expectation . location ideal access many city 's tourist destination . park across street well rate ( $ 28 / day in / out privilege ) . internet access not free hotel , several open strong network use . a great , casual bar call Dave 's right across street ! 
 Jun 21 2009 	 clean tidy fantastic view 	 stay attend Apple WWDC conference , room 34th floor ( 3rd top floor ) . room nice spacious nicely furnish . bed fantastic ! view even well - able see Union square , GG bridge , Bay bridge Alcatraz floor ceiling window ... bathroom nice , outstanding , 6 ' 4 & quot ; bend get head shower , apart everything fine . extras room include iron / safe/40 + & quot ; tv , starbuck coffee machine . internet little pricy $ 15 / day - still amaze internet access charge stay hotel ... overall happy hotel staff friendly also . 
 Jun 21 2009 	 nice room convenient location shame abotu noise 	 Westin market St great location wishign explore city . able get room $ 99 hotwire , seem good San Fran . easy access tram trolley fisherman warf Castro . the room quite large , bathroom well design also quite large . enjoy big LCD tv ability request mini fridge room store drink etc . sure Westin comfy bed , love : ) complaint hotel lack double glaze window . traffic noise usually issue , fire truck ambulance seem go past hotel regularly siren blaze . 
 Jun 16 2009 	 wonderful staff . upgrade great surprise . 	 Beds linen amazing . corner room King Sized bed could spend hour . true luxury . complaint , robe . 
 Jun 15 2009 	 great room great service 	 wife stay saturday night . find service excellent , whether front desk , phone operator , valet . extremely prompt polite . bed fantastic , room spacious , clean , quiet . we part group 5 room everyone positive thing say , include friend go get elevator find couple sex . good time . we pay $ 99 room write previously , valet service pretty outrageous ( $ 54 tax ) . think $ 14 internet service bit much . for $ 99 night , would go back heartbeat . 
 Jun 13 2009 	 Beautiful Hotel 	 great view 30th floor ! excellent daily cleaning service - courteous , polite , helpful , friendly . beautiful lobby & amp ; seat area . comfy bed . not like pay $ 15 / day internet . room price ok . go group conference , spend day spouse tour San Francisco . 
 Jun 8 2009 	 upscale small room 	 stay hotel one night celebrate special anniversary low rate , $ 99 . Parking Westin prohibitively expensive ( $ 48 per day ) 's good park elsewhere . find lobby mod cold . difficulty open door room card key handle turn open , . finally get standard room , find small room dominate large bed . Westin advertise & quot ; spacious room & quot ; ( totally disagree ) & quot ; heavenly bed & quot ; ( totally agree ) . pillowtop mattress wonderful . flat screen tv , perhaps 46 inch , sit SIDE bed watch . chair , desk chair . configuration room weird . 
