Broken 	 book hotel four night Sat 21 November , check tell boiler broken would stay another nearby hotel night . organise taxi take four we drive hour Quality Inn near Wembley Stadium . pay 4 star London end 2 star next door Wembley Stadium take hour get ! next day bunch people , book hotel own group across road - appear boiler break ! not get pick taxi 12.00pm next day , waste whole day 4 day break . people weekend , weekend spoil . hotel , find nice food really good . not believe broken boiler excuse - accord taxi driver - double book room time shift patron like around time . least put people nearby hotel , outside London . 
 great value ! 	 stay 3 night partner .. last minute book good price,225 GBP/3 night . the room really nice , big , really can not understand complaine size .. 's right size hotel room .. ( u will not take u guy , come on ! ) anyway , bed nice , decoration also , big flat tv opossite bed . the bathroom great ! even small flat tv want watch something be take shower .. maybe not high expectation , believe , u be extremely strange , u will love .. stay go back London .. 
 uncomfortable bed shabby furniture Free WiFi lobby 	 location WiFi good thing hotel . two different room - furniture shabby . hotel list remodel . year - 1990 ? bed uncomfortable ; could feel spring tick . service staff nice . put annex build street hotel first night . ask move room hotel solo traveler not feel safe unmonitored building . move follow morning . very close Earl 's Court tube station several breakfast shop . 
 Sep 1 2009 	 Great Resting Place 	 stay August Bank Holiday weekend . upon arrival greet warmly . room not ready , cause we problem arrive check time 2 pm . leave bag set site see . returned advise upgrade Club Room , perfect 4th floor . book bargain rate £ 65 per night . the buffet breakfast one well ever , quality bacon sausage good . hotel 1 minute walk Earls Court tube station . area hotel several good restaurant pub , much cheap west end . 
 Jul 16 2009 	 unconmfortable 	 room even though title ' executive double ' stuffy locate basement . it one window tint could open . also air - con work all . the hotel staff say would provide fan say not get one . also could hear suitcase wheel lobby upstairs . would stay again . very disappointing . 
 Jun 29 2009 	 Budget hotel reasonable price send we twice occupy room ! 	 get cheap deal hotel , think would ok . arrival find staff unfriendly slow . give first key card take basement room , enter find someone else 's belonging ! give second keycard give room upstairs , time walk , open door find someone lie bed watch tv ( since always double lock hotel room door ' m ) . finally say problem , offer we wait lounge free glass wine ( nice good decision ) . get room , acceptable price pay comfortable enough . find never properly clean room entire stay ( make bed ) , discover bit carpet remain day 1 throughout . we order room service around 9:30pm one evening tell could get grill sandwich , cheese option . take hour arrive , inedible . keycard stop every single day , reprogramme every afternoon return hotel . 
 Jun 19 2009 	 Good demanding 	 book hotel website go well . hotel situate 3 minute ' walk Earls Court Tube Station . problem station 's easy find lift therefore drag luggage staircase difficult . otherwise , way back fine lift easy locate get station . drag luggage hotel bad carry step entrance . hotel lift quite small slow serve purpose . my experience staff , general , not smile much . employ lot Eastern Europeans either limited english vocabulary speak difficult accent . someone come change flower room could express well . the room bright good size . although situate little street not busy , morning trash truck quite noisy hear even 5th floor . the room & quot ; appear & quot ; clean . however happen pick something desk , see lump dust . reserve double room . bed good comfortable supply we 1 pair slipper . fridge , cold , equip 2 small bottle water refill accord schedule would know . last day refill fridge . go Sainsbury nearby buy drink . the bathroom good size . think clean everyday somehow always smell pee . supply big bottle shower gel . one time try unlock one next bathtub holder wall take gel make bath see mould bottle . stop right ! say must say hot water supply good . there two small bottle nice bath gel room ( guess promotion use one kind supply ) . ' ve use , never refill . whatever use room , seem matter luck ever get refill . yet , ask , think . be normally not expect ask ! enter room , air - conditioning stuffy hot weather . end , find fact on - off switch ceiling room . remote control not switch air - con off . the room equip internet access . use tv screen purpose . however system user - unfriendly make useless . 1 pc free printing available stair round lift , wireless free lobby . quite number channel tv sound TV5.Our room key not work time time take Reception reset regularly . the restaurant cozy . would say breakfast fine bit expensive . dinner , would recommend eat outside . indian restaurant nearby . food good server much much nice hotel . ( mainly Reception hotel not seem friendly . ) detail might like know small safe , microwave , coffee / tea tray . stay 6 day not know , manage newspaper 1 day ! serve we two fruit Day 1 never refresh leave Day 6.honestly think demand , hotel worth stay comparatively pricey . least get room good size good area Earls Court quite convenient travel different place . 's zone 1 2 . 
 Jun 5 2009 	 good place paper thin wall 	 hotel quite nice . starter , be clean extremely well situated , 2 minute away Earl 's Court Underground station . room plenty equipment play : plasma screen , microwave , safe deposit box kettle , , sadly , dirty . room , least one , feel luxury . even though trip purely business relate , think 's great place stay girlfriend retreat . complaint slightly small , still acceptable , room size paper thin wall . and , also plasma screen situate can not watch tv properly - 's side bed , inch front face ... 
 May 20 2009 	 drop 3 night reservation 12 hour notice ? ? ? ? 	 receive barely decipherable voicemail housephone tell reservation change another hotel due maintanance issue . course not actually tell hotel ' m suppose show at . it literally 12 hour ' m due check - in . 4 unanswered phonecall later , still idea even accomodation elsewhere ! email contact whatsoever , attempt call mobile . ridiculous ! 
 May 2 2009 	 good . 	 locate upper floor , not problem other basement ! room little cramp , amenity . bathroom seem recently do nice . everything room seem newish . go sophisticated look decor . nothing rave , nothing complain . find location fine want , since near Tube station , also like walk around not mind not near museum , etc . enough place eat King 's Cross Rd , right street . boyfriend pay , ' m sure good value , sufficient . 
 Apr 28 2009 	 Perfect little indulgence 	 start get deal - something like 40 % -50 % , pay full amount might feel differently . also add 2 big complaint - room basment window ! make tell time impossible woke confused ! would hate long stay . also could control temperature swelter whole time . but love room , bed comfy facility nice . though bit small . want naughty night away fine . tourist may ideal . 
 Apr 23 2009 	 Value money 	 hotel quite comfortable situated near Earl 's Court tube station . rate often reasonable London Hotels unfortunately room natural light , i.e . ground level like . first time stay one night acceptable go back second visit stay two night ask move second night . staff little reluctant go along request persistant eventually move much nice room 3rd floor perfectly comfortable . whole though good value money 
 Mar 31 2009 	 Great Place 	 stay Shaftesbury Kensington mid - March 2009 . 's strategically locate 300 yard teh Earl 's Court tube station take 1 train ( 5 stop ) central Llondon , difference price ! price online place . go directly website book , take advantage promotion like & quot ; book 4 night get 1 free ... & quot ; save bundle . the Hotel small , sufficient . room huge , amenity . get # 409 . nice room , even microwave tea kettle late dinner . find nice little Kabob place around corner , get dinner go feast room . iBreakfast include price . 's great breakfast . eat , fill way explore LOndon . not forget get LOndon Pass . be another great way save $ $ admission great place attraction . great time . would definitely recommend friend family , sure will place stay we'reever London again . remember , hotel get restfull sleep way . visit place like London , ' spend much time hotel . good night 's sleep essential , be exactly get Shaftesbury Kensington , London . Bon Voyage ! ! ! 
 Mar 24 2009 	 ' ve never write review felt compel stay ! ! : ( 	 arrive hotel immediately could tell wear date ... leave stand reception staff one front we . eventually call we , smile generally appear unhappy job ! give key go upstairs room take forever .. get room disappointed find bed single double ... 5 ft 10 boyfriend 6 ft 5 squeeze small bed annoying ... bed thing small expect .. room could walk around soooo tiny plus pointless table chair could remove free space . ! feel quite claustophobic night ! internet might well broadbankd sloooooooooow try book resturant reservation night keep cut . irritate ! room natural light window tint . bathroom well standard - modern ( complete contrast old fashioned bedroom ! ) look shower nowhere steam escape , wallpaper start peel discolour shower look little dirty crack . location beat track quite walk museum £ 10 cab journey night life . sum , do not pay 4 * price £ 89 expect 4 * state website . DEFINATELY 4 * . basic honest would ' ve well Hilton even Travelodge ! 
 Mar 12 2009 	 look elsewhere 	 generally possitive review good price make choose hotel first place . review wrong suggest heed advice . I pay extra get deluxe room nothing deluxe give . con follow : star rating : hotel sell 4 star past experience many hotel range 2 5 star . 4 star rate hotel experience reasonably good often provide comfort quality 5 star slightly inferior finish few facility . case however hotel would realistically categorised mediocre 3 star . ground disappoint Shaftesbury live standard would expect 4 star hotel sense term . state room : room locate basement . marginal natural lighting something resemble sky light apparently make room habitable . window though , resemble reasonably sized well fit prison cell . carpet disgrace , mark , worn , stained grubby look . television remote work , except change channel volume control standby function work . room stuffy due poor ventilation window could open . crockery complimentary tea mismatch . complimentary soap shower empty . minibar smell like fart ( seriously ) nothing except two lonely bottle water . safe lock could open store valuable . shower adequate water guard water would splash onto toilet toilet floor . staff : exception one receptionist indifferent , would greet enter rather intimate lobby would barely acknowledge upon approach counter . overtly rude fall far short standard would expect call 4 star hotel 's staff . overall condition : hotel facade style cheaply do already sign detiroration mark walls corridor disgraceful state room allocate . facility : gym glorify home gym machine . lack space window also oppressive . use facility not appear many event . lift basement level mean carry luggage down / up check - in check . could use porter choose . point remain Shaftesbury allocate room 's basement lack sufficient natural light , lift proper ventilation . all tacky , tired , psuedo - stylish , poorly keep , poorly present , poorly attend generally rubbish . the good point location selection television channel . however , unique selling point area full similarly convenient hotel lower price similar quality . pay extra 4 star not deliver could save bull * * get honest 3 star less money ? 
 Mar 10 2009 	 exceed expectation . 	 stay two night ( Saturday Sunday ) see broad spread review pleased report could find almost nothing complain . room spacious , clean , well equip comfortable . room tiny bit warm ( eco - friendly not use air - con ! ) time . breakfast buffet , include price , excellent take week work . dining room lovely clean , crisp table linen fresh flower table . staff polite , attentive friendly . sum - everything right except tiny niggle warm room ( easily remedied ) . well do staff . 
 Feb 24 2009 	 Great Location - Great Value 	 stay hotel 4 night February , exactly look . room not anything fancy , not go London sit around room ! location fab , area safe lot right around hotel ( restaurant , shop , pub , etc ) . arrive early Friday morning , let check room around 9 am , without charge extra day . also problem tv upgrade club room compensate . price great -- mention , book website directly get good deal , include full breakfast . would DEFINITELY recommend place anyone want solid place stay be London . 
 Feb 22 2009 	 Brilliant location 	 visit back November & amp ; impressed . hotel easy find stone throw away tube station . also close shop restaurant , nice arrive fairly late - starving ! not realise room would big , therefore great value money . nice big bed , modern facility mini kitchen along room . lovely bathroom although could hear room upstairs flush toilet ! room look onto road although problem traffic noise ever . room itsself clean , rest hotel . staff friendly happy give we direction , concert Royal Albert Hall . location central way concert walk past National History Museum nice see . overall , really enjoy stay would definately recommend hotel other . back future sure ! ! 
 Feb 19 2009 	 great hotel - not put negative review ! 	 confusion site name - review best western Premier Shaftesbury Hogarth Road , Earls Court . stay one night immediately upgrade Clubroom enormous bed ' ve ever see , large bathroom really deep bath perfect long soak ! nice touch like fresh fruit , fluffy bathrobe , big flatscreen tv , toiletry bathroom , hairdryer , free newspaper . staff helpful store bag day even check ! drink bar could take room - wine pricey great indulgence ! continental breakfast include rate have pay , although breakfast room busy waitress disorganised load choice . not feel need pay extra full cooked breaktast . love stay hotel - Clubroom feel like luxury enormous ! hotel quiet street literally 2 minute walk Earls Court Road tube station really convenient get London . also load nearby restaurant bar . nothing bad say hotel ! 
 Feb 16 2009 	 way ' 4 star ' ! ! 	 start , not choose hotel - review , spend lot time choose hotel close want city centre tell get ' maintenance issue ' ( clearly case overbooke other check behind we problem ) transfer , complimentary taxi , sister hotel mile away area want . call beforehand let know probably would cancel booking , presumably not . arrive Best Western Shaftesbury Kensington grunt receptionist , show cupboard , , despite next reception , take around 5 minute reach , 3 flight stair , hundred yard bowel hotel , another 3 flight back ground level , metre reception . room whole new experience , neither we sleep pavement ( see photo ) , let alone cupboard . book ' deluxe ' room , nothing ' deluxe ' place - not even standard provision ( flower , fruit , etc . ) accord website ' all room have' . the room small room bedside table one side bed , partner bang leg corner bed every time try squeeze around pile furniture top make room suitcase . ' m joke ! ( see photo ) . Bathroom do nicely , though , would recommend lose much weight possible beforehand ( mean big people anyway ! ) .The window , worth , might well - shaky single pane , half slat anyway , let every little noise mile around , mention cold wind . simply could forget literally pavement , almost within hand - shake distance passer - by . common area stairs corridor shabby carpet filthy . stay hotel cost we hell lot money tube fare taxi get back forth centre , plan stay . short , will never stay Shaftesbury / Best western hotel ever help . feel well truly rip . avoid cost ! 
 Feb 16 2009 	 bad hotel London 	 Booked Feb 14th Champagne rose - arrive . no water shower . room 200 meter away hotel . ask breakfast bed hotel refusedbooke du - luxe room turn basic roomdo go ! 
 Feb 5 2009 	 worth staying get good deal 	 best western Premier Shaftesbury Kensington ( can not give short name ? ) well average hotel , . manage find good offer room ( - suite £ 79 include breakfast ) great place stay , minute Earl 's Court tube station , would not pay full price . our room large ( ish ) vast weird experience stay two floor ground level , natural light ! would not like stay underground night quite claustrophobic . the facility fine room clean well provide , except report reception bedside light not work not fix time leave . thought would come fix immediately . the breakfast good could see give room ground would much pleasant experience . 
 Jan 30 2009 	 Great Stay 	 satye several time , one good value hotel area London . let service Restaurant , especially breakfast . however book direct web site get room £ 65 two inc BFast , reason complain . 
 Dec 29 2008 	 depend room ... 	 stay twice late 2008 - first time 4th floor fabulous . robe , slipper , view street - love it . second time stay ' clubroom 6 ' basement not good , extra touch miss , window say still clean pleasant enough . both time find staff efficient , friendly obliging ( - rare treat London ? ! ) hotel nice , buffet style breakfast good location excellent . earl court 2 minute walk away . overall good hotel price would stay . book directly try site day go - find price drop £ 20 night cancel re - booked ! 
 Dec 26 2008 	 Good Value 	 stay 21st Dec , say find negative stuff cross path . pay £ 63 incl vat Deluxe double single use , include full EnglishOn arrival get free upgrade room 201 , Club Room , big London , exceptionally clean , everything work , view could fault . fruit bowl , 30 odd tv channel , free bottled water standardBreakfast bad , staff friendly . store bag day leave , present free paper twice day . leisure centre , proper bar , thing do not matter really think hotel great value . Earls Court tube genuinely 3 minute walk away , turn ten minute journey Oxford StreetQuite impress ! 
 Nov 24 2008 	 totally disappointed ! ! ! 	 recently stay hotel 4 day trip London anniversary disappointment . arrive room ready go lunch return check time , room ready . receptionist want we take seat wait ! ! finally arrive room completely shock room tiny . know London space premium room big small bedroom bathroom home . on inspection hair dryer would work , would expect fridge swithche , not put champagne warm fridge . wardrobe could fully open due close bed , pathetic excuse safe within wardrobe screw light enough carry arm ! inform reception break hairdryer 3 occasion ! follow morning toilet flush break , obvious break many occasion due amount sealent around . water bottle replace neither biscuit . safely say bad 3 night sleep ever due fact bed way double 3/4 . hotel 4 star rating mystery even simple thing do . 's great idea facility iron / board , fridge , microwave , room fit double bed silly . put slight downer trip , busy day sight seeing want relax get good night sleep , neither get . positive thing say great location easy access lot good restaurant Earls Court Road close tube . 
 Nov 14 2008 	 Nice hotel convenient location ! 	 stay Kensington overnight business trip pleasantly surprise . 's fantastic location , 1 minute walk Earls Court tube station , standard accommodation pretty good - bed good size , bathroom also excellent size modern decor . Breakfast morning ( include room rate £ 95 ) nice - continental full English available , pretty setting ( look like indian Moroccan - influence decor ) .my two gripe would be:1 . air conditioning unit not seem work warm2 . tv ( large flat screen , impressive ) not work . phone reception tell currently upgrade tv work morning - not ( would nice have warn check ) . disappoint tv access stay . I would definitely stay though price convenience location . 
 Nov 11 2008 	 Room view 	 stay one night , thank goodness . room ground level , hot room , could not tell wether day night . television not work , take unhelpful reception staff nearly hour send someone fix . also room connect door could hear everything people next room , especially leave 4 am . hotel worthy 's 4 star rating . stay , ask room window connect door . 
 Nov 1 2008 	 room basement ! 	 stay 2 night hotel October 29th - 31st 2008 . location great , step away Earls Court Underground Station . hotel room clean adequate although small . bad thing room 005 006 son put ' like dungeon ' ! take we around 10 minute find room first night due wind corridor stair deep reception . view brick wall virtually sunlight . pay good price sleep room do not bother complain ask move . would stay hotel would ask room natural light next time ! 
 Oct 7 2008 	 4 * Star Hotel let Poor Restaurant 	 stay 30th September 2 night , room : clean , however glass bathroom . take drink glass bar room clean next morning dirty glass still leave room . toiletry replace also . restaurant : Hotel Room style modern however Restaurant could decide whether formal turkish menu English , variety style one area mismatch . food : basic - Gastro pub style , however presentation quality food mediocre especially £ 62 two main course 2 desert couple drink each . service : ask staff main course deliver ok , husband finish meal plate take still eat mine , finish ask require dessert coffee , hunt member staff request dessert . breakfast : good , Staff Excellent , could teach evening staff thing two service . reception : Communicated politely ask stay meet expectation staff make comment allay fear stay would different . 
 Sep 27 2008 	 lovely honeymoon 	 book room week leave , never could make mind go . expect & quot ; leave over & quot ; room , pleasantly pleased find lovely room , third floor . ( can not remember number ) . greate champagne , box chocolate , chocolate cake . room also decorate rose . room lovely , staff . especially manager indian restaurant , GREAT ! thing bring we huge mark television , would not go away , remote control not work properly . inform staff , not fix , otherwise , pleased ! 
 Sep 19 2008 	 send different hotel arrival 	 investing time effort trying pick good hotel stay , annoyed check walk we round corner completely different hotel . ' problem water room ' . look booking card think overbooke may accurate . anyway ..... stay base - to - stay absolutely great . moral story cut middle man not bother BW , book base - to - stay . 
 Aug 15 2008 	 Pleasant Stay overall 	 good feature hotel would distance Earl 's Court tube station , 2 minute ' walk literally . Earl 's Court District Line , link major part London , direct route Heathrow Airport . find majorly convenient . hotel room tad small , cramp would expect . plus point include LCD panel , well mirowave room . bathroom seem newly refurbish , although basin tap slightly shorter notice . tall one provide make hard wash without splash water vanity top wall . another odd thing realise hotel bathrobe provide , not come tieback . think error first time , time , note perhaps housekeeping staff accustomed bathrobe ? : p apart , service ok , exception forgot change table lamp bulb despite we ask twice . due leave follow day , let slide anyway . take note hotel staff call specially arrange cab service instead usual black cab , not come taxi metre . note difference fare come GBP5 average . also , highly punctual , would well hail cab main road easy . breakfast every single morning , little 2 week . bad , stay week , might find repetitive . reception staff pleasant overall , especially one name Jessica . however , also one staff sullen throughout , might even appear stand - offish . like much . another thing hotel elevator , bother press open / close door button lift slow get . get slow lift ever use lifetime . imagine highrise hotel , oh boy . probably take we half hour get 30th floor . thank goodness 3rd floor , highrise hotel . overall , hotel ok price pay . pay GBP65 per day , book direct . wish would supply we toiletry often though , instead replenish twice entire 16 day stay . cost save part ? food , plenty eatery stroll away , include nice little chinese take - away restaurant outside hotel , operate midnight . even KFC Nandos around corner , pretty convenient late night dinner . would recommend hotel other , expect luxury . 
 Jul 6 2008 	 Satisfactory stay 	 get room major expedition , rather confusing combination stairway corridor . room spacious comfortable . staff usually native english speaker , time communication could little challenging . accommodate eager please . 
 Jun 11 2008 	 great hotel shame construction time 	 boyfriend go London city break , find hotel Londonnights website . price seem good true 4 star hotel , book straight away . arrive , could not actually find hotel due construcation work go outside hotel . mention book hotel . staff friendly , room lovely modern , flat screen tv . complaint woken construction one morning . get free breakfast trouble , least acknowledge . ' m presume construction finish ( be take get around writing review ! ) , would definitely go back know . restaurant lovely , although breakfast , sure be like dinner . 
 Jun 11 2008 	 Great Location ! Fabulous Club Rooms ! 	 stay club room hotel amazing last minute deal . room clean , spacious , huge plasma tv . FREE Wine , choc , water , soft drink fruit rose room ! decent toiletry , bath shower ! wonderful bed plenty decent pillow . breakfast plentiful . Air con would not go low 18 degree bit downer .... otherwise fault hotel service receive . great location less 2 minute walk Earls Court tube station ! 
 May 27 2008 	 overall satisfy 	 return 7 night stay BW Premier Shaftesbury London Kensington . spend serious time research hotel price range ( $ 170 night exclude tax ) take leap faith book double executive room wife I. attract hotel location tube modern look . overall satsfie . positive : - tube line Heathrow Airport major area London ( two different tube line come stop ) - hotel short walk , 4 5mins , Earls Court tube station- Location extremely convenient , safe pleasant- loby outside facade nice clean- front desk worker kind , speak english well , helpful , smiled- call hotel advance , allow check early ( 10 am ) - elevator quick work well- Room attractively furnish look like picture , modern / chic european feel- ammenitie nice functional- weird room smell air condition work perfectly- fresh flower room - good size although be not expect large give regional standardsneutral : - room clean emmacualte- Refridgerator room do not get ' ice cold ' - room street side weekend night occasionally hear boisterous people streets- Bed pillow confortablenegative : - sink bathroom drain slow - ask repair nothing doneoverall would without doubt reccomend anyone seek hotel price range . previous review hotel concern left rest assure seem like new management fix / resolve previous reviewer concern . hotel / room nice near luxury hotel US . 
 Apr 29 2008 	 Great reasonably price place 	 great deal - pay £ 59.00 stay one night . easy access Earls Court underground station upgrade double room arrival . room overly large adequate myself . large wall mount lcd television , microwave , fridge fruit room . breakfast plentiful , bedroom main area clean . downfall ask reception desk taxi - private mini car service order rather black cab ; therefore total journey central London private taxi must treble price ! would recommend would stay , especially rate . 
 Apr 21 2008 	 Good Value / Rooms Decor Nice 	 return long weekend , 3 night total . excellent value money London . Staff helpful , although english hot ! ! ! would recommend stay low floor , first room 5th bad water pressure . move , problem . just aware wooden corner end bed , leave bruise ! ! ! ! ! 
