great 	 stay hotel numerous time business leisure . great comfortable room fun bar . love lavender smell hallway . 
 Oct 8 2009 	 Tranquil getaway city 	 amazing staff peaceful oasis city . stay circular suite - amazing view bathtub room enjoy . love location hotel . go ferry building wander around take ferry . 
 oct 8 2009 	 gorgeous view bay ! 	 hotel little pricey , totally worth ! view lovely . room impeccable , spacious , modern comfortable . staff friendly helpful . wish could stayed one night ! 
 Oct 6 2009 	 great local next FerryBuilding 	 want love Hotel Vitale . love FERRY BUILDING MARKETPLACE hotel step away . public transportation around . convenient stop Bart . Joie de vivre Hotel chain . one chain pricey hotel . spotless bathroom ( place put clothe drain drain ) comfortable bed soft linen ( carpet sad need shampoo ( 441 ) indifferent staff ( sorry , true ) tell we anything hotel check . information room Spa . $ 45 valet overnight parking ouch ! . ( know , know , San Francisco ) 11 am would even sell we cup coffee Americano . Lavender Hotel 's signature scent nowhere description hotel . allergic Lavender ; fortunately , CLARITON could breathe ! book room view available two bed . pet friendly ( pet ) Joy Life welcome gift wait we ( Hurrah ) ( extra lavender quickly toss room ) would stay ? maybe . 
 Oct 4 2009 	 overrated hotel 	 stay part calfornian road trip honeymoon . really look forward reach San Francisco excited thought stay Vitale read review site . disappointment ! hotel business hotel nothing . staff really impersonal feel though way important business guest . car parking complete rip - off $ 45 per night , could not quite belive arrive far expensive various californian hotel stay at . the plus point 's favour location . great walk along front pier great view Bay bridge . 's 15 minute walk Union square shop . I never eat hotel not want give money plenty decent restaurant vicinity , not spend time hotel bar dominate mention business client . above disappoint not fool hotel website ... reality paint different picture . 
 Sep 25 2009 	 great value wonderful location . 	 thing miss room coffee . complimentary coffee service lobby . 
 Sep 13 2009 	 great location value 	 fantastic hotel whose web site room justice . upgrade fantastic room face Bay Bridge . much well location near Ferry Building inland near Fishermans wharf . 
 Aug 20 2009 	 Perfection ! ! ! 	 first thing catch eye hotel surname . pay top dollar stay second good room available dissapointe . spectacular 180 degree view harbour amazing bed view bath combine every comfort imagineable . service exemplary , girlfriend joke staff ninjas never notice yet every time leave room room service clean . little thing appeal , weather card night , fruit platter arrival , free bottle water sweet night . hotel staff happy accommodate request include dvd , umbrella rain , room service . hotel good hotel stay many 5 star hotel abroad Australia visit . would highly recommend anyone wait revisit San Francisco order stay Hotel Vitale . 
 Aug 11 2009 	 Faultless 	 walk street , unexpectedly check DREADFUL Clift Hotel spirit low . have endure almost week exploit Clift 's overprice lazy pretention , pretty much ruin trip San Francisco . spur moment bring stay abrupt end decide try Vitale would pass way wonderful Ferry Building . difference ; world be apart . the staff practically bent backwards make we welcome utmost make sure everything need . the room fabulous . suffer long try negotiate bathroom size broom cupboard Clift , hardly want leave luxury one vitale - sheer indulgence . it cost we less stay Vitale rip - off clift , ' m sorry not know . vitale renew faith San Francisco time Clift destroy . 
 Aug 11 2009 	 Convenient Comfortable 	 stay hotel San Francisco Marathon weekend , location could well . hotel easily accessible SFO locate approximately 2 block away BART Embarcadero station . Ferry Building literally across street , make convenient go Farmer 's Market Saturday morning . stay one room probably consider good second floor view , not matter we . bed comfortable , room quiet even though bus stop locate right outside window , in - room internet include price room . enjoy music cd selection , jellyfish video loop elevator , light scent lavender hallway . wonderful stay , would definitely come . 
 Aug 4 2009 	 Excellent destination ! ! ! 	 hotel rock ! ! ! staff ultra friendly , every amenity could imagine = clude private bath roof ! ! cool ! ! room service friendly efficient , centrally locate great view ... can not go wrong .... 
 Aug 3 2009 	 Awesome 	 get great expedia deal -- $ 200 / night tax . Stayed San Francisco Marathon , start literally right outside door hotel . 's lot else right outside hotel 's door -- Ferry Building , Farmers Market , whatever Name Giants Stadium Year ... entire Embarcadero right there . room fantastic , even though & quot ; city view & quot ; little office across street . need early night 's sleep , silence crucial construction place not let down . the best aspect hotel , will see photo , multiple outdoor sitting / drinking / dining terrace high level . great afternoon tend sunny warm SF microclimate . the restaurant average , certainly not hesitate go eat . lot great dining spot sf.finally , may friendliest hotel staff ' ve ever encounter . outstanding service ! ' ve stay half dozen hotel SF good , hand . always Harbor Court fan , place beat , well price . 
 Jul 26 2009 	 perfect hotel location staff 	 stay first destination Honeymoon . sit right opposite Embarcadero lovely walk Pier 39 . regular tram run right outside hotel uptown Castro area . hotel staff exceptionally attentive , accommodate - get bottle verve clique reception find recently marry . view embarcadero room exceptionally comfortable high quality . perfect destination / base visitor San Fran 
 Jul 15 2009 	 Perfect Romantic Getaway 	 HOTEL . beautiful luxurious boutique hotel romantic ambiance . STAFF . professional welcoming . suppose bottle champagne deliver room forget gracious enough ship we . ' dock point honest mistake . ROOM . small yet cozy . great view waterfront bay . SHOWER . surprisingly nice big . LOCATION . waterfront Embarcadero . ATTRACTION . directly across Ferry building — great stroll Saturday ' Farmer ' market . TIP ( ) . Americano italian restaurant . ' good San Francisco much offer . waterfront alone great name restaurant worth seek . Americano however convenient ' want venture away hotel . 
 Jul 14 2009 	 Loved Place 	 exactly want hotel . great location service . great restaurant bar . big , clean room . beautiful view hotel terrace . everyone seem dedicated make stay memorable one , . 
 Jul 8 2009 	 Special 	 thank delightful stay . hotel staff exceptional every way . gracious & amp ; knowledgeable . maintenance cleanliness hotel exceptional . course , location good city . commend success make guest feel welcome , safe , eager return SF . keep outstanding work . 
 Jul 6 2009 	 nothing Less Perfect 	 can not think single thing would change Hotel Vitale . staff courteous professional , room comfortable many nice amenity ( shower alone make worth ! ) could well location . be close everything also feel quiet remote need get away crowd . restaurant patio awesome late afternoon drink snack . would not dream stay anywhere else . 
 Jul 6 2009 	 Great Hotel . deleivered everything promise 	 return 6 night stay Vitale , love . expect boutique upscale Hotel , get . pay queen bed internal view room , sign Hotels loyalty programme beforehand . rate great . pleasantly surprise bay view room . spacious , full amenity 4 * Hotel . bathroom product Aveda , ' m sure last poster get . I find staff excellent . yes lot thing pay extra , term mini bar , extra , room service etc . consumer market . not buy not like price . find staff excellent . go way engage . young female member bell staff excellent , friendly , really concierge knowledge manner guest . the Hotel appear get lot business clientelle , attitude we far casual . the bar excellent , great cocktail , popular happy hour . not eat hotel apart bar snack decent . general food price not encourage try , many option . also did'nt avail Spa service . outdoor space lovely overlook bay balmy summer evening . also think location excellent , provide great base explore San Fran . would return minute . 
 Jul 4 2009 	 perfect weekend 	 whole - heartedly give rating & quot ; excellent & quot ; catergorie list . arrive hotel immediately make feel welcome . staff efficient , professional friendly . door staff , bell staff , front desk , concierge housekeeping staff greet we like return friend entire stay . impressed staff able give we personalize attention even though hotel sell San Francisco overflow visitor Gay Pride Weekend room design comfort tranquility mind . impressed lighting throughout hotel . obvious designer give much think color , fabric mood public private space . spend day explore San Francisco foot , pleasure come back quiet , comfortable location scenic view Ferry Building Bay Bridge . visit Spa impressed tone quality . relax space . I would recommend Hotel Vitale anyone want visit San Francisco enjoy comfort elegance provide . 
 Jun 29 2009 	 extraordinary 	 wish could keep hotel secret ! live San Francisco 30 year & amp ; go back visit . past ' ve enjoy boutique chain Joie de Vivre , , new one list . area perfect , near public transportation , great restaurant , right across colorful activity ferry building . room clean spotless -- even canister oxygen : & quot ; new agey & quot ; . bed dream sleep , outdoor terrace give view SF bay great . think everything make one 's stay comfortable , great price major city . 
 Jun 26 2009 	 Hotel Vitale : Modern Fairytale 	 long fairly harrowing flight Melbourne , Australia strand LAX eight hour , make hotel would good enough we . want put head get holiday . I would not think possible suffer would actually revive , revitalise jump skin delight , be welcome four day stay Hotel Vitale we . at luxury hotel , expect excellent decor , wonderful linen , great bathroom brilliant service . 's Hotel Vitale , also soothe , coccoone , pamper uplifted whole experience . especially love gorgeous , massive room overlook Bay Bridge friendly , well - mannered , highly efficient staff . all little detail , one really matter , perfect . soothe sound generator bedside , excellent cd provide room , effort spare make fairytale experience well beyond expectation . a special mention concierge , Keith , smooth , competent concierge ever meet . what great staff , great hotel ! 
 Jun 24 2009 	 great location beautiful hotel 	 Loved - would recemmend anyone visit San Fran - enjoy location across ferry terminal ( great place eat explore ) 
 Jun 15 2009 	 Snotty Overpriced ; arrogant staff 	 ' ve stay Vitale 3 time . usual decline service experience first year post - opening happen too . the aromatheraphy bath product make shower seem luxurious day go long Fresh Corp .... be generic flavorless gel innofensive unknown maker ... clearly cut cost . the port cochere enter lobby home 20 fly mate . I not enjoy wait 10 minute valet get car . really not enjoy listen remain 2 valet ( one seem lead ) share story hot girl want bed show picture girl iPhones . there be feel like have well touch anything room else charge would apply account .... instance , personal oxygen place bathroom discreetly advise $ 16 charge . turn TV , dig 7 major menu section pay content ( $ 20 movie ) get local news ( last option menu ) never find CNN , MSNBC , MTV ... room not seem full cable . and 's lovely matter small card fold discretely envelope extra room key state honor charge room account extra dollar support local state fund / run park ... unless get front desk opt scheme . sneaky , tacky ... top nearly $ 300 per night rate . felt much like poor person nickle dim death pay attention every piece write matter room lest inadvertently miss fee clause interaction levy surcharge bringing lawyer protect hotel 's sad revenue generating sneakiness . last bit $ 1 opt - out really ruin sense hotel hospitality experience ... feel like pump . also , not get Bay view room ... be mostly view build across street 's 20 - something 's lounge whole side building whose music drunken expense account partyer hear 1am . Vitale locate one low elevation San Fran ... sewer drain outside building often smell stale sewer . unfortunately coincidentally , bathroom smell stale sewer , may mold problem cutout glass shower wall intend turn shower , however also allow good rain shower whole toilet end shower .... go potty shower will need towel use toilet ... explain funky smell there . oh , $ 45 night parking .... watch back people ... will try charge thing would think . 
 Jun 13 2009 	 Excellent service location accommodate young kid 	 originally book room one bed . call reservation department explain travel 4 year old twin . agent own situation immediately upgrade suite curtain seperate sleeping area . semi - typical boutique , city , hip hotel . place would expect staff want deal 4 year old twin . everyone could well . arrival good , door staff front desk friendly accommodating . room great . room service good throughout stay . request coffee breakfast 5:45 day ( hour list time ) problem fill request . seat lounge type area roof spectacular . furniture show sign fatigue setting view make . good location SF kid well . trolley loop start directly behind hotel . take trolley Wharf California connect North Beach , etc ... convenient . parking block two away expect location . overall , fantastic place . 
 May 21 2009 	 good location comfortable hotel buzzing bar 	 good location near Ferry Port building 5 minute walk one main tram line . 's comfortable stylish hotel generally friendly staff . room spacious comfortable great view Bay Bridge ( although get view also get quite lot noise drift bar open paved area ) .There couple minor point . ask coffee machine . object pay much room provide occasional free cup coffee room . fair place coffee machine room straight away ask replenish . valet parking quite pricey ( tried charge 5 night instead one check bill check ) .The downside poor restaurant food . Americano bar restaurant stylish obviously cool place hang , food distinctly average service bit unfriendly . 
 May 19 2009 	 excellent location great staff . 	 see Giants game & amp ; park . arrive early honored package , include valet parking , even get room . modern hotel modern decor . staff friendly helpful everything . location superb easy walking distance everything Embarcadaro . ( Ferry Bldg , ATT Park , etc ) . 
 may 18 2009 	 Primo San Francisco Location 	 provide little background - live San Francisco Bay Area work four block hotel . would fair say know area well . stay vitale couple time three year ago , & quot ; inner courtyard & quot ; room ( great ) Superior King room overlook Embarcadero bay ( nice ) . Happened hit unbelieveable rate one day Panoramic Suite - nearly 40 % . Panoramic Suite would call & quot ; round room & quot ; . room corner hotel overlook Embarcadero Bay Bridge , infamous bathtub bedroom . first , not know beat location visit San Francisco unless big shopping theater , case room Union Square area would well . vitale right Embarcadero , 1/4 block Ferry Building sort local temple foodie worship . Saturdays large Farmer 's market well . room & quot ; water & quot ; side hotel make pretty great people watch Embarcadero . television require . first good - room large , spacious , tall ceiling beautiful picture window . one would feel cramp even four five day stay . bed soft comfortable - linen luscious . bathtub room , simple tub without fancy jet etc . , DIE . walk vitale time wonder privacy issue be room look realize .... one 's look street ! one care - busy admire view bay . get tub , follow suit . as note review , shower bath overhead rainfall type simple clean partial glass enclosure . classy . room service - blindingly fast . Breakfast arrive 15 minute . negative . noise street pretty intense . unless be NYC live city , might get . quiet peaceful location . expect bus intersection noise factor early 6:00 a.m . room coffee , call room service two wine glass . toilet one water saver model simply not work . would stay vitale next time would opt city view room 's side hotel overlook small park . Panoramic Suite pretty almost warrant room rate we think twice . 
 may 16 2009 	 Excellent hotel location service view - fantastic ! 	 stay 2 week service falter . upgrade original internal view booking ( make via Expedia ) water view enjoy fantastic view Bay Bridge , Ferry Building Treasure Island . room clean spacious , bathroom large & quot ; rain & quot ; shower bed linen , especially pillow devine . the staff nice cheerful , restaurant also pretty good - take advantage two Farmer 's Market day road ferry building ( Tuesdays Saturday 's ) extend special dish evening . bar seem place go throughout week could get noisy ( Saturday Sunday much quieter ) double glaze window room block noise not find problem . if not room view easily get hotel rooftop , admire sunrise sunset even take picnic . hotel free yoga class morning small gym guest also enjoy free access YMCA 2 minute walk away . room free internet provision ( wireless cable ) , safe , minibar nice toiletry . possibly thing aware tea coffee make facility room ( travel kettle not problem ) .I think would hard beat hotel . ' m give 10 10 ! 
 May 11 2009 	 Awesome Hotel 	 place expensive , awesome . room view bay , & amp ; ferry building . modern decor look like something magazine . enough money would stay every time city . 
 may 6 2009 	 charge twice one night - refuse credit 	 nice hotel stay hit new low customer service : discover night charge two different credit card , corporate one use hold room personal one use pay . ask credit Megan reservation inform hold second room would credit . care put writing , Megan ? make error booking system customer pay ? good thing business travel muscle company account behind . consider hotel personal travel buyer beware . 
 Apr 28 2009 	 great hotel service sketchy get busy . 	 boyfriend stay one night Vday weekend . book website , get Deluxe Waterfront King romance package include champagne arrival rise petal turndown service . lobby decorate beautifully peaceful , serene feel . people work concierge also great able get room 8th floor ( high floor ) .The room awesome view Bay Bridge water . also can not complain rainforest shower fresh product , looove Lemon scented lotion take home . : ) location great well since right across Ferry Building . bf also get couple massage ok . ok , complaint . since busy Vday weekend , service ok . champagne room arrive like suppose describe website . call housekeeping pretty much ruin surprise plan BF . check thru in - room checkout service , many people try thing time service overload . go downstairs checkout , long line make 10 minute task 30 minute process . overall , really like hotel great weekend getaway . would definitely come back , maybe less busy weekend . 
 Apr 24 2009 	 Fab location 	 stay one 180 degree Panoramic suite last night Honeymoon perfect finish . the view amazing take bay Bay Bridge past Ferry Building almost Alcatraz . problem Embarcadero quite noisy . live London use might disturb people . service great Valet Bellboys appear expect tip every little thing welcome change . the bar look cool arrive 1800 Friday night pack local office worker . my wife really enjoy free hour yoga morning . I would definitely recommend splash panoramic suite . Bobby Tang ( reservationist ) particularly helpful booking room . as reviewer say join JDV club point , discount upgrade . 
 Apr 1 2009 	 love hotel .................... 	 idea put you - we stay Vitale . stay call reservation directly . know exactly room type want willing pay extra $ $ $ . room hotel make big difference quality stay . tell would 6 - 8th floor water view . Got hotel tell quarentee give room 3 view patch water wall . go back say would rather room like prior stay in- city view give choice room before- tell would adjust price- well get check 4 day stay city view room deluxe water view reservation come difference 9 dollar night- overheard many problem front desk sit lobby . one couple talk say front desk tell not book thru hotel expedia service . totally confused checking checking . maybe break spend top dollar whatever room finally wind . bad since hotel lovely- great location . beware come elevator restaurant 's happy hour time- noise come bar sound like wind tunnel ! ! 
 Mar 24 2009 	 new favorite hotel San Francisco ! 	 great small hotel , unbeatable location right Embarcadero . room view Bay Bridge , Ferry Island , Treasure Island , 7th floor quiet . ( bar noisy scene , would recommend get room away far ) concierge front desk staff helpful , appointment room outstanding , large bathroom walk shower overhead & quot ; rain & quot ; showerhead great . first hotel remember small sauna bench shower , another one mirror use dress table . the restaurant good although pricey get . find room service food big quantity - could easily share breakfast entree . you able negotiate bit price , although expensive . worth ! 
 Mar 12 2009 	 new Favorite .... 	 perfect start finish . check offer warm towel wash travel - love ! staff sincere professional . could not nicer . front desk , conceirge , restaurant personel , bell captain , housekeep etc . two couple impressed . fact one couple come back follow weekend . perfect location great expirence . Hotel Vitale new favorite . back ! thank Vitale ... 
 Mar 8 2009 	 nice overrate 	 own operate San Francisco hotel guy own many different hotel city . hotel nice , well locate service good . especially consierge , Brian , fantastic help we lot . one good ! ! ! bar get pretty crowded night nice place get drink go out . room modern clean . come many small goody like soho grand - oxygen , jelly candy , intimacy set etc .. fun ! however , usd 275 also come price . beware - get cheap deal book hotel orbiz place . webpage claim cheap come drop menu choose ' best rate ' , ' good rate ' etc etc . one option cheap - confusing . end cost we around usd 130 hotel would refund we despite money back guarantee . will back . 
 Mar 6 2009 	 want like hotel 	 use live SF know bar Hotel Vitale rock ! say , room rock . cityview room small saw bunch .... since first room get floor valet parking could hear bar parking lot . show three room small . finally , room service impressive . $ 30 chicken breast tiny get 5 vegetable order side veggie . good location , bar , etc . 
 Feb 10 2009 	 Basically goo . 	 Hotel Vitale , San Franciso 12/31/08 - 1/5/09it real treat spend 5 night Hotel Vitale . location delightful : Embarcadero , opposite Ferry Building , couple block California St. cable car 15 minute walk Union Square , also many fine restaurant could walk addition Americano , excellent restaurant hotel . the room notch two large expect . décor boutique - hotel , restful pale blue add usual beige brown . long wooden unit contain generous desk space , mini bar , storage extensive selection snack , candy etc . sale . ( always immediately put drawer closet shelf . ' like clutter temptation . ) chaise longue near window great place watch constant traffic ship glide Bay Bridge outside . bathroom rather lame deluxe hotel … paint sheetrock wall , nondescript ( well , squarish ) counter sink , great lighting . actually ' deluxe . major internet issue could fix even long conversation tech crew Georgia . good internet connection important , sign costly premium connection first arrive . impossible switch sign five day . definitely flaw . work trip , probably would go another hotel . Joie de Vivre offer acceptable free internet service … or bother free service . that say , staff good . note wine lot sympathy front desk crew . ' wonderful hotel enthusiastically recommend one craveat . 
 Feb 3 2009 	 Perfect ! 	 check weekend love every minute . fantastic location , great staff . 
 Feb 1 2009 	 like vitale lot 	 impress Hotel Vitale . will give quick summary . first , book week stay , request Deluxe City View , one step standard room . since contact hotel directly phone , express concern noise honor request high - up room face south ( mean partial Bay View could see bridge ) . rate heavily discount season . booking , find well rate travelzoo.com hotel honor it . the front desk staff , check , concierge , totally top game . check manager duty handle check - in note request quiet room give we good thing , pleased . stay , concierge give we great advice nearly restaurant . housekeeping service pay attention small detail . example , bring bottled water , take extra effort put ice we . the hotel clean , modern update . offer free wi - fi room ( slow bit rate ; fast datastream cost $ 10 ) . would say 's nice W , hip similar vein . there multiple roof - top patio great view -- not miss they . thing note : request high floor avoid noise . Bay View room noisier due Embarcadero . City View Rooms not much view . good option request north south face room . bar loud & quot ; happening & quot ; . not expect lot big hotel amenity -- - gym small , pool , cafe ( although restaurant , plenty food Ferry Building across street . ) parking really tough area . hotel charge $ 45 + tax , find nearby garage less ( keep car Rincon Center block away ) . remember , parking meter start 7am-6pm , M - Sat . Sunday free . the Ferry Building across street lot see eat , overwhelming Saturdays . still , be worth spend time . want go Slanted Door ( hot , pan - asian restaurant ) , book ahead . all , would highly recommend Hotel Vitale . -Robert 
 Jan 29 2009 	 Loved Hotel vitale 	 location excellent business Financial District also general sightseeing close Embarcadero BART station . staff friendly helpful . room spacious well decorate . ' m stickler nice bed towel disappoint . also note hotel bar restaurant . almost never dine hotel restaurant try one hotel think good . bar quite happen spot may even bit loud crowded people . I San Francisco business often next five month plan stay Hotel Vitale every time . 
 Jan 24 2009 	 fantastic experience Hotel Vitale 	 go conference San Francisco try stay hotel conference hold . day conference , hotel raise rate almost $ 80 , look around well deal nicer hotel . find Hotel Vitale . usually expensive care spend , Hotel Vitale offer discount last minute reservation local Bay Area resident . staff amazing friendly helpful facility spectacular cleanliness tasteful amenity . outdoor terrace beautiful , especially night even rain . room quiet , although awake 5 morning garbage truck pick recycle street . ' ve stay many hotel SF business , unusual occurrence experience . afford find special deal , will definitely stay Hotel Vitale ! 
 Dec 1 2008 	 Spectacular Views 	 great experience ! come East Bay wedding get away weekend . lucke unusually warm fall weather upgrade one corner room wrap around window view San Francisco Bay Bay Bridge . get well ? room staff great view spectacular . great location walk along Embarcadero lunch outside along Bay . 
 Nov 22 2008 	 Great Location 	 last stop honeymoon wish could stayed long . the hotel set one main street near Bay Bridge also next bay . the staff friendly professional upon arrival soon we settle room . locate second flor entrance view main street bay bridge . personally loved not experience noise problem . room small comfortable , every available amenity luxurious bedding . there internet room available right near room great keep contact friend family . eat hotel , can not comment food . however , fab place opposite call Boulevard , expensive food excellent quality . our criticism hotel hotel stop honeymoon , expensive not make we feel special . mention review , receive kind gift place i.e . wine hotel . other , hotel great place stop , right near main front far pier 39 ! 
 Nov 18 2008 	 gem ! ! 	 7 night stay vitale wonderful start finish . deluxe bay front room 7th floor lovely . view wall - to - wall window bay bridge awesome . staff wonderful accommodating , include front desk , concierge , bellman especially housekeep . room always clean soon leave morning . eat breakfast hotel restaurant twice enjoy . boulette Larder Ferry Building across street serve great breakfast . ( not miss ) hotel 's lounge outdoor bar / patio open late get crowd . despite never problem noise . hotel great location away hustle bustle Fisherman 's Wharf . return SF , would definitely stay . 
 Nov 12 2008 	 good location people know 	 get back 3 week trip america stay vitale 4 night . outside seem quite unassuming inside lovely hotel room full high end fixture fitting . the staff helpful friendly . as review say bar get busy city boy 5 quieter sit sun evenings.we top floor great view bay bridge.worth extra money . we walk centre , fishermans wharf lombard st , italian quarter union square . fisherman wharf really tourist trap tacky union square dept store , rest city great.tip .. go shanghai 1930 restaurant , 50 yard away , food great live jazz band set mood perfectly cocktail lounge . there lot great bar restaurant within 300 m 1930 favourite . we would stay vitale without hesitation . A+ 
 Nov 6 2008 	 nice clean great location NOISY ROOMS ! ! ! 	 not normally stay hotel nice , business pay . room nice feature lot extra , like free shoe polishing , water bottle , little card next day 's temperature , etc . room clean not afraid walk around bare foot touch bedspread . however , one major fault hotel noise . stay 5th 7th floor , bay view room , able hear follow : elevator door opening closing , maid 's closet door open closing numerous time , music talk room , car honk outside . the view room magnificent location can not beat . ' ve run along Embarcadero morning cross street . staff excellent find taxi anytime , could not get loud room price firm pay . 
 Nov 4 2008 	 Sparkling fresh new . 	 stay Vitale three night town convention Moscone Center brisk 20 minute walk Mission Street . hotel build 3 1/2 year ago still look fresh new . like location next Oakland Bay Bridge Embarcadero . view preferable hotel right city center . case , catch cab anywhere 5 - 10 minute . I love modern decor lobby , bar bedroom spacious bright . hotel low rise not wait time elevator . staff extremely helpful courteous . a couple minor gripe . service breakfast sluggish could do coffee maker bedroom although room service offer bring one I . all have happy return Vitale recommend other . 
 Oct 29 2008 	 get good room ? 	 travel San Francisco time year business , still trying find right hotel . second try Hotel Vitale , sure whether will give another . arrive SF overseas , request quiet room . flight 8 hour late , arrive exhausted . front desk ask room quiet , assured . well , open door room , assalte bass bar downstairs ... even close quiet . call downstairs show we room back corner , quiet , dirty , break closet door . third room show right Mission street , valet assure we would quite noisy morning . choose sleep , opt quiet room . the next morning ask well room $ 60 extra ( make room charge $ 400 ) move room high floor , remarkably clean great view Bay . our take hotel pay big dollar , room quiet clean . choose inexpensive room , expect noisy clean would like . San Francisco expensive , hotel pay $ 300 / night , expect clean room good night sleep . unfortunately , Hotel Vitale it . the positive hotel location friendly staff . 
