Great 	 recently stay daughter . really nice hotel downtown location . Close Soho , China Town Greenwich Village . subway 5 min walk Uptown Manhattan . staff friendly helpful . would recommend hotel . within 20 min walk financial district , World Trade Centre Staten Island Ferry . great Value money , good restaurant . room clean although big , everything could want . want drink central tea / coffee make service floor . 
 Jun 9 2009 	 great stay 	 stay four night short break wife . door bell staff always courteous polite . helpful . staff fact hotel . the hotel rate steep afetr little bit search get rate 60 % hotel website rate hotels.com . pay look around . the hotel well place convenient Canal St subway stop also explore walk . avoid room towards 6th Ave side low -- road noise somewhat offputte annoying . would opt side . suspect get poor room becuse pay rock bottom price could wrong . room spacious via NYC standard bathroom well stock good toiletry , although note toiletry sparingly replenish si normal many US hotel . whether derive green drive greenback motivation unclear . bathwoom bit shabby , overall room 7 10.we ; eat drink hotel -- price quite high number spot East Broadway direction meal drink . ( try Petite Abeille breakfast , lunch , dinner , another Room beside tribeca Tavern pleasant micro beer . ) , good spot . visit friend Soho Grand block away room , price , small , bar scene not seem good , although location arguably well / quieter . 
 Jun 1 2009 	 good hotel area ! 	 stay husband long weekend really like hotel . find trendy hotel area , one perfect . stay standard room big enough we shop ! breakfast amazing staff helpful friendly . big plus free wi - fi work really well . 
 May 21 2009 	 worth money ! 	 Superb service friendly helpful staff - great sense humour ! good location need tribeca . however , room dissapointment , see enclose picture socalle & quot ; suite & quot ; - look like storageroom . correspond pictures homepage ! kind money one would expect . dark & quot ; hip & quot ; room , small bathroom shower inside tiny bath tub . great bed , aware Hotel twin bed , also mention homepage . order roomservice payd 86 dollar juice , coffe , toast , one fried egg basic omelette - definitely worth money ! 
 may 18 2009 	 Excellent stay 	 return trip state include 4 night Tribeca Grand . the room ok size ny large comfortable bed large tv . also wardrobe safe iron . bathroom good size nicely decorate . the bar / restaurant area hotel stunning look quite busy . the doorman friendly good check - in staff not overly cheerful ! free coffee / tea hot chocolate available floor milk half half mean trip bar make tea . the main downside noisy graduation party one night stay go til 1 am could hear room . mention concierge next day get brief apology not appear overly concerned inconvenience . we enjoy stay area around hotel good subway close - by . 
 May 13 2009 	 horrible valentine 's day ever 	 husband & amp ; really like tribeca grand stay quite time , join grand guest program . however , last 2 stay , include one , show we almost benefit join program , bad yet , make we consider even like hotel first place . big gripe course , room -- specifically ask high floor room , also preferance & quot ; grand guest & quot ; . check early give low floor room , also noisy immediately ask change . tell hotel full we . observe guest check much later . be not give room request since check early ? let go , think one time thing . check romantic valentine 's day weekend , also early , also request high floor advance , deny . room noisy , hear noise night lobby bar one floor . addition , & quot ; grand guest & quot ; $ 25 meal voucher use bkfst next morning . bkfst never come . wait almost 2hrs call tell bkfst would 10mins do not happen either . starve , finally go across street spend much $ 25 bkfst . write email manager problem , specifically bkfst . month , finally answer we apologize answer soon would look matter . still wait resolution . meanwhile , never stay . bad . 
 Apr 30 2009 	 Hip Chic Friendly ... surprising package 	 first stay Tribeca Grand know back year come . staff amazing .... friendly willing help . hotel wonderful cool vibe spill guest room . room little small room NYC not ? location perfect visit Canal St , Soho Village ... short walk Nobu feel like treat : - ) also , hotel bar , aka Church Lounge , hop Saturday night . get busy around 10:30pm stay pack 2 am ... DJ spin great people watch . all , worth every penny ! 
 Mar 8 2009 	 love 	 need Soho , not many hotel choose . great choice hotel . clean chic . seem like lobby lounge bar hot spot nightlife . greet champaign . Valet fast enough . room small side nothing much complain . probably good hotel experience NYC low expectation room size service load wallet go . would go back . 
 Mar 6 2009 	 Excellent 	 get upgrade big room first check ask upgrade available . service excellent . room service always arrive within 15 - 20 minute . everybody greet we hallway whenever leave return hotel . management great job hotel . room fine size we . view west side . great location . within 5 - 10 min walking distance Chinatown , 15 min Soho . pay $ 195 / night Expedia . Free wi - fii . 
 Feb 1 2009 	 Great Price Area 	 Hotel locate heart downtown Manhattan . price great especially comparison trendy downtown hotel Greenwhich Mercer . staff extremely freindly time book room reservation department time check . bend backwards make trip memorable occasion . also give pet goldfish room , even take home ! ! great seeming short ride home . 
 Jan 6 2009 	 wonderful boutique hotel tribeca 	 stay hotel half - dozen time last several year . consistently excellent -- small imperfection stop return . the location absolutely perfect ( though highly subjective judgment ) , great walk around low Manhattan good access multiple subway line . hotel free bicycle borrow , plenty appeal place ride hotel . room large , perfectly adequate . room decor bit dark , room large picture window . room high - end efficient luxurious ( look like renovate 2 - 5 year ago ) , good linen bathroom amenity . flat - screen t.v . 's room good music system . room appeal write desk sufficient electric outlet -- common be . WiFi free ( ) member hotel 's frequent guest program , available fee other ( right ; WiFi free amenity everywhere ) .imperfection : visit reservation order ; one occasion internet service interrupt lengthy period time , acceptable business ( ) travel ; guest service usually -- 100 % consistently -- responsive . also , price room fluctuate much according season , discount , availability demand ( wide spectrum ) . understand occur , trend , unpleasant -- akin trend make airline industry loathe be . however , despite problem , tribeca Grand great -- sister property SoHo ( SoHo Grand ) , block north close downtown shopping action interested shopping abundance immediately available cafe . careful room choice SoHo grand : room SoHo Grand great view , room almost view all . note perhaps good thing Tribeca Grand soar atrium lobby , wonderful morning ( quiet breakfast newspaper ) , afternoon ( work laptop enjoy stylish crowd ) night ( bar hop music great ) .highly recommend . 
 Nov 18 2008 	 great location 	 tribeca Grand great location tourist - 's easy walk Greenwich Village , SoHo , etc rest downtown . plus a - line subway JFK right behind hotel , be generally good public transport . also bar restaurant close , not want venture far . room fine - sizeable ( ny ) , clean , big window , although fantastic value 450 $ . helpful concierge service . not bother restaurant bar etc , although bar seem popular people outside evening . would go back , location much anything . 
 Nov 2 2008 	 Tribecca Nice Neighborhood get job do 	 tribeca Grand good hotel tribeca district NYC . big positive hotel access adjacent neighborhood . happy get room enjoy part New York City . neighborhood relatively livable quiet New York City . number great restaurant within four - five block range hotel . eat excellent brazillian italian restaurant . the room clean adequate nothing write home about . the restaurant inside hotel ok find service slow . the ambience lobby / atrium nice kind new - ish looking . overall , good advice linger hotel . this shangrila , neighborhood nice . bless good walk around weather , great time -- provide leave hotel property . 
 Oct 23 2008 	 overall nice hotel good location 	 stay hotel Monday Friday business . room fairly small north american standard , kind disappointed . internet slow , tv good quality . ( though dvd provide ) .Overall 's nice hotel , comfortable bed , nice deco , good location . be within walk distance Soho area , downtown Manhattan , subway station 3 min . staff mostly courteous , concierge helpful 
 Oct 12 2008 	 Reserved PriceLine ; treat though pay full price 	 first experience PriceLine . delighted -- PriceLine hotel assign , Tribeca Grand . we request 4 * get wonderful temporary residence . what impress even though pay well rack rate , treat full fare passenger . first give minor upgrade , something experience 50 + line booking ; second , everyone , front desk concierge , could welcome , sharp contrast last NYC visit ( review May 2007 TripAdvisor ) ; third , staff member hand tip : problem inroom safe ; try give maintenance man tip , thank refuse , tell problem fault provide adequate instruction . you within easy walk distance 6 subway line ... lot cute place eat nearby ( include wonderful , bit strange , little hole wall breakfast ) .Our favorite & quot ; neighborhood place & quot ; call , good memory , & quot ; South & quot ; : walk front door Grand Tribeca go 11 o'clock . food good -- adequate ; ambiance close & quot ; Cheers & quot ; ' ve every experienced . would pay full rack rate ? would depend upon situation ; bid PriceLine find assign Grand Tribeca , would delighted .. 
 Sep 16 2008 	 Love hotel ! 	 Booked hotel www.tablethotels.com - great website be look trendy / hip hotel tyipcally 4 5 star . this hotel great location - locate tribeca block south action Soho ( avoid peddlers canal st walk ) . room small ( typicaly NYC ) trendy . love bathroom - rainforest showerhead great product . service wonderful - really go extra mile ensure comfort concierge great w direction reservation . I ' ve also stay sister property ( Soho Grand Hotel ) although experience similar , prefer Tribeca Grand slightly Soho Grand , would recommend . 
 Sep 9 2008 	 need rehab well customer service4 	 book hotel two night . first book one package expect get state website . book Tryst Tribeca front desk barely know ( thankfully print include show ) room date need rehabe . small , old dirty carpet , paint peel ceiling , tiny bathroom , dirty drape . book Executive King 449.00 night package , tell large . hate see small one . one chair one we sit bed watch tv . question whether type room book , front desk tell must wrong picture room website . nothing describe Grand Guest desk . poor customer service . & quot ; lounge & quot ; part restaurant . sort remind old Hyatt atrium middle room surround . food not bad , Sunday brunch good . not stay second night room bad . nothing around hotel either . want around shop , stay Soho Grand . hotel pricy even & quot ; extras & quot ; package . lot much nice hotel NYC less money . not fool website . hotel look nothing like picture . terrible experience . 
 Sep 8 2008 	 Good Stay 	 stay hotel 4 night Labor Day weekend book promotional rate hotel website . end stay go well find issue complain whatsoever . staff nice find concierge helpful . would stay . 
 Aug 28 2008 	 4 star 4th ! 	 stay 4 night 4th July tourist NYC first time . interview end June ( put elsewhere ) able take get Tribeca Grand . husband book hotel Hotwire ( choose ' boutique ' option ) read review . like hotel , couple negative review exception . live UK almost 7 year , nervous tipping market posh hotel . location great . everything hard way , take subway everywhere walk lot time . subway stop around corner , lot local area , even walk 4th July firework near Brooklyn Bridge far . even take subway back JFK flight manageable - recommend though ! must - do 's nearby : Canal Street nearby shop - nothing like anywhere ! , shop Broadway ( keep walk ! ) , couple nice trendy eatery / wine bar nearby ( partake - busy ) diner direction , legendary Bubby 's brunch ( 120 Hudson St ) .The door staff Tribeca Grand always courteous extremely gracious tip ( take bag day leave , retrieve ) . furthermore , desk staff nice brief interaction , include get key , info , leave valuable safe ( small one room well ) finally check . seem bend backwards customer , - wait lobby help bride - to - be put bridal party complicated arrangement treat leave room . the room small ( standard double ) overly . would expect big city . large window clean line decor help make feel airy plenty space thing . nice storage clothe , etc . bathroom chic good order . wonderful toiletry , staff replace entirely day . good hairdryer , although ) bring b ) humid step outside styling undo anyway . comment reviewer noise atrium . not problem we , even weekend . make great atmosphere day evening . whole hotel extremely stylish chance , take peek film - screen area downstairs ( level gym ) . pay wireless connection , not need much not try . everything excellent not food drink get impression everything bit expensive . have pay full price room , might see great . ( pay $ 200 / night . ) location excellent , perhaps be worth ? ! would certainly stay price pinch might even pay bit . 
 Aug 27 2008 	 beat Path 	 decide last minute take trip New York City . search internet good deal choose Tribeca Grand Hotel . first time visitor New York leary stay familiar & quot ; chain & quot ; hotel . pleasant surprise ! choice hotel superb , could ask anything well . room large modern . inside atrium gorgeous feel safe big city . concierge helpful booking helicopter tour city even give we battery camera , thoughtful . choose eat meal hotel restaurant good . service superb , waitress top ! look forward stay visit New York . 
 Aug 7 2008 	 good hotel grand 	 partner stay hotel five night Wed - Mon . make reservation Priceline . immediately notify hotel & quot ; accept bid & quot ; come check reviews.1 ) noise - whir ( constant ) seem control top room ( # 802 ) white noise device door turn up / down help drown lobby noise.2 ) Location - GREAT location A - c - e 4 - 5 - 6 , close walk SOHO Village number local restaurant well.3 ) staff - wonderful friendly ... numerous doorman always help.4 ) wireless internet room - slowwwwwww5 ) Shower water pressue - AWFUL . little water pressure take shower , disappointing.6 ) workout room look good , not use however.7 ) bed - large King bed nice ... 8 ) tv - & quot ; sleep & quot ; function .. hello , 2008 ! 
 Jul 18 2008 	 Kind Faded Star 	 want splurge NYC , book room here . I mix feeling . room feel like absolute pinnacle design - 2003 . seem time ever slightly pass Tribeca Grand . regular hotel , be fine , honestly expect give reputation . try SoHo Grand instead ! 
 Jul 15 2008 	 tribeca Grand live expectation 	 great service , great location , great room ! 
 Jun 25 2008 	 Pleasant ... check . 	 recently stay Tribeca Grand business trip . bit saving extra thing business partner book & quot ; Tryst Tribeca & quot ; package include & quot ; full american breakfast deliver room & quot ; along champagne arrival ( never get , maybe ask ) . order breakfast room service menu first night - deliver next morning guy give we bill full amount charge . told & quot ; tryst & quot ; package breakfast include . give card list item come package seem satisfied say would correct . next day arrive late night order room service menu . next morning call front desk see late order breakfast include package - person answer say not get & quot ; whatever like & quot ; . get hold room service get two breakfast ( salmon whitefish platter - cheap $ 25 ) , one fruit salad , two oj 's coffee tea . bring we give we bill ( $ 108 ) , tell & quot ; tryst & quot ; package include . act like know nothing tell call front desk explain include .... get frustrated point since room cost $ 400 per night would think room service front desk could communicate . .... morning go check , course , bill breakfast . explain & quot ; full american breakfast deliver room & quot ; package desk person bring back manager . apparently $ 60 limit breakfast . suppose receive voucher check explain information ( never receive ) . explain never received not know spending limit ( would think would explain check even book reservation ... case voucher not packet give . ) 15 minute wait around ( next customer behind check breakfast bill well ) leave . manager not able speak right call cab - explain never receive voucher . say could not anything would pay difference amount - really nice basically make feel like crap . really disappoint customer service ' m write review . little flexible understanding offer charge extra $ 60 buck ( cost 2 oj 's , coffee tea bagel ) would write much nice review . room pretty - although tv sound keep get soft really loud . bed comfy . food yummy . wish people accommodate understanding . beware book package get info ahead time know limit & quot ; full & quot ; breakfast . oh yeah , get ready spend serious dollar . 
 Jun 18 2008 	 definitely worth ! 	 book Tribeca Grand Hotel Priceline girl weekend NYC . not sure expect give review read . wow , ever impressed ! star treatment start check hotel offer glass champagne ! pleasantly surprised get room two double bed high 7th floor even Priceline book King . could hear noise throughout whole weekend bar . another plus free coffee / hot chocolate machine ( find every floor ! ) .the room extremely spacious - large ' ve ever see NYC hotel . staff extremely friendly helpful . location ideal - walk distance Canal Street Soho step away major subway line . would HIGHLY recommend hotel ! ! ! 
 Jun 18 2008 	 Nice Hotel 	 stay husband last week one night . request non - smoking room first room definitely smoke , probably guest not care designate non - smoking . bellman agree we , call front desk immediately move we new room . we standard room , clean , easy wireless internet access ( $ 10 ) bad size New York City . aesthetically , decor modern cool , great sleeping area . particularly enjoy modern design implementation bathroom . example , personally fond stainless steel sink ball drain stopper bathroom - feel much like kitchen sink , decor preference really affect nature experience . also wish place hang towel - bathroom decor sparse , two people , still find difficult find place hang wet towel -there one hook back bathroom door , place hang hand towel . lady makeup bag - vigilant - trash bathroom situate hole cut sink counter - , modern design idea think practical . quite toiletry makeup item , first , hole take valuable counter space , secondly , bit concerned may accidentally drop something notice late retrieve . however , minor thing . hotel staff attentive wonderful ate breakfast late snack hotel restaurant . wonderful ! Pricey delicious . night - owl bar - hopper - note neighborhood much night - lot go area , Canal Street , provide much way night life . close Canal Street subway station , not mind take train . overall , nice experience Tribeca Grand . 
 Jun 8 2008 	 Great Hotel 	 little concerned read various review hotel Tripadvisor regard noise . yes hotel open atrium weekend bar loud , us noise never issue . room smalli ( king size bed double ) nice room clean . staff excellent . great downtown location . recommend hotel . 
 May 29 2008 	 Loved ! 	 mother make reservation stay another hotel New York . hotel , discover overbooked night check , make arrangement we Tribeca Grand . staff courteous , kind prompt . instead transfer next day , ask tribeca could give we rate comparable one original hotel offer . could ! stay entire vacation . Saturday night offer complimentary flute champagne ! room clean cozy -- welcome respite bellow surround city . well do . 
 May 28 2008 	 Pretty Good - lousy bar staff 	 Booked Priceline $ 190 / night really not care get . Got pleasantly surprise quality . happy Tribeca , area ' ve grow love relative tranquility yet proximity Canal St / SoHo shopping etc . plenty restaurant / bar nearby ( try Landmark Restaurant couple street away , great meal $ 30 Petite Syrah ( petite full bottle menu ) awesome reasonable price ) .hotel room exactly expect . huge , small . lovely king bed , large flat screen tv . last review say he / she need 2 control .. huh ? ? one remote operate tv , large channel selection , decent movie . bose clock radio good . in room safe secure use credit card use book . mini bar look good would expect ... expensive . toiletry , lovely , peppermint lavender thing ... although conditioner almost thick get bottle . have need white noise room ...... issue noise form bar top floor . Aircon work well fairly quietgrand GuestI sign book Priceline say not applicable .... disagree ask manager , point first visit , would contend look might bring back ; promise foam pillow , cookie milk future stay book website ( thus pay 50 % ) would .... surely repeat business point .... agree ... 2 glass champage , milk , cookie , foam pillow , goldfish ( Bruce - lol ) , continental breakfast morning 8th floor room soon agree upon . servicesfree internet behind concierge WiFi throughout ( think ) .Did not eat idea try get cheesecake 1 am Sunday morning - room service answering machine , go bed . BarNYC bar staff bit brusque lot add ignorant , slow , inept unhelpful mix . Friday midday , arrive , meet other , go bar . Sat 20 minute unserve ( alone ) . female bartender stocking up/ get ice etc , fair enough ... see give fakest smile ever ... word .... look give slight upward motion head take mean & quot ; hello sir , today ? get ? & quot ; ........ Saturday night , midnight - bar close despite 15 person , mostly resident .... whole nightclub thing seem problem certainly not night . ask bar manager ..... never appear , watch greasy haired Lothario wannabe behind bar serve 2 young girl full 15 minute tell bar shut . walk right , line sight , prepared let go get couple drink , roundly completely ignore . lose point wave tell lack professionalism begin annoy personal pick - up joint . seem tad nervous ' m big man , threaten anyone anything ...... manager arrive ' deal ' however , ' m professional , decent , nice person girlfriend start prepare arguement dissolve apologise , tell senior person present choose close bar base number people etc . make sense tell also tell go girl Lothario boy ... 4 drink soon hand pop room . Sunday night 2 am - bar close prior arrival , snotty nosed little runt behind bar treat like utter filth , sort like & quot ; duh , be 2 am ... , stupid & quot ; kind attitude , less word . could not bother another fight go bed . check outthey try charge cookie breakfast ( sign nothing Grand Guest amenity ) ... different person one check . Bored al , ask another manager , luckily one come ... nearly fit saw .. lol .... sort problem out . I say highlight lack customer service throughout property end cost $ $ . simple & quot ; ' m sorry Sir , be close night 'd happy connect Room Service send something & quot ; etc etc look for.3 bar staff one knowledge acknowledge guest prioritise stand await service . give inconvenience bar appear many guest ( extent white noise every room ) would assume main source income least significant one ... case , get staff well train learn milk cash cow . GeneralGood area , nice , clean property , bell staff excellent , manager excellent work hard rectify mistake by / atitude staff . I doubt will go back choice Priceline come will happy . will sure take name challenge bad practice though manager decent people see sense . like much confrontation weekend though ? ? 
