good 	 ' ve stay Ridgemount nearly 20 year -- travel alone , take group student SUNY Geneseo , play friend . Mrs Mr Rhees , owner , son long - time employee make hotel home - away every sense word . true , room well other , clean clean daily , warm winter , friendly small room . be free tea / coffee machine lounge . breakfast wildly generous wait - staff kind tourist not quite know difference B & amp ; b restaurant . leave purse , laptop , first - bear room doubt everything return . the location priceless . several major bus line , 2 short block two Tube stop , long block British Museum , big Waterstone 's world right across street ! Bliss ! ( eat Wagamamma leave almost New Oxford St. ) small fee laundry -- priceless service day carry - on baggage ! Drop morning , pick night = budget traveler 's delight . five time ' ve take group student January study - abroad class 's Ridgemount make possible . small group ( 10 - 12 ) SUNY staff one faculty member admin person , be much work without net faculty member . ridgemount net . know kid get 24/7 good advice London travel help main desk , know safe time around hotel , Rhees family pitch help sort situation . Mrs Rhees bring tea juice room sick student class Canterbury son drive we hospital another occasion . wonderful family genuinely want help way possible . ( provide shoulder cry tired / exhaust / piss - off professor . ) people write bad review may know hard find clean , safe , affordable room middle London . the two good room # 20 ( small double one flight garden side ) # 2 , tiny single first landing . ( # 2 bath microscopic , entire west wall room giant window opening back garden summer 's like sleep terrace -- fabulous . ) street side noisy summer ( duh ? ) winter window close , 's problem . many room without bath , nice option break . share facility extremely clean . bed great real cotton sheet generous blanket -- need , heat generous ' ve every experienced 2 + decade constant visit London . stay long couple week , go London House ( Goodenough College / Club Mecklenburgh Square ) option expensive not academic / member . I really can not say enough good ridgemount . stay ! 
 wonderful stay clean great service ( small room ) 	 stay Ridgemount four day , room private bathroom , happy . pick base favorable review Tripadvisor . excellent thing hotel : - CLEAN -- one speck dirt anywhere room bathroom . housekeeper clean room every day standard.- Breakfast -- serve downstairs 7 - 9 . unlimited juice , hot drink , cereal , toast , jam , plus hot meal , usually subset thing : tomato , egg , cheese , ham , sausage . be vegetarian , will modify dish you.- Friendly -- owner staff meet exceptionally friendly , eager help , seem really enjoy jobs- Free luggage storage -- useful last day- free internet -- wifi reach room 3rd floor- free hot drink day- cold soda 50 pence- amazing location -- 5 minute British Museum , less 5 minute Tube Goodge St. 15 minute walk St. Pancras , train Paris . thing know come : - room small- noise Gower Street- elevator , carry luggage stairsother information : - hotel provide bar soap , shampoo- & quot ; disturb & quot ; sign -- maid knock door see could come clean room ... though will admit sleep bit lateall , want clean , conveniently locate , comfortable ( albeit small ) room , reasonable price ( London standard ) , ridgemount place go . 
 Sep 30 2009 	 Clean Comfortable Great Breakfast Reasonable price 	 husband stay Ridgemount 3 night , rate £ 75 per night en suite room ( bathroom attach ) . London tourist , important we near & quot ; tube & quot ; station . want affordable , clean , quiet hotel also en suite room breakfast include . pleased choice Ridgemount Hotel . it be locate close Goodge Street station northern line Russell Square station Picadilly line . many time walk hotel night feel safe . several tourist attraction within walk distance hotel well . our room small , expect large city room rate . bedding appear outdated , definitely clean . room narrow , bed ( double , think ) wall , one chair window , tv wall - mount corner ( get antenna channel ) , wardrobe shelf rod , corner shelf outside bathroom . bathroom also outdate clean . shelf space , small ( small ' ve , though ) . hairdryer wall would not work , attendant front desk happily give hairdryer use duration stay . the room quiet . 2nd 3rd floor , face back building . not see elevator , stair fine we . lobby area free hot beverage , soda machine , couch , one computer free internet access . sometimes wait turn computer , time work awhile online one come use . breakfast great . several kind cereal , toast , juice , milk , coffee , tea . breakfast service serve sit - down style friendly staff . never wait long table , . breakfast choice varied day : bacon ( like ham Americans ) , egg , tomato , bean , sausage , etc . staff polite helpful ingredient breakfast . ' m gluten intolerant , bring Heinz bean read label . appreciate that . we arrive early morning Heathrow first day reservation leave afternoon last day . pleased allow we drop temporarily leave luggage . locked case leave lobby area people 's luggage . appear undisturbed time retrieve luggage . we happy stay Ridgemount Hotel . basic , clean , comfortable place everything need , price want . would recommend friend , would stay . 
 Sep 22 2009 	 Happy ! 	 stay hotel June year . good thing good place shopping travel tourist area . unhappy many thing hotel . queue long time morning able get brekfast table due amount people tiny breakfast area . everyday find stressful ideal start holiday morning . think also breakfast early flexibility , 7.30 till 9 early people holiday . also do not like picture hotel show nice hotel overlook street . room basement almost natural light . breakfast room basement , almost natural light fresh start morning . also share toilet bathroom people hotel . complain manager say nothing . overall find hotel old rundown , like photo hotel look nice . would stay ! 
 Sep 20 2009 	 Good value come Sacrifices 	 decide go deluxe order double ensuite . one trip going stay multiple destination look forward living suitcase . room small ( expect ) , disappointed drawer speak . hanger thankfully plenty shelf space washroom * .there plenty equivalent hotel Gower street suspect way Ridgemount differentiate service . maid come daily , sit - down breakfast attend number smile server office staff willing helpfull guiding maximize holiday . service combine location would come back . hotel convenient number Tube station ( Googe close ) bus stop less block away . overlook possibility use bus subway service frequent , actually sometimes fast tube ride second floor double - decker much scenic . , staff help . stay Ridgemount probably someone look save money . not forget world - class London museum ( include nearby British Museum ) free ! * see last post 
 Sep 15 2009 	 Ridgemount exactly Needed London 	 pro : location . Bloomsbury district residential less touristy area London lot history . hot breakfast greatly appreciate morning . very near Gower street tube $ : good value money . staff helpful direction suggestion . thank ! con : Stairs , lot themlots street noise . use , may bother you . tiny roomNo air conditioningOVERALL : feel pro outweigh con , would stay . 
 Aug 31 2009 	 simple fuss hotel 	 stay Rigdemount 5 night July . look review hotel London £ 80 / night , Ridgemout seem like good option . book January room back , ' m glad . Gower Street busy street , noise become problem around 8 . ROOM : stay room 26 , small room , guess 's normal London . double bed , tv , fan ( AC ) , bathroom shower . room always clean , can not complain this . food : breakfast great , combination cereal , orange juice , bacon , egg sausage ( tomato ) . STAFF : staff friendly ( even find portuguese girl , course , be everywhere ! ) Mr Rees ( owner ) nice , give we direction bus number go . locationthe hotel good location , be close underground ( Goodge St. Euston ) . across street hotel , be great bus stop use go Piccadilly Harrods . 's also close British Museum . overall : recommend hotel be visit London budget . portuguese standard , be low 2 star hotel pretty expensive ( £ 78 € 90 ) , compare similar hotel London , ridgemount good choice . clean , good breakfast friendly staff . be go use hotel sleep ( like ) , can not go wrong . 
 Aug 27 2009 	 example follow 	 year disappointing ( understatement ) accommodation London , last address recommend comfortable stay London reasonable cost . time return fascinating city , tremble kind room would find long could stay , conclude general standard . . particular would like underline warm welcome English ( foreign ) family - run hotel . everybody charm helpful management impeccable breakfast service . year stay fix , lack nothing two - week stay . course , suppose calm comfort depend little exactly lodge , face Gower Street towards pleasant garden rear , grind one upper floor . small snag notice incredible popularity Internet Centre lounge . spaniard Italians frequent place 3 morning , might feel disturbed . management 's fault , suggest disable pc lock door 11 pm . 
 Aug 22 2009 	 wonderful surprise 	 coworker mention hotel really good conveniently locate . american standard old build Bloomsbury 2 block British Museum . quite convenient shopping , theater public transportation . room facility keep clean neat . room ensuite well stocked . Breakfast include ; juice , tea / coffee , either cold cereal egg , bacon , sausage , etc . owner / staff check morning destination direction ( short cut ) well . friendly helpful environment , free computer available . there negative report . 
 Aug 21 2009 	 good budget value 	 pro : Location , staff , breakfast ( excellent bacon ! ) , overall athmosphere . con : tiny room , small bed ( 110 cm 's two adult share ) , aircon , funny smell make we keep window open night . 
 Aug 15 2009 	 favorite hotel trip -- warm helpful host wonderful location . 	 middle crazy , crowded London , hotel find , hope stay . moment walk host welcome we , provide helpful information , include map transport information . warmth continue every morning breakfast , one family run hotel walk table inquire guest day , sometimes flesh exist idea offer new one . wonderful morning wander around street market never hear , thank one breakfast chat . even give we converter US - UK plug ! end stay two different room ; first one quite narrow 3 single bed room nothing else ; second much large en suite . room simple clean , bed extremely comfortable . lounge computer guest use ( free internet ) . easy walk many major site use bus tube other . not want leave ! 
 Aug 12 2009 	 EXCELLENT 	 can not add say . 's well run . excellent location value . near several tube stop , bus stop . be basic , perfect . would stay , 's good recommendation give . keep mind , London hotel , air conditioning , air flow challenge . bring spray bottle keep cool night . second floor ( US ... first floor UK ) window floor ( window room , floor , floor stay pretty toasty ( compare floor window ) ) July temp 80 degree . staff nice , even bring we fan . it ' close British Library , far Covent Garden / Theatre district . free wi - fi computer use , nice lounge . want go somewhere , Mr Rees tell bus / tube get quick . ' gold mine info . 
 Aug 10 2009 	 great location nice room wonderful host . 	 Mr. Rees one helpful person meet vacation Britain . tell want want go , tell . room nice , location excellent . easy walk everything want , theater , museum , shop . great breakfast . 
 Aug 7 2009 	 simply wonderful 	 although basic bed breakfast , location superb ( near least three tube station , easy bus stop , close many theater , British Museum Library , much ) , proprietor tremendously welcome helpful , breakfast tasty , room comfortable . thoroughly enjoy stay travel Salisbury Bath several day , return Ridgemount feel like home ! great value would stay . unlike reviewer , noise street bother we fan room keep we cool comfortable . room small , really issue . simply great spot visit London . 
 Jul 23 2009 	 excellent choice money 	 look place stay last couple day month long trip . ridgemount well locate ( near rear door British Museum close tourist friendly restaurant pub Goodge street ) . simple , clean , well maintain , freshly paint new plumbing fixture share bathroom . family run , pride generosity . quite helpful seem genuinely pleased help guest . breakfast traditional free hot drink front room free internet set . well worth trip highly recommend . 
 Jul 19 2009 	 great place ! 	 enjoyable stay hotel , recommend we friend stay last summer . room big ( actually 4 bed 3 we ! ) share bathroom always clean usually available need . include breakfast good plentiful ( plus accommodate vegetarian diet give we bean , cheese , tomato , instead meat egg ) . Loved free wi - fi use computer free ( along free tea coffee day ) . novel guide book browse living room area . staff nice helpful -- give we map direction / suggestion day able answer question . perfect location ( walk SoHo theater / dinner British Museum British Library easily multiple tube station nearby . 
 Jul 17 2009 	 another recommendation hotel 	 many good review hotel , would like add list ! stay 2 night June , 2009 2 day tube strike . arrive Heathrow , take Heathrow Express Picadilly , bus & quot ; close & quot ; hotel . time was't sure use bus system definitely not get close could . rainy day , bus jam suitcase , know go . walk several long block get hotel . when arrive , greet nice lady let we know would room 1 night would need change another room next night . never really get reason , not really care long take care move luggage , . first night ground floor . room , small ( maybe 6 ' x 5 ' ) , fine bathroom small also fine . bed firm , could hear noise outside street almost window . well - check window , turn window crack open tiny bit . closing , sound MUCH tolerable ! ! 2nd night 3rd floor . room probably twice size first ( not say huge room - maybe 10 ' x 10 ' ) . room clean decoration homey . the selling point hotel ( state many other ) : - incredible price- wonderful people work . ! ! ! ! - location perfect - 2 block British Museum , really step across street incredible bus line take we many London 's attraction , right Victoria Station . end take bus almost everywhere . great experience London 's transportation system , amazing tube strike.- use Goodge Street tube approx . 1 block away . use station transfer next hotel , luggage we work fine - elevator take tube . perfect ! - breakfast good . cereal , toast butter marmalade , 1 egg , bacon / ham type thing ( combo - ' ve never US ) . one morning egg serve fry tomoto half next morning egg serve bean ( like pork bean ) - something not usual US breakfast , heck ! ! also nice hot chocolate ! - travel 15 year old daughter feel anxious walking around area night.- free internet ! wonderful available . homey lounge area computer guest use . bottom line : would stay already recommend several people may go London . stay another , expensive hotel near London Eye , would choose hotel one heartbeat . enjoy trip ! ! ! ! 
 Jul 5 2009 	 great experience ... usual 	 ' m return guest return future . cosy family run hotel personal touch ( owner walk around table breakfast ask whether need tip thing , go , etc ) . room small clean 's matter ; bed comfy good mattress . Breakfast not big choice 's include price room ( veeery cheap London standard ) essential : tea , coffee , toast jam , cereal english breakfast.15 min walk Oxford Street , 5 min Goodge St. tube station . could not ask honest ! definitely place stay London ( ' ve see quite , include Hiltons , able say ) . 
 Jul 3 2009 	 helpful host convenient location 	 friendly staff great location .. London difficult heatwave essentially city design couple hundred year ago . fan room cater heatwave like condition , helpful third one tuck roaster ... lot little pub restaraunt area . easily accessible airport . thank staff addition provide great Brekky fuel long journey day LHR .. 
 Jun 27 2009 	 great price great location 	 hotel everything need stay London . room bathroom clean , breakfast wonderful , staff friendly helpful , location perfect . stay quad ensuite night parent brother , different quad without bathroom another night . even though hotel busy Gower Street , think quiet overall . room bit small find problem . breakfast fantastic staff willing help plan day get need . get free internet computer lounge ( easily steal wireless nearby place -- 's busy area ! ) basically , price pay , hotel gem . London extremely expensive especially Bloomsbury area . Ridgemount Gower Street major bus stop , plus several tube stop near ( Euston Sq , Euston , Warren St , Goodge St ) . also great selection restaurant nearby Charlotte St dinner ! 
 Jun 25 2009 	 Cheap Basic 	 Ridgemount Hotel basic cheap . expect , disappointed . definitely find hotel cheap Bloomsvury . whole , hotel feel wear little rundown , everything work . free wi - fi definitely plus . single room share bath . room clean sink TV . bathroom toilets hall also clean . complaint window good job block noise Gower Street . 
 Jun 19 2009 	 Great B 	 3 night ridgemount , excellent host , give great advice transport , pub etc . breakfast excellent , great start day , free internet access available time day tea & amp ; coffee . we room face court yard , lovely outlook . excellent location catch Eurostar Paris , 15 min walk away . beat location price ! 
 Jun 19 2009 	 overall good value friendly staff ! 	 stay four night spouse . good hotel staff three country , four city trip . prosvery friendly staff ( especially gentleman ask morning plan help ) full english breakfast cozy basement eating area ( great staff ) free high speed internet access cozy front reading / tv roomgood , safe area near city center bus stop / tube station ( Russell Square ) CONSOur room street side , pretty noisy even window downthe toilet recur problem water pressurea bit date decor , frill room small ( 13 & quot ; ? ) , old tv ... really CON we , traveler might look something modern . 
 Jun 14 2009 	 great value money 	 stay Ridgemount Hotel 3 night June 09 really enjoy stay . great solution low budget hotel fantastic location . be look simple room stay place crash night , place . next time London definitely come back . it first time London we , 4 friend early 20 . take Quad room 4th floor face street private bathroom . share bathroom also seem nice clean , prefer add couple pound en - suite . pro : * great value money ! pay £ 100 four us per night , include breakfast - one cheap offer could find . * GREAT Location , short ride tube every central tourist site . * 5 min . walk 2 tube station ( Goodge , Euston Square ) . * room clean . clean . * clean towel every day . * quad room one double bed two small one , comfortable . * Gower street seem safe , around Ridgemount mostly small hotel seem student dormitory . young woman feel safe walking alone night . * Free WiFi . stable 4th floor , though . always go small lounge downstairs , also PC not laptop . * english breakfast include , nice simple . * friendly staff , helpful ! first day ask we purpose trip suggest help guidance every single day . * nice atmosphere - Feels homy . con : con really minor consider price pro . * 4 floor , elevator . get 4th floor luggage easy task . * air conditioner , first day pretty hot London . typical weather 's problem . * street pretty noisy , even night . 's bad upper floor , guess 's bad downstairs . avilable , ask room face garden . * smoker smoke street outside hotel . * furniture pretty old . * quad room pretty crowd four we , bed small bathroom tiny . 
 May 28 2009 	 great location price 	 be look luxury hotel will not . want central London around £ 50 night , pretty good bet . 's Bloomsbury , round corner British Museum easily accessible Euston Square / Goodge St / Russell square tube stop . Location beat . the room basic comfortable . remind student hall ' ve stay nearby - plain decor , frill . furnishing bedlinen little worn , bit mould grout bathroom limescale tap , everything clean carpet curtain appear new . ensuite twin room ground floor - look onto main road , quite noisy traffic , perhaps ask one face away road bother . hairdryer , towel , old tv , kettle toiletarie small bar soap . bring shampoo etc anyway not matter price . plenty late - close supermarket chemist Goodge St / Tottenham Court Road anyway forget bring toiletarie . bed also feather pillow - unusual . there quite nice lounge tv computer internet [ although get wireless room ] , drink machine tea instant coffee . breakfast quite dingy basement room- staff almost attentive - feel little rush time . limited choice [ tea coffee , 3 type cereal , white toast marmalade jam ? , orange juice , cook breakfast consist bacon , bean egg ] , not complain price . owner seem chatty regular . agree comment would rather owner keep place frill condition price , rather charge . be difficult find anywhere clean decent central London , fit bill . might get bit basic stay long time , couple night great . 
 may 23 2009 	 Great Hotel Great Staff Great Value 	 wife high hope hotel base review satisfied . room , although top floor spacious comfortable . staff friendly much like family end trip . hard know say have not say . even without room bathroom , still private convenient use share facility . breakfast simply amazing , one highlight entire european trip . recommend already continue stay ! good part London we . 
 may 19 2009 	 probably good place stay London 	 since find , ' ve always guide Trip Advisor , book Ridgenount , begin doubt London could approach quality want price pay . crazy doubt . must good place stay London business pleasure . I travel friend 4 day ( 3 night ) stay book two single en - suite room . the reception receive friendly helpful began wonder really London . the room , though small clean well design allow storage . hair dryer even telephone ( not try , could not say effective ) . en - suite also small , totally adequate . breakfast excellent . fruit juice , cereal , egg & amp ; bacon + another ( baked bean , tomato sausage stay ) much toast want , tea coffee . serve friendly staff . the resident lounge free internet access , selection book game , free tea coffee . perhaps highlight , however , owner . unbelievably friendly helpful . must true original Londoners ! 
 May 17 2009 	 repeat customer ! 	 husband two sister husband take week long trip London March . husband great deal research come Ridgemont Hotel we stay . choose affordable centrally locate get great review TripAdvisor . write great review add many already post . look fancy place , Ridgemont place . room small starkly furnish . breakfast plain much variety . Ridgemont lack amenity , make every regard . hotel indeed centrally locate walk distance bus tube station destination . staff friendly hotel clean . owner know get anyplace London . even know tube run get go via alternate transportation . every morning , head , ask get right money every time . save we lot time planning route . addition , know near store , good pub could walk , could get good quick bite eat . mention room small bed comfortable fresh air every night could open window . sleep like baby . also mention breakfast plain serve smile promptly . choice 3 different cereal , fried egg , sausage bacon , toast marmalade tomatoe sometimes . also orange juice , coffee tea hot chocolate . food prepare well tasty . thing lack fruit . hotel sit area computer high speed internet connection . summary , Ridgemont Hotel great place stay central London family highly recommend . exceptional value warm , helpful staff relaxed atmosphere . 
 May 6 2009 	 Unique Character Hotel 	 love Ridgemount Hotel uniqueness character , lovely welcome atmosphere . hotel family run 46 year . owner welcome helpful query matter one might . staff fantastic wanting make sure enjoy stay ! breakfast traditional english breakfast give good start day plenty great appetite . Ridgemount Hotel impress standard cleanliness - example towel change daily . free internet use access simple cosy lounge much appreciated fellow guest traveller , generosity host show free tea coffee available . also tv lounge guest room . Adjacent Ridgemount Gardens hotel guest welcome enjoy lovely backyard hotel garden . weather god good we plenty splendid blue sky sunshine ! location excellent ; hotel situate within interesting Bloomsbury district . close amenity public transport ( tube bus ) cultural historic site , within good walk distance attractive site London . popular bus route conveniently reach . supermarket near also . first night , initially encounter one problem traffic noise come street . appreciative another room make available we follow day side hotel face garden . thank lovely stay ! 
 Apr 29 2009 	 Best Hotel London 	 love hotel . owner wonderful , people work nice . people , really want enjoy stay . we two room , one twin room two teenager room five , one clean child place play . breakfast great , serve much wanted toast , coffee et cetera . lounge 's free tea coffee internet too . there lot bus pass outside take Covent Garden , Natural History Science Museum . owner tell we buy bus ticket ( £ 7.40 day everyone , anywhere London 's red bus ) .Oxford Street five minute walk away . lot great restaurant nearby , love North Sea Fish restaurant . we definately return next year . 
 Apr 16 2009 	 great value location full breakfast quiet 	 3 minute walk Goodge St metro , quiet room back , room plain high ceiling comfortable bed . basement share full bathroom good tub shower . breakfast full nicely serve . owner friendly helpful , secure location . luxurious great value convenient British Museum , theatre district , metro station . well - wear furniture lounge , will not impress visitor , entertain elsewhere , avoid free machine coffee . 
