Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 oct 9 2009 	 terrific boutique hotel 	 locate heart mid - town Manhattan yet quiet block . great staff , nice continental breakfast . room nice , even though back building , may help make even quieter . elegant , yet comfortable . parking reasonable NYC $ 30 / night . meet curb arrive car valet park we . check , car waiting curb we without ever say word . awesome service , staff know stuff NYC . even able get we ticket sell - out Broadway show ! good trip ever New York ! 
 oct 9 2009 	 lovely hotel capable helpful staff . 	 inclusion breakfast room rate make nice start day . comfortable stay would book hotel . 
 Oct 6 2009 	 great choice 	 afer much research , choose Elysee extended stay New York City . disappointed way . arrive Melbourne , Australia - long haul flight 24 hour , staff extremely kind anticipate accommodate need every way . request room king size bed quiet part hotel 's get . room large bed confortable . breakfast adequate cocktail hour drink lovely touch . day beverage , ' take away ' option add bonus . occasionally , one elevator problematic , ' go territory ' old small hotel . staff professional , always efficient , always greet we whenever leave return hotel . return New York City , would choose Elysee every time . 
 Sep 26 2009 	 great value 	 really enjoy stay hotel . within walking distance many attraction & amp ; subway . stay 4 night partner . service always friendly , helpful yet professional . yes - lift problem - catch way & amp ; go ride not like wait ; ) 
 Sep 23 2009 	 faultless 	 stay 15 night exceptional . nice room , friendly staff , free breakfast three - hour ' happy hour ' free wine cheese ! ( although use ! ) .good location , Bills across road worth pre - meal drink . nowhere well New York . 
 Sep 23 2009 	 great service friendly intimate atmosphere 	 truly boutique hotel french charm . staff helpful , although super - organized show information . breakfast daily happy hour salon nice touch . also accommodate small board room need use conference call room ready . 
 Sep 9 2009 	 high Praise Texas 	 travel NY attend US Open & amp ; stay Hotel Elysee . hotel elegant spacious room ... however , 's service 's remarkable ! friendly staff offer map , give direction recommend excellent restaurant . guest include US Open participant , family member , vacationers Europe & amp ; US . definitely stay next ny visit . 
 Sep 7 2009 	 elegant charming great location 	 daughter ( 18 ) stay 4 night august 2009.the hotel lovely . small hotel , yet big room , lovely bed , lot pillow , elegant clean . breakfast really nice well , serve sort living room type room ( club room ) make something extra special . breakfast choice many could chose whether eat healthy bit & quot ; unhealthy & quot ; . several choice coffee well . club room open day serve coffee , fruit biscuit . never day , every night cheese glass wine include price taste nice . people work polite helpful , personal , like it . location great . 2 minute walk 5 . ave , 5 minute central park Rockefeller Center . Time Square also block away . I read complaint elevator / lift thought could use stair . not aware US hotel allow use stair , actually see elevator - point . always wait . not matter leisure , might bit annoying hurry . thing side AC quite noisy room . but definitely return hotel next time NYC . already recommend several other . 
 Sep 3 2009 	 Fabulous Hotel close 5th Avenue 	 really wonderful hotel locate close fifth avenue . locate fifth avenue park avenue ! great location , also wonderful hotel . upon walk hotel , staff friendly accommodating . room become available us hour normal check period front desk apologize profusely well provide we complimentary bottle wine chocolate . addition , room clean nice . little mini bar , refrigerator , microwave room . addition , wonderful breakfast everyone morning little snack provide afternoon . really great hotel would definitely stay ! ! addition , fabulous little italian restaurant right across street hotel . definitely try one night ! definitely stay hotel ! ! ! : ) 
 Sep 1 2009 	 fantastic place stay NYC 	 return Elysee time 22 month old son . room , staff , service club room facility excellent . hotel staff arrange baby sitter put mind rest travel toddler . hotel personal feel everyone ws helpful friendly . hairdryer room not work replace within minute inform house keeping . staff sort minor issue quickly efficently happy book recommend restaurant take away . fantastic NYC experience thank Elysee lovely friend get marry trip- also stay Elysee . breakfast evening nibble wine club room fantastic . round excellent hotel quality service relax friendly atmosphere . return ! ! 
 Aug 30 2009 	 favorite NYC hotel ! 	 live Asia get NYC year , try stay Elysee . location great , staff friendly welcome back . room charming 's big hotel chain feel . walk mile long hallway wait hour room service . hear Monkey Bar restaurant update can not wait get back October . second floor lounge complimentary breakfast glass wine evening welcome respite noise rush city . 
 Aug 29 2009 	 soundproofing need ! 	 state review , old world feel lovely reception room , primary service hotel provide good night 's sleep . Hotel Elysee invest sound proof window New York city never sleep neither ! room front hotel hear constant noise traffic , truck unload garbage pickup throughout night . air conditioning unit within room also extremely noisy . surprised one mention many review hotel . room back hotel constant noise air conditioning machinery neighboring building well view whatsoever . high expectation stay hotel disappoint . 
 Aug 28 2009 	 nice hotel nothing special 	 hotel expensive area town ( far Rockerfeller Center , Times Square ) . modern clean generally well keep . free breakfast plus , although one seal box cereal full bug racist comment another guest sour experience bit . one computer internet access guest lounge general use . room spacious NY standard dark . airconditione relatively quiet life saver 90 degree outside . although hotel guest access sport center , hotel . guest old us year . 
 Aug 25 2009 	 great location good staff quiet oasis NY ! 	 research hotel online , decide book . great find -- quiet oasis ny . large suite plenty room 2 adult , 1 teen , 1 child . room apartment anything old world style -- beautiful . real NY - feel : doorman whose name know front desk worker guide we restaurant , site , etc . , ask later like . price include breakfast -- real deal convenience . 
 Aug 21 2009 	 absolutely lovely ! ! ! return ! ! ! 	 kick honeymoon Hotel Elysee . beautiful 2 day stay go Mexico . upgrade superior suite large old NYC 1.5 BR co - op . staff lovely , accomodation impeccable . really want take bed home , deliciously comfortable . guest subdue well - mannered . sit room / breakfast area nice . continental breakfast offer nice variety fresh fruit salad , cereal , bread , bake good tea coffee . I fussy traveler easily impress pleased . live NY region certainly return special & quot ; staycation . & quot ; 
 Aug 15 2009 	 another wonderful stay Hotel Elysee 	 4th stay Hotel Elysee last . staff absolutely wonderful . friendly enough . room immaculate quiet . love upscale continental breakfast morning wine , champagne , cheese cracker reception every day 5:00 p.m . back soon ! 
 Aug 11 2009 	 real gem ! 	 beautiful , small elegant hotel . need cover Midtown . staff friendly , yet professional . breakfast well lay , wine cheese . would recommend hotel fussy traveller . the room clean , large . bed comfortable . hotel well keep secret town . sure stay next trip New York . 
 Aug 10 2009 	 Loved hotel ! 	 Location great , staff representative beyond gracious & amp ; accommodate . happen prefer old property personality & amp ; character . want modern everything 100 % sound - proofing , hotel . want feel & amp ; experience small , thoughtful , european - style boutique hotel , look . complementary continental breakfast , newspaper , afternoon snack happy hour save much needed money NYC . 
 Aug 10 2009 	 Great Hotel 	 , , spend three night Elysee Hotel . year back reservation hotel family emergency come cancel booking within 24 hour gracious decide , next trip ny , stay hotel . I travel lot quickly give opinion hotel . arrival - lobby tiny .. concierge front desk staff help .. check quick .. one elevator sometimes wait . room .. get room right next elevator .. talk really right next .. bother noise stay . room small .. air conditioning work repairman room times .. issue .. always come back say would , eventually , fix . tv .. movie channel like hotel .. put tremendous amount heat . internet .. free .. great . bathroom .. small .. remind european hotel .. keep bang head wall everytime get use toilet .. towel nice thick .. amenity OK.Maid Service .. fantastic .. efficient . there nice lounge 2nd floor guest use .. complimentary breakfast ( carb use someone like get quite crowded may place sit ) wine afternoon . nice place sit read time . location hotel .. fabulous .. everything within walk distance . will come back ? absolutely .. info .. good car service JFK .. Golden Class Limo [ -- ] .. $ 50 .. gratuity toll $ 65.50 .. cheapest find .. use 3 time great . 
 Aug 5 2009 	 great New York City experience 	 work NYC 20 year commuter never stay hotel ( friend yes , never hotel ) decide treat teenage daughter 2 night stay daughter take one week intensive class east side . choose Hotel Elysee near school attend great choice . small boutique hotel lot amenity , include breakfast , late afternoon snack wine coffee cookie . since know way around , take advantage concierge front desk , overhear young man desk take excellent care tourist . room large exceptionally clean luckily air conditioning full blast since scorch hot outside . hotel conveniently locate great neighborhood , easy get theater district lot good restaurant east side nearby . daughter class , need work easily get internet access room . issue would raise , small point , claim provide blow dryer room like vacuum hose attach bathroom wall little air come , lady , thick hair like , bring blowdryer . otherwise great find . 
 Jul 28 2009 	 Perfect boutique hotel perfect location ! 	 fabulous one week stay Hotel Elysee April 09 . not big hotel NYC lot character elegance . share twin room mother beautiful comfortable queen size bed . room not huge , be get Manhattan . breakfast simple filling , serve canape 5 pm 8 pm include champagne wine ! also get tea , coffee biscuit throughout day . service fabulous really make feel special . one thing hate hotel one lift incredibly slow , time take 10 minute even get lobby . would highly recommend hotel anyone want central hotel Manhattan class elegance not outrageously expensive . 
 Jul 25 2009 	 Wonderful Staff 	 would not say perfect hotel child , say staff friendly wonderful two small child ( age 2 7 ) make we feel welcome . accompany husband business trip NYC stay hotel 4 night . majority time , thankful many wonderful people assist find activity , child - friendly place eat , get we taxi time need . great continental breakfast every morning , wine hor d'oeuvre throughout day , cookie night . usually staff breakfast room help anything special request ( like warm milk bed ) even help get kid breakfast morning . room small , clean cozy . able walk hotel many attraction . short walk away american Girl Store , F.A.O . Schwartz , Central Park , lot shopping . also walk Central Park go ice - skating , take ride carousel , go horse - draw carriage ride central park . , lovely trip would happy stay Hotel Elysee . 
 Jul 14 2009 	 Friendly Hotel heart mid town 	 stay 7 night Hotel Elysee great vacation . never New York , unsure expect glad welcome friendly accommodate staff . room large expect , much view , not come New York look window . room clean , maybe little tired , obviously attend regularly . fact hair dryer bathroom break arrive , although never complain , fix day later ( obviously one cleaning staff notice make sure take care ) .The thing bit annoyance elevator ; slow , especially busy time , stair accessible another option ( security reason ) .The hotel great location . 10 min walk central park , Rockefeller Centre Times Square , also easy access Subway . hotel also close great restaurant shopping . the Hotel also great lounge area , nice quiet place relax long day touring . we would gladly stay recommend friend . 
 Jul 14 2009 	 Hotel Elysee elegant bustle Manhattan environment . 	 special hotel , elegant , sophisticated spendidly quiet . heart Manhattan , feel yoiu country . breakfast cocktail hour extremely well do relax pleasureable environment . my wife olve hotel plan stay whenever area . covenient access Theater Distric shopping business site , ideally locate Manhattan . Staff attentive , intelligent andattentive well train . have stay several time always unique lovely experience . 
 Jul 13 2009 	 Hotel Elysee calm oasis bustle city 	 great deal research multiple site , choose Hotel Elysee brief visit NYC teenage daughter review positive ideal location sightseeing shopping . first talk pleasant receptionist make phone reservation , helpful attendant curb take bag park car , lovely people reception desk , everyone hotel extremely welcome gracious . room comfortable , spotlessly clean beautifully appoint . cocktail hour offer delicious selection cheese crudités well wine fruit juice , complimentary breakfast everything fresh fruit yogurt cereal muffin croissant cappuccino juice . initially consider stay one large five star hotel , Hotel Elysee turn lovely , quiet retreat step city 's bustle sidewalk . look forward return . place stay NYC . 
 Jul 9 2009 	 lovely small hotel 	 stay Hotel Elysee two consecutive trip New York delight time . room spotless , well - appoint cozy , street quiet one . second stay even large balcony outside room , treat NYC . upper - midtown location great , close enough park morning run afternoon stroll ( close Norma 's case decide mega - breakfast , although free breakfast provide hotel pretty nice ) . service efficient gracious . definitely stay time lucky enough NYC . 
 Jul 7 2009 	 expect 	 review several comment NY hotel web finally decide book 6 day hotel first stop honeymoon . I choose room Queen size bed breakfast find expect : great room , silent -and next elevator- beatiful , helpful staff conforte place rest daytrip . besides , place 54th Madison Avenue , walk distance moma ; subway , Fith Avenue Central Park , ... although cheap , hotel worth price pay come back ny would surely repeat . 
 Jul 5 2009 	 Gracious Staff ; Elegant Setting 	 Location ideal ; staff work make one feel welcome room warm comfortable . 
 Jul 3 2009 	 Exceptional bargain exceptional location expensive city 	 hotel fabulous service orient . understand get high mark . staff exceptionally accommodate friendly . room beautiful well appoint , CLEAN , noisy , manner convenience . particulary fussy accommodation , could find fault hotel . free breakfast luscious diverse . evening wine cheese miss . price , give plush accommodation , prime location , level service , STEAL ! ! location central extensive sightseeing excursion . stay . SandyTexas , USA 
 Jul 2 2009 	 lovely hotel 	 stay Elysee June one night , already book 5 night stay October . relieve find Elysee gem look forward return . reception lobby attractive welcoming , reception staff pleasant efficient , little formal . special mention doorman , delightful . room 7th floor lovely , pretty pale blue white good size bathroom nightly turn - down service . partial view road outside , night usual NYC noise . may find noise dustcart bit much , not mind noise city not bother we . lot trouble find club room , locate find comfortable , nice able help coffee biscuit etc want . breakfast adequate , front desk staff give we excellent advice local restaurant dinner . find lovely hotel would hesitation recommend . 
 Jun 30 2009 	 recommend ! 	 take family vacation NYC see sight , choose hotel base location amenity . loved location , walk distance Central Park , shop 5th Avenue , Rockefeller Center , Times Square , Grand Central Station . course , seem anywhere Manhattan within 15 minute subway .. want away crowd Times Square , yet close everything hotel fit bill . PROS1 ) great location2 ) nice coffee bar / cold breakfast item Club Room , part hotel room cost3 ) wine / snack late afternoon / evening Club Room , also part room cost4 ) staff nice / helpful5 ) overall great valuecons1 ) old hotel , 1 slow elevator2 ) ask extra blanket 4 time 2 day one finally deliver . weird , consider rest service great . ' ve see post .... ? NYC great look forward go back ! also , get chance see & quot ; 9 5 & quot ; Broadway , see ! see fluke not expect much ( want see Wicked Mama Mia ) , LOVED ! 
 Jun 27 2009 	 wonderful small hotel Midtown East 	 Hotel Elysee wonderful hotel . suite delux room clean comfortable . suite quite large - close 600 sf delux room 400 sf . amenity good well - afternoon snack tea coffee club room free bottle water chocolate room . bathroom spacious ( certainly spacious New York ) . front desk helpful knowledgeable . location excellent - East 54th Park Madison . would definitely stay . 
 Jun 26 2009 	 Elevator Smells Musty Burial Vault Great Pyramid . . . 	 rest hotel much well . room trimming ancient . desk chair tiny . tv old . work wireless internet entire stay , despite fact specifically request booking . front desk even temerity suggest , unhelpfully , compute hotel & quot ; business center , & quot ; turn single , small pc desk happy hour lounge , 3 4 people wait line use . go allow get work do . lobby cold , unwelcoming , full breakfast . i.e. , even want bacon egg room , will get hardboile egg bagel ( bring happy hour lounge ) . one poor small - scale NYC hotel stay . 
 Jun 26 2009 	 Beautiful romantic 	 place beautiful . front desk nice way . free happy hour w/ wine cracker nothing special . good hotel ' ve stay definitely worth every cent . great location - esp go event @ MSG . 
 Jun 18 2009 	 NYC hotel bullseye ! 	 almost hate reveal hotel treasure people may mean will not able get another reservation , high quality always promote . 15 floor , 7 room per floor , ideal location ( 54th Madison Park ) . stay March wife double room walkout terrace ( ny ? yes ! ) : good size , comfortable . week take 12 yr old granddaughter stay suite huge living room convertible sofa bedroom , room door privacy . generous continental breakfast afternoon wine / cheese / cracker free lovely lounge 2nd floor . staff friendly , helpful responsive ( clogged sink drain fix hour ) . negative poor lighting bathroom single pc ( oppose 2 3 ) lounge we without laptop , Phones Blackberries . 
 Jun 15 2009 	 Great Hotel Great Location Great Bagels ! 	 return three night stay Hotel Elysee . NYC family wedding choose due 's location TA review . we travel six month old make welcome . facility need , good size room NYC plenty storage baby ' stuff' . the complementary breakfast always well receive , especially wake 5 am ! bagel favourite , ' continental style ' offering available . we not get chance sample cheese wine evening always , talk guest stay miss out . only problem stay loss WiFi day two . shame otherwise 100 % perfect . overall great place stay , hopefully back sometime soon . 
 Jun 11 2009 	 comfy bed lovely staff great location 	 stay week Hotel Elysee whole great experience ! large room really dark view bit claustrophobic - mean view - obscure glass onto must internal yard full air conditioner ! say bed really comfy large staff could not nicer . breakfast great go early , take laptop - queue computer drive mad evening cheese wine lovely affair . Monkey Bar hotel sit bit oddly - not think really share much expect building - prepare bit snobbishness door - ( doorman 's lovely ! ) receptionsist / greeter - tell close 10.45pm another greeter say ok we go - bar not way , shape form closing ! ; run gamut superstyle staff - will glad - really lovely bar - atmospheric.i would not say really boutique hotel - 's comfy well locate though . great base enjoy city ! 
 Jun 10 2009 	 central location reasonably price ( NYC standard ) excellent service 	 get back week - long stay Hotel Elysee . take advantage & quot ; recession special & quot ; book week $ 280 / night . bad ( New York standard , ) get . addition beautiful decor amazingly comfortable bed , additional perk include free wifi , well - than - average continental breakfast ( hot oatmeal , fruit bagel ) afternoon wine cheese soiree ( Mon - Fri ) . staff also first rate . yankee game buy ticket get rain , concierge help we figure option , contact , exchange ticket , etc . ( Thanks Ashley ! ! ) . 's centrally locate , block Central Park , MOMA , Guggenheim Times Square . ' ve go day miss already . will definitely go back . 
 Jun 10 2009 	 wonderful stay ! 	 stay weekend significant could happy staff , location service ! perfect jump spot we explore , close proximity everything want see . recommendation restaurant front desk spot . happy hour friday night great way relax meet guest , staff would walk around offer refill wine glass see empty . continental breakfast also good plentiful . stay deluxe room , find comfortable , clean large nyc standard . bed incredibly comfortable shower pressure amazing ! stay 7th floor room front hotel , never problem street noise . plan return near future ! 
 Jun 2 2009 	 wonderful place celebrate wedding anniversary ! 	 fantastic experience start finish . staff wonderful , daily continental breakfast really great . upgrade lovely suite upon arrival , find chill bottle prosecco chocolate wait room . would stay Hotel Elysee New York minute . hotel nice neighborhood within easy walk distance theater district , Rockefeller Center Central Park . also lunch across street Bill 's , great . wonderful hotel get exactly botique hotel experience hope . highly recommend ! 
 Jun 1 2009 	 good location friendly staff 	 enjoy stay . understand room different . mine large dark . spend time lounge many sofas chair , well library computer . Courtesy happy hour courtesy breakfast great addition stay . nice meet talk people also . stay . 
 May 28 2009 	 great location explore New York 	 comfortable reasonably price hotel one expensive area New York . 's terrific location see good NYC offer : Central Park , MoMA , Metropolitan Museum Art , theatre district , Empire State Building , etc . etc . within easy walk distance . shopping ( ' m ) not get well : Saks , Macy 's , Bloomingdale 's , Cartier , etc within block . subway bus access financial district easy pie , be nice come back quiet side street evening enjoy complimentary wine cheese ( Mon - Fri ) . good continental breakfast also include excellent local bistro neighbourhood not search find good food night . famous Monkey Bar part hotel star - gaze expensive cocktail . great choice leisure trip . 
 May 28 2009 	 plus minus 	 choose Elysee 5 - night stay ny read Tripadvisor report consider load different mid - town hotel . overall pleased choice would stay . location great ; tend walk everywhere also use nearby subway . on plus side , prefer small boutique type hotel fit bill . love club room traditional decor antique sofas . breakfast excellent evening drink cheese really nice able pop cup tea coffee time day evening . not travel laptop also helpful able use computer there . on minus side , room back unpleasant view wall a / c system ( quiet sleep well ) . stay would ask room front . look room certainly bathroom recently refurbish , carpet not seem clean hole bed valance . a / c system ok need put fan quite noisy . room adequate size spacious . unlike hotel ' ve stay US lighting good . also unlike many minimalist hotel room , lot wardrobe space drawer put away clothe belonging . daily bottle water refrigerator nice touch . the reception staff polite efficient although particularly friendly agree another reviewer comment excellent clubroom staff . 
 May 26 2009 	 look steam vent 	 frequent visitor NYC . travel often stay many , many hotel . choose Elysee hundred possible , due Tip Adviser guide book . we book room well advance six day stay . unpleasantly surprised get room . front desk person tell we room back hotel , quiet would street noise problem Manhattan . appeal we . see indeed back hotel , view auditory experience steam vent hotel structure motor . motor noise vent constant ... seriously , constant . room quite dark , poor lighting , well . much ambiance . hot room , air conditioner make loud noise inconsistent rumble . froze stop work try keep run . noisy open window , due motor outside window . would stay summer . our phone work call front desk get dial tone . mattress need replace ... roll middle . note hair dryer & quot ; less & quot ; era . bring . shower wonderful . wireless internet work well . information front desk staff incorrect , yet offer bit arrogance . folk look nice wear great suit . bell staff excellent . room clean cleaning staff great . breakfast ample , good variety , consistently excellent attentive staff . staff club room breakfast serve well ' ve see anywhere . 
 May 25 2009 	 Boutique good Midtown East . 	 lovely hotel perfect location . 10 minute walk GCS Central Park . 6 train around corner Park 53rd make access SoHo , Brooklyn bridge Upper East side breeze . hotel staff personable , courteous helpful . take niece 10th birthday gift waiting arrive quiet room 15th floor . bathroom big , well Manhattan hotel ( least twice size bathroom Roosevelt ) window open view Park Ave . wait hot water , even though 15th floor . love breakfast , fresh fruit salad ( syrup ) , croissant , bagel , muffin , boil egg , etc . Prosecco lovely come & quot ; home & quot ; long day city . niece choice fresh juice love cheese well . great restaurant within 30 second 10 minute ( foot ) lobby ( heel might add ) . one thing would mention minor inconvenience noise A / C make . however , A / c work well , room stay cool slept night . I stay Roosevelt last year even though grand , beautiful Lobby / Foyer , far go . Elysee charm , character relaxed atmosphere guest treat someone , digit . thank lovely stay perfect weather , return . 
 May 19 2009 	 perfect choice ... back . 	 experience Hotel Elysee perfect first phone call make reservation final goodbye leave airport . mother spend four night Elysee last week mother daughter trip check one thing mom 's & quot ; bucket list & quot ; . plan trip eye hotel booking . turn perfect choice we . book double room , spacious two full size bed , large closet marble bathroom . floor 12A though could occasionally hear noise street never distraction . we love ambiance hotel , enjoy breakfast wine hour find entire staff friendly professional . decor attractive bed wonderful . great sleeper general great night sleep comfy bed . true one elevator hotel peak time bit slow , never problem getting need need . find location perfect need . come quite late follow show several night never feel uncomfortable two woman . staff always greet we warmly upon return attentive question need . we enjoy meet fellow traveler lounge day , wonderful mix folk age many country . see child visit , notice several multigenerational group enjoy time together lounge . there number restaurant bar area . make use convenience store across street 's sandwich salad bar , always seem fresh reasonably price . I certainly stay Hotel Elysee , already plan return trip , still much see . Hotel Elysee perfect home base . 
 May 12 2009 	 Exceptional experience 	 mother , sister meet New York annual & quot ; girl weekend . & quot ; stay Hotel Giraffe thoroughly enjoy . time , hear Hotel Elysee completely book . get four lady agree stay challenge . prior visit , must say , hear bit grumbling would one stay small hotel within first minute arrival everyone total awe . service warm , friendly , courteous sincere . arrive welcome like return , value guest . remind favorite hotel Europe . we fly early day able get use one room right away . encourage enjoy breakfast start . room gorgeous comfortable . location give we walk access moma , shopping park . Monkey Bar definitely deserve reputation place . expect mom tell everyone meet Graydon Carter ( gracious ) table beside we . day walk , wonderful go lounge enjoy tea . Friday evening , also enjoy wine cheese heading . breakfast , afternoon snack evening refreshment include room rate ( reasonable ) .The Hotel Elysee much part make weekend treasure memory . 
 may 5 2009 	 good value hotel New York 	 hard believe middle bustle city like New York , room wre quiet comfortable . hotel offer great value money , breakfast wonderful , evening drink ' nibble ' ! great friendly front desk staff could not helpful , especially wife break glass unlike bring spare pair . 
 May 5 2009 	 real oasis bustle New York . 	 book Hotel Elysée tell spend day New York celebrate 40th wedding Anniversary . soon give name receptionist wish we Happy Anniversary tell we time glass champagne cheese – relax start New York trip . Hotel Elysée small New York standard room ( 143 14th floor ) large beautifully furnish also large hallway / come dress area luxurious spotlessly clean bathroom . also terrace over - look 54th street pleasant sit outside free cookie coffee day ' sight seeing . stand small block one - way street 54th street room also fairly quiet . free breakfast daily newspaper relax way start day cocktails hor ' oeuvre ( Monday Friday ) nice go evening . coffee cookie also free day . hotel safe area good position sight see shopping least 4 restaurant across road . staff meet pleasant extremely helpful . website accurate description hotel distance local attraction . great place stay centre New York 5 hotel stay recent trip USA hotel contact we ask enjoy stay . would certainly love stay next visit New York would hesitation recommend anyone look memorable stay New York . 
 may 5 2009 	 wonderful base visit NYC elegant lay - back 	 stay Elysée 8 night attend series opera Met celebrate 30th birthday . want relax time NYC Elysée perfect we . upon arrival receive complimentary upgrade great suite ( # 73 ) , feature living room sofas , armchair desk , bedroom , marble bath , even lovely sunroom . room elegantly furnish quiet . the european breakfast buffet offer daily club - room excellent plentiful staff great job replenish buffet keep everything clean even time get busy . altogether , find Elysée unique combination elegance coziness , time lay - back , definitely romantic place stay NYC , perfectly locate Midtown Manhattan . it be true one elevator wait bit time , fit well lay - back ambience - enter Elysée busy street Manhattan slow , not seem make rush business traveller ( even though free high - speed internet ) , seek buzz , trendy place . we definitely return . 
