Great 	 great hotel . stay room 609 spacious . friendly staff , large room easy access central london ( 25mins tube ) . room hotel could facelift , comfort quality would stay . get good price online book early . stay many London hotel cramp room rude staff professional place 
 stay room food awful ! ! ! ! 	 partner stayed weekend go think hotel nice . room need date , old fashioned furniture style . first be not bother went breakfast food terrible . scramble egg runny , veggy option good good choice food could get . tea coffee cold fruit fresh ! ! ! ! would recomme stay ! ! ! 
 Oct 25 2009 	 promise exterior seriously lack inside 	 stay friend one night & amp ; enough . the room good size , date poorly sound - proof . keep awake night dlr extremely noisy air - con , woken noise construction site next door , clean let room 8 am . pre - book continental breakfast £ 6 per head , consist oily croissant , two cereal , roll process cheese , along horrendous coffee stew tea . this hotel claim four - star rating - ' ve stay two - star accommodation far well . 
 oct 22 2009 	 Nice Hotel nice staff dissapointe discuste duty manager decision tho 	 Dec 2008 10 day Holiday London , brittannia recommend . book cheap line 3 night , treat . impressed front desk staff . get little sleep , due train noise 6.30 til 11.30 pm odd - plus heating / cool system would regulate comfortable level . room spacious enough bath luxurious . last day use health / gym / pool facility downstairs , decide treat tanning booth session ( minimnum 6 odd minute ) . use regular tanning home & amp ; recently return Africa , colour fading .. booth DEF faulty BRAND new bulb pod ... e v e r L B u r N half session . pod new bulb normally warn sign reduce tanning time . Panicked & amp ; rang reception explain , Hotel refuse take responsibility & amp ; duty manager say must allergic reaction - ridiculous use regular tanning . BADLY BURNT / SICK & amp ; need EMERGENCY Hospital attention , get late night - burn take evening become sore . . hour plead explain desk Hotel kind enough phone / book taxi ( expense ) & amp ; printed & quot ; Courtesy & quot ; map near Hospital . even though tell cash leave taxi & amp ; lose area London . desk staff take mobile tel & amp ; say would call later , credit Mb either . female , sick & amp ; Alone Midnight walk lose towards Hosp map . { travel pal last night } return 3 hour later strong coedine pill , medicine & amp ; prescription morning FURIOUS eve ordeal . severe pain , nauseous , shake , body temperature control , & amp ; scare safety foot dark street . Hosp desk staff rung mobile , phone switch hosp . manager even make beg let check later normal morning . middle holiday make alternative plan get straight home , expensive inconvienient say least . 2 week recovery period & amp ; various doctor 's visit - write length Brittannia detail Doctor examine burn skin & amp ; letter proof say use tan booth regularly , etc .... still N reply yet . P.S . morning check , tanning booth open usual , nothing happen . curious see get reply ! ! TOTALLY discuste treatment high class Hotel . 
 Oct 15 2009 	 Fantastic Value Money ! 	 place stay trip see Jersey Boys , trawl internet come across Britannia . get special deal twin room include breakfast honest £ 158 two night two people not expect Ritz . however wrong fact get warm , smiley welcome set theme weekend . I honest give room immediately put ' grr ' frame mind , one right lift one although back waterfront also dlr railway . always travel earplug honest would not problem however never distubance lift railway , due engineering work run Friday evening . three issue room twin bed single one , guess come spoil hotel provide double , shower head ( tiny ) lack lighting ( make - up application ) . everyte pretty much spot - on . we decide eat Friday , book require head Jenny 's Carvery . fantastic helpful , friendly staff one depart Sunday morning ample full english , shake hand say ' it be always sad nice people check ' ! three course £ 15 - excellent ! critiscm lack signage - nothing say three course , food item offer refreshment tea / coffee table not appropriate signage . whole bill drink come £ 40.saturday morning sample breakfast selection , fruit , yoghurt , toast , cereal full English . obviously not ( yoghurt ) excellent . dine Pizzeria Saturday evening - total bill tip starter , main ( include perfectly cook sea bass ) come £ 47 two . disappointment coffee bar later evening , although Baileys cheer ! Sunday enjoy breakfast . ' m look forward stay near future . speak highly enough staff . 's worth mention waiter Pizzeria work several year hotel / catering industry speak volume . big thumb Britannia International - climate financial doom gloom certainly put two big smile ' girl ' face ! on - site parking excellent rate - thank ! 
 Oct 13 2009 	 1st class hotel 	 stay friend Brit . hotel canary wharf , great round hotel , good food room comfortable , good friendly service , would use . 
 Oct 11 2009 	 bad alright stay 	 first thing notice hotel see typical characterless outside inside seem like another world . thought seem odd not bother much although be favourite style . Staff seem alright live ' international ' part name . it be bit hotel ' m use 30min way commute back home , 15 minute tube Central London not issue . bed room pretty horrible sleep , lift fourth floor like try catch public transport ( wait 5 minute 's full get ) . selection restaurant not crash night get good deal price wise.great overall place alright 
 Oct 5 2009 	 great value comfortable . 	 offer upgrade deluxe room extra cost- quick sign courteous staff .. 9th floor room amazing view Thames Canary Wharf . spacious room - nicely decorate pristinely clean . could not ask anything well . wonderful location right next DLR Jubilee Line ( check weekend work closure Jubilee present ) . also within stone 's throw Canary Wharf pier Clipper boat service Westminster , O2 Greenwich .brillant boat service , pricey . good Roamer ticket give day hop travel- even go Thames Barrier Clipper . evening clipper trip dark wonderful- beware ticket expire 10 pm charge time . combined inclusive continental breakfast stay brilliant deal . would reccommend wholeheartedly . put reviews hotel Tripadvisor , experience negative comment post . 
 Sep 29 2009 	 poor quality - tired need update 	 look ' m sorry hotel location everything Canary Wharf ultra modern , clean gleaming , hotel stand like sore thumb moment enter . gaudy kitch - way date tired . the decor room mish mash look incredibly date - mention incredibly odd ( raunchy ! ) artwork . dark wood ornate headboard bizarre print naked man ! bed way way beyond 's sell date feel spring push . bed cheap basic hard pillow . the skirt bed fray crease never straight smooth again . the room clean not smell - view ok noise level well contain . plus point . seriously , go somewhere else option . 
 Sep 26 2009 	 Noisy unfriendly 	 worth price , DLR drive nut , aircon erratic staff could speak basic English . backpack around world never feel uncomfortable place , end put chair door handle . sleazy , pool area staff greasy man revolt . 
 Sep 20 2009 	 great stay - as usual 	 third stay Britannia enjoy occasion . we stay seven night time anything hotel improve since last visit . we arrive 7.15 meet concierge come outside carry case hotel leave come back check 4 pm probably swift check ever many visit London . whilst room fantastic view enjoy previous visit , usual large normal London hotel . as ever spotlessly clean amenity often get in4 * hotel London . we trouser press , iron , iron board even set bathroom scale . our one gripe previous visit breakfast rather chaotic serve staff disintereste . now however breakfast seem serve separate room depend type coach party restaurant themselves . this result we relax continental breakfast light airy room look oblige young waiter . we choice fruit juice , cereal , yoghurt , roll , croissant , toast , cheese cold meat . this comfortable hotel great travel connection practically 's doorstep good see opinion site start reflect go period critical review could never understand . I would hesitation recommend other . 
 Sep 14 2009 	 Nice quiet Clean Part London 	 nicely surprised hotel approach clipper service look bit tatty entrance invite staff courteous . room air condition choice smoke nonsmoke rare day ! ! ! top flor room nice view Thames slight view Canary Wharf O2 . could dress gown room complaint really . transport link quite good dlr , tube service close , also hotel seem chaffeuer service , reasonable rate , use service go Mayfair price black cab ! decent hotel 
 Sep 9 2009 	 tired hotel Tired Traveller 	 stay 1 night bump Radisson NPW , usual haunt . ( grr ) . first impression ok , reception staff ftriendly little slow . top room , walk hit wave depression ( ok tired ) . room gfloomy , outside window noisy air handle unit , decor plain odd , bathroom free stand shower one stoop get ( pet hate ) , minibar ( 4 * ? ! ) room service grim , get sirloin steak think cook 2 hour vinegar . cold beer choice . no iron room , age track someone answer phone send one upgym open till 7 , good business traveller like desk 8 . avoid breakfast , join long checkout queue instead . in summary , avoid place . need complete revamp , decent chef . 
 Sep 7 2009 	 Fantastic Hotel - Penthouse Suite must ! ! 	 book Penthouse Suite boyfriend . booking read review site bite nervous review say hotel bit date room need update . but upon arrive International nothing could wrong . foyer beautiful decoration mean tired date . traditional quite grand . maybe people write bad review prefer trendy , modern minimalist decor hence comment . reception staff could friendly helpful . the penthouse suite stunning . upon enter room iron spiral staircase take suite . living room spacious mahogany sideboard , dine table dresser leather sofas floor ceiling window lead onto private balcony stunning view . bedroom spacious although obviously small living area beautifully decorate stunning view Canary Wharf beyond . bathroom jacuzzi bath big enough two ! location hotel bit far centre London that s want go believe train far away take centre take Thames Clipper fast ferry five minute walk away hotel take different part London would recommend . would highly recommend hotel definately stay . 
 Sep 2 2009 	 good value 	 stay hotel mum 8yr old Nephew two night . reasonable book directly hotel . room fine , three single bed family room , overlook water quite lovely view . room bathroom clean . breakfast include continental walk main place buffet full english . challenge twenty min close time nephew would not get bed ! food lovely , try get hot drink difficult . staff busy seem forget . pool quite cold terrible smell change room , look stay hotel enjoy pool facility really would not reccomend one . overall hotel fine two night , location good , ten min walk tube dockland railway . 
 Aug 29 2009 	 great stay place ! 	 return five day break London friend . hotel book part package idea expect . glad not read review site go . clean , comfortable , staff helpful , bedroom bathroom clean , spacious well equipped . maybe evryone like chandelier - choose decor home , hotel suppose please taste ? not want see hear train tube window - not choose hotel Canary Wharf area right next dlr stop ! would stay , location fantastic slight complaint way tour group shove upstairs way conference room breakfast . 
 Aug 28 2009 	 Britannia International Hotel canary Wharf London 	 come back four - night break London friend . book package coach tour company idea expect impressed ! 's brilliant location , lovely clean hotel , helpful staff , great breakfast . room spotlessly clean bathroom lovely - even bathroom scale ! . since return home check review site believe negativity - although get feel bad one go back year two . speak , August 2009 , absolutely recommend place . not like decor hotel , reviewer ? get choose home . expect hotel please everyone ? not like able see hear train tube - go countryside ! ! slight grouch coach party expect separate sort convert conference room bite less atmospheric main dining room quite bit less choice , although still full brecky . remind maybe we package hol . traveller poor relation ? 
 Aug 24 2009 	 pleasant stay - would definitely go back 	 reading review little dubious booking hotel take gamble certainly pay . pleasant stay room spacious expectation . put double room 10th floor front hotel direction Canada Square wonderful view water . room clean nice en - suite decorate would call non - offensive classic style . bed comfy certainly lumpy per comment . actually good night sleep . People complain thing like chandelier , mirror lifts ornament corridor quite frankly look little thing moan ! ! hotel staff seem friendly helpful enough , hotel certainly not smelly . fact corridor room noticeable fragrance smell they . I agree include continental breakfast pizzeria restaurant quite basic accept freebie be go get banquet . be really happy selection offer choice walk 10 metre across main restaurant pay £ 13.50 per person much big choice breakfast , include full English . not pay extra quite happy basic breakfast cereal , croissant , roll , toast , cheese / conserve , yoghurt juice / tea / coffee . if want good deal make sure search one travel supermarket type website instead book direct hotel . get double room nightly rate £ 59 include breakfast absolute bargain even cheap lot budget type hotel lower star rating breakfast include . base experience would definitely go back hotel . 
 Aug 13 2009 	 many chandelier ! ! 	 hi , read previous review though ' well can not bad ' , mean chandelier be not always bad thing . as get drop hotel thinking , good move , place look pretty darn sweet . reception area , suddenly remind review read , serious chandelier overload ! reception lobby kind victorian theme bad 80 's style ! always gauge hotel long take get check , well one member staff , 7 pm Sunday evening ! wait lift chuckle number chandelier , lift . seriously , remove mirror , ' ve already barber , do not need mirror infront , behind , around , ' ve need remind great hair look side , need see infinate number , get small small peered mirror . out lift , greet strange fat chineese warrior hold sort weapon , oh come , victorian/80 's chineese ornament ! room , twin bed might well double small gap bed . mean friend close friend ! another good guage hotel tv room , well baby antique road show , suprise see Fergison Video Star beneth ! bed hard nail spodge blood sheet , always make good impression ! like bar downstair level water outside . pizza be quite nice , although come olive ask olive easily fix . needless say much doubt stay Britannia Hotel London time soon ! think hotel rephrase hi speed wifi sign well ! thank read . 
 Aug 5 2009 	 EXCELLENT 	 really good service smell good . bed comfy love cable tv really make night , well boyfriend ; ) pool nice clean jacuzee pengte 
 Aug 5 2009 	 see thing not change 3 year 	 partner stay time ago look see current review hotel change time . place come across build initial heyday thw wharf run money . we stay two night staff unhelpful , tray leave outside room first night still leave . room shabby mini bar . ask whent restaurant close tell close order . great think food poor room service well . it be hard believe 4 star compare nearby hotel . one avoid . 
 Aug 3 2009 	 pleasantly surprised ! 	 stay hotel 1 night go gig nearby O2 . kind expect basic hotel due reading review , pleasantly surprised . sure hotel bit date bit shabby location Canary Wharf O2 along resonable price make great choice . room big expect good single room , except bed bit hard ( 1 night ok ) . not eat hotel use pool fairly decent facility . staff helpful enough . sure would stay visit central London , would recommend concert - goer look place kip gig ! ! 
 Aug 1 2009 	 excellent stay ! must defend hotel 	 read review people feel must defend hotel . myself wife stay hotel new year break package 2008 way fault . standard way low would first person complain review people totally unfair hotel staff unless something drastic happen last seven month . anyway room excellent can not remember number spiral staircase room door bedroom patio door onto balcony could see Thames - excellent clean need . next food much want eat sometimes chef would come round table ask everything okay -a nice touch . staff general good pleasent -thinke back talk hotel ! definately going stay new year 
 Jul 27 2009 	 LONDON DOCKLANDS MAGIC . 	 stay 2 night husband , hotel grand foyer din room tired need revamp . table make wood not table covering look rather grubby , set great actually overlook water . room clean date , view GREAT seventh floor , overlook dock 2 arena , dockland light railway , canary wharf . food good plentiful , commplimentory bathroom goody , tea make facility , bed leave lot desire , lumpy . location fabulous 5 minute walk underground light railway . love water train make letdown me.would definately stay . 10 minute town underground light railway , buy day ticket good value.we take open top bus also include trip river either geenwich westminster jack ripper walking tour £ 24.00 excellent value . 
 Jul 25 2009 	 excellent service accommodation hotel provide fantastic value 	 Despondent , read many negative comment hotel , arrive part bus tour Scotland , expect grubby noisy surrounding . delight , quickly realise treat four pleasant night . ask quiet , single room find , without fuss arrival , give tenth floor , overlook Thames . bed comfortable , although light sleeper , sleep well . room en suite spotless attentively attend housekeeping every morning ; buffet breakfast dinner offer wide choice restaurant , look Canary Wharf ( indeed , sit window , feel though sea ! ) ; staff particularly helpful pleasant . question treat second - class citizen bus trip . independent traveller need fear , since , although lot group stay hotel , seem separate restaurant accommodation , although certain . hotel ideally situate London , since close Canary Wharf Tube Station Docklands Light Railway . take twenty minute reach hotel National Theatre South Bank time Greenwich Maritime Museum DLR . day ticket cost £ 5.60 . , please , put complaint ; not understand anyone could find fault hotel . 
 Jul 14 2009 	 bad left day early despite pay full 	 staff ignore guest fine art , breakfast pure slop shower room mere trickle , room stuffy noisy , hotel bite dirty side , good thing concierge always pleasant 
 Jul 7 2009 	 hmm ... old smelly 	 ' ve nice hotel time ... definitely not one . stay one night ( thankfully ) . get , reason not room book ... annoying . finally get room , decorate old fashioned way ( style ) old smell . not far canary wharf probably good thing . not impressed ... not think would stay . maybe ' m little bit harsh ... good enough night really would not want stay bit long . become bit snob come hotel well ! 
 Jul 6 2009 	 4 star 	 stay hotel , expect anything . room less clean , one dirty towel , two dirty pillow sheet . Breakfast ( continental ) basic ( bun & amp ; croissant marmalade , cereal , orange juice coffe / tea ) .definitely okay want sleep . 
 Jun 16 2009 	 Fine Hotel 	 stay 4 nght April . read review page concerned think people like complain . room big expect , bathrom clean , furnishing good condition , breakfast plentiful lot choice . walk Canary Wharf close thought may . prepurchase Travelcard cheap get around . stay expensive hotel close city centre trip Europe nowhere near good one . on downside find everywhere UK overheat exception . 
 Jun 13 2009 	 great view nice place stay 	 although show age stay hotel enjoyable . close Londons tourist attraction . bar facility quiet enjoyable Chill hustle bustle . staff attentive credit hotel . word wise 90 Pound cab fare heathrow . 
 Jun 11 2009 	 SOMEWHERE LAY HEAD ! ! ! 	 want tour London day need place rest head day journey , Hotel . be exactly 6 night stay London . hotel pretty much everyone say , three star hotel good , bed greatest - you feel spring poke body , room could measure use face lift . friend ask another mattress provide one day . bathroom decent , shower probably good aspect entire room . room smal guess expect . one problem , sink would drain second day . housekeeping fix problem time return room later evening . really not much interaction staff , little go relatively well , coplaint . hotel far Tube either cab ride airport hotel cost 40 pound , way much . end take series train airport return journey home . take hour half 4 - 5 different train , well worth spend 40pounds cab . stay hotel visitt London though . 's ok hotel , not require one extend stay . 
 Jun 10 2009 	 first trip london 	 book weekend superbreak pay £ 180 2 us 2 night rail ticket superb value money . the hotel dockland clean spacious food be not great ok time . we go see britney spear even though DLR be not work rail replacement service superb within hour back within 45mins without single problem . I think London transport system fantastic long wait train 8mins . we tourist spot do not enough hour day see everythingI love London can not wait go back 
 Jun 2 2009 	 bit old fashion - need update ! ! ! 	 stay 1 night go O2 watch concert , term location fairly good , although come tube Canary Wharf would not really want lug suitcase still 10 minute walk station across bridge carpark ! ! ! foyer grand old fashioned , green chandelier , bar lobby area quite nice . we upgrade superior suite £ 20 say 1 day special , sure . quite frankly really worth £ 20 . room big look like 70 's sit room even though nice view communal balcony shock random man walk past ! ! ! open door spiral staircase take room , suitcase would happy , bad enough drink ! ! breakfast leave early not think would ' ve miss much . all good budget hotel stay maybe couple night max , . 
 Jun 1 2009 	 stunning view ! 	 great deal ( £ 58 2 , inc . excellent continental breakfast . ) view 6th floor room wonderful- across Heron Dock Dome . staff pleasant , room clean . 1 drawback- near bye Underground closed moment ( May 09 ) 
 May 31 2009 	 Definately 4 Star ! ! 	 start ? well booking , request room first third floor husband elevator . check give room 8th floor . tell room first 6th floor twin bed could move together smoke room . meanwhile notice room two twin bed push together ! hotel need put money refurbish ..... tired looking . bathroom peel paint ceiling , toilet flusher attach wall loose tap must gold color scatchy look silver brown . we uncomfortable sleep spring mattress stick rib hear train go evening early morning . notice window miss screw open top . inform Front Desk problem mattress window . send someone fix window . first going switch we another room suddenly another room . ask second duvet make mattress comfortable sleeping return evening , give we blanket closet . friend give we blanket room lift sheet put blanket , appaule see . mattress wear , stained side fall apart . friend take picture camera hopefully post comment & quot ; would not let dog sleep mattress ! & quot ; not expect much continental breakfast .... consist cereal , croissant bun . difficult time get someone give we cream coffee .... none staff accomodate attentive customer need . ( little note ..... visit friend UK Canada stay see sight London . open minded , feel intrusion staff , none seem excited work hotel ) . Front Desk staff pleasant speak .... ( usually get smile & quot ; help & quot ; approach front desk .... hotel ) .... somber stodgy employee ! ! second night talk barman seem unhappy working , ask like job . response & quot ; course & quot ; . apparently aspire polish guy get job field UK write English good lowered job Barman . time get smile give nice tip . think way get show little enthusiasm life would light fire butt . I think cover pretty much experience hotel . would go back .... way .... would recommend friend .... way .... would recommend enemy .... DEFINATELY ! ! ( get even ) anyway .... take advise .... not .... want make sure people advise experience make decision . sure put money charge room upgrade Hotel may one day hotel ..... would stay clear ! ! Nora WhiteCambridge , Ontaro Canada 
 May 29 2009 	 be desperate ! 	 husband stay last night . room temperature 25C ! absolutely roast night . try use tempurature contol room low temperature not work . able get 4 hour sleep hot . hotel offer facility smoker , want cigarette literally get completely dress , go front hotel , past drop point entrance stand pavement . be smoker , definitely stay another hotel treat dignity . sum , hotel 7:30 , decide would rather go sit Paddington Station 3 hour wait train home , stay hotel . decor date , price astronomical another concert O2 October , book hotel room different hotel ! 
 May 27 2009 	 - 	 great student hostel business forget . hotel 's heyday 15 year ago hotel close Canary Wharf . tired , wear desperately ready makeover . although room service staff polite helpful rest staff wipe . particularly teenager behind bar spa ( break trade description act ) speak rudely nearly check . could give whole list unpleasant experience hotel 4 night will not . however , student , hotel full - 's great place hang . reason not check Trip Advisor - big mistake . 
 May 19 2009 	 real problem . 	 stay wife 3 night middle May . the main reason visit sightseeing catch show two . I usually check tripadvisor book hotel ' m doubt err side caution book badly review hotel . occasion daughter travel agent say send people adverse comment bother check first . ' m glad not not think would book read recent review . I find hotel clean tidy . reception staff efficient check without problem . room although massive , perfectly adequate also clean appear need refurbishment etc report previously . everthing good state repair etc . iron board , hairdryer trouser press although use hairdryer . travel tourist tend use hotel sleep possibly meal two size room major factor I . the bar staff also polite although bit slow side . also think price expensive even London . the real minus point think breakfast expensive side ( £ 13.50 p.p . ) bother . simply get something eat shopping area Canary Wharf much reasonable . also would nice something room tell we time bar / restaurant open along idea price . the factor would probably put stop within control hotel anyone else come . think bit far away main tourist area central London . find take 30 - 60 minute get want . despite fact two tube / dlr station within 5 minute hotel . doubt perfectly place O2 business Canary Wharf area . say outside control hotel minus point stay . reflect comment location score . 
 may 11 2009 	 absolutely fine ! ! ! ! ! ! ! 	 ' ve never write review , want hotel people , like book hotel & amp ; read awful review & amp ; start panic let ! ' ve come back stay hotel friend want close O2 arena & amp ; absolutley fine . whilst agree not 4 * hotel anymore , room large ( triple room ) , clean bedding & amp ; towel , tea / coffee make facility biscuit & amp ; bathroom adequate decent shower pressure . check - in doddle & amp ; reception staff seem nice . having stay sort understand point make : - yes room quite warm & amp ; air con not seem lot , yes hear tube ( book hotel right next tube station really expect ! ! ) & amp ; yes room kitsch , overall price & amp ; location good . if want hotel near O2 fair price , would definatley stay . 
 may 11 2009 	 awsome nice place 	 Britannia nice hotel high privacy peace.you enjoy , staff really supoortive need take care belong cleaning staff external . 
 May 5 2009 	 great room lounge area restaurant bar open late good service . 	 travel large group high school student hotel . would recommend large room bath , large lobby lounge . restaurant bar open 2:00 food beverage hotel easily access tube , far enough London center student could leave hotel night . could convene lobby area card socialize . for adult , lounge situate Thames floor ceiling window take advantage beautiful view . many room river view . Breakfast continental yogurt fruit addition croissant roll , ham , cheese cereal , milk juice . a good hotel great amenity . entrance RER 1 - 2 minute walk , easy access area London center location . I would compare hotel Radisson Marriott USA . 
 May 5 2009 	 Tired wear awful food 	 travel London see Tina Turner o2 look trip advisor site book . wish check . hotel desperate need refurb although offer room upgrade compensate general grubby wear feel . bath dirty crack tub fix tape ! ! ! room really odd aroma . on booking offer upgrade extra £ 30 include breakfast say worth . breakfast stone cold query restaraunt manager advise someone turn heater food cabinet food cold . patently untrue stand next cheff bring call fresh food counter already cold indedible . interestingly book several people complain breakfast well . as far accesssibility main attrraction , Thames Clipper Service five minute walk river give great access main attraction include 02 definitely good way get . go boat book return ticket 02 soon arrive avoid quee afterwards . my advice would find somewhere else stay definitely avoid hotel , wish . 
 May 4 2009 	 check tripadviser FIRST ! ! ! 	 start ? one bad hotel worst stay long time . sorry not check Trip Adviser booking would saved wife lot aggravation . yes near O2 report favourably . room clean wear 10 year ago . ask front desk refurbish room give 819 . update version - granny one legged circus performer . room stuffy , air conditioning not work , bed squeak move little finger almost impossible get decent sleep . food not bad feature level service poor . one staff - grumpy blonde East European would take half hour bring fresh tea table . ask manager we . whoever own place ashamed impression give Britain european visitor use . appear manager read review seem apology action occur . would never ever stay even get free ! 
 May 4 2009 	 Book elsewhere ! 	 joke , hotel poor ! bath could use , staff could bother ! health facitilie work , broken window ! ! need major refurb ! ! waste money ! ! 
 Apr 28 2009 	 stay 	 Booked hotel & quot ; Hotels near O2 Arena & quot ; site . room like 19th c Boudoir . horrible decor , rip & amp ; sun - bleach hideous net curtain , broken bath , plug sink , mini bar etc . dockland Light Railway rumble past window . DESPERATELY need REFURBISHMENT . possibly call 4 Star ? ? good location O2 - 1 stop away tube . take Thames Clipper Canary Wharf pier O2 pier - pleasant way travel . HOTEL DISAPPOINTING - especially since travel far get . 
