get 	 location convenient provide real experience Old Delhi . staff helpful free transfer arrange airport . the hotel basic . room clean , damp , thing promise include air conditioning television ( hot water though ) .The roof top restaurant pretty look food good , great value friendly service - ' open 24hrs nice 2 am arrival welcome . we use Ananda Hotel base explore Delhi independently - ' spend much time hotel ' use expensive hotel travel agent . bear mind price facility , think hotel good value acceptable budget traveller choice – time book rate half hotel Connaught Place area Delhi . 
 Sep 6 2009 	 ok hotel OK service 	 stay night catch early morning flight . stay Ananda fine , room hotel clean , way average India . rebuild reception area lift not work . give promise rate ( confirm phone ) , issue extra taxis charge . however encounter lot problem extra service request - ask book cab day try charge 100 r going rate . neogitate think fine . however driver rather nasty , always try make extra buck , try ask parking money lot & quot ; free parking & quot ; sign . keep go whole day tell unless stop simply get car pay . , not really Ananda 's fault , wel , responsible choose partner ensure stick acceptable standard.2nd thing totally annoying ask taxi airport , try offer taxi service , decline clearly state want standard pay - as - you - go cab . think everything ok walk outside door 6 te morning realize call cab want charge inflated price . almost lose - ask call normal cab , say , cab still wait , probably think pressed time jump swallow cost . bit wait , get annoy hail first autorickshaw see . price 1/4th offering . normal cab would around half . obviously not interested satisfy guest want make extra money I . I would probably stay Delhi day , certainly much long . 
 Aug 28 2009 	 bad hotel 	 personal experience hotel bad , hotel dirty staff bad greedy always make extra money tourist . charge many hidden mention taxis . I truly never recommend tourist 
 Aug 20 2009 	 relatively clean quiet 	 ' m visit India month stay 1 night short unexpected work trip Jaipur Delhi . originally want stay Ginger hotel Ananda available space find . review look good price fine boyfriend take deluxe room give we low price state website . room 's power go put key slot bit hot first ( loud ) a.c . cool nicely room bathroom large sanitize . appreciate western toilet change . shower cold hot day not mind . room fairly clean , mark bed sheet bearable ( small black mark look like ink ) . under - sheet fasten mattress slip bit . area karol bargh fun explore market far sight . rickshaw available right away though . sensitive stomach eat raita naan hotel kitchen tasty clean . good free wi - fi also . nearby temple bell wake early morning hotel basically empty , people work efficient nice , room feel comfortably clean simple despite slightly mark bedsheet slightly grey towel . India , Delhi particular , good find reliable place spend night . 
 Aug 20 2009 	 well first glimpse nothing great 	 ok . first hotel fine . stay visit New Delhi , be close metro station Krol Bagh , 10 minute Connaught Place 3 wheel taxi cost 100 rupee bad day 40 persist little . hotel dirty , clean either , let say bit dingy . first reaction arrive airport website sure look good , reality 2 notch low . area busy market also immediate street around hotel illuminated night , make little nervous come back night . , not know robbery happen area sure stay 7 night hotel remember see police man take statement couple foreign traveler kind incident least twice week . market nearby interesting , see could find home , busy market area , 5 am noise street would wake , try go sleep early . also hotel bit construction site , instal elevator , look like progress slow , moment stair . offer breakfast rooftop , sound fabulous rooftop well another construction site pile debris brick , pipe cement know else . rooftop also & quot ; restaurant & quot ; reality kind open air lean - to . first breakfast rooftop , never return , 's place nearby offer good reasonable breakfast option . as room , A / c great . would return late afternoon day , soak perspiration immediately enter room , turn A / c jump shower . one reason never experience hot water hotel . cold less cold , come street good moment shower . towel , suppose white , day three room would examine one , one one look less stain almost clean towel . usually could find one acceptable . the bad part visit Ananda Hotel checkout . offer rate 1980 rupee per night deluxe room . checkout want charge 2200 rupee . luckily email confirm rate . also gentleman counter try tell stay 8 night , count night together finger 3 time finally realize 7 night . order taxi hotel take airport , cost 350 rupee . one block hotel , taxi break . jump , start flag another one . jar uncomfortable ride India , think 3 wheeler would well . good thing hotel free wifi internet . 
 Aug 4 2009 	 good home base 	 stay 3 night upon arrival India . comfortoble room spacious bathroom . everything clean function properly . staff immediatly put two extra matresse small childeren . room service cater quick , food tasty , plenty expensive Delhi standard . owner hotel helpfull work travelplan transportissue . , good home base travel Northern India . 
 Jul 25 2009 	 relax stay Ananda Hotel 	 booking via venere.com successful first try . the staff friendly & amp ; helpful room clean , although elevator exchange not hear room . the location centre easy reachable via tuck tuck etc . Jessa Ram Hospital ( Karol Bagh ) know hotel 300 m away it . it really nice stay Ananda recommend . 
 Jul 8 2009 	 cool quiet Place Business People Bustling Market Karol Bagh 	 happy hospitality room service kind privacy offer . since travel business purpose say staff cordial client also never object continuous arrival client . plus point parking , ample parking place every one know Karol Bagh crowd place good parking exception . would definitlely recommend hotel business people , offer great value money . 
 Jun 29 2009 	 clean great food friendly / helpful staff 	 read quite review various hotel Delhi decide opt one review appear extremely positive . also price wise one cheap option . much friend delight live 's review reputation clean hotel extremely friendly staff . promise taxi wait us airport free charge say quality food restaurant impressive . happen one manager also tour agent make great selling point hotel honestly tight timeline genuinely make thing whole lot easy . 
 Jun 24 2009 	 Ananda oasis 	 Ananda oasis middle bustle city thing grateful include courteous , highly professional staff , impeccably clean bathroom steam hot water internet access . lobby room distinctive sense style enjoy stay Ananda . 
 Jun 23 2009 	 Excellent service great value highly recommend hotel 	 experience Hotel Ananda exceptional . service outstanding - hotel arrange airport pick - up , staff friendly helpful anytime need anything , willing help . room clean comfortable great price . hotel even wi - fi ! really can not say enough staff hotel . like among family definitely recommend hotel . 
 Jun 16 2009 	 clean simple friendly 	 room luxurious definitely basic , good bed , spacious bathroom clean . stay two night , night warm water , air - conditioning work well . request hotel arrange airport pick , complimentary . staff helpful friendly . location good , much traffic , easy ride tuk - tuk ' centre ' metro station around corner . ' mind breakfast bed ( breakfast room breakfast serve room , time request ) look friendly clean place stay hotel offer good value money , especially Delhi . 
 May 9 2009 	 fantastic stay ananda 	 hotel ananda newly build hotel seem , new amenity . all late facility , like wi - fi , 24 hour hot water , courteous staff24 hour food facility.we personal function Delhi , book hotel relative friend , come India enjoy lot , that s review get relative . so , say place worth stay spend hard earnest money . money wise also cheap best.my good wish Ananda staff . thank 
 Apr 30 2009 	 Friendly relaxed environment 	 visit India family want clean reasonably price hotel . first visit India wife 3 kid therefore want trouble - free hotel cater need . could ask . location good , 35 minute Airport 15 minute New Delhi Railway Station car . room clean spacious . suite room deluxe room . staff friendly helpful . computer reception kid allow use . room service good prompt . for stay Delhi hire driver therefore use public transport nearby . if travel hotel , mention landmark hospital hotel 's address . 
 Apr 3 2009 	 quiet clean place buzz capital india 	 stay ananda hotel 2 days.as travel india lot know hotel like.but surprise one . enjoy stay.the room clean , big comfortable.nice bathtube big windows.the staff friendly service excellent.the hotel situate one delhis shopping area - karol bagh.and metro station walk distance.i happy hotel recommend anybody travel india look hotel.enjoy trip india.its amazing place . 
