well 	 stay Priceline rate good experience . first , put 32nd floor one good view Montreal ' ve . ( we Priceline regular usually expect something low floor view parking lot . ) second , bed fantastic . third , right top Metro . yes , room date lobby seem bit fuddy - duddy be 40 . overall , would mind stay . 
 Aug 11 2009 	 great hotel heart city 	 price right , can not beat hotel . ' ve notice pricing place vary wildly , sometimes get well deal nice hotel , often hotel offer good bang buck . first , location phenominal . right top metro , easy walk St. Catherine / Sherbrooke street , easy walk nightlife Crescent ( go listen friend solstice play Hurleys ! ) , Old Montreal / Lower Plateau even walkable nice day ( quick ride metro ) . room nice , thing tad date well keep clean . bed comfortable . staff always nice , especially concierge . 
 Aug 3 2009 	 nothing wrong hotel 	 reading review hotel , bit hesitant stay . go prove can not satisfy everyone . nothing wrong hotel ! travel quite bit like stay nice place afford . $ 129 travelzoo , hotel well worth money . wonderful view 31st floor room , comfy king size bed , problem noise . try restaurant , although bit pricey budget , menu look fantastic . idea anyone would say lobby look & quot ; tired & quot ; ? ? immaculate , staff friendly helpful also . would hesitate stay long get another great deal like . another major plus : metro run directly hotel , make get around super easy . especially nice rainy day . 
 Aug 1 2009 	 age good value convenient 	 hotel show age bit recession cost - cutting . two stay duration 1 day 3 day . prefer stay downtown short walk old town . room date , furniture scratch , non - working & quot ; free & quot ; internet , noisy door slam shut , crack sink . main big plus hotel Bonaventure Metro access directly lobby , short underground walk train station underground Montreal . plus price bit hotel class convenience . service excellent concierge lounge , enjoy good cont . breakfast - ample varied ( fruit , meat , cheese , lox etc ) . hotel staff apparently well aware poor / non - existent wireless internet connection . excuse aplenty , may internet service free Marriott . find room ethernet / T1 connection , work fine change location . sure request one room need web connection . Withoutthe internet hassle , would rank service 4 . nearby restaurant note , short metro ride Sherbrooke Station take two favs - L'Express Pied de Cochon . bike Montreal urban marvel good way learn city 's layout . biker beginner , get Ça Roule Montréal Old Port , 27 de la Commune East . plenty flat hilly option . 
 Jul 30 2009 	 great view ... outdate 	 hotel build EXPO67 ( say plaque front ) . look though try update common area , have not give much thought update room . would not stay get great deal Travelzoo ( 150CAD / night inc . taxis / fee ) . room otherwise spacious clean . Front desk friendly - find bellman pushy though ( soon pull , take bag trunk - option park front hotel , check ) . close hussle bussle downtown , loud . 
 Jul 21 2009 	 outdate need remodeling 	 pay stay , disappointed . room outdate major renovation room need here . we man try get room 2:30 morning . call front desk , tell we every weekend get confused room be . eat buffet breakfast hotel restaurant good . 
 Jul 19 2009 	 good hotel central location 	 good attentive check . room fine , spacious clean . bathroom little tired , otherwise good . service good staff meet smile attentive . good value would recommend location . 
 Jul 18 2009 	 Excellent Location Great Service 	 arrival , email hotel confirm reservation request room [ 4 room 15 family member together ] close Herve Lecault [ Reservations ] take care .We happy room almost next . want Quebec City tour arrange , email concierge day arrival Pierrette Page [ Concierge ] take care . People front desk , Bell Boys , etc ... helpful . location hotel walking distance everything . block St. Catherine Street [ major shopping , restaurant area ] , 20 - 30 min . walk Old Montreal , Notre Dame Basilica Chinatown . Access Underground City Metro right behind Concierge desk . decent swimming pool fitness center . room clean great bed / linen . we be happy take 12 - hr Quebec City tour . well worth $ 70 [ per person ] pay . 3 hr bus ride way Montreal . Quebec City pretty rich culture . 's must see . Old Montreal another one not want miss . recommend take Montreal City tour first day pick place need go back follow day stay . eat Montreal expensive unlike Toronto , take Canadian $ . not exchange money airport , go Old Montreal Downtown Montreal get good deal . regard restaurant : Guido & amp ; Angelina [ italian ] decent food 3 Brasseurs Old Montreal Alexandre [ French ] Peel Street one restaurant avoid - food mediocre , expensive service slow . for souvenir shopping , 's plenty shop Old Montreal area , especially one close Notre Dame Basilica . even find Quebec City item place . we great time plan go back ... 
 Jul 17 2009 	 Great Time 	 go group 6 . great time . concierge helpful print map ask get certain place . breakfast restaurant never try nice restaurant . conveniently locate never run thing . sure visit Quebec City . even beautiful Montreal . go train pay $ 134.00 per person . seem little steep might less expensive way go . three hour trip well worth ! shop Quebec extraordinary ! can not say anything negative hotel . nice . people friendly would hesitate go back . 16th floor really neat view pretty building area . friend awesome view St. Lawrence River . take double decker bus tour .... relatively cheap interesting . 
 Jul 11 2009 	 Old 	 soon get lobby start thinking & quot ; pick hotel . & quot ; hotel need lot remodel . carpet hallway room dirty , desk chair inside room shinny dirt bathroom look like not renovate least 30 year . tv inside room old channel . go sheet bed , hole washing use . breakfast super expensive believe worth . highlight hotel location , price worth . try Hilton InterContinental well choice . 
 Jul 8 2009 	 service expect ! 	 stay hotel 4th July weekend 2009 , fiancé another couple . check tell we double bed room available stay one bed room ask cot . walk room someone else 's thing already , call change room quickly . second room 's bathtub clog water would not go drain . switch double room second night . day leaving call ask car park Valet , wait outside 45 minute finally ask valet clerk car , tell we & quot ; never receive call & quot ; , obvious lack communication operator valet clerk ( also housekeep front desk room give we already book ) . location hotel great though , able leave car park walk everywhere take metro . excited stay hotel disappoint , not likely stay . sorry take picture hotel . 
 Jul 7 2009 	 Nice Marriott - good access Montreal 	 return great trip Canada . five eight night Montreal Marriott . upgrade 31st floor spectacular lofty view city ( Wife stay lot Marriotts ) busy Marriott , another reviewer recently note - host high school function , make even busy . Access downtown Montreal great Marriott - Metro station directly underneath , get & quot ; underground & quot ; Metro station . fact , traveller really want know get back Marriott underground , would recommend start Marriott instead try find way back somewhere else city ! great so - so service staff hotel . concierge generally friendly ( bilingual ) , encounter one & quot ; L'attitude & quot ; . seem busy help . flip side , server restaurant one morning fantastic . Montreal Canada Day ( July 1st ) enjoy wonderful canadian festivity , include great parade . montreal local meet super friendly . see gargantuan botanical gardens insectarium - fun interesting . also bring rollerblade hear good biking / rollerblade city . go I'sle Notre Dame formula one track via twice visit rollerblading . first time skate waterfront along LaChine Canal trail - mistake trail rather hazardous blade ( would fine bike ) . pavement uneven section bridge downright dangerous . find take Metro to / from island way go . board right Marriott Orange line , switch yellow line 's next stop . 30 minute ride include switch train . rollerblading track unique experience - ' ve get careful biker blaze past . Montreal Casino island - probably clean Casino ' ve ever see , inside outside . not think smoking permit . garden outside Casino immaculate . also go Montreal Jazz Festival vist run first two week July . see Jamie Cullum Chris Botti La Place des Arts . concert great . free concert fine - although prepared stand . FYI - Place des Arts accessible via Metro underground weather not good . we eat several restaurant stay . 3 Brassileurs ( ? ) restaurant around town dependable lunch spot many cafe old city . also eat one night La Montee ( de Lait ) much expensive ever imagine little food . presentation elegant probably one trendy restuarant ' ve ever visit . general prepared spend $ 60 - $ 80 usd inexpensive meal restaurant town , $ 120 - $ 200 ( ) really swank place . this Marriott old Marriott , seem , busy summer . 
 Jul 3 2009 	 Ordinary 	 ' m read enthusiastic review wonder be talk hotel .. hotel ok , major issue , would probably stay . first stay May - June - July aware hotel host high - school graduation party . , loud . vibration music much able sleep , wait party . fortunately every night like . room quite small hotel . 's bit hard explain room layout bit particular . small area bathroom bedroom miror space store suitcase . nice eat valuable room space . water stain ceiling -- big deal . ridiculously price parking . bad . good location . nice view . comfortable bed . pleased staff also . 
 Jun 22 2009 	 bad ... 	 Decent overall . pro : view , location , bed , valuecon : item room old need upgrade : showerhead , tv , etc . credit , call front desk ask service , respond quickly well . 
 may 27 2009 	 good four star 	 ' ve stay memorial day weekend friend . pro : location - close St. Catherine old twonMetro stop right hotelFree WifiView Room - especially high floorservice - problem , excellentvaluevery quiet nightcon : generic feel ( like hotel chain ) one clean towel & quot ; burn mark & quot ; know mean , ok could happen anyoneroom bit small usualtoo many kid around poolThe hotel bit generic 3 * hotel feel . bad , nothing special , little character . quiet honest , ' ve stay Courtyard Marriott Montreal similar term luxury . reason ' ve book dodge drunk college kid , instead get stick family little child play pool senior citizen . I recommend hotel , next time probably look boutique hotel . Free Wifi nice , park $ 24 ( valet ) $ 18 / night garage . 
 may 25 2009 	 Excellent location 	 recently stay hotel three night , memorial day weekend . get good rate use AAA discount Marriott web site . large window overlook city fantastic give room large feel ; course high floor help . we certainly like fact finally hotel decide include internet access part room rate . hotel decent size pool , kid enjoy , available float warm water temperature . also nice workout room hot tub . this hotel close St Catherine street number excellent restaurant ( try ShoDan Le Taj ) . central station metro also right , fact metro underneath hotel . the staff extremely pleasant hotel fast service ever . call thing room service house - keeping pronto . overall , excellent stay , close attraction well worth money . 
 May 1 2009 	 excellent stay ! 	 ' m give hotel 5 star not anything negative say ! stay 16th floor room 2 double bed . not room much big enough 4 girl , luggage , shopping bag ! think nice 3 chair room - 1 desk 2 small table . often 's 1 chair , none . bed extremely comfortable . good part & quot ; dress room & quot ; outside bathroom . 's full length mirror , closet , drawer shut slat door close area rest bedroom . the staff friendly helpful . excellent bellman ( think name Patrice ) give we great shopping advice . buffet breakfast morning staff also friendly . have Metro station underneath hotel also convenient . parking bit pricey ( $ 18 / night ) expect downtown Montreal . block St. Catherine Crescent street nice . overall happy hotel would stay . will point room breakfast free can not comment value money since not pay anything . say , would pay stay base service receive . 
 Apr 27 2009 	 Nice hotel good location near Bell Centre 	 last February go Montréal attend one Céline Dion 's show take Changes World tour . ' ve always want go Canada seem nice way spend couple day lovely country . couple week traveldate notice decent fare belgian travelagency ( Connections ) . flight less 400 EUR return could not let slip . agency also decent load hotel Montréal read actually end book Marriot Chateau Champlain . hotel locate across Bell Centre reach underground passage directly Hotel . the staff hotel friendly although first thought try rip . check ask security deposit , agree onto deposit 200 cad quite reasonable . book cheap rate could find , less 80 EUR per night 4 star hotel . desk ask room available view ( know originally locate one first floor ground ) . end 31st floor nice view Montréal ( bad weather not nice ) . find minibar lock . back counter ask another security deposit use key ... another 100 CAD key give ... next couple day pleasant stay hotel . room clean , bed nice realy sleep well ( wich normally can not strange bed ) . sheet also clean show wear . problem form static electricity pillow , not know come pillow load static electrity create & quot ; nice & quot ; tiny blue spark night . room spacious enough nice desk wich use work laptop . free internet also provide decent speed . the badroom rather small also clean . yes , show 's age long everything clean decent maintain really not bother shower sheet sheet somewhere past decade ... water hot decent pressure ( sometimes problem high room ) .also restaurant nice food . cheap definately worth money . to end review definately would stay Marriot Chateau Champlain visit Montréal next year . pleasant stay ... 
 Apr 26 2009 	 good place stay hab playing 	 stay four night ( fact , write room ) . locate pretty good location . hotel bottom Rue Peel go ( steep ) , many site food . still , also many thing go east relatively easy walk . the lobby relax place sit . free wireless internet let work computer enjoy hustle bustle ( drink favourite Starbucks beverage , hall ) . staff good friendly . weekday , several small restaurant hotel closed ( early ) weekend . room well appointment little date . internet room slow fill online comment form , get quick response ( system ' administrator internet ) . ' seem RJ45 jack plug . , ' wireless equip computer , might want check . tv limited channel limit english one . remote work well . channel list ( plus ' work ) .Bathroom shower great get stick hot , first day . Maintenance come explain problem avoid reoccurre . think need change plumbing fixture . notice ceiling start peel away . may want address well . noise hall ( door close ) disturb . overall , pleasant stay Montreal . 
 Mar 28 2009 	 Nice Hotel 	 , nice hotel . the people great . room nice . architecture build cool , mid - century modern way . concierge Lounge nice , save fact like Marriott property appear lounge offering dial economy . my favorite part : hotel locate subway station . hear noise , easy jump elevator get train without go outside . montreal subway system good Paris system well NYC 's . get around city hotel , easy . view room nice . window curve outward , get view would ordinarily get . see full 180 degree . bathroom , tv electronic recently update . unlike Marriott 's , hotel free internet access . ( Marriotts free access . ) bed bed top notch . workout area step usual . , recommend hotel . 
 Mar 2 2009 	 great customer service ... 	 great location value money . service good . room not clean check , not big deal drop bag head meeting . let front desk know forgot . return later evening , manager send complimentary cheese tray along small bottle Port , way apology . not expect ... impressed . kudo staff . 
 Jan 27 2009 	 great rate great room 	 love hotel . accomodation average . bed comfortable room relax . good part view ! request high floor . 21st floor take photo room towards square night , light change . 20 . another great thing , train , Metro , come right ground floor hotel . day would plan trip , head downstairs , go destination . people work train helpful . save ton money way able get everywhere city want go . front desk conceierge well , many good idea do . skip bar want eat . plate nachos two drink cost $ 40 ! good thing Montreal food , many restaurant , get one dish split one go another taste something else . many restaurant pub walk distance . 
 Jan 25 2009 	 take one ruin everyone 	 hotel b / c agreement NHL Star game . overall , everyone fantastic . room wonderful & amp ; super comfortable . staff helpful connection metro great get around town . unfortunately take one ruin . last night come back hotel dinner b / c early departure next morning . arrive Hockey people game purpose . patron hotel bar . server , Marc , come 5 time take drink order , manage bring 2 drink 3 people . seem think funny . politely remind , drink . even leave server tray table hour . specifically tell hungry . take order 3 time , along we remind still need 3rd drink sit 30 minute . order 2 club sandwich 2 French Onion Soups . never receive 3rd drink . sat hour never receive food . go bar order drink . finally another table area complain get manager . proceed attempt assist table , nothing except take complaint . place proceed get pack every table issue Marc . one table tell face laugh . manager finally bring we food hour 1/2 order food cold . sit another 30 minute bring we food back bring we food sit hot lamp 30 mintue . sandwich bite , take , therefore serve friend 's sandwich . point regard concern not serve someone else 's food JOKE , say , & quot ; yes , plate food serve before . & quot ; never offer anything make ridiculous service except round drink . bring we tab , incorrectly charge meal charge drink Marc manager never bring we . sit cold food , Marc also come proceed try cute . politely ask walk away , keep poke food plate make comment , & quot ; well guess sit long , huh ? & quot ; leave bar go front desk complain since manager continue fail provide proper service manage situation . meanwhile , patron side bar Marc work LEFT bar . front desk hand we complaint card nothing . also correct bill bar incorrectly charge meal beverage . front desk person seem completely fake concern matter . major business NHL come town , would sure quality staff hand ? can not imagine hotel let something like take place regular business . hotel bar afternoon , service fantastic . even ask manager sort joke way everything go we , & amp ; say not know go Marc , everyone complain . king manager let kind server stay floor run people ? mention manager bring table cold food already specifically say sit long time wait food ? 
 Jan 24 2009 	 Quiet Gem 	 ' m surprised hotel rank higher . room spacious beautiful view Montreal , bed one comfortable ' ve ever sleep hotel room service food fabulous . location little removed heart city , transportation right hotel 's easy get around -- straight shot airport . join Marriott Rewards program free . will get point discount rate . would definitely stay hotel . 
 Jan 13 2009 	 Excellent 	 great hotel - location great downtown Montreal Crescent St scene . view city harbor phenomenal well . room Marriott standard staff helpful well train . would hesitate stay business Montreal . 
 Jan 5 2009 	 good 	 husband stay 3 night weekend getaway . hotel nice . room great . pool gym nice . facial good , hand / foot massage . hotel restaurant great . staff friendly . location good . 
 Dec 1 2008 	 beautiful view great stay ! 	 great hotel experience . hotel lobby clean beautiful staff helpful friendly . room put we overlook city large , clean , circular window . impressive book room reward program ( expect mediocre room ) . Alos useful - hotel right Underground Montreal , even rainy , cold day able wander city without get wet . 
 Nov 29 2008 	 PERFECT HOTEL 	 stay Marriott Chateau Champlain able make Quebec City . arrive without reservation travel day . Peter front desk accommodate - friendly give we room view - view die ! ! ! hotel clean , friendly , centrally locate worth every cent . room service great - bed comfortable hard get . overall highly suggest hotel everyone . 
 Nov 17 2008 	 great 	 lovd hotel ! beautiful view city 17th floor . staff friendly access metro stop inside hotel . bed unbelievably comfortable linen amazing . ; happy . 
 Oct 29 2008 	 Nice Hotel Good Location 	 spend 3 night hotel September . hotel well keep & amp ; staff nice , hotel great location , easy walk distance old & amp ; new part Montreal . room aveage size clean great view city . nice little shop & amp ; cafe complex great quick snack tasty breakfast . 
 Oct 20 2008 	 perfectly pleasant 	 stay one night pay C $ 175 CAA rate . staff pleasant , service friendly , room large quiet bed comfortable . book want near rail station , three minute ' walk away . would certainly stay . 
 Oct 14 2008 	 Loved hotel 	 not sure expect hotel , pleasantly surprised ! brilliant view Montreal room , area easy walk major sightseeing spot / transport . definitely business - orient hotel , experience nothing great service , well equip room . great buffet breakfast , courteous staff ( one particular catch eye ! ! ) nice soft bed fall back spending day walk Old Montreal ! 
 Oct 4 2008 	 NIce Hotel 	 return spend 2 night Marriott Chateau Marriott . part husband really enjoy hotel . really love location . 3 minute walk train station , 5 minute walk shopping restaurant easy see 32 story tall . concierge great set dinner reservation city tour . restaurant good , extremely expensive . shock see bill . room comfortable . bed great , bathroom small tv outdate , good picture . would stay . 
 Sep 29 2008 	 way tourist 	 hotel definately ok stay , not expect anything character charm . stay Marriotts elsewhere charming feel indulgent hotel . location probably good business traveller . pick walking distance Via Rail station reason good choice . tourist everything want see Old Town Montreal . walk Old Town , 20 minute , problem metro right hotel , convenient . bed comfy , bathroom fine . restaurant good . feel like business hotel romance Montreal romantic city , right choice circumstance . hotel cheap , would better boutique hotel ( like one snazzi conversion bank ) close Old Town . 
 Sep 25 2008 	 C'est magnifique ! 	 mom visit Montreal weekend ; first trip together two we first visit Montreal . the Marriott great location get around . fine walking distance mom easygoing . Metro Bonaventure station right beneath hotel help greatly . great shop Rue Ste Catherine short walk away , real easy . Vieux Montreal also walk distance , walk much pace . even night area quite safe never feel uncomfortable all . the room great size window fantastic . bed linen great although towel little rough thin . toiletry great treat Bath & amp ; body work product . door closet swing double door create dressing room think quite neat . chair wear fray spot otherwise room great shape . internet connection laptop work problem . the complimentary buffet breakfast Samuel de Champlain restaurant unexpected treat upon checkin ideal start day . omelet station find ready - make omelet day delicious . also belgian waffle make station fantastic well . the staff around incredible . friendly job well . the hotel beyond usual price point look book hotel mother 's comfort peace mind consider . look back would gladly stay Marriott , price difference well worth convenience location ! 
 Sep 9 2008 	 gem 	 entire 3 night stay Mariott Chateau Champlain one good hotel stay ever 35 year travel North America , Caribbean , Europe . true & quot ; chateau & quot ; theme European . it hotel expect everything brand new pristine . bed extremely comfortable top quality , impeccably clean linen . housekeeping excellent meet high standard . furniture above - average condition . air conditioning work perfectly . the window absolute good feature hotel offer spectacular view Montreal cityscape . separate dressing room convenient feature . consider room small - with dressing room sufficient two . the hotel overall quiet . there hotel room smell one smoke , $ 250.00 fine . thank , Marriott ! outstanding feature professionalism staff extremely friendly courteous , especially julie front desk . know Montreal quite well absolutely convenient location give easy accessibility metro ( hotel ) short walk St. Catherine , Crescent , Sherbrooke Streets . Old Montreal nice stroll like walk ( ) .We certainly return . 
 Sep 9 2008 	 good location 	 stay 11 night book free reservation phoneline UK . ask large room stay long time get fantastic room 28th floor , complete strawberry dip chocolate arrive . also give we fridge leave freshly - bake cookie room night leave . staff friendly breakfast choice large enough last past lunchtime . location excellent ( metro station basement ) glad tourist throng . major shopping area walkable . pool area lovely relatively quiet . downside hotel breakfast get expensive , lovely canteen type place back lobby ( walk right past shop end ) serve cheap fresh breakfast smile . coffee refill free . airport coach stop outside hotel , remember tell driver get . comfortable easy stay . would recommend . 
 Aug 27 2008 	 problem 	 stay business find acceptable property . enjoy pool location central . date property though could use somewhat update . staff fine . 
 Aug 21 2008 	 great stay Marriot 	 husband book hotel last minute Hotwire . excited show hotel , 4 star .. well ... 4 star . experience great . check - in easy . valet parking phenomenal . also get good advice pleasant assistance staff . would HIGHLY suggest hotel . never Montreal unsure section stay . say matter stay ; downtown , Old Montreal , Latin Quarter ; travel around easy . hotel close enough nightlife , shopping , cathedral Old Montreal . LOVED ! ! ! ! 
 Aug 17 2008 	 Fantastic experience 	 realizing last minute forget book night Montreal return leg honeymoon , absent - mindedly book night downtown Marriott . firs minute checking , hotel grand , perfectly maintaned , wonderfully design , staff friendly people , overall wonderful experience . room , 31st floor , fantastic view city , great bed , plenty room , work wi - fi , ad generally everything would need . top notch ! 
 Aug 14 2008 	 Nice Hotel Great location 	 good , clean hotel great location . close old new area town directly connect subway . 
 Aug 6 2008 	 wonderful place stay 1st time visitor Montreal ! 	 last 4 day spend Montreal stay Marriott Chateau Champlain add greatly make wonderful mini - vacation ! read mixed review , somewhat leary learn Hotwire selection & quot ; chose & quot ; 4 * Marriot . however , impression Marriott favorable . check - in go smoothly ( able check 4 hour early ) , room lovely huge picture window framing view beautiful church , park , & amp ; city streetscape . room spotless , bed especially comfortable , dress room area adjacent bathroom reveal spacious drawer closet store luggage & amp ; clothing easily . soap , shampoo , conditioner , body lotion , mouthwash aromatherapy product Bath Body work . room feature free internet connection . starbuck locate next lobby . the Metro ( subway ) locate directly hotel . concierge incredible staff courteous speak English fluently . cab always front want change walk take Metro . like location would stay . many restaurant block away right Underground City . can not wait visit ! 
 Jul 27 2008 	 Great Hotel 	 daughter,18 , stay center downtown . impressed . location great easy walk distance almost attraction , easy metro rest , free shuttle casino daytime . staff great , good advise place eat , people watch etc . room small - ish clean nice . iwould definitely stay . 
 Jul 18 2008 	 Recommend Marriott Chateau Champlain 	 wonderful stay Marriott Chateau Champlain . staff nice , friendly helpful . location good walk catch Metro . room nice clean . hotel would good business vacation . 
