definite 	 really terrific hotel definitely frequent . husband & amp ; come Chicago every year Thanksgiving birthday stay many place year - Hampton , Monaco , Hotel 71 , Hilton Garden Inn , Wyndham , four point Sheraton , etc . know way around Chicago , choose try Springhill Suites Dearborn glad ! although location great , couple block Michigan & amp ; State , be actually easy miss hotel - signage outside quite plain share entrance w/ Residence Inn . actual lobby chain 2nd floor . check - in great , staff accommodate -- even get bottle wine birthday . elevator fast smooth hotel ' ve ever stay . hotel offer nice hot / cold complimentary breakfast well - bit early & quot ; leisure & quot ; trip ( 6:30 - 9:00 a.m. ) . & quot ; studio & quot ; double room . perfect , chic modern . sit area desk , chaise , sleeper couch separate bedroom area frosted glass . plenty lighting ( big complaint w/ room dark ) . microwave , frig , coffee maker . bath area good size vanity area separate w/ plenty top space put item . issue lack good sized drawer clothe not want hang .. ( 2 ) shallow drawer . would rate hotel EXCELLENT . 
 good base explore central Chicago 	 choose hotel , location Marriott loyalty card . the check easy , offer choice room . the twin room nicely lay , view towards south . breakfast standard buffet style offer normal class hotel US . although use facility look pool exercise facility look adequate although pool little small . we able walk easily river , magnificent mile also town . it ideally locate Ruth 's Chris Steakhouse definite bonus . 
 Sep 1 2009 	 Clean Rooms 	 room clean spend extra corner king ; worth money . beautiful view 15th floor ! ! every employee valet service front desk house keep staff happy helpful . definetly recommend hotel visitor downtown Chicago ! thank great weekend . 
 Aug 31 2009 	 New New Bland 	 Hotel pair Marriott Residence Inn ( share lobby ) . big pleasant public area . nice room small kitchen area , flat screen tv , new . free frill breakfast . great location . good value business , nice view . 
 Aug 23 2009 	 another good hotel River North 	 go Chicago quite often , recently stay 2 night place normally stay booked . another good option River North area . room spacious , decor little modern . like layout room lot . 22nd floor nice view city floor ceiling window . I would stay ! 
 Aug 20 2009 	 good value great breakfast practical location . 	 family , ( wife two daughter , 15 & amp ; 18 ) , stay 4 - day - getaway city . room work well we , although three relatively simple change would make much well : queen bed instead double ; second sink next frig / micro / coffee maker ; read light bed another sofa . our nightly rate , $ 129 , include nice breakfast morning large , comfortable dining area . hot cold selection , include fresh fruit , cereal , egg , etc . breakfast staff extremely efficient , helpful friendly . , say least , say rest hotel staff encounter ! need , location work well . could walk easily taxi destination would plan visit -- well couple not plan . one negative -- certainly unique hotel location -- parking , specifically cost parking . hotel valet parking $ 44 / day ; surface park several block away $ 33 , several public ramp within 4 - 6 block $ 37.in case , really enjoy stay Springhill Suites . 
 Aug 7 2009 	 nice hotel good location 	 stay location weekend trip Chicago . right heart downtown near several restaurant , House Blues , Ruth 's Chris , etc . room nice small minibar microwave small fridge . breakfast pretty decent plus not want venture hotel morning meal . free wireless internet guest . shop nearby , catch trolley Navy Pier nearby Michigan Ave within walking distance . night neighborhood turn barhopper / clubgoer dream . restaurant area pretty much turn nightclub prepare change scenery weekend night . get steal deal $ 109 Marriot.com run special . downside $ 40 per night parking add $ 120 hotel bill . everything great ! 
 Jul 29 2009 	 great value River North 	 city often business leisure travel . choose stay need inexpensive place crash follow concert . springhill upgrade design concept - kind modern funky - like - room clean - breakfast okay - value location primary . , sofitel , centrally locate , excellant service great rate class hotel . breakfast okay me- complimentary . loyal Marriott reward member try stay Marriotts - place great people bring kid city - internet lobby , pool fabulous location . romantic weekend - try Sofitel ! 
 Jul 13 2009 	 Perfect Place stay Chicago 	 get back & quot ; girl weekend & quot ; trip sister two teenage girl . hotel great . ideal location ; walk everywhere hotel . extremely friendly , accommodate staff . quiet clean room . breakfast definitely good continental breakfast we ever include hotel stay . agree would definitely stay hotel . 
 Jul 6 2009 	 chicago Amazing ! 	 hotel staff excellent , breakfast morning delicious . variety perfect . much food choose . love room service smile . would go back . Chicago kind city . 
 Jul 6 2009 	 Great Value 	 Marriott reward member , receive alert week advance rate deal property - jump , probably save $ 90 per nightit nice property , clean , convenient restaurant , subway , shopping , sightseeingit ok complimentary breakfast think unusual downtown Chicago hotel , nice fitness center - everything work 
 Jun 30 2009 	 great value great service 	 planning trip Chicago , place . friendly 1st minute arrive . location far Michigan Street 5 minute walk , far noise . room clean , staff always smile ask need help . breakfast exceed continental breakfast see . 5 star way . thank 
 Jun 30 2009 	 Great Father 's Day trip 	 stay 2 night father 's day weekend great time . hotel centrally locate downtown activity . corner studio plenty room hubby 2 kid . ask corner room little big 2 view . ; ) time get bellman & amp ; front desk clerk friendly helpful . since park little pricey . bellman tell we parking structure around corner $ 16 . thing pay everytime come . however really not problem stay day need come back park meter . end pay $ 44 together parking 2 night . beat pay $ 88 anyday . parking pricey anywhere stay downtown . great stay ! ! ! ! ! ! 
 Jun 5 2009 	 outstanding value great service new construction . 	 hotel ( adjoining Marriott Residence Inn ) build 2008 still new wonderful shape . friendly service every employee . hotel offer free wi - fi computer lobby internet access printer free . common downtown hotel area , nice perk . overall great , affordable stay convenient downtown location . 
 Jun 1 2009 	 fantastic value River North ! 	 stay 4 night suite hotel . build 2008 , everything modern clean . experience top notch service time pull front , time leave . valet bellboy toe , greet we open hotel door first sight approach . front desk staff gracious , attentive , helpful question city , patient 5 year old son love lengthy coversation everybody . Breakfast include , essential kid , even husband eat see make waffle station . hot food sausage egg patty make english muffin sandwich . many continental breakfast item choose . 2 double room , modern clean , sit area w/ sofa sleeper . wish bit big . 2 kid feel tiny bit cramp , keep room tidy help . location perfect , walk Michigan Ave back , catch free trolley Navy Pier , take $ 5 cab ride around city . parking hotel bit pricey $ 44 / day , allow we unlimited in / out privlege . excellent value downtown hotel ! ! 
 May 11 2009 	 Excellent Hotel great price 	 friend stay hotel bachelor party excellent . bachelor party , preferred spend money thing hotel decent hotel could beat price Spring Hill Suites . do not think could better location hotel . Dearborn Street north River within walk distance Chicago 's good attraction restaurant ( House Blues , Dick 's Last Resort , Portillos , Harry Carey 's , Michigan Ave , etc . ) . use public transportation get Chicago 6 block Millineium Station 2 block & quot ; L & quot ; Blue Line . room 's excellent . 2 double suite fold sectional couch . room could little big , 6 guy staying room . side note , 2 hotel build share common lobby ; Spring Hill Suites leave Residence Inn right . become confuse little much drink end room number wrong hotel . staff excellent help anyway possible . breakfast fantasic everything think . definately stay hotel return Chicago . 
 Apr 14 2009 	 ready go back ! ! ! 	 highly recommend hotel Chicago general everyone . service , people , food , clean street worth 5 star ! ! 
 Mar 31 2009 	 Excellent customer service .... 	 family 5 nice stay Springhill Suites Downtown / River North . doorman excellent quick open door & amp ; hail cab need . reception desk staff friendly upon check ask dinner plan . actually already plan staff member ready offer suggestion ensure take care . free breakfast opinion excellent . picky eater crew satisfy . one staff member exceptional -she see 8 year old look cereal selection sad look face ( Fruit Loops day ) graciously offer go get Fruit Loops . customer service excellent here . we get great rate studio double room big enough 5 we . make reservation request extra pillow towel room arrive . other state , pool small fitness room look nice . location great would hesitate stay . free wireless internet definately plus ! ! ! 
 Mar 30 2009 	 's detail 	 stay room 2524 four night less impressed . get hotel not Four Seasons , glare detail miss . bad : 1 ) housekeeping stingy coffee cup drink glass . room & quot ; kitchenette & quot ; would expect kind supply cup , paper even ! glassware dirty ( sticky ) 2 ) flourescent light bed horrendous much bright ! 3 ) bedside table one side king size bed 3 ) bed stand light 4 ) light kitchenette turn switch around corner hallway 4 ) even though kitchenette ample room store plate etc , plasticware 2 plate store microwave . ? ? ? garbage kitchenette ! 5 ) little room store clothe 6 ) 5 clothe hanger ( really ) 7 ) arrive 4PM tell room not ready ( wait 15 min . front desk could contact housekeeping 8 ) housekeeping inconsiderate cleaning room , contstantly slam door go room . 9 ) get dirty bath towel . good : 1 ) excellent location 2 ) good price 3 ) free bkfst ( get early ) 4 ) free internet 5 ) great pool area 
 Mar 28 2009 	 great stay ! 	 room large , comfortable , modern , immaculate . great location relative & quot ; EL & quot ; walk . complementary interenet access plus . breakfast room spacious . good value . ' m hook . already book next return . 
 Mar 25 2009 	 Caution use valet service 	 spend short wknd getaway location , unfortunately valet park car parking garage someone break vehicle stole gps , ipod , item store sight . hotel staff valet service assure would replace , fill form mail letter home say sorry responsible item leave vehicle ... nice . , parker beware ! ! 
 Mar 16 2009 	 Great Hotel - can not wait go back 	 hotel great location price right . everyone reservation agent , front desk staff , valet breakfast staff extremely friendly efficient . room spacious clean . arrive day early reseravation accomodate . 
 Mar 15 2009 	 GREAT hotel ! sure return ! 	 research seem like EVERY hotel downtown Chicago , friend stumble upon Springhill suite . stay hotel concert extra day shopping sight seeing . second stepped hotel , greet friendly face . check breeze . room nice ! stay 2 double bed suite . plenty room pull sofa living room space . fridge microwave come handy be eat run . the free breakfast morning exceed expectation . morning greet friendly staff help we , assist we make sure everything need . breakfast area big great decor make great start day ! hotel come equip free high speed internet wireless big seller we , seeing every hotel city charge arm leg . pool hot tub open till 11 nice be day want unwind . room clean bed amazingly comfortable ! price pay , could not ask well hotel ! plenty great restaurant right street , well Starbucks 's 5 min walk . hotel 5 block Michigan Ave mile Navy Pier . plenty great stuff step away . time return , staff assist us shopping bag , hold elevator , etc . confusion hotel share Residence Inn make sure use correct elevator end side hotel , happen we time not really big deal . finally get hang last morning . front desk really quick meet need kindly give late check since air port express ride come half hour check time . end , GREAT hotel . clean comfortable price beyond expectation could ask . definitely return ! 
 Feb 28 2009 	 good location 	 girlfriend stay hotel first trip Chicago . location hotel ideal get around city , plenty local bar restaurant , main shopping area short walk away . red line tube stop also couple block away . staff welcome friendly , room ideal us - good size , modern fitting free wi - fi . king size bed comfortable , nice little space normally get , room actually suit sofa area sink / fridge / microwave . good shower too . breakfast fine , although get little bored selection - problem stay long weekend . price pay , fact one bonus . waffle good , seem run low fresh fruit mid week . we use pool hot tub find clean quiet time . pool not great planning swimming length ( be small ) , gym , fitness fanatic fine . our one small issue would lifts , use really annoying access card system prevent non - resident get onto floor . good idea principle , often , card not seem work first time . we happy stay overall , would definitely recommend hotel anyone wish visit windy city . 
 Feb 13 2009 	 Fantastic bargain enjoyable stay 	 co - worker choose Springhill Suites 4 - night business stay get $ 89 / night rate . hotel appear brand new room furnish peaceful green brown tone give calm feel . give corner suite wonderful view city floor - to - ceiling window bedroom living room . also microwave , refrigerator coffee maker . high - speed internet ( include room rate ) easy use dependable . pool small side ; Fitness Center occasionally wait preferred equipment state - of - the - art individual video screen iPod dock . breakfast , also room rate , include sausage , oatmeal egg patty along usual cold selections- menu day . the front desk staff friendly helpful ; one many restaurant recommendation , street close hotel . pretty much walk street find good variety pub - type place well Brasserie Jo ( good french food ) . Ruth 's Chris Harry Caray 's , high - end , also nearby . plenty retail walking distance well case forget anything . one minor complaint elevator , require use room key work . sometimes need insert key multiple time , eventually floor button light . impressed hotel likely use next time visit Chicago office . 
 Feb 9 2009 	 exceed expectation many way 	 wonderful surprise hotel . find Expedia seem glow review , suspect downside might never area Chicago . get hotel reasonable Grand station red line subway probably 5 - 6 minute walk . area fill late night hot spot restaurant , though feel young set ( 35 ) please . hotel entrance unusual walk lobby elevator must take second lobby actual front desk . odd , possibly advantage way keep check - in area free chaos . the hotel service / staff excellent . friendly helpful - although young part . seem try hard smile whenever cross path . room blow away value : nicely appoint flat screen tv , king bed different type pillow , excellent shower good hot water pressure , clean . site list 2 star hotel , be possible , would say 3 least give room decor . favorite part room quiet - no street noise , neighbor noise , noise period ( 19th floor point ) .The breakfast buffet morning nice far hotel buffet go . option include egg , sausage , pipe hot oatmeal , cereal , english muffin , white wheat bread , juice , waffle , etc . would great add hash brown potato - it would feel complete . summary : excellent experience hotel feel new . not time visit pool exercise room can not comment however . tip : be 20 - something try Rockit late night food drink ( warning - it be loud upstairs ) Rock Bottom brewery craft beer House Blues street hub 51 hotel . 
 Jan 28 2009 	 great service cute hotel room already show wear 	 hotel not get heavy traffic . 's cute concept , room similar Hyatt Place design . big king bed really comfy seat area separate desk frosted glass slidable window - like partition . loved wireless internet ( also wire , free ) ; well beverage chiller ( like mini fridge quite cold ) microwave . room lack storage despite lot lot empty floor space sleep area . oddly bedroom area huge , sit area partition small cramp area next door . hotel size swell 4x weekend accord desk clerk , show . weekend breakfast mob not enough seat , although attendant terrific job keep food stock . group 4 5 cram room mean one two , hotel show surprising amount wear tear new . room not design heavy traffic , shame 's otherwise nice place stay . room nasty stain floor near door , light stain sectional couch , peel laminate microwave counter , hole desk chair 's weave back hit edge desk . weirdly , hotel not iron linen ( front desk clerk say & quot ; not presser & quot ; ) , sheet , comforter decorative thingie foot bed wrinkle mess ( reassure crawl wrinkle sheet ; cross finger linen change since last guest ) . shower ( tub room ) also not look super clean , front desk assure we cosmetic problem laminate 's problem room . the upside : great location , super nice desk staff , free Wi - Fi , be sort sweet see kid pajama weekend breakfast , lend friendly family feel . would nice see room well maintain -- maybe limit number people hotel allow one room , especially since share space Residence Inn , really well suit quad quint party share one room . wold stay would nice see wear issue address . 
 Jan 26 2009 	 warm welcome 	 greeting door front desk staff , hotel offer customer service lesson chain ! ! every staff member helpful BEYOND ! ! never want anything . morning breakfast staff pleasant attitude . breakfast good . even weather zero , bell staff always give warm welcome every time encounter . room clean BIG .. park expensive- $ 44 per day . this truly fantastic property staff rare find . 
 Jan 25 2009 	 Great River North Hotel ! 	 husband enjoy stay SpringHill Suites weekend getaway Chicago . not Chicago , not sure good location , awesome ! convenient - short ( 5 min less ) walk Grand - red line station Clark / Lake station loop . Harry Caray 's House Blues across street . lot lot restaurant bar around hotel . room comfortable . studio King suite , even though one room , sit area separate sleep area well . great view , could see Merchandise Mart building room suburb . much well view ' ve city ! everything clean new . microwave , small fridge , coffee maker room nice . complimentary breakfast great ! ' ve stay nice hotel & quot ; include & quot ; breakfast cold bread cereal . SpringHill Suites breakfast sausage patty , egg , lot bread , hot oatmeal , waffle , yogurt , fresh fruit ( though not look great - ' m picky though ! ) , cereal . good nice breakfast room ! everyone encounter nice ! valet always open door we offer get cab we . never feel unsafe around hotel ( anywhere Chicago really ! ) . 
 Jan 24 2009 	 another pleasant stay Springhill 	 family four return one night stay hotel . also stay hotel Sept. girl weekend . visit pleasurable.- new hotel , everything good working order still clean . mold shower , carpet still clean etc.- Beds comfortable give plenty pillow . ( however , stay Sept. , sleep sofa bed find really uncomfortable , get bed . ) -The breakfast good , nice selection quality good.- employee courteous helpful.- Fitness room pool nice , although pool little chilly.- location great , within walk distance theater district , shopping lot great restaurant . I would definitely recommend hotel back ! 
 Jan 22 2009 	 Fabulous Girls Weekend 	 spend girl getaway weekend . ' m native Chicagoan think hotel great location ( restaurant , bar , etc . ) hotel staff extremely friendly helpful . bed comfortable towel plentiful . would definitely recommend hotel anyone visit Windy City . 
 Jan 22 2009 	 Pleasant surprise ! 	 great place . check early valet take charge bag ; direct we elevator main lobby registration desk ; require room key take separate elevator room - feel secure . hotel staff extremely friendly helpful . continental breakfast definitely adequate - beat $ $ $ restaurant ! close attraction . leave car valet parking take cab bus . really easy get around town help great staff . room awesome . off'-season get exceptioinal rate . enjoy pool / hot tub area night overlook beautiful city . definitely come back thank great place great location ! 
 Jan 20 2009 	 Modern hotel great location 	 good location , 4 block red line 5 block blue line . state street shopping theater district short walk away . able check early . desk staff friendly helpful . room great , nice view city , large sofa chaise , computer desk , flat screen tv ( cable channel minimal ) . ' small fridge microwave . shower stall large , tub , sink locate outside ( like ) . breakfast usual , continental hot egg sausage , hotel full line toaster , waffle , etc . complaint coffee lobby except breakfast ( suppose ) use keycard elevator room ' always take different people would try swipe card till one work . 
 Jan 18 2009 	 Great River North Value 	 new property great value downtown Chicago . hotel large room modern furnishing ( even color scheme favorite ) comfortable bed . give low weekend rate hotel crowd family tourist , noise level not excessive . there lounge snack bar lobby seat area breakfast ( simple free ) . top floor nice pool exercise room high quality equipment great view city . the layout typical Marrriott SpringHill Suite feel property offer great value noticable flaw . 
 Jan 11 2009 	 Awesome Place 	 couple girlfriend decide need girl weekend city get away drama life ! end Springhill Suites ! room big nice ! love view . bellman helpful front desk staff nice ! everything property amazing ! anytime walked always got aknowlege feel nice welcoming ! 
 Dec 18 2008 	 pleased ! 	 hotel fabulous ! husband take 4 kid Chicago Winter WonderFest could find well accommodation . complimentary breakfast huge help saving 6 us feed . cold well hot item choose . pool huge hit kid . workout room nice even though time take advantage . staff extremely kind accommodate ... anything need right top meeting need . can not wait next trip Windy City book another stay hotel . 
 Dec 14 2008 	 wicked weekend trip 	 stay weekend Wicked trip Christmas vacation . wonderful nice hotel . would stay would recommend other . you close Michigan Ave , roundabout walk get . ' walk directly east get . couple block Ohio Ontario street eatery locate , Hard Rock , Gino 's , Rain Forest , McDonalds etc ... read review location food . however , room service , thing deliver . onsite place eat . however , Einstein ' bagel eatery bld outside . staff helpful nice stay . main entrance locate east side bld Deerborn . use valet parking without incident , quick . the pool expect moderate priced hotel . olympic sized pool , yes kid swimming pool fun bring game . whirlpool small bad part trip . salty , either purpose icky , sure . not stay long . pool nice , kid love swimming night see light city . see fitness room look good . the room awesome ! kid like , huge right . towel , bathroom blanket good . tv nice , swivel could either lay bed sit couch watch tv . lot plug plug electronic . ' prefer sick outside bathroom , clean . would like something place clothe bathroom instead toilet tank . shelf table top use keep thing floor . we walk back theater hotel 4 - 5 block . nice place stay ' go play , right close . 
 Dec 14 2008 	 Comfort value adjacent everything 	 find high quality affordable accommodation Chicago daunt proposition . spend considerable time search comfortable room good location price would not break expense account . SpringHill Suites fit bill count , especially location . hotel surround distinctive famous place eat . 's step away name - brand shopping haunt . be within easy proximity many downtown Chicago 's attraction , include Goodman Theater , Merchandise Mart Michigan Avenue & quot ; Miracle Mile & quot ; scene . furthermore , staff every turn -- check - in , phone operator , breakfast wait person -- charm helpful . having experience small Chicago hotel room , SpringHill king suite offer spacious change . amenity sectional sofa , coffee table , flat screen tv , microwave oven desk lamp make whole package seem unlike routine hotel room . morning , ample free breakfast additional nice surprise . , even $ 40 / day valet parking , bill still nicely $ 200 -- easily beat comparable property elsewhere central Chicago . not even miss fancy stationery . 
 Dec 9 2008 	 EXCELLENT ! 	 property new immaculate . much enjoy stay would recommend individual , family , business pleasure . great location - great amenity - overal - GREAT ! 
 Nov 17 2008 	 Great Hotel / Great Location 	 spend weekend hotel . nothing good thing say experience . location perfect . 10 minute walk & quot ; blue line & quot ; take Hare ; literally 5 minute walk & quot ; red line & quot ; take everywhere else . never feel like need car . also grocery store nearby ( 10 minute walk ) want go get wine / beer etc . store fridge . the room clean . since two we , enough room . could see little cramp , small pull - out sofa . even though right downtown , room quiet . breakfast area big ' ve see one hotel . keep well stocked whole time . busy lot people everywhere , always get enough eat . it be nice internet access lobby check quick e - mail print boarding pass . we definitely come fortuante enough come back Chicago . 
 Nov 11 2008 	 new nice 	 work book hotel everyone ( think rate $ 249 ) . open hotel early year . hotel attach residence inn . go revolving door elevator springhill suit another residence inn guest . go floor lobby . back lounging area sit . right computer printer nice print boarding pass check hotel . 's complimentary ( internet & amp ; printing ) . leave sit area dining area complimentary breakfast . egg , sausage , cereal , juice , waffle , etc . 's adequate offer free breakfast . 24 - hr & quot ; market & quot ; nearby check - in desk small convenience stand drink snack . I get room king bed . , look like hotel pic hotel still new 's first year . complimentary internet access plus . microwave mini - fridge . sofa pull - out bed . get flat screen tv watch . bathroom shower , fine . bath floor towel small stain ( rust colored ) , turn use side . shower floor could bit spotlessly clean , maybe be poor choice material type , sure . quiet pleasant stay . extras add make good pick . 
 Oct 19 2008 	 Fantastic Hotel 	 hotel fantastic . never Chicago find hotel true delight . brilliant location , close Magnificant Mile , State Street Theatre District . great we want visit sight lot shopping . the staff helpful , breakfast include price add bonus . free access internet find useful . buy ticket online see Dirty Dancing Cadillac Theatre amazing , would definately recommend . also discover restaurant call Grand Lux Cafe , sister company Cheesecake Factory not need wait nearly long table , find beside Marshalls Ontario Ave . we find great bargain visit Chicago Premium Outlet Centre book tour greyline tour . we time see sight would recommend John Hancock tower instead Sears Tower . much well view get audio tour include . the & quot ; Windy City & quot ; really fab place visit definately back would not hesitate stay Springhill Suites . 
 Sep 30 2008 	 SpringHill Suprise 	 familiar part Chicago , SpringHill Suites wonderful surprise . couple block Magnificent Mile transportation Navy Pier . lot restaurant club area , too . sean front desk particularly helpful . go way get dinner reservation we . also suggest easy way get Navy Pier Museum Campus . 
 Sep 2 2008 	 Great Family Hotel 	 stay Springhill Suites Labor Day holiday year . great hotel . first , location great . Dearborn busy area ton place eat within easy walk distance . staff hotel helpful pleasant . leave camera car valet park quickly go grab we . room little small , family 3 , big deal . not spend ton time room anyway . wife tough please hotel happy smile say like . happy cleanliness room . overall , can not go wrong place . get $ 119 labor day special really consider great deal . give 4 star reserve 5 star rate exceptional place . 
 Sep 1 2008 	 Clean Comfortable Convenient 	 return short stay Chicago pleased stay SpringHill Suites . post criticism room size , feel design room smart not need extra room ( drawer inside closet actually work well ) . 4 us room 2 double bed sofa sleeper , fine . fact , order take - out dinner sat comfortably sit end room . room exceptionally clean , bright , appreciate modern style . one important thing hotel stay ability actually sleep . bed extremely comfortable , even though hotel full stay , not hear noise room . other state , staff friendly helpful . room long someone hotel knock door make sure everything want . finally , want add hotel scrimp many price range . towel good quality , shower great , ' ve already state bed , wall thickness . give little square footage return receive well quality worth . 
