good 	 4 night stay s.f . look good value quiet location , could not make well choice . hotel really clean quiet want , also right around corner Fillmore Street Pacific Heights cow hollow area , really great walk around great boutique cafe restaurant . front desk staff little hit miss , really nice know lot good information , other kind clueless . enough helpful one overlook one not great . room king bed nice view window seat . reasonable fitness center equipment good shape . across street three bus line run downtown right around hotel bus stop go place city - easy get around public transportation foot . 
 Birthday trip 	 hotel really cute ! 's japanese culture theme right across street Japan town San Francisco . hotel staff nice room kitschy . kind anime - esque mural wall furniture modern cute.the restaurant lobby yummy serve traditional japanese breakfast . also serve shabu shabu dinner . I would definitely stay ! 
 Oct 8 2009 	 great stay Japantown ! 	 family love Japantown , come time . first time stay night ( live 45 minute away ) . love convienant everything Japantown . walk everything . kid love stay . giant beanbag chair , ipod docking alarm clock , fun decor . 's fancy , clean fun . one tip park japantown parking garage . will save buck ! 
 oct 4 2009 	 great place stay 	 get late LAX . staff welcome friendly . room huge 1 person bed comfy soft . bathroom bathroom , really need window ? shower nice hot mirror/ basin good , nice touch japanese style toiletry . tv , Refridgerator room fine , perhaps glass china mug coffee would nice . Kettle coffee / tea water heat much well coffee maker find hotel . room spacious mural add little something extra . very quiet peaceful neighborhood , much well stay downtown . close japanese eatery / store 5 - 10 minute walk Fillmore great food unusual shop . Whole Foods Market couple block away grocery / fruit item , 15 minute walk corner California Franklin . otherwise Safeway close by . bus transport downtown right outside . 
 oct 1 2009 	 Comfort affordability pleasant imaginative surrounding 	 wife pleasantly surprise imaginative conversion old Japan Town hotel delightfully whimsical creative space . mural room comment japanese character , photograph staff costume elevator restaurant , responsive pleasant personnel , convenient proximity hotel inviting feature Japan Town , relax informality everything , say nothing affordability easy public transportation location door - make stay hotel one good experience ever visit San Francisco . revelation find hotel chain , Best western , imagination allow ' pop ' innovative japanese artist seemingly free reign design decorate formerly undistinguished hotel . 
 Sep 30 2009 	 enjoyable stay 	 stay 5 night pleasant stay . reception staff mostly polite helpful , however , couple people let side . room big bright bay window seat beneath . bathroom quite small functional . large flat screen tv radio alarm clock ipod docking station , however someone snap ipod connector could not use . hotel 's wireless internet awful would recommend hotel business use want get work do ! hotel lobby two pc seem work much well free printing facility , however often queue use . hotel fitness centre restaurant good . real issue , internet , bedroom door really heavy bang quite loudly . result could bit noisy time . would recommend hotel . 
 Sep 27 2009 	 Decent value fun decor 	 stay last night San Francisco . like location Japantown , many restaurant fun shop explore . bus service convenient . be club / nightlife scene , location great us - night quiet , though get room 2 door squeaky elevator . get good prepaid rate another website factor choose area hotel . carpet room wear , otherwise room clean comfortable . j - pop / anime / etc . touch fun . 
 Sep 24 2009 	 total waste money 	 youth hostel real hotel . bed flat , pillow fluffy , give we enough towel - sure even clean room . decor cute , kitschy , room 's comfort level low . if tomo $ 100 / night hostel would recomme . price charge stay somewhere nicer - much nice . 
 Sep 21 2009 	 really well locate friendly hotel clean welcoming . 	 really wish could stay long . although arrive 9 am , staff lock bag provide we w / bus direction also provide we ( many time ) w / change bus . able reach location quickly minimum fuss w/ public transportation system . availabitlity wonderful pizza place , french bakery , deli even burger king make family friendly place . anime decor appeal adult well kid . plan return trip city holiday hope repeat stay ! 
 Sep 20 2009 	 fantastico ! ! ! ! 	 love hotel ! ! ! ! everything fantastic ! ! ! would stay anytime go San Francisco . easy access muni line . market rigth across street . JoAnne Mums restaurant , hotel , good server ever ! ! ! Shabu - Shabu well . quiet neighborhood . 
 Sep 13 2009 	 like Japan like . still like ... 	 tell minute change hotel bit worried hotel look . bit old outside soon walk door realise modern hotel top range electronic . Plasma TV ' sofa lounge reception area Japanese feel japanese district . ' stunning . room big beautiful lamp wall paper . huge 42inch tv , IPod stand / alarm , Lazy boy corner . free Internet , load space well nice big bathroom condiment throw . along Safe . it Gym standard . restaurant get busy external vistor . a nice hotel way need get bus get union square trams bay . 
 Aug 24 2009 	 Cute break 	 return stay tomo . good bad , hence middle rating . it be obviously old well western re - do cute j - pop style . bedroom funky bright Ikea - meet - Japan sort way . clean . although , reason can not understand , someone think paint windowless interior bathroom dark grey add opaque dark gray shower curtain instal single low wattage florescent bulb good idea . unless be fan prison , not . however , shower good water pressure lot hot water . bed , linen , towel quality would expect mid - price hotel . when first check front desk late afternoon , desk clerk indifferent . give we key card head room discover not book . have pay upgrade upper room balcony . schlep back downstairs . give we another room key right room . long travel day decide get snack market ( nice one nearby ! ) settle evening couch potato watch pay - per - view . except pay per view movie not work . call stairs inquire problem could . Mr . Personality desk say not know , & quot ; ' know tell you . & quot ; indicate 's really kinda job know thing , tell we colleague actually know something hotel system half hour . promise , half hour later , competent employee show . fiddle cable box , indicate indeed break offer move we yet another room . switch room third time . fairness , nighttime employee helpful accommodating , apologize , bring cart tote luggage give we free pass couple breakfast hotel dining room . nice , consider day - shift guy 's attitude & quot ; hey , suck you . & quot ; hotel offer free wireless , forget actually try use couple minute time . be intermittent good drop constantly . outsource service take multiple phone call get service run . even help , be consistent . actually plan work , frustrate . the next day , , come back room night find tv lamp desk area not work . fiddle surge protector desk avail . call . guy come . apparently surge protector & quot ; jiggled & quot ; right outlet . guess maid accidently unjiggled sweeping . ( frankly wire multiple extension cord look like fire wait happen ) day leave , go house computer print boarding pass . attach computer & quot ; order sign & quot ; indicate would not fix next day . woman desk nice enough log print pass . evening , go three different floor find coke machine actually work . exaggeration . so meet two good employee one indifferent one . room nice , bathroom creepy multiple issue amenity . front desk eventually make monetary adjustment inconvenience , nice , course . not expect perfection , expect problem correct , alleviate , compensated , eventually . equally , would make concession item work intend first place . hotel cute 's nice location , really need put money infrastructure . would still recommend seem run bad luck , be patient person , might want look elsewhere . 
 Aug 1 2009 	 Fun stylish hotel decent price 	 sad , old hotel edge calm Japantown trendy Pacific Heights get great make - over . theme & quot ; mod & quot ; japanese . room : huge ( many spectacular view ) ; terrific bed ; small refrigerator ; safe valuable ; immaculate . nearby : dozen japanese restaurant shop ( try Genji 's antique two - floor bookstore ) , sundance movie theater Kabuki Hot Springs spa ; japanese grocery store delicious , fresh meal go . ten - minute walk : Fillmore Street 's trendy restaurant / shop ( Dosa amazing California - indian food , Osaka terrific sushi Peet 's good coffee ) . great bus service get around city ( subway part town ) . huge Safeway 3 - 4 block away . pay $ 109 / night room . friend pay $ 10 / night . downside : free wireless awful ( two computer lobby coffee shop Fillmore Street free wireless ) . parking limit expensive , although be second lot two block away . 's pain get BART train airport ( although be $ 16 shuttle ) . may prefer near Union Square mass transit shopping option ( be also touristy ) . 
 Jul 31 2009 	 little j - pop culture San Francisco 	 get back one night stay Hotel Tomo . double Queen room balcony top floor , great view San Francisco Peace Pagoda . room clean , furnish fun style bright bedspread , cool wall mural take anime movie , even japanese style toiletry . staff nice , parking conveniently next door hotel . teenager love japanese styling lobby video , not see game console expect . addition wifi slow , room complimentary terminal lobby . gym hotel tiny , converted room think , fresh air . neighbourhood different San Francisco , near tourist attraction charming way . interest japanese culture , enjoy historic plaque post building well japanese mall restaurant close . walk nearby Filmore Street , check ritzy shopping well interesting architecture Pacific Heights . not see tourist everywhere downtown . we stay one night two Union Square area . book last minute think $ 193 room little pricey , could get well deal would great place explore different side San Francisco fun environment . 
 Jul 21 2009 	 Funky Cool Hotel 	 stay 5 night end Las Vegas - LA - SF fly drive holiday . originally book another hotel not like rang around check phone directory find hotel Japan Town . first impression great 's really funky cool design room include , do manga cartoon design , bath robe , flat screen tv , comfy bed lovely clean , great location we , little bit centre ncie quiet get decent sleep evening , park underneathh hotel small charge expensive . would definately stay SF place we . 
 Jul 15 2009 	 fabulous place stay heart Japantown ! 	 receive excellent service , convenience downtown SF . room clean bed comfortable . would stay chance return SF ! 
 Jul 12 2009 	 watch unscrupulous charge practice . 	 choose hotel 4 block hospital brother emergency surgery . clean hotel reasonable price . third night find already debit check account $ 800 . surprise , since rate approximately $ 90 / night include taxis fee . here be explain : company policy charge credit card entire length reservation arrive . addition , charge additional $ 50 per night possible & quot ; incidental & quot ; expense ! check , stay entire time , use & quot ; incidental , & quot ; bank release fund spend . policy post print , person tell reserve entire week cancel night not need later . I stay many hotel throughout US Europe never experience . future would stay hotel inform guest policy . 
 Jun 30 2009 	 Hotel Tomo convenient well - appoint excellent service . 	 wonderful 4 - night stay Hotel Tomo . room sixth floor bright , clean , beautifully decorate japanese motif , quiet -- street noise , although locate busy street ( Sutter ) . Japan Town directly across street full great restaurant price range . also across street bus line go directly Union Square Market Street . ( senior unfamiliar San Francisco aware senior rate 50 cent ride anywhere bus . ) Service Hotel Tomo really excellent . several time call replacement item Kleenex , etc . , housekeep door within minute . least two people man reception desk time , never wait line question . two additional bonus : free wireless internet ( desk also provide cable ) , nice & quot ; Little Gym & quot ; rubberize floor , mat , free weight , treadmill , elyptical , bike . there two minor thing bite less satisfactory we . one , room door impossible close without final & quot ; slam , & quot ; late sleeper , awaken around 7:45 morning guest begin leave room . secondly , eat breakfast two morning hotel restaurant , find bit greasy side . , stay Hotel Tomo wonderful , , good value money . ' ve stay many San Francisco hotel , think , depend rate time , one first choice -- especially since 's short walk daughter 's condo ! 
 Jun 29 2009 	 Hotel Tomo fun place great value ! 	 staff Hotel Tomo fantastic . able check early check late make stay much well quick overnight . love japanese pop culture theme . much fun . slice Japan San Francisco . really fun place . staff seem genuinely happy helpful . definitely back . great deal close Japantown . 
 Jun 18 2009 	 accomodate beyond Belief ! 	 room neat , clean new nothing beat friendly helpful staff . never San Francisco help son relocate SF grad school end stay Hotel Tomo 11 night ! check son miss home away home ! encourage give Hotel Tomo try will not regret . 
 Jun 6 2009 	 great value would stay 	 need area see concert Fillmore - could walk venue ... locate Japantown room clean , bed comfortable , internet room free , hotel quiet - we opt balcony room nice view ( 8th floor ) -could not really sit patio could stand . desk help really friendly accomodate - when need blanket towel late night right away ... parking reasonable well , could walk various type restaurant close . 
 Jun 3 2009 	 clean iLuv iPod player inconvenient location . 	 iLuv not work get , replace right away one work . notice video game controller , not play anything . clean , bell hop lobby really small . not park available , park street $ 30 / day . bar / sushi restaurant , drink . wish would stay Union Square entire visit instead Tomo . cold San Francisco wait cab ! room clean comfortable , would not go back . money save stay instantly eat cab . stay Hilton Union Square rest trip , much convenient ( cab need ) . still park street $ 20 / day ( time Hilton 's parking garage $ 50 / day ) . 
 May 31 2009 	 Fun friendly stay San Fransisco ! 	 Hotel Tomo unique hotel . japanese pop art decor much fun look . room clean . loved giant bean bag . bed firm , sleep well . helpful front desk staff . guy restaurant downstairs awesome . eat breakfast , although food not gourmet , cook waiter make character ! 
 May 17 2009 	 maybe one night experience 	 read hotel various magazine & amp ; online source think would give try rather stick safe hotel choice . the man front desk curt checking - & quot ; sign & quot ; & quot ; give credit card & quot ; etc . one offer help bag . get room first floor , quite amuse mural , best western room fill ikea furniture . find japanese pop theme hotel claim base could play design standpoint real j - pop fan seek hotel may disappoint . bathroom typical best western bathroom shower area dark . the room fairly clean , though , different experience . bed comfortable linen decent . ' m fan location - safe area many eat choice , supermarket , bus stop right front hotel , away bustle tourist . the hotel provide complimentary hi - speed internet access , wi - fi unusably slow . ask network cable hard - wire laptop desk , even adjust dns setting work . hate chain desk , horrible plastic chair ! eat Mums restaurant shabu shabu good . room floor restaurant , could smell meat cooking room evening , unpleasant . wall thin could hear every footstep conversational tone voice hallway late night . in conclusion , want try different kind hotel , Hotel Tomo may worth stay one night - good rate . pay good rate stay best western . 
 May 2 2009 	 Loved ! 	 go son love thing japanese . location right Japantown , perfect . love japanese pop culture , will appreciate design . beyond , simply great place stay . bed comfortable linen fresh clean . furniture seem new . bathroom fine . nice towel . hotel staff helpful give direction . quite bus line right outside hotel , easy we go around San Francisco without car . also easy walk Fillmore Street , 's shop dine . great value . 
 Apr 24 2009 	 nifty little place ! 	 book hotel Expedia look review Trip Advisor . on arrive San Francisco Airport take short ( 40mins ) shuttle bus drive hotel , situated heart city 's Japan Town . there trouble room although 8th floor , lift speedy . the room bright airy really quite large . hotel base japanese theme , room flavor East , futon stle furniture quite odd funky mural cover one room . like room ! dress area light sink wardrobe , bath , shower toilet separate room , tad dark . the staff always friendly answered question . restaurant atache hotel . eat first night , although staff lovely , food average , not go back . there plenty asian restaurant area , shopping centre 2minutes walk hotel . directly opposite hotel deli , sell nice sandwich ! hotel icemachine drink machine alternate floor , however go floor 4 find work ice - machine restroom lobby service stay . however free internet access printer available lobby ! also small gym , partner use once . the room clean everyday hotel operating policy put card bed want new sheet towel bath want replace . the room also iron iron board great ! add extra include funky i - pod alarm clock flat screen tv ! location fine . area fairly quiet feel safe . bus stop area SF within minute walk taxi be always readily hail . down road Tomo hotel call & quot ; Queen Anne & quot ; ghost tour hold every night 7 pm £ 20 , quite cool ! feel gotton good deal Tomo , hotel nearer city centre would hectic . 
 Apr 17 2009 	 modern unique 	 feel like typical US hotel , hall small , lobby video game anime . room normal size usual amenity bold mural solid color . like people might hate it . it long walk Bart , non - athletic people need take taxi bus get there . the restaurant serve japanese food surprise , probably well one neighborhood . 
 Mar 29 2009 	 great weekend trip ! 	 stay Hotel tomo whim . attend San Francisco International Film Festival late night horror film keep we travel home night . decide stay Hotel Tomo boy decision ! nephew jPop fanatic ! everything Anime japanese rock music awesome we . hotel jPop feel . funky ! room big enough ( although three people one room end share bed ) . shower little low strange smell throughout hotel . con aside , Hotel tomo cool place stay look hip hotel ( traditional japanese hotel experience , try Hotel Kabuki right street ) 
 Mar 9 2009 	 good value ; odd decor 	 Japan Town hotel japanese character , include odd wall mural room , along wood grain carpeting ' ve ever see . lamp bed sufficient read . bed hard , number towel , furniture especially comfortable . on hand , inside parking ( $ 20 ) price SF decent . ok , nothing write home . look frill clean , interested stay downtown , worth consider . 
 Mar 2 2009 		 good point start , location not bad . 2 block great shopping district Fillmore across street Japantown . service accommodate friendly begin end . even allow early check - in arrival give one three high - room floor two window . bed comfortable room keep clean . bad point : price bathroom . bathroom dark crowd really unpleasant . difficult share two adult . main reason change hotel 4 night book 8 price . $ 20 , stay much high - end hotel much nice amenity elsewhere city . say , be hard know book city many room various locale , price tag , level service . tomo not bad , trendy . be old , dumpy Best Western give cheap makeover ikea product . 's . 
 Feb 24 2009 	 tad far action SF nice cheap price tag convenient bus 	 definitely great place stay wonderful location great price . front desk personnel curteous accomodate ( $ 125 - 160 night , give top - notch service ) . hotel decor whimsical perfect japanese pop culture / video game / anime / manga fanatic . they even restaurant downstair open really early breakfast bar open late night hour . wireless internet free reliable . also safe room laptop valuable , safely store room . let also add already iron ironing board , not worry pack one like . lol . in addition , location convenient . right across street Japantown -- Bus line 2 , 3 , 4 pass bus stop across street 4 block north ( beware hill ! ! ! ) another bus stop ( Bus Line 1 ) take block away Ferry Building . the area pretty safe quiet . lot restaurant Japantown stay open still plenty late night . however , want add almost every night hear siren distance . ' m sure close be . there side . wall always thick enough ( light - sleeper friend mine wake sound people next door ) allergic goose pillow . come night not water available vend machine . also , lighting room bit dim liking , could not find switch turn heater . ( room even heater ? lol . call front desk . ) leftover , not know would warm . room not microwave . other , stay great , would still highly recommend hotel ( warn light - sleeper Lol ) . price , convenience , location , can not find well place stay City . 
 Feb 23 2009 	 Great Japantown Location 	 good value . balcony room large , comfortable clean . japantown easy bus access downtown , Market St , Castro GG Park . good restaurant area . staff exceptionally friendly helpful . neighborhood quiet clean . Wifi hit miss , slow , free . 
 Feb 17 2009 	 ok 	 arrive Hotel Tomo snowboard Tahoe do . check lot luggage not even offer assistance room . we get give room 4th floor proceed unpack stuff quickly head Fillmore , + point hotel location . get back really bad loud noise come outside room appear come air conditioning . we go reception ask room change , receptionist not forth come . pack stuff move another room , bit annoyance . all , ok stay , brilliant one bad . 
 Feb 16 2009 	 Coolest hotel ' ve stay 	 trip California end San Francisco want stay different part s.f . boy sooo glad choose hotel . its cool , weird ( cool weird ) , japan animate wall , room sooo coool . the wall paint manga image comfy . we invite taste sake rec room could play Nintendo WIIThe hotel situate heart Japan town walk around really great part S.F.The restaurant part hotel , coolwe get eat Shabu Shabu ( japanese meat fondu ) make reservation get crowded local tourist . this cool hotel ' ve stay would go back anytime . 
 Jan 28 2009 	 Gem San Franciso 	 great service . arrive late 3 am , quick check . come San Francisco Chinese New Year see friend . hotel locate right Japan Town central City . francis front desk hotel extremely friendly helpful . ask direction part town able tell bus number take next day . say enough helpful Francis . wish hotel curtious make guest feel comfortable . room well decorate . love design . far one unique memorable hotel ever stay . clean tidy . milk bottle lamp awesome home room . service extend stay , always return Hotel Tomo come San francisco.-steve 
 Jan 27 2009 	 Nice Quirky Budget Hotel 	 like hotel . would consider budget 2 - star hotel excellent shape . furniture simple & quot ; ikea & quot ; style . wall mural neat . front desk staff friendly helpful . $ 99 not price right - high ! pro : comfortable bed , decor unique , food good restaurant , clean , worn ( yet ) , con : dim lighting bathroom , wireless internet working room ( tethered ethernet cable ) , would love lobby coffee snack , limited parking ! not like basic bath toiletry . 1 bathrobe room . tv remote difficult - push , push push button finally work . would stay good location , rightly - price hotel City . 
 Jan 17 2009 	 Hotel Tomo surpass expectation ! 	 ' m surprised write stellar review hotel read many comment reviewer . anticipate problem - rude service , slam door , lousy wifi connection , fickle heating . however , give uniqueness Hotel Tomo , willing give shot . honestly say hotel far surpass expectation cater need trip ( efficient service , quiet floor , clean room , cool environment ) . say , reader keep mind hotel mid - range best Western , neither five star hotel hostel . will not get room service ear - to - ear smile staff , need not worry comfort , cleanliness , safety . the service great - check quite late without hitch , ask direction question front desk , request taxis staff . return flight 10 pm , staff quite amiable store luggage , actually refuse tip upon retrieve bag ! prompt give hotel & quot ; excellent & quot ; score fact personalize letter head housekeeper leave desk , & quot ; guest experience & quot ; manager leave message phone call extension need anything stay . visit much high end hotel , receive type gesture business property . & quot ; regular & quot ; guest , find message quite personal reassuring . wifi work perfectly , tea kettle , alarm clock , A / C , in - room safe . yuzu - bergamot toiletry cushy robe nice touch , nice wake music ipod . printer two computer available lobby print boarding pass , map , etc . location bit far touristy part SF , dead heart Japantown . nice able grab take - out raman Tanpopo back room within 5 minute . great korean spa minute away well . a minor con : housekeeping staff come knock door 8:30 . fortunately , already , want sleep late , remember hang & quot ; Disturb & quot ; sign turn light . free breakfast may much ask , put complimentary coffee / tea / fruit lobby would nice touch . overall , would definitely stay . be fan anime not sense humor Tomo 's decor ( i.e. , be & quot ; scared & quot ; room mural ! ) , would advise look elsewhere . look unique experience decent rate , would recommend place wholeheartedly . 
 Jan 10 2009 	 Coolest Best Western ' ve stayed ! 	 think whoever idea re - design best Western hotel & quot ; Japanimation & quot ; theme genius ! wish small hotel american city would convert art - theme hotel like Tomo . we enjoy concept decor . mural room hotel restaurant really cool . vend machine lobby sell $ 35 gift funny , break partake this . I appreciate convenient , free internet access lobby . the gym nice view surround neighborhood Japantown , though cold room go . I take one star : 1 ) breakfast include book ; 2 ) wish & quot ; gaming room & quot ; open go could enjoy decor -- room close ; 3 ) week , free sake usually hotel guest ( reason , suspend Hospitality Hour week Christmas ) . 
 Dec 28 2008 	 Hotel Tomo Quirky Clean Fun ! 	 stay family Christmas completely fall love little hotel ! addition provide we comfortable stay clean room , character run rampant throughout establishment . decor funky tech , anime - theme wall mural Pac Man color hall flat - screen tv iPod alarm clock . Comfort , however , lose novelty . bed blanket soft , shower warm restaurant second floor serve fill breakfast ( serve western egg plate well japanese fish noodle dish ) . location Japan Town ideal want avoid noisy tourist area still see unique , authentic part San Francisco restaurant shop nearby . service & quot ; 4 - star & quot ; - not expect bellhop concierge service - neither price , people desk friendly attentive . definitely stay . 
 Dec 28 2008 	 Good Budget Hotel Good Area 	 good budget hotel nice residential neighborhood . hotel parking structure appear hold car , park surround neighborhood night . street 2 - hour parking limit start 8:00am , look parking sign avoid ticket ! want decent place sleep shower locate near friend ' home , $ 99 night ' mind room sparsely furnish bathroom light dim . dorm - like furnishing hard chair limited desk space ' comfortable adult work room , room clean standard size . like other , problem get tv remote work push button , ok , since not spend much time room . the dark , airless restaurant ' appeal , many place eat within walk distance . this good hotel price , ' look nice amenity find high price hotel . 
 Dec 23 2008 	 Little gem 	 traveler like good deal , never stay fancy five - star hotel . find hotel well - price , clean , quiet , locate safe neighbourhood . room funky decor add experience . bed comfortable . rent car , take city 's fabulous transit system , way , bus stop right outside door hotel . favorite place hang North Beach area , 20 minute bus ride ! ! hotel also locate step away Pacific Heights district , beautiful area city great shopping , restaurant , etc . love San Fran , would definitely stay Hotel Tomo ! 
 Dec 2 2008 	 good central location middle Japan Town 	 stay Hotel Tomo compare price Hotel Kabuki block away , holiday rate offer good . located entrance Japan Town shopping area surround neighborhood well - keep , area safe compare stay Union Square , Market Street , North Beach previously . room nice good king - sized bed . opt 8th floor room ( top ) since great view city unobstructe scene well . front desk accomodate direction around town quick check well . parking $ 20 average area . wifi connection wonky best western tech support line helpful , get piggy back another non - hotel wifi though . come small room fridge . as note report , t.v . remote control easy use sometimes miss button . transfer different room smoke detector start beep due low battery technician around . good location , good service . 
 Nov 19 2008 	 like 	 room sixth floor nice citythe room clean , large good bed , pay 70 euro night , we good deal consider place people friendly hotel pleasantly situate japan town breakfast little much expencivebusstop pier 39 front hotel cost 2 dollar , also lot restaurant nearbywe good time tomo hotel , thank 
 Nov 5 2008 	 good hotel 	 stay 7 day King Deluxe Room , first floor . clean . big room . free WIFI . hotel good location safe quite area city , entrance Japan Center . close many restaurant shop . muni Bus station city center front hotel . excellent value . 
 Oct 6 2008 	 Liked decor room . 	 like anime wall print decorate room . add nice touch . also , like colorful yellow linen window seat . art wall also different nice . not like bathroom . dark look like need remodel . also tv remote not really work . hotel look like 's process reinovating get well year . good place stay affordable one night SF . 
 Sep 25 2008 	 great location family friendly 	 make reservation Hotel Tomo discovering receive good review article Sunset Magazine month . japantown location central travel . surround neighborhood residential , able easily park free neighborhood night . hotel offer parking fee , necessary . usually able find spot within block two hotel . room comfortable good size 2 adult 2 child . restaurant loud ( popular ) . first night stay room ground level noisy street restaurant . request quieter room next 2 night front desk staff accommodate . room stay high floor quite quiet . think room rate reasonable , especially San Francisco . we would definitely stay . 
 Sep 17 2008 	 Loved Hotel Tomo ! 	 stay Hotel Tomo Sept 2008 . ' m graphic designer really appreciate moderately price hotel style . come across article Hotel Tomo design - relate website , interested . research learn location Japantown , know would love it . when travel not like stay touristy area ( boring monotonous ) , time want easy access wherever want go . tomo not disappoint . plenty muni bus stop step hotel . cab pretty easy come well ( front desk call one ) .with location , be also 2 block Fillmore St. , great shop restaurant . also love Kinokuniya Bookstore across street hotel , little mall . my room king size bed really cool ( love mural , furniture , wood grain carpet ! ) , importantly clean . minor thing , know ahead time read TripAdvisor review , 's daycare something kid right hotel . 4th floor could hear kid play outside . not enough annoy make want stay again . overall think Hotel Tomo great value San Francisco . be great , touristy location . be short walk many restaurant shop . would stay ! 
