good 	 good hotel nice aqua bar central location ND 
 life simple 	 like hotel . properly maintain , clean neat . room big enough comfortable stay love one . offer good variety food smile 
 Jun 2 2009 	 Comfort convenience sustainable cost 	 welcome front office staff smile . great know upgrade Residence special category 9th 10th floor . Room CategoriesLuxury Room 87luxury Premium 97The Residence Room 25Deluxe Suite 07presidential Suite 04total . room 220amenitiesvoice mail , international direct dial , email , internet facility , safe deposit locker in- room safe , minibar , multi - channel color television satellite TV , in- room temperature control , hairdryer , in- house laundry , fresh flower , seasonal fruit , newspaper choice . Residence Room Suites feature personal fax , VCD player , computer request , individual digital safe , private Jacuzzi , butler service , private lounge library . doctor call , disabled access smoking room . 24 hrs currency exchange , 24hrs car hire , travel service , baby sitting , free car parking valet service confectionery shop . electricity : 220v , 50 cycle 110 v adapter , Guest elevatorsservice OUTLETSMIST - Hours Dining RestaurantThe Box - Box city 's good address handpicke gift item , beauty product , home accessory , stationery , unusual gift item fashion . agni : 35 foot long bar create magicfire : new indian restaurant Park , New Delhi design basic element fire mind.3 banquet hall : Mantra , Yantra - Yantra - II include prefunction area capacity people informal style . Aura Spa bring unforgettable experience handpicke ingredient , use purify detoxify property . spa therapist professionally extensively train variety style massage customize you . aqua : swimming pool set garden , open member resident guest 7 be 7 pm , lifeguard duty . the Salon : beauty parlour barber shop offer exclusive beauty service specialized hair care man woman . the spa : health club fitness centre offer range international fitness machine . 2 private room individual sauna steam unit massage facility also available . open member resident . 
 Jun 2 2009 	 Agi Pub Rocks Place ! 	 room clean comfortable . location excellent centrally locate inspite hotel CP , noise room . best part place , specially party animal pub cum disc - Agni . place live kicking till 3 morning party lover thirsty crow , place . you get good food till late hour 
 May 13 2009 	 rate 	 hotel contemporary , classy . thing not look luxurious , rather little cheap side . room furnishing look little tired worn . lobby bar large enough . poolside okay - nice morning yoga anyone get . 
 May 12 2009 	 park 	 good hotel beuatiful multi cuisine restaurant 
 May 6 2009 	 ok hotel 	 visit hotel business visit hotel ok great . ' business meeting inside hotel loud eating area , room small ' much compact hotel ' get client business deal . ambiance great staff service good . overall business ' select hotel low price work outside want come back sleep hotel ok 
 May 4 2009 	 love room 	 Hotel park Delhi , loacte New delhi main city , close cannought place take suit amazing room ever see . 10th floor perfect ambience perfect climate delhi . magnificient room bathroom beautifully make . stay 2 night , Hotel also beautiful restaurant top floor beautiful view . pub downstairs , shop easy market close . Good Food , good service everything Perfect . 
 Apr 23 2009 	 Excellent Location 	 clean hotel excellent location . plenty restaurant within walk distance hotel . hotel restaurant good aswell . service would expect 5 star deluxe . staff pleasant & amp ; courteous . lot go around hotel centrally locate . be wary local approach & amp ; try friendly , i.e & quot ; not want anything , ' m student & amp ; want practice english & quot ; . try con go store pay get customer in . Airport 30 minute away , hotel central . 
 Apr 23 2009 	 well option available 	 stay property one night standard room . the check inn breeze absoluetely issue there . the hotel need major maintainence u notice walk towards room .As u see wall chip , paint faiding dirty carpet.e.t.cthe room though modern , upto date . as recently renovate ( couple year back . ) room clean though tad small size . afamily even small child face problem . the bathroom clean comfortable size . they small pool like pool workout beter check . the big disappointment spa , atrociusly price big enough all . the gym ok not steam jacuzzi , plus sauna mouse hole . I try one treatment less impressed . while check keep wait bell boy hour take luggage reception settelemnt bill , despite call twice didn.t turn up . so small child lap take luggage ownThe hotel entrance stylish chic .But overal u r look luxury leasure much well property available close proximity price . property big comfortable . 
 Apr 21 2009 	 central place 	 hotel locate central business district New Delhi hence suitabel busiens traveller . good club room decor exceptional . food fire really innovative good . 
 Apr 18 2009 	 accessible luxurious hotel 	 Park situated heart Delhi that s big plus business traveller ... nice luxurious hotel , nothing much complain , typical nice 5 star hotel typically nice indian hospitality . 
 Apr 17 2009 	 comfortable prime location 	 Hotel location ideal , CBD oppsite office . hotel tend noisy due constant influx tourist time . coffee shop good menu time . however , staff efficient . good part coffee shop buffet . plan avoid peak time get seat . room comfortable well lay . cleanliness house keep well service good . front desk staff good . 
 Mar 29 2009 	 lovely place recover Delhi Belly 	 surprised comment find hotel , clean , quiet extremely comfortable - good bed India . room faze bathroom . service experience superb - always someone hand help boy need ! pool lovely unfortunately little shady . also wonderful facial . negative point cost internet certainly excessive cost bottle water think complimentary sending email . 
 Mar 23 2009 	 bad first impression 	 Park attempt fit W genre hotel , albeit fail pretty miserably . try make really short:1 . night club music audible , least room , 4 . good considering get 20 hour flight early call time.2 . lobby front infested mosquito . 3 . understandably , even though long hair male , need openly make fun look like female [ least staff might ] , unprofessional.4 . room nicely decorate , remove 23 ornamental pillow bed finally able go sleep fun.5 . room glass case relic , even though might seem cool first , really , not say much value place important piece one 's history.6 . wireless . it not great , especially price . read review Trident Agra notice mention breakfast 5am . staff Park willing sell we two day old pastry . much complimentary breakfast . I ' m sure be well hotel stay Delhi . unless like party 4 not want deal trying find way home , stay . one . 
 Mar 23 2009 	 sure bathroom 	 hotel 4 star standard try 5 star making . room good size not like frosted glass wall bathroom ' private . room clean include tv , dvd , hair dryer , kettle . mini - bar etc . lift rather slow one 3 action . breakfast good space sit outside . 's pool not time use . bar expensive - 425 rupee ( £ 6/ $ 10 ) small bottle beer ! would consider stay would not drink bar ! 
 Mar 19 2009 	 nice Hotel . 	 Clean Hotel Room fine Bathroom ... large bath would take week fill ... shower little awkward work .. great consequence . pool outside do not use still quite cool outdoor bathing . hotel locate end Avenue oposite Conservatory ( small park ) 2 - 3 minute away busy shopping area . go street find little overpowering crowd also everyone want either sell we something & quot ; Guide & quot ; ( fee course ) restaurant Reception quite casual serve kind food . buffet look nice indeed , do not sample first visit India cautious first regard food . breakfast nice- self service . food serve Restauirant hot well cook . staff Restaurant Reception friendly helpfull . 
 Mar 19 2009 	 Noisy ! 	 ' m usually pretty forgiving come service receive hotel , share terrible experience recent stay Park . my husband need 7 morning check hotel , call early night head room 11 pm . could hear music / beat inside room , call front desk inquire noise . say come club , would not reach 3rd floor . ask we would like move room high floor . think nice , agree change room . get room high floor , find face pool area , party go . , could hear beat , actual word techno song ... clearly . pillow head would make go away . call front desk , , . , probably call half dozen time . front desk would say party would end soon , party would end 1 , party ending , party would end 2 , etc . always polite speak , let know not think fault , ask could & quot ; please turn & quot ; , & quot ; [ ] maybe ear plug could try ? & quot ; . get nothing else could , party would end time . last couple call , front desk staff sound annoyed speak , verge loosing & quot ; nice . & quot ; , husband call front desk 2:30 morning , ask please something noise . say manager take care . 2:45 music FINALLY stop . husband get less four hour sleep . no one ask stay check . remember ready let know disappoint . leave comment card , though . even indian standard , hotel clean . many stain furniture / rug , room dusty . feel like hostel hotel . the door bathroom 2 foot bed . be frosted , glass , slide door leave 2 inch gap bathroom wall , complete privacy . lighting also bite difficult figure . ' ve never write online complaint hotel stay , feel compel experience . would never stay Park . 
 Mar 15 2009 	 never go Friday ! 	 spend 2 separate night hotel start finish 3 week tour India . first night not problematic although hotel ' trendy ' bathroom totally impractical - washbasin high use comfortably , hardly anywhere put stuff opaque glass wall slide door ensure privacy ! last night , however , something else ! not know Friday disco night warn even 4rth floor , , sleep . music full blast also people talk smoke corridor outside room night . 3.30 a.m . complain duty manager kindness tell people shut ! disco end 4 a.m. get couple hour sleep . 
 Mar 8 2009 	 barely okay room lobby 	 spend 4 night upon arrival New Delhi travel service choose hotel we . problem check - in check , fast accurrate representative travel company get we register upgrade club floor . area rug room need clean , whole place feel slightly dirty . bed towel clean . club floor offer nothing different , internet access chargeable coffee . eat breakfast fine buffet cater different nationality . service slow get fast pay bill waiter look tip ( even waiter race collect ) . maid service uneven , vrye outstanding poor - replacement bath towel without ask , additional coffee . decor attempt contemporary & quot ; hip & quot ; end garish tacky . lot small tour group stay ( especially French ) . outside hotel gate many hawker first time return would even allow we walk ( block path ) . location central make difference we pick hotel drive ' sight & quot ; . 
 Mar 8 2009 	 Comfortable wow 	 obviously take inspiration W hotel right leave apple orange room . 's luxury 's good base explore Delhi . room comfortable generally clean spectacular . be sensitive sleeper , noise nightclub may keep awake . 
 Feb 25 2009 	 stylish expensive work pay . 	 Park unusual choice tour group not really want expect posh hotel like good start end trip . hotel clearly upmarket , well design stylish entrance hall bedroom . staff friendly service always smile although feel little slow reception . I can not say whether good value hotel certainly popular local wealthy kid seem nightclub Saturday night warn get room close ground floor disturb number people group . give coffee cost we £ 3.50 arrive everything expensive compare rest India generally Rs400 hour internet connection show business hotel . water food well find outside hotel unless deep pocket work pick bill . 
 Feb 22 2009 	 Noisy Hotel Expensive Restaurant 	 hotel close proximity Connaught Place husband dung throw shoe attempt mug himThe hotel clean , stain carpet noisy disco . although restaurant good choice price expensive 
 Feb 10 2009 	 dirty overprice ; yes friendly staff professional 	 two we stay ( two room , business ) early February 2009 six night . course stay , also go three hotel New Delhi meeting . three well -- much , much well - than Park , much ask room rate find other ( Imperial , Taj , one ' m forget -- Claridges ? ) price range . ' ve never bother writing review place cost much , room filthy rundown , warn other . ' m sure review real people hotel ; be positive . staff pleasant area pool not unattractive , loud , obnoxious constant music make even normal conversation almost impossible . certain socket room would explode , unplugged laptop electrical device everyday . wait staff hotel restaurant friendly many work get 's way , sit multiple party one table ( without know ' ve do ) . return . 
 Jan 28 2009 	 Nice room noisy 	 stay Park 2 night . arrive late Friday night hotel car pick we Indri Gandhi airport - good call 's bit much step plane ! ! hotel nice central . security high force . room decent size modern - although especially clean ( particularly bathroom ) . room sound proof road outside busy - lot beep ( everywhere India ! ) shouting - perhaps Friday Saturday night . also lot pigeon nail anything outside window sill stop load land coo constantly . bar area obviously party central rich Indians - probably fun join . , 5 am start eat Fire ( tasty - lovely pepper chocolate truffle bill ) head bed . check 5 am ( disturbance hallway throughout night - despite 7th floor ) - bar kicking . whilst nothing compare London bar - still put expensive hotel number drunk man hang around - even receptionist seem embarrassed . plus side - travel centre sort change itinerary book train travel us - helpful . 
 Jan 9 2009 	 enjoy Park comfortable 	 agent move we last minute chance check Trip Adviser ahead time . pleased . security front door full force . staff ultra courteous , room small spotless bed comfortable . nice art wall sculpture , . fresh fruit wait we . service request fulfil promptly . restaurant wonderful breakfast buffet many make - to - order item . variety standard indian fare chinese western - style selection . first trip Delhi little anxious neighborhood soon learn pretty normal Delhi . spot several monkey frolic roof build behind hotel look like school . walk around bombard Delhi stimulus , relief return peaceful hotel . exercise room well - equip . cold use pool clean anyway . definitely would stay . 
 Dec 3 2008 	 wonderful birthday weekend 	 moment stop vehicle , escourte front desk immediately receive attention . due birthday weekend , upgraded treat like king queen . room tastefully decorate . bath tub , entire family could fit , highlight . enjoy thoroughly . room warm comfortable bathroom tidy clean . room service excellent food divine . birthday morning , special . staff wish we . breakfast well take care , waiter , always go . even though birthday , husband notice overall treatment guest , excellent behold . nowhere see , enthusiasm helpful . admire staff hotel . certainly leave wonderful memory unforgetable birthday . 
 Nov 14 2008 	 worth money ! 	 Exterior ugly good location . interior retro rather nice , need updating , due wear tear . we book ' luxury ' room pay luxury price , however , room small although attractive , absolutely nothing luxury ! bathroom also small moldy grouting , dirty toiletry , lack towel ( fresh smelling ) make resentful price pay . the bad part stay loud , thumping music play 6 am night stay hotel . travel agent omit inform we hotel renowned bar / club attract young generation Delhi . fact popular music end 6 am ! ! ! ! ! ! husband call reception 6.30am ask noise tell know refer . check 4 am next day saw exactly cause vibration come pillow ! ! fume ! ! small boutique hotel certainly equip host late night party deny know reason noise come grouchy guest call reception wake ! service generally rubbish not even get ' goodbye ' receptionist checking . good thing hotel location , decent food moderate decor . overprice , room small , staff rude loud music really put try get sleep ! would stay ! 
 Nov 6 2008 	 slick property great location 	 hotel renovation part operational . conran partner do fabulous job term revamp property . enter greet blue pink interior boutique . on lobby level MIST coffee shop serve wood fire pizza . also India restaurant call Fire serve great food . Room get 4th floor . size room small comfortable . Decor good housekeeping upto mark . two people glass bathroom nice . overall , location great service average . outstanding decent enough experience . 
 Nov 5 2008 	 bad service rude staff 	 another expensive hotel Delhi .... hotel nice , good , well decorate room . service staff terrible . Got wake call 4 am require ( later discover mistake ! ) . despite tell operator not require wake call , get reminder wake call 4:30 ( unbelievable ) . complain , complete mess , get someone come room 5:30 offer T - Shirt ( ongoing convention ) . original plan wake - up 7:30 leave working day ! checking - out , complain staff , incredibly rude , ask wait manager ... manager come , face eye look nowhere say & quot ; ' m sorry & quot ; . maybe unlucky day will never take chance hotel . 
 Oct 30 2008 	 Poor Management -- - money steal room staff 	 significant point review feel rob hotel staff -- - literally rob . go breakfast last morning leave thing room , safe ( shame us - always use safe ) going go 45 minute re - charge DVD iPod . luckily we person clean room get purse steal $ 170 . leave room & quot ; Disturb & quot ; sign door ( previous evening - one knock night morning ) T.V . staff ( anyone else ) would come knock . unfortunately room close elevator person clean room right left ( person floor see we ) . ask we laundry pick . say ask check . tell check afternoon . upon come back b - fast noticed money miss . notify front desk miss money ask system could track entry room . come back hotel early afternoon notify we room enter person clean room . say check laundry ( ? ) clean room sign door ( ) . change story ( say language thing ) say clean room -- -- nothing do . something do would obvious us room . management assure we would investigate take care . single thing do never -- - -- - even call room leave message transpiring . believe isolated incident support complaint T.A . management here . we tour Gate One . pro : food good . , location bad , room clean modern . con : obviously steal money management 's poor / non - existent follow - up , elevator slow ( one service ) , pool unusable due construction , 
 Sep 27 2008 	 interesting different 	 apart excessive wait luggage deliver room - Tip - wrestle porter take - recommend . centrally locate short walk Central Cottage Industries ( must ) .Gin tonic bar good , price would make faint ... room modern lovely bathroom , although glass enclosure would rather offputte suffer Delhi Belly want bit privacy room mate . Breakfast miss Dosa Omlette chef smoke salmon . 
 Sep 16 2008 	 Good Location poor Decor 	 return stay hotel 9 night . find location excellent staff helpful . breakfast also good . beside nothing good say hotel . room small space suitcase . check , room particularly clean not think sheet change . towel stain bath Robes look dirty well . immediately complain changed bed linen towel . also complain size room move another room 2 room long stay . request honour advise room available Residence category high rate . run hotel dirty carpet corridor . Food Restaurant expensive . one day 3 portion toast sandwich 1 portion French Fries cost we around £ 35.00 . room key never work swipe card 10 - 15 time . ask reception reprogramme still work . housekeeping need improve day forgot replace towel . at Mist restaurant appear residence guest priority refuse table non smoking area book . staff front desk aware dissatisfaction nothing do . in view 4 star hotel close 5 star term hotel décor , room size cleanliness . past stay Grand Intercontinental true 5 star Hotel . would return back hotel future recommend friend 
 Sep 1 2008 	 OLD RUN . need full makeover IMMEDIATELY ! 	 hotel run . everthing old run down . the light stuff also old run not always workThe key swipe several time order work . food expensive fact condition hotel , hotel price far expensive regard five star hotel . staff helpful friendly slow . rather stay Le Meridien price get well new mordern hotel . 
 Aug 31 2008 		 stay two accasion tour India Holiday . must say outset l feel back 70 's Australia . it indeed different , somwehat corny . hotel fit 70 's , ok indeed different . the drink food excellent , fact breakfast whilse eat european staff present we dish varied indian food explain we . greatly appreciate . on second time hotel , treat like royalty . tip work . upgrade , andcould ask well service . location good , watch Monkeys . next time l would prefer Indian Hotel , l think . 
 Jul 28 2008 	 Bad Management 	 amenity hotel average hotel Delhi . however show get old need complete makeover . but reason would not stay hotel Staff , Staff uneducated ( include manager ) . give chance try fool try make life somewhat easy themselves . and horrible thing not limit ask bill . not matter rest pool exercise gym , somebody come question ... 
 Jul 18 2008 	 Convenient 	 stay Hotel April - husband business holiday . hotel tired need refit , bit disappointed arrive class five star Hotel clearly not .. room not particularly clean not think sheet change . view room awful derelict site . room key never work go back reception several time day get reprogramme . food good restaurant bar service attentive , expensive ! ! pool area okay , real problem fly , make unpleasant sit pool bar problem cool drink warm . spa treatment , excellent . staff friendly , desperate tip , make sure take good supply low denomination note . 
 May 2 2008 	 Liked Park 	 nice hotel . good location walk Connaught Circus , walk Bangla Sahib Temple directly opposite Janta Mantar observatory . food good room clean quite civilised . 
 May 1 2008 	 bad value money 	 stay Park business purpose . modern hotel ( futuristic meet retro ) beautiful room -- lot glass marble nice amenity . however fundamental hotel extremely week . 24 hour dance bar main floor however matter floor hear pound beat -- 4th floor , colleague 7th floor , hear . wake around 3 also hear people outside . want sleep good bet . another poor feature lack expertise hotel staff . front desk staff young , beautiful local horribly inexperienced , verging inept . example , problem room key go complain could get room . front desk staff give another electronic key , go back find problem . went ask right room . argue -- quite ridiculous especially 10 pm want get room get ready bed . the restaurant quite nice near shopping area location good , overall feel poor value money ( think room around 350 usd per night ) . would recommend . 
 Apr 21 2008 	 dirty poor service pretty central 	 hotel accord many local posh fashionable hotel New Delhi decide give try . book via website ask non smoking room , get give smoking room . manage hour negotiation get room ask first place ( receptionist say we favor ! ) .The room tiny manageable couple . big turn dusty generally disgusting room . mention sheet blood stain ! frosted glass separate bathroom main bedroom cover unidentified trace … . hotel general bad condition .The restaurant ' white wall cover food stain .. .Needless say stay one night quickly check . would believe Murphy ' Law meet breakfast another couple disappoint be . to add list negative experience , bill correct argue receptionist … and one so … seem client check , something complain manager … my husband many time India get pretty good idea expect price range far big disappointment . price might well stay Claridge even bit town worth 10min long cab ride city center . 
 Apr 10 2008 	 3 - star trying pass 5 - star 	 know well stay international hotel travel agent tell one India 's fine . . hotel lobby stench please quite ( 10 ) indian man sit couch lobby give creep . try food , instead dine Shangri La superb , say spa Park great . price pretty good therapist superb . the room okay , modern , boutiquey style , little small . besides room spa / gym , would stay esp . since price comparable either Le Meridian , Shangrila Hotel Nikko . 
 Mar 26 2008 	 relax end hectic fortnight ... 	 stay last night India , travel overnight train Kathgodam . arrive hotel 6.30 a.m. , within fifteen minute room ready we extra charge . the staff friendly , room clean . yes , not cheap , relax last day India . find taxis yard away hotel well value one door , use final journey airport . 
 Mar 23 2008 	 tacky sub - standard - good enough 5 * 	 terrible ! hotel April ' 07 one night . mom be actually stay Imperial 6 night , however 3rd day I m [ perial overbooke transfer we Park one night . at proch hotel staff dress shabby uniform ( v - neck velvet type top trouser ) , inside unorganised front desk take age room we make we wait around even though reservation . lobby small - decorate give modern contemparary feel fail end look cheap ! room - COMPACT - would call capsule room . bathroom tiny remind little toilet airplane . bathroom actually part room - frost glass wall separete two lock bathroom slide door . IMPO - one point someone knock door - second late answer staff member thought could use card get access room . complain - want know staff member trying get room - nothing helpful could say manager . two woman room , find disturb know anyone could try barging room . feel safe night . few pros : dvd player room , free dvd watch available library hotel . breakfast good , even though hassle staff member sit breakfast hall . end relieve back Imperial feel like different world ! ! fact Park cost r 12,000 rubbish compare r 13,000 imperial really worth spend little bit extra . 
 Mar 22 2008 	 Park Hotel Delhi close airport 	 extra night Delhi give Park . nice , clean hotel . however , much character overall little cold atmosphere . bathroom huge , nice tv . pricey get , however , 
 Mar 20 2008 	 Nice Hotel Expensive 	 like Hotel . hotel theme earth , wind , fire , water sky . do sophisticated way make change standard hotel chain . staff meet helpful eager make sure stay good . my room lvery clean , arge spacious huge bath big LCD tv , dvd player , internet connection IPOD dock . good feature room wheat grass grow trough across width room . the food also good really like bar . the downside hotel price ! watch luxury tax top rate . pay 16,000 INR night taxis top . 
 Mar 9 2008 	 really comfortable stay 	 feel many review unfairly harsh hotel . whether be inflate expectation Delhi not know find hotel clean , comfortable offer good service . ok , 's St. Martin 's Lane hotel London can not expect not charge kind price . mid - range place could manage get availability ' m happy land upon it . it be conveniently locate Connaught Place cab auto rickshaw rank right outside entrance , superb visit Old Delhi , rest city course onward travel . great point note - get upgrade top floor room , private bar dining area , excellent happy hour 6.30 - 8.30 time writing . pool area great fitness room spa well equip late machine . Breakfast also include top floor area , real bonus . point watch - always check bill like pair hawk wherever go noticed squeeze couple minibar item not . despite upgrade we , add normal ' luxury tax ' pay . point effect not choose upgrade think unfair make we pay bit tax . remove everything question little fuss . secondly , experience guest speak , minimal chance get check noon arrive early morning flight either book rest room airport arrive later happy leave case porter explore room ready . hotel happy check we charge we reduce rate previous evening consider six hour wait , pass offer . finally , although look good , pass restaurant hotel eat dinner Banana Leaf - basic excellent veg South indian restaurant Connaught Place stuff face 500 rupee ! 
 Mar 1 2008 	 Crazy Place Hope 	 hotel worth money . staff good helpful room 10th floor pretty awesome . marble floor ( mat ) bathroom large marble bathtub flat screen tv . pretty nice . contrast dirty carpet hallway , dingy front entry dirty elevator . use pool walk main restaurant ... awkward wear swim short shoe . the spa work room good . room 10th floor spa great value cleanliness hotel pretty lacking . stay nothing else available ... . 
