will 	 stay whole week Thanksgiving Holiday love every minute . room cleanest fresh hotel stay . sheet comfortable choice pillow , either soft firm . view greatest , not spend much time look window . morning enjoy breakfat buffet gather round crap table ( $ 3.00 minimum , great ) get crowd . first , complain slot tight , last night morning leave , . staff friendly helpful not mind ask dumb question . room big , arrive , husband ask book suite . location convenient us daughter family live close able forego rental car . take shuttle strip one day hassle - free . life good Suncoast Hotel Casino . 
 Oct 6 2009 	 great place stay away hectic Strip 	 stay suncoast 3 night September enjoy much . hotel beat track ( 15 minute drive major action ) offer slightly sedate alternative Strip downtown Las Vegas . room huge , bed immaculately clean comfortable . ' much gambler Casino ' abundance 1 cent machine great appeal ! check give complimentary chocolate BOGOF voucher drink onsite TGI Fridays nice touch . hotel usual Vegas style facility ; cinema , bowling alley , pool etc . ' sample nightly entertainment show longue poster seem pretty cheesy variety . suncoast nothing overly special spectacular ( particularly ' Vegas ' scheme thing ) offer great value comfort reasonable price . 
 Aug 3 2009 	 nice visit 	 Stayed strip avoid party weekend . hotel nice clean . 2 bedroom penthouse nice clean . casino nice could use table game . like let - it - ride 4 card poker type game . thing blackjack 3 card poker . pool small small hot tub . would feel wierd another guy go . small . would never stay gamble . clean look clean . say lot Vegas go hill quick far hotel clean . leave southpoint bug not happy 2 bedroom penthose mirage . mirage shocker dirty room look . good thing say casino nice room clean . 
 Jul 11 2009 	 want stay Strip ? 	 tired hustle & amp ; bustle stay strip , along heat crowd , try Suncoast Summerlin . upscale neighborhood 20 minute northwest strip . room huge clean , everything one could want . it be high roller high class kind place , load penny slot ; perfect fun . add daily tax $ 5 , oppose $ 15 resort like Red Rock . food fresh good daily breakfast buffet . can not beat $ 7 price either . 45 minute north beautiful Mount Charleston , cool alternative gambling . also , Red Rock Canyon 20 minute west another outdoor adventure . 
 Jul 9 2009 	 Amazing Hotel keep go back . 	 suncoast great hotel . amenity would expect hotel Vegas , large casino , bowling alley , movie theatre , many restaurant , spectacular pool , much . free shuttle service strip , complaint wish run later , last pick midnight weekday 1am weekend , sometimes early ! room spectacular price , big , much big regular room strip . service great , community around hotel fabulous , really beautiful city . location great , minute interstate , minute outlet mall , minute strip . look alternative stay strip pick Suncoast , disappointed . 
 Jun 15 2009 	 great room value money 	 stay fantastic , great hotel fantastic amenity site . staff extremely helpful pool facility view superb . fault would lack friendlyness organisation Poker Room , someone need serious look runand improve greatly . 
 May 25 2009 	 late review 	 stay 2 night December really enjoy . king - bed room large , clean . bathroom area nice also . view room outstanding . notice smell smoke hallway - maybe floor non - smoking . lady check - in helpful - complaint there . there smell smoke casino . would expect , whole casino smoking area . air definately well old place Strip Downtown casino . 's great place stay want play golf also shop center ( Boca Park ) close . 
 May 20 2009 	 little cheap would amazing 	 ' ve stay 18 hotel Las Vegas , place much well average . the room bathroom fantastic . really big , nice quality . great view adjacent golf course . this place middle golf resort community Vegas . 's great neighborhood , 's good drive strip . food option excellent , great , reasonably - price buffet T.G.I.Friday be among thing . get $ 20 food credit check in . the pool top , still roman feel , majestic stair lead it . you get free pass good gym . you can not go wrong stay . 
 may 12 2009 	 clean great location near family 	 choose hotel 's 5 mile parent house Sumerlin . location also excellent 's mile 2 Red Rock Hotel Casino . however , need go Red Rock find everything need Suncoast . think room clean , casino clean . also offer shuttle service , twice day . get airport , wait hour , set time . call ahead request pickup service . also return flight , 3 hour early , set time shuttle . fall . think schedule base arrival time request service ahead time . maybe ? return back airport full shuttle ! also , think restaurant good .. enjoy stay stay long room remain clean ! 
 May 3 2009 	 need ` ` someone nice '' everyone Suncoast exceed need . well ! ! ! ! ! 	 flood home March 23 , 2009 . first week spend deal airplane fan dry condo week sleep fetal position small couch . second week learn insurance , construction , estimate , bid coordinate process . course one want make first decision start weep . ( know would work , next time , weep soon . ) move Rio April 9th April 19th . omg , talk drain whatever energy leave . feel every time either came go , assaulted music ( ? ) , heaviness , one make eye contact common employee response & quot ; well , yeah & quot ; . stay extended insurance co . Rio book solid 19th . unhappy move . negotiate Suncoast , admit apprehensive , Rio . much surprise , nice . could believe . treat respect , dignity , warm welcome smile every person encounter . Valet , Bell , Front Desk , Coffee Shop , Maid Service , Room Service , Show Room , Gift Shop , Ice Cream Parlor , Cashier , Security , Coordinator , Painter , Chef , make sure receive wheat , gentleman name Jay , help pool anyone else forget mention . felt come pit despair warmth , care comfort . oh , View incredible . love come & quot ; home & quot ; incredible view . wish everyone staff experience least live . ( mean suncoast experience - not flood ) . today May 3rd , get go home ( condo ) tomorrow . actually go grocery shopping today love ( ? ) .thank , Thank , thank youwith Gratitude Blessings , Josephine ForresterRoom 815 
 Apr 19 2009 	 need place stay look home . 	 would stay agian bet would . poor start . problem get valet attention . baggage person . want smoking room get non smoking room . however ! next day everything make right . can not say enough good thing staff . picky room CLEAN bed wow nice . Amanda Amy valet 's next morn . team work everyone team like two . gambling nice , every night much lose . great location need place house hunting , northwest . way get house : ) price great get 2 1 deal . forgot view die . 
 Mar 20 2009 	 old Review may prove helpful 	 husband stay hotel / casino location ample room size . come Vegas gamble enjoy hotel casino purpose ; use meerly accommodation . regular room good size well 400 sq . foot good price Vegas . hotel / casino strip close Red Rocks . want go downtown short drive rental . suncoast provide shuttle service downtown back well . choose due rock climbing event Red Rocks Redezvous . go hiking , climbing , outdoor adventure ... may want check place . love size room . bed comfortable , bathroom great size ( double sink remember correctly ) , pool nice , staff accommodate . staff even keep straight face would leave every morning walk casino pack gear slung back ... return filthy wore night ! love treat we would high limit player . go gamble ... rating system casino use pretty tight build comp quickly . high limit slot quite expansive desireable place . like poker room , seem good bunch player thorough day . stay hotel ( likely ) run old crowd . place see . show good good book name act . look nice , friendly , family , inexpensive place stay , would well stay . great view Red Rocks beautiful golf course . think golf course top notch also . movie theatre , arcade , bowling alley hotel . think also near outlet mall . drawback & quot ; regular room & quot ; , coffee maker fridge ... remember ... casino ... & quot ; playing & quot ; & quot ; pay & quot ; drink , coffee , even soda . deluxe room fridge etc . would recommend place other would stay agian . 
 Mar 20 2009 	 Strip - Great Views - Nice Room 	 large guest room , view Red Rock Mountains adj . golf Course . decor room little date , still comfortable . flat Screen TV & amp ; fridge room , fairly large bathroom well . stayed one night , comfortable stay . note - Hotel strip - nice neighborhood ( Summerlin ) , 15 - 20 min 's main part Las Vegas Blvd , Hotel offer shuttle service strip . 
 Feb 23 2009 	 hard beat value 	 stay 5 night , strip courtesy bus every hour take . go strip day evening , pleased stay strip sure would slept well there- noisy ! would probably stay strip couple night go back suncoast - mainly courtesy bus time fit well meal go show , taxis quite expensive ( unless unlucky pick rip merchant ) .Rooms large & amp ; comfortable , smallish casino , enjoy food , breakfast include reasonable price good . nice pool area , pool modest size . Las Vegas - say - love - totally top . sad Star Trek Hilton close ( give away age guess ) , Bellagio , Little Venice , New York New York etc well worth see . stratosphere ride look terrifying area seem bit downmarket seedy . strip acknowledge people smacking card hand unless want referral ' working lady ' - even though see car go around billboard - apparently prostitution legal part Nevada - Las Vegas . 
 Feb 20 2009 	 good value away strip nice room 	 be look decent room vegas , suncoast good bet . room spacious , bathroom nice . room clean , bed decent . mattresse not bad , top notch either , touch hard liking . casino smokey , could not deal , gambling . buffet dinner ok , really worth $ 13 . pay $ 37 ( include resort fee $ 5 ) , definately good value . need car stay . 
 Feb 15 2009 	 great meeting facility 	 stay coordinate class one hotel 's meeting room . meeting planner , upgrade wonderful room 10th floor . bar , living room , dining area , large separate bedroom huge bathroom jacuzzi tub huge shower . bed comfortable . meet facility well run , worth consideration event . large selection restaurant casino , patronize two : Cafe Sienna serve decent , inexpensive early bird breakfast special . Bagel Cafe Express pretty good sandwich , although seem bit pricey . otherwise , preferred get eat somewhere else . across street Cheesecake Factory Gordon Biersch Brewpub great place eat . 
 Jan 22 2009 	 pleasant surprise ! 	 two review list book critical everything -- food , casino , trash hallway , hard bed , etc . hesitant make reservation price bargain go two day . ' m glad ! think everything superb . standard room beautiful , bathroom die . two sink , separate tub / toilet room phone , less . coffee morning , newspaper door , safe valuable special price $ 30 per night ( Mon Tues ) . easily $ 125 - $ 150 per night room . clean fresh smelling . bed firm pillow foam , happen like . eat Casino Buffets town ( spend winter ) think Sun Coast 's good lot . hope enjoy stay much . definitely return soon . 
 Jan 21 2009 	 cleangood value money 	 book 2 king room week go .... ( already book trip flight ) need one night stay somewhere ...... room large , get little old clean , breakfast buffet good value $ 6.95 , coffee , tea , fruit juice etc include ... bowling alley good fungood one night stay , little far stripbut $ 20 per room , ( resort fare $ 5 ) .. good value 
 Jan 15 2009 	 suncoast everything right 	 wife shop cheap hotel west strip visit father . find bargain Suncoast ! $ save Tip : visit suncoastcasino.com directly last minute pricing booking less month advance -- save 30 % online booking agent ' price ( hotline.com , lasvegas.com ) . course , not know always offer last - minute bargain , still compare price . the place long way strip downtown . shuttle , opt rental car family visit area . free self - park require walk casino ; inexpensive valet service use final day . I surprise self - sufficient hotel . bowling alley , movie theater , several dining establishment , coffee house , slot , large sport book , table game , poker room , pool , spa , evening show ( time ) $ 25 . restaraunt affordable ; although food nothing write home . service staff typical roadhouse grill polished spot strip . pleasant not expect bow every whim . room service pricing reasonable -- rip off . I spend one fun weeknight play 1/2 NL Hold'em , order free shot Patron , gabbing bunch local table . much casual nail - bite poker strip . finally call quit 9 am ! room large clean . not suite -- wide room . enough floor space middle aerobics ! kid , plenty space rollaway two . size tv disappointing ( 24 inch ? ) . good sized bath plenty closet drawer space . it think would great family destination good change - of - pace glitz strip . would describe suncoast hometown experience . 
 Jan 14 2009 	 great value - clean quiet 	 Booked Suncoast bargain hotel prime trade show time pleasantly surprised value . hotel casino quite small , great ' m gambler . mean long walk get front desk , buffet , room , front door , etc . room HUGE , clean quiet . old furnishing , still decent . fridge , list website . big plazma tv wall also nice . nice clean bathroom lot room , towel , etc . Valet service free ! convenient quick , pleasant staff . Buffet , dining room , room service food decent reasonable . spectacular still worth . nothing complain all . plenty service , incude movie theatre , ice cream parlor , bowling alley , TGI Friday 's , etc . convenient . the negative find location , be 20 minute car Las Vegas Strip convention center . central locate hotel , not mind convenient drive , definitely worth stay . well anything else stay Las Vegas Henderson price range . certainly well worth ! 
 Jan 8 2009 	 Huge room little Old Good Value 	 drive St George , Utah back Los Angeles deal estate issue husband 's late mother , Vegas gamble , want somewhere clean pleasant gym pool . suncoast fit bill perfectly , hallway casino rather smoky room . huge nearly big Manhattan apartment least 500 sq ft . , beautiful floor ceiling window , couch , table desk , like junior suite . far strip , come Vegas would good bet , business family go right ahead . 
 Jan 7 2009 	 Great Place strip 	 second time stay . great value , beautiful view . Decor date clean great condition . room large . price right . staff friendly polite . many ammenitie hotel ie movie theatre , bowling , wide variety restaurant . could use one doorman overwork . stay Red Rock find value size room much well suncoast . response previously negative review alarm clock room . able set clock sure friendly staff would try help . 
 Dec 21 2008 	 good price great business purpose 	 recently stay suncoast business Las Vegas . hotel locate Summerlin , 20 minute Strip . room large well maintain . great view valley . read quite complaint bed hotel find , firm , bed comfortable . report , choice pillow . large plasma tv room well refrigerator . tv channel selection limit . bathroom large great water pressure . housekeeping keep room good shape . the casino focal point hotel . drag luggage get elevator , find inconvenient . also smokey , much could stand short period time . several restaurant facility . dinner Salvatore 's SC Prime good great . since travel business , leave hotel fairly early . find breakfast problem . buffet open 8 a.m. bagel cafe not open 8:30 a.m . leave small coffee shop lobby serve small selection pastry . muffin OJ $ 7 . need internet , plan spend additional $ 13 per day . if be look & quot ; strip & quot ; hotel reasonable price want gamble , may good option . need business service ( like breakfast morning ) want close Las Vegas attraction , would look elsewhere . 
 Dec 17 2008 	 Suncoast Sucks 	 think hotel awful . first problem arrive room . request king get 2 double bed . call room tell mistaken request 2 double bed . definitely case much customer right . schlep bag way back reception exchange key another room . , could not meet new room even meet half way matter . apology give inconvenience . if plan read room well bring flashlight . light dim 's impossible read . while be , bring pillow . pillow huge almost sleep sit . blanket room , not . ask bring one . during 3 night stay , always room - service tray leave hall floor food . 24 hour later tray still . come , can not room service go back pick tray ? housekeeping - can not pick ? disgusting . the grand finale though leave letter state electricity would sometime middle night . neglect also include ear peirce fire alarm would also sound addition without power . , apology hotel not accident either . know alarm going go neglect put letter fear would find another hotel . front desk explain do good time . really ? time middle night ? ? complain people seminar attend arrange hotel . get hotel issue whop $ 15.00 food voucher ( good certain place hotel ) inconvenience . letter apology coupon , coupon envelope retrieve front desk . guess much trouble slip door . if not battery operate alarm clock need get morning , trouble . mention housekeeping never bother set clock power ? blink clock flash wrong time remainder stay . good advice , run not walk hotel . 
 Dec 14 2008 	 Great Value 	 husband need night away visit family book last minute hotel website . pay $ 38 . 5 star resort please not expect perfect . room huge clean bit musty smell 38 buck not go complain . huge casino ton game . really cheap drink bar ( pretty much free play video black jack wait . ) eat cafe , food good inexpensive get large portion . overall great value ! 
 Nov 14 2008 	 Terrible Service 	 stay hotel twice room excellent , service terrible . first time stay wedding night , get marry vegas need somewhere stay leave honeymoon . go valet , leave stand middle traffic wedding dress . one ever come pick bag . carry room wedding dress . second time stay , wake 6 a.m. construction right outside window . complain , front desk tell know go construcion noise . rude still upset six month later ! 
 Nov 2 2008 	 fan . Hope never go back 	 & quot ; local & quot ; hotel , show . whole hotel smoky smelly . food area low brow upscale . casino smoky lot slot machine . it $ 70 airport cab . the room large bathroom look like remodel recently . hallway , even non - smoking floor , smelly . room oddly ( thankfully ) not . I guess be stay escape local family would fine way would ever stay instead stay somewhere strip . 
 Oct 26 2008 	 Great Place away Strip ! 	 wonderful week here . room big tripping thing . bed fine . nice big bath area . pool kinda small never busy . nice casino lot game lot video poker machine . only eat buffet find good value . ice cream place good . great value hotel away strip . 
 Sep 22 2008 	 Away Strip 	 Set pleasant residential area west Las Vegas , Suncoast well - keep hotel / casino catering frequent Las Vegas visitor tire endless traffic construction noise Strip . ( Bellagio , example , seem surround sprout high - rise top giant crane . ) room spacious well - appoint , wall - to - wall , floor - to - ceiling window . request golf course side reward panoramic view green , well small pool area hotel . though room begin show sign use ( stain sofa chair ) , keep spotlessly clean housekeeping staff . the Suncoast also provide visitor movie theatre bowling alley - , disappointingly , spa . parking plentiful lot well light . shuttle bus Orleans Gold Coast . ' m sure Boyd property . the player card update include Boyd casino include well California , Sam 's Town Main Street . though qualified casino rate , still high compare Coast hotel . suncoast seasonal special good value worth sign e - mail . across street suncoast brand new , low - rise , mega - shopping center complete upscale store restaurant . Red Rock Casino short drive away . we recommend buffet , good selection freshly prepare food . breakfast buffet provide room . casino hotel staff pleasant courteous . beverage service prompt . would recommend Suncoast & quot ; do & quot ; strip afraid drive around Las Vegas . 
 Aug 24 2008 	 sunny Suncoast ! 	 stay two night suncoast friend attend party Summerlin area . since open , ' always play Red Rocks , hotel way expensive liking . stay Coast , ' locate near friend ' house also near favorite casino . imperative car stay far Strip , never miss hustle , bustle , traffic Strip , either , stay Summerlin . the room Suncoast huge : king size bed , sofa , flat screen tv , separate vanity area two sink , bathroom shower / tub lot hot water , w.c . bed comfortable enough , though pillow awful . the maid come fairly early day , always nice . room spotless amenity replenish second day . have problem hotel end , major sabotage : friend book table dinner Saturday night Primo ' month trip – birthday dinner . call hotel Wednesday reconfirm room dinner reservation , informed Primo ' close renovation . ' unconscionable restaurant would call customer inform person place would close . manage get table wonderful Silverado South Pointe , happen . we great bagel Bagel Cafe Express . ' jewish know good bagel ; trust , bagel well worth ! would definitely stay , though ' bring pillow ! 
 Aug 22 2008 	 nice place bad bed ! 	 friend & amp ; go Las Vegas long weekend August . want stay Summerlin area attend friend 's party , friend live far suncoast . little hesitant stay suncoast due previous review Trip Advisor regard bad bed & amp ; poor pillow . the friend going discuss decide give Suncoast try anyways . mean , bad could bed , right ? couple week trip call Suncoast & amp ; speak hotel manager regard concern hotel 's bed . assure mattress replace 1.5 year ago pillow fine . after speak , feel well & amp ; decide stay there . I think manager must put note reservation , check Suncoast get upgrade amazing 1700 sq foot suite , Tuscany Suite . this Suite fabulous - foyer 1/2 bath , separate huge living room good sized bedroom absolutely big jacuzzi bathtub ever see life ! floor ceiling window room suite , walk shower big enough 6 people beautiful look bed . I not mean harp bed good night 's sleep important , comfortable mattress & amp ; feather ( least fluffy ) pillow quite necessary . well , sorry say , reviewer right 3 bad night sleep hotel ever stay . bed uncomfortable woke every morning sore back . bad could use chiropractor ! pillow horrible foam rubber one feather pillow find entire hotel . one would think especially suite would comfortable bed imaginable scad feather pillow . sorry folk -not suncoast ! ! also surprised suite not offer & quot ; treat & quot ; slipper , bathrobe , upgrade bath amenity , bottled water anything . 3 - night stay thing get use ( pad paper , shampoo , etc ) replace . friend stay regular room bed & amp ; pillow suite . standard room beautiful - spacious & amp ; comfortable couch & amp ; coffee table , separate double sink area shower & amp ; toilet area . the staff friendly & amp ; accommodate , casino not lucky go fun & amp ; play penny slot . the hotel casino nice Bagel Cafe Express good everything bagel ' ve ever taste , know hotel improve bedding never stay ! 
 Aug 22 2008 	 great value 	 hotel really offer amazing value . ( free shuttle to / from strip airport , car really must . ) room feel luxurious give size view mountain , golf course , pool area . good variety food reasonable price , even $ 1 bowling midnight . even penny video poker blackjack , though machine tend fill fast . only downside : pool oddly shape 4 foot deep . 
 Aug 19 2008 	 good hotel Vegas 	 great hotel someone not want deal hussle strip . room huge view amazing . much selection come room service , hotel locate Summerlin surround restaurant , grocery store , minute drive red rock mountain . area , unlike strip , safe great place family stay . drawback walk casino trying find elevator , case Vegas hotel . every time stay room rate $ 50 , steal . 
 Aug 12 2008 	 Room Service Superior Palazzo 	 stay 4 night Executive one Bedroom Suite & amp ; would stay . golf course view fabulous & amp ; space welcome change hotel room . addition , every staff person encounter friendly & amp ; accommodate . room service far superior Palazzo ( stay previous 4 night ) - prompt , order correct w / all necessary cutlery , friendly , & amp ; professional . only criticism smokiness casino . can not believe w / present technology stale tobacco odor correct . 
 Jul 7 2008 	 Good Hotel Strip 	 travel visit relative Fallon stop night Las Vegas . want avoid traffic hassle strip choose Suncoast base review . wish Tripadvisor different class hotel . 5 star hotel , class ( moderately price hotel ? ) facility winner . room clean large bath . appreciate double sink , separate room commode . toilet refuse flush arrival , however , call housekeeping , maintenance person arrive within 15 minute solve problem . I ' m big gambler , one casino look pretty much like every casino . yes Smokey , Nevada casino not ? not gamble , also include nice well maintain bowling facility multi - screen movie theater . dinner Mexican theme restaurant , good reasonable ( $ 20 dinner drink ) .I book hotel web site get rate $ 50 night . complaint ; $ 12 night hi - speed internet connection pretty steep . hotel outside Vegas , include internet connection free nominal charge . self - park garage quite hike , valet parking free ( gratuity expect , course ! ) 
 Jul 2 2008 	 nice hotel 	 stay 4 night price meet far behine expectation . every thing right hotel . love hotel book next trip Las Vegas . room big clean . hotel great family trip , much see . 
 Jun 16 2008 	 Great Deal ! 	 stay hotel 2 night visit family . room huge floor ceiling window overlook golf course . everything clean . shock pay $ 42 night stay ! front desk staff friendly ... even 1:30 finally check . give trouble request 2 queen bed non - smoking room . valet service quick easy . thing like walk smoky casino 5 month old get elevator . highly reccommended hotel look quite way strip . 
 Jun 15 2008 	 great stay SunCoast ! ! 	 stay SunCoast 6 day stay late May early June . usually stay strip rental car valet park thing strip . check - in quick efficient , ensure know everything . Bellman Valet service outstanding duration trip . Service Cafe Buffet great . ask virtually every employee come contact enjoy stay , nice change . pool small , enjoy much . crowded bunch scream kid , also open 10:00 pm plus want late night dip . room spacious nicely docorated . accuratey portray website . also Frig nice keep bottled water / soda . hall quiet wall thick , well sleep long night . suncoast nice residential area plenty shopping nearby need pick last minute item . drink service quick play slot . slot looser many experienced trip . overall would highly recommend SunCoast anyone need stay Strip look quieter , relax vacation . 
 Jun 7 2008 	 bad deal 	 fantastic deal price ; room enormous ! bathroom elegant ( ' sink ' room ' shower / tub ' room ) . view underwhelming though . restaurant bad , Seattle 's good coffee ice cream parlor right casino ; long walk self - park garage check - in room , plan walk ( crowded casino ) luggage . could splurge valet parking . 
 Jun 6 2008 	 Great Hotel far strip 	 ' ve stay Suncoast twice enjoy stay . HOTEL : hotel nice . casino , movie theater , small pool . room huge large bathroom large area . easily fit family four . casino good size , minimum not ridiculous strip hotel . also , bingo hall apparently happen place . location : hotel approximately 20 30 minute drive strip . plan hang strip , place stay . however , lot market , Darling Tennis Center , golf course nearby . food : quite restaurant hotel . range food mediocre awful . not eat cafe place chinese food hear terrible . buffet nothing rave either . never try italian steak place , not look spectacular either . if want big room not mind location far strip , nice place stay . 
 May 30 2008 	 Sun shine suncoast 	 past year , visit Las Vegas business 6 time first time stay far strip . Suncoast choose really low rate location sort near business location . I not miss strip Suncoast offer gambling temptation , neighbor Rampart Casino . plus , hotel movie theatre , bowl alley nice selection surround shopping restaurant upscale area ( Summerlin ) provide need 4 day stay . staff : exceptionally nice . check great . could not give king bed reserve , guarantee nonsmoke room must . housekeeping crew friendly restaurant shop staff great . room : large spacious , include huge bathroom . nice flat screen tv , limit channel selection . bed disappointing . Mattress cause pretty stiff pillow so - so . room temperature easily controllable -- huge plus I . car / parking : car location essential . find parking outside lot ( parking garage ) offer quick , easy room access . gaming : Roulette offer 50 cent chip w/ $ 2.00 minimum inside bet . not see many place anymore . I hope stay wish would upgrade mattress . 
 May 10 2008 	 exceptionally quiet room 	 several couple stay Suncoast Hotel four night mid - April son getting marry Stratosphere . pick hotel reading review Trip Advisor . surprised walk casino get room , seem pretty standard Vegas . room large exceptionally quiet , ( though golf course view side ) , pool beautiful ( crowded ) , love away Strip . request stay floor family friend honor , sister - in - law 's room 's hair dryer catch fire , replace within hour . one family member stay Treasure Island Costco package deal ( airfare , car , hotel ) , definitely cheap , Strip . complaint staff service hotel , would stay . 
