Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Nov 7 2009 	 place NY 	 be hit Manhattan travel New York leisure shopping , Roosevelt Hotel offer excellent location good accommodation . strategically walk distance Grand Central , Times Square , Broadway , Empire State , Rockefeller , Central Park lot shopping place . price accommodation considerably cheap considering be rate 3.5 star . room also spacious , consider 's Manhattan . be travel group 4 , stay hotel lot well option stay b & amp ; b hostel . 
 Nov 3 2009 	 great hotel - not worry bad review 	 Stayed Roosevelt four night ; slightly concerned mixed review pleasantly surprise - front - desk staff great , room large good shape . good value money concierge staff good get - Christine help number issue credit hotel . long get reservation know will stay NYC future . 
 Nov 3 2009 	 Great Location ... hotel need Complete Renovation 	 read many mixed review Roosevelt quite unsure expect arrive hotel . stay Roosevelt 5 night book standard double room , send email hotel request room two double bed . arrive hotel greet nice open airy lobby fresh flower table smile door bell boy , however one offer take luggage we . get check desk , staff friendly helpful somehow mess book state book 3 night , however check system realise look instead reservation 2010 ( strange know , hope havnt get we book ! ) rectify quickly apologise give room seventh floor view street Madison Avenue . room good size , bed quite comfy however know make bed properly bed actually fit bed ! wallpaper many describe decor room somewhat tired look nursing home style ! nice tv cable channel air conditioning unit however ' touch ! bathroom far tired feature room , shower head stick wall properly bath would hold water length time well sink plug allow drain . ' experience ' brown water ' case other suggest always hot water . there 6 lift hotel , wait little time . long wait one 5 min last day . never eat hotel , try breakfast Starbucks , would recommend , good idea go first day . unsure eat first night , great italian restaurant call ' Naples 45 , ' reasonably price great food ! overall hotel need . get hotel great price Expeida , pay £ 1300 room would cost book direct hotel , would happy . hardly hotel much sleep come back afternoon rest , look get good price , yes , Roosevelt would fine option .... clean , amenity need , however look something bit , bother tired look stain carpet hall way etc would look stay somewhere else . hotel complete renovation hotel could amazing ! bit TLC need , think due sheer size hotel ( 1000 + room ) big staff care , update . eg . bell boy desk 7 member staff job 3 could do easily . need hotel great location room comfortable bother eat Roosevelt would suitable . 
 Nov 2 2009 	 awful experience 	 husband stay Roosevelt hotel . we honeymoon New York last stay . regret booking hotel . say one good thing time hotel/ room like match box . socket wall burn mark . go iron clothe iron fall apart burn . take 12 hour get another one , even explain happen ask one five time thoughout day . staff rude unprofessional.and way helpful . I expect treat like especially honeyroom still feel angry experience 
 Nov 1 2009 	 Excellent Hotel 	 recently 4 night stay , read many review concerend point nearly cancel . glad do not , hotel great , good location , friendly staff , nice size room clean . 
 Oct 31 2009 	 Nice Hotel Great Location 	 visit New York first time , get fair price hotel , not regret . read alot review , alot be negative . be postiv suprise , service , checkin , room , date , ok , think age Hotel . elevator work fine , expect litlle wait time , morning , people check time . good , hotel middle thing manhatten , 5 minutte Time Square , walk . great location , fair price : - ) 
 Oct 26 2009 	 good hotel 	 nothing complain . Roomy room decorate american taste correspondent guess carpet find every NY hotel . 
 Oct 25 2009 	 okay get great deal rate ... 	 bid $ 180 per night , Priceline put Roosevelt 6 - night business trip . price , fine , 's way would pay rack rate $ 300 + per night stay . nothing horrible , plenty good . room huge , 2 queen bed huge walk - in closet . far big hotel room ever Manhattan . employee friendly helpful . location good , foot Grand Central easy walk Times Square , 5th Ave , etc . place feel date creaky . elevator slow . room air conditioning system make lot noise much cool air . toilet flush reluctantly shower drain also cranky . one morning take shower water warm , would get hot . and charge $ 15 day wireless internet think outright gouging . I would stay long pay $ 200 night , . 
 Oct 25 2009 	 would never recommend hotel anyone 	 family recently stay Roosevelt Hotel recent trip NYC . stay several 3 1/2 4 star hotel Manhattan never bad experience . upon check go room ( request non - smoking room ) room smell smoke . faint smell intense cloud cigarette smoke . complain front desk room move . new room problem hot water heater even maintenance & quot ; fix & quot ; problem get hot shower one three night stay . second night , sister discover crusty yellow stain bed sheet . overall would never recommend hotel anyone visit NYC . 
 Oct 25 2009 	 great customer service 	 hold major black tie gala event Roosevelt please customerservice attentiveness staff . want 3 course meal serve 300 people within one hour speak part program . execute flawlessly , attentiveness courtesy . feel rush . little issue , one staff person say job handle . everyone take responsibility make sure flow . know handle big group style . 
 oct 22 2009 	 can not beat Location 	 Venerable hotel , open 80 + year ago , rundown seedy . central location can not beat ; walk distance Times Square , New York Public Library , , plus easy public transportation . describe hotel one word , would convenient . pay $ 169 Priceline . 
 Oct 19 2009 	 nothing Fancy Great Location 	 get great deal hotels.com trip August . double queen room - room fine . nothing fancy , clean large NYC . lobby impressive hotel staff overly friendly , helpful pressed . good part stay location . not spend much time room , since traverse city dawn midnight , purpose roosevelt good choice . five - star accomodation , good nonetheless . 
 Oct 19 2009 	 hotel make improvement would stay 	 although entrance lobby pay tribute 's historic attribute , not fool . Roosevelt Hotel quite measure industry standard . recognize bell staff bar waiter attentive service - stop . one colleague room ready 7:30pm evening tell ' no place change clothe ' originally check accessible room - fix shower head . ask move tell would wait another day even though plenty room ready first arrive . also re - pack belonging store bell stand yet - frustrating town business . alert even room type begin . pillow room point end fours - woke one morning large scratch side face . red cut enough colleague notice next morning . although food New York expensive , $ 30 oatmeal coffee seem extreme . maid knock enter room quick enter 8am-8:30am make sure deadbolt lock . also trouble understand English employees- include two bell man . Elevators- impossible get one stop every floor . seem every time need go room , always busy . though trivial , become rather annoying 14th floor 5 stop every time use one . lastly pack day leave , notice small ' pebble dropping ' bed comforter . sure come , would rather know . ' ve hear , hotel improve quite bit last year , mean even compare stay average Holiday Inn . room advertise $ 299 per night , honestly would not hesitate spend extra $ 30- $ 50 per night get much high level accommodation service . thank later . 
 Oct 19 2009 	 Excellent Stay 	 score hotel priceline $ 185 night . nice . give we room 2 double bed , fridge give we crib baby without hassle . room reasonable size NYC . location great . 
 Oct 18 2009 	 fool beautiful lobby room awfull overprice . avoid unless desperate . 	 disappoint hotel . tell friend finish 5 week tour Europe 3 night Luxury New York hotel arrive Roosevelt find hotel shadow former self incredibly overprice . poor experience ( look forward stay ) start arrival . 3 door staff offer much welcome smile , fail even hold door open we even offer help we bag . lobby quite beautiful class attention detail end . see aged hallway room instantly know rip . room old worn carpet , peel paint / wallpaper , musty / moldy smell , ancient air conditioner bathroom 70 's . place need total overhaul . room par budget accommodation , wifi internet ( 2 computer lobby expensive ) , include breakfast 
 Oct 17 2009 	 Charming 	 stay 2 friend five night trip city . choose hotel excellent , central location be not wrong . 2 min GC Stn , Park Ave , Times Sq 5 - 15 min walk . with almost 1200 bedroom big hotel make lot money . read review accurate hotel charming ' old world ' flaw general upkeep maintainence . accept ' niggle ' , together good hotel . if anything , rooftop bar worth stay .... panoramic view 180 degree view city . 
 Oct 15 2009 	 Charm location expect problem room 	 ' ve stay many time return . ' ve learn check expectation totally charming lobby . good : location , lobby bar . totally ' old New york'not good : air con heritage list since 1980 not service since . will complain totally charming service guy make soothe gesture . continue noisily blow air room temperature throughout stay . the wiring date Roosevelt era . will try vain plug iPhone charger laptop . $ 14.95 internet connection run speed Clinton era dial - up modem . the bathroom least one follow issue ( ' ve see ) : hot water , toilet will not flush ; toilet run constantly , tub will not drain . there sundry bit room trim hanging . do order food . walk block direction instead . but bed comfy , staff nice pretend fix issue . ' m sucker ' Old New York ' schtick . go back . 
 Oct 14 2009 	 con pro 	 walk impressive lobby get check . upgrade standard double adequate size ( cosy queen must tiny ! ) . room date need refurbishment . bit smelly , clean tidy except odd expose wire connect lamp wall bathroom door close properly . air conditioning unit keep we awake much first night . try switch opening window - street noise bad . next morning request air con unit fix . complain return hotel later afternoon still repair . Engineer come replace unit within hour . last day check problem . ask member staff hotel would look bag whilst enjoy last day , proceed make 2 phone call pass we onto colleague - rude . return hotel collect bag doorman find one , go room find 2 stow together . hotel worth money pay . previously stay Club Quarters Rockafeller Center put Roosevelt shame fraction cost . not fool impressive picture website - need refurbish ! 
 oct 9 2009 	 nice location average hotel 	 Lobby nice , front desk & amp ; staff friendly , OK . room little small cozy double , double , ok bath . grand central terminal right across street , Time Square , Rockectfeller , United Nations withe walk distance . need breakfast go & quot ; Pizza shop & quot ; 5th Ave , turn left , pretty good . ny always nice place visit 3rd time city & amp ; still lot place go next trip . on weekend door Grand central closed need enter Park Ave next Michael Jordan Steak House . 
 Oct 8 2009 	 great location 	 recently stay Roosevelt 45 th Madison . location great . close Grand Central , Times Square . room large N. . 2 queen bed . . lot room . bathroom could use freshe . wall paper need fix fitness room 2nd floor open 24/7 , free charge .The staff friendly , helpful . take bus LGA $ 12.00 . .this sure beat cab . 
 Oct 7 2009 	 Roosevelt - ManhattanNew York 	 Grand foyer .... fit royalty ! amazing location , pretty close grand central station , time square , nbc 5th avenue . concierge staff friendly without & quot ; face & quot ; . gripe : room little cramp . 
 Oct 7 2009 	 beware - go . 	 unfortunate experience stay Hotel food wine group . suppose stay four night . leave one ! security lock door room - finally get - break , look force point , wood door rotten would hold screw maintenance came replace . basic amenity like shower cap instance non existent . quilt bed wash fill go lumpy . return room later evening supper strange people hang around corridor floor - obviously go come elevator . top awoke follow morning entire room without electricity ! ! room never service whilst . friend also stay awake final morning find run hot water.the staff rude could care less - forget use bellhop luggage get cab want know . 
 Oct 6 2009 	 nothing offer location ! 	 stay two night large group town food wine event . room label deluxe marginal good . small , stain noisy air - conditioner , stain carpeting , questionable bedding , loose bed frame almost catapult husband wall , tear lampshade tiny , uncomfortable bathroom hard work shower control . talk two other group whose room bad ( roach one , electricity ! ) change hotel . Sunday morning impossible -- 15 - 20 minute wait elevator , long line bell desk front desk . bad hotel never lot people schedule check one time , would know staff accordingly ! ! ! 
 Oct 5 2009 	 bad Hotel ' ve stay NYC 	 take staff NYC show part business trip book 3 room 2 night . first visit website think make great selection consider location picture hotel - not fool ! customer service hotel non - existent . first problem try pay room upgrade . email copy CC CC authorization form - acknowledge get . see card charge call ask upgrade paying . snip simply make & quot ; request . & quot ; reiterate , submit authorization form charge . say not get - despite fact email say receive . send finally charge card - 4 phone call later . arrive hotel try charge again.one staff member wake find cock roach size mosaic tile bathroom floor . call front desk someone come & quot ; removed & quot ; - 's one roach .... move another room . the next night wed big party sort go . people hallway run scream obscenity . People obviously intoxicate . understand 's NYC Saturday not pay mind . however , rude security officer bang door nothing sit talk ( tv , music play group sober ) tell we 2 complaint we not stop laugh would & quot ; escort we property & quot ; appal . staff member answer door tear . make apology upset - say job would & quot ; again . & quot ; step hallway go back room could hear room around we people talk laugh . understand single . much less , staff complain run hall people keep awake night . security not seem threaten escort property . the next morning , take we thirty minute catch elevator . hotel 1000 room 6 elevator ! peak time be wait atrocious ! ask staff member could use elevator could check ( 16th floor - luggage something could drag many step ) shake head walk away . room tiny - small ' ve ever see ! overall , think probably bad hotel stay long time . stay somewhere else ! 
 oct 2 2009 	 Great Hotel Great Location Great Staff 	 get great price Friday Saturday night stay recently Hotwire . hotel beautiful . room great , nice size , linen pillow plush . water pressure shower unbelievable hot , alone make 4 star hotel book . wonderful location , staff happy helpful . bar lobby Hendrick 's gin could want ? 
 oct 2 2009 	 oldie goodie 	 friend chuff upgrade superior room upon arrival . room clean bed comfy reception staff friendly . location wise 's great , close transport ( Grand Central ) within walk distance lot attraction . downside we lack tea & amp ; coffee make facility - one extra would make perfect . also , find gift shop concession staff charge stamp several dollar . 
 oct 2 2009 	 great price . central everything . 	 town trade taste Mid - town choose hotel location vs. price without check TA first . arrive early , check desk bellman check bag room ready time . return several hour later find le 15 person wait get check tell altghough ' check - in ' previously , would get back line wait turn assign key room number . find unexceptible bellman give key room bag check room accordingly . top - notch hotel would standard mode handle early check - in room available . upshot complaint bellman key produce handicap room suffice fine . room clean large enough bit spartan . price location work fine quick business trip . would return stay future . 
 oct 1 2009 	 grand entrance room weel average 	 stay hotel 4 night sept . hotel entrance grand & amp ; look fantastic . our first room poor state , air conditioning unit like old tractor , stains carpet & amp ; bathroom black & amp ; mouldy . stay room overnight room available . move another room next day little well . bath , shower shower area grout black & amp ; mouldy & amp ; toilet pan crack . room avail . one Bellhop intent get tip even though case still place leave . atitude terrible . good side hotel good location New york . 
 Sep 29 2009 	 great Choice Great Deal Great Location 	 Upscale within minute walk Grand Central Station ! close 5th Avenue within walk distance Times Square . quiet relax hotel bring new feel hustle bustle New York City . service excellent room cozy . 
 Sep 29 2009 	 Average 	 recently travel New York business trip stay hotel . room kind small , 's New York 's simply hotel . bed fine , like LG flat screen tv . problem shower , knob would turn barely cold position produce hot water . AC unit work fine high , extremely loud place low . fridge coffee maker room . I notice catch elevator consistently problem , especially 9 am . ready wait 5 minute get elevator . location pretty good bonus . , well place stay general area . think would spend money stay hotel . 
 Sep 28 2009 	 large room close everything helpful staff defiantly go back 	 stay Roosevelt 5 night end 3 week US holdiay Australia . three us room husband mum , room exceptionally large ( large expect New York ) clean look well expect ( nice white sheet etc ) rooftop bar beautiful , staff friendly helpful , close everything need take taxi either walk take subway ( subway convenient cheap ! ) would recommend hotel anybody defiantly stay . 
 Sep 28 2009 	 Location Lobby + Front Desk Staff '' 	 ' ve NYC girl year still find lobby jaw - dropping . gorgeous , location second none Manhattan - perfectly central . Doris Front Desk spectacular take great care . bartender lobby bar charming heck ( ' ve joke not get old ... ha ) usual con : room small ( welcome NY ) ; elevator slow ( welcome NY ) ; heat AC dark age ( welcome NY ) ; thing could really legitimately use regroute shower . rest fine , price incredibly reasonably consider be sit 45th + mad . 
 Sep 27 2009 	 good price ! 	 overall pay hotel great . get special summer deal 4 night stay - pay $ 139 night plus tax . include voucher breakfast per day ( value $ 10 day ) . non smoke twin high - ish floor ( can not remember one ! ) overlook street front hotel . bed big comfy , room clean , bathroom good . yes bit worn edge lift really slow let face be NYC ! want spend age room ! need clean comfy room grab rest another great day shopping sightseeing ! lobby amazing - old grandeur ! could get price would definately stay . really close grand central , 10 min walk times square overall good stay price . 
 Sep 23 2009 	 hotel infest bed bug 	 please beware . stay Roosevelt bring home house full bed bug ! infest throw matresse spend thousand dollar replace well whole house treat , horrible . stay ! 
 Sep 22 2009 	 cockroach bathroom 	 one bad hotel ' ve ever visit . truly awful . first show room & quot ; non - smoking & quot ; floor , entire floor ( 5th ) reek smoke . also tiny could hardly walk around bed .We request upgrade pay $ 80/ night pleasure . decor room would call & quot ; nurse home style & quot ; seem plastic pink wall , even wallpaper . light bulbs replace flourescent energy saving one - nice gesture wallet environment , be happy medium strike . bottom barrel lampshade not big enough cover , overall effect interrogation room . cable TV , fuzzy tv reception . 's coffee maker , pay $ 54 medium pot coffee two order toast morning . and title suggest , piece de resistance 3 - inch cockroach scuttle across institution - like bathroom floor clung plastic shower curtain . luckily boyfriend kill cockroach not something like important business meeting . anything avoid hotel , please . 's horrid . 
 Sep 17 2009 	 excellent location ! 	 Roosevelt excellent location midtown Manhattan . all fingertip ! find great place foot . one nasty thing bedroom fridge absurd pay 300 dollar room . lobby hotel pretty , well decorate ! really enjoy stay ! 
 Sep 16 2009 	 Tired Old Lady 	 ' ve stay many time business year ago -- mostly location value . nothing special close office beat . stop many hotel midtown NY soon well rate comfortable room . try -- hotel wonderful history belove friend many , ' m sorry -- tired old lady . everything wear , front desk staff ( least experience , grant midnight arrival ) cool dress cheap suit , elevator wear , hallway depress room -- tear lampshade , extension cord rattle old AC unit -- ? $ 389 night ? old bathroom , plain defunct wear . hear room rennovate -- advice keep go . not see value reason stay crowded rusty old relic . be come NY -- not buy hype hotel . meet someone clock -- go check somewhere else . 
 Sep 13 2009 	 nice renovation ! 	 grand old hotel restore beautifully . great stay ! 
 Sep 12 2009 	 sorry Roosevelt staff seem disturbed day ... 	 trip - business . location handy pretty centralnice foyer overall stay great : breakfast average $ 25 - fruit fly coat fresh fruit , include rate lot great place nearby worth try instead . disappointing business since need convienence hotel breakfast . room - clean SMALL , noisey . ( enough room open suitcase easily ) bathroom exceptionally small lack lustre shower . 5.6 ft forget comfortable shower , lot crouch require - slim build ! Noisey - AC unit LOUD .... hotel unable anything ..... sorry meant could not bother Spoke reception say room available unless willing pay upgrade ! ( mean empty room exist ... someone whose booking monie thay already ! ! ! ) would expect level hotel find attitude unhelpful - could see problem - need prewarn guest exact size ' cozy ' room noisey fit purpose make part ' special deal ' standard rate ! stayed week - surprise another room available . whole - lucky business pleasure ( since minimised time drastically hotel ) next trip NY stay belevedre sofitel look stay instead , similairish location much well service jet lag , sleepless need revival ! ! ! ! long time since give bad review hotel , disappoint do today , hotel experience part holiday / business experience would not recommend hotel . if simply want bed somewhere convienent happy tolerate noise , unattentive staff , slow lift pay premium pleasure go - ahead . personally , feel huge unconvience get way staff simply customer . I read favourable review wonder wether two roosevelt look ... check wrong one ! ! ! since experience relflecte all . also one collegue triple charge parking .... 
 Sep 12 2009 	 Roosevelt Hotel 	 Roosevelt Hotel beautiful old hotel grand lobby . room small like many New York hotel . room clean well maintain . staff polite attentive . issue slow elevator system . Roosevelt location – step Grand Central Station block Time Square NY Public Library . 
 Sep 11 2009 	 stay hotel least life 	 stay hotel least life . you disrespect rude bad mannered porter door , particularly individual call Joe . give luggage even rush . you always something miss replenished room . one day towel , next soap on . you experience bedbug bite even one week leave hotel , yes , read right , bedbug ! wait forever get lift . you cruise different floor find ice machine work . you need complain nobody listen you . what say , stay least hotel , appreciate hotel service even regular roadside motel . really happy get back home know skin react bedbug bite . 
 Sep 9 2009 	 Excellent loaction 	 Hotel ideally locate many major attraction , lovely hotel one two minor issue whole expect busy New York hotel . would happily recommend hotel even important would def . stay 
 Sep 8 2009 	 absolutely perfect ! ! extremely elegant hotel ... 	 husband stay Roosevelt Hotel Sept. 6th 7th celebrate 25th anniversary . could not pick well place ! love hotel moment arrive . everyone doorman , bell hop , receptionist bartender extremely polite helpful . go way make sure satisfied always ask need anything enter lobby area ... way , elegant ... beautiful . ambiance old world charm 20 era . room ample size ( room upgrade without we even ask extra cost ) . bed extremely comfortable room keep clean . doorman hail cab we want go downtown give location hotel , much within walking distance . close Times Square far enough craziness , short block Rockefeller Center , St. Patrick 's Cathedrial Central Park far ... location perfect ! ! plenty shopping eatery . great room rate give elegance hotel . staff could not accomodate . visit Ninos short walk 39 W. 46th St. breakfast ... Owner Mike great guy . can not type forever , sum two word ... & quot ; absolutely Perfect & quot ; . 
 Sep 6 2009 	 Killer Location ! hotel well price 	 's Manhattan , room pricey get . hotel old . room tight adequate . bar nice happy hour convivial . never eat hotel . stay hotel proximity Grand Central subway . lot walk sightseeing hotel . location centrality reason stay . be sure take advantage Grand Central Food Court basement Grand Central . gazillion choice ! also , take moment Grand Central visit Grand Central Market . glorious fresh fish , cheese , spice , vegetable , ready - to - eat deli food . pristinely present beautifully light . bring camera . I would stay hotel . love 's proximity transportation . 
 Sep 1 2009 	 great time . 	 visit LA . room bit small expect Midtown Manhattan ? Met friend drink bar staff wonderful . would stay sure . 
 Aug 31 2009 	 Fab Location ! 	 travel agent , try rely lot review try experience hotel destination . honest say hotel little date , great location make everything lacking . staff friendly want help possible way . recommend friend client travel NYC come back ! 
 Aug 31 2009 	 Perfect 	 stay two night business trip . room fantastic , staff superb ever helpful professional . could not ask hotel . 
 Aug 30 2009 	 Faded elegance okay 	 book 6 night Hotwire get good price , dread stay due negative comment . however , arrive reception staff pleasant even put large room smoker - unlike smoking paranoia encounter far USA . decline service bell hop advice read - not put entrance stair , lift floor bottom , shop . service use extravagantly price wifi , $ 15 dollar 24 hour . otherwise ate bring drink back . say elsewhere , whole place need refurbishment , especially room door floor , everyone slam order close , one imagine noise . location excellent . price pay , $ 129 night , bad ny , would not happy pay full rate . incidentally , move Holiday Inn Express block 2 night , get ticket US Open extend stay - price , get free wifi , extensive cable tv free breakfast . quite glamorous well anyway . 
 Aug 30 2009 	 Fantastic Hotel - great location . 	 long flight Australia , want relax comfortable room bed . read reviews hotel ie small room , however pleasantly surprised . room quite large ( 2 queen size bed ) . enjoy relax bath . think room beautiful . front desk staff friendly knowledgeable . hotel great location - close major tourist attraction . solo female traveller feel safe ease . definitely stay . ( also like hotel gym - modern equipment & amp ; free fruit enjoy workout ) . 
 Aug 29 2009 	 could not well occasion ! 	 Muito bom ! Excelente localização , próximo Broadway . 
