absolute 	 travel , stay White Swan Inn , San Francisco , perfect . staff always extremely attentative helpful . hotel 's ambience surpass other . beautifully appoint room antique , fireplace lot extra ammenitie . inn centrally locate important SF site . everytime opportunity SF , always stay White Swan Inn . price value beat . honestly think thing would made stay well . 
 charming boutique hotel 	 wife spend 4 night attend conference . location excellent , minute Chinatown Gate Union Square . staff helpful friendly . multicourse hot breakfast pleasant surprise , usual muffin coffee . room comfortable , well appoint , fireplace welcome SF night cool foggy . would gladly stay again . PMM Michigan 
 Jun 25 2009 	 REALLY LOVED stay WHITE SWAN INN 	 first trip San Francisco . stay White Swan Inn make pleasant vacation ! room lovely comfortable . we love fireplace coziness room . the staff nice helpful . we enjoy lovely breakfast evening wine . would return White Swan Inn ever San Francisco ! 
 Jun 25 2009 	 White Swan feel like home away home . 	 third fourth visit White Swan Inn . great place use home base explore San Francisco . room comfortable generously sized , full breakfast buffet delicious , little touch like wine snack 5 p.m. , tea hour , freshly make cookie lobby cookie jar always make stay enjoyable . also enjoy able walk Union Square , Chinatown , even North Beach . point , would not consider stay anywhere else trip San Francisco -- unless fully book . 
 Jun 23 2009 	 Charming 	 room top floor well appoint great linen well stock refrig bath . two vanity area handy . staff friendly helpful , include log airline check we flight sightseeing . wine hour breakfast delicious . would definitely return ! 
 Jun 15 2009 	 perfect hotel perfect vacation ! 	 mini family reunion folk stay four room wonderful hotel love everything . think good room . breakfast ( four ) fantastic , cookie coffee anytime wonderful wine hor d'oevre great . spend morning afternoon walk take cable car city come back late afternoon play card , either breakfast room back deck . everything perfect . staff helpful nice . thank perfect trip . already plan next trip San Francisco stay White Swan Hotel . 
 Jun 13 2009 	 great everything 	 hard find pleasure , friendly staff , comfortable room short walking distance Union Sq cable car . quiet room european decor wine nibblie afternoon compare travel story . 
 May 17 2009 	 wonderful Inn ! 	 like old style , close many thing ........ place go . the breakfast lovely . wine cheese afternoon fantastic . chance mingle guest find , exchange idea , find good place Town . there wonderful restaurant within walking distance , block cable car . 
 may 3 2009 	 GIRLFRIEND GETAWAY 	 wonderful , charming inn weekend girl ( although husband stay love ) . two room front inn two bedroom two bathroom , fireplace wet bar . staff accomodate , breakfast awesome , close everything Union Square . much nice nondescript hotel room big chain hotel . room decorate antique wallpaper ; lovely four - poster bed , nice bathroom . 's love ? back ! 
 Apr 27 2009 	 place stay SF ! 	 lovely week stay Inn . assure treat ! check - in great cozy lobby fireplace glow . old fashioned lift little hide - a - way . english cottage , large live space bathroom deep tub , dress room wet bar small alcove . nice ironed linen comfy bed . breakfast great varied . good coffee ! wine cheese great front fire evening . place .. hate leave . would go back moment ! 
 Apr 15 2009 	 great Stay -- plan Return ! 	 Loved stay White Swan Inn . room large , comfortable bed ( complete teddy bear ) , spacious sit desk / work area work gas fireplace ( great rainy February days SF ) . great coffee , tea free sodas water room .. include breakfast fantastic -- delicious hot breakfast food ( quiche , sausage ) , bread , fruit , etc . daily evening wine cheese reception also great . nice sitting area ( fireplace ) downstair . centrally locate . staff pleasant helpful . definitely return ! 
 Apr 7 2009 	 good hotel ' ve ever stay 	 love treat vip , hotel . check - in quick friendly . provide local restaurant info helpful since first trip San Francisco . offer make reservation help way . room cozy bed great sleep . fireplace room chill outdoors wonderful . complimentary full breakfast evening wine & amp ; hor d'ouerve fabulous . ' ve ask several recipe ! everything easy fun would never stay anywhere else . 
 Mar 27 2009 	 Excellent Guest Service ! 	 daughter stay White Swan Inn / San Francisco two night March . Inn decorate & quot ; Olde English & quot ; style theme . wallpaper wall , floral print rug / carpet little touch home everywhere . fireplace locate room sit room add coziness Inn . as soon enter lobby , feel home . staff helpful , well informed . jar fresh baked cookie available day lobby area . complimentary breakfast outstanding - fresh baked bread , variety pastry , hard boil egg , fruit , oatmeal , sausage , quiche cereal arrange pleasing display . wine hour consist cracker , cheese , veggie homemade bundt cake / pound cake . our room ( # 56 ) good size . bed clean comfortable . sofa bed comfortable . the location Nob Hill little far main tourist attraction walk . we please stay ! 
 Mar 25 2009 	 Beautiful Botique Hotel 	 unique experience . reminded way hotel find Europe . deligthtful quaint . staff friendly . room tastefully furnish bed mattress like sleep cloud . evening wine cheese breakfast nicely do . look forward return . 
 Mar 20 2009 	 absolutely perfect ! charming Romantic Relaxing Roomy . 	 phenomenal place : be gorgeous , well maintain , romantic , private , convenient . can not say enough good thing . fireplace every room , complimentary goody fridge , complimentary wifi every room , comfy robe ... fantastic ! outside room , lounge relax fire wine cheese afternoon , mention coffee , hot chocolate , daily newspaper hand . staff -- wow ! moment book hotel phone , arrival stay , departure , treat vip 's . accommodate we every way ask -- beyond : know anniversary , greet champagne chocolate ( complimentary ) , feel immediately right place . love much dinner , & quot ; eat , & quot ; sit front fireplace room comfy chair , soak warmth reflect day city . wonderful trip SF , much credit go White Swan . hope staff pay well ; deserve . 
 Mar 17 2009 	 wonderful Charming 	 wonderful find ! definately recommend charming quaint B & amp ; b everyone . delicious breakfast evening wine / appitizer fresh baked goody everyday ! staff accomodate . will back ! 
 Mar 14 2009 	 Five Star Weekend 	 employ eager please . room large , cozy , fireplace , nice touch . fabulous bed , good night 's sleep age . wine cheese Happy Hour delightful , conducive chatting guest , also good breakfast . surprise great treat , content refrigerator room complimentary . walk distance Union Square Restaurents . I highly recommend charming boutique Hotel . 
 Mar 11 2009 	 beautiful boutique hotel near synagogue 	 return 5 night stay White Swan Inn . great location Nob Hill block Union Square , Chinatown , cable car , many bus . husband conference attend everyday find easy explore city location . room fireplace large spacious locate 5 floor elevator . Ashley Suite two room suite consist bedroom canopy bed , sit area , fireplace , bathroom , wet bar refrigerator , tv face courtyard . room face front street another bathroom , closet , living room tv , couch , club chair , desk , lounge chair , another wet bar refrigerator coffee maker . bathrobe provide lounging . complimentary water , soft drink champagne refrigerator along box chocolates chocolate bed turn . always fruit cookie cake front desk area . include stay breakfast afternoon tea appetizer . Breakfast serve downstairs nice area open onto courtyard weather warm . Breakfast consist cold cereal , yogurt , fresh fruit , pastry , scramble egg quiche , breakfast meat , oatmeal , coffee , tea , juice . afternoon tea serve adjoining den area comfy couch , wing back chair fireplace . wine , cordial , coffee , tea , cookie cake , fruit cheese , something hot like artichoke dip lasagna salad . addition china cups saucers coffee hot water pot , also paper cup cover & quot ; go & quot ; . since keep kosher , juice , fruit cold cereal , everyone say food good . shabbat , able go shul old orthodox shul city , Congregation Kenneset Israel Sutter Streeet , 3 - 4 block away . make arrangement dinner lunch shabbat . block away entrance Chinatown near arch kosher restaurant , Sabra , serve good middle eastern food . inn also small exercise room treadmill bicycle tv watch exercise . computer also room ( $ 5.00 20 minute ) . plenty brochure area attraction front desk staff courteous helpful . great place stay look something cookie cutter large hotel ! ! ! ! 
 Mar 11 2009 	 could not well ! 	 stay four night could not happy choice . hotel short walk Union Square location convenient . staff especially friendly knowledgeable . room spacious , comfortable fill light , fireplace add wonderful romantic touch . breakfast excellent feature homemade baked good , enjoy little treat available lobby throughout day . would stay heartbeat ! 
 Mar 10 2009 	 great location service comfort middle city 	 LOVED White Swan ! service exceptional ( kudo Brendan Kevin ) , room spacious complete , housekeeping staff thorough honest ( thank miss item find way back ) . love beds linen ! offer full delicious breakfast , evening happy hour yummy hordeurve wine mention friendly set share experience fellow traveler . location perfect , quick walk hill enjoy quieter neighborhood setting . old world elegance ... wait return ! 
 Mar 10 2009 	 do not stay hear will wish would 	 lovley place , employee friendly helpfull . beautiful room big change large hotel . San Francisco 3 time kast year good place we . definately take advantage great breakfast & amp ; wine tasty snak afternoon . also really centrally locate . thank great time 
 Feb 27 2009 	 outstanding charm service ! ! 	 meet two couple extend weekend everything perfect . staff helpful friendly , feel like really care . room clean homey . never would expect comfortable environment urban setting . Fireplace make even cozier . low level common area offer great setting participate morning breakfast evening wine / cheese gathering ... especially since need comfortable space unwind friend . long day walk San Fran , welcome oasis . great location near public transportation within close walk distance cable car ( 1 1/2 block ) , Chinatown ( 3 block ) fabulous outdoor market . close fabulous restaurant ... listen th staff 's recommendation ! price unbelieveable city ... worried price would reflect less quality , really exceed expectation . back recommend other ! 
 Feb 26 2009 	 felt welcome 	 recently spend several day wonderful hotel / B & amp ; B . staff make big effort accommodate family 's request find beat path thing do . we feel comfortable safe . breakfast buffet evening appetizer tasty plentiful . location great well . short stroll Chinatown Union Square . rest San Francisco could easily reach convenient , efficient , public transportation . good value good location . 
 Feb 11 2009 	 Home away home 	 stay White Swan Inn nine night November 2008 . room spacious cheerful flower greet arrival . small efficient elevator reminiscent hotel Europe add great charm . breakfast occasion enjoy . every item delicious fresh prepare quiche , sausage , bacon , potatoe fresh fruit . roll crossiant always fresh plentiful . assortment dry cereal cook cereal available orange cranberry juice . atmosphere friendly guest enjoy visit . homemade cookie always available lobby add treat . , well last . evening wine Hors d'Oeuvres excellent provide wonderful opportunity meet fellowship fellow traveler . friendship make include people London , Sweden , Australia , Washington DC , New York . staff add wonderful experience would highly recommend stay White Swan Inn . 
 Feb 7 2009 	 Disappointing experience 	 stay number hotel recommend Tripadvisor.com , live review . give Room 25 ground floor , dark overlook wall , decoration drab tired , paint peeling , definitely look like picture website . commented front desk next evening immediately upgrade Room 57 . leave dinner pack bag advise everything would move time return complimentary bottle champagne would provide . return around 22:00 nothing move . go front desk move assistance front desk staff . champagne quickly rectify . disappointing experience . room 57 lovely , look like picture website comfortable . breakfast excellent . breakfast room lovely . 
 Feb 1 2009 	 charming inn well locate 	 wife stay Inn four night January , 2009 . White Swan centrally locate city quite charming large , cheery room flowery wallpaper . bed large comfortable . early 20th century elevator delight use . dining area ( breakfast afternoon wine cheese ) adjacent library handsomely decorate . service friendly efficient . but , hotel , negative . bathroom small stark . tv 's aged cable system attach frustrating nightmare use . temperature control room open window increase noise volume come neighborhood . 
 Jan 15 2009 	 Cookie Heaven 	 26 room , former english bric - a - brac boarding house desolately locate block Union Square ( 7 block BART ) . room great bed comfortable mattress fireplace . room decorate book mini - refrig complimentary water soft drink . the staff ( Andy & amp ; Kevin ) friendly helpful . there hot apple cider cookie ( available day ! ) reception . there 5 - 6:30 complimentary wine ( Fetzer ) chardonnay cab wonderful snack ( reat artichoke dip , crudités , bundt cake ) .Buffet breakfast charming area fire place . nice pastry , croissant , scone , french brioche toast , sausage patty , quiche , fresh fruit , yogurt , oatmeal . 
 Jan 6 2009 	 Exceeded Expectations 	 book 3 night/4 day trip San Francisco mother / daughter get away . room perfect 2 woman try get ready . nice size room 2 twin bed . sheet definitely need upgrade , tell complete soon . nice size vanity / sit area / dress table sink plenty room hang clothe store luggage . small sink bathroom yet 3rd sink small cubicle size area coffee maker small fridge . complimentary ice water fridge something practically unheard day . separate area make really nice we different thing room . daughter choose sleep morning , enjoy breakfast able take breakfast room enjoy get ready day . 1 night sightseeing enjoy wine appetizer . time nice visit guest hotel . location could well . ticket show theatre district first night 2 block away . also close great dining shopping Union Square area . cable stop take back hotel nice bonus . buy 3 day Muni pass wait luggage airport pass unlimited use cable car , train bus . great , easy way get around City . we especially appreciate JDV & quot ; Greeter & quot ; program . Jonathan show we around Haight / Ashbury area well Noe Valley . also give we great education use public transportation utilize muni line help via cell phone direction need . love visit San Francisco especially love White Swan Inn . would even consider stay anywhere else next visit San Francisco . 
 Dec 29 2008 	 great service 	 family four 5 year old twin . great stay . room smallish - expect San Francisco , staff outstanding ! Decor lovely location slightly noisy . 
 Dec 25 2008 	 Disappoint ! 	 stay 5 day White Swan Inn business trip month . though plenty accomodation option San Francisco , thoroughly impress previous review hotel decide give go . I arrive BART approximately 2100 walk short distance hotel ( 10 minute ) . clerk helpful welcoming upon check - in . lobby warm inviting ; fireplace crackled fire jar cookie tempting . give key Room 31 make way second floor . I please find room large , warm , inviting . romantic would good way describe , spouse . bed large comfortable many various pillow choose . fireplace create inviting ambiance , book , wallpaper , antique furnishing make comfort . the breakfast european distinction , small pastry , frittatas , cereal , fruit . coffee excellent ! evening wine appetizer delicious , elegantly display , thoroghly satisfying . pleasant experience visit guest hotel . the hotel locate Bush street , within walk distance thing San Francisco . dollar spend transportation BART airport . 10 minute walk distance shopping Chinatown 30 minute Pier 39 . numerous restaurant area . I impress friendliness people San Francisco . seem city center art people . & quot ; liberal & quot ; reputation city completely overt I . I would absolutely stay hotel , hope return near future spouse . 
 Dec 9 2008 	 Recommend . 	 book Ashleigh Suite 6 night November find experience satisfactory every way . initial booking phone call departure treat exceptionally well staff . lodging large , clean comfortable . breakfast delicious late afternoon wine appetizer offering . treat include day tea , coffee cookie , chocolate bed turndown newspaper door every morning . property well locate close cable car route within easy walk distance Union Square multitude excellent restaurant . try . will like . ! 
 Dec 1 2008 	 Exceptional Venue 	 White Swan Inn WONDERFUL place - clean , comfortable room friendly , helpful staff EXCEPTIONAL gourmet breakfast wine hor d'ouevres reception everyday outstanding location right heart San Francisco easy access cable car system . recommend venue anyone - definitely return future ! 
 Nov 30 2008 	 Loved White Swan Inn 	 choose White Swan Inn 's great location near Nob Hill , Union Square cable car line . delightful place stay . room spacious clean . staff helpful knowledgeable amenity extra wonderful touch . excellent breakfast , cookie afternoon hors d'oeuvre wine go dinner add bonus meeting chat guest . would definitely stay . 
 Nov 22 2008 	 Loved White Swan Inn 	 return week - end San Francisco White Swan Inn . hotel charming , thrououghly enjoy stay . service friendly . room spacious , cute extremely comfortable . love chocolate champagne find room check ! price right considering get ! location fabulous - hop away Powell Street Cable Cars . breakfast good hearthy . wine reception give we opportunity meet traveler become friend charming couple Louisianna ! fortunate take around city one morning one Golden Gate greeter - experience , able visit city volunteer local . Lucie & amp ; Marc Ottawa 
