great 	 wife stay honeymoon . want comfortable luxury hotel close Mag . Mile . able get Corner King 21st floor . great view . plus - amazing bed - the shower lavish - hotel staff helpful - Breakfast ( free make reservation online ) delicious filling - Location ( near Mag Mile Whole Foods around corner easy snack ) -mp3 docking station nice add on - the gym sufficient quick workout - the Spa helpful massage feel wonderful alot walk around Chicago wife enjoy manicure facial . minus -The second floor entrance slight problem nothing can not handle - the ceiling much look at - the spa price higher use seem inline downtown Chicago . see not alot negative thing say Dana . service great , view wonderful amenity lavish . would recommend hotel young couple hip famile visit Chicago leisure 
 Nice 	 Dana excellent hotel heart downtown Chicago . ultra modern styling personalize friendly staff . 
 Sep 30 2009 	 Awesome Place ! ! 	 come Chicago girl weekend , pleasantly surprise Dana . moment walk hotel staff helpfull ! room kinda small atmosphere make . problem find way around Chicago , want opinion eat , ask TJ one doorman . may friendliest helpful one . stay another hotel Chicago ! ! ! bed AMAZING ! 
 Sep 26 2009 	 hotel staff amazing 	 20th anniversary treat first visit Chicago . phone direct reservation Laura make sure treat well start . great rate due promotion . staff know us name attentive , doorman front desk particularly concierge - Tim ! go extra mile whatever query . Tiffany Romeo also top notch ! agree already mention positive comment reviewer . the dispute one review restaurant 's breakfast portion large . sadly service could vastly improve , waitress four day consistently inattentive forgetful request . contrast amazing hotel staff . would negative comment . inspite , would definitely make Dana preferred hotel return . definitely young crowd vitality infectious ! even old married couple welcome ! 
 Sep 24 2009 	 Fantastic Location 	 Dana Hotel trendy , well locate hotel . located block away mag mile 2 block train ! front entrance plain need take elevator small lobby . staff fantastic ! polite accomodate . doormen awesome friendly ! issue - book hotel say include free continental breakfast . first morning ask breakfast direct Aja restaurant . give regular menu pay breakfast . next morning ask continental breakfast tell & quot ; discontinued & quot ; continental breakfast give voucher front desk book free breakfast option . give we voucher breakfast morning compte us breakfast pay day . , huge point excellent customer service . the breakfast hotel okay . find quite heavy greasy- not order pancake - size table - notice hotel guest order could barely eat half it . the room small well appoint . robe slipper - nice touch . real hairdryer attach wall - huge bonus ! room window rather small balcony . cute . noise hallway hear bedroom end stuff towel door every night . the Vertigo Lounge rooftop nice . busy Saturday night -had pretty nice view city . overall , great experience ! 
 Sep 24 2009 	 Welcome back 	 ' ve stay hotel approximately 4 time combination business personal positive experience first stay choose return whenever Chicago . diamond member Hyatt equivalent level chain hotel . travel approximately 2 - 3 month year business . use stay Hyatt Regency exclusively whenever town treatment frequent guest spotty good . reason bring Dana treat well guy take care return guest . ijust wish business travel bring back home city . yes , home city ! like sweeping city view want experience city live least short , place . happen like balcony look bustle city street people watch glass wine think day 's event 's preference . technology room great location perfect Mag Mile , tuck away amongst many high rise condo add visual interest . the room definitely interesting like plain mundane like roudy convention crowd large chain hotel , place . can not comment restaurant room dine ' ve never dine hotel ( hit old haunt ) mini bar actually quite reasonable heck , 's 7 - eleven aross th street . ok , room admittedly bite smallish . be travel someone need work space , definitely get suite . ' ve also travel stay cozy king like namesake , quite cozy , quite big enough two people nevertheless ' ve enjoy stay room type . bed linen linen ... amazing . keep come back remember return guest last two time doorman greeting name get cab airport . chic hotel , not mean snob stay . say hello people work , human afterall . find friendly bunch . like teach child , treat other want treat not work , definitely bring management . acknowledge people bad experience hotel read review site , think need say . just report experience opinion hotel . wish corporation run hotel place area travel frequently . make feel like ' ve come home . 
 Sep 22 2009 	 need Improvement 	 pick Dana Hotel overnight Sunday stay want close shopping area , support boutique hotel . foresake typical choice stay Stellar Burnham Hotel , Dana . find stay disappointing . perhaps 's economy staff tired weekend reveller not give much attention stay Sunday night . be fussy traveller not need much apart courteous , competent service . not experience Dana . will highlight good bad point experienced . -- positive : awesome bed . comfortable room : asian inspire , cotemporary waterfront condo please decor . -- negative : check - in staff seem like try replicate cool , youthful , aloof urban energy . come apathetic . one get feel job go & quot ; real job & quot ; later on . do place really spa ? every time ever check hotel spa ... least tell little . true whether stay destination spa location , hotels spa amenity predominantly business clientele . -- Aja Steak : pleased subbtle hawaiian flair menu . fish good quality . think get leave - over rice maki , terrible . service low average . perhaps get Sunday , c level staff . poorly train .... almost feel like piping & quot ; ummmm ... adult run place ? & quot ; travel internationally stay numerous hotel . basic rule place expensive , diverse selection sakis wine limited descriptor ; someone staff discuss selection . not night . bad still , flaky waitress even seem understand qualitative distinction food & amp ; drink selection menu . effort friendly / knowledgeable tried pipe know much sake ... love junmai daiginjo sake . comment would acceptable know talk ( avid sake drinker ) ; be like someone know nothing varied construction & amp ; mechanism watch say love quality mastery Cartier watch build . next time , will stick Burnham Hotel . Kimpton get boutique hotel , show prowess nationally internationally . besides , price range Dana . 
 Aug 25 2009 	 love experience .. thing improve . 	 stay Dana Hotel business trip please stay . hotel décor modern . may like , ' . love . room ( 23rd FL Serene King ) comfortable , clean truly feel home . like : Detail , detail , detail . definitely get kudo keep need traveler mind . bed , bedding , pillow sheet soft relaxing . love hardwood floor . bathroom shower glass wall look room rainfall showerhead . real hair dryer bathroom , cheap one attach wall many hotel . ( lady , know mean . ) nice spa quality toiletry , cotton ball , q - tip , bath robe , slipper extra towel . mini bar stock nicely along good selection condiment : dry fruit , snack , etc . room also mp3 connection listen ipod room . flat screen tv , coffee maker large desk allow much needed work space . I dinner hotel restaurant ajasteak pleased quality food service . prime beef carpaccio one good ' maki roll portion generous . dinner , go back room , provide turn - down service leave couple chocolate dip fortune cookie bed . yum . unfortunately , not get chance check vertigo sky lounge , hear great .Areas need improvement : right , two thing find frustrating . first temperature room . thermostat set 60 hope keep room cool ! ( generally like room temp low 70 ' . ) despite lower , room still get warm time . almost feel like AC mind work great time stop work together . second , excited see self check - in machine front desk think check - in airline print boarding pass early . well , recognize flight itinerary ' print boarding pass . oh well . overall , great hotel friendly staff . would recommend hotel stay future . 
 Aug 24 2009 	 great place stay 	 Excellent hotel . good location . good room friendly staff . breakfast great . 
 Aug 19 2009 	 Magnificient hotel breathtaking view City 	 stay Dana Hotel 5 night June 2009 , really enjoy . really enjoy contemporary architecture really please comfort room . it well equip : large bed , large tv , large bathroom wonderful sound system Ipod ( Zeppelin Bower & amp ; Wilkins ) .breakfast bit disappointing , restaurant fabulous ... anyway , due central location Loop , be difficult find good restaurant neighborhood ... conclude , spend excellent stay hotel feel sure return asap ... 
 Aug 17 2009 	 Eye candy sexy night couple 	 interior design lobby room really classy modern . Front Desk staff friendly . room super clean be look sexy place stay significant , . bathroom shower share common wall bedroom ... except glass , wall . 's curtain pull want , want ? would not necessarily say view outside appetizing , see straight across condo , good view city really . 
 Aug 12 2009 	 Excellent hotel 	 stay Dana five night explore Chicago . Got upgrade Serene King Corner King . mean , two four wall window floor ceiling . location excellent could walk everywhere ( approx . 25 minute Millenium Park , 10 min . John Hancock Building - along Michigan Avenue ) . facility hotel excellent , room fully equip mod - con . good view room - around street neighbouring building . service conscientious always friendly . complimentary continental breakfast anymore , get usd 15 . -- voucher breakfast - could chose like . wheater permit , could sit outside . traffic noise street , normal midst big city . recommend hotel want stay unstuffy , friendly , modern well - service place . 
 Aug 10 2009 	 great value far perfect 	 enjoy three night Dana August 1 - 4 . hotel modern , perfectly locate , clean well price . manage get $ 105 Cdn per night . problem encounter : room small dark . backside hotel window patio door . make room depress , spend much time room day . room also well positioned . tv face side bed , rather foot . sit area , watch tv difficult . finally , Dana advertise continental breakfast include price . cancel breakfast start August 3rd fail tell anyone . misleading . the good part : staff friendly . concierge ( Aleksandra ) extremely helpful spot restaurant recommendation . even try make cancel breakfast offer complimentary bottle wine room . way , bar fridge selection room good well price . excellent Ipod speaker room . price , would stay , get room front building . 
 Aug 5 2009 	 Anniversary trip Chicago 	 husband stay Dana Hotel anniversary weekend . hip hotel . set young crowd . would recommend stay old child . location perfect . close Michigan Avenue enough away . staff accomodate friendly . stay 25th floor would recommend want sleep . club 26th floor play loud music early morning hear . husband use spa . massage therapist wonderful ! recommend couple harmony massage . relaxation room need tranquility comfortable chair . locker room nice amentie need . elevator real complaint . slow use room card get work , work time . 
 Aug 4 2009 	 nice place try little hard ? 	 stay weekend purpose run race Grant Park Sunday , wanted also enjoy city dining , etc . typically year . location great ( though construction opposite corner early Monday morning would madden , awake eastern time ) central walk many restaurant shop . check - in fine , oblige we late check - out , well . overall hotel service good , waitstaff work complimentary continental breakfast incompetent rude . valet parking $ 38 / night ( cha - ching ) , glad upon leave not take car weekend , wait almost 15 minute car people stand there . our room one corner room floor ceiling window , generally decorate good ( modern ) taste . safe room , discover unpacked , front desk 's suggestion move we another room . ugh . not really get whole & quot ; zen & quot ; thing market . spa treatment race Sunday , thoroughly enjoy massage -- therapist great -- overprice rest spa staff fairly inept . put relaxation room wait therapist , offer refreshment , not seem know handle . finish seem bit shoddy quickly do . big gripe really whole placing try hard hip ultra - trendy , possibly expense could elegant chic ( house music constantly play common area hotel , staff purposefully wild hair - do 's , etc etc etc ) . pleasantly surprised & quot ; honor bar & quot ; price really enjoy 1/2 bottle Veuve $ 32 nice way start weekend . pay $ 125 / night promo non - hotel affiliated website , fine value receive , would likely return . 
 Jul 31 2009 	 generally nice lack good service 	 Small , overcrowded reception area , snappy hostess upon reception tell we go upstairs check ( stupid know ) , two separate busy elevator need get room , luggage late find way room ( 2 call need hunt ) , internet not work 1 1/2 3 day , bad , bad service restaurant : get feel put ( way ! ) show ask continental breakfast . alone , will not back . 
 Jul 29 2009 	 Awesome Weekend 	 wife stay Dana honeymoon , , word & quot ; urban decadence & quot ; . love hotel , food incredible location great anyone visit Chicago . wish time . 
 Jul 27 2009 	 Outstanding ! annual client meeting .... terrific ! 	 50 client attend two day meeting Dana Hotel . town book room . 100 % positive client feedback ! meeting room perfect , food wonderful service impecable ! book client meeting Dana . 
 Jul 23 2009 	 stay risk ... 	 choose Dana Hotel value honest staff ! recently visit business event . since parking downtown Chicago always pricey hassle , happy learn guest event would free valet parking one night stay ( advertised event organizer promise hotel staff upon arrival . ) hotel , double - check complimentary parking ensure would not surprise charge pop . assure hotel bellman & quot ; yes , parking complimentary , & quot ; decide go valet . , sure enough end stay , smacked valet parking fee ! ? ! hotel manager offer ( couple dozen hotel guest also promise free parking ) deficient & quot ; sorry , will pay parking . & quot ; Needless say furious , pay parking , LIED hotel staff dismiss manager would step right glaring & quot ; wrong . & quot ; would visit Dana recommend hotel anyone - friend foe . 
 Jul 16 2009 	 Modern straight forward boutique 	 people may find room austere . like - concrete ceiling , glass exterior wall , dark furniture ... hotel offer great list feature , iPod dock , large flatscreen , free internet , great office chair , rain shower another handheld wand , free continental breakfast two ( great colleague stay another hotel Dana let join breakfast everyday ) .this new hotel choice quick trip Chi - town . 
 Jul 10 2009 	 Dana dang good ... 	 like whole food , friendly people , attentive staff , comfy bed hotel ... first , Naturalist love Whole Foods , Trader Joes right around corner place . love take 3 minute walk magnificent mile . love many great restaurant ( include Tempo Cafe West Egg ) right close yummy . second , room rad ! bed comfy . glass shower open room ( want ) sensual fun . husband come trip Chicago visit taste Chicago hotel perfect stay . fyi - hotels downtown offer FREE wi - fi room continental breakfast . try find , will hard - press . hotel couple year old well build . room small comfy little balcony husband proceed enjoy spit . ipod dock sick ! good bass really come handy we . shower heavenly make linger along time . complaint room air work properly call maintenance flash fix right away even offer we free breakfast ( besides continental ) trouble ! bed envelope carry sleepy town ... course not room elevator would recommend since hear alot . great anyway , sleep well , especially soothe music play ipod dock station sleep . love bamboo toiletry Kuirig Coffee Maker ( oh gosh ) one ! ! ! ! ! hotel must know come , Green Mountain Organic Fair Trade Coffee ! ! ! Favorite ! see , ! tip : make sure sit lobby expect continental breakfast , otherwise yogurt take room . offer roll danish sit . also , try fitness center , great ! love free - motion equipment . ask room away elevator visit concierge lot coupon surround activity restaurant . not afraid ask anything - hotel accomodate ! 
 Jul 10 2009 	 absolutely fantastic ! 	 love super soft bed . view spectacular , staff great . complimentary continental breakfast bowl fresh fruit , youghurt , croissant scone , coffee big saucer cup juice . free high speed wifi add bonus ! 
 Jul 6 2009 	 could ' ve great ... bad not . 	 wife , happens name Dana , spend first weekend alone since first child bear eight week ago . research downtown Chicago hotel week finally decide Dana read many wonderful review . I call hotel week ahead arrival ask three small requests.1 . want king bed . certainly ' seem like much ask . wife , make plenty sense anyway.2 . need room refrigerator . since wife breast feeding , need keep milk chill weekend.3 . possible , upper level room view . upon arrive Dana , greet pleasantly door staff escort front desk second floor . short wait , quickly give room card head room . room complete opposite request : two double bed , refrigerator 12th floor view side building . immediately go back desk let know need new room response basically " ' book , bad " . explain need refrigerator already tell phone ' problem , response " room ' come refrigerator , bad . " ' never experience front desk unhelpful . ' exactly way want start weekend . fortunately , check - in lowlight trip . despite fact wife sleep separate bed , make God know many trip ice machine ( hide closet fifth floor ) gaze window office building , slowly warm Dana eventually leave hotel feeling might , maybe , stay again . positives1 . Location . ' beat stay right heart downtown Chicago within walk distance everything make city wonderful . dining , shopping , beach , nightlife … right middle it.2 . vertigo . hotel one good rooftop lounge Chicago . pack night view 27 story fantastic . drink great . staff helpful . good crowd . great place.3 . Shower . ' one - of - a - kind rain head spout ceiling glass side separate bedroom bathroom . ' nice hotel bathroom ' go find.4 . complimentary breakfast . nice able walk downstairs sit serve perfectly , light meal . bring really good fruit bowl choice pastry quality coffee juice . simple good.5 . door staff . guy front door go way make feel special . request quickly answer , unlike front desk staff , pleasant genuine . negatives1 . front desk . ' already cover . would think hotel would employ helpful worker position , opposite . front desk staff joke . completely clueless flat insulting.2 . elevator . might sound like ' picky , ' tell many time elevator another person mumble expletive battle elevator . order push button floor , quickly insert room card make choice . much easy say do every single person elevator order select floor . ' almost like try feed crumble dollar bill vend machine pressure . ' incredibly annoying ' quickly , miss floor ride elevator lobby . appreciate security , truly believe hotel ' way try hip turn piss lot people off.3 . thin wall . stereo play low volume within minute hotel security knock . need sleep , ' hotel you.4 . try hard . hotel desperately want young hip . ' young mean ' really hip . place load middle - ager ( 40 - 50 crowd ) attempt cool kind fall short . example : get rooftop club , briefly stand behind velvet rope even damn place empty . could probably give 10 example stuff like . ceiling room unfinished cement . trendy eye sore ? definitely think latter.5 . ice machine . call ask guest service ice machine locate . tell ' fifth floor . find less 10 minute , ' impressed . lot thing hotel scratch head think , @ # $ % thinking ? 
 Jun 25 2009 	 oasis heart city 	 nice hotel , bed great , love chocolate dip fortune cookie come turn - down service . service staff professional courteous without ingratiate . continental breakfast good . 
 Jun 15 2009 	 Cool hotel would stay 	 not know much place get , nice bar lobby another rooftop , swanky atmosphere around , comfortable . Rooftop bar get pack night nice looking crowd , model show , lucky timing part . staff excellent extremely helpful couple reservation hiccup , book third party name price site get little screwy , since confirmation number everything sort quickly . definitely place couple bachelor party one seem mind either way . good location , price , would recommend anyone . 
 Jun 12 2009 	 clean trendy Hotel great location .... 	 wife want get Chicago 1 night , since kids school year come halt . 24 hour whatever want worry clock deadline . hotel cool neighborhood city lot shopping , cool restaurant Lake Michigan Chicago River within walking distance . room soooo cool see shower , wood floor , cool artwork , comfortable bedding , clean , clean , clean .... awesome view window . also rooftop club call Vertigo awesome view city , firepit , trendy music good drink . restaurant awesome give give compliemtary continental breakfast a. , ...... fresh fruit , cinnamon roll , homemade OJ , grapefruit juice .... go theater block away , go dinner restaurant nite club . 's hotel couple .... kid .... nothing wrong ! ! 
 Jun 8 2009 	 new fresh good location 	 modern reasonable pricing ! plus , get cont . breakfast Julius Meinl coffee , free wireless , ... nice . gym small nice .. locker room steam shower clean . Front desk concierge friendly ! , great experience .. room huge ( tv ! ) ... , good couple single unless upgrade suite ... FYI - see shower cool , would stay room friend parent .. curtain pull , bit odd . very nice bath , though 
 Jun 5 2009 	 trendy upscale new . great downtown location 	 hotel seem new , probably open 2008 . design hotel , room , attach restuarant bar reminiscent W Hotels . quite trendy , nice . room feature partial hardwood floor nice furniture / fixture / tv , etc . floor ciele window black - out shade . would highly recommend . free computer internet access usefull . 
 Jun 3 2009 	 nice 	 stay husband child end May weekend sightseeing trip . location pretty good , couple block Mag Mile . walk Sears Tower Navy Pier Millennium Park , pretty long walk . we Tranquil Suite nice . housekeep excellent everything clean . check breeze . continental breakfast high quality service good . overall , could find fault hotel may little far walk sightseeing destination other . nice place would stay . 
 Jun 1 2009 	 cool modern hotel 	 great long weekend stay . room modern spacious , complete hardwood floor — a nice alternative grungy hotel carpet . beware , ' bit slippery ! wish ' do entire room hardwood ; ' carpet surround bed . speak bed , ' quite possibly comfortable ' ever sleep . ' also free wi - fi room , big plus book . ' partake mini - bar pleasantly surprised see reasonable price be . noise bit issue ; room 8th floor , corner Erie State , hear quite bit street noise especially night ( occasional 3:30 a.m. brawl … ) . complaint annoying elevator security system slightly tempermental . stay include free continental breakfast pretty typical – bagel , croissant , scone , cereal , fruit yogurt . Loads Starbucks nearby , too . check Vertigo Sky Lounge Friday night , head elsewhere . view great – perfect nice spring / summer night . ' bit " scene - y " taste , especially silly velvet rope entrance . ' think ' necessary although line get around 11 p.m . drink pretty reasonably - price , though , opinion . location really ' beat check city . 
 may 22 2009 	 beautiful hotel vapid inattentive staff 	 Beautiful hotel couple unprofessional inattentive staff equal pretty vacant experience . stay standard room still afford ceiling floor glass window , beautiful glass shower , city view new high rise hotel downtown Chicago . really negative unprofessional staff . several time stay hot water . apparently hot water problem engineering staff clue . come room , test shower say , & quot ; be right hot water idea fix hour . & quot ; manager sound like 20 , inarticulate unhelpful promise discount future stay never come fruition . frustrating experience hot water , able shower convenience , shower different hotel room empty promise unprofessional , incompetent , juvenile staff put damper could perfect experience . additionally , skip mediocre over - price food restaurant room service . 
