clean 	 recently stay hotel 2 night . room clean well maintain quite small . time sleep 2 night not problem . the staff friendly helpful . query attentive help we sort everything out . the location good . quiet location within easy walk distance Midtown . I would definately stay hotel . 
 Aug 26 2009 	 come 	 Priority Club Platinum member ( high possible level ) often use Holiday Inns Intercontinental hotel . many , never see small room . travel someone , barely enough room stand together bed bathroom . mention room extra - small ? imagine bathroom ... even small . location hotel ok , 26th Street West , would say main positive thing , would also praise friendliness employee ; another problem housekeeping , one slow service everywhere ... stay 5 day , three housekeeping manage come 4 pm . also free access & quot ; high & quot ; speed internet , high speed internet , extremely slow speed internet . even meausure speed , speed 8Kb 20kb per second , depend time day . slow . another thing glass - glass room , plastic one . hotel 2 elevator , time wait one minute ... hotel actually feel like motel , real hotel . priority Club Platinum member ... upgrade . even ask manager , get answer upgrade high floor ( 19th 25 ) ... breakfast / dinner upgrade large room upgrade ... strange ... one ask Priority Club membership ... 
 Aug 22 2009 	 beware parking fee ... 	 overnight stay flawless , smile attentive service receive check - in friendly bellman gladly whisk bag hold room checkout could spend day MoMa . thing leave bad taste mouth extra full day parking charge go 90 minute 24 hour parking lot street . hotel say charge $ 30 night , charge $ 60 . turn flat rate hotel negotiate lot , hourly rate kick first 24 hour expire . beware . otherwise , could not ask well experience . request high floor back hotel will postcard view ( Empire State Building , Chrysler , GE Building ) . room decent size , neat clean , bed extra comfy , almost never wait elevator , place exceptionally quiet , convenient everywhere ( subway couple block walk ) constantly hustle staff could not cheerful . steer wine shop two block away closed hour , misstep . FYI , find nice little wine shop , Buzz , 27th west Sixth Ave . stay open midnight . 
 Aug 22 2009 	 Decent Hotel . Central Location . Friendly Staff . Dingy Backstreet 	 Decent hotel , fancy clean comfortable . friendly hotel staff . long walk subway . room bathroom compact two double / queen bed adequate good night 's rest . self parking $ 30 / car $ 40 / van park lot block hotel . alternatively free street parking available nearby street ( e.g . 27th ) 6 pm 8am . although hotel nice small dingy street wedge two old dilapidate building first impression area great . 
 Aug 22 2009 	 great value find 	 get cheap rate online last minute 119 usd . steal . hotel must friendliest staff see hotel long time , place clean well service business centre small gym . like philly cheese steak restaurant well . good location . doorstep happening Chelsea . would stay definitely . 
 Aug 8 2009 	 great staff clean room central location room bit small 	 first trip NYC . drive Manhattan hotel five mintue Lincoln tunnel . park Central Park block street . park usually $ 50 + hotel validate card leave knock rate $ 30 day . hotel clean amenity need . staff helpful attentive . elevator hallway air condition expect sweat little bit peak hour espically stay top floor . room clean awesome view low Manhattan . however , compaint room tiny mean , tiny . maybe way everything NYC . not spend much time room size factor not big issue . would recommend hotel friend convient seem central site low district . 
 Aug 4 2009 	 great Alternative Manhattan Midtown Hotels 	 son stay August 2009 . travel NYC via bus Washington D.C. choose hotel base location price . quick aside , Vamoose Bus great way travel two city . trip take four one half hour . case fast airline ( door door ) . $ 25 ( one way ) can not beat it . if be familiar Manhattan , hotel locate midtown Fashion District . 's 26th 6th 7th . great area , certainly unsafe . the one way walk distance Times Square approximately one mile may eliminate hotel consideration some . the hotel new . slender , 25 story building , maybe six room per floor . double room spacious Manhattan standard . double bed instead twin . room closet , desk , flat panel tv , free internet ( wire / wireless ) , 350 sq ft . bathroom adequate shower stall , bathtub / shower combo . check quick effortless . contact staff friendly helpful . room quiet spotless . bed comfortable . absolutely complaint . checkout also hassle free deliver statement final night . sign leave front desk card key exit . the hotel restaurant premise visit . if business leisure not require Midtown Area , great alternative . particularly true enjoy walk . might think twice stay inclement weather plan walk destination midtown far . this even well deal able score great rate Holiday Inn website . 
 Jul 26 2009 	 good location 	 good location would take 20 - 30 min walk Times Sq not feel safe hotel location . room nice clean modern starbuck coffee usual toiletry , nice linen . staff helpful . gym basic , limited equipment pool . pretty quiet compare hotel . not try breakfast expensive fantastic little grocery store around corner hot bacon egg sandwich free coffee really cheap - highly recommend , tasty ! 
 Jul 23 2009 	 WOW 	 great hotel . staff nice staff get experience year . room clean modern . room small side , expect NYC . air condition hallway hot , air work great room . hallway noise minimal , stay end . pop machine locate different floor seem always stock least two different date go get one . hotel one short building around much view stay second floor back get dirty alley view brick wall . two elevator move rather slow prepared wait go . decide take staircase lead alley dumpster not recommend take stair night . always taxi wait outside hotel great . Pen station times square block away . $ 8 cab fare china town . overall great location great hotel ! 
 Jul 8 2009 	 Outstanding ! 	 husband pleasure stay Holiday Inn , Manhattan recently . please choice hotel . price great , location perfect - evenly place many great site . hotel staff outstanding . particular , front desk staff chef friendly , helpful go way make stay easy enjoyable . thank one front desk clerk point we direction great roof - top bar nearby . addition great staff , hotel clean , modern well keep . read review indicate room small , feel pretty typical size NYC . would highly recommend hotel definately return decide travel NYC . 
 Jul 2 2009 	 clean courteous - GREAT ! ! ! 	 travel NYC often business next impossible find hotel afford stay , clean embarrassed house client . finally , find one ! location great - two block subway reasonable walk distance train station . price right - look online advance sale bargain call hotel sale team directly - helpful accommodating . hotel clean bright comfortable bed pillow . staff polite , rare NYC evening manager even call room make sure everything like . stay often possible return NYC 
 Jun 15 2009 	 can not get well 	 say staff good , young staff , professional helpful . day check flight do not leave till 7 pm want sight see stafff held luggage till would not get another night check luggage . little noisy love that s ny . take Q33 bus Jackson Heights train station F train 23rd street 6th ave . 5 min walk hotel . taxie 60.00 La Guardia take train . room sparkle clean , pillow bed nice , room kinda small expect put someone sleep floor do not even try . eat place eat every corner . Madison square gardens , Penn Station , Empire State Building , 5 minute walk hotel , also Times Square . want great location , great service , clean room , comfortable bed without stretch budget , place . caution try get room noise , central everything noisy veryyyyyyyy busy buth that s love ny : ) a+++++++++++ 
 Jun 9 2009 	 Excellent hotel staff excellent value 	 pleased cleanliness hotel , friendliness helpfulness staff , please hotel 's location . three block subway 10 block Empire State Building . room small , time spend site - see big issue . bed comfortable plenty closet , drawer counter space . would definitely stay location ! 
 Jun 6 2009 	 enjoy stay ! 	 planning drive city , decide stay . not sure go able get room short notice Saturday afternoon . thrilled Holiday Inn room . small room , other state , serve need well . bed comfortable , room clean . wonderful meal Prime Cafe locate within buide lobby , good burger ' ve long time , wonderful service waiter Joe . also receive coupon $ 20 go toward breakfast . also able park one block , $ 30/24hr . 
 Jun 6 2009 	 Nice Hotel Great Location Great Value money 	 get great deal hotel travel zoo , three we stay 6 night one room two double bed . room nicely decorate , clean however cramp three people , however time not really matter . room service one day also problem toilet however call reception deal straight away . staff pleasant helpful special recommendation go Leo Concierge extremley helpful polite . hotel bar restaurant also nice , although not eat food look superb however hotel need market restaurant little . eat Italian ( think ) across street excellent . would stay . 
 May 23 2009 	 BEST value around 	 REAL PROBLEMS HOTEL ROOMS CA not afford 5 STAR establishment . room small clean stay room anyway ? thrilled cleanliness lack odor . small hotel 9 room per floor . everyone close elevator hear people hallway door close . turn fan bathroom partially close door get rid light . Ta Da instant sound machine ! staff always friendly accomodate request . located 6th 7th , near subway , great walk midtown . lone female traveling never feel unsafe although walk past 9:00 p.m. take cab instead . yes , stay stay stay ! 
 May 20 2009 	 good location OK service 	 nice stay n place , everything need , specially location look . could rest time cozy time ! 
 may 13 2009 	 Perfect staff location 	 staff outgo friendly obvious desire please . room wonderful view city . bathroom bite small , surprise ny hotel . hotel sparkle clean , well appoint suit perfectly weekend getaway city . mid - town location perfect since go downtown . easy get variety subway stop , restaurant gallery . 
 May 11 2009 	 Reservation honor 	 reserve room double bed accomodate family . arrive , hotel claim overbooke could provide we king bed half stay . four bed cozy -- family ! room small -- room even put someone floor . appear uncommon practice hotel . beware ! room clean . location close Times Square Penn Station . elevator slow crowd . staff cordial , unable fix uncomfortable situation . 
 May 4 2009 	 Cozy ( small ) good location 	 small room good solo traveller . everything work ( hot shower good pressure , HD Cable HBO , adequate elevator , subway & amp ; deli nearby ) .downside - noisy effective A / C ( usual Holiday Inn wall unit in - room thermostat ) , noisy street early a.m. front . 
 May 4 2009 	 Good Location - nice hotel 	 stay large group 4 night . great location see everything , minute walk away good eatery . great italian around corner . room comfortable , clean expect . staff polite . 
 May 2 2009 	 amazing STAFF - CLEAN- 	 Customer Service Wonderful Stayed week complaint - room little crammed feel price house restaraunt ( kind expensive ) location perfect right heart city : downtown Manhattan 
 Apr 28 2009 	 good location nice staff noisy room poor shower 	 building narrow . ten room per floor , minute people get elevator , hear every single word be say . plus side , room corner room , will encounter little foot traffic . trouble sleep . my room poorly design shower ( tub ) . plastic strip floor , shower curtain short . result , water go bathroom floor . on plus side .... friendly staff convenient location . not dine restaurant , can not comment . decent option nearby . corner 26th St 7th Ave 's mexican grill also Whole Foods block leave . turn right towards Madison Square Garden , plenty place eat . 's 15 minute walk Herald Square Macy 's . hotel two subway station , be short ride Times Square West Village . 
 Apr 20 2009 	 really small convenient nice ! 	 decide stay one night New York order see Time Square Broadway continue journey Canada visit husband 's family . hotel locate Manhatten 's 6th avenue 26th street . , want go Time Square ( 42nd street ) , around 15 - 20 minute walk . street ( 7th Avenue street ) busy full thing happen leave right . number people walk towards come Time Square whelm ! can not help think people coming go ! hotel clean , quite small . enter hotel door surprise , reception right 3 stap away ! receptionist funny loud . guy check reservation throw joke make we feel quite home ! room big comfy bed , big 36 inch lcd tv ( look huge compare size room - feel like cinema ! ) . bathroom clean bath - tub . stand shower alright . free wireless internet connection well . we ask wake call taxi next day 6 everything right time . the draw back find noise . couple right next room come back around 4 clearly drunk time manage open room awake noise us room . ah , one thing : apparently could actually order food restaurant outside hotel . Seemed permit go night , room next we pizza carton outside room . 
 Apr 18 2009 	 Cozy Hotel 	 stay Holiday Inn last weekend . front desk staff wonderful . bed comfy . room small typical Manhattan . unpack put suitcase closet would walk suitcase . two room shower .. tub miss tub . little noisy a.m . hotel can not control noise . traveler would talk elevator elevator slow , , , also common old NY building . bring ear plug light sleeper . parking street think $ 35.00 per night . I book hotel internet holiday inn somehow end book extra room refund ... careful . work son girlfriend come stay we fun . 
 Apr 18 2009 	 great locationa good VFM room small 	 Excellent location , ideal shopping , restaurant , Times Sq etc . stay 2 night twin bed room get great rate $ 140 night . hotel new , modern clean . big issue , mention other , room size . 2 adult teenager squeeze . room mainly 2 bed ! be v comfortable , choice firm soft pillow . large LG tv , small wardrobe , 3 draw dresser tiny desk fill rest space . bathroom ' compact ' . everything work reality much time spend room NY ? AC loud , not need use time year . free internet bonus . would definitely recommend , get good deal . 
 Apr 18 2009 	 good value clean gret location small room ! ! 	 great hotel close subway station , restaurant Empire state building . small room clean comfortable ( amazing bed ! ) . not hear anything next room even outside.restaurant lobby also great breakfast place ( malibu diner ) close . 
 Apr 16 2009 	 Clean New 	 Holiday Inn great choice look clean new place stay . hotel nice employee great . ask high floor room great view . would give hotel 5 star room small . stay night might hotel value space . however , night perfect especially value super clean new hotel . would problem stay day . 
 Apr 16 2009 	 great place sleep . 	 room clean , small . want clean safe room sleep ok . lot thing close . 
 Apr 4 2009 	 tall Secret 26th St . 	 Holiday Inn 26th St. new cab driver even know exist give direction hotel . 's tall slender hotel surprisingly quiet street Chelsea Flatiron District . many traveler comment past reviews lobby room small . however , bar restaurant provide large space socialize away busy crowd lobby . amazed friendly service front desk provide even people crowd desk want check , check , ask direction , complain . employee able handle stress maintain friendly smile throughout craziness . stay 16th floor wtih view 26th street . double bed really comfortable , traveler state , room fairly small . bathroom tiny sink , four people able manage weekend tiny room without issue . hear noise come hallway since door room tuck small hallway . far elvator situation , really issue wait two building . run quite fast issue wait long time . elevator comparison Pod , unfortunately run slow small . drink bar people friendly make strong drink . however , pricey like bar NYC . neighborhood really interesting since mixed tourist , straight , gay people around . 7th street lie FIT Martha Stewart 's studio 6th street lie CVS Starbucks . subway 28th 23rd street , would reccomend 23rd street since busy around Flatiron Building provide multiple track ( rwfv ) . cheap breakfast find Taste NYC 23rd 6th ( literally egg , sausage , hash brown $ 4 ) . hour dinner good dessert 23rd Malibu Diner . bar next door hotel , also Rogue around corner . bar feel like employee snobby not go . new look Holiday Inn , definately agree step level competition Hilton , Sheraton , Radisson . hotel comfortable even small room , bed amazing . ambience exceptional customer service make place big really weekend stay NYC . neighborhood far enough crowd Time Square , close enough see light corner 7th 26th . definately would stay since neighborhood offer nearby attraction without noise crowd NYC . Holiday Inn tall secret 26th street make memorable stay Chelsea , NYC . 
 Mar 2 2009 	 Met Expectations ! 	 review read hotel realistic well write . plenty surprised cleanliness service - orient staff . yes , room little small , actually cozier small . find location convenient attraction interested . short taxi ride Times Square good , brisk walk 7th Avenue Madison Square Garden , Times Square , restaurant service Chelsea . definitely would stay . 
 Mar 2 2009 	 great location helpful staff 	 check - in : smooth uneventful . front desk really helpful long weekend . one gentleman recommend Malibu Diner breakfast end eat 2 morning row quick service , low price love french Toast Club sandwich . check Sunday , staff front desk offer hold bag we could explore catch bus . also graciously allow we sleep bit Sunday check always appreciate . I read review elevator wait time long never problem . even , vacation ' ruffle feather much . room small would expect previous review , since ' expect anything different , ' disappoint . bed definitely plus really comfortable king mattress . thing wish request well view since view build right next we . biggie since ' much , pay full price , may something request since sometimes accommodate . another somewhat annoying thing ' normally notice , much could hear neighbor . could hear neighbor slip key lock next door audible ' shake reflex jumping thinking maid come . ' think ' much since build tall narrow , room really tightly pack together . location great we since plenty quaint place eat within walking distance . like kid candy store , explore pick restaurant base display menu look place . walk everywhere . like able walk Times Square lot shop big Macys . recommend walk Chelsea Piers lunch one day fresh seafood mall amazing bakery ' ever see . Gourmet hot chocolate excellent coffee stand . Central Park , Met , Little Italy , etc , probably need taxi like , especially 's cold . 
 Mar 1 2009 	 fine small 	 recently stay hotel relatively new , ' ok ; upside , free internet access , 10 minute walk Penn Station , easy access train Jamaica JFK airtrain train Newark , expensive taxi ride need . down side , small room , comfy chair bathroom entrance room right want sit toilet watch tv room . tiny work desk small closet , everything cramp . bad thing , video check , want leave busy time long wait front desk would involve lobby also small . this hotel fine short stay , want basic hotel . 
 Feb 27 2009 	 great location great value 	 stay one night . great location - close everything . room nicely decorate , clean , comfortable bed . staff friendly . would definitely recommend great hotel NYC offer convenience value money . 
 Feb 25 2009 	 perfectly adequate short city break 	 Stayed hotel Feb 09 . 3rd floor room 2 double bed . bit cramp , much wardrobe space bathroom bijou , clean bed comfortable . much time spend hotel anyway sex friend ? ! air conditioning bit noisy turn thermo bit solve problem . not try breakfast local option like Murray 's Bagels really good . hotel well locate , pretty central within easy reach major attraction good eat place . 
 Feb 24 2009 	 place stay NYC 	 book age ago use Priority Club point surprise valentine break New York girlfriend . a lot people do not seem like book hotel 15,000 point night ' ve never problem anywhere world . question ..... 15,000 point night ? ! arrive long flight UK - Amsterdam - JFK take subway Penn Station . 10 minute walk way back get subway 23rd St even close . on arrival greet big welcoming smile check literally take 2 minute ... . read review though would wait age lift not problem . give room 23rd floor email say surprise break view magnificent . look Mahattan skyline . ok room be not size suite Hollywood movie immaculately clean everything need ... comfy bed spotlessly clean bathroom large wet room type shower soap , shampoo etc etc . large flat screen tv allow we Brits look amusement million tv channel unpack free interent well . wire wifi . Everytime walk front door lift receptionist always greet friendly hello smile . People may think ' the american way ' do not happen everywhere States assure you . walk hotel , turn leave leave mini supermarket crack deli 's New York feeling get bagel sort hot cold filling couple coffee go . walk hotel , turn leave , cross road , next block trun leave Broadway 10 - 15 minute walk Times Square . hotel 15 minute walk Times Square , Empire State , Penn Station , Madison Sq Gardens etc . People say wait lift . one morning wait 3 minute . probably stop floor way maid use lift well . total ... 5 minute . what s 5 minute life New York holiday ? time use NY taxis $ 5 hotel include tip . hotel central clean new . barmaid behind bar couple time wnet annoying everyone know , ... hey ... be New York . pop happy hour cominbg back refresh head back out . at end day , ideally situate hotel centre town clean ... spotlessly clean ... size bed hotel . size wash basin , size toilet , size coffee mug size window . maid make noise . view spectacular rather spend $ 55 yellow cab JFK , spend $ 5 Air Train Jamaica central $ 2 blue e line either Penn Station 23rd St walk 2 block . when go back ny , stay ! 
 Feb 21 2009 	 good hotel friendly ' ve stay new york ! 	 friend get back new york stay love hotel staff friendly could not enough we . , due go back soon would not stay anywhere else fantastic time ! ! ! 
 Feb 13 2009 	 Excellent Value ! 	 great location . nice cozy room . tastefully decorate . large thick bath towel . 4 we ( 2 couple ) room 2 double bed . bit cramp not spend much time room anyway suit we fine . the staff amazing . courteous , friendly staff ' ve ever encounter NYC . extremely responsive . plumbing problem , someone door within 5 minute take care . 
 Jan 20 2009 	 no - problem stay ; good budget option 	 get great $ 95 rate Priceline holiday weekend NYC . hotel open 7 month , everyone know . location good -- be halfway F / V ( 6th 23rd ) 1 ( 7th 28th ) subway stop , although 1 slightly close . convenience store , drugstore restaurant step away : CVS Duane Reade 6th , Chipotle BRGR 7th . recommend Supermac 7th south 29th : multiple variety macaroni cheese . Received & quot ; upgrade & quot ; arrival king bed 14 . small , NY style room , really tiny bathroom ( bathroom even tiny one Radisson Lexington ) . everything clean comfortable . flat - screen tv many station , 1/3 not come . free INTERNET ! ( wire wireless -- go wired -- sure ethernet cable connect properly . ) noise problem -- could hear people hall outside door . super cold stay , kind hard keep room warm cold keep radiate window , well last day get freeze . staff pretty friendly NY hotel , greet guest get elevator ( long elevator wait , either ) . bartender even change $ 100 . problem one day leave room noon , clean get back . call someone come right change towel make bed . appreciate ; ' ve hotel tell luck happen . all , would recommend place single traveler especially -- probably family due size room . maybe couple . not know two - bed room like . 
 Jan 7 2009 	 Great Deal Manhattan 	 husband get really great rate ( $ 96.00 / night ) hotel . grant , stay early January -- downtime NYC hotel . book part price part review read . everything well expect . stay 21st floor nice view . room appear recently remodel / update . yes , room small , nearly Manhattan hotel room . yes , sometimes wait minute elevator much well anticipate read review . room entire hotel clean . staff reception desk incredibly friendly helpful . seem genuine appeared want we really enjoy stay . location great . nice , clean , safe , hotel . get great rate website . would definitely stay . 
 Jan 4 2009 	 friendly staff 	 return six day trip new york bit nervous comment regard staff lift hotel . however pleasantly surprised . arrive Xmas Day ( family 5 - child age 15 . 15 20 ) , greet nicely reception , take lift 20th floor bother . room small admittedly everything need . gripe would cleaner congregate outside room morning trolley keep . could fault reception - go way friendly , lift work reasonably quickly time . position good - block away Macys 5th Avenue - could ask ? ! 
 Dec 24 2008 	 great location staff 	 stay hotel 18th 21st December - surprise birthday trip wife . we fly UK - Amsterdam - JFK unfortunately luggage not . arrive 3 pm Thursday ; luggage finally catch we 3 am Saturday . as soon aware problem , staff hotel solicitous helpful . within minute sort toiletry etc disposal , helpful advice offer support assistance need . could not helpful . the room not large , big enough short stay . double wife twin kid . twin shower room . double boasted bathroom , bath deep slightly elongate shower tray . but expect city space premium ? everywhere clean well maintain . one problem - plug bath - sorted minute . each room huge tv vast list channel , alarm clock , free internet ( plug wireless ) , tea / coffee make facility ( apparently universal US ) . much tea coffee though - take buy additional supply locally . the bar restaurant price horrendous . eat breakfast Malibu 23rd Street - five minute walk ( snow ! ) , great food inexpensive . the heating / air con room individually adjustable ( hear rare ) . go , not enough change wall thermostat set & quot ; auto & quot ; - also need change heat / fan speed setting flap air con unit itself . the bed really comfortable . good supply pillow towel . overall great hotel tour shopping trip . hotel kill time , need ny bed ! one last recommendation - get NY first time , get guide show round . know quick way travel two point , good place view inindividual site . would strongly recommend http : //www.familyinnewyork.com/ competitively price work hard design personal tour choice . Scott ( boss ) Mark could not look we well . try - see lot day would week . also happy offer unlimited advice shopping , eating , entertainment etc . 
 Dec 19 2008 	 would stay 	 great place stay be look clean room good location . staff pleasant helpful , room modern ammenitie simple , yet functional . make mistake , nothing fancy hotel . 's great value NYC within walk distance low mid - town Manhattan . 
 Dec 11 2008 	 great stay 	 back New York week stay dissapointe either , room large two double bed , comfortable lovely view Empire State Building bedroom window . staff friendly helpful . hotel normal facility plus free internet buisness room , small gym bar restaurant , downside bar sale draught product beer glass . the hotel decent location easy walk Macy 's short walk long Times Sq , Empire state building , Grand central station etc . car rental 5 min away adventurous look travel far afield . would stay , yes , would recommend hotel , yes 
 Dec 10 2008 	 Liked Hotel 	 get back spend 3 night hotel . enjoy stay , staff friendly hotel clean . restaurant 's inside half price drink 7 day week hour night food GREAT ! owner hand cooking , tortilla chip fresh salsa great ! fresh wing , fresh cut dip calamari , outstanding ! not issue elevator wait time . room small spend time hotel , . not go nyc sit room , time come back night , right bed ! 
 Dec 10 2008 	 small nice ... 	 new hotel up down . staff great ! friendly , responsive , really helpful . room small - much extra space will not spend much time room perfectly locate hotel . middle everything much ! main downfall elevator .... 2 elevator entire hotel hard find ride room . overall , nice place . 
 Dec 9 2008 	 nice hotel w/ tiny room amenity 	 Overall enjoy stay Inn . nice clean hotel , pay feel like lot include . bad hotel mean , use receive lot amenity lot less money ( free breakfast , pool , fridge room , etc . ) . good : - hotel bar happy hour half - price drink 4 pm 7 pm- room furnishing ; comforrtable bed - Location ; close Subway stop far Times SquareThe bad : - room tiny ! two us share room felt cramp . can not imagine stay 2 people room . - elevator ; two time take long time come- amenity ; pool , tiny & quot ; business center & quot ; & quot ; execise room & quot ; - Hotel website claim mini - fridge cd player room , not either . overall nice stay , future choose hotel offer . 
