elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Oct 27 2009 	 excellent birthday get - away 	 spectacular hotel staff cater expect fine accommodation . heart San Francisco 's financial district , location ideal business traveler want close pulse business , fine dining city , shop Union Square , entertainment range North Beach club Theater District . Le Meridien San Francisco wonderfully keep offer breathtaking Bay view . staff gracious make birthday event quite memorable . thank ! 
 Oct 27 2009 	 excellent place stay ! 	 stay hotel many time continue come back since favorite SF . room beautiful staff always top notch . leave jewelry safe find actually meet convenient location give ! usually upgrade we junior suite available . perfect location we though trip SF pleasure , stay well business . last year travel Barcelona general manager hotel put we contact GM Le Meridien Barcelona - fabulous time well ! we like 5 star 4 star . highly recommend ! 
 Oct 27 2009 	 entire staff responsive need 	 number colleague stay LeMeridien business could believe find hotel meet every one need . cater business sector staff extremely friendly service exceptional . refer hotel people business find hotel superior . 
 Oct 27 2009 	 Perfect Place 	 great hotel ! ! compliment ! ! short walk China Town ( fav place SF ) . Nordstrom closeby even window shop . lot thing within 10 - 20 minute walk / radius . tehn , that s San Francisco . 
 Oct 20 2009 	 Fantastic Location -- will definintely repeat guest . 	 amazing view Coit Tower Transamerica building room , # 1907 , & quot ; executive room & quot ; category . 's part Starwood / Sheraton Family , ahhh , Sheraton Sweet Sleeper Bed part package ... opinion , good hotel bed around . 85 yr . old mother accompany ; use cane arm stability . can not say enough attentive staff ... especially wonderful bellman , front desk concierge go beyond assist we bag , taxi etc . due limited walk ability . good Chinese Food ' ve ever oriental Pearl block away ... certainly close enough walk , take taxi . can not wait complete repeat trip . 
 Oct 20 2009 	 beautiful hotel 	 great location SF . room spacious , modern clean . little issue low water pressure shower , hotel say top floor ( ! ? ) . really complaint . 
 Oct 12 2009 	 clean comfortable 	 stay hotel day Aug training . hotel 's location not bad . couple mile Union Square mile fisherman 's warf . take California 1 bus Chinatown . hotel look extravegant Le Meridien aroudn world nice pleasant stay . 
 oct 8 2009 	 good location 	 San Francisco one night . stay Friday night make cost room alot less stay weekday . hotel financial district . closeby terminal ferry cablecar . walk distance Union Square , Chinatown , not mind walk steep hill , Nob Hill area . hotel clean staff always helpful . would not consider luxury hotel pay full price room . complaint cost eat restaurant . french toast delicious , worth $ 60 . 2 coffee , juice omellette bacon . choose stay , plenty place eat breakfast leave hotel . 
 Oct 8 2009 	 nice room - great service - expensive parking . 	 one good Hotels stay . service wonderful , fridge well stock , room nice . bed comfortable maid service excellent . would definitely stay . side - price per night expensive side parking $ 50 per night . internet free - $ 12.95 per night . 
 Oct 8 2009 	 Le Meridien affordably luxurious location can not beat ! 	 purchase King Tut exhibit package participate hotel , Le Meridien good price super accessible public transportation well Embarcadero great shopping . receive vip ticket include price room , unbelievably cheap . checked greet professionally treat like royalty throughout stay . room lovely view bay bay bridge . check bill higher expect . confirmation staff professional . seem webmaster make pricing error handful reservation make catch . honor rate problem . definitely stay . 
 Oct 6 2009 	 Great Hotel nice location 	 boyfriend stay four 3 night begin October 09 . first time San Francisco sure expect . say , think hotel nice ! locate Financial District short walk shop quick cab trolly ride Wharf , Nob Hill , etc . take cable car California get Grace Cathedral walk back hotel China Town . easy walk go . rent car valet service accommodate prompt retrieve car . conceirge helpful suggest great sushi restaurant us 10 minute walk away . room decent size king size bed one good ' ve ever sleep . pillow huge comforter awesome ! corner room could partially see ( around building ) sun rise bay bridge morning . downfall internet free unless use business center ( think ) otherwise $ 12.95 day restraurant around hotel open late , day lunch financial district everyone leave 5 . elephant bar across street lot great local beer tap serve pretty good reasonably price food well ! also order room service 10:30 one night , pretty expensive surprisingly good . 
 Oct 3 2009 	 great hotel 	 great hotel , great value bad location , financial district . staff extremely helpful quibble wi - fi not free ! would definitiely stay . 
 Sep 28 2009 	 stupendous -- five - star experience ! ! 	 Le Meridien San Francisco spectacular hotel , conveniently locate near Embarcadero BART Muni subway station , California St. cable car historic Ferry Building marketplace . we book Priceline , bid $ 91 / night 5 night accept , take advantage Priceline bonus cash offer slash rate amazing $ 81 / night . we get room king bed 19th floor offer view Bay Bridge . room beautiful , modern clean , word also could describe hotel itself . we take advantage Le Meridien 's many nice amenity , include : bathrobe bathroom scale room ; free Starbucks coffee lobby morning , complete choice sugar packet cube ; free copy San Francisco Chronicle floor free copy national papers lobby ( get early want New York Times , go quickly ) ; large fitness facility nice variety equipment , good working order , fresh apple take ; free laundering gym clothe . the room even cd player , though never use it . the drawback steep , $ 13 / day charge internet service . not get upscale hotel still gouge guest manner . 
 Sep 23 2009 	 may move forever please 	 wonderful hotel wish could stayed long . check late long flight idea know sight . kindly upgrade penthouse suite awesome . great view , great jacuzzi , bed die . problem keep getting lose trying find one loo . small complaint one would happily repeat . staff wonderful . past , issue Le Meridiens . room tend lovely tiny staff tad bit haughty / cranky side . case . snoop room spacious well decorate . assume bed equally comfy . not think good idea try maid call new key . yes , lock . busy enjoy room try facility good room rock . location great Embarcadero therefor close lot . another bit staff . call day later since think leave read glass . housekeeping , tell room number know name without pause look . anyway , glass find phone charger . I may never get penthouse suite new hotel choice SF 
 Sep 19 2009 	 good quality hotel 	 Booked hotel read good review able get good deal stay . stay Executive King Bay view room excellent . bed large comfortable room good size view nice . location hotel ok long not mind walk . Union Square 10 - 15 minute walk away , Embarcadero 5 minute away near BART station . chinatown nearby little bit road North Beach . stay weekend Labor Day Financial District quiet , especially night . 
 Sep 11 2009 	 ok 	 hotel nice , expect 4 - star hotel . room respectable size well appoint , view ( deluxe king second top floor ) great & quot ; great view & quot ; room view bay / bay bridge partially block building ( really want great view , go Mandrin Oriental ) .The room overall quite clean , fail cleanliness could overlook clump hair corner bathroom , soap build - up soap holder shower disgusting . front desk polite , good . concierge -- one excellent , other ok ( answering exactly ask nothing ) . Doorman -- big bulky guy lazy , unfriendly even open door , hail we cab smile , one thin guy glass curly hair nice offer help we taxi actually hail taxi we . location : , average leisure 4 - star hotel right California street . business , battery street probably fine . would go back ? probably . 
 Sep 9 2009 	 stay several time fantastic around ! 	 great hotel , service , excellent view , comfortable clean - negative . good location business , area pretty quiet weekend . necessarily drawback though reasonably easy walk north beach , union square area . but hotel one nice one ' ve stay , would definitely recommend anyone . complaint especially loud neighbor next room , change volume necessarily & quot ; thin wall & quot ; hotel . 
 Sep 7 2009 	 amazing stay ! 	 really comfortable bed pillow ... can not express comfortabe stay .. definately would not mind come back ! incredibly friendly staff concierge incredibly friendly . 
 Sep 6 2009 	 perfect - staff view amazing 	 stay Le Meridien last night Room 2408 , truly amazing view stretch Transamerica building leave Coit Tower Bay Bridge right . staff fantastic ( get free upgrade checkin hotel not full ) , room clean , modern without crazy , well - design . Liked bed lot , pillow bit large . be Bay Area resident stay city overnight show , would stay sure . 
 Sep 6 2009 	 Good hotel - spectacular 	 stay Meridien SF final three day three week holiday California . get upgrade 1 - bedroom suite interestingly enough fact one room , seperate bedroom . room ok view , could see small part Bay Bridge . hotel good , room include bathroom look bit ' tired ' lack ' wow ' factor . bed comfortable . nice iPod docking station play music room overall , expect little Meridien , especially price pay take account free upgrade . staff friendly helpful . breakfast good pricey get . location good - approx 15 minute walk Fisherman 's Wharf 10 minute centre . dinner Kokkari restaurant excellent 3 minute walk hotel - check tripadvisor listing . ( non - free ) wireless internet room room could also pick free wireless signal cafe's / bar nearby . we great time SF - Meridien ok good expect , may try Westin next time . 
 Sep 5 2009 	 nice big room 	 arrive back San Francisco tour wine country Yosemite . final night SF head back home . lobby nice people great . arrive check - in time able get we room . room really nice . king size bed huge flat - screen tv rotate 180 degree ( face either bed living area ) . nice workstation living area ( couch , side chair , coffee table ) . bathroom huge . separate shower bath . lot towel provide . everything clean . drawback coffeemaker . like tea day long , , call operator say hotel free coffee lobby morning offer send coffeemaker . accept arrive tray attendant necessity time . concierge lobby able direct we great sushi joint call ahead make sure would arrive kitchen close -- - make ! parking outrageous -- would definitely recommend use garage . 
 Aug 25 2009 	 Nice Hotel Great Location 	 room gorgeous . granite tile vanity bathroom . spacious . window look onto Transamerica Pyramid , Coit Tower , Bay , pretty much entire city . amazing . concierge always give good recommendation dine well . 4 block walk historic ferry build adjacent streetcar stop take Fisherman 's Wharf . location way well staying wharf quiet close attraction Pier 39 . also , free , 24 - hour bussiness center , not pay internet want thing . 
 Aug 21 2009 	 Great Location easy find ! 	 Sale . we book room 35 % . stay 4 day July August . room great ! staff great ( flat screen tv develop problem service tech show within 1/2 hour replace tv ) . hdtv.location everything hotel . 4 block Bay / Ferry Building . embarcadaro 4 block high - rise mall low level . ( picture attach ) mall hotel TransAmerican building next right . chinatown block away . we expensive lunch breakfast hotel . however say downtown San Francisco restaurant expensive . 
 Aug 21 2009 	 great anniversary weekend 	 2nd stay hotel . love location near restaurant shop . upscale hotel good rate helpful concierge staff . room view Bay Bridge . room spacious comfy pillow . sure mattress . shower curtain bow yet . to top , weather sunny warm . 
 Aug 20 2009 	 Perfect stay Le Méridien San Francisco 	 arrive BART little walk hotel , easy enough even luggage . check quick personable fellow , upgrade Chantrelle suite ( name either mushroom french battle ) nice two room suite corner building , look Ferry building bay . coffee room , som sort Le Meridian thing think . bed super comfortable , bathroom large trendy well lay . concierge efficient helpful . room service good prompt . location end Embacadero , many coffee place near well Safeway 
 Aug 14 2009 	 Nice 	 love hotel . clean comfortable . little pricey meet gov't per diem definitely feel get money 's worth . within walk distance downtown attraction . use public transportation , trolley , 's historic part downtown . concierge excellent . one negative watch .... check , $ 93 tab mini - bar mine . show second day stay must occupant . check - out guy still keep add bill , even tell deduct . call accounting home get charge take . hassle . careful . oh ... $ 49 per night parking . 
 Aug 14 2009 	 lovely hotel great location good service . 	 husband end Northern Cal . excursion stay last two day Le Meridian . book Amex travel room upgrade , $ 85 food / beverage credit , breakfast voucher perk . think lovely place , really good location , walk distance lot site , place . room fab view bay bridge , food good , everyone friendly . across street nice little local pub , go day beer . lot great place eat right . walk around corner Tadish Grill recommendation & quot ; local & quot ; , wonderful ! really old school San Francisco , watie bar table , really fun . would definitely go back place . 
 Aug 13 2009 	 can not go wrong 	 will echo other say . nice room , comfy bed , stylish decor helpful , friendly staff . floor - to - ceiling window offer nice view bay TransAmerica Pyramid , even 11th floor . free business center nice touch . location bit tourist path , be within 5 - 10 minute chinatown , Ferry Building , Coit Tower , North Beach ( include City Lights ) California St. cable car . Powell line Union Sq . close well . also walk Fisherman 's wharf around 20 min . note weekend immediate area shut . starbuck across street open , much else . get quiet , nice . 
 Aug 11 2009 	 good location excellent view high floor 	 find excellent price room webservice . contrast hotel , go way give we really good room high floor . room perfect . regret selection tv channel bit limited . hotel financial district , right across Embarcadero Center , within easy walk distance ferry building , California street cable car , BART station . negative weekend stay , many nearby restaurant either closed weekend close early . 
 Aug 5 2009 	 expect much 	 quite detail orient hotel would expect . room quite boring mostly brown furniture fairly bare wall . hallway minimal feel plush would expect . do not get elegant feel cozy feel basic terrible . several mishap room staff go way get fix . view great strange ( bad ) odor bathroom would go away . concierge ( stress ) knowledgeable nice , front desk much , actually border rude . near area okay want go embarcadero find area nearby dirty kind scary certain time homeless people around . might return hurry . oh mention parking cost 50 dollar day ! 
 Aug 5 2009 	 hear neighbor ` ` recreational activity '' adjoining door lose reservation ! 	 good . lose reservation . keep people next door pat fortune . nice view however . 
 Aug 2 2009 	 good view Bay . 	 stay 3 night king , bay view room 18th floor . room large clean view bay great window . turn chair face could enjoy view . would definitely reccommend view . otherwise , room fine large flat screen tv . coffee pot room coffee serve lobby morning . eat breakfast restauraunt twice . times excellent - egg benedict . instead use valet parking $ 50 day , park across street Embracadero center $ 32 day . 
 Aug 2 2009 	 great hotel 	 ' ve stay twice last month business love . nice room , comfortable bed , great hotel gym , convenient location helpful accomodate staff . excellent ! qualm -- burn incense lobby smell sensitive . 
 Jul 30 2009 	 really great location 	 really like hotel . great concierge service . room lovely well . 
 Jul 26 2009 	 Nice Hotel 	 stay hotel 2 night continue Hawaii . hotel locate financial district close Fishermen 's Wharf . restaurant open except Elephant Castle , place close early open . hotel lobby nicely decorate . stay 11th floor nice view city . room nicely decorate although little dark enough lighting . travel 3 teenaged boy request adjoining room well advance get . also , room ready baggage hold . would stay though since hotel close activity city . 
 Jul 18 2009 	 love place ! 	 spend 6 night LeMeridien early July - romantic getaway celebrate 25th anniversary . love atmospher hotel . room 15th floor Clay Street side wonderful view Bay bridge . quiet weekeday . concierge terrific , great restaurant recommendation much help get place muni . public transportation quite near hotel never use taxi . make restaurant Alcatraz tour reservation we . two small complaint : coffee maker room ( ' m person need fix first thing morning not want make trek lobby ) room assignment . last couple night noisy people adjoining room we . door wall noise seem even louder . plenty open room not need place close we . other , love Le Meridien stay . 's Embarcadero close Chinatown , Nob Hill Union Square . nice away touristy area like Wharf . 
 Jul 14 2009 	 Location Location Location 	 Le Meridien great close China Town , Market Street , Embarcadero , even North Beach . the hotel clean moderately good view bay moderately - price ( discount ) room . 
 Jul 12 2009 	 Perfect location great staff spacious room view 	 Le Meridien SF great hotel city break little class . my wife stay 5 night part first leg honeymoon . front desk staff great upgrade we room lovely view bay bridge one side transamerica pyramid other . the room spacious clean , nice bathroom , though shower bath rather seperate cubicle . the location perfect , 5 min Chinatown Financial District . 's also close cable car public transport , 's problem immediate restaurant often close Sat / Sun . SF amazingly small city be fit enough , walk easily . the business centre great , access room key , random people walk street . 3 seperate pc , lot space around privacy ( although printer share ) . internet access free . in - room internet come fee , not much point use unless be serious business traveller . overall , highly recommend hotel tourist want nice room rest head action sightseeing . 
 Jul 11 2009 	 Perfect city hotel 	 spend 3 night Meridien complaint ! room comfortable , especially bed . room well appoint large flat screen tv , modern furniture great corner window good view ( 13th floor ) . staff friendly encounter . can not really comment bar restaurant not use . use fitness centre however well equipped . location hotel really good . 's short walk shopping Market street Union Square . be also really well locate Ferry Building . book hotel via hotwire pay $ 120 night absolute bargain hotel quality . thing would add would free wireless internet , 's disappointing pay day . highly recommend . 
 Jul 10 2009 	 Perfect ! ! ! 	 stay Le Meridien San Franciso Aug 28 - July 2nd . say ; minute check minute check experience nothing great service comfort . hotel locate heart San Francisco , find place perfect location . everything need within walking distance . attraction place want see minute drive away . parking problem . get 5 minute per 25cents meter . the parking hotel pay $ 59 night , valet service awesome nice . take car like ever hour , know pretty well valet service . the hotel provide 24 hour room service pretty expensive . pay $ 6.97 cup milk son tip expensive cup milk ever . the maid service awesome , want , leave note you . the bathroom nice , clean roomy ... exactly would expect high end hotel . there free internet hotel , use phone modem jump one many free wifi connection find . there pool . in morning get copy 3 daily news paper , include USA Today free . place like near : Fog City DinerMcCormick & amp ; Kuleto 's ( good food SFO ) Fog Harbor Fish House ( must try crab cake ) Mel 's DinerThere starbuck right front door hotel ( go every morning ) Orgasmic Pizza ( real good pizza right block ) eat one place call Cathay House China Town .. food good .. would recommend it . fisherman ' warf 5 minute drive ( rush hour time 4 pm - 5pm nightmare get aroud take 30 minute go 2 mile ) plenty shop , food attraction . park meter take credit card 3 hour pay $ 12 . park pier 40 walk 2 mile way end Aquarium Chiradeli Square . this great hotel great service thing would expect 4 - 5 start hotel . always like Le Meridien quality first time stay will not last . 
 Jul 7 2009 	 Elegant 	 decide stay see rank high Tripadvisor . see . elegant hotel , floor room . rate $ 159 seem reasonable , since see hotel charge much high rate . receive warm welcome check - in offer room high floor , always please . partial view Ferry Building Bay Bridge . hotel 's 2nd floor walkway Embarcadero Shopping Mall Ferry Building . room safe big enough store computer . the hotel BART expect . montgomery station Embarcadero station . luggage , would take cab . CD player place high table . short person even trouble use . internet $ 12.95 day , less - deluxe hotel offer free high speed . wall room thick expect . ocassionally , could clearly hear noise voice room . also , charge $ 1 every 800 number call . 
 Jul 6 2009 	 Perfect Location - perfectly unpretentious Staff 	 couple thing right : require non - stop party , 24/7 right front door , not stay here . if can not walk 10 minute flat ground , not stay here . if , however , want clean , quiet , SAFE location sleep , it . if , want central location everything , . wife pretty low - maintanence , issue other claim experienced , not even apply , really not need much . require clean , quiet , well - furnish , great view , room 4 star range . exactly get . request room high floor , face south . josiah front desk , give 21st floor ( 24 ) room face south . large , beautiful big bathroom , amazing view downtown , granite though . perfect . would say bed linen not par W , Westin , Hyatt , well . spend 4 night thru 4th July weekend happy stay . not want spend fortune parking , park ' 5 Star & quot ; garage block away Clay . staying park 2 day $ 36 / day , realize could easily park street , free fri - sun holiday weekend . end parking half block away hotel sit leave mon morning never feel worried car 's safety . really location Le Meridien 's hallmark . unlike Union Square , place quiet , clean , always feel safe . siren , holler horn honking night . homeless sleeping panhandling doorway every 50 ft . aroma urine every entrance way . downside almost everything close 5 6 pm open sat sun . option across street shopping plaza . pizza place call & quot ; Orgazmico ? & quot ; look good , work gather bar / restaurant call & quot ; Holding Company & quot ; good food great service ( likely owner ) . McD be also block half away . still 10 min flat walk Union Square , Chinatown , North Beach , anything Embarcadero . also bar restaurant hotel never use . lastly , staff excellent . everyone always helpful without forceful . want help , jump right . say , & quot ; ' ve get & quot ; leave . stay place seem staff allow laugh joke . not get treatment . treat respectfully , like royalty . prefer first . would rather treat guest friend , employer master . San Fran , stay Le Meridien . 
 Jul 1 2009 	 average good 	 complete 2 night stay live Le Meridien reputation . service truly suck . Bellmen non - responsive , housekeep shoddy good , front desk surly . housekeeping worst : require 3 call get bath towel wash cloth room , take / toss magazine bring leave nightstand , remove personal alcohol mini - bar fridge ... could go . luckily use Starwood point woulda super piss . Westin W would probably well choice . location good , room nice ... plenty kind positive hotel . 
 Jun 28 2009 	 beautiful room service lack amenity 	 hotel great location Embarcadero Financial District . room fanastic modern bright decor case large balcony . nicely do fairly spacious downtown hotel . concierge wonderful . the downside vend machine place get soda water unless use mini bar ( $ 4 ) . pool / hot tub ( site ) . big issue bell staff awful welcome receive . come buss train would think service wa sgreat good front desk . however , initial impression person drive receive good . nto want able check unless use valet ( go return rental car ) make inconvenient check leave move car difficult get . int 5 minute take check . trouble get key back . . accord website offer self parking apparently really available . stay Le Meridians comprable . pay full rpice ( use point ) would suggest check Westins propertieis . 
 Jun 15 2009 	 Fantastic Stay 	 stay one night Le Meridien Memorial Day weekend . room fantastic , well decorate , fantastic view . service check staff exceptional . really enjoy time , would definately go back . 
 Jun 15 2009 	 Great Hotel Good Location Weekend stay 	 chic & amp ; modern hotel spacious comfortable room . got great rate Friday - Sunday stay Expedia . Financial District , walk distance Ferry Building , Embarcadero BART station 15 20 minute walk Fisherman 's Wharf desire . take BART directly SFO hotel area , 5 minute walk train hotel . real need car great transportation system within city . wonderful staff , great room . would definitely stay . 
 Jun 14 2009 	 Tarted Park Hyatt 	 not stay hotel since Park Hyatt . redecorate mad hatter style really disconcert . hotel use look like elegant man 's club lot brown wood dark granite . ' ve keep much add whole different look top , really jarring . specifically , ' ve add red / grey / white set furniture , along Design Dime art room dark woods granite brown / tan color old hotel . on good side , be quiet hotel large room 's right business district three short block Ferry Building waterfront food fun . like everything except new look . 
 Jun 11 2009 	 great hotel helpfull staff nice comfortable room 	 second time stay Le Meridien Hotel time upgrade without ask , suite due spg status . the bed comfortable well call Western Hotel bed . the room spacious clean problem outside noise . breakfast expensive worth hotel . plenty restaurant close by . business centre complimentary computer use .location good walk distance shop Union Square China Town Little Italy 
 Jun 1 2009 	 Perfect 	 great hotel good location . easy walk everywhere want San Fran . got really good rate Hotwire . would stay anytime . 
 may 21 2009 	 consistently excellent 	 husband stay least 6 occasion last 3 year . 's favorite place stay among Starwood Properties San Francisco . room spacious modern furnishing always spotlessly clean , hotel staff pleasant accomodate , ' ve eat several time Park Grille enjoy . experience ' ve consistent visit visit , know expect -- be always excellent ! location nice , near Embarcadero Ferry Building -- walk many many restaurant shop sight . 
 May 19 2009 	 Fantastic Hotel 	 stay meridian family . book room cash point SPG , book mom 's room separately AAA rate . hotel nice location , easy get around anywhere . staff nice , friendly , knowledgeable helpful . little mix - up room , work everything without involve . husband get upgrade suite gold status room gorgeous . sit area , big window , separate shower bath . bed comfortable , not sleep well age ! Wish could stayed long . parking expensive , be nothing . level service comfort room make charge . would definitely stay . 
 May 11 2009 	 wonderful hotel great service perfect location ! 	 love Le Meridien San Francisco . room plush spacious super nice linen . hotel within walk distance wharf , little Italy , chinatown public transportion bus trolley . restaurant hotel excellent wonderful service ( bit expensive , well worth ) . buy city pass Aquarium get discount good attraction able ride public transportation free -- terrific value ! 
 May 8 2009 	 Awesome 	 get really good deal via TravelZoo help make hotel awesome . love financial district instead tourist area . get people live San Fransisco not people watch half fun travel . hotel hip , clean nice . restaurant , coffee shop , store right outside window . negative giant water stain ceiling . 
 may 8 2009 	 Best Class 	 stay many luxury hotel large city none come close compare experience LeMeridien San Francisco . attention detail impeccable LeMeridien sheet use , staff hire , decor wall . LeMeridien San Francisco understate elegance without stuffy make perfect hotel business pleaure . addition , perfect location everyone ... nightlife , venue family good restaurant within San Francisco within walk distance . 
 may 6 2009 	 Hidden Gem 	 know LM would good vastly exceed expectation every way . hotel remind high end , understate property Europe . although book relatively inexpensive room , upgrade ( albeit basis starwood status ) corner luxury suite 24th floor view Bay , Alcatraz , Embarcadero , beyond . room splendid ! spacious comfortable . one item ( stray hair , tidbit paper , debris , etc . ) leave previous guest . hear siren ( fire station immediately around block LM ) , room respect incredibly quiet . staff could not helpful , courteous , accommodate . trip SF include stay near Union Square . agree really like LM 's location w / in couple block Ferry Terminal Embarcadero , w / in 10 minute walk Union Square , Washington Square / North Beach , Chinatown . everything visit make special anniversary celebration . definitely return . 
 May 5 2009 	 San Francisco Chic 	 Le Meridien Hotel locate China Town Embarcado around corner Transamerica tower . lobby stylist staff welcome . room also stylish reasonable size city hotel . overall favourable impression . corner room overlook Embarcado Centre experience unwelcome noise . housekeeping staff friendly provide good service . convenience store , cafe bar nearby . possible walk China Town Union Square feel energetic . cable car Mason Embarcado market block away . negative valet cost parking - $ 56 / night , ouch ! 
 May 3 2009 	 Beautiful Rooms great service . 	 attend conference San Francisco want less expensive option host hotel . find great rate Expedia book Le Meridien . room huge nice view . great amenity room i.e . robe linen . love fact slide glass door open fresh air . little disappointed room coffee . however coffee lobby 9 . restaurant hotel pricey room service . however , Embarcadero shopping / dining across street adequete option . can not say enough good thing concierge give great direction make reservation Alcatraz Tour precise timing travel pier . ever occasion go back SFO could find good rate , would stay . 
 May 3 2009 	 Average Hotel 	 room nice . hotel small thought would . great selection restaurant . stay one night . could hear siren outside street pretty clearly - quiet room . could also hear person room . valet bit slow first arrive - ask someone come could check car . 
 May 1 2009 	 Great Hotel Business Trips 	 really enjoy stay . attend conference low level ( cell service underground ! ) comfy bed , large room bathroom . friendly housekeeping , front desk efficient , even forget wake call . room clean well lay . room safe great . work full day room large desk great view whole day , run Dim Sum , 3 block start chinatown fantastic . connected bridge Embarcadero Shopping center . 
 Apr 30 2009 	 great place near S.F . 	 outstanding place easy access fun stuff San Francisco ( close waterfront , cable car , financial district , North Beach restaurant , far Union Square etc . ) . spacious room , attentive staff attentive every detail . great place getaway business stay s.f . 
