excellent 	 spend 3 night hotel really enjoy stay . reception area attractive Christmas tree add ambience . reception staff accommodate arrive 2 hour early find we double room right away . spacious , clean , well decorate nice product bathroom . eat restaurant first night , food good exceptionally friendly spanish waiter really helpful . breakfast excellent plenty choice something everyone . well equip little gym sauna intend use sadly run time . Gloucester Road tube station 3 min walk away make easy we get around capital . two good little pub nearby shop cafe . negative thing say hotel towel really small thin - 's time change new fluffy BIG bath towel . 
 Aug 20 2009 	 great hotel 	 stay one night fly Venice follow day . book via & quot ; bookinhotels.com & quot ; upon arrival tell book cancel agent dealing bookinhotel . lose book money luckily Harrington Hall vacancy night pay ( fault can not blame ) . room spacious clean - lovely bathroom comfy bed . noise room not realise next morning window open little ! ' m sure closed would much quiet room . great location , lot place eat friendly staff . 
 Aug 8 2009 	 elegant hotel - Budget price - great service ! 	 complaint lovely hotel South Kensington area London . safe comfortable location . close tube . room cute spacious . plenty storage space . small minibar - which empty use stuff . weakness - extremely expensive wifi access limited room service selection ( expensive ) . however many internet cafe great restaurant neighborhood . pleased value offer fine hotel . 
 Jul 31 2009 	 good hotel great location 	 stay July 2009 5 night . nice neighborhood step Gloucester Road tube station convenience note . nice walk area , not already walk foot . room quite spacious many useful amenity . soaps shampoos lovely . one thing disappoint lack wireless internet . could use wire net steep price , iPhone , not help . clearly hotel frequent business traveler definitely upgrade soon . luckily nice internet cafe around corner , could catch . another note - use laundry Gloucester Road tube station . ruin several item give clothe back appalling condition . not smell clean yet wrinkle beyond repair case . ' ve fluff & amp ; fold service around world never see anything nearly bad . 
 Jul 20 2009 	 not make Mistake ! 	 Virgin Vacations book wife Harrington Hall . plane 11 hour , travel half dozen time zone nearly 24 hour , get Harrington Hall tell room prepay available overbooke . pompous peacock Front Desk Manager name Butler handle rude indifferet manner . subsequently write president ceo NH Hotels never even get response . unprofessional company . big favor not make Mistake , avoid NH Hotels ! Tim 
 Jul 14 2009 	 huge room great location 	 stay NH Harrington Hall 3 night July . mention previously hotel room need update aspect hotel make . first impression hotel arrival - reception / foyer area beautiful modern clearly begin modernise . friendly doorman greet we arrival insist carry case reception desk . check quick easy , although insist credit card ( debit would not not credit card may problem arrival ) . room really huge - enormous bed plus room table two chair , dresser enormous wardrobe ! pleasant surprise consider average room size London ! yes decor old fashioned room modern convenience - hairdryer , safe , fantastic air conditioning ( 32 degree stay real plus we ! ) , mini bar , kettle , tv etc . bathroom good size recently refurbish good shower plenty lovely toiletry towel supply . the location absolutely fantastic Gloucester Road tube station literally two minute walk away access Victoria , Circle District line . plenty restaurant + bar within short walking distance even 24hr Tesco within 5 minute hotel ! Natural History Museum + Science Museum within short distance hotel well worth visit ! one thing would say though avoid room service - try order 2 choice not available food eventually come portion absolutely pathetic . husband order fish chip receive tiny portion cod along 5 chip £ 14.50 ! impressed ! overall impressed hotel , particularly price pay room definitely return next trip London ! 
 Jul 12 2009 	 good choice 	 stay one night June . get good deal room , overall pleased experience . room good condition quiet . bed perfectly comfortable , unlike experience note previous contributor , although maybe room vary , choose type pillow wish use . good thing room humid day temperature reach 32 centigrade efficient air conditioning . Bliss ! room safe useful . quible build iron board small awkward use . . location hotel excellent . Gloucester Rd tube station step away . London business appointment Natural History Museum , Science Museum etc close . breakfast hotel pricy , note visit cafe around corner find fresh juice , croissant coffee reasonable rate . staff helpful stored bag check collect later day . would liked use sauna unfortunately hot day ( british standard ! ) 
 Jul 9 2009 	 recommend location date decor . 	 good thing hotel 's location ; around corner Gloucester Rd tube easy get area London feel safe walk back late night . the room clean spacious amentie need . light , large window look pleasant street below . I particularly appreciate ' pillow service ' , invite we make selection ' pillow menu' . minor negatives- room decoration twee remind nice old folk rest home heavily pattern fabric throughout . also , room warm despite air conditioning . feel quite stuffy window seal opportunity natural ventilation . if get good price stay . 's nice place great location . 
 Jul 6 2009 	 nice convenient hotel Great Value 	 stay hotel four day June , 2009 . hotel locate 500 foot Picadilly Line Glouster Rd tube stop . staff quite friendly professional . staff helpful answer question . they store luggage arrive Heathrow morning . room large , quiet comfortable . morning breakfast buffet fully stock dining room comfortable . book Virgin Vacations satisfy hotel . good pub food available nearby . affordable . one word caution bathtub quite slippery 
 Jun 21 2009 	 wow - hide Gem 	 hotel true hide gem hotel , especially London . room big , well keep comfortable , tube station minute away value out - stand . true Oasis city often deliver over - price tatty hotel . 2 gripe , firstly breakfast not start 07:30 Sunday swamp coach party . say though , breakfast good , service quick lot choice . full mark staff . secondly ' m disappoint not stay one night hotel , 's room , make feel home could stayed week . find gem ' m going come back London often .... long book course ! 
 May 21 2009 	 week May 	 wife return home 7 night stay London Harrington Hall Hotel . staff excellent , room well appoint comfortable , even bed FIRM . 18 pound breakfast , not bother hotel restaurant , nearby pub shop ( right around corner Gloucester Rd ) excellent . Coffee Forum serve great full english breakfast 5 pound , Hereford arm put good pint nice meal reasonable price . 's short walk Gloucester Rd Tube , London Passes Transportation card set week . would stay ? absolutely ! 
 May 15 2009 	 good value close Tube 	 good hotel money - - would give 5 star bed horribly uncomfortable ! happy see large ( London standard ) swear have not ever bed uncomfortable anywhere , much sleep top comforter get extra padding . however , give choice pillow , back ached week afterward . the room big London standard -- large London hotel ' ve ever . flat screened tv room well . bathroom seem recently upgrade travertine tile , tub poorly design one get feel one must catapult lip tub get . aside anti - slip mat available slip couple time shower ( would easy inexpensive thing hotel fix ) .That say , buffet breakfast great value -- provide get include package ( believe 30 pound per ) . staff fantastic , helpful , knowledgeable . boyfriend go first - ever trip London , location great tube , especially since insist get 5 am pack day sightseeing . be comfortable walk distance Victoria & amp ; Albert Waitrose nearby ready eat meal large wine selection & quot ; ate & quot ; lot , especially . plenty affordable restaurant close hand choose love area particular & quot ; neighborhoody & quot ; .I would stay sure , next time may bring sleep bag ! 
 May 2 2009 	 wonderful stay 	 great location ! staff helpful ! arrive 7:00 room immediately . help fly nite . 
 Apr 28 2009 	 Excellent value London 	 stay 3 hotel area amazed service , size room , value money hotel . large twin room excellent cupboard space mini bar . good choice breakfast staff pleasant helpful . location perfect , far train station , supermarket restaurant . definitely stay . really impressed NH hotel little touch search country . 
 Apr 24 2009 	 nice stay Harrington Hall 	 spend 7 night Harrington Hall late March / early April – 5 night begin trip 2 night end . book stay Priceline unbelievably low rate . little apprehensive hotel , overall lovely time would definitely stay . location absolutely fabulous , other note . find hotel facility low quality Priceline ' four - star rating , location staff make that . we arrive 9 a.m. overnight flight , desperately need sleep . front desk staff advise two king room available – smoking floor . offer upgrade – additional cost – decline . hotel let we look smoking room , smell smoke overpower hallway floor ( 2nd ) , smell one two room bad take . make decision voluntarily ( hotel staff advise could move another room later , one become available , want repack ) , would stay floor – walk smoke - fill hallway terrible . however , desperate check grateful room available . cool stay window room open quiet courtyard back hotel , able keep room air out . the room small perfectly adequate , flat - screen tv , minibar could empty store orange juice , etc . , two wing chair , nice bed . also storage chest foot bed . bathroom terrific – large , clean , plenty space toiletry ( although hotel ' soap must intend use Munchkins – the one bar receive day approx . 1 inch square ) . bed bath linen clean , condition furnishing wallpaper terrible – chip / scratch wood , peel / stain wallpaper hole place , dirty , dingy upholstery – include large rip seat desk chair . even , make choice , give incredibly low price , relatively satisfied . shoddy condition furnishing , one problem – minor , annoying : hairdryer would work 15 second . weather chilly , neither we want go wet hair . 3 day , ask hairdryer ( build ) repair replace , staff always polite one case actually bring hairdryer leave guest ( also work ) , problem remain unresolved . third day , ask hairdryer fix / replace – certain level frustration , point – manager duty ( Peter , believe ) come room another staff member . apologized say would personally see problem – would also replace rip desk chair . skeptical , true word : hairdryer bed afternoon , chair replace , small bowl fruit table . grateful . check end first stay , mention front - desk employee look forward return 10 day later . seem make notation effect computer , think much . upon return , front - desk employee duty , remember we immediately , welcome . give we key room ( nonsmoking ) third floor , open door , find one large hotel room ever see . solid wall windows ( hotel ' old - fashioned floral drapery , like much ) least 500 square foot floor space . furnishing wallpaper type first room , much well condition . enormous room coffee press , ground coffee , several additional bath amenity . immediately call front desk employee thank thoughtful tell much appreciated room . gracious . make end trip ( always sad ) much pleasant – provide we necessary floor space unpack repack much easily . give outstanding location responsive helpful staff , would definitely stay Harrington Hall – provide able book room reasonable rate reflect hotel ' quality level . 
 Apr 9 2009 	 good hotel close tube . 	 hotel book company look website little concerned hotel . however , reality hotel good would recommend it . check fast reception staff friendly efficient . the bedroom large traditional style whereas bathroom modern . room overlook main street disturb noise . breakfast ok . nothing special equally nothing really fault . hotel 2 min walk Gloucester Road tube , pretty convenient . also nice restaurant bar doorstep . all , like hotel stay . 
 Mar 17 2009 	 well average London 	 business hotel tourist . good location , close rail link attraction . staff little perfunctory service not particularly friendly engaging . breakfast expensive good quality although plenty option area . room quite nice bit date . furniture mark reasonable age . 
 Mar 12 2009 	 Characterless ' Business ' hotel 	 plus side location great load nearby shop , pub , restaurant , underground etc . on negative side staff average , ( except bar staff fine ) . room service joke - argue we whether toast include deliver breakfast ! call Suite book also joke ; oversized odd shaped room put desk call suite . single small window service part hotel vent fan etc view , except back house opposite . overall , characterless expensive . clearly hotel aim business traveller . 
 Feb 16 2009 	 reluctant praise case get book next want go ! 	 let us start value reviewer express totally unrealistic expectation outlay . pay less £ 80 per night standard double room ( b & amp ; B two ) 3 night . ' ve learn expect much sort price London ...... wrong could . genuine 4 * hotel run spanish NH group . hotel properly manage , staff polite helpful . not take upgrade & quot ; superior & quot ; ( + £ 15 ) & quot ; suite & quot ; ( £ 25 ) decide stick book . term relative value think make right choice . room back hotel exceptionally quiet . bed Queen size think certainly big oown king size home . proper ground coffe cafetiere available well tea nice full sized kettle . bathroom could expect , probably , quality Grohe fitting shower & amp ; tap . power shower excellent . add bath robe , flat screen tv , internet point , phone , mini - bar ( use ) , iron & amp ; iron board ( use either ..... not take break London household chore ) phone excellent value . but 's : breakfast experience first rate .... beat Hilton cock hat . 's & quot ; full English & quot ; available ( although scramble egg show ) meat , cheese fruit juice , cake , variety tastey bread fresh fruit . this lay sensibly Tea & amp ; Coffee serve table . extend seving time weekend nice touch other could emulate advantage . there facilitie hotel include gym , come , not get today waste time ........... yes love hotel ; 's location , style facility set new standard we . 
 Feb 16 2009 	 hotel 	 visit London weekend stay NH Harrington Saturday night . book standard triple room please upgrade lovely room ample space 3 we ( couple 12 year old boy ) . hotel great location - peaceful close Glouster Road tube less 10 minute walk natural history Science museum V & amp ; aservice great . arrive early left luggage enjoy city leave luggage checkout Sunday collect leave evening . compliant breakfast expensive £ 20 per person problem nice cafe serve full english breakfast , smoothie excellent coffee round corner . will use hotel holiday business . 
 Jan 23 2009 	 Good Location .... 	 Hotel locate South Kensington close Glouster Tube Station . great area easy access tube , several museum Hyde Park . staff friendly , room clean , date . shower door partial glass connect tub wall swung . tile crack ; wall paper peal small place . bed small , comfortable . restuarant impressive , exception breakfast buffet - excellent ! overall , look safe hotel picturesque neighborhood change sleep ... highly recommend . 
 Jan 18 2009 	 Loved ! 	 really love hotel ! take partner London birthday book standard room - bed breakfast really good rate Alpharooms . pay less 200 euro total 2 night . never mention birthday break anything delighted surprised get really nice receptionist upgrade we two level executive room ! room lovely , really big bright huge bed lovely flat screen tv . range product leave 4u pretty impressive ! razor , shave foam , dental kit , sponge etc well usual stuff . breakfast excellent , can not think anything would want be not offer location great . 2 min tube ( Gloucester Road ) 10 minute walk Kensington High Street . lovely restaraunt vicinity . eat Steak House corner , think call Green Door something like that - really good . enjoy ! 
 Jan 2 2009 	 great 4 * value location 	 good thing hotel location - step near tube station several line , lot little restaurant arround . also Tesco Express supermarket open 24/7 Glaucester Road ( tube station ) . stay Xmas NY 4 night girlfriend - besides location love large comfortable bad , clean bathroom , big flat tv fact realy quiet room . sometimes heat bit strong open window sleaping ... strange thing hapene one evening : phone room start ring , nobody answer . hapene five six time row . cale reception report & quot ; mestake & quot ; thay handele right away - stop ring since . breakfast rich , & quot ; full english & quot ; , not like taste scrumble egg . Thay fantastic apple - pie great bean souce . bread tastefull also , would prefer big chice cheese juice . the stuff ok , bit slow check - in check - out . hand , thay seam helpfull want book place go , eat something similar . due excelent location comfortable room bad , visit London great one , would recomand hotel enyone . give great 4 * value 4 * price . 
 Dec 30 2008 	 Ab Fab ! love ! 	 Booked hotel Travel Fingertip ( highly recommend ) leave Houston 11 night tour Ireland . Flew Dublin back LHR pick car service deliver Harrington Hall . spend 3 night return Houston . outside construction go , scaffold along exterior . check - in surprised see modern interior reception , lobby sit area , restaurant . upstairs room quaint english cottage feel . one King room low floor ... gorgeous , little noise construction even daytime . two room higher ... twin room double , nicely decorate CLEAN . lovely complimentary toiletry , pillow menu , room coffee / tea service refill daily . housekeeping attentive ask extra towel , etc . front desk personnel friendly , helpful , courteous ... especially elderly parent . green apple bowl elevator nice touch . our cost include full english breakfast plentiful excellent . eat dinner house two night please choice . we like Harrington Hall much return 5 night stay July 2009 Scotland tour . 
 Dec 24 2008 	 hotel 's bit tired 	 bad , good either . the facade reception area good presentable lobby area bedroom bite date now . it be clean enough , three four separate occasion stay 2008 , not together bad stay , acceptable nothing more . clean enough , think hotel see well day . breakfast excellent hotel conveniently locate right next Gloucester Road tube . 
 Nov 12 2008 	 good room location Kensington 	 Booked room wotif.com get good rate . arrive stated time check , inform 5 pm checkout Sundays , course take . 's 1.5 block Gloucester Rd tube station plenty cafe restaurant area , 24 - hr Tesco express . room decent size well - appoint clean , nice touch king size bed two duvet not steal partner 's warmth away , call reception select kind pillow send ( get nice latex one ) . wi - fi access room bit shaky connection , fairly expensive 15 pound 24 hour . pay premium tired go internet cafe 50 metre away ! mini - bar not work ( apparently hotel - wide problem ) room service price outrageous expect - not end order anything can not comment food quality however . we not eat breakfast 's 17 pound buffet ! obviously hotel set business account , perhaps well - off old traveller , neither , pleasant stay . 
 Nov 10 2008 	 good location bit crass .... 	 book Harrington Hall Hotel 3 night work stay London . book online everything pre - pay . Checking take 15mins receptionist spend try sell room upgrade ( take 15pound ) internet access ( £ 12 24 - hr access ' economy ' version mean limited download speed size ! ! come on guy 2008 1999 ! ! ! ) .eventually get room okay decor v. date . wallpaper peel wall , etc . mini - bar extortionate £ 3.50 little tub pringle ( y'know one 12 pringle ! ! ? ! ) .upside ? location good ( Gloucester Rd tube around corner ) . be really . downside ? cocky reception staff , pay nose everything ( ! ) , whole hotel feeling try 4 * hotel Kensington fact not make grade . Personally will not stay even though get 50 % rack rate - far well hotel money . must try LOT hard ..... 
 Oct 16 2008 	 exceptional accomodation 	 wife stay Harrington first trip England . also 34th wedding anniversary . find staff extremely cordial . treat well answer many many question . tube block away . great shopping museums Knightsbridge area . room adaquate size . use large room US , still completely satisfied . drawback height tub . really step high take shower . food restaurant well prepared . stay 6 night would hesitate book future trip . Great Job ! ! 
 Oct 11 2008 	 recommend 	 Booked hotel one night stay via LASTMINUTE.COM - excellent location - 2 minute walk gloucester road station Gloucester Road offer , coffee shop , restaurant , post office etc . room good size clean , bed comfortable good size . excellent free toiletry trouser press iron room . ample flat screen tv.quiet location even though room face front . only criticism , bath slippery , rubber mat step get , hold dear life . would come . pleasant stay . 
 Oct 10 2008 	 Mixed Feelings 	 Booked Harrington Hall Easy Jet web site booking flight Scotland four night stay capital partner . Hotel rate 4 Star positive review comment Trip Advisor closeness Museums assist decision . arrival language difficulty reception staff scottish . reception staff attempt sell we upgrade room ww tell available £ 150 decline . apart check quick painless allocate room . we unable enter room use key card seek assistance form member staff find open door already occupy . back reception give apology proper room . room spacious clean well furnished . it face rear hotel hence view first floor air conditioning work - see traveller 's review . it also flat screen television picture reception majority channel standardThere tea coffee make facility bathroom large well appoint nice strong shower . resident use lift stair either end building mean either walk restaurant conference area . there variety complimentary morning evening news paper foyer . Breakfast charge £ 17 per person avoid visit nearby cafe tea coffee two free croissant available £ 3.50 bargain indeed . many nearby outlet offer full breakfast little £ 4.If book hotel ensure air conditioning pay part book overhear resident charge use same . apart well locate easily accessable hotel visit capital 
 Sep 20 2008 	 wonderful stay 	 book hotel Airmiles .... take find system eventually ..... stay since last stay ( 2006 ) refurbish high standard . room clean spacious .... flat screen tv , good bathroom , comfortable . staff good nothing appear much them.breakfast especially good ... ' help ' buffet full English , continental .... take pick ( ) location excellent London . close tube 3 minute stroll theatre land 15 - 20 minute . recommend would stay again . only thing wary .... bar price .... bit top ( nice pub 2 mintue hotel ( real ale ! ! ) 
 Aug 20 2008 	 average accommodation 	 return 7 night stay find position hotel excellent acce tube musem Kensington . our room sixth floor view window behind parapet . behind scaffold facade hotel old , corridor room stuffy . the air - conditioning cease 2 night available remainder stay . staff offer open window allow air could open approx . 12 inch little air come due obstruction parapet . annoyed effort appear make fix problem guest remark air conditioning huge problem . would stay summer . breakfast good concierge helpful . insist accommodation low level . beware photo website - room date appear 
 Aug 12 2008 	 mix feeling 	 good thing hotel room size . stay standard twin room , could consider quite big compare many London hotel range . location also convenient close tube . however , several thing please : first , ask 150 Pounds deposit ( 25 Pounds day stay ) checking , unlock minibar telephone ! not ask credit card secure payment , not understand . pay amount cash make annoyed . collect checking . addition , air conditioning work first three day window could not open properly ! last least , bed comfortable creak squeak every small move make . summary , agree previous comment state hotel try something . 
 Jun 21 2008 	 nice room well locate Kensington 	 corporate agent book NH Harrington Hall high tarrif Holiday Inn Millenium Gloucester usually go . upgrade corner room 2nd floor delight : lot space , flat screen tv . also enjoy lounge lobby morning business meeting Cappucino . frankly cosy equivalent two hotel ' ve mentionne . always visit Buggis Street Singaporean restaurant accross street judge hotel offering . plenty choice around Bombay Brasserie pub even grocery shop front Gloucster station . like area London 's perfect location . 
 Jun 19 2008 	 Perfect hotel us 	 great hotel , near tube stop ( 1 1/2 block away ) . hotel staff great we . problem one four room book , work we ensure stay wanted . Daily buffet breakfast filling tasty . location great like walk - get Buckingham Palace , Hyde Park , etc 10 - 15 minute ! would definitely stay . oh 's little casino right across street fancy gambling ! 
 Jun 9 2008 	 wonderful stay 	 stay Harrington Hall 10 day impressed room service . standard room lovely , large London room , clean , quiet comfy bed nice bathroom . request room ( 604 ) back hotel since scaffold front repair . breakfast buffet outstanding - sure get part room rate expensive buy site . bar area small drink generous . staff remarkable - seem speak many language must helpful guest . concierge staff daily . location near tube stop , handy connection , many shop pub close . cab easy obtain front hotel . use Heathrow dot2dot transfer please service , helpful jet lag ! will stay . 
 Jun 8 2008 	 never ! 	 frequent traveller , ' ve understand polite people expect return . ' ve never hotel employee rude . possibly due lack people skill training ( management issue ? ? ? ) . late time get airport hotel . upon arrival give room , one air - conditioning problem . mean instead cool room , heating ( make room stuffy difficult sleep ) . politely ask reception staff could fix . come back request not simply open wide window sleep . rain ? someone crawl night ? room low floor , close street level face balcony nearby building . anyway , politely ask room leave not air - conditioning problem respond one employee 's comment : & quot ; will see much pay room first , could change another room you . & quot ; . comment shock we . blunt could towards customer . work customer service field , know simply say customer ( even disagree customer 's point view ) . also , whether customer book internet site last minute & quot ; walk - in & quot ; rate , no - one greet kind comment treat differently . long , finally get temporary room change . also minor problem one room , later resolve . I say , honestly return hotel even rate cheap nearby one . 
 May 1 2008 	 Excellent Location Bathroom 	 first , hotel excellent location right next Circle Line tube station . also , natural history , Science Victoria Albert museum within walking distance not mind walk . wait morning afternoon room ready , hotel get reservation wrong put wife two twin room honeymoon . wife state ask put double . room available first night stay twin room . remind staff want double next morning , nice enough oblige move bag we new room . hotel staff nice understanding problem , believe reservation mistake make book hotel 's behalf . room small bathroom normal size clean new work fixture . tell room heating cool although feel heat heat . flat panel tv nice bed comfy . would stay image hotel similar cheap . 
 Apr 23 2008 	 nice ! 	 ' beat Harrington hall location – 2 minute walk Gloucester road underground station , easily connect Heathrow airport ( 45 minute ) center London ( 10 minute ) . outside hotel impressing , lobby – quite modest comfortable . room 101 really large , clean quite . additional space luggage hall , big bed clean bathroom . London guide disposal tea table shop , restaurant place visit show map . stuff pleasing , come night adapter mobile phone , need badly since business trip . matter 12 , find adapter 3 minute . english breakfast perfect , really tasty plenty choose . , really nice place stay , especially rate ! 
 Apr 16 2008 	 terrific 	 secong trip book Virgin Vacations NH Harrington Hall . 's short ride f45 min Heathrow Piccadilly Line Gloucester Road , hotel less 5 min tube . room & quot ; superior & quot ; & quot ; standard room & quot ; face street . standard fine sometimes hear noise street . this superior room small table , lovely bathroom , mini bar - use store food , flat screen tv , comfortable bed , room # 609 end hall away elevator . include room package wonderful breakfast day choice egg , bacon , sausage , various home bake bread , fruit , ceral , home make muffin etc wonderful array choice . nice comfortable setting . near hotel Waitrose , Sainsbury , Tesco express , Pret Manger , great selection place buy food save meal . terrific coffe & quot ; House Coffee 149 gloucester rd around corner hotel 2 min away , great place meal open 7- 1 am . 
 Apr 11 2008 	 Perfect every way ! 	 spend week hotel great time . staff smile , friendly especially helpful , question city , town travel well . room quiet , despite full , room size acceptable 3 adult 3 comfortable bed . breakfast hot , adequate varied . dining room spacious . hotel location perfect , block underground . neighborhood offer really good restaurant , pharmacy , lovely bookstore , gift shop , food shop - everything would need . lovely walk Kensington Palace Victoria Albert Museum . would gladly go recommend it . the drawback smell cigarette hallway , penetrate room way ! probably smoke room available . 
 Apr 1 2008 	 spacious room conveniently locate 	 first thing notice size room - decorate traditional style modern touch . moment walk recently refurbish lobby , begin experience excellent service NH chain know . impress attention detail - & quot ; pillow menu & quot ; name - brand bath product specifically . NH Harrington Hall short walk Gloucester Road tube stop put London doorstep . short 15 minute ride put middle Picadilly , 20 Big Ben Parliament . walk ( comfortable pace ) Buckingham Palace pass Harrod 's along way 50 minute . overall , can not beat NH Harrington 's service , location large normal room London . compare mid - range price hotel London , excellent choice . 
 Mar 31 2008 	 happy Harrington Hall 	 stay week Harrington Hall Feb. 2008 vacation London . first trip England . staff helpful check - in . let we check early , give we map , helpful information first stay London . room spotlessly clean ( picky ! ) . desk room wear little beat , , , big deal . bed comfortable , room plenty big enough , bathroom . Valentine 's Day find return room end day , leave we nice chocolate Valentine present . complimentary breakfast amazing . three table food everything could possibly want breakfast . would certainly recommend hotel anyone wish stay London . nearby tube station make easy get anywhere need go city . 
