great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Oct 12 2009 	 Right Michgan Avenue 	 great place take mini - vacation downtown Chicago . corner room . upgrade tower , comfortable window overlook lake one direction river another .... large bathroom tub separate shower . good part able step door onto Michgan Avenue start day explore . many sight , restaurant , store , etc . within walk distance feel apartment city . staff courteous helpful . plan stay come back . 
 Oct 11 2009 	 great place kid 	 easy find , kid friendly . pool hard get , nice . 
 oct 8 2009 	 Beauty excellent service ... right center Magnificent Mile . 	 friend fly Chicago & quot ; girl weekend away & quot ; stay InterContinental . choose hotel right North Michigan St. shop ( Nordstroms , Filene 's Basement , North Face , Nike , etc . etc . etc . ) hotel beautiful elegant lobby . probably already know famous swimming pool . room two comfortable queen bed , desk , recliner , nice sized flat - screen television , in - room coffee maker ( small ) coffee tea , terry bathrobes . fridge microwave . window actually open ! elevator fast never long wait . wonderful concierge provide exceptional service , direct we great italian restaurant block away ( get we reservation not wait table ... lots people wait table ) one night great Thai restaruant Blues bar another night . also help we get reservation House Blues Gospel Brunch Sunday . could not believe food affordable ! take El airport within 3 block hotel - $ 2.25 ! sure beat cost taxi ! walk everywhere ... include Chicago river boat tour highlighting skyline 's architecture , Navy Pier stain Glass Museum , Chicago Institute Art , , course , park see & quot ; bean & quot ; - Cloud Gate - sculpture eat real Chicago hot dog . every evening return clean room fresh complimentary toiletry rest heading hear live music . not time check hotel 's Wine Chocolate bar ( great combination ! ) . & quot ; negative & quot ; think regard hotel although try & quot ; green & quot ; hang towel use 2nd day , placard marble - tile bathroom suggest , maid put fresh towel every day . 
 Oct 8 2009 	 look pool old time charm stay ! ! 	 room clean , centerally locate . pool really seal deal . really neat . 
 oct 8 2009 	 2 Thumbs ! 	 great location , clean room , friendly staff , historic pool kid love enjoy sauna . 
 Oct 8 2009 	 overbooke underapologetic 	 go conference , book , pay confirm late arrival . arrive exhausted midnight , hotel overbooke . ship less hotel ( 20 minute away evidently own Intercontinental ) night . ultimately get room , apology manager , 1 free night ( use future ) , exhaust never recover first poor night sleep . 
 oct 8 2009 	 elegant stay 	 return Chicago anniversary wife . want night downtown since stay week early April , 2009 , think would good since Michigan Ave . love hotel shopping food around hotel . go Rush Street ! ! amazing place eat . expensive hotel , worth year . would recommend anyone nice night town endless possibility around hotel . 
 oct 8 2009 	 great chicago hotel 	 would rate hotel five star.the room great.it good bathroom ever seen.the location downtown perfect.the bad thing parking car $ 53 . per day ? hide price room . 
 Oct 6 2009 	 really like hotel 	 recently pleasure stay Inter Continental spouse 3 day business trip . valet parking quick & amp ; efficient check breeze . the room quiet comfortable , HD tv really spectacular , room service meal quick , plentiful , well prepared . location wonderful wife able shop heart content magnificent mile . first time hotel definitely return . 
 Oct 5 2009 	 nice place great location 	 room quiet clean , although bit small . hotel great location , right Michigan Avenue . not much contact staff , can not comment . overall classy place . breakfast skip hotel head two block east Mary 's Cafe . like unique diner will not disappoint . parking valet steep $ 53 dollar . block two east Grand Ave . find garage $ 30 $ 35 per night . we book Hotwire great rate . 
 oct 2 2009 	 Front desk staff rude unhelpful lie 	 reservation conference 9/21/09 . flight emergency land Memphis call hotel ask hold reservation would arrive next morning . pleasantly agree say , & quot ; willl see morning . & quot ; arrive next morning tell give reservation away . refer manager tell & quot ; good faith & quot ; ( tone connotating call ) would waive & quot ; show & quot ; fee ( $ 300 case ) . little sleep , lose patience , raise voice , ask phone call hotel good enough . allow stay 1 night find reservation another hotel ( claim working day ) . check next morning try claim call hotel directly ( though cell phone record prove ) get home discover credit card bill waive show fee like offer . would gladly pay night miss ... ask waive show fee -- -they offer . try blame sorry , helpful understanding experience horrific flight getting . room service well Marriott across street less money . 
 Sep 28 2009 	 great hotel service 	 spend night Intercontinental Chicago last week . check upgrade room original tower . room perfect , comfortable quiet ; internet connection fast reliable ; concierge service top notch . highly recommend . 
 Sep 28 2009 	 Perfect location ! great stay 	 Stayed Hotel June 6th , 2009 Honduras - US World Cup match . hotel room incredible bathroom great . blast look forward stay October . can not say enough location . look forward stay Historic Tower . 
 Sep 26 2009 	 like cockroach ? 	 never write review kill cockroach room 2308 yesterday morning oblige make information public ..... truly unforgivable . 
 Sep 25 2009 	 one little problem .. otherwise Spot ! ! ! ! 	 second part trip States take Chicago .. although ' ve travel States fair time , would never Chicago quite excited .. internal flight San Francisco transfer O'Hare , arrive beautiful hotel .... check ... problem ..... non smoke twin room available next day ( Sunday ! ) almost shambolic ' m afraid , offer upgrade King bed room rollaway ! ! ! ! ! ! great ! ! ! still option , woman desk helpful , make point thank sorting problem . say bag would move new room we next day .. come next evening .. yes bag move .. go new room ... yep .. BAGS ! ! ! ! ! ! back go ... eventually arrive .. actually one point bellman appear new room trolley , susse go get bag first ! ! ! rather funny ! ! ! ! aside hotel first rate .. room big , bathroom simply brilliant ! ! ! ! warn though , lot conference appear go , hotel always seem really busy . amazing indoor pool see believe . staff friendly , aside room issue would got five star rating . 
 Sep 23 2009 	 Wonderful Hotel 	 first time stay property wonderful . next time shop downtown Chicago , try stay hotel . great location , beautiful room , lounge lot fun . thing would change amount staff front desk Sunday check - out . two individual check people line almost enterance property . would use in - room check screen via television , work . 
 Sep 22 2009 	 not get ... 	 look like 's lot positive review property , could not disagree . keep short , upon checkin wait person front desk answer phone call would help . huge no - no . request put & quot ; historic & quot ; section hotel grant ( give winter Chicago , can not imagine not least availibility ) . room decent small , bathroom joke . door abnormally narrow , sink devoid surface put simple toiletry , good yet - flush handle toilet remind kind kick foot dirty public restroom . really , could not something bit civilized ? get ice require make trek several floor away machine floor . make matter bad , elevator painfully slow believe one 4 elevator service ... trip ice literally take 25 minute . would never stay matter price . fact book room via Hotwire , actually try stay * away * region star rating InterContinental reside .... shame Conrad across street category light year well old , tired lady . 
 Sep 17 2009 	 small room high price . 	 small room nice bulde good location . old fashion furniture . impressive thing lobby builduing . they charge everything , u $ 18 1 mb internet conection 24hs . price go Conrad acrro street wonderful Hard Rock Hotel . do not waste money . 
 Sep 11 2009 	 awesome 	 stay place 2 night really love . get good deal hotwire ( 350 $ 2 night ) location great , magnificent mile , walk distance Navy Pier lot cool place . arrive , hotel lobby crazy crowd wait long line check . staff really friendly give we room 32 nd floor . fantastic view lake . room really nice well decorate . bit small though . not try restaurant site , comment . starbuck lobby level convenient . negative point hotel parking issue ( natural problem magnificent mile ) charge 53 $ per night valet service . find close parking low rate park . whole crazy traffic stress find parking bit negative point we begin . otherwise place great look pleasant stay , go . 
 Sep 9 2009 	 pleased accommodation service . 	 book room third party treat like frequent guest . room spacious , clean nice view . everyone interface provide friendly service . would definitely stay . 
 Sep 8 2009 	 really Nice Hotel 	 hotel beautiful . excellent location . minor issue . hotel clearly gear toward convention business crowd . charge almost everything , although incur . room little small class hotel , overwhelmingly small . true complaint , elevator slow . comparison stay equally aged hotel different city trip , Intercontinental 's significantly slow . 's , little nit pick . the staff excellent , doormen highlight . hotel bar also nice . hotel immaculately clean . would definitely travel hotel . 
 Sep 8 2009 	 great business hotel 	 wonderful shopping hotel . locate miracle mile river gorgeous location . beware charge lot add 's spa , working , etc . great location though . 
 Sep 8 2009 	 beautiful hotel excellent location 	 group 4 couple stay hotel Labor Day weekend . beautiful could not ask well location ! stay Historic Tower room nice size great view Mag Mile . staff great well . everyone helpful friendly . would definitely stay ! 
 Sep 7 2009 	 tourist 	 location right river Magnificent Mile , hotel business traveler . charge internet , gym use , pool , everything , expect guest expense charge . immaculate , lovely hotel , comfortable bar attentive staff . forewarn nickel dim , great deal nearby boutique hotel well cater tourist . 
 Sep 6 2009 	 Hotel High - Maintenance Traveler 	 family usually stay 4 - 5 star hotel . first visit return Chicago , will not even think stay anywhere else . accommodation luxurious , CLEAN , first class . staff unbelievable . business Texas would love hire people work we . afraid work apparent love job . will take & quot ; girl & quot ; trip soon , back Chicago can not wait share great experience friend . prime location walk . thank , thank , thank . 
 Sep 6 2009 	 wonderful hotel staff . perfect location . 	 staff Intercontinental Chicago obviously train out customer service . service orient eager provide information make stay Chicago good could . location hotel unsurpasse . Miracle Mile within walk distance great museum , park , shop excellent restaurant . 
 Aug 31 2009 	 historic tower Intercontinental Hotel Chicago great ! 	 room spacious beautifully decorate . love view Lake Michigan Chicago Tribune tower . staff helpful , room spotless . compliment housekeeper 's service desk check . travertine large bathroom exquisite . business trip , hotel make we feel like vacation . thank . Janeen 
 Aug 29 2009 	 extra charge thing keep 5 star 	 stay love hotel . beautiful great location . visit Chicago yearly Leadership Summit stay Embassy Suites depending offer . first bad , everything extra . internet , fitness center everything else . never leave home without laptop work ' m away purchase internet hotel . headquarters hotel conference free internet hot spot take netbook work session end day . can not see pay $ 12.95 day ' m use hour two . I get tour hotel time even though swore would check pool beautiful . security guard recommend go old section start 8th floor walk way check floor . hopefully next year . this trip get see room old new section . travel partner new section room 1062 . room small beautiful clean . take couch would feel like lot room . happy room . I stay historic section room 2415 . room not ready get early busy . ready 1/2 hour promise time , 4 pm . room large big bathroom separate shower . hotel clean . water $ 6.95 bottle mini bar way overprice even hotel . stop Walgreens fix that . the bed comfy get sleep never wake night hear neighbor . room plain wonderful . king bed 4 big fluffy pillow bed . husband would love . need firm pillow always travel contour pillow . semi - river view pretty . great old building across room view nice . finally hotel good tv channel . tired end day could not even read enjoy fall asleep tv . person travel year keep pretty busy get see little Chicago usually do . one item note friend even though hung towels reuse replace . go conserve water let guest reuse towel not put little card say . good selection soap shampoo stuff . offer bar soap bath gel . hate hotels cheap offer bar soap . blow drier like know . not use not know strong be . there also coffee maker bathroom make little pot coffee . use every morning hit Starbucks . all hotel staff helpful friendly . starbuck crowded morning trip past nice coffee walk conference . all want stay beautiful hotel Chicago whose price pretty much par rest , stay . first choice Embassy Suites free internet breakfast save travel budget beauty compare hotel . 
 Aug 27 2009 	 recommend anyone want stay heart Chicago 	 get great deal Hotwire hotel . fantastic location . helpful friendly staff . beautiful swimming pool . nice room . really like hotel , great place stay . 
 Aug 24 2009 	 Great Location Watch Nickel Diming ! 	 third stay hotel . 's good . location unbeatable , put Loop , Aert Institute , Navy Pier , River North restaurant , Magnificent Mile shopping , within block . pool , Moorish theme room palatial size , grand ever encounter downtown hotel american city . beautifully tile , immaculate ten foot deep . buffet breakfast high quality make order egg omelette , warm quiche , bread pudding , meat day , room comfortable elegant , quite luxurioushere be good . parking $ 53 , quote $ 50 make reservation . make reservation property , Intercontinental Ambassador , receive requisite upgrade . ( maybe use Priceline pay lot less treat & quot ; Ambassadors & quot ; ) . complain , hotel offer suite less desirable new wing , instead two connect room , bed configuration unsuitable . free internet offer part Ambassador package available . hotel offer free in - room movie instead . although pool free , fitness center impose $ 12 daily charge ( $ 16 per stay ) departure , discover charge gratuity breakfast ( include package ) . leave cash gratuity morning dismayed charge , impose without knowledge . hotel also charge one day 's breakfast , claim eat 11 , nearly two hour leave hotel . charge remove , get past front desk staff , speak supervisor . whole experience leave bad taste mouth . also , cost $ 20 print four boarding pass check e - mail business center / so go eye open hand wallet . ask historic tower . not bring car unless absolutely necessary , 
 Aug 24 2009 	 great room great hotel great view great location great exercise club ! 	 outstanding hotel way . extremely well - manage maintain hotel . superb room view Lake Michigan two side . service strong , especially room service , housekeeping , concierge desk . three responsive , flexible pleasant . hotel everything could want , concierge desk know good restaurant , great bar restaurant , Starbucks , exceptional location exceptional city . recent renovation hotel tip - top shape . bring sneaker swimsuit visit . great health club beautiful pool . 
 Aug 20 2009 	 Great Location / Great Value 	 much enjoy stay hotel . room clean decor , hotel staff truely helpful . hotel well locate could walk attraction . five star service experience . return ... 
 Aug 19 2009 	 great location amazing hotel 	 say - great location amazing historic hotel bargain $ 99 per night deluxe room . but negative - concierge pretty unhelpful , staff ENO - wine , cheese chocolate tasting room completely stuck ! ! room view build opposite enquire move tell nothing available - can not quite believe hotel 792 room ! good point - lovely bathroom great toiletry , pool amazing , fast wi fi connection , charm helpful bellboy , location awsome - step away shop restaurant North Michigan Avenue area , short walk lake . would definitely return . 
 Aug 15 2009 	 good accommodation ' ve experience Downtown Chicago 	 fly morning San Diego , CA , overnight stay book InterContinental Michigan Ave . ChiTown . want share couple day fun Michigan friend please willingness employee accommodate need . although room readily available ( even 3:00 p.m. ) , check - in staff offer provide we coupon complimentary drink hotel bar wait . especially pleased offer free breakfast coupon staff not produce hold luggage timely fashion . room spacious view City superb . long tiring day could spoil delay , hotel staff go way make sure stay enjoyable . 
 Aug 12 2009 	 Bait Switch 	 wary stay hotel booking stay pay advanced . purchase room Priceline . checkin , ask want two bed one . say one . notice tv account balance charge almost much pay room priceline . & quot ; upgrade & quot ; . authorize consent upgrade . ask one bed . go desk . say mistake charge take . checkout , charge account tv checkout . however , go home charge $ 125 dollar night . run scam aware stay . good attorney , sure do could profit class action lawsuit . 
 Aug 11 2009 	 heart magnificent mile 	 great hotel , great location , friendly attentive service , classy clientele , great value dollar . 
 Aug 10 2009 	 Nice hotel good location 	 stay 3 night . book via hotwire , upgrade historic tower . got big room , nice view . service great . Valet parking efficient , expect 53 doller / night . location good 
 Aug 10 2009 	 great place stay room little small 	 hotel beautiful however , book room 3 quite small . alot customer service . go bar area find staff unfriendly . would recommend hotel want stay pampered . 
 Aug 7 2009 	 wear weak service great location 	 stay 2 night American Girl Package enjoy excellent location . furniture wear however , veneer strip piece room , give less - than - luxurious appeal . promise doll bed never show - request , milk cookie deliver 2 pm thus warm ( milk ) stale ( cookie ) , promptly replace night return room notice issue . however two day never take away old milk ( 2 carafe ) , glass plate . outside room floor messy remnant someone else 's room service least 24 hour . the bed ok , nothing get excited far comfort concern . duvet tear .... 4 star sure . as hotel , be really beautiful ( stay historic wing lovely , deluxe room truly large ) . look forward pool , AG package state bring swimsuit enjoy pool .... get set lap swimming , sign stating & quot ; lap swimming & quot ; bit deep young child , mine know swim . get crowd easily young child pool tend get overwhelm other . child - friendly least wish promo material hotel would state that . and lastly , street noise overwhelming be use . wall / window thin - hear traffic , bathroom hallway noise well . short , money would try elsewhere - many hotel area . next time will try elsewhere ... $ 27 buffet breakfast stale bacon tater tot ? ! think .... ( grant thing , stale bacon tater tot put we edge ) . 
 Aug 4 2009 	 modern elegance heart city 	 can not praise hotel enough . room spotless -- fact , entire hotel spit - shine clean . everything work -- bathtub drain , toilet , a / c ! great location city . bar restaurant superb . staff -- concierge desk help doorman bellhop wait staff -- competent , friendly , gracious . would definitely stay InterContinental -- hope be soon ! Chicago great town ! 
 Aug 3 2009 	 Amazing Hotel 	 husband spend four amazing day InterContinental Chicago . book third party provider expect get small room one beside ice machine . leave home , contact hotel directly request non - smoking room king size bed . get immediate response request also inform , delight , book room Historic Tower . arrive , provide efficient , friendly service . room large expect clean . read history hotel later stay go tour historic building . absolutely amazing , interested old building stay hotel absolute MUST . like take step past . addition , right Michican Avenue , heart Chicago . certainly reommend hotel anyone want experience Chicago style ! ! ! Sandra , Ontario 
 Aug 3 2009 	 fabulous service make Anniversary celebration memorable 	 celebrate wedding anniversary provide we memorable weekend . everyone kind , helpful go extra mile make stay wonderful . little extra touch speak volume care client . room historic tower comfortable view spectacular . also eat restaurant , fabulous ! would highly recommend hotel staff ! 
 Aug 3 2009 	 Beautiful Hotel 	 firstly comment regard hotel guest pay $ 100 hotwire think pay much ... think $ 100 much pay stay Michigan Avenue InterContinental well stay best western airport , maybe would suit lifestyle . travel lot realize look hotel be not renovate , beautiful hotel lobby , little thing make difference : bad : Concierge ( Clefs d'Or member ) seam indifferent ask map city simply put counter look way . dark skin gentleman - key . first night two concierge seam occupied guest do not moment acknowledge stand line ... finally walk away . ill experience stay really big deal . good : ) hotel beautiful , clean locate minute away everything . room clean maid make big impression note leave drinking glass two night row ; instead put back washroom replace glass leave underneath coster . housekeeping staff run freindly , make eye contact greet smile . restaurant , locate second floor great atmosphere even though seamed short staff , excellent job maintane service one host , one server two porter - always smile ask everything . gym great ! machine new well maintain . $ 16 5 dyas understandable want maintain replace equipment wear . Front Desk prompt responsive - always smile . Great Hotel overall . 
 Aug 3 2009 	 Excellent Location Excellent Staff Excellent Massage 	 usually stay Pennisula worry move Hotels pleasantly surprise nice clean hotel . fact , starbuck attach nice bar comfy sit area hang . gather bar several time great server give great recommendation dinner . 3 couple also great time ! would strongly recommmend hotel other . stay historic tower convenient spa / fitness facility . our room little small , due historic tower friend big room ! like historic - LOVE historic tower - big room ! 
 Aug 2 2009 	 lovely hotel perfect location great service 	 business trip Chicago delight small part due wonderful stay InterContinental Hotel North Michigan Avenue . ask room view get great river view along huge room bathroom , beautifully appoint , beautiful hotel every way . location perfect , service excellent ( security come room safe lock arrive open , try tip gentleman refuse , think classy ) . hotel antique furnishing instead soulless modern hotel , huge Starbucks downstairs ( could not convenient ) , lot dining option . staff uniform polite helpful . great hotel ! ! ! 
 Jul 31 2009 	 Snobby rip - off . Chicago much well option . 	 be like ? -- & gt ; problem get room actually reserve : call hotel three time email four time order insure actually get room reserve . -- & gt ; Overcharging . charge everything . wireless . Fitness Center . Business Center . ' ve run one hotel ever charge use fitness center . note Intercontinental : be go charge something commonly include , advertise fact . be next ? charge sheet bed ? -- & gt ; poor customer service . staff communicate full sentence , wait hear answer . Chicago , New York . little midwestern patience ? 
 Jul 29 2009 	 location not expect lot . 	 3 night last weekend July 2009 . Booked Hotwire $ 100 night . would upset pay $ 100 night . first , location right Michagan Avenue , right middle shopping dining near major touristy spot ( literally 4 minute walk Chicago Architecture Boat Tour never miss Chicago ) . could get location - perfect . rest hotel , eh . site give 4 1/2 star , 5 , 4 Star Hotel . check tell hotel completely book . assign 2 double bed . ask could get king front desk say , unless want pay $ 75 night upgrade . hotel full , go pay upgrade ? day 2 , completely different staff , much accomodate move we different room . misplace luggage hour , find worry . room smallish , gym nice , pool historic look neat . never could get internet work room ( yes , be decently technology savy people ) - talk front desk issue , simply give we briefcase size box cord modem connector . even , never could get internet work . bad hotel , great hotel either . be look luxury , stay someplace else . be look location , stay . not pay $ 100 night ! 
 Jul 28 2009 	 Amazing Location 	 hotel somewhat half way point Michigan Ave - walk distance ( 10 - 20 min ) major site . love location would stay heart beat . cool Wine / Chocolate Bar restaurant hotel . Metro : way take metro airport - airport switch jackson get red line get Grand ( red ) . block hotel . way back airport walk 15 minute hotel Clark Lake get blue direct line airpot . the room clean , decorate nicely - every big . 2 sharing room may bit crammed . pool nice indoor - check lot family use . amazing coffee shop Lavazza Coffee Cafe , one block away 162 e Ohio St. every morning start routine nice coffee / espresso . wonderful ! 
 Jul 27 2009 	 Fantastic Hotel Perfect Location 	 concierge hotel good part . able get CAF tour ticket advance without Ticketmaster surcharge book dinner reservation give travel tip bus CTA heartbeat : ) get four free reward night can not vouch value , say would stay publish rate $ 230- $ 250 question . location amazing view room beautiful . room service well maid service also quick fantastic.5 star around ! know ' m one think place great 3 wedding . 
 Jul 26 2009 	 terrible experience 	 terrible stay InterContinental . reserve King Bed , get , explain busy could give we room two double bed . exactly envision nice night away kid . clerk desk rude could care less . , get room , realize shampoo . get ready head dinner , call front desk say someone would bring . one show . wait 45 minute , wife finally go front desk get , say not , housekeeping . , could sell we personal care box shampoo . amazing . never go back . 
 Jul 22 2009 	 Nice Place expect rich 	 stay hotel , 4.5 star , 54 dollar night charge car parking , plus although hotel prepay full , want 125 dollar per night , cancel reservation car demand deposit , 800 deposit . 
 Jul 20 2009 	 nice stay Intercontinental Chicago 	 stay Intercontinental recently really like . obtain reservation via priceline upon checkin upgrade really nice room look east lake north Michigan Ave . service pretty good . pool interesting go swimming little bit burn time . ate every day not use food service . Corner Bakery across street well price . we would probably book rack rate , would take deal Priceline heartbeat . 
 Jul 20 2009 	 great location great view small room 	 book hotel hotwire great rate $ 113 / night . get , upgrade we historic tower . room 32nd floor great view . , however , small . climb armchair get side bed . bathroom gigantic , though , nice . I allergic feather pillow , call foam pillow 11:15 pm . take 45 minute get , think excessive . other , like hotel . 's great location explore Chicago , conceirge helpful friendly , could check flight lobby , pool really nice . I think hotel worth good hotwire rate everyone seem get . think would disappoint pay , though . 
 Jul 18 2009 	 Snob - appeal -- overprice value 	 expensive get - go . want snob - appeal , hotel . interested see fabulous city Chicago , go budget spend money river tour . 
 Jul 17 2009 	 Nice 	 stay one night btwn & amp ; Swissotel . ; glad pick one . located & quot ; Magnigficent Mle & quot ; & amp ; walk distance attraction . stay historic tower ( room 1404 face North Michigan ) , room large main bldg . bed comfortable pillow , sheet soft well . a / c work fine climate control . bathroom separate tub & amp ; shower .. spacious well .. lighting could little well though . check pool , , , do not use . old hotel .. do not find furnishing outdate , think compliment hotel . flat screen TVS room . check bit slow ... 2 people behind counter .. one take forever couple .. guy work quickly . express check ... ( 6:30am .. quite people line ) not even need rent car- pick CTA Blue Line train system Ohare Airport & amp ; $ 2.25 take way city . car ( drive Indianapolis day Indy Car Race experience ) plan drive back airport day leave .. avis car rental place block hotel .. drop early & amp ; take train .. convenient & amp ; cheap .. consider hotel city charge alot park ( $ 53 night intercontinental .. comprable other ) . would definatley stay ever come back . Chicago beautiful city & amp ; alot . one day see stuff would like return see . definately check Sears ( Willis ) Tower , go early .. wait long time go later day . also Millenium Park ... Wendella Boat tour ( 90 minute one ) good also . Giordanos Deep Dish Pizza .. something try ( especially NY / NJ area ) . 
 Jul 17 2009 	 Magnificant Moments Magnicant Mile Chicago Intercontinental 	 travel Chicago time work always try stay extra day friend mine suggest go girl four day vacation immediately think great city . book hotel online hotwire receive great rate . take limo airport moment step car greet warmth service . early check want walk Pane Caldo ( favourite ) bellman direct we check desk mention would like stay historic tower . join online priority club ( idid point point ) friendly representative upgrade room put we historic tower extra charge . accomodate consider already pay 60 % room rate . room would ready us lunch store bag promptly . room beautfiul 12th floor overlook Michigan avenue - two nice double bed -the comfortable ever , comfy robe , beatiful entrance way , desk work ( managed bring laptop work well ) call ask happy room . purchase champagne store ask glass send - not door withe minute call make sure receive . log immediately wireless charge one day stay three . make error order movie separately different time watch - they simply take bill . order room service late nite munchie service fast food good especially lot champagne music Drake - I problem pay somehte 3:00am - they hotel business make money ! hotel staff always courteous friendly make effort make stay well ever anywhere . friend do lot travel ( also live island ) must honestly say Intercontinental Chicago well ever stay anywhere world . place stay go Chicago ! keep great service staff ICC . 
