Welcoming 	 reception staff welcome helpful even late hour night . hotel nice , well locate . room basic , bit small basic furniture . bathroom however really nice multiple amenity . breakfast week end really good , weekday however limited choice always ask staff hot food . the negative comment hour opening bar . close 11 pm Sunday . 
 May 22 2009 	 treat 	 arrive London late night , hotel real treat . room spacious bed fantastic . new magazine available room treat bring bath tub , wonderful amenity make experience even relax ... wonderful ! breakfast include rate service selection impeccable – definitively go back ! 
 May 21 2009 	 Fun Hotel wonderful staff 	 hotel great modern fun , really make stay memorable fantastic staff . manager Rasheida staff make stay much fun relaxing . travel 2 young child 1 3 staff go way bring kid treat , recommend sight 3 year old would like , even bring we breakfast one morning kid sleep late . 3 year old make friend staff love come back hotel every night tell & quot ; friend & quot ; daily adventure . every night staff send something kid , cookie , chocolate , milk ... love ! location hotel fantastic could walk place great since double stroller . bus stop right outside hotel subway block away . minute walk picadilly circus lot restaurant shop around . room huge ( like american hotel ) . can not go wrong hotel . 
 May 21 2009 	 definetely 4 star hotel ! 	 recently stay 5 night Trafalgar London . room comfortable , clean large . complain service excess charge internet , cost 15 Pounds Day ( every 4 star hotel stay visit Europe free internet . also ask numerous time conceige housekeeping staff certain thing , basic request . room comfortable , clean large . housekeep mini bar staff knock door 4 time day never happen hotel stay . stay Hilton Florence nice hotel . 
 May 18 2009 	 lovely hotel fab location 	 base location will not find many well hotel London . hotel boutique chic modern . staff friendly informative . the room large bathroom shower bathtub . we get delux room view onto Trafalgar square £ 140 night . would pay . however perfect special occasion . 
 may 16 2009 	 location seal deal ! 	 Trafalgar get much well far location go . right heart London , never 10 minute walk tube ride away London 's amazing sight . hotel chic , modern , quite posh . lobby serve coktail bar rooftop lounge overooke Trafalagar Square , great place come back long day sightseeing . breakfast fabulous la carte item contintental breakfast option . waitress remember breakfast choice first day always bring we coffee tea exactly want withoout need ask . night place small box chocolate pillow welcome gift receive tray muffin , fruit , wine . room upgrade fairly large european standard . bathroom drawback shower quite small tended leave floor soak water . travel family work ( nanny 15 month old ) , side side room . give baby cot ( crib , think find little uncomfortable ) . get used time change hard wake cry lot night . parent room could definitely hear wall would wake . FYI light sleeper , insulation fabulous . despite bathroom thin wall , everything else perfect ... oh well guess forgot mention pay 15 pound per day internet use , free wifi either . not great . , overall happy stay would hesitate stay . 
 May 6 2009 	 wonderful experience 	 choose Trafalgar special family re - union , pleased choice . although have book 2 deluxe room definitely upgrade high level room amazing . many nice touch throw we not expect . big thank Rashida team . addition usual thing mention review also love live music breakfast . 
 Apr 29 2009 	 great location marathon lovely hotel 	 husband run London Marathon pick Trafalgar mainly due location- 10mins walk finish line . location convenient - 15mins Covent Garden , 15mins Leicester Square . Tube 2mins walk hotel . staff friendly accomodate . hotel boutiquey classy . pay approx £ 150 per night B & amp ; b good rate quality hotel location . bar lovely , go roof top terrace crowd not stay . look lovely albeit small . room nice spacious especially londonnegatives- check bit messy . busy arrive maneuver around various people staff get check desk . odd set not busy may work ... last time go London stay Waldorf Hilton personally think hotel well . would definitely stay would not hesitate recommend other . 
 Apr 25 2009 	 fantastic location minimalist cool hotel without feel pretentious intimidating 	 husband stay hotel one night London event . trawelle website try find deal day remember reward point . be Diamond member room standard , slipper ! good sized room , comfortable bed , look clean , nice bathroom , huge big soft towel . view , look british Council office , consider St George 's Day people celebrate Trafalgar Square , inside hotel quiet . arrive hotel girlfriend , husband already London business . formal reception area , high table computer , space flow Rockwell bar . look great would definitely use place meet people next time town . know Roof Garden would go , beautiful sunny day - London 's good view must great hotel fantastic location , Mall Trafalgar Square . husband lunch , sit drink . would complaint would make . not busy take concierge notice try order 2 staff work . also take age make deliver drink ( 2 Bloody Mary 's - complicated ) . another age get bill . waitress nice , apologise wait pay group guy came say ' excuse ' waitress not even look tell ' one minute ' . may think attentive us wander . service not impress . room ready 2.30pm . location wise not think could ask . girlfriend walk Regent Street Oxford Street . evening short walk embankment travel event . Charing Cross station even close . Friday morning husband walk St James Park Victoria Station . husband would prefer stay hotel next time business . perfect place be London sightseeing , shopping business . 
 Apr 19 2009 	 great location friendly staff 	 wife stay 7 night use Hilton honor point . diamond member , upgrade deluxe king room overlook square . room large London standard huge bathroom . also provide free breakfast morning . check - in , offer free copy one 3 paper choice deliver door morning ; go USA today . the conceirge nail mexican restaurant request great place call Wahaca Covent Garden short walk hotel . only disappointmentswas roof top bar open follow weekend internet 15gbp per day . use business center time 3gbp 15 minute . 
 Apr 18 2009 	 Trafalgar 	 great location overlook Trafalgar square . great want get bit work ... 
 Apr 13 2009 	 location quiet ! 	 first trip London . stay 2 night March 2009 ( weekend G20 Summit ) . use Hilton Points comment price , great location would expect pay little . take subway Paddington Station Charing Cross Station pop block Trafalgar ! locate right round - a - bout Trafalgar Square . yes , reception area unique ( chic ! ) , love visit new place . check quick & amp ; efficient . we probably standard room . room new , modern , clean . , chic . average - size room ( U.S. standard ) face business office . much view , since stay free using point not bother we . bed comfortable . watch wood frame ! come home bruise leg . room feature include : flat - screen tv , read light attach headboard , hot pot , lounge chair , desk , comfy robe , 2 wardrobe clothe , hairdryer . amazing part room quiet ! much traffic commotion outside lively reception / lounge area , absolutely amazing go room hear thing ! utilitze restaurant , gym , service hotel comment those . there many food option within easy walk distance ( pub , restaurant , convenience store , McDonalds , Starbucks ) . also small souvenir shop nearby . walk Buckingham Palace , Harrods , Hyde Park ( nice hike healthy people like walk , could also take subway taxi ) . 1 - 2 block one direction Westminster Abbey & amp ; Big Ben . 1 - 2 block another direction theater district lots little restaurant . another block nice outdoor shopping plaza really hop 10:00 night . beware , sign say thief operate area . not problem see anything probably fine smart keep valuable close . also see casino nearby . I would highly recommend hotel tourist location . 
 Apr 9 2009 	 MINIMAL CHIC 	 live Italy stay hotel mother three night short holiday London around Palm Sunday . book Hilton 's website special rate , double deluxe room , view Trafalgar Square . hotel really surprising . would define & quot ; minimal chic & quot ; . location excellent : right center London ! arrive , not find usual desk ... 's surprise , could think 's internet point 4 pc ... probably 's way give & quot ; mark & quot ; , symbol hotel 's style . trafalgar part Hilton chain , not see classical Hilton 's trademark brand . little & quot ; H & quot ; ... room well equip . room fantastic , even ' minimal ' style , big tv screen , dvd , cd , coffee facility , bathrobe , ... room really big e spacious : hotel London , find room like & quot ; small box & quot ; . one quite studio apartment . bathroom big clean . breakfast really rich , buffet saturday sunday ( guitar music ) , & quot ; à la carte & quot ; day stay . staff friendly helpful . really satisfied hotel . recommend Tripadvisor traveler . give suggestion management : provide room sit area lobby . two & quot ; pouffs & quot ; front & quot ; reception & quot ; ... minimal . 's little spot . trafalgar , opinion , one good hotle London . find good offer , not exitate book room . Excuse & quot ; scholastic & quot ; english . see soon . Stefano 
