hotel 	 unaware watch 4:00 pm est check - in prematurely . therefore 1:00 p.m . think manager behind front desk take without complaint whimper . nothing fancy B & amp ; b clean comfortable . much interaction staff find rudeness . unlimited free breakfast excellent . much well last stay La Quinta L.A . definitely come back get nice deal . 
 Jul 9 2008 	 Excellent Stay HI Express 	 wonderful gem las vegas ! peaceful , easy find , great staff ! hotel situate right end strip , 3 minute drive Mandalay Bay . great close strip , do not walk mile casino find room . room nice , standard holiday inn express room always clean comfortable . pool hot tub nice , time use pool hardly people ever . outdoor shower private bathroom right pool convenient . hotel sit near many main roadway , never hear single noise road . get room face front hotel , also get wonderful view strip ! quite view night time . the hotel offer complimentary shuttle Mandalay bay happen every hour stop around 11PM . also free shuttle airport depart every hour convenient . breakfast standard HI express fare , always delicious cookie guest day evening . staff extremely helpful well direction advice . one girl even remember name always say hello we . overall , clean , comfortable stay without craziness strip . would definitely stay highly recommend anyone ! 
 May 23 2008 	 yet another positive Holiday Inn stay 	 always pleased Holiday Inn Express chain .. Met expectation . free breakfast , close strip , easy check , nice / clean bathroom short walk room ... staff also friendly .. problem hide bed .. linen give we WET ! ! ! call get linen bring back WET linen . send back .. 3rd try finally get sheet dry put sofa bed .. room comfy quiet go bed .. notice wall thin .. ( also air time ) .. holiday inn breakfast great always ( altho new omelete kind suck ) ... love cinnamon roll .. pool hot tub nice well time go person .. ( love ! ! ) .. gym however lack . treadmill , eliptical stepper . SMALL dumbell tree dumbell 10lbs .. ( holiday inn usually universal weight machine , one do not ) ... place must rent car escape craziness strip time bed .. 
 Apr 26 2008 	 great family 	 family five stay three night , hotel could find able accomodate we one room Las Vegas . hotels strip want us book two room , would made trip twice expensive . the room front hotel offer great view strip , lovely look light night , return hotel . room big , two double bed double bed settee . clean comfortable . kid love heated pool late night early morning . breakfast alright . the actual strip surprisingly close feel disapointe hotels location ( far walk though ) . hotel offer shuttle service every half hour mandalay Bar / MGM . use hire car make full use service , great .. negative checking , road seven hour arrive quite tired evening . speak receptionist give family name , reply ' need see I d ' . tell actual passport suitcase need unpack give , abrupt reply ' well check see ' ! unwelcome attitude abruptness nearly make walk away , choice uppack case reception front guest walk . must add receptionist great extremely helpful . 
 Apr 21 2008 	 Great Alternative Strip 	 usually go Las Vegas year business convention discover great deal year ago long exist decide stay strip opt Holiday Inn Express South Las Vegas . good choice , far enough away frenzy Vegas , close enough get show / restaurant etc . hotel proivde shuttle service Mandalay Bay Hotel ( convention hold ) every 30 minute , MGM Grand hour , husband make good use service . MGM Grand well destination put close monorail bus service , whereas , get Manadalbay still mean good 15 minute walk strip monorail Excalibar Hotel . the hotel standare Holiday Inn , room functional somewhat impersonal , bed FANTASTIC , comfortable bed think ever sleep pillow great . offer express breakfast ok , cereal , yoghurt , toast etc , throwaway plate include room rate . would definitely stay , simple fact casino walk get anywhere hotel bonus ! 
 Apr 13 2008 	 bad overall problem 	 think third time ' ve stay three year relatively consistent , though think bit overpriced get day . the good : hotel property room well maintain clean . friendly , helpful staff . the bad : thin wall - clearly hear conversation tv next door room . breakfast leave lot desire . not touch hot food since look unappetizing not want risk get sick plane home . cold food cheap end scale . bad ' free ' hotel breakfast ' ve , nothing well middle road - expect room price . though surround area seem relatively safe , mostly light - industry , spend time strip , bit drive find decent restaurant . wireless internet connection decently fast , morning prevent print boarding pass completing last minute flight preparation . overall : give average rating . care give toward breakfast would put hotel average category . 
 Apr 4 2008 	 great budget option 	 split stay Vegas move strip expensive holiday weekend . pleasantly surprised hotel would definitely recommend budget option . staff really friendly helpful . hotel pool hot tub day lovely peaceful chaos strip . hotel clean service - free internet buffet breakfast great . hotel also run shuttle MGM hour Mandalay Bay every half hour really handy . 
 Mar 28 2008 	 great location near strip noise ! 	 excellent location , strip close Mandalay Bay . hotel offer shuttle run Mandalay Bay MGM every 1/2 hour . breakfast buffet ok reasonable free . nowhere close buy convenience item except gas station next hotel . swimming pool clean fairly uncrowded . housekeep good . would stay . 
 Mar 25 2008 	 comfy bed great service thin wall 	 stay 3 night March . originally book one night close airport ( hike Utah ) , flight cancel due weather . staff immediately rebooke we next 2 night , rate cheaper pay first night . relieve . overall , service great . friendly front desk people breakfast bar keep well stocked huge crowd stay holiday weekend . bed comfortable . complaint , see other note , hear neighbor wall . hotel pet peeve , sure would stay . also , return shuttle Mandalay Bay reliable . need call front desk confirm shuttle come . wait hour , finally walk home ( short walk , big deal ) . otherwise , good place stay want near airport , strip , comfortable bed sleep . 
 Mar 24 2008 	 good stay trip 	 March 20 - 22 , 2008after travel around 10 day , arrive HI Express . pleasantly surprise easily find hotel even pleased room . greet quickly check right away . room clean comfortable . bed comfortable drive Grand Canyon , welcome . far enough road quiet room close enough want , walk Strip . ( several block away ) , , convenient shuttle take MGM Mandalay Bay Hotels . breakfast bit average filling . busy , keep ask muffin juice going refilled . bit wait , since 1 person staff breakfast . good filling , lot variety . my complaint trouble internet , get correct front desk offer print boarding pass need . the AC room bit loud , efficient , son not keep mess . 
 Mar 16 2008 	 great place race fan 	 sister town Nascar ( really ) choose Holiday Inn 3 night stay largely due reasonable price . spend first part stay MGM bother off - strip time would spend racetrack . we check mid afternoon although wait line , phone rang non - stop take get check . complicate matter stay split two booking , however check agent great job keep we room duration stay . much appreciate require we get key card reactivate next morning . our room non smoking floor good size plenty counter space feature tv coffee maker . bed comfortable come selection firm soft pillow . bathroom also good size hairdryer plenty space two girl worth toiletry ! Holiday Inn 's free breakfast disappoint contain varied selection cereal , bagel , muffin , cinnamon roll , yoghurt , egg , bacon well juice tea coffee . seem take item replenish though run . staff around ' m sure cause delay be . as mention hotel locate strip good 10 - 15 minute walk Mandalay Bay Convention Centre strip . free shuttle come . run twice hour Convention centre southern end strip hourly MGM Grand give easy strip access . find shuttle driver friendly accommodate everyone need ( especially guy drop we right bus stop strip 7 am Sunday morning catch bus track ! ) . complimentary return shuttle ride airport leave one less thing worry about . the Holiday Inn also outdoor pool , guest laundry free internet access lobby enable we get check flight home last day . overall enjoy stay Holiday Inn hotel serve purpose . would primarily recommend hotel budget and/or transport . shuttle good , do not get wrong , first timer nothing quite beat direct access hotel strip . 
 Mar 14 2008 	 Great Hotel say 4 Aussies ! 	 husband another couple stay 4 night share room 2 queen size bed . 4 we opinion - great hotel , friendly staff , location great away strip , problem catch shuttle . share taxi back wee hour cheap 4 we . query book hotel email direct . prompt reply information regard bus , weather , restaurant etc . also helpful not visit Vegas . staff friendly helpful stay . return Vegas September 2008 husband + 80 year old mother + sister certainly stay . 
 Feb 25 2008 	 Wished Stayed elsewhere 	 overall , dissatisfied . although read user ' comment paper - thin wall , find aspect particularly annoying . never stay hotel sound adjoining room loud . there not comfortable chair room sit in . tell front desk ( friendly ) go neighboring hotel use computer printer hotel break . the breakfast sausage patty smother grease ; egg cold . only 1 2 elevator work . Shame Holiday Inn ! 
 Feb 16 2008 	 Aussie girl say .. excellent 	 although hotel strip excellent value . stay 4 day Jan 08 .... money save use 1st class helicopter flight Grand Canyon . staff helpful , room great , bed comfy , linen & amp ; towel 1st class . Breakfast include ( continental ) plenty we . shuttle bus strip every half hour . get back reliable shuttle 's cheap & amp ; easy catch cab back . impressed & amp ; would stay without hesitation . 
 Jan 15 2008 	 good hotel 	 stay 4 night end vacation . we stay Bellagio first 3 night , preferred stay here . a good breakfast without queue pay extra ! lengthy walk smoky casino ! comfy bed pillow , helpful friendly staff . although car use excellent shuttle service Mandalay Bay find restaurant good - cheap bellagio queue even Thanksgiving ! 
 Jan 4 2008 	 Love hotel 	 stay hotel 23rd Dec 27 Dec 2007 . friendly , clean , cosy hotel family three ( 2 adult 9 - year old boy ) . bed blanket comfortable clean . room spacious . carpark convenient . breakfast contain varity choice important yummy free . self laundry service cheap convenient . locate 2nd floor hotel . staff friendly helpful . though Strip , service shuttle bus frequent . find problem find easy free parking Strip area , therefore worry transportation Strip . actually , enjoy quiet residential feel neighbourhood Strip area . gasoline station near convenient we go scenic shopping area , like Red Rock Canyon , Lake Mead , Hoover Dam , Blouder City ( cafe / pub call Pizza ? ? Blouder City pizza pasta delicious yummy ) , Premium Outlet , etc etc . complaint wall room bite thin sewage bathtub work well room , however acceptable . definitely go back hotel go Las Vegas next time . 
 Dec 18 2007 	 Loved ! ! ! 	 Husband , stay location 1 week first week December . absoutley love ! 5th trip Vegas 3 year stay Excalibur MGM Grand previously . however happy hotel . locoate half mile strip . offer free shuttle top bottom every hour Mandalay Bay MGM Grand . also offer free shuttle airport departure . hotel room large clean . two large queen bed , nice . large dresser desk sofa area . room also coffee maker , microwave mini fridge . washroom clean pretty big well . third floor ask & quot ; strip & quot ; view check upgrade free room face strip . pretty nice ! hotel offer free breakfast every day include , waffle , cereal , oatmeal , toast , yogurt , etc . restaurant hotel , gas station next door purchase snack , etc . price pretty cheap . overall love hotel . quiet , non gaming hotel . staff friendly always smile say hello . would diffently stay . 
 Nov 10 2007 	 meet expectation 	 want nice , quiet , non - casino place stay Vegas , place . stay occasions strip , strip non gaming hotel one come tops ( previous stay Golden Nugget , MGM Grand , Aladin , Courtyard , Candlewood Suites ) . parking area brightly light front desk staff friendly professional . check - in / out breeze . hotel lobby area brightly light . room large functional . room bathroom EXTREMELY clean . bed bedspread great . good mattress medium hardness / softness depend look . big plus HIE touch offer 2 kind pillow ( firm soft ) . front desk mention planning upgrade 27 & quot ; tv flat panel soon feel free check something important ( not big deal since tv work well ) . reviewer early mention aircraft noise hotel . not experience . really doubt would miss aircraft noise & quot ; booming & quot ; overhead ( try Hilton LAX one ! ) . free wireless always great ! 
 Nov 2 2007 	 good place stay strip 	 catch flight Las Vegas , stay one night . be gambler , go National Parks Utah . nice enough place stay Las Vegas . bed comfortable , turn fan heating / ac unit noise not bother we . clean , comfortable , good accommodation , good breakfast . 
 Oct 28 2007 	 good hotel rude guest 	 stop one night way Vegas . come MGM Signature expect HIE low quality . surprisingly , hotel pleasant , large , clean comfortable room , typical HIE facility . guy front desk polite helpful . unfortunately , hotel host group K-9 Police officier training exercise . get see rather would liked spend afternoon next pool like . dominate entire pool / hot tub area thoroughly obnoxious - swear , drink whisky brown paper bag , shout , fighting , spill alcohol pool . 's amazing police officer could behave appallingly . although direct reflection quality hotel , 's shame staff not tone behaviour . however , would do - call police ? ! would stay - would check not host cop first ! 
 Sep 1 2007 	 Nice hotel 	 good quality hotel . superior bed good breakfast . excellent choice want casino free hotel . one small improvement would inclusion airport shuttle pick give pricing position room . 
 Aug 30 2007 	 plane spotter dream 	 find hotel far noisy staying strip ! stay one night prior flight back home want quiet night . plane take almost overhead every 30 second till late night early morning . apart plane noise air conditioning unit noisy wall thin.good point - room clean tidy , pool ok free breakfast buffet . there useful shuttle bus every half hour Mandalay Bay Hotel far strip want & quot ; vegas experience & quot ; hotel middle develop business park close I15 side strip . value money can not complain $ 70 per night want get good stay pay stay strip 
 Aug 29 2007 	 near yet far ... 	 return fly drive USA husband 9 year old daughter- stay Holiday Inn Express South Las Vegas 3 night . opinion absolutely perfect requirement . executive twin Queen room much large average complete microwave full size fridge . bed comfortable , although air con unit noisey . location wise , five minute drive strip , free parking available every hotel also ten minute drive airport . great near strip , glad choose stay hotel loud , noisey brash , would imagen town call ' Sin City ' . breakfast great good choice cereal , yoghurt , friut , muffin , dainish pastry etc . also computer & amp ; printer reception area enable look stuff on - line check email . pool great towel available , usually . would definately stay hotel , especially travel kid . 
 Aug 23 2007 	 right ! 	 perfect Vegas hotel we . 2 child , aged 10 13 want full , non - stop casino invasion main hotel Strip . Holiday Inn Express easily accessible , yet away hustle bustle . go pool ! slot machine sight . room clean , comfortable spacious , plenty room 4 we . get free shuttle Strip couple time soon realise easy drive one hotel car park Strip . complimentary buffet style breakfast great morning plenty choice . would definitely visit hotel . 
 Aug 22 2007 	 Great Place Strip 	 recently stay Hotel two separate time 10 day span . take motorcycle trip California Grand Canyon stay begin trip two night trip compete . impressed cleanliness Hotel . great pool open midnight great return bike ride later evening great way cool . room nice , King size bed , table chair another chair corner . bathroom nice size well . would nice room fridge could obtain one first come first serve basis $ 10 per day . not bother put ice sink cool drink . breakfast good , lot choose nice area sit . fireplace middle room great touch . leave suitcase management away store we , away other could get . nice . shuttle nice go Mandalay Bay every half hour . feel could make well allow call shuttle do strip sometimes wait half hour return shuttle . would defenitely stay think expand strip way , look like right , prime place stay . 
 Aug 15 2007 	 well manage 	 warm welcome long trip UK . greet smile choice room . everything do make we comfortable . Air Conditioning little noisy work hard whilst . breakfast usual motel style good quality . maid always hand replenish tidy . significant manager frequently visible . unusual motel trip keep eye thing chase front line staff appropriate . motel might strip free shuttle provide twice hour , also free shuttle airport and/or car hire centre , meet traveller ' demand . we would hesitate use hotel . 
 Aug 11 2007 	 great location 	 family stay Hotel Las Vegas previously . hotel 4 minute Mandalay Bay reach via free shuttle run every 30 minute midnight . taxi fare approximately 8 usd.the staff Hotel amongst well ever experience attitude service . Particulary Brian Brett front desk two regular driver another Brian Pierre . the free breakfast basic sufficent free tea coffee day . additional vend machine drink snack . note restaurant Hotel easily order food . pool special nice often empty feel like pool , plenty clean towel provide . on strip need transport take deuce bus hurry well walk slow . recommend visit half price ticket booth show save fortune . sky diving fantastic Sin city worth money Dolphin habitat Mirage . would definately recommend Hotel close strip action also far enough away rest . go back stay Hotel child friendly . 
 Aug 10 2007 	 Excellent ! ! 	 hotel prove perfect stop hotel we Vegas start tour Utah Arizona . room spotlessly clean extremely spacious . bed pillow , particular , comfortable long haul flight UK . breakfast adequate good selection cereal , bagel , pastry , etc . staff helpful friendly . use pool comment . would definately stay would recommend anyone want good value hotel near , locate directly Strip . 
 Aug 4 2007 	 Great Hotel / Great Value 	 location excellent . internet free . not expect walk anything not strip . free shuttle Mandalay Bay . room clean . maid nice . hotel good value price around 100 dollar . negotiate ! pool be / be nice uncrowded - breakfast good . use property . 
 Aug 1 2007 	 Nice Clean Hotel 	 arrive July 29 3 night . find hotel hotel . clean comfortable . staff fantastic especially Brian , supply we bottled water vend machine empty even bake cookie supply cold glass milk daughter one night ! say , beyond expect . the room spotless , say review really fussy . wall really thin though . hear detail ( wall ) guy next room , & quot ; show & quot ; experience . glad not wake daughter ! however , someone must complain noise , staff quite promptly sort problem . the pool quite clean safe relaxed atmosphere there . I see hotel family young kid stay Vegas people business . family would definitely stay , husband Vegas without daughter , would stay strip . shuttle bus put great , gamble , enjoy able easily walk back room without hassle bus taxi . definitely give place big thumb ! 
 Jul 24 2007 	 like hotel 	 enjoy stay although difficulty find 2 road call polaris avenue cruise wrong one . find happy . nice room , good size , clean . car happy location . nice breakfast , busy , good price Las Vegas , would stay 
 Jul 20 2007 	 overrate taxi ride cost fortune ! 	 Stayed Mandalay Bay mdiweek get expensive book Hotwire $ 92.00 , see 7th good customer satisfaction rating . first , person check we insist put 18 year old daughter king size bed & quot ; hotwire we . seem understand something quite wrong . go head great vibe vacation take away , manage get two double bed . hotel fine someone rest weary head business trip , however suitable vacation style hotel . pool lack charm area & quot ; devegetate & quot ; . buck would strongly suggest book well hotel . hotel middle nowhere saving room eat alive taxi ride . Vegas 100 time place truly near bottom . free wireless nice small size workout room . 
 Jun 19 2007 	 one negative 	 agree review . nice property staff great . especially keep mind Las Vegas . enjoy casino hotel trip . negative us wall thin . noticable sound next room . Guest seem think yell cell phone . sound problem room typical HIX 
 Jun 13 2007 	 Clean Hotel 	 within walking distance Strip , free shuttle . rental car park free hotel . easy in / out parking hotel . notice bus Strip always crowd , even Mon./Tue . clean new hotel . particular hotel clean . even look caulk line around toilet make sure clean . coffee maker tea bag room , along blow dryer ironing board . bed great . choice firm soft pillow . frig microwave ( would nice ) . ice machine 2nd floor ( ) . hear outside noise ( even plane ) , floor thin . People we come around 3:45 sound like open closing dresser drawer walk around hour . even A / C could not hum . would get top floor next time . lobby area clean , front office staff friendly ( Brian ) helpful . good variety breakfast . entrance hotel great variety coupon magazine coupon . someone early mention neighborhood shady around hotel . find case . much really withe walk distance hotel . need Strip . hotel close bottom 1/2 Strip . spend 2 day complete 1/2 hotel Strip . hotel far apart seem map . Monday Tuesday notice line long . still pretty busy night even though week . worre ' ve hear people stand side street hand mini flyer 1/2 dress woman ( pushy ) , one tried hand we since small kid we . buffet Terrible 's live 's name . yuck ! 
 Jun 3 2007 	 Fantastic hotel 	 stay property two night month long road trip California Nevada disappoint . charming friendly helpful front desk staff ( ) . fabulous room , large , extremely clean lovely new fresh white bedding ( buy online leave ) . perfectly adequate free breakfast . we ask room overlook strip high floor ( 1 mile away ) suggest previous reviewer . front hotel surprise close strip seem ( great picture take night ) without incessant noise hustle bustle . warn however , build plot directly front hotel build obliterate view completely . building work next door noise hear . wonderful experience would hesitate highly recommend property 's location . 
 may 18 2007 	 stay ! Excellent Hotel 	 yes , feel silly say go Vegas stay Holiday Inn Express . fade away check . staff friendly service impeccable . room clean , hint smoke ANYWHERE hotel . pool excellent , never crowded ( usually ) . bed incredibly comfortable , hotel quiet get lot sleep ( check hotel review , will not find elsewhere ) . construction next door , never hear inside . breakfast ( free ) excellent , fresh warm cinnamon roll , variety juice , cereal , bagel , waffle , fresh fruit , yogurt . bathroom shower - excellent . use shuttle Mandalay Bay often , , impressed . I want rest relax hotel stay , Holiday Inn Express PERFECT . not want & quot ; party pool & quot ; smoke fill hotel room say stay one famous hotel . return Vegas , will stay . 
 May 15 2007 	 good value off - strip ! 	 stay end April fly Vegas UK . want somewhere strip noise madness optional , be exactly get ! would echo positive comment comfort , cleanliness , value etc 's much add front . stay two night , drive tour California , back Vegas two night Strip , compare option . summary , would suggest place perfect independent minded people want experience Vegas without inconvenience big Strip hotel - line everything , hit miss service , etc . oh , not mind least one person drink dinner drive back , tho cab $ 10 near end strip , HI provide shuttle bus option too . I hear airplane noise either . really not know 's go , unless flight path change base wind direction something . a particular positive hotel , guess strip general : - long traffic queue get hotel , long walk car park , line check . could room within 10 minute pick rental car.- 's quiet - drunken group hallway night , shriek cleaner hallway morning ! - breakfast include - UK standard , large thorough breakfast ! yes might want go pig buffet afterwards , be nice option least quick coffee / snack first want slow start day.- POOL & amp ; hot tub big plus never anyone ! will never get part pool one big hotel . , open midnight fancy dip bed , love . Strip hotel tend close pool quite early , guess stop drunk people fall something , not know ! negative find - aircon pretty much , bit noisy . 
 may 1 2007 	 welcome helpfull staff 	 great hotel shame strip ! apart could not fault . clean staff informative free breakfast good start day.we stay 3 night book luxor rest stay know book nice would probably bother luxor ! ! ! ( another reveiw write good ! ! ) room good nice size clean smell bed comfortable . 5th travel expedition america always like wonder thing without bothered hotel helpful needed get somewhere do not bother we do not need anything . shuttle bus helpfull want get strip without driving.well do staff pleasant stay would certainly return tell lot friend . 
 Apr 21 2007 	 great hotel money ! 	 search long hard affordable clean hotel three - night Vegas stay . trip Advisor review helpful . room Holiday Inn Express squeaky clean . amenity describe . bed quite comfy despite bad back ! staff friendly helpful . enjoy varied continental breakfast timesaver ... long line casino breakfast buffet . review speak airport noise a / c fan drown plane noise , sparse begin . spa pool evening . parking close convenient line front desk check . sure , 's strip , short drive take . use free shuttle Mandalay . quiet , clean , $ 109.00 per night ( AARP price ) ... could ask anything ? good birthday trip . 
 Apr 20 2007 	 great place ! 	 currently guest Holiday Inn Express Polaris Las Vegas . thoroughly read review hotel , decide sound like good deal . able book room 25000 Priority Club point per night . find hotel easy get car rental station airport . whole hotel smell clean fresh , bed among fine ever hotel . although hotel airport handy , other write complain airplane noise hindering sleep , say never hear plane fly entire 3 day . air conditioning unit fan setting allow keep fan run constantly ( heat air ) must act white noise cover noise airport well . AC window type unit , control thermostat wall . always plus stay HI Express free continental breakfast free room wireless hi speed internet . breakfast identical course HI Express . room 324 , view room include several hotel strip ( backside ) include Bellagio . ( view also include interstate , not think say be like stay strip ! ) & quot ; executive & quot ; room , small refrigerator microwave coffee maker , along sofa sleeper coffee table . last night 3 night stay , sleep like baby last two night . front desk staff helpful offer information hotel area , shuttle Mandalay Bay , back route strip hotel rush hour . it be great place stay , highly recommend anyone look comfortable clean place stay Vegas , not mind little bit away strip . 
